,SLB,HAL,HP,RIG,CHX,BKR,NOV,FTI,WHD,PTEN,CLB,OII,LBRT,DRQ,AROC,BOOM,SLCA,HLX,NEX,PUMP,NBR,VTOL,TDW,OIS,WTTR,FI,XTSLA,USD,SGAFT,IXPU1,SUM
07/30/2021,22.42,21.18,4.91,4.02,4.55,4.4,4.49,3.86,3.86,2.94,3.02,2.49,1.93,1.94,2.11,1.56,1.4,1.13,1.19,1.26,1.09,1.17,0.88,0.72,0.68,0.63,0.19,0.0,0.01,0.0,100.03
08/02/2021,22.29,21.34,4.76,4.01,4.76,4.41,4.5,3.81,3.84,2.95,2.92,2.6,1.75,1.99,2.14,1.58,1.49,1.14,1.19,1.2,1.13,1.15,0.87,0.7,0.69,0.65,0.19,0.0,0.01,0.0,100.06
08/03/2021,22.25,21.32,4.81,4.05,4.78,4.54,4.44,3.8,3.79,2.91,2.98,2.56,1.72,1.96,2.15,1.58,1.45,1.14,1.19,1.19,1.1,1.16,0.89,0.67,0.73,0.65,0.19,0.0,0.01,0.0,100.01
08/04/2021,22.25,21.32,4.81,4.05,4.78,4.54,4.44,3.8,3.79,2.91,2.98,2.56,1.72,1.96,2.15,1.58,1.45,1.14,1.19,1.19,1.1,1.16,0.89,0.67,0.73,0.65,0.19,0.0,0.01,0.0,100.01
08/05/2021,22.25,21.32,4.81,4.05,4.78,4.54,4.44,3.8,3.79,2.91,2.98,2.56,1.72,1.96,2.15,1.58,1.45,1.14,1.19,1.19,1.1,1.16,0.89,0.67,0.73,0.65,0.19,0.0,0.01,0.0,100.01
08/06/2021,22.34,21.02,4.78,3.93,4.9,4.56,4.41,3.84,3.78,2.94,2.95,2.57,1.73,2.03,2.13,1.58,1.49,1.16,1.2,1.22,1.1,1.19,0.9,0.69,0.73,0.66,0.18,0.0,0.01,0.0,100.02
08/10/2021,22.54,21.19,4.77,3.99,4.96,4.66,4.44,3.79,3.74,2.85,2.79,2.48,1.7,1.94,2.1,1.61,1.46,1.15,1.22,1.19,1.05,1.25,0.93,0.69,0.67,0.69,0.12,0.03,0.01,0.0,100.01
08/11/2021,22.54,21.19,4.77,3.99,4.96,4.66,4.44,3.79,3.74,2.85,2.79,2.48,1.7,1.94,2.1,1.61,1.46,1.15,1.22,1.19,1.05,1.25,0.93,0.69,0.67,0.69,0.12,0.03,0.01,0.0,100.01
08/13/2021,22.34,21.21,4.86,4.03,4.95,4.65,4.41,3.8,3.84,2.91,2.69,2.5,1.69,1.9,2.04,1.6,1.48,1.15,1.21,1.23,1.04,1.25,0.95,0.7,0.68,0.72,0.11,0.04,0.01,0.0,99.99000000000004
08/16/2021,22.45,21.46,4.84,3.98,4.91,4.65,4.44,3.79,3.81,2.89,2.64,2.47,1.77,1.87,2.06,1.55,1.44,1.11,1.19,1.21,1.02,1.27,0.92,0.7,0.69,0.68,0.08,0.07,0.01,0.0,99.97
08/17/2021,22.71,21.53,4.8,3.84,4.91,4.81,4.41,3.77,3.82,2.85,2.65,2.45,1.73,1.86,2.07,1.52,1.4,1.1,1.17,1.18,1.01,1.28,0.92,0.69,0.68,0.68,0.08,0.07,0.01,0.0,100.0
08/19/2021,22.87,21.61,4.7,3.8,4.92,4.86,4.41,3.71,3.83,2.81,2.62,2.45,1.76,1.82,2.07,1.53,1.38,1.08,1.16,1.17,0.98,1.29,0.91,0.68,0.69,0.7,0.12,0.03,0.01,0.0,99.97
08/20/2021,22.85,21.52,4.67,3.78,4.93,4.98,4.41,3.75,3.85,2.81,2.58,2.45,1.78,1.81,2.08,1.53,1.35,1.08,1.14,1.17,0.97,1.31,0.93,0.67,0.72,0.7,0.12,0.03,0.02,0.0,99.99
08/23/2021,22.86,21.52,4.63,3.76,4.94,5.0,4.39,3.74,3.84,2.8,2.57,2.49,1.85,1.8,2.06,1.51,1.35,1.05,1.13,1.19,0.98,1.33,0.92,0.68,0.73,0.72,0.08,0.07,0.02,0.0,100.01
08/24/2021,23.21,21.33,4.6,3.77,5.01,4.97,4.45,3.71,3.88,2.72,2.49,2.42,1.83,1.79,2.07,1.52,1.34,1.05,1.11,1.18,0.96,1.34,0.92,0.67,0.74,0.73,0.11,0.03,0.02,0.0,99.97
08/25/2021,23.21,21.33,4.6,3.77,5.01,4.97,4.45,3.71,3.88,2.72,2.49,2.42,1.83,1.79,2.07,1.52,1.34,1.05,1.11,1.18,0.96,1.34,0.92,0.67,0.74,0.73,0.11,0.03,0.02,0.0,99.97
08/26/2021,22.95,21.42,4.6,3.88,5.0,4.98,4.37,3.61,3.87,2.78,2.52,2.48,1.82,1.74,2.04,1.51,1.33,1.08,1.12,1.23,0.98,1.47,0.92,0.69,0.71,0.72,0.11,0.03,0.02,0.0,99.98
08/27/2021,22.8,21.63,4.56,3.92,4.93,4.97,4.41,3.64,3.89,2.76,2.57,2.47,1.81,1.72,2.01,1.48,1.3,1.08,1.14,1.23,0.99,1.47,0.87,0.7,0.71,0.73,0.1,0.04,0.01,0.0,99.94
08/30/2021,22.88,21.48,4.48,3.93,4.92,5.03,4.42,3.65,4.07,2.76,2.55,2.44,1.8,1.69,2.01,1.47,1.29,1.06,1.17,1.23,0.99,1.48,0.91,0.69,0.73,0.7,0.12,0.03,0.01,0.0,99.99
08/31/2021,22.49,21.23,4.68,4.13,4.98,4.94,4.41,3.59,4.09,2.88,2.59,2.46,1.79,1.7,1.98,1.5,1.32,1.07,1.18,1.24,1.07,1.45,0.92,0.72,0.69,0.72,0.11,0.05,0.01,0.0,99.99
09/01/2021,22.49,21.23,4.68,4.13,4.98,4.94,4.41,3.59,4.09,2.88,2.59,2.46,1.79,1.7,1.98,1.5,1.32,1.07,1.18,1.24,1.07,1.45,0.92,0.72,0.69,0.72,0.11,0.05,0.01,0.0,99.99
09/02/2021,22.46,21.38,4.64,4.1,4.99,5.02,4.39,3.58,4.11,2.87,2.59,2.44,1.76,1.72,1.99,1.49,1.31,1.07,1.16,1.25,1.08,1.42,0.92,0.71,0.67,0.69,0.12,0.03,0.01,0.0,99.97
09/03/2021,22.37,21.28,4.67,4.12,4.96,5.04,4.37,3.61,4.08,2.91,2.55,2.45,1.78,1.72,1.98,1.5,1.3,1.06,1.16,1.26,1.1,1.46,0.94,0.72,0.68,0.71,0.12,0.09,0.01,0.0,100.00000000000004
09/06/2021,22.3,21.3,4.65,4.27,4.86,5.04,4.32,3.61,4.01,2.93,2.54,2.49,1.8,1.7,1.96,1.49,1.3,1.06,1.21,1.25,1.08,1.54,0.93,0.71,0.68,0.72,0.16,0.05,0.02,0.0,99.97999999999998
09/07/2021,22.25,21.33,4.63,4.27,4.88,5.08,4.27,3.58,3.94,2.89,2.56,2.57,1.8,1.71,1.99,1.48,1.32,1.06,1.21,1.26,1.08,1.6,0.92,0.71,0.68,0.71,0.07,0.14,0.02,0.0,100.00999999999998
09/08/2021,22.25,21.33,4.63,4.27,4.88,5.08,4.27,3.58,3.94,2.89,2.56,2.57,1.8,1.71,1.99,1.48,1.32,1.06,1.21,1.26,1.08,1.6,0.92,0.71,0.68,0.71,0.07,0.14,0.02,0.0,100.00999999999998
09/09/2021,22.28,21.36,4.63,4.27,4.88,5.09,4.27,3.59,3.95,2.9,2.57,2.58,1.8,1.71,1.99,1.48,1.32,1.06,1.21,1.26,1.08,1.6,0.93,0.71,0.68,0.71,0.07,0.14,0.02,0.0,100.14
09/10/2021,22.12,21.13,4.74,4.35,4.77,5.07,4.32,3.59,3.91,2.91,2.52,2.61,1.82,1.7,1.97,1.51,1.3,1.08,1.25,1.26,1.12,1.65,0.94,0.73,0.68,0.72,0.07,0.13,0.02,0.0,99.98999999999998
09/13/2021,21.83,21.16,4.82,4.25,4.85,5.34,4.34,3.54,3.94,3.01,2.6,2.53,1.79,1.67,1.94,1.55,1.29,1.04,1.26,1.25,1.13,1.63,0.93,0.7,0.67,0.73,0.04,0.16,0.02,0.0,100.01
09/14/2021,21.82,21.25,4.76,4.13,4.82,5.39,4.44,3.66,3.94,2.98,2.63,2.52,1.75,1.7,1.94,1.53,1.26,1.03,1.23,1.24,1.13,1.61,0.93,0.7,0.67,0.74,0.03,0.17,0.02,0.0,100.02
09/16/2021,21.88,21.25,4.67,4.1,4.82,5.26,4.37,3.64,3.85,3.11,2.6,2.56,1.83,1.73,1.94,1.5,1.32,1.09,1.28,1.27,1.1,1.53,0.9,0.73,0.68,0.78,0.03,0.16,0.02,0.0,100.00000000000001
