,VNA.DE,16.HK,823.HK,1878.T,1925.T,DWNI.DE,GMG.AX,1109.HK,8801.T,SPSN.SW,2007.HK,SGP.AX,CBI.MI,688.HK,LEG.DE,960.HK,8802.T,12.HK,17.HK,1918.HK,SGRO.L,GFC.PA,MGR.AX,C38U.SI,A17U.SI,8953.T,CAST.ST,C31.SI,83.HK,COFB.BR,2202.HK,3383.HK,AOX.DE,ENTRA.OL,8830.T,M44U.SI,TEG.DE,3281.T,1813.HK,WDP.BR,3003.T,NXI.PA,MRL.MC,BBOX.L,884.HK,PSPN.SW,101.HK,ME8U.SI,AED.BR,CHP.UN.TO,ALLN.SW,754.HK,CHC.AX,14.HK,1972.HK,AGR.L,813.HK,T82U.SI,3231.T,FABG.ST,CAR.UN.TO,WIHL.ST,WPR.AX,CAI.VI,3288.T,8804.T,AP.UN.TO,4.HK,3298.T,SCP.AX,817.HK,LMP.L,CMW.AX,AMOT.TA,N2IU.SI,10.HK,1030.HK,WKP.L,SAFE.L,SIR.L,123.HK,FCR.UN.TO,BYG.L,3883.HK,3380.HK,RW0U.SI,KOJAMO.HE,HMN.SI,CQR.AX,KLED.ST,CLW.AX,PHP.L,1238.HK,1233.HK,BTOU.SI,K71U.SI,COL.MC,2778.HK,AJBU.SI,TERRA13.MX,BWP.AX,HUFV A.ST,ALHE.TA,C2PU.SI,U14.SI,5522.TW,GRT.UN.TO,CWBU.SI,ATRLJ B.ST,604.HK,87001.HK,CRT.UN.TO,TCN.TO,SMPH.PM,GPOR.L,NWH.UN.TO,DIR-U.NE,81.HK,CY6U.SI,CIP.AX,GOZ.AX,405.HK,FSV.TO,1966.HK,KMP.UN.TO,1628.HK,C09.SI,3990.HK,AZRG.TA,ABP.AX,GRI.L,J69U.SI,CPN-R.BK,FIBRAPL14.MX,CATE.ST,INA.AX,SMU.UN.TO,BEFB.BR,Z25.SI,SBB B.ST,NYVL.,BUOU.SI,WHA-R.BK,CENCOSHOPP.SN,9945.TW,8876.T,8905.T,8803.T,IIP.UN.TO,34.HK,KLCC.KL,2772.HK,TS0U.SI,EMBASSY.NS,AIF.TO,MVNE.TA,2019.HK,SUNREIT.KL,SK6U.SI,832.HK,1908.HK,8850.T,6158.HK,IGBREIT.KL,3900.HK,1638.HK,RLC.PM,2768.HK,CLI.L,WALL B.ST,PARAUCO.SN,2337.T,PAT.DE,1996.HK,8919.T,DXS.AX,n/a,CLI.SI,9CI.SI,DIR.UN.TO,SUM
09/21/2021,5.01,3.9,3.16,2.95,3.05,2.49,2.43,2.02,1.92,1.92,1.54,1.82,0.0,1.48,1.64,1.21,1.52,1.32,1.25,0.78,1.64,1.35,1.34,1.15,1.27,1.0,1.11,1.1,0.84,0.99,0.69,0.57,0.84,0.77,0.83,0.84,0.76,0.83,0.44,0.84,0.78,0.7,0.7,0.79,0.51,0.67,0.59,0.66,0.59,0.58,0.56,0.43,0.62,0.43,0.47,0.52,0.37,0.47,0.52,0.47,0.46,0.44,0.45,0.42,0.52,0.44,0.35,0.34,0.4,0.44,0.35,0.4,0.36,0.42,0.35,0.32,0.28,0.36,0.39,0.38,0.31,0.33,0.37,0.19,0.22,0.3,0.31,0.3,0.32,0.35,0.33,0.32,0.24,0.21,0.27,0.27,0.28,0.25,0.28,0.26,0.25,0.24,0.3,0.29,0.25,0.3,0.27,0.25,0.22,0.19,0.19,0.23,0.24,0.2,0.23,0.22,0.23,0.23,0.21,0.23,0.2,0.17,0.19,0.16,0.2,0.11,0.18,0.14,0.26,0.19,0.2,0.17,0.17,0.17,0.18,0.2,0.19,0.16,0.15,0.22,0.15,0.17,0.16,0.12,0.22,0.12,0.14,0.15,0.14,0.13,0.14,0.11,0.13,0.13,0.13,0.18,0.11,0.11,0.13,0.1,0.16,0.11,0.1,0.12,0.09,0.07,0.09,0.09,0.09,0.1,0.07,0.1,0.09,0.09,0.1,1.74,0.0,0.0,0.0,0.0,99.98
09/22/2021,5.01,3.9,3.16,2.95,3.05,2.49,2.43,2.02,1.92,1.92,1.54,1.82,0.0,1.48,1.64,1.21,1.52,1.32,1.25,0.78,1.64,1.35,1.34,1.15,1.27,1.0,1.11,1.1,0.84,0.99,0.69,0.57,0.84,0.77,0.83,0.84,0.76,0.83,0.44,0.84,0.78,0.7,0.7,0.79,0.51,0.67,0.59,0.66,0.59,0.58,0.56,0.43,0.62,0.43,0.47,0.52,0.37,0.47,0.52,0.47,0.46,0.44,0.45,0.42,0.52,0.44,0.35,0.34,0.4,0.44,0.35,0.4,0.36,0.42,0.35,0.32,0.28,0.36,0.39,0.38,0.31,0.33,0.37,0.19,0.22,0.3,0.31,0.3,0.32,0.35,0.33,0.32,0.24,0.21,0.27,0.27,0.28,0.25,0.28,0.26,0.25,0.24,0.3,0.29,0.25,0.3,0.27,0.25,0.22,0.19,0.19,0.23,0.24,0.2,0.23,0.22,0.23,0.23,0.21,0.23,0.2,0.17,0.19,0.16,0.2,0.11,0.18,0.14,0.26,0.19,0.2,0.17,0.17,0.17,0.18,0.2,0.19,0.16,0.15,0.22,0.15,0.17,0.16,0.12,0.22,0.12,0.14,0.15,0.14,0.13,0.14,0.11,0.13,0.13,0.13,0.18,0.11,0.11,0.13,0.1,0.16,0.11,0.1,0.12,0.09,0.07,0.09,0.09,0.09,0.1,0.07,0.1,0.09,0.09,0.1,1.74,0.0,0.0,0.0,0.0,99.98
09/23/2021,5.01,3.9,3.16,2.95,3.05,2.49,2.43,2.02,1.92,1.92,1.54,1.82,0.0,1.48,1.64,1.21,1.52,1.32,1.25,0.78,1.64,1.35,1.34,1.15,1.27,1.0,1.11,1.1,0.84,0.99,0.69,0.57,0.84,0.77,0.83,0.84,0.76,0.83,0.44,0.84,0.78,0.7,0.7,0.79,0.51,0.67,0.59,0.66,0.59,0.58,0.56,0.43,0.62,0.43,0.47,0.52,0.37,0.47,0.52,0.47,0.46,0.44,0.45,0.42,0.52,0.44,0.35,0.34,0.4,0.44,0.35,0.4,0.36,0.42,0.35,0.32,0.28,0.36,0.39,0.38,0.31,0.33,0.37,0.19,0.22,0.3,0.31,0.3,0.32,0.35,0.33,0.32,0.24,0.21,0.27,0.27,0.28,0.25,0.28,0.26,0.25,0.24,0.3,0.29,0.25,0.3,0.27,0.25,0.22,0.19,0.19,0.23,0.24,0.2,0.23,0.22,0.23,0.23,0.21,0.23,0.2,0.17,0.19,0.16,0.2,0.11,0.18,0.14,0.26,0.19,0.2,0.17,0.17,0.17,0.18,0.2,0.19,0.16,0.15,0.22,0.15,0.17,0.16,0.12,0.22,0.12,0.14,0.15,0.14,0.13,0.14,0.11,0.13,0.13,0.13,0.18,0.11,0.11,0.13,0.1,0.16,0.11,0.1,0.12,0.09,0.07,0.09,0.09,0.09,0.1,0.07,0.1,0.09,0.09,0.1,1.74,0.0,0.0,0.0,0.0,99.98
09/24/2021,5.08,3.58,3.14,3.04,3.15,2.56,2.43,2.02,1.98,1.95,1.48,1.85,0.0,1.49,1.67,1.18,1.57,1.17,1.12,0.72,1.67,1.37,1.36,1.26,1.28,1.04,1.08,0.0,0.82,1.02,0.7,0.55,0.88,0.78,0.85,0.85,0.78,0.86,0.45,0.86,0.8,0.69,0.72,0.79,0.5,0.68,0.57,0.67,0.61,0.59,0.57,0.42,0.63,0.43,0.46,0.52,0.36,0.48,0.54,0.47,0.47,0.43,0.46,0.43,0.54,0.45,0.35,0.32,0.42,0.45,0.35,0.41,0.36,0.43,0.35,0.32,0.27,0.37,0.39,0.38,0.3,0.33,0.37,0.17,0.21,0.3,0.31,0.3,0.33,0.35,0.33,0.32,0.23,0.2,0.27,0.27,0.29,0.26,0.29,0.26,0.26,0.24,0.31,0.3,0.25,0.31,0.27,0.25,0.22,0.18,0.18,0.23,0.24,0.21,0.23,0.22,0.23,0.22,0.21,0.23,0.21,0.17,0.19,0.16,0.2,0.11,0.18,0.14,0.26,0.19,0.2,0.17,0.17,0.17,0.18,0.2,0.19,0.17,0.15,0.21,0.15,0.17,0.16,0.12,0.22,0.13,0.14,0.15,0.14,0.13,0.14,0.11,0.13,0.12,0.13,0.19,0.11,0.11,0.13,0.1,0.15,0.12,0.1,0.12,0.09,0.07,0.09,0.09,0.09,0.1,0.07,0.1,0.09,0.09,0.1,1.76,0.0,0.83,0.0,0.0,100.03
09/27/2021,5.18,3.59,3.11,2.92,3.02,2.53,2.44,2.08,2.02,1.95,1.59,1.83,0.0,1.52,1.66,1.18,1.53,1.18,1.13,0.77,1.7,1.35,1.34,1.31,1.27,0.99,1.09,0.0,0.82,1.01,0.72,0.58,0.87,0.79,0.84,0.83,0.78,0.82,0.47,0.86,0.77,0.7,0.72,0.79,0.52,0.68,0.57,0.65,0.61,0.59,0.57,0.41,0.64,0.42,0.46,0.52,0.37,0.48,0.52,0.47,0.48,0.43,0.46,0.43,0.54,0.44,0.35,0.33,0.41,0.44,0.36,0.4,0.35,0.42,0.35,0.31,0.28,0.37,0.4,0.38,0.3,0.34,0.37,0.18,0.22,0.3,0.31,0.29,0.33,0.35,0.32,0.32,0.23,0.21,0.26,0.27,0.29,0.27,0.28,0.27,0.25,0.24,0.31,0.3,0.25,0.28,0.27,0.25,0.21,0.18,0.18,0.24,0.25,0.2,0.23,0.22,0.23,0.22,0.21,0.23,0.21,0.18,0.19,0.15,0.2,0.12,0.18,0.14,0.26,0.19,0.2,0.17,0.17,0.17,0.18,0.2,0.19,0.17,0.14,0.21,0.15,0.17,0.16,0.12,0.21,0.12,0.14,0.14,0.14,0.13,0.14,0.11,0.13,0.13,0.13,0.19,0.11,0.11,0.13,0.1,0.15,0.11,0.1,0.12,0.09,0.07,0.09,0.09,0.09,0.1,0.07,0.1,0.09,0.09,0.1,1.76,0.0,0.91,0.0,0.0,100.03
09/29/2021,5.13,3.57,3.12,2.95,3.0,2.52,2.38,2.16,2.05,1.95,1.67,1.78,0.0,1.58,1.65,1.23,1.54,1.14,1.1,0.78,1.66,1.34,1.34,1.29,1.27,1.01,1.08,0.0,0.81,1.02,0.73,0.64,0.87,0.79,0.84,0.83,0.77,0.8,0.5,0.84,0.78,0.7,0.72,0.77,0.54,0.68,0.57,0.65,0.6,0.59,0.57,0.42,0.63,0.42,0.46,0.51,0.36,0.48,0.53,0.47,0.47,0.43,0.45,0.43,0.56,0.45,0.35,0.32,0.4,0.43,0.36,0.4,0.35,0.42,0.35,0.31,0.29,0.36,0.39,0.38,0.3,0.33,0.37,0.19,0.23,0.3,0.31,0.29,0.32,0.35,0.31,0.31,0.25,0.22,0.26,0.28,0.28,0.26,0.28,0.26,0.25,0.24,0.31,0.29,0.25,0.27,0.26,0.25,0.22,0.19,0.19,0.23,0.25,0.2,0.23,0.22,0.22,0.22,0.21,0.21,0.2,0.18,0.19,0.15,0.2,0.11,0.18,0.15,0.26,0.19,0.2,0.17,0.17,0.17,0.18,0.2,0.19,0.16,0.15,0.21,0.15,0.17,0.16,0.11,0.22,0.12,0.14,0.14,0.14,0.13,0.14,0.11,0.14,0.12,0.13,0.19,0.11,0.11,0.13,0.1,0.16,0.11,0.1,0.12,0.1,0.07,0.09,0.09,0.09,0.1,0.07,0.1,0.09,0.09,0.1,1.73,0.0,0.91,0.0,0.0,99.98
10/01/2021,5.31,3.6,3.05,3.0,3.03,2.56,2.43,2.13,2.07,1.96,1.62,1.8,0.0,1.57,1.66,1.2,1.59,1.17,1.14,0.72,1.64,1.37,1.38,1.18,1.29,1.03,1.09,0.0,0.84,1.04,0.72,0.63,0.89,0.79,0.85,0.84,0.78,0.82,0.49,0.75,0.79,0.71,0.72,0.78,0.55,0.66,0.58,0.65,0.59,0.6,0.57,0.41,0.66,0.42,0.44,0.52,0.36,0.49,0.48,0.48,0.47,0.42,0.47,0.41,0.57,0.46,0.36,0.29,0.41,0.42,0.37,0.41,0.35,0.41,0.36,0.32,0.29,0.37,0.4,0.39,0.28,0.34,0.38,0.19,0.23,0.3,0.28,0.3,0.33,0.31,0.32,0.32,0.23,0.21,0.27,0.28,0.29,0.26,0.29,0.27,0.23,0.24,0.31,0.3,0.2,0.28,0.26,0.26,0.22,0.19,0.18,0.24,0.25,0.2,0.24,0.2,0.23,0.19,0.22,0.21,0.21,0.18,0.19,0.16,0.2,0.11,0.17,0.15,0.26,0.19,0.16,0.14,0.17,0.17,0.18,0.18,0.19,0.17,0.15,0.21,0.15,0.18,0.16,0.1,0.18,0.13,0.14,0.14,0.14,0.13,0.14,0.11,0.14,0.12,0.13,0.19,0.11,0.12,0.13,0.09,0.16,0.11,0.09,0.1,0.08,0.06,0.08,0.09,0.07,0.1,0.07,0.07,0.05,0.08,0.06,1.77,0.0,0.99,0.0,0.0,100.07
10/04/2021,5.17,3.78,3.12,2.94,2.99,2.57,2.29,2.27,2.07,1.94,1.78,1.74,0.0,1.7,1.61,1.33,1.56,1.24,1.2,0.82,1.6,1.33,1.3,1.16,1.27,1.04,1.04,0.0,0.86,1.0,0.79,0.65,0.86,0.76,0.84,0.83,0.76,0.8,0.53,0.73,0.73,0.67,0.69,0.75,0.61,0.65,0.6,0.65,0.57,0.58,0.56,0.43,0.6,0.44,0.45,0.5,0.38,0.48,0.47,0.45,0.47,0.4,0.46,0.41,0.54,0.45,0.36,0.32,0.41,0.41,0.4,0.39,0.34,0.41,0.35,0.33,0.3,0.35,0.38,0.38,0.29,0.33,0.36,0.2,0.25,0.29,0.27,0.29,0.33,0.3,0.31,0.3,0.25,0.23,0.27,0.28,0.28,0.27,0.28,0.26,0.22,0.23,0.31,0.3,0.2,0.29,0.27,0.25,0.21,0.19,0.18,0.23,0.26,0.21,0.23,0.2,0.22,0.21,0.22,0.2,0.2,0.18,0.18,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.18,0.17,0.17,0.17,0.19,0.17,0.15,0.21,0.15,0.18,0.16,0.1,0.19,0.13,0.14,0.14,0.14,0.13,0.14,0.11,0.14,0.12,0.13,0.19,0.11,0.12,0.13,0.09,0.18,0.11,0.1,0.1,0.09,0.07,0.08,0.09,0.06,0.1,0.07,0.07,0.05,0.08,0.06,1.75,0.0,1.0,0.0,0.0,100.0
10/05/2021,5.12,3.73,3.19,2.84,2.88,2.56,2.3,2.37,2.02,1.95,1.81,1.71,0.0,1.69,1.61,1.36,1.54,1.22,1.19,0.93,1.62,1.32,1.29,1.15,1.25,1.0,1.07,0.0,0.86,1.0,0.82,0.66,0.87,0.78,0.84,0.82,0.75,0.78,0.57,0.74,0.71,0.67,0.7,0.75,0.61,0.66,0.59,0.64,0.58,0.59,0.57,0.43,0.59,0.44,0.44,0.51,0.38,0.48,0.46,0.46,0.47,0.42,0.47,0.42,0.54,0.44,0.36,0.33,0.42,0.41,0.43,0.4,0.34,0.41,0.35,0.33,0.31,0.36,0.39,0.39,0.29,0.34,0.36,0.21,0.26,0.29,0.27,0.29,0.33,0.31,0.31,0.31,0.26,0.23,0.27,0.28,0.28,0.27,0.28,0.26,0.22,0.24,0.31,0.29,0.2,0.3,0.27,0.25,0.22,0.19,0.18,0.23,0.26,0.2,0.23,0.2,0.23,0.22,0.21,0.2,0.2,0.18,0.18,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.17,0.17,0.18,0.17,0.19,0.17,0.15,0.21,0.15,0.18,0.16,0.1,0.18,0.13,0.14,0.13,0.14,0.13,0.14,0.11,0.14,0.12,0.14,0.19,0.11,0.12,0.13,0.09,0.18,0.11,0.1,0.1,0.09,0.07,0.08,0.09,0.07,0.1,0.07,0.07,0.05,0.08,0.06,1.73,0.0,0.95,0.0,0.0,100.08
10/06/2021,5.12,3.73,3.19,2.84,2.88,2.56,2.3,2.37,2.02,1.95,1.81,1.71,0.0,1.69,1.61,1.36,1.54,1.22,1.19,0.93,1.62,1.32,1.29,1.15,1.25,1.0,1.07,0.0,0.86,1.0,0.82,0.66,0.87,0.78,0.84,0.82,0.75,0.78,0.57,0.74,0.71,0.67,0.7,0.75,0.61,0.66,0.59,0.64,0.58,0.59,0.57,0.43,0.59,0.44,0.44,0.51,0.38,0.48,0.46,0.46,0.47,0.42,0.47,0.42,0.54,0.44,0.36,0.33,0.42,0.41,0.43,0.4,0.34,0.41,0.35,0.33,0.31,0.36,0.39,0.39,0.29,0.34,0.36,0.21,0.26,0.29,0.27,0.29,0.33,0.31,0.31,0.31,0.26,0.23,0.27,0.28,0.28,0.27,0.28,0.26,0.22,0.24,0.31,0.29,0.2,0.3,0.27,0.25,0.22,0.19,0.18,0.23,0.26,0.2,0.23,0.2,0.23,0.22,0.21,0.2,0.2,0.18,0.18,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.17,0.17,0.18,0.17,0.19,0.17,0.15,0.21,0.15,0.18,0.16,0.1,0.18,0.13,0.14,0.13,0.14,0.13,0.14,0.11,0.14,0.12,0.14,0.19,0.11,0.12,0.13,0.09,0.18,0.11,0.1,0.1,0.09,0.07,0.08,0.09,0.07,0.1,0.07,0.07,0.05,0.08,0.06,1.73,0.0,0.95,0.0,0.0,100.08
10/07/2021,5.12,3.73,3.19,2.84,2.88,2.56,2.3,2.37,2.02,1.95,1.81,1.71,0.0,1.69,1.61,1.36,1.54,1.22,1.19,0.93,1.62,1.32,1.29,1.15,1.25,1.0,1.07,0.0,0.86,1.0,0.82,0.66,0.87,0.78,0.84,0.82,0.75,0.78,0.57,0.74,0.71,0.67,0.7,0.75,0.61,0.66,0.59,0.64,0.58,0.59,0.57,0.43,0.59,0.44,0.44,0.51,0.38,0.48,0.46,0.46,0.47,0.42,0.47,0.42,0.54,0.44,0.36,0.33,0.42,0.41,0.43,0.4,0.34,0.41,0.35,0.33,0.31,0.36,0.39,0.39,0.29,0.34,0.36,0.21,0.26,0.29,0.27,0.29,0.33,0.31,0.31,0.31,0.26,0.23,0.27,0.28,0.28,0.27,0.28,0.26,0.22,0.24,0.31,0.29,0.2,0.3,0.27,0.25,0.22,0.19,0.18,0.23,0.26,0.2,0.23,0.2,0.23,0.22,0.21,0.2,0.2,0.18,0.18,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.17,0.17,0.18,0.17,0.19,0.17,0.15,0.21,0.15,0.18,0.16,0.1,0.18,0.13,0.14,0.13,0.14,0.13,0.14,0.11,0.14,0.12,0.14,0.19,0.11,0.12,0.13,0.09,0.18,0.11,0.1,0.1,0.09,0.07,0.08,0.09,0.07,0.1,0.07,0.07,0.05,0.08,0.06,1.73,0.0,0.95,0.0,0.0,100.08
10/08/2021,5.06,3.72,3.13,2.84,2.89,2.56,2.32,2.37,2.06,1.97,1.79,1.77,0.0,1.7,1.6,1.35,1.56,1.23,1.22,0.93,1.59,1.32,1.32,1.17,1.25,1.02,1.06,0.0,0.86,0.99,0.81,0.65,0.86,0.76,0.86,0.82,0.74,0.78,0.58,0.73,0.7,0.67,0.69,0.73,0.6,0.66,0.59,0.63,0.57,0.59,0.57,0.43,0.6,0.43,0.46,0.5,0.37,0.48,0.46,0.46,0.47,0.41,0.47,0.41,0.53,0.43,0.36,0.33,0.42,0.41,0.44,0.39,0.35,0.4,0.35,0.33,0.3,0.35,0.38,0.38,0.29,0.34,0.36,0.21,0.26,0.3,0.27,0.29,0.34,0.3,0.32,0.31,0.26,0.23,0.27,0.28,0.28,0.27,0.28,0.26,0.22,0.24,0.3,0.29,0.2,0.3,0.27,0.25,0.21,0.19,0.18,0.23,0.26,0.21,0.23,0.2,0.23,0.22,0.21,0.2,0.2,0.18,0.18,0.18,0.2,0.13,0.17,0.17,0.26,0.19,0.16,0.14,0.18,0.17,0.18,0.17,0.19,0.17,0.15,0.21,0.15,0.17,0.16,0.1,0.18,0.13,0.14,0.13,0.14,0.13,0.14,0.11,0.14,0.12,0.13,0.19,0.11,0.12,0.13,0.09,0.17,0.11,0.1,0.1,0.09,0.07,0.08,0.09,0.06,0.1,0.06,0.07,0.05,0.08,0.06,1.75,0.0,0.97,0.0,0.0,100.0
10/11/2021,5.03,3.86,3.15,2.93,2.89,2.58,2.31,2.32,2.01,1.98,1.76,1.76,0.0,1.68,1.59,1.35,1.55,1.26,1.27,0.84,1.61,1.31,1.3,1.19,1.25,1.04,1.05,0.0,0.86,0.99,0.81,0.64,0.86,0.77,0.85,0.81,0.74,0.79,0.55,0.73,0.66,0.66,0.69,0.74,0.57,0.66,0.59,0.63,0.57,0.6,0.57,0.44,0.59,0.44,0.46,0.51,0.35,0.49,0.45,0.45,0.48,0.41,0.47,0.41,0.54,0.43,0.37,0.33,0.42,0.41,0.46,0.4,0.34,0.4,0.35,0.34,0.3,0.34,0.39,0.38,0.29,0.34,0.36,0.19,0.26,0.3,0.27,0.29,0.34,0.3,0.32,0.31,0.25,0.22,0.28,0.29,0.28,0.27,0.28,0.26,0.23,0.24,0.3,0.29,0.2,0.3,0.28,0.26,0.22,0.19,0.18,0.24,0.25,0.21,0.23,0.2,0.23,0.22,0.21,0.2,0.2,0.18,0.18,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.18,0.18,0.18,0.17,0.19,0.16,0.15,0.21,0.15,0.17,0.16,0.09,0.18,0.13,0.14,0.13,0.14,0.14,0.15,0.11,0.14,0.12,0.14,0.18,0.11,0.12,0.13,0.08,0.17,0.11,0.09,0.1,0.09,0.06,0.08,0.09,0.07,0.1,0.06,0.07,0.05,0.08,0.06,1.74,0.0,0.97,0.0,0.0,99.99
10/12/2021,4.98,3.9,3.18,2.92,2.9,2.56,2.33,2.29,1.96,1.96,1.74,1.78,0.0,1.66,1.59,1.32,1.51,1.32,1.28,0.83,1.62,1.31,1.29,1.21,1.26,1.04,1.07,0.0,0.88,1.0,0.81,0.62,0.86,0.77,0.83,0.81,0.73,0.77,0.55,0.74,0.66,0.66,0.7,0.73,0.58,0.66,0.6,0.63,0.57,0.61,0.57,0.43,0.6,0.46,0.47,0.51,0.37,0.49,0.44,0.47,0.47,0.42,0.47,0.41,0.53,0.42,0.37,0.33,0.41,0.41,0.4,0.4,0.35,0.4,0.35,0.34,0.31,0.36,0.4,0.38,0.29,0.35,0.36,0.19,0.27,0.3,0.27,0.3,0.34,0.3,0.32,0.31,0.25,0.22,0.28,0.29,0.28,0.27,0.28,0.26,0.23,0.24,0.3,0.29,0.2,0.31,0.28,0.25,0.22,0.19,0.18,0.24,0.26,0.21,0.23,0.21,0.23,0.21,0.21,0.21,0.21,0.18,0.19,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.18,0.18,0.18,0.17,0.2,0.17,0.15,0.21,0.15,0.17,0.16,0.09,0.19,0.13,0.14,0.13,0.14,0.14,0.15,0.11,0.14,0.12,0.14,0.18,0.11,0.12,0.13,0.08,0.17,0.11,0.09,0.1,0.09,0.06,0.08,0.09,0.07,0.11,0.06,0.07,0.05,0.08,0.06,1.74,0.0,0.96,0.0,0.0,100.05
10/13/2021,4.98,3.9,3.18,2.92,2.9,2.56,2.33,2.29,1.96,1.96,1.74,1.78,0.0,1.66,1.59,1.32,1.51,1.32,1.28,0.83,1.62,1.31,1.29,1.21,1.26,1.04,1.07,0.0,0.88,1.0,0.81,0.62,0.86,0.77,0.83,0.81,0.73,0.77,0.55,0.74,0.66,0.66,0.7,0.73,0.58,0.66,0.6,0.63,0.57,0.61,0.57,0.43,0.6,0.46,0.47,0.51,0.37,0.49,0.44,0.47,0.47,0.42,0.47,0.41,0.53,0.42,0.37,0.33,0.41,0.41,0.4,0.4,0.35,0.4,0.35,0.34,0.31,0.36,0.4,0.38,0.29,0.35,0.36,0.19,0.27,0.3,0.27,0.3,0.34,0.3,0.32,0.31,0.25,0.22,0.28,0.29,0.28,0.27,0.28,0.26,0.23,0.24,0.3,0.29,0.2,0.31,0.28,0.25,0.22,0.19,0.18,0.24,0.26,0.21,0.23,0.21,0.23,0.21,0.21,0.21,0.21,0.18,0.19,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.18,0.18,0.18,0.17,0.2,0.17,0.15,0.21,0.15,0.17,0.16,0.09,0.19,0.13,0.14,0.13,0.14,0.14,0.15,0.11,0.14,0.12,0.14,0.18,0.11,0.12,0.13,0.08,0.17,0.11,0.09,0.1,0.09,0.06,0.08,0.09,0.07,0.11,0.06,0.07,0.05,0.08,0.06,1.74,0.0,0.96,0.0,0.0,100.05
10/14/2021,4.98,3.9,3.18,2.92,2.9,2.56,2.33,2.29,1.96,1.96,1.74,1.78,0.0,1.66,1.59,1.32,1.51,1.32,1.28,0.83,1.62,1.31,1.29,1.21,1.26,1.04,1.07,0.0,0.88,1.0,0.81,0.62,0.86,0.77,0.83,0.81,0.73,0.77,0.55,0.74,0.66,0.66,0.7,0.73,0.58,0.66,0.6,0.63,0.57,0.61,0.57,0.43,0.6,0.46,0.47,0.51,0.37,0.49,0.44,0.47,0.47,0.42,0.47,0.41,0.53,0.42,0.37,0.33,0.41,0.41,0.4,0.4,0.35,0.4,0.35,0.34,0.31,0.36,0.4,0.38,0.29,0.35,0.36,0.19,0.27,0.3,0.27,0.3,0.34,0.3,0.32,0.31,0.25,0.22,0.28,0.29,0.28,0.27,0.28,0.26,0.23,0.24,0.3,0.29,0.2,0.31,0.28,0.25,0.22,0.19,0.18,0.24,0.26,0.21,0.23,0.21,0.23,0.21,0.21,0.21,0.21,0.18,0.19,0.17,0.2,0.12,0.17,0.16,0.26,0.19,0.16,0.14,0.18,0.18,0.18,0.17,0.2,0.17,0.15,0.21,0.15,0.17,0.16,0.09,0.19,0.13,0.14,0.13,0.14,0.14,0.15,0.11,0.14,0.12,0.14,0.18,0.11,0.12,0.13,0.08,0.17,0.11,0.09,0.1,0.09,0.06,0.08,0.09,0.07,0.11,0.06,0.07,0.05,0.08,0.06,1.74,0.0,0.96,0.0,0.0,100.05
10/15/2021,5.03,3.89,3.19,2.86,2.92,2.56,2.31,2.26,1.98,1.98,1.69,1.76,0.0,1.71,1.61,1.32,1.5,1.31,1.26,0.83,1.62,1.32,1.28,1.2,1.25,1.04,1.06,0.0,0.88,1.01,0.83,0.6,0.86,0.78,0.83,0.81,0.74,0.77,0.52,0.75,0.68,0.66,0.7,0.74,0.57,0.66,0.59,0.62,0.59,0.61,0.58,0.43,0.6,0.46,0.46,0.51,0.35,0.5,0.45,0.47,0.47,0.42,0.48,0.42,0.55,0.42,0.37,0.33,0.41,0.42,0.39,0.4,0.36,0.41,0.35,0.33,0.3,0.36,0.4,0.38,0.29,0.35,0.36,0.18,0.25,0.3,0.27,0.32,0.34,0.31,0.32,0.31,0.25,0.2,0.28,0.29,0.28,0.27,0.27,0.26,0.23,0.24,0.31,0.29,0.21,0.31,0.28,0.25,0.22,0.19,0.18,0.24,0.26,0.22,0.23,0.21,0.0,0.2,0.21,0.2,0.21,0.18,0.19,0.16,0.2,0.12,0.18,0.16,0.26,0.19,0.16,0.14,0.18,0.18,0.18,0.17,0.2,0.17,0.15,0.21,0.15,0.17,0.16,0.09,0.19,0.13,0.14,0.13,0.14,0.14,0.15,0.11,0.14,0.12,0.14,0.19,0.11,0.12,0.13,0.08,0.17,0.11,0.09,0.1,0.09,0.06,0.08,0.09,0.07,0.11,0.05,0.07,0.05,0.08,0.06,1.75,0.0,0.0,0.96,0.23,100.04
