,NESN.SW,ROG.SW,NOVN.SW,RITN.,ZURN.SW,ABBN.SW,LONN.SW,UBSG.SW,SIKA.SW,GIVN.SW,PGHN.SW,ALC.SW,HOLN.SW,GEBN.SW,SREN.SW,CSGN.SW,LISP.SW,SOON.SW,LOGN.SW,SGSN.SW,—,KNIN.SW,STMN.SW,SLHN.SW,SCMN.SW,BAER.SW,SCHP.SW,RO.SW,ADEN.SW,TEMN.SW,UHR.SW,SIGN.SW,VACN.SW,BARN.SW,SPSN.SW,BALN.SW,EMSN.SW,VIFN.SW,FI-N.SW,TECN.SW,PSPN.SW,SCHN.SW,AMS.SW,CLN.SW,HELN.SW,FHZN.SW,SWGNF,DKSH.SW,SUN.SW,BCVN.SW,OERL.SW,BKW.SW,S1U1,n/a,CFR.SW,SUM
07/29/2021,19.49,15.35,11.34,4.46,4.01,4.11,3.57,3.41,2.91,2.57,2.05,1.77,1.64,1.55,1.45,1.36,1.24,1.11,0.99,1.02,0.96,0.92,0.98,0.89,0.83,0.77,0.7,0.65,0.59,0.53,0.54,0.51,0.54,0.49,0.43,0.39,0.41,0.39,0.35,0.36,0.31,0.31,0.26,0.26,0.21,0.17,0.16,0.16,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.0
07/30/2021,19.58,15.39,11.34,4.38,4.0,4.11,3.56,3.42,2.9,2.61,2.04,1.77,1.64,1.55,1.46,1.35,1.29,1.11,0.89,1.02,0.96,0.92,0.99,0.89,0.84,0.75,0.71,0.66,0.57,0.53,0.53,0.51,0.54,0.49,0.44,0.39,0.42,0.39,0.35,0.36,0.32,0.31,0.25,0.26,0.21,0.17,0.16,0.16,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.02
08/02/2021,19.34,15.45,11.32,4.45,3.99,4.07,3.59,3.43,2.93,2.6,2.09,1.81,1.64,1.57,1.47,1.31,1.28,1.12,0.87,1.03,0.96,0.9,1.01,0.89,0.83,0.78,0.71,0.66,0.52,0.53,0.53,0.53,0.55,0.49,0.43,0.39,0.42,0.39,0.36,0.37,0.32,0.32,0.26,0.26,0.21,0.17,0.16,0.17,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.01
08/03/2021,19.34,15.45,11.32,4.45,3.99,4.07,3.59,3.43,2.93,2.6,2.09,1.81,1.64,1.57,1.47,1.31,1.28,1.12,0.87,1.03,0.96,0.9,1.01,0.89,0.83,0.78,0.71,0.66,0.52,0.53,0.53,0.53,0.55,0.49,0.43,0.39,0.42,0.39,0.36,0.37,0.32,0.32,0.26,0.26,0.21,0.17,0.16,0.17,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.01
08/04/2021,19.47,15.53,11.34,4.4,3.96,4.02,3.65,3.41,2.93,2.62,2.07,1.81,1.62,1.56,1.42,1.31,1.28,1.13,0.88,1.03,0.96,0.91,1.01,0.88,0.83,0.77,0.71,0.66,0.5,0.53,0.52,0.54,0.55,0.49,0.43,0.38,0.43,0.39,0.36,0.37,0.31,0.32,0.26,0.26,0.21,0.17,0.16,0.16,0.14,0.14,0.12,0.11,0.02,0.0,0.0,100.04
08/05/2021,19.39,15.52,11.27,4.45,3.97,3.99,3.68,3.43,2.93,2.61,2.08,1.83,1.62,1.56,1.42,1.33,1.28,1.13,0.87,1.02,0.95,0.91,1.02,0.88,0.83,0.78,0.71,0.66,0.49,0.52,0.53,0.54,0.55,0.49,0.44,0.39,0.43,0.39,0.36,0.37,0.32,0.32,0.27,0.26,0.21,0.17,0.16,0.16,0.14,0.14,0.12,0.11,0.03,0.0,0.0,100.03000000000002
08/06/2021,19.28,15.57,11.24,4.46,3.98,4.03,3.71,3.42,2.93,2.61,2.09,1.82,1.61,1.56,1.41,1.34,1.29,1.14,0.86,1.02,0.95,0.91,1.02,0.89,0.83,0.77,0.72,0.67,0.49,0.52,0.53,0.54,0.54,0.49,0.44,0.39,0.43,0.39,0.36,0.37,0.31,0.32,0.27,0.26,0.21,0.17,0.16,0.16,0.14,0.14,0.12,0.11,0.03,0.0,0.0,100.02
08/11/2021,19.06,15.58,11.23,4.37,4.1,4.08,3.64,3.5,2.95,2.6,2.12,1.8,1.6,1.57,1.45,1.38,1.27,1.15,0.87,1.01,0.95,0.9,1.02,0.9,0.82,0.79,0.72,0.66,0.49,0.53,0.52,0.53,0.54,0.49,0.43,0.39,0.43,0.38,0.36,0.37,0.31,0.32,0.28,0.26,0.21,0.17,0.16,0.16,0.14,0.14,0.12,0.11,0.03,0.0,0.0,99.96
08/13/2021,18.97,15.88,11.26,4.31,4.13,4.07,3.66,3.5,2.97,2.59,2.13,1.78,1.59,1.58,1.45,1.36,1.26,1.13,0.87,1.0,0.94,0.89,0.97,0.91,0.82,0.79,0.72,0.67,0.48,0.51,0.51,0.54,0.54,0.49,0.43,0.39,0.42,0.38,0.36,0.37,0.31,0.32,0.27,0.26,0.21,0.17,0.15,0.15,0.14,0.14,0.12,0.11,0.03,0.0,0.0,100.0
08/16/2021,18.83,15.89,11.32,4.27,4.28,4.1,3.65,3.5,2.97,2.58,2.09,1.75,1.61,1.59,1.46,1.35,1.26,1.12,0.87,0.99,0.94,0.92,0.99,0.91,0.81,0.79,0.73,0.67,0.48,0.51,0.5,0.52,0.54,0.49,0.43,0.39,0.42,0.39,0.36,0.36,0.31,0.32,0.26,0.26,0.21,0.17,0.15,0.15,0.14,0.14,0.12,0.11,0.04,0.0,0.0,100.01
08/17/2021,19.86,15.69,11.58,4.31,4.08,3.87,3.45,3.28,2.82,2.53,1.91,1.81,1.72,1.48,1.46,1.41,1.18,1.12,1.01,1.02,0.0,0.96,0.9,0.86,0.82,0.79,0.7,0.65,0.58,0.55,0.56,0.51,0.48,0.47,0.42,0.39,0.39,0.37,0.34,0.33,0.31,0.31,0.28,0.25,0.21,0.18,0.16,0.15,0.14,0.14,0.12,0.11,0.0,0.01,0.0,99.03000000000002
08/18/2021,19.86,15.69,11.58,4.31,4.08,3.87,3.45,3.28,2.82,2.53,1.91,1.81,1.72,1.48,1.46,1.41,1.18,1.12,1.01,1.02,0.0,0.96,0.9,0.86,0.82,0.79,0.7,0.65,0.58,0.55,0.56,0.51,0.48,0.47,0.42,0.39,0.39,0.37,0.34,0.33,0.31,0.31,0.28,0.25,0.21,0.18,0.16,0.15,0.14,0.14,0.12,0.11,0.0,0.01,0.0,99.03000000000002
08/19/2021,19.02,15.96,11.36,4.14,4.29,4.1,3.68,3.46,2.95,2.58,2.1,1.73,1.58,1.58,1.46,1.32,1.26,1.11,0.85,0.97,0.94,0.92,1.0,0.91,0.81,0.79,0.72,0.68,0.47,0.51,0.48,0.52,0.53,0.49,0.43,0.4,0.42,0.39,0.36,0.36,0.31,0.32,0.25,0.26,0.21,0.17,0.14,0.15,0.14,0.14,0.12,0.11,0.03,0.0,0.0,99.98
08/20/2021,19.21,15.95,11.41,4.04,4.25,4.06,3.72,3.44,2.94,2.6,2.11,1.72,1.56,1.57,1.45,1.32,1.27,1.11,0.85,0.97,0.93,0.95,1.0,0.89,0.81,0.79,0.72,0.68,0.46,0.5,0.48,0.52,0.54,0.49,0.43,0.39,0.42,0.38,0.36,0.36,0.3,0.32,0.25,0.26,0.21,0.17,0.14,0.15,0.14,0.13,0.12,0.11,0.04,0.0,0.0,99.99
08/23/2021,19.29,16.14,11.3,3.69,4.28,4.08,3.79,3.39,2.93,2.61,2.08,1.98,1.53,1.55,1.44,1.32,1.29,1.1,0.82,0.98,0.94,0.95,1.0,0.89,0.81,0.79,0.71,0.68,0.45,0.5,0.43,0.52,0.55,0.49,0.43,0.39,0.42,0.39,0.36,0.38,0.31,0.31,0.25,0.26,0.21,0.17,0.13,0.15,0.14,0.14,0.11,0.11,0.03,0.0,0.0,99.98999999999998
08/25/2021,19.31,15.96,11.29,0.0,4.29,4.08,3.86,3.39,2.95,2.62,2.11,1.98,1.53,1.56,1.44,1.31,1.27,1.11,0.83,0.98,0.94,0.94,1.01,0.88,0.81,0.79,0.72,0.67,0.45,0.51,0.43,0.53,0.55,0.49,0.43,0.39,0.42,0.4,0.35,0.39,0.3,0.31,0.26,0.25,0.21,0.17,0.13,0.15,0.14,0.14,0.11,0.11,0.04,0.0,3.67,99.96
08/26/2021,19.18,15.88,11.3,0.0,4.29,4.08,3.86,3.39,2.95,2.62,2.1,1.98,1.54,1.57,1.45,1.31,1.27,1.11,0.84,0.98,0.93,0.95,1.0,0.89,0.81,0.79,0.72,0.67,0.45,0.52,0.44,0.54,0.55,0.49,0.43,0.39,0.42,0.39,0.35,0.41,0.3,0.32,0.26,0.25,0.21,0.17,0.13,0.15,0.14,0.13,0.11,0.11,0.04,0.0,3.79,99.95
08/27/2021,19.19,15.84,11.14,0.0,4.29,4.1,3.88,3.42,2.97,2.61,2.13,2.0,1.55,1.56,1.46,1.33,1.28,1.09,0.84,0.98,0.93,0.95,1.0,0.89,0.8,0.78,0.72,0.67,0.45,0.52,0.44,0.54,0.55,0.49,0.43,0.4,0.42,0.39,0.36,0.4,0.3,0.32,0.27,0.26,0.22,0.17,0.13,0.15,0.14,0.13,0.11,0.11,0.04,0.0,3.83,99.97
08/30/2021,19.16,15.84,11.13,0.0,4.26,4.07,3.87,3.45,2.98,2.6,2.14,2.0,1.56,1.58,1.45,1.37,1.39,1.09,0.83,1.01,0.72,0.95,1.04,0.89,0.8,0.8,0.71,0.68,0.46,0.51,0.44,0.55,0.56,0.51,0.43,0.39,0.42,0.39,0.37,0.39,0.31,0.32,0.27,0.26,0.22,0.17,0.13,0.15,0.14,0.13,0.11,0.11,0.05,0.0,3.84,100.0
09/01/2021,19.18,15.76,11.07,0.0,4.23,4.03,3.91,3.41,2.98,2.6,2.11,1.99,1.56,1.57,1.44,1.35,1.28,1.1,0.82,0.98,1.2,0.96,1.03,0.89,0.8,0.8,0.71,0.68,0.46,0.51,0.44,0.55,0.57,0.49,0.43,0.39,0.42,0.4,0.36,0.39,0.31,0.31,0.27,0.26,0.21,0.17,0.13,0.14,0.14,0.13,0.11,0.11,0.06,0.0,3.8,100.0
09/02/2021,19.26,15.73,11.03,0.0,4.22,4.05,3.9,3.4,2.98,2.6,2.11,2.01,1.55,1.57,1.42,1.35,1.29,1.11,0.83,0.98,1.19,0.98,1.03,0.89,0.8,0.79,0.71,0.68,0.46,0.51,0.44,0.54,0.59,0.49,0.43,0.38,0.42,0.39,0.36,0.4,0.31,0.32,0.27,0.26,0.21,0.17,0.13,0.15,0.14,0.13,0.11,0.11,0.07,0.0,3.76,100.00999999999996
09/03/2021,19.13,15.88,11.17,0.0,4.24,4.01,3.91,3.4,2.96,2.59,2.12,2.02,1.55,1.57,1.42,1.36,1.29,1.09,0.81,0.98,1.19,0.97,1.04,0.88,0.8,0.79,0.7,0.68,0.46,0.52,0.44,0.55,0.58,0.49,0.43,0.38,0.41,0.39,0.36,0.38,0.31,0.31,0.27,0.26,0.21,0.17,0.13,0.15,0.14,0.13,0.11,0.11,0.06,0.0,3.73,100.02999999999999
