,FNV.TO,RGLD,WPM.TO,CG.TO,OR.TO,SSL.TO,MTA.V,TXG.TO,KRR.TO,AR.TO,2099 HK,AU,DPM.TO,ELD.TO,SBSW,FVI.TO,HAM.,IMG.TO,RBP.JO,SLR.AX,RRL.AX,IMP.JO,CEY.L,EDV.TO,HOC.L,RMS.AX,WGX AU,GFI,WGX.AX,HOC LN,FVI CN,SLR AU,WPM,FNV,CG CN,OR,TXG CN,MTA,SAND,AR CN,DPM CN,EGO,KRR CN,HMY,EDV CN,IAG,RRL AU,CEY LN,IMP SJ,RBP SJ,RMS AU,EDG.,NGD.TO,SVM.TO,K.TO,SSRM,AMI.AX,AMS.JO,SUM
07/23/2021,11.47,11.14,10.78,4.32,4.17,3.94,3.46,3.55,2.95,3.21,2.84,3.14,2.95,2.83,2.86,0.0,3.01,2.59,2.18,2.23,2.17,2.05,2.11,2.14,0.0,2.05,0.0,1.98,1.85,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78
07/26/2021,11.41,11.05,10.75,4.36,4.16,3.96,3.64,3.58,2.86,3.32,2.99,3.07,2.95,2.85,2.94,0.0,2.96,2.38,2.22,2.2,2.17,2.07,2.05,2.15,1.88,2.07,1.83,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.82
07/27/2021,11.35,11.22,10.82,4.38,4.18,3.98,3.55,3.59,2.86,3.36,3.07,3.09,2.95,2.83,2.94,0.0,2.88,2.36,2.23,2.03,2.16,2.08,2.03,2.16,1.9,2.05,0.0,1.93,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8
07/28/2021,11.35,11.22,10.82,4.38,4.18,3.98,3.55,3.59,2.86,3.36,3.07,3.09,2.95,2.83,2.94,0.0,2.88,2.36,2.23,2.03,2.16,2.08,2.03,2.16,1.9,2.05,0.0,1.93,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8
07/29/2021,11.46,11.14,10.76,4.41,4.2,4.01,3.6,3.64,2.88,3.34,2.94,3.07,2.98,2.85,3.01,0.0,2.93,2.45,2.27,1.85,2.09,2.16,2.05,2.16,1.88,1.95,0.0,1.93,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.78
07/30/2021,11.44,11.22,10.86,4.45,4.19,3.96,3.61,3.62,2.85,3.31,2.86,3.15,2.97,2.86,3.0,0.0,2.97,2.47,2.23,1.8,2.06,2.15,2.09,2.18,1.86,1.93,0.0,1.99,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.84
08/02/2021,11.67,11.09,10.81,4.34,4.13,3.96,3.56,3.58,2.91,3.36,2.85,3.09,2.92,2.86,3.01,0.0,2.97,2.47,2.33,1.79,2.11,2.24,2.04,2.16,1.97,1.88,0.0,2.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.82
08/03/2021,12.06,11.45,11.17,4.6,4.29,4.1,3.72,3.72,3.06,3.47,2.86,0.0,3.06,2.81,3.1,0.0,2.96,2.56,2.43,1.82,2.07,2.28,2.15,2.23,1.91,1.93,0.0,2.05,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.53
08/04/2021,12.06,11.45,11.17,4.6,4.29,4.1,3.72,3.72,3.06,3.47,2.86,0.0,3.06,2.81,3.1,0.0,2.96,2.56,2.43,1.82,2.07,2.28,2.15,2.23,1.91,1.93,0.0,2.05,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.53
08/05/2021,11.98,11.32,11.09,4.59,4.23,4.07,3.67,3.71,3.05,3.46,3.05,0.0,3.05,2.78,3.07,0.0,3.0,2.53,2.46,1.93,2.19,2.29,2.13,2.22,1.95,2.08,0.0,2.04,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.71
08/06/2021,12.57,11.78,11.58,4.72,4.42,4.24,3.8,3.77,3.17,3.61,0.0,0.0,3.29,2.87,3.24,0.0,3.14,2.68,2.35,1.95,2.24,2.4,2.24,2.32,2.01,2.09,0.0,2.15,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.54
08/10/2021,12.41,11.47,11.25,4.49,4.2,4.02,3.8,3.71,3.01,3.19,3.1,0.0,3.21,2.8,3.09,0.0,2.84,2.45,2.18,1.92,2.21,2.24,2.13,2.31,1.96,2.09,0.0,1.93,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
08/11/2021,12.41,11.47,11.25,4.49,4.2,4.02,3.8,3.71,3.01,3.19,3.1,0.0,3.21,2.8,3.09,0.0,2.84,2.45,2.18,1.92,2.21,2.24,2.13,2.31,1.96,2.09,0.0,1.93,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
08/13/2021,12.61,11.62,11.28,4.52,4.2,3.98,3.9,3.72,2.93,3.0,3.12,0.0,3.31,2.78,3.14,0.0,2.75,2.42,2.17,1.85,2.19,2.25,2.12,2.36,1.98,1.94,1.79,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
08/16/2021,12.69,11.64,11.28,4.55,4.14,3.85,3.86,3.78,2.9,3.07,3.2,0.0,3.3,2.76,3.21,0.0,2.73,2.39,2.24,1.8,2.17,2.24,2.06,2.34,1.99,1.92,1.79,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
08/17/2021,12.41,11.62,11.43,4.52,4.16,3.87,3.76,3.78,2.84,3.09,3.7,0.0,3.3,2.76,3.14,0.0,2.74,2.45,2.17,0.0,2.13,2.21,2.07,2.33,1.97,1.91,0.0,1.95,1.83,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
08/18/2021,12.41,11.62,11.43,4.52,4.16,3.87,3.76,3.78,2.84,3.09,3.7,0.0,3.3,2.76,3.14,0.0,2.74,2.45,2.17,0.0,2.13,2.21,2.07,2.33,1.97,1.91,0.0,1.95,1.83,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
08/19/2021,12.4,11.56,11.49,4.53,4.18,3.81,3.66,3.77,2.76,3.24,3.58,0.0,3.31,2.73,3.2,0.0,2.82,2.43,2.16,0.0,2.12,2.2,2.1,2.36,2.0,1.93,0.0,1.95,1.84,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.88
08/20/2021,12.42,11.56,11.55,4.45,4.19,3.77,3.62,3.72,2.74,3.25,3.65,0.0,3.24,2.73,3.23,0.0,2.84,2.39,2.21,0.0,2.16,2.24,2.1,2.35,2.0,1.9,0.0,2.0,1.84,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.89
08/23/2021,12.19,11.71,11.65,4.38,4.16,3.71,3.66,3.74,2.72,3.38,3.73,0.0,3.27,2.75,3.0,0.0,2.85,2.34,2.06,0.0,2.23,2.09,2.16,2.33,2.04,1.97,0.0,2.08,1.86,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
08/24/2021,12.15,11.67,11.78,4.52,4.18,3.7,3.63,3.8,2.78,3.42,3.51,0.0,3.28,2.77,2.99,0.0,2.94,2.34,2.02,0.0,2.22,1.95,2.19,2.33,2.01,1.94,0.0,2.13,1.82,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
08/25/2021,12.15,11.67,11.78,4.52,4.18,3.7,3.63,3.8,2.78,3.42,3.51,0.0,3.28,2.77,2.99,0.0,2.94,2.34,2.02,0.0,2.22,1.95,2.19,2.33,2.01,1.94,0.0,2.13,1.82,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
08/26/2021,12.0,11.53,11.69,4.64,4.12,3.66,3.79,3.87,2.79,3.39,3.35,0.0,3.3,2.8,3.09,0.0,2.96,2.41,2.04,0.0,2.19,2.03,2.16,2.4,2.08,1.91,0.0,2.09,1.8,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.86
08/27/2021,11.93,11.43,11.66,4.66,4.13,3.65,3.63,3.86,2.77,3.43,3.34,0.0,3.3,2.81,3.09,0.0,2.94,2.41,2.0,0.0,2.28,2.05,2.16,2.41,2.06,1.96,0.0,2.11,1.83,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.71999999999998
08/30/2021,11.87,11.46,11.67,4.72,4.19,3.59,3.6,3.92,2.74,3.29,3.59,0.0,3.3,2.8,3.06,0.0,2.86,2.39,2.0,0.0,2.24,2.08,2.16,2.46,2.05,1.95,0.0,2.1,1.82,0.0,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.72
08/31/2021,11.78,11.38,11.66,4.79,4.15,3.54,3.68,3.96,2.8,3.34,3.49,0.0,3.32,2.85,3.14,0.0,2.97,2.41,2.02,1.8,2.2,2.08,2.12,2.43,2.0,1.92,1.79,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.75
09/01/2021,11.78,11.38,11.66,4.79,4.15,3.54,3.68,3.96,2.8,3.34,3.49,0.0,3.32,2.85,3.14,0.0,2.97,2.41,2.02,1.8,2.2,2.08,2.12,2.43,2.0,1.92,1.79,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.75
09/02/2021,11.77,11.35,11.64,4.67,4.13,3.54,3.74,3.91,2.75,3.36,3.65,0.0,3.3,2.8,3.08,0.0,2.97,2.34,2.01,0.0,2.28,2.08,2.15,2.43,2.03,1.97,0.0,2.06,1.86,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.73
09/03/2021,11.8,11.26,11.7,4.59,4.12,3.56,3.63,3.97,2.77,3.45,3.7,0.0,3.34,2.83,3.14,0.0,2.93,2.39,2.0,0.0,2.18,2.08,2.12,2.46,1.98,1.89,0.0,2.12,1.86,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.67
09/06/2021,11.98,11.45,11.88,4.6,4.14,3.6,3.67,3.87,2.59,3.47,3.61,0.0,3.34,2.85,3.01,0.0,2.78,2.36,1.91,0.0,2.17,1.95,2.08,2.46,1.98,1.95,0.0,2.05,1.89,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.49
09/07/2021,0.0,11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,2.03,0.0,2.11,0.0,1.8,11.97,11.83,4.54,4.14,3.95,3.77,3.61,3.59,3.39,2.87,2.74,2.69,2.45,2.38,2.13,2.11,1.95,1.92,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.51999999999998
09/08/2021,11.83,11.29,11.97,4.54,4.14,3.61,3.77,3.95,2.74,3.59,3.56,0.0,3.39,2.87,2.98,0.0,2.69,2.38,1.92,1.8,2.13,1.95,2.11,2.45,2.11,1.85,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,99.51999999999998
09/09/2021,11.83,11.29,11.97,4.54,4.14,3.61,3.77,3.95,2.74,3.59,3.56,0.0,3.39,2.87,2.98,0.0,2.69,2.38,1.92,1.8,2.13,1.95,2.11,2.45,2.11,1.85,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,99.51999999999998
09/10/2021,11.92,11.36,11.94,4.54,4.14,3.63,3.7,3.92,2.41,3.49,3.81,0.0,3.4,2.85,2.95,0.0,2.57,2.36,1.96,1.86,2.07,1.92,2.07,2.46,2.07,1.88,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,99.18
09/13/2021,11.97,11.53,12.12,4.49,4.19,3.69,3.58,3.97,2.16,3.5,4.02,0.0,3.38,2.84,2.83,0.0,2.54,2.33,1.89,1.75,1.95,1.81,2.06,2.46,2.15,1.84,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,98.82
09/14/2021,9.88,9.82,9.89,3.91,3.93,3.93,2.84,3.91,0.0,2.89,2.98,0.0,3.96,0.0,2.93,0.0,2.95,0.0,2.0,0.0,1.99,1.94,1.97,1.96,1.99,2.01,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,3.04,2.99,2.91,2.9,2.14,1.95,98.47
09/15/2021,9.88,9.82,9.89,3.91,3.93,3.93,2.84,3.91,0.0,2.89,2.98,0.0,3.96,0.0,2.93,0.0,2.95,0.0,2.0,0.0,1.99,1.94,1.97,1.96,1.99,2.01,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,3.04,2.99,2.91,2.9,2.14,1.95,98.47
09/16/2021,9.62,9.85,9.75,4.04,3.91,4.01,3.0,4.04,0.0,2.97,3.1,0.0,4.13,0.0,2.94,0.0,3.03,0.0,2.01,0.0,1.97,1.96,1.95,1.95,2.0,2.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,3.03,3.02,2.89,2.92,2.03,2.01,99.1
09/17/2021,9.7,9.84,9.81,4.05,3.93,4.09,2.99,3.98,0.0,3.03,2.9,0.0,4.21,0.0,2.86,0.0,3.19,0.0,1.9,0.0,1.93,1.87,1.98,1.94,1.97,2.03,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,2.94,3.04,2.9,2.97,2.05,1.88,99.04
09/20/2021,10.02,9.93,9.59,4.12,4.13,4.12,3.08,4.04,0.0,3.04,3.01,0.0,4.16,0.0,2.77,0.0,3.06,0.0,1.85,0.0,2.03,1.88,1.97,2.05,1.93,2.1,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,2.92,3.02,2.92,2.92,2.18,1.88,99.79999999999998
09/21/2021,9.86,9.94,9.57,4.13,4.11,4.12,3.04,4.05,0.0,3.07,3.13,0.0,4.18,0.0,2.83,0.0,3.11,0.0,1.89,0.0,1.95,1.91,1.96,2.06,1.95,2.01,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,3.13,3.04,2.9,2.97,2.07,1.87,99.83
09/22/2021,9.86,9.94,9.57,4.13,4.11,4.12,3.04,4.05,0.0,3.07,3.13,0.0,4.18,0.0,2.83,0.0,3.11,0.0,1.89,0.0,1.95,1.91,1.96,2.06,1.95,2.01,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,3.13,3.04,2.9,2.97,2.07,1.87,99.83
09/23/2021,10.01,10.01,9.59,4.23,4.12,4.08,3.04,4.03,0.0,2.98,3.24,0.0,4.23,0.0,2.78,0.0,3.2,0.0,1.87,0.0,1.9,1.77,2.03,2.02,1.88,1.96,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,3.05,3.0,2.9,2.97,1.96,1.85,99.7
09/24/2021,10.17,10.0,9.71,4.3,4.12,4.05,2.98,4.03,0.0,2.94,3.2,0.0,4.3,0.0,2.81,0.0,3.18,0.0,1.9,0.0,1.91,1.74,2.03,2.02,1.89,1.98,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,2.89,2.99,2.92,2.96,1.95,1.8,99.8
