,AMZN,AAPL,GOOG,GOOGL,MSFT,FB,TSLA,TROW,COF,BRK.B,UPS,GNRC,TPL,PGR,WFC,FCX,AMAT,EVR,TGT,ADBE,SBUX,JNJ,LNG,ALGN,TXN,MSCI,SPGI,PG,XOM,DE,SQ,LPX,WMT,MA,UNH,GE,V,PYPL,ACN,NKE,MCO,ABT,POOL,PXD,PSA,BKNG,CI,SAM,CSCO,COST,EXPD,MRNA,IDXX,HD,F,AA,PINS,RE,Y,FDX,LOW,LRCX,DFS,JPM,TMO,PWR,ROKU,TJX,ANTM,SIVB,CVX,CMCSA,INTU,DIS,WST,PFE,EPAM,ALLY,DG,BLK,ISRG,BAC,SYF,OLN,ACGL,MRK,ADP,LMT,ALL,BX,ORCL,PM,TT,NUE,R,NWSA,GS,TPR,DAR,MS,PAYX,MNST,MTD,VRTX,MU,MMC,MKL,SLM,DHI,JHG,AGCO,CINF,DREYFUS GOVT CASH MGMT,n/a,SUM
07/23/2021,9.69,9.11,7.49,7.04,5.91,4.71,4.68,2.45,2.47,2.18,1.49,1.33,1.2,1.11,1.17,1.0,0.99,0.93,0.98,0.91,0.87,0.83,0.78,0.79,0.75,0.78,0.75,0.76,0.67,0.71,0.7,0.6,0.64,0.63,0.62,0.55,0.56,0.55,0.55,0.51,0.52,0.49,0.48,0.41,0.48,0.45,0.44,0.44,0.42,0.43,0.4,0.52,0.39,0.38,0.34,0.34,0.31,0.34,0.34,0.34,0.33,0.33,0.33,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.26,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.2,0.2,0.17,0.19,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.12,0.12,0.09,0.0,99.97
07/26/2021,9.73,9.03,7.52,7.07,5.97,4.77,4.54,2.43,2.49,2.15,1.48,1.33,1.2,1.09,1.16,1.04,1.02,0.95,0.98,0.92,0.9,0.83,0.78,0.8,0.73,0.78,0.74,0.74,0.68,0.71,0.73,0.61,0.63,0.63,0.62,0.54,0.56,0.55,0.55,0.52,0.52,0.48,0.47,0.42,0.47,0.46,0.44,0.43,0.42,0.43,0.4,0.54,0.39,0.38,0.34,0.36,0.31,0.34,0.33,0.34,0.33,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.29,0.27,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.23,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.18,0.21,0.2,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.14,0.13,0.12,0.12,0.09,0.0,100.04000000000002
07/27/2021,9.66,9.03,7.67,7.23,5.97,4.96,4.45,2.42,2.44,2.13,1.45,1.33,1.18,1.09,1.13,1.04,1.02,0.94,0.98,0.91,0.91,0.82,0.77,0.8,0.73,0.78,0.74,0.74,0.67,0.71,0.73,0.6,0.63,0.64,0.61,0.53,0.56,0.55,0.55,0.52,0.52,0.49,0.47,0.41,0.47,0.45,0.43,0.32,0.42,0.43,0.4,0.58,0.39,0.38,0.33,0.35,0.33,0.33,0.33,0.33,0.34,0.34,0.33,0.3,0.31,0.3,0.32,0.29,0.28,0.29,0.26,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.23,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.21,0.19,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.14,0.13,0.12,0.12,0.09,0.0,100.04
07/28/2021,9.66,9.03,7.67,7.23,5.97,4.96,4.45,2.42,2.44,2.13,1.45,1.33,1.18,1.09,1.13,1.04,1.02,0.94,0.98,0.91,0.91,0.82,0.77,0.8,0.73,0.78,0.74,0.74,0.67,0.71,0.73,0.6,0.63,0.64,0.61,0.53,0.56,0.55,0.55,0.52,0.52,0.49,0.47,0.41,0.47,0.45,0.43,0.32,0.42,0.43,0.4,0.58,0.39,0.38,0.33,0.35,0.33,0.33,0.33,0.33,0.34,0.34,0.33,0.3,0.31,0.3,0.32,0.29,0.28,0.29,0.26,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.23,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.18,0.21,0.19,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.14,0.13,0.12,0.12,0.09,0.0,100.04
07/29/2021,9.72,9.01,7.73,7.25,5.93,4.97,4.52,2.39,2.46,2.12,1.43,1.31,1.17,1.08,1.13,1.07,1.01,0.94,0.97,0.9,0.91,0.82,0.77,0.79,0.73,0.77,0.72,0.74,0.68,0.71,0.72,0.6,0.62,0.64,0.6,0.54,0.56,0.55,0.54,0.51,0.51,0.48,0.48,0.42,0.47,0.46,0.42,0.33,0.42,0.42,0.39,0.55,0.39,0.38,0.33,0.37,0.32,0.33,0.32,0.33,0.33,0.33,0.33,0.3,0.3,0.29,0.32,0.29,0.27,0.28,0.27,0.28,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.18,0.18,0.21,0.19,0.18,0.19,0.18,0.17,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.14,0.13,0.12,0.12,0.09,0.0,99.95
07/30/2021,9.64,8.98,7.67,7.22,5.95,4.97,4.49,2.39,2.49,2.16,1.35,1.31,1.14,1.11,1.15,1.08,1.0,0.94,0.98,0.91,0.92,0.83,0.78,0.79,0.73,0.79,0.73,0.75,0.68,0.71,0.7,0.61,0.63,0.64,0.61,0.55,0.57,0.54,0.55,0.52,0.52,0.48,0.49,0.42,0.48,0.46,0.43,0.33,0.43,0.43,0.39,0.55,0.39,0.38,0.33,0.36,0.32,0.34,0.33,0.32,0.33,0.33,0.33,0.3,0.31,0.3,0.31,0.29,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.25,0.23,0.23,0.21,0.21,0.22,0.21,0.2,0.2,0.19,0.18,0.21,0.19,0.18,0.19,0.19,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.14,0.13,0.12,0.12,0.09,0.0,100.04000000000002
08/02/2021,9.52,8.86,7.61,7.39,5.91,4.81,4.69,2.38,2.5,2.14,1.31,1.24,1.15,1.1,1.18,1.13,1.01,0.93,0.98,0.91,0.89,0.83,0.79,0.85,0.74,0.8,0.74,0.74,0.69,0.72,0.71,0.63,0.63,0.64,0.6,0.56,0.56,0.51,0.55,0.52,0.51,0.49,0.49,0.43,0.47,0.46,0.43,0.32,0.42,0.43,0.39,0.57,0.4,0.37,0.34,0.37,0.31,0.34,0.33,0.32,0.33,0.33,0.33,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.27,0.28,0.28,0.26,0.28,0.27,0.26,0.25,0.25,0.23,0.23,0.21,0.22,0.23,0.21,0.2,0.2,0.18,0.19,0.22,0.19,0.18,0.19,0.2,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.14,0.14,0.12,0.12,0.09,0.0,100.02
08/03/2021,8.89,8.96,7.61,7.41,5.94,4.83,4.8,2.41,2.49,2.15,1.33,1.26,1.19,1.11,1.18,1.14,1.04,0.93,0.99,0.92,0.89,0.84,0.78,0.88,0.75,0.81,0.76,0.76,0.68,0.73,0.69,0.63,0.63,0.64,0.61,0.55,0.56,0.5,0.55,0.53,0.51,0.49,0.5,0.43,0.48,0.45,0.43,0.33,0.43,0.44,0.4,0.59,0.39,0.38,0.34,0.38,0.25,0.35,0.33,0.32,0.33,0.34,0.33,0.31,0.31,0.31,0.29,0.29,0.28,0.28,0.27,0.28,0.28,0.26,0.28,0.27,0.26,0.25,0.25,0.23,0.23,0.21,0.21,0.23,0.21,0.2,0.21,0.19,0.18,0.22,0.19,0.18,0.2,0.2,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.12,0.1,0.0,99.99
08/04/2021,8.89,8.96,7.61,7.41,5.94,4.83,4.8,2.41,2.49,2.15,1.33,1.26,1.19,1.11,1.18,1.14,1.04,0.93,0.99,0.92,0.89,0.84,0.78,0.88,0.75,0.81,0.76,0.76,0.68,0.73,0.69,0.63,0.63,0.64,0.61,0.55,0.56,0.5,0.55,0.53,0.51,0.49,0.5,0.43,0.48,0.45,0.43,0.33,0.43,0.44,0.4,0.59,0.39,0.38,0.34,0.38,0.25,0.35,0.33,0.32,0.33,0.34,0.33,0.31,0.31,0.31,0.29,0.29,0.28,0.28,0.27,0.28,0.28,0.26,0.28,0.27,0.26,0.25,0.25,0.23,0.23,0.21,0.21,0.23,0.21,0.2,0.21,0.19,0.18,0.22,0.19,0.18,0.2,0.2,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.12,0.1,0.0,99.99
08/05/2021,8.9,8.95,7.66,7.42,5.94,4.78,4.96,2.43,2.47,2.15,1.33,1.2,1.18,1.11,1.17,1.09,1.05,0.92,0.98,0.91,0.88,0.84,0.78,0.89,0.75,0.83,0.77,0.76,0.68,0.72,0.76,0.61,0.63,0.62,0.62,0.53,0.54,0.49,0.55,0.53,0.52,0.49,0.5,0.42,0.47,0.45,0.43,0.33,0.43,0.44,0.39,0.58,0.39,0.38,0.34,0.38,0.24,0.35,0.33,0.31,0.32,0.34,0.33,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.27,0.28,0.28,0.26,0.29,0.28,0.26,0.25,0.25,0.23,0.23,0.21,0.21,0.23,0.21,0.2,0.21,0.18,0.18,0.22,0.19,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.12,0.1,0.0,99.96
08/06/2021,8.92,8.98,7.61,7.4,5.94,4.73,4.92,2.45,2.47,2.16,1.33,1.19,1.17,1.11,1.19,1.08,1.05,0.9,0.99,0.91,0.86,0.84,0.79,0.88,0.74,0.84,0.77,0.77,0.68,0.73,0.75,0.62,0.63,0.6,0.62,0.54,0.53,0.49,0.55,0.54,0.51,0.49,0.49,0.45,0.47,0.44,0.44,0.31,0.43,0.44,0.39,0.64,0.4,0.38,0.34,0.38,0.25,0.36,0.33,0.32,0.33,0.34,0.33,0.31,0.31,0.3,0.28,0.29,0.29,0.28,0.27,0.28,0.28,0.26,0.29,0.29,0.27,0.25,0.25,0.23,0.23,0.21,0.21,0.23,0.21,0.2,0.21,0.18,0.18,0.22,0.19,0.18,0.2,0.2,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.15,0.14,0.13,0.12,0.07,0.0,99.95999999999998
08/09/2021,8.91,8.93,7.62,7.4,5.96,4.87,4.94,2.47,2.48,2.14,1.3,1.19,1.15,1.1,1.19,1.06,1.04,0.92,0.98,0.92,0.86,0.83,0.78,0.88,0.75,0.84,0.78,0.76,0.67,0.73,0.78,0.62,0.64,0.61,0.6,0.54,0.54,0.5,0.55,0.54,0.52,0.49,0.5,0.44,0.47,0.45,0.38,0.3,0.43,0.45,0.38,0.69,0.4,0.38,0.33,0.37,0.26,0.35,0.33,0.31,0.32,0.34,0.34,0.31,0.31,0.31,0.27,0.29,0.27,0.29,0.27,0.28,0.28,0.26,0.29,0.28,0.28,0.25,0.25,0.23,0.24,0.21,0.22,0.23,0.22,0.19,0.21,0.18,0.18,0.22,0.19,0.18,0.19,0.19,0.18,0.16,0.17,0.17,0.17,0.18,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.15,0.14,0.13,0.12,0.0,0.07,100.03
08/10/2021,8.82,8.86,7.61,7.37,5.96,4.87,4.82,2.49,2.52,2.18,1.32,1.23,1.16,1.11,1.23,1.08,1.04,0.92,0.97,0.92,0.86,0.83,0.77,0.87,0.75,0.84,0.77,0.75,0.68,0.73,0.76,0.63,0.64,0.61,0.61,0.55,0.54,0.5,0.55,0.54,0.52,0.49,0.49,0.44,0.46,0.45,0.39,0.3,0.43,0.44,0.38,0.68,0.39,0.38,0.33,0.38,0.25,0.36,0.34,0.31,0.32,0.34,0.34,0.31,0.31,0.31,0.26,0.29,0.27,0.3,0.27,0.28,0.28,0.26,0.29,0.28,0.28,0.25,0.25,0.23,0.24,0.22,0.22,0.23,0.22,0.19,0.21,0.18,0.18,0.21,0.19,0.18,0.19,0.2,0.18,0.16,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.12,0.0,0.07,99.91
08/11/2021,8.82,8.86,7.61,7.37,5.96,4.87,4.82,2.49,2.52,2.18,1.32,1.23,1.16,1.11,1.23,1.08,1.04,0.92,0.97,0.92,0.86,0.83,0.77,0.87,0.75,0.84,0.77,0.75,0.68,0.73,0.76,0.63,0.64,0.61,0.61,0.55,0.54,0.5,0.55,0.54,0.52,0.49,0.49,0.44,0.46,0.45,0.39,0.3,0.43,0.44,0.38,0.68,0.39,0.38,0.33,0.38,0.25,0.36,0.34,0.31,0.32,0.34,0.34,0.31,0.31,0.31,0.26,0.29,0.27,0.3,0.27,0.28,0.28,0.26,0.29,0.28,0.28,0.25,0.25,0.23,0.24,0.22,0.22,0.23,0.22,0.19,0.21,0.18,0.18,0.21,0.19,0.18,0.19,0.2,0.18,0.16,0.18,0.18,0.17,0.18,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.12,0.0,0.07,99.91
08/13/2021,8.72,8.8,7.65,7.4,5.87,4.82,4.88,2.52,2.58,2.2,1.3,1.23,1.18,1.1,1.25,1.12,1.01,0.93,0.99,0.9,0.84,0.83,0.8,0.86,0.74,0.84,0.76,0.75,0.68,0.75,0.75,0.64,0.65,0.6,0.6,0.55,0.53,0.49,0.55,0.54,0.51,0.49,0.49,0.44,0.47,0.45,0.39,0.3,0.43,0.44,0.37,0.75,0.38,0.38,0.33,0.41,0.24,0.36,0.34,0.3,0.32,0.32,0.35,0.32,0.31,0.31,0.25,0.3,0.27,0.29,0.27,0.28,0.28,0.26,0.29,0.3,0.28,0.26,0.26,0.24,0.23,0.22,0.22,0.23,0.22,0.19,0.21,0.18,0.19,0.21,0.19,0.18,0.18,0.22,0.18,0.16,0.18,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.14,0.15,0.15,0.13,0.14,0.14,0.13,0.12,0.0,0.08,99.98
08/16/2021,8.63,8.95,7.62,7.38,5.91,4.81,4.94,2.49,2.66,2.2,1.31,1.24,1.17,1.1,1.28,1.12,0.94,0.95,0.97,0.92,0.83,0.83,0.8,0.87,0.73,0.83,0.76,0.75,0.66,0.76,0.74,0.67,0.65,0.59,0.59,0.55,0.51,0.49,0.55,0.53,0.51,0.49,0.49,0.44,0.47,0.45,0.39,0.29,0.43,0.44,0.37,0.64,0.38,0.38,0.33,0.42,0.24,0.37,0.34,0.31,0.32,0.3,0.35,0.32,0.31,0.32,0.25,0.3,0.26,0.29,0.27,0.28,0.28,0.26,0.29,0.29,0.28,0.26,0.25,0.24,0.23,0.22,0.23,0.23,0.22,0.19,0.21,0.18,0.19,0.21,0.19,0.18,0.18,0.23,0.18,0.16,0.19,0.18,0.19,0.19,0.16,0.16,0.16,0.14,0.13,0.15,0.15,0.13,0.15,0.14,0.14,0.12,0.0,0.08,99.97
08/17/2021,8.61,8.97,7.63,7.41,5.98,4.82,4.91,2.48,2.68,2.18,1.31,1.21,1.15,1.09,1.26,1.11,0.94,0.95,0.97,0.92,0.84,0.84,0.79,0.86,0.73,0.84,0.77,0.76,0.66,0.76,0.74,0.65,0.65,0.59,0.59,0.54,0.52,0.49,0.55,0.53,0.51,0.49,0.49,0.44,0.47,0.45,0.39,0.28,0.43,0.45,0.38,0.64,0.38,0.37,0.32,0.42,0.23,0.37,0.34,0.31,0.32,0.3,0.35,0.32,0.31,0.32,0.24,0.29,0.26,0.29,0.27,0.28,0.28,0.26,0.29,0.3,0.28,0.26,0.25,0.24,0.23,0.22,0.23,0.24,0.22,0.19,0.21,0.18,0.19,0.21,0.19,0.18,0.18,0.24,0.18,0.15,0.18,0.18,0.19,0.19,0.17,0.17,0.16,0.14,0.13,0.16,0.15,0.13,0.15,0.14,0.13,0.12,0.0,0.09,99.97
