,D05.SI,O39.SI,U11.SI,S68.SI,A17U.SI,BN4.SI,Z74.SI,F34.SI,C6L.SI,M44U.SI,S63.SI,SE,V03.SI,G13.SI,N2IU.SI,U14.SI,C31.SI,C09.SI,C38U.SI,SGD,XTSLA,UBFUT,QZN1,MARGIN_SGD,QZQ1,QZU1,USD,CLI SP Equity,CLI.SI,QZV1,9CI.SI,QZX1,SUM
09/20/2021,20.08,14.17,10.84,4.09,4.5,4.13,4.57,3.67,3.7,3.58,3.43,4.75,3.13,2.83,2.94,2.39,0.0,2.35,2.2,0.94,0.02,0.02,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,100.01
09/21/2021,20.12,14.15,10.88,4.09,4.54,4.12,4.61,3.7,3.62,3.62,3.43,4.7,3.11,2.8,2.98,2.38,0.0,2.35,2.16,0.94,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,100.01999999999998
09/22/2021,20.12,14.15,10.88,4.09,4.54,4.12,4.61,3.7,3.62,3.62,3.43,4.7,3.11,2.8,2.98,2.38,0.0,2.35,2.16,0.94,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,100.01999999999998
09/27/2021,19.82,14.03,10.85,4.08,4.58,4.11,4.75,3.72,3.81,3.64,3.53,4.78,3.09,2.86,3.02,2.43,0.0,2.34,2.26,0.18,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,100.02000000000002
09/28/2021,19.79,14.02,10.87,4.09,4.57,4.13,4.82,3.73,3.8,3.62,3.54,4.79,3.1,2.86,3.03,2.44,0.0,2.32,2.24,0.18,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0,100.04
09/30/2021,19.98,14.14,10.9,4.07,4.5,4.14,4.78,3.71,3.8,3.58,3.51,4.68,3.08,2.84,3.0,2.42,0.0,2.29,2.23,0.18,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,100.04000000000002
10/01/2021,20.17,14.15,10.95,4.06,4.51,4.12,4.77,3.82,3.8,3.58,3.47,4.47,3.09,2.78,2.98,2.41,0.0,2.3,2.22,0.18,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,100.06
10/20/2021,19.83,14.14,11.05,3.86,4.33,4.22,4.68,3.87,4.08,3.39,3.47,4.81,3.16,2.97,2.94,2.45,0.0,2.36,2.23,0.09,0.02,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,2.07,0.0,100.0
10/21/2021,19.87,14.18,11.01,3.83,4.29,4.24,4.75,3.87,4.05,3.37,3.43,4.85,3.2,2.97,2.94,2.46,0.0,2.36,2.2,0.09,0.02,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,2.04,0.0,100.0
10/25/2021,20.27,14.11,11.04,3.81,4.34,4.17,4.73,3.87,3.84,3.32,3.43,4.9,3.2,2.9,2.94,2.45,0.0,2.34,2.21,0.07,0.04,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,2.04,0.0,99.99
10/26/2021,20.3,14.19,11.04,3.84,4.33,4.19,4.75,3.84,3.87,3.31,3.41,4.78,3.2,2.89,2.92,2.46,0.0,2.34,2.2,0.07,0.04,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,2.04,0.0,99.98
10/27/2021,20.3,14.19,11.04,3.84,4.33,4.19,4.75,3.84,3.87,3.31,3.41,4.78,3.2,2.89,2.92,2.46,0.0,2.34,2.2,0.07,0.04,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,2.04,0.0,99.98
11/01/2021,20.51,14.07,11.04,3.88,4.37,4.1,4.68,3.83,3.81,3.37,3.39,4.75,3.11,2.9,2.97,2.42,0.0,2.32,2.23,0.15,0.05,0.01,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,2.09,0.0,100.01
11/02/2021,20.53,14.05,11.06,3.9,4.4,4.12,4.64,3.81,3.82,3.4,3.39,4.66,3.1,2.91,2.99,2.42,0.0,2.33,2.24,0.15,0.05,0.01,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,2.06,0.0,100.0
11/03/2021,20.53,14.05,11.06,3.9,4.4,4.12,4.64,3.81,3.82,3.4,3.39,4.66,3.1,2.91,2.99,2.42,0.0,2.33,2.24,0.15,0.05,0.01,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,2.06,0.0,100.0
11/04/2021,20.58,14.11,11.02,3.92,4.4,4.05,4.64,3.86,3.81,3.34,3.36,4.76,3.1,2.88,2.98,2.41,0.0,2.31,2.23,0.18,0.05,0.01,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,2.06,0.0,100.01999999999998
11/05/2021,20.65,14.07,11.2,3.88,4.35,4.03,4.59,3.92,3.78,3.34,3.35,4.83,3.09,2.89,2.97,2.35,0.0,2.27,2.22,0.18,0.05,0.01,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,2.03,0.0,100.01
11/08/2021,20.77,14.0,11.14,3.83,4.4,4.0,4.58,3.92,3.81,3.32,3.34,4.8,3.09,2.9,2.91,2.37,0.0,2.28,2.22,0.26,0.05,0.01,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,2.04,0.0,99.99000000000001
