,2269.HK,BGNE,300142 C2,300601 C2,000661 C2,ZLAB,300676 C2,1177.HK,300357 C2,002007 C2,1548.HK,600161 C1,603345 C1,300009 C2,300725 C2,603392 C1,002252 C2,002030 C2,002422 C2,603127 C1,1530.HK,300639 C2,9966.HK,9939.HK,1873.HK,002038 C2,6855.HK,000710 C2,688366 C1,000078 C2,603387 C1,2126.HK,603363 C1,002880 C2,CASH,n/a,SUM
08/13/2021,9.74,7.56,12.14,6.96,5.04,4.02,3.97,3.89,4.15,4.03,4.59,2.91,2.95,2.86,3.55,2.51,2.31,2.36,1.96,2.32,1.11,1.19,1.05,1.16,0.71,0.69,0.68,0.65,0.59,0.6,0.45,0.45,0.34,0.32,0.0,0.19,100.0
08/16/2021,9.63,7.26,11.64,7.05,5.18,4.21,4.09,3.94,4.18,4.1,4.1,3.0,2.86,2.93,3.67,2.41,2.4,2.46,2.03,2.51,1.16,1.32,1.05,1.12,0.7,0.72,0.67,0.65,0.54,0.62,0.46,0.46,0.36,0.33,0.0,0.19,100.0
08/18/2021,9.84,6.97,11.08,6.89,5.47,4.24,4.07,3.92,4.2,4.13,4.3,3.04,2.89,2.96,3.72,2.35,2.43,2.49,2.04,2.48,1.22,1.39,1.03,1.13,0.7,0.72,0.66,0.65,0.54,0.62,0.47,0.47,0.36,0.33,0.0,0.19,99.99
08/19/2021,9.72,7.08,11.18,6.95,5.48,4.11,4.03,3.91,4.22,4.1,4.31,2.99,2.99,2.94,3.6,2.46,2.44,2.47,2.04,2.48,1.27,1.39,1.02,1.15,0.68,0.72,0.66,0.66,0.55,0.63,0.47,0.44,0.36,0.33,0.0,0.19,100.02
08/20/2021,9.43,7.34,11.02,7.29,5.39,4.09,4.05,3.97,4.23,4.14,4.37,3.05,2.94,2.93,3.5,2.45,2.47,2.39,2.08,2.36,1.23,1.36,1.01,1.21,0.69,0.72,0.65,0.66,0.53,0.64,0.48,0.45,0.37,0.34,0.0,0.19,100.02
08/23/2021,9.42,7.16,12.03,7.33,5.19,3.78,4.08,4.04,4.17,4.17,4.35,3.03,2.84,2.94,3.6,2.34,2.47,2.37,2.05,2.32,1.24,1.36,0.93,1.14,0.67,0.72,0.63,0.65,0.54,0.63,0.47,0.42,0.36,0.34,0.0,0.19,99.97
08/24/2021,9.42,7.16,12.03,7.33,5.19,3.78,4.08,4.04,4.17,4.17,4.35,3.03,2.84,2.94,3.6,2.34,2.47,2.37,2.05,2.32,1.24,1.36,0.93,1.14,0.67,0.72,0.63,0.65,0.54,0.63,0.47,0.42,0.36,0.34,0.0,0.19,99.97
08/25/2021,9.08,6.77,12.56,7.27,5.14,4.07,4.08,4.02,4.18,4.27,4.1,3.1,2.84,2.9,3.67,2.29,2.58,2.4,2.08,2.27,1.23,1.36,0.91,1.17,0.67,0.74,0.63,0.66,0.54,0.65,0.47,0.41,0.37,0.34,0.0,0.19,100.01
08/26/2021,9.36,7.12,12.87,7.34,4.97,4.21,3.97,3.92,4.01,4.15,4.47,2.94,2.79,2.86,3.58,2.24,2.49,2.33,1.98,2.19,1.22,1.3,0.92,1.22,0.66,0.72,0.63,0.64,0.53,0.63,0.45,0.41,0.36,0.33,0.0,0.18,99.99
08/27/2021,9.89,7.29,12.38,7.09,4.94,4.14,3.94,3.87,3.93,4.11,4.72,2.9,2.69,2.79,3.74,2.25,2.46,2.33,2.0,2.37,1.23,1.29,0.94,1.22,0.69,0.71,0.63,0.62,0.54,0.62,0.46,0.41,0.35,0.32,0.0,0.18,100.04
08/30/2021,9.78,7.43,12.62,6.81,4.89,4.02,3.95,3.86,3.89,4.13,4.71,2.87,2.65,2.83,3.64,2.32,2.51,2.32,2.12,2.42,1.27,1.27,0.92,1.2,0.67,0.74,0.63,0.62,0.54,0.64,0.47,0.42,0.36,0.32,0.0,0.18,100.02
08/31/2021,9.78,7.43,12.62,6.81,4.89,4.02,3.95,3.86,3.89,4.13,4.71,2.87,2.65,2.83,3.64,2.32,2.51,2.32,2.12,2.42,1.27,1.27,0.92,1.2,0.67,0.74,0.63,0.62,0.54,0.64,0.47,0.42,0.36,0.32,0.0,0.18,100.02
09/01/2021,9.77,7.46,12.39,6.9,4.81,4.07,3.99,3.88,3.91,3.75,4.74,2.86,2.65,2.85,3.64,2.37,2.51,2.42,2.16,2.44,1.4,1.26,0.91,1.26,0.68,0.76,0.63,0.62,0.51,0.64,0.46,0.42,0.35,0.32,0.0,0.18,99.97
09/02/2021,10.0,7.92,13.14,6.73,4.74,4.09,3.81,3.91,3.78,3.37,4.73,2.77,2.63,2.76,3.58,2.23,2.45,2.33,2.1,2.44,1.45,1.24,0.98,1.34,0.69,0.76,0.62,0.59,0.51,0.64,0.45,0.4,0.34,0.31,0.0,0.17,100.0
09/03/2021,10.18,8.18,11.85,6.69,4.78,4.29,3.81,4.06,3.73,3.46,4.74,2.75,2.69,2.74,3.62,2.34,2.43,2.3,2.15,2.46,1.5,1.25,1.03,1.37,0.71,0.77,0.65,0.61,0.51,0.65,0.47,0.4,0.35,0.3,0.0,0.17,99.99
09/06/2021,9.8,8.98,11.47,6.4,4.6,4.41,3.84,4.24,3.66,3.57,4.63,2.78,2.72,2.77,3.61,2.06,2.5,2.36,2.17,2.4,1.52,1.29,1.06,1.45,0.74,0.79,0.64,0.6,0.51,0.66,0.49,0.44,0.35,0.31,0.0,0.17,99.99
09/08/2021,9.9,9.01,11.17,6.49,4.6,4.37,3.92,4.3,3.63,3.55,4.64,2.8,2.77,2.8,3.61,1.99,2.52,2.37,2.19,2.37,1.5,1.27,1.09,1.39,0.72,0.81,0.66,0.63,0.51,0.66,0.49,0.44,0.36,0.32,0.0,0.17,100.01999999999998
09/09/2021,9.9,9.01,11.17,6.49,4.6,4.37,3.92,4.3,3.63,3.55,4.64,2.8,2.77,2.8,3.61,1.99,2.52,2.37,2.19,2.37,1.5,1.27,1.09,1.39,0.72,0.81,0.66,0.63,0.51,0.66,0.49,0.44,0.36,0.32,0.0,0.17,100.01999999999998
09/10/2021,9.82,8.89,11.48,6.29,4.63,4.33,3.8,4.09,3.74,3.42,4.53,3.05,2.95,2.8,3.91,1.9,2.44,2.35,2.1,2.48,1.43,1.32,1.17,1.42,0.68,0.78,0.66,0.61,0.52,0.64,0.47,0.5,0.35,0.31,0.0,0.15,100.01
09/13/2021,9.95,8.8,11.19,6.84,4.57,4.0,3.8,4.06,3.73,3.43,4.54,3.29,2.87,2.83,3.73,1.91,2.47,2.37,2.17,2.46,1.46,1.32,1.16,1.24,0.67,0.82,0.63,0.6,0.58,0.67,0.47,0.57,0.35,0.32,0.0,0.13,100.0
09/14/2021,9.95,8.8,11.19,6.84,4.57,4.0,3.8,4.06,3.73,3.43,4.54,3.29,2.87,2.83,3.73,1.91,2.47,2.37,2.17,2.46,1.46,1.32,1.16,1.24,0.67,0.82,0.63,0.6,0.58,0.67,0.47,0.57,0.35,0.32,0.0,0.13,100.0
09/15/2021,9.9,9.23,11.4,6.39,4.56,4.03,3.83,4.17,3.71,3.41,4.33,3.07,2.8,2.85,3.82,1.89,2.49,2.36,2.18,2.42,1.48,1.34,1.17,1.31,0.68,0.82,0.63,0.6,0.52,0.66,0.48,0.6,0.35,0.32,0.0,0.21,100.00999999999998
09/16/2021,9.69,9.63,10.98,6.34,4.59,4.06,3.92,4.17,3.73,3.4,4.15,3.15,2.81,2.9,3.89,1.87,2.51,2.46,2.19,2.45,1.46,1.37,1.08,1.3,0.66,0.84,0.61,0.61,0.5,0.68,0.48,0.6,0.35,0.32,0.0,0.22,99.96999999999998
09/17/2021,9.83,9.71,10.85,6.2,4.56,3.97,3.93,4.13,3.76,3.36,4.25,3.03,2.87,2.95,4.11,1.82,2.47,2.47,2.14,2.57,1.48,1.33,1.09,1.33,0.66,0.81,0.62,0.63,0.52,0.67,0.47,0.52,0.34,0.32,0.0,0.22,99.99
09/20/2021,10.02,10.42,10.42,5.76,4.56,3.83,3.84,3.99,3.69,3.32,4.24,3.0,3.0,2.98,4.29,1.81,2.51,2.4,2.18,2.84,1.43,1.35,1.06,1.36,0.64,0.83,0.59,0.64,0.52,0.69,0.47,0.43,0.36,0.33,0.0,0.22,100.02
09/21/2021,10.02,10.42,10.42,5.76,4.56,3.83,3.84,3.99,3.69,3.32,4.24,3.0,3.0,2.98,4.29,1.81,2.51,2.4,2.18,2.84,1.43,1.35,1.06,1.36,0.64,0.83,0.59,0.64,0.52,0.69,0.47,0.43,0.36,0.33,0.0,0.22,100.02
09/22/2021,10.17,10.47,10.79,6.07,4.45,3.74,3.69,3.88,3.9,3.23,4.25,2.94,2.98,2.93,4.24,1.89,2.4,2.34,2.07,2.89,1.41,1.34,1.02,1.31,0.66,0.79,0.6,0.6,0.53,0.65,0.45,0.44,0.34,0.32,0.0,0.21,99.98999999999998
09/23/2021,10.1,10.43,10.86,6.1,4.48,3.64,3.71,3.84,3.92,3.25,4.2,2.96,2.99,2.95,4.27,1.9,2.41,2.36,2.09,2.91,1.38,1.35,1.02,1.27,0.64,0.79,0.61,0.61,0.53,0.66,0.45,0.42,0.35,0.33,0.0,0.21,99.98999999999998
09/24/2021,10.17,10.23,10.91,6.13,4.5,3.52,3.73,3.85,3.94,3.26,4.21,2.97,3.01,2.97,4.29,1.91,2.43,2.37,2.09,2.92,1.4,1.35,1.0,1.22,0.66,0.8,0.59,0.61,0.54,0.66,0.45,0.41,0.35,0.33,0.0,0.21,99.98999999999998
09/27/2021,10.15,10.2,10.36,5.96,4.51,3.58,3.77,3.95,4.12,3.29,4.13,2.97,2.89,2.94,4.37,2.16,2.5,2.38,2.14,2.9,1.39,1.39,1.03,1.22,0.64,0.85,0.61,0.61,0.52,0.68,0.47,0.43,0.35,0.33,0.0,0.21,99.99999999999999
