,PSA,WELL,AVB,EQR,EXR,INVH,VTR,MAA,SUI,ESS,PEAK,UDR,ELS,CPT,MPW,AMH,CUBE,OHI,LSI,AIRC,ACC,HTA,HR,SBRA,DOC,NSA,NHI,CTRE,IRT,LTC,NXRT,USD,CHCT,CSR,AIV,DHC,UMH,GMRE,UHT,SNR,XTSLA,APTS,BRG,BRT,JPFFT,DJEU1,MARGIN_EUR,MARGIN_JPY,MARGIN_TRY,DJEZ1,WRE,SUM
10/27/2021,10.05,7.0,6.63,6.43,4.98,4.81,4.62,4.71,4.73,4.57,4.37,3.8,3.5,3.62,2.85,2.67,2.5,1.71,2.33,1.88,1.64,1.68,1.11,0.77,0.94,1.13,0.57,0.47,0.55,0.3,0.37,0.05,0.26,0.34,0.26,0.21,0.24,0.23,0.17,0.0,0.13,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.98000000000002
10/28/2021,10.12,7.0,6.63,6.42,5.05,4.83,4.58,4.7,4.73,4.57,4.34,3.78,3.5,3.6,2.8,2.67,2.52,1.67,2.37,1.89,1.66,1.68,1.11,0.76,0.93,1.16,0.57,0.46,0.55,0.3,0.37,0.04,0.25,0.34,0.26,0.21,0.24,0.23,0.17,0.0,0.13,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.99
10/29/2021,10.05,6.93,6.66,6.46,5.01,4.81,4.56,4.72,4.62,4.61,4.41,3.81,3.48,3.62,2.87,2.68,2.51,1.66,2.35,1.89,1.69,1.69,1.12,0.75,0.94,1.16,0.57,0.46,0.55,0.3,0.37,0.03,0.26,0.34,0.26,0.21,0.24,0.23,0.17,0.0,0.15,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,100.0
11/01/2021,10.0,7.0,6.67,6.49,5.08,4.77,4.57,4.71,4.5,4.62,4.46,3.81,3.4,3.63,2.95,2.64,2.53,1.67,2.37,1.88,1.71,1.67,1.12,0.75,0.94,1.16,0.56,0.46,0.57,0.3,0.36,0.03,0.26,0.33,0.26,0.21,0.24,0.23,0.17,0.0,0.14,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,100.02
11/02/2021,10.12,6.87,6.67,6.43,5.23,4.81,4.44,4.71,4.54,4.59,4.42,3.8,3.4,3.68,2.92,2.66,2.56,1.62,2.41,1.94,1.7,1.68,1.11,0.72,0.94,1.17,0.54,0.45,0.57,0.29,0.36,0.0,0.26,0.33,0.26,0.2,0.24,0.23,0.17,0.0,0.17,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,100.01
11/03/2021,10.12,6.87,6.67,6.43,5.23,4.81,4.44,4.71,4.54,4.59,4.42,3.8,3.4,3.68,2.92,2.66,2.56,1.62,2.41,1.94,1.7,1.68,1.11,0.72,0.94,1.17,0.54,0.45,0.57,0.29,0.36,0.0,0.26,0.33,0.26,0.2,0.24,0.23,0.17,0.0,0.17,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,100.01
11/04/2021,10.09,7.03,6.61,6.33,5.21,4.78,4.57,4.64,4.51,4.53,4.43,3.76,3.41,3.64,2.94,2.67,2.54,1.66,2.4,1.92,1.72,1.69,1.11,0.76,0.95,1.17,0.55,0.45,0.57,0.3,0.36,0.0,0.26,0.32,0.26,0.21,0.24,0.23,0.17,0.0,0.17,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.96
11/05/2021,10.24,6.96,6.6,6.26,5.33,4.82,4.51,4.67,4.54,4.51,4.39,3.76,3.45,3.62,2.87,2.65,2.58,1.64,2.42,1.9,1.73,1.68,1.11,0.74,0.94,1.2,0.54,0.44,0.58,0.29,0.36,-0.03,0.26,0.32,0.26,0.21,0.24,0.23,0.17,0.0,0.19,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.98
11/08/2021,10.24,6.95,6.65,6.29,5.32,4.79,4.43,4.68,4.57,4.53,4.32,3.74,3.44,3.66,2.89,2.68,2.6,1.61,2.43,1.92,1.72,1.69,1.08,0.74,0.94,1.19,0.54,0.43,0.59,0.29,0.37,0.0,0.25,0.32,0.27,0.19,0.24,0.24,0.17,0.0,0.2,0.15,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,100.01
11/09/2021,9.88,7.26,6.73,6.32,5.18,4.77,4.5,4.69,4.52,4.57,4.28,3.77,3.43,3.65,2.9,2.62,2.5,1.66,2.36,1.95,1.72,1.7,1.1,0.76,0.94,1.17,0.56,0.45,0.59,0.3,0.38,0.1,0.26,0.33,0.27,0.2,0.24,0.24,0.18,0.0,0.13,0.16,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,99.98
11/10/2021,9.88,7.26,6.73,6.32,5.18,4.77,4.5,4.69,4.52,4.57,4.28,3.77,3.43,3.65,2.9,2.62,2.5,1.66,2.36,1.95,1.72,1.7,1.1,0.76,0.94,1.17,0.56,0.45,0.59,0.3,0.38,0.1,0.26,0.33,0.27,0.2,0.24,0.24,0.18,0.0,0.13,0.16,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,99.98
11/11/2021,9.91,7.28,6.75,6.35,5.26,4.74,4.39,4.68,4.53,4.59,4.26,3.78,3.41,3.67,2.91,2.62,2.53,1.61,2.36,1.93,1.74,1.7,1.08,0.75,0.93,1.17,0.55,0.45,0.59,0.3,0.39,0.07,0.26,0.33,0.27,0.2,0.24,0.24,0.18,0.0,0.17,0.16,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,99.99
11/12/2021,9.92,7.31,6.77,6.39,5.25,4.73,4.4,4.68,4.49,4.6,4.24,3.78,3.41,3.68,2.92,2.64,2.52,1.58,2.36,1.93,1.72,1.7,1.07,0.74,0.92,1.17,0.57,0.47,0.6,0.3,0.39,0.06,0.26,0.33,0.28,0.19,0.23,0.23,0.18,0.0,0.17,0.17,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,100.01
11/15/2021,9.97,7.24,6.75,6.37,5.23,4.7,4.53,4.67,4.46,4.62,4.23,3.8,3.4,3.73,2.92,2.63,2.52,1.58,2.35,1.91,1.71,1.71,1.07,0.74,0.91,1.15,0.57,0.46,0.6,0.31,0.39,0.08,0.25,0.33,0.28,0.19,0.23,0.23,0.18,0.0,0.16,0.16,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.97
11/17/2021,9.98,7.27,6.75,6.4,5.22,4.7,4.51,4.71,4.44,4.65,4.19,3.8,3.39,3.71,2.91,2.6,2.53,1.58,2.36,1.94,1.69,1.72,1.07,0.74,0.9,1.15,0.57,0.46,0.6,0.3,0.4,0.12,0.25,0.33,0.28,0.19,0.23,0.23,0.17,0.0,0.15,0.16,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,100.0
11/18/2021,9.98,7.1,6.82,6.47,5.23,4.7,4.46,4.7,4.35,4.68,4.2,3.85,3.33,3.74,2.94,2.59,2.53,1.56,2.37,1.94,1.71,1.72,1.07,0.73,0.91,1.14,0.57,0.46,0.61,0.3,0.4,0.18,0.25,0.33,0.28,0.19,0.23,0.23,0.18,0.0,0.15,0.17,0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,100.01000000000002
11/19/2021,9.95,7.14,6.78,6.42,5.24,4.69,4.46,4.7,4.54,4.64,4.24,3.82,3.37,3.7,2.94,2.59,2.47,1.59,2.36,1.93,1.69,1.72,1.07,0.72,0.91,1.14,0.57,0.46,0.6,0.31,0.4,0.14,0.25,0.33,0.28,0.19,0.23,0.23,0.17,0.0,0.18,0.17,0.09,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.5,99.99
11/22/2021,10.04,7.28,6.79,6.41,5.27,4.66,4.43,4.66,4.52,4.63,4.31,3.81,3.37,3.71,2.94,2.58,2.47,1.61,2.36,1.92,1.67,1.73,1.08,0.72,0.91,1.14,0.57,0.46,0.6,0.31,0.39,0.03,0.24,0.33,0.27,0.18,0.23,0.23,0.17,0.0,0.18,0.16,0.09,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.5,100.03
11/23/2021,10.04,7.28,6.79,6.41,5.27,4.66,4.43,4.66,4.52,4.63,4.31,3.81,3.37,3.71,2.94,2.58,2.47,1.61,2.36,1.92,1.67,1.73,1.08,0.72,0.91,1.14,0.57,0.46,0.6,0.31,0.39,0.03,0.24,0.33,0.27,0.18,0.23,0.23,0.17,0.0,0.18,0.16,0.09,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.5,100.03
11/24/2021,10.05,7.15,6.78,6.37,5.33,4.74,4.24,4.62,4.51,4.66,4.24,3.82,3.39,3.73,2.95,2.6,2.71,1.6,2.41,1.88,1.68,1.72,1.09,0.72,0.9,1.15,0.56,0.46,0.61,0.31,0.39,0.05,0.24,0.33,0.27,0.17,0.23,0.23,0.17,0.0,0.11,0.17,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,99.99
11/25/2021,10.06,7.2,6.73,6.36,5.31,4.76,4.19,4.68,4.48,4.67,4.23,3.82,3.37,3.76,2.93,2.61,2.67,1.61,2.4,1.88,1.68,1.74,1.09,0.72,0.91,1.16,0.56,0.46,0.6,0.3,0.4,0.04,0.24,0.33,0.27,0.17,0.23,0.23,0.17,0.0,0.11,0.17,0.09,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.51,99.96
11/26/2021,9.98,7.27,6.78,6.4,5.27,4.75,4.21,4.74,4.51,4.7,4.23,3.85,3.36,3.75,2.93,2.64,2.65,1.6,2.37,1.89,1.67,1.72,1.08,0.7,0.89,1.15,0.55,0.45,0.61,0.3,0.4,0.04,0.24,0.33,0.27,0.17,0.23,0.23,0.17,0.0,0.11,0.17,0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.5,100.02
