,ENEL.MI,ISP.MI,STLA.MI,ENI.MI,RACE.MI,CNHI.MI,UCG.MI,G.MI,MONC.MI,SRG.MI,TRN.MI,FBK.MI,NEXI.MI,ATL.MI,PRY.MI,EXO.MI,CPR.MI,MB.MI,PST.MI,REC.MI,AMP.MI,TEN.MI,DIA.MI,TIT.MI,INW.MI,TIAJF,EUR,XTSLA,WFFUT,STU1,MARGIN_USD,USD,STZ1,SUM
08/20/2021,16.87,10.38,9.42,6.77,4.92,4.35,4.33,4.18,3.55,3.18,2.98,2.92,2.33,2.37,2.47,2.52,2.23,2.03,1.97,1.9,1.74,1.43,1.56,1.24,1.15,0.9,0.19,0.03,0.03,0.0,0.0,0.04,0.0,99.98000000000005
08/26/2021,17.15,10.46,9.17,6.74,4.82,4.21,4.39,4.22,3.31,3.23,3.05,2.99,2.4,2.43,2.46,2.42,2.21,2.03,1.99,1.94,1.84,1.39,1.6,1.25,1.18,0.9,0.0,0.24,0.03,0.0,0.0,0.02,0.0,100.07
08/27/2021,17.07,10.45,9.2,6.8,4.82,4.26,4.43,4.21,3.27,3.2,3.03,2.99,2.39,2.43,2.48,2.43,2.2,2.03,2.01,1.93,1.81,1.4,1.59,1.25,1.18,0.91,0.15,0.24,0.03,0.0,0.0,0.0,0.0,100.19
08/30/2021,16.96,10.46,9.21,6.85,4.84,4.32,4.56,4.24,3.26,3.06,2.87,3.01,2.39,2.44,2.48,2.44,2.21,2.06,2.02,1.9,1.8,1.43,1.6,1.26,1.17,0.94,0.15,0.08,0.03,0.0,0.0,0.0,0.0,100.04
08/31/2021,16.88,10.47,9.19,6.9,4.83,4.37,4.54,4.23,3.26,3.06,2.86,3.02,2.38,2.43,2.5,2.44,2.19,2.05,2.01,1.92,1.8,1.45,1.63,1.25,1.18,0.94,0.15,0.08,0.03,0.0,0.0,0.0,0.0,100.04
09/01/2021,16.88,10.47,9.19,6.9,4.83,4.37,4.54,4.23,3.26,3.06,2.86,3.02,2.38,2.43,2.5,2.44,2.19,2.05,2.01,1.92,1.8,1.45,1.63,1.25,1.18,0.94,0.15,0.08,0.03,0.0,0.0,0.0,0.0,100.04
09/02/2021,17.03,10.43,9.11,6.9,4.85,4.37,4.47,4.22,3.27,3.05,2.85,3.02,2.38,2.43,2.5,2.45,2.2,2.05,2.01,1.91,1.82,1.44,1.64,1.25,1.19,0.94,0.15,0.08,0.03,0.0,0.0,0.0,0.0,100.04
09/03/2021,16.98,10.57,9.15,6.92,4.53,4.28,4.69,4.55,3.25,3.07,2.86,2.94,2.4,2.42,2.5,2.44,2.01,2.04,1.98,1.9,1.83,1.44,1.66,1.26,1.18,0.93,0.16,0.08,0.03,0.0,0.0,0.0,0.0,100.05
09/06/2021,16.98,10.53,9.17,6.98,4.53,4.26,4.75,4.54,3.26,3.03,2.87,2.9,2.39,2.42,2.52,2.42,2.05,2.02,1.98,1.89,1.83,1.44,1.71,1.22,1.17,0.9,0.16,0.07,0.03,0.0,0.0,0.0,0.0,100.02
09/07/2021,16.96,10.51,9.24,6.96,4.54,4.29,4.81,4.55,3.23,3.03,2.86,2.89,2.39,2.4,2.54,2.41,2.04,2.01,1.96,1.89,1.82,1.43,1.73,1.21,1.17,0.9,0.16,0.08,0.03,0.0,0.0,0.0,0.0,100.04
09/08/2021,16.96,10.51,9.24,6.96,4.54,4.29,4.81,4.55,3.23,3.03,2.86,2.89,2.39,2.4,2.54,2.41,2.04,2.01,1.96,1.89,1.82,1.43,1.73,1.21,1.17,0.9,0.16,0.08,0.03,0.0,0.0,0.0,0.0,100.04
09/09/2021,16.84,10.52,9.24,6.95,4.57,4.34,4.84,4.58,3.27,3.01,2.84,2.88,2.43,2.41,2.56,2.41,2.03,2.03,1.99,1.9,1.83,1.42,1.74,1.21,1.16,0.89,0.16,0.07,0.03,0.0,0.0,0.0,0.0,100.15
09/10/2021,16.68,10.5,9.22,7.0,4.59,4.28,4.84,4.61,3.33,3.03,2.83,2.94,2.46,2.42,2.58,2.39,2.03,2.01,1.97,1.86,1.8,1.44,1.72,1.21,1.15,0.89,0.16,0.08,0.03,0.0,0.0,0.0,0.0,100.05
09/13/2021,16.65,10.52,9.07,7.05,4.65,4.15,4.86,4.7,3.33,3.07,2.85,2.95,2.44,2.42,2.57,2.38,2.05,2.02,1.98,1.83,1.79,1.41,1.77,1.22,1.18,0.91,0.19,0.08,0.03,0.0,0.0,0.0,0.0,100.12
09/16/2021,16.6,10.62,9.15,7.2,4.58,4.2,4.87,4.68,3.3,3.06,2.85,2.9,2.46,2.39,2.57,2.41,2.05,2.0,2.0,1.81,1.71,1.46,1.7,1.2,1.15,0.89,0.17,0.05,0.03,0.0,0.0,0.0,0.0,100.06000000000002
