,UNH,GS,HD,MSFT,CRM,AMGN,V,BA,MCD,HON,CAT,MMM,DIS,AXP,JNJ,NKE,JPM,TRV,AAPL,WMT,IBM,PG,CVX,MRK,DOW,VZ,INTC,KO,CSCO,WBA,U.S. Dollar,AN22.L,OGN,n/a,KD WI,KD,SUM
07/27/2021,7.84,7.02,6.24,5.43,4.66,4.65,4.67,4.16,4.56,4.3,3.93,3.76,3.3,3.25,3.22,3.12,2.83,2.77,2.79,2.67,2.65,2.62,1.85,1.45,1.13,1.05,0.99,1.07,1.04,0.87,0.0,0.09,0.0,0.0,0.0,0.0,99.98
07/28/2021,7.84,7.02,6.24,5.43,4.66,4.65,4.67,4.16,4.56,4.3,3.93,3.76,3.3,3.25,3.22,3.12,2.83,2.77,2.79,2.67,2.65,2.62,1.85,1.45,1.13,1.05,0.99,1.07,1.04,0.87,0.0,0.09,0.0,0.0,0.0,0.0,99.98
07/29/2021,7.72,7.02,6.18,5.4,4.62,4.57,4.67,4.22,4.55,4.28,3.94,3.76,3.34,3.22,3.21,3.08,2.83,2.78,2.78,2.66,2.66,2.62,1.88,1.44,1.16,1.04,1.01,1.07,1.04,0.88,0.0,0.37,0.0,0.0,0.0,0.0,100.0
07/30/2021,7.79,7.03,6.14,5.38,4.57,4.59,4.71,4.17,4.62,4.32,3.94,3.76,3.37,3.25,3.24,3.09,2.84,2.8,2.75,2.68,2.68,2.64,1.89,1.46,1.16,1.05,1.0,1.07,1.04,0.88,0.0,0.08,0.0,0.0,0.0,0.0,99.99
08/02/2021,7.71,7.05,6.13,5.39,4.59,4.6,4.65,4.36,4.55,4.34,3.98,3.73,3.37,3.2,3.24,3.12,2.86,2.76,2.73,2.68,2.67,2.61,1.91,1.48,1.17,1.05,1.0,1.07,1.03,0.89,0.0,0.09,0.0,0.0,0.0,0.0,100.01
08/03/2021,7.73,7.08,6.14,5.38,4.58,4.55,4.65,4.35,4.58,4.37,3.99,3.72,3.35,3.23,3.23,3.13,2.87,2.79,2.73,2.67,2.66,2.62,1.92,1.44,1.17,1.05,1.01,1.07,1.03,0.88,0.02,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,7.77,7.06,6.18,5.37,4.56,4.55,4.64,4.27,4.57,4.41,3.9,3.73,3.32,3.21,3.24,3.16,2.86,2.81,2.75,2.69,2.66,2.68,1.92,1.45,1.17,1.05,1.01,1.07,1.04,0.89,0.02,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,7.85,7.15,6.18,5.38,4.55,4.53,4.53,4.26,4.54,4.39,3.88,3.73,3.32,3.2,3.26,3.19,2.86,2.81,2.75,2.69,2.67,2.68,1.92,1.44,1.16,1.05,1.01,1.07,1.05,0.88,0.02,0.0,0.0,0.0,0.0,0.0,99.99999999999996
08/06/2021,7.91,7.13,6.22,5.38,4.52,4.58,4.44,4.29,4.44,4.36,3.91,3.77,3.24,3.17,3.27,3.21,2.87,2.82,2.76,2.7,2.7,2.7,1.92,1.43,1.17,1.04,1.01,1.07,1.05,0.89,0.02,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,7.72,7.21,6.25,5.44,4.7,4.39,4.51,4.32,4.44,4.32,3.89,3.71,3.32,3.18,3.26,3.26,2.88,2.83,2.76,2.73,2.68,2.68,1.9,1.42,1.15,1.04,1.01,1.06,1.05,0.88,0.0,0.0,0.0,0.02,0.0,0.0,100.01
08/10/2021,7.75,7.43,6.16,5.41,4.68,4.3,4.51,4.32,4.41,4.29,3.89,3.7,3.31,3.2,3.23,3.23,2.94,2.85,2.73,2.71,2.69,2.64,1.9,1.41,1.16,1.03,1.01,1.06,1.04,0.88,0.0,0.12,0.0,0.0,0.0,0.0,99.99
08/11/2021,7.75,7.43,6.16,5.41,4.68,4.3,4.51,4.32,4.41,4.29,3.89,3.7,3.31,3.2,3.23,3.23,2.94,2.85,2.73,2.71,2.69,2.64,1.9,1.41,1.16,1.03,1.01,1.06,1.04,0.88,0.0,0.12,0.0,0.0,0.0,0.0,99.99
08/13/2021,7.69,7.62,6.19,5.35,4.54,4.26,4.44,4.4,4.36,4.33,4.0,3.72,3.31,3.16,3.24,3.22,2.97,2.88,2.72,2.78,2.64,2.66,1.91,1.4,1.18,1.04,1.01,1.06,1.04,0.9,0.0,0.0,0.0,0.02,0.0,0.0,100.04000000000003
08/16/2021,7.52,7.69,6.19,5.37,4.6,4.23,4.29,4.41,4.38,4.3,4.08,3.73,3.32,3.12,3.25,3.16,3.0,2.9,2.76,2.76,2.65,2.65,1.9,1.41,1.19,1.03,0.99,1.05,1.04,0.91,0.0,0.12,0.0,0.0,0.0,0.0,100.0
08/17/2021,7.59,7.61,6.13,5.42,4.66,4.25,4.31,4.34,4.42,4.29,4.05,3.71,3.35,3.08,3.26,3.18,2.96,2.89,2.76,2.77,2.65,2.66,1.89,1.42,1.18,1.03,0.99,1.06,1.05,0.91,0.0,0.12,0.0,0.0,0.0,0.0,99.99
08/18/2021,7.59,7.61,6.13,5.42,4.66,4.25,4.31,4.34,4.42,4.29,4.05,3.71,3.35,3.08,3.26,3.18,2.96,2.89,2.76,2.77,2.65,2.66,1.89,1.42,1.18,1.03,0.99,1.06,1.05,0.91,0.0,0.12,0.0,0.0,0.0,0.0,99.99
08/19/2021,7.71,7.55,6.19,5.44,4.6,4.27,4.35,4.23,4.45,4.32,4.02,3.74,3.31,3.06,3.29,3.18,2.94,2.91,2.79,2.79,2.65,2.67,1.86,1.44,1.17,1.03,0.99,1.06,1.04,0.91,0.0,0.0,0.0,0.02,0.0,0.0,99.98
08/20/2021,7.85,7.54,5.97,5.46,4.6,4.3,4.37,4.14,4.47,4.31,3.97,3.71,3.27,3.06,3.34,3.18,2.92,2.96,2.8,2.8,2.65,2.7,1.87,1.47,1.16,1.05,0.98,1.07,1.04,0.91,0.0,0.08,0.0,0.0,0.0,0.0,100.0
08/24/2021,8.05,7.41,6.17,5.7,4.8,4.19,4.33,3.98,4.47,4.26,3.84,3.64,3.28,2.99,3.36,3.14,2.9,3.01,2.78,2.84,2.61,2.72,1.77,1.47,1.14,1.04,0.97,1.06,1.09,0.9,0.0,0.11,0.0,0.0,0.0,0.0,100.02000000000002
08/25/2021,8.05,7.41,6.17,5.7,4.8,4.19,4.33,3.98,4.47,4.26,3.84,3.64,3.28,2.99,3.36,3.14,2.9,3.01,2.78,2.84,2.61,2.72,1.77,1.47,1.14,1.04,0.97,1.06,1.09,0.9,0.0,0.11,0.0,0.0,0.0,0.0,100.02000000000002
08/26/2021,7.92,7.48,6.11,5.68,4.85,4.2,4.36,4.09,4.46,4.27,3.9,3.63,3.31,2.99,3.31,3.16,2.92,2.98,2.79,2.8,2.6,2.69,1.8,1.46,1.16,1.03,0.99,1.05,1.09,0.9,0.0,0.0,0.0,0.02,0.0,0.0,100.0
08/27/2021,7.88,7.6,6.05,5.63,4.83,4.18,4.36,4.12,4.44,4.29,3.96,3.62,3.32,3.0,3.26,3.16,2.93,2.99,2.78,2.77,2.6,2.66,1.82,1.45,1.18,1.02,1.0,1.04,1.1,0.9,0.0,0.0,0.0,0.02,0.0,0.0,99.96
08/30/2021,7.79,7.7,6.0,5.59,5.0,4.14,4.31,4.04,4.43,4.31,3.95,3.65,3.3,3.09,3.24,3.12,3.02,2.99,2.76,2.75,2.59,2.66,1.82,1.43,1.19,1.02,0.99,1.04,1.11,0.89,0.0,0.1,0.0,0.0,0.0,0.0,100.01999999999998
08/31/2021,7.77,7.79,6.0,5.56,4.94,4.13,4.32,4.11,4.41,4.29,3.95,3.62,3.34,3.13,3.21,3.11,3.02,3.01,2.76,2.72,2.59,2.64,1.83,1.42,1.21,1.02,1.0,1.03,1.09,0.9,0.0,0.1,0.0,0.0,0.0,0.0,100.02
09/01/2021,7.77,7.79,6.0,5.56,4.95,4.14,4.32,4.12,4.41,4.29,3.95,3.62,3.34,3.13,3.21,3.11,3.03,3.01,2.76,2.72,2.59,2.64,1.83,1.42,1.21,1.02,1.0,1.03,1.1,0.9,0.0,0.0,0.0,0.02,0.0,0.0,99.99
09/02/2021,7.78,7.69,6.08,5.65,4.93,4.17,4.3,4.05,4.4,4.31,3.93,3.65,3.35,3.05,3.23,3.12,2.98,2.96,2.85,2.75,2.58,2.66,1.83,1.42,1.19,1.02,1.0,1.04,1.1,0.9,0.0,0.0,0.0,0.02,0.0,0.0,99.99
09/03/2021,7.75,7.7,6.07,5.62,4.94,4.2,4.26,4.09,4.42,4.32,3.93,3.63,3.38,3.09,3.22,3.07,2.98,2.97,2.83,2.76,2.61,2.65,1.8,1.42,1.17,1.02,1.01,1.05,1.1,0.94,0.0,0.0,0.0,0.02,0.0,0.0,100.02
09/06/2021,7.87,7.7,6.09,5.59,4.91,4.2,4.16,4.1,4.45,4.29,3.93,3.62,3.38,3.01,3.25,3.04,2.98,2.97,2.85,2.76,2.6,2.67,1.81,1.43,1.16,1.03,1.0,1.05,1.11,0.96,0.0,0.0,0.0,0.02,0.0,0.0,99.98999999999998
09/07/2021,7.86,7.65,6.14,5.6,4.97,4.21,4.19,4.06,4.44,4.25,3.91,3.61,3.37,2.96,3.25,3.04,2.97,2.96,2.87,2.77,2.6,2.68,1.81,1.44,1.15,1.03,0.99,1.05,1.1,0.95,0.0,0.0,0.0,0.12,0.0,0.0,100.0
09/08/2021,7.87,7.66,6.15,5.6,4.97,4.21,4.19,4.06,4.44,4.25,3.92,3.62,3.37,2.96,3.26,3.04,2.97,2.96,2.87,2.78,2.6,2.68,1.81,1.44,1.16,1.03,1.0,1.06,1.11,0.95,0.0,0.0,0.0,0.02,0.0,0.0,100.01
09/09/2021,7.87,7.66,6.15,5.6,4.97,4.21,4.19,4.06,4.44,4.25,3.92,3.62,3.37,2.96,3.26,3.04,2.97,2.96,2.87,2.78,2.6,2.68,1.81,1.44,1.16,1.03,1.0,1.06,1.11,0.95,0.0,0.0,0.0,0.02,0.0,0.0,100.01
09/10/2021,7.9,7.7,6.17,5.63,4.97,4.15,4.24,4.02,4.43,4.18,3.91,3.48,3.46,3.0,3.23,3.05,2.99,2.96,2.94,2.76,2.59,2.69,1.82,1.42,1.16,1.03,1.01,1.04,1.1,0.96,0.0,0.0,0.0,0.02,0.0,0.0,100.01
09/13/2021,7.81,7.62,6.25,5.6,4.91,4.06,4.29,4.03,4.5,4.2,3.87,3.5,3.5,3.0,3.17,3.08,3.0,2.98,2.9,2.76,2.6,2.71,1.81,1.39,1.14,1.03,1.01,1.05,1.1,0.95,0.0,0.0,0.0,0.19,0.0,0.0,100.01
09/14/2021,7.82,7.64,6.26,5.61,4.92,4.07,4.29,4.04,4.5,4.21,3.88,3.51,3.51,3.01,3.17,3.08,3.0,2.98,2.91,2.76,2.6,2.72,1.81,1.39,1.14,1.03,1.01,1.05,1.11,0.95,0.0,0.0,0.0,0.02,0.0,0.0,100.0
09/15/2021,7.82,7.64,6.26,5.61,4.92,4.07,4.29,4.04,4.5,4.21,3.88,3.51,3.51,3.01,3.17,3.08,3.0,2.98,2.91,2.76,2.6,2.72,1.81,1.39,1.14,1.03,1.01,1.05,1.11,0.95,0.0,0.0,0.0,0.02,0.0,0.0,100.0
09/16/2021,7.83,7.73,6.33,5.61,4.8,4.09,4.24,4.05,4.55,4.22,3.89,3.5,3.49,3.05,3.13,3.01,3.02,3.0,2.82,2.74,2.61,2.75,1.85,1.38,1.15,1.03,1.04,1.06,1.1,0.93,0.0,0.0,0.0,0.02,0.0,0.0,100.02
09/17/2021,7.85,7.69,6.34,5.71,4.84,4.11,4.25,4.03,4.59,4.19,3.85,3.47,3.47,3.04,3.14,3.02,2.99,2.98,2.82,2.75,2.59,2.77,1.83,1.37,1.14,1.04,1.04,1.06,1.1,0.92,0.0,0.0,0.0,0.02,0.0,0.0,100.01
09/20/2021,7.9,7.51,6.37,5.78,4.93,4.12,4.25,4.04,4.61,4.16,3.86,3.46,3.47,3.08,3.13,2.99,2.99,2.97,2.82,2.75,2.58,2.73,1.84,1.36,1.13,1.03,1.04,1.05,1.09,0.95,0.0,0.0,0.0,0.02,0.0,0.0,100.01
09/21/2021,7.98,7.44,6.38,5.7,4.95,4.17,4.21,4.05,4.61,4.15,3.8,3.45,3.49,3.11,3.13,2.97,3.0,2.97,2.78,2.75,2.57,2.74,1.84,1.36,1.1,1.03,1.03,1.03,1.08,0.94,0.0,0.0,0.0,0.19,0.0,0.0,100.0
09/22/2021,8.0,7.45,6.39,5.71,4.96,4.18,4.22,4.06,4.62,4.16,3.8,3.45,3.49,3.12,3.14,2.98,3.0,2.97,2.78,2.75,2.57,2.75,1.84,1.36,1.1,1.03,1.03,1.04,1.08,0.94,0.0,0.0,0.0,0.02,0.0,0.0,99.99
09/23/2021,8.0,7.33,6.42,5.7,5.0,4.17,4.26,4.06,4.63,4.18,3.7,3.5,3.46,3.11,3.17,2.99,2.96,2.96,2.77,2.77,2.6,2.77,1.84,1.39,1.09,1.05,1.03,1.05,1.08,0.94,0.0,0.0,0.0,0.02,0.0,0.0,100.0
09/24/2021,7.99,7.28,6.47,5.71,5.0,4.17,4.26,4.04,4.66,4.16,3.68,3.46,3.31,3.16,3.19,3.0,2.96,2.96,2.78,2.77,2.58,2.77,1.84,1.39,1.08,1.05,1.02,1.05,1.07,0.93,0.0,0.0,0.0,0.23,0.0,0.0,100.02
09/27/2021,7.73,7.42,6.36,5.67,5.26,4.07,4.32,4.19,4.63,4.16,3.72,3.44,3.34,3.28,3.12,3.02,3.05,2.95,2.78,2.7,2.59,2.73,1.89,1.38,1.09,1.03,1.02,1.02,1.07,0.92,0.0,0.0,0.0,0.02,0.0,0.0,99.96999999999998
09/28/2021,7.69,7.38,6.37,5.65,5.39,4.03,4.37,4.18,4.65,4.14,3.72,3.42,3.32,3.32,3.1,2.82,3.08,2.95,2.77,2.7,2.6,2.71,1.9,1.39,1.07,1.03,1.02,1.02,1.07,0.91,0.0,0.0,0.0,0.22,0.0,0.0,99.98999999999998
09/29/2021,7.69,7.38,6.37,5.65,5.39,4.03,4.37,4.18,4.65,4.14,3.72,3.42,3.32,3.32,3.1,2.82,3.08,2.95,2.77,2.7,2.6,2.71,1.9,1.39,1.07,1.03,1.02,1.02,1.07,0.91,0.0,0.0,0.0,0.22,0.0,0.0,99.98999999999998
09/30/2021,7.64,7.53,6.43,5.54,5.27,4.02,4.33,4.22,4.67,4.11,3.77,3.43,3.36,3.33,3.07,2.79,3.15,2.94,2.74,2.68,2.61,2.67,1.94,1.38,1.12,1.03,1.03,1.01,1.06,0.92,0.0,0.0,0.0,0.21,0.0,0.0,100.0
10/01/2021,7.65,7.47,6.41,5.44,5.23,4.07,4.33,4.19,4.68,4.13,3.85,3.46,3.35,3.32,3.12,2.79,3.19,2.95,2.72,2.7,2.64,2.7,1.98,1.41,1.14,1.04,1.04,1.01,1.07,0.92,0.0,0.0,0.0,0.02,0.0,0.0,100.02
10/04/2021,7.6,7.35,6.38,5.48,5.28,4.14,4.33,4.28,4.69,4.13,3.73,3.41,3.29,3.26,3.14,2.82,3.18,2.96,2.75,2.71,2.7,2.72,1.97,1.46,1.12,1.05,1.04,1.02,1.06,0.92,0.0,0.0,0.0,0.02,0.0,0.0,99.99
10/05/2021,7.51,7.27,6.31,5.53,5.27,4.09,4.41,4.32,4.65,4.12,3.72,3.38,3.37,3.33,3.07,2.81,3.2,2.92,2.73,2.62,2.74,2.67,2.0,1.56,1.12,1.04,1.03,1.01,1.05,0.9,0.0,0.0,0.0,0.28,0.0,0.0,100.03000000000002
10/06/2021,7.51,7.27,6.31,5.53,5.27,4.09,4.41,4.32,4.65,4.12,3.72,3.38,3.37,3.33,3.07,2.81,3.2,2.92,2.73,2.62,2.74,2.67,2.0,1.56,1.12,1.04,1.03,1.01,1.05,0.9,0.0,0.0,0.0,0.28,0.0,0.0,100.03000000000002
10/07/2021,7.47,7.22,6.3,5.47,5.23,4.08,4.34,4.32,4.69,4.14,3.73,3.4,3.35,3.33,3.07,2.84,3.22,2.92,2.69,2.62,2.78,2.68,2.02,1.6,1.12,1.05,1.03,1.02,1.05,0.9,0.0,0.0,0.0,0.29,0.0,0.0,99.97
10/08/2021,7.55,7.4,6.32,5.54,5.21,4.06,4.3,4.31,4.7,4.14,3.69,3.41,3.35,3.35,3.06,2.87,3.24,2.95,2.71,2.62,2.75,2.67,2.03,1.57,1.13,1.05,1.03,1.02,1.05,0.9,0.0,0.0,0.0,0.02,0.0,0.0,100.0
10/11/2021,7.66,7.4,6.39,5.58,5.2,3.96,4.37,4.29,4.7,4.14,3.71,3.37,3.37,3.3,3.06,2.88,3.22,2.98,2.71,2.64,2.69,2.7,2.0,1.55,1.11,1.02,1.03,1.02,1.04,0.91,0.0,0.0,0.0,0.02,0.0,0.0,100.02
10/12/2021,7.72,7.42,6.32,5.57,5.15,3.95,4.35,4.28,4.68,4.11,3.69,3.34,3.34,3.31,3.04,2.88,3.22,2.97,2.7,2.64,2.71,2.68,2.04,1.52,1.11,1.01,1.02,1.02,1.04,0.9,0.0,0.0,0.0,0.29,0.0,0.0,100.02
10/13/2021,7.72,7.42,6.32,5.57,5.15,3.95,4.35,4.28,4.68,4.11,3.69,3.34,3.34,3.31,3.04,2.88,3.22,2.97,2.7,2.64,2.71,2.68,2.04,1.52,1.11,1.01,1.02,1.02,1.04,0.9,0.0,0.0,0.0,0.29,0.0,0.0,100.02
10/14/2021,7.73,7.35,6.43,5.61,5.22,3.94,4.3,4.32,4.71,4.11,3.68,3.36,3.31,3.31,3.06,2.87,3.18,2.98,2.73,2.66,2.72,2.72,2.04,1.53,1.11,1.0,1.02,1.03,1.05,0.9,0.0,0.0,0.0,0.02,0.0,0.0,100.0
10/15/2021,7.72,7.4,6.47,5.61,5.34,3.87,4.29,4.28,4.68,4.1,3.64,3.36,3.31,3.35,3.02,2.94,3.17,3.0,2.71,2.67,2.69,2.72,2.05,1.52,1.11,0.98,1.0,1.04,1.04,0.91,0.0,0.0,0.0,0.02,0.0,0.0,100.01
10/18/2021,7.93,7.38,6.49,5.71,5.47,3.9,4.25,4.1,4.61,4.12,3.66,3.4,3.29,3.23,3.02,2.96,3.08,2.95,2.71,2.64,2.7,2.72,2.05,1.48,1.11,0.98,1.02,1.03,1.05,0.96,0.0,0.0,0.0,0.02,0.0,0.0,100.01999999999998
10/19/2021,7.98,7.57,6.53,5.67,5.44,3.87,4.31,4.05,4.52,4.11,3.71,3.39,3.29,3.28,3.01,2.95,3.11,2.9,2.7,2.62,2.7,2.69,2.04,1.46,1.1,0.97,1.02,1.02,1.03,0.91,0.0,0.0,0.0,0.08,0.0,0.0,100.03
10/20/2021,7.98,7.57,6.53,5.67,5.44,3.87,4.31,4.05,4.52,4.11,3.71,3.39,3.29,3.28,3.01,2.95,3.11,2.9,2.7,2.62,2.7,2.69,2.04,1.46,1.1,0.97,1.02,1.02,1.03,0.91,0.0,0.0,0.0,0.08,0.0,0.0,100.03
10/21/2021,7.92,7.72,6.62,5.73,5.44,3.79,4.3,4.05,4.52,4.12,3.7,3.39,3.19,3.3,2.99,2.97,3.11,2.85,2.73,2.64,2.66,2.66,2.04,1.44,1.1,0.97,1.02,1.01,1.03,0.9,0.0,0.0,0.0,0.08,0.0,0.0,99.99
10/22/2021,7.88,7.65,6.65,5.72,5.43,3.84,4.34,4.01,4.51,4.12,3.73,3.38,3.18,3.29,3.04,2.93,3.13,2.89,2.76,2.69,2.64,2.61,2.07,1.48,1.1,0.97,1.03,1.01,1.03,0.89,0.0,0.0,0.0,0.01,0.0,0.0,100.01
10/25/2021,8.18,7.54,6.74,5.75,5.36,3.86,4.26,3.96,4.46,4.15,3.74,3.37,3.17,3.28,3.02,3.0,3.13,2.96,2.76,2.71,2.37,2.58,2.07,1.5,1.1,0.99,1.04,1.0,1.03,0.91,0.0,0.0,0.0,0.02,0.0,0.0,100.00999999999998
10/26/2021,8.17,7.53,6.74,5.74,5.36,3.86,4.25,3.96,4.46,4.15,3.74,3.37,3.17,3.28,3.02,3.0,3.13,2.96,2.76,2.71,2.37,2.57,2.07,1.5,1.1,0.99,1.03,1.0,1.03,0.91,0.0,0.0,0.0,0.07,0.0,0.0,100.0
10/27/2021,8.29,7.64,6.75,5.7,5.4,3.86,4.27,3.93,4.4,4.01,3.7,3.34,3.13,3.45,3.02,3.02,3.17,3.0,2.74,2.74,2.36,2.6,2.08,1.5,1.08,0.98,0.91,1.0,1.02,0.9,0.0,0.0,0.0,0.02,0.0,0.0,100.01
10/28/2021,8.28,7.64,6.84,5.67,5.41,3.82,4.31,3.92,4.37,4.01,3.72,3.36,3.17,3.36,3.02,3.02,3.15,2.98,2.74,2.76,2.35,2.59,2.1,1.5,1.08,0.97,0.91,1.0,1.02,0.91,0.0,0.0,0.0,0.02,0.0,0.0,100.0
10/29/2021,8.37,7.69,6.8,5.71,5.43,3.84,4.27,3.86,4.35,4.02,3.68,3.35,3.17,3.33,3.05,3.02,3.16,2.95,2.75,2.74,2.34,2.63,2.1,1.51,1.08,0.98,0.89,1.0,1.03,0.89,0.0,0.0,0.0,0.02,0.0,0.0,100.01
11/01/2021,8.39,7.64,6.85,5.98,5.5,3.82,3.87,3.83,4.52,4.03,3.76,3.31,3.13,3.22,3.0,3.03,3.14,2.98,2.81,2.73,2.32,2.63,2.08,1.59,1.04,0.97,0.89,1.03,1.04,0.87,0.0,0.0,0.0,0.02,0.0,0.0,100.02
11/02/2021,8.46,7.59,6.83,6.09,5.5,3.8,3.89,3.8,4.51,4.02,3.75,3.28,3.11,3.19,2.99,3.07,3.12,2.95,2.75,2.74,2.3,2.63,2.1,1.62,1.03,0.97,0.9,1.04,1.03,0.86,0.0,0.0,0.0,0.07,0.0,0.0,99.99
11/03/2021,8.46,7.59,6.83,6.09,5.5,3.8,3.89,3.8,4.51,4.02,3.75,3.28,3.11,3.19,2.99,3.07,3.12,2.95,2.75,2.74,2.3,2.63,2.1,1.62,1.03,0.97,0.9,1.04,1.03,0.86,0.0,0.0,0.0,0.07,0.0,0.0,99.99
11/04/2021,8.32,7.64,6.72,6.04,5.55,3.85,3.89,3.93,4.59,4.03,3.76,3.29,3.12,3.19,2.99,3.05,3.11,2.93,2.73,2.75,2.31,2.61,2.1,1.61,1.05,0.97,0.91,1.03,1.03,0.87,0.0,0.0,0.0,0.02,0.0,0.0,99.98999999999998
11/05/2021,8.25,7.74,6.71,6.08,5.53,3.91,3.82,3.88,4.55,4.04,3.78,3.32,3.1,3.16,3.02,3.06,3.11,2.9,2.74,2.73,2.3,2.63,2.08,1.63,1.07,0.96,0.91,1.02,1.05,0.87,0.0,0.0,0.0,0.02,0.0,0.0,99.96999999999996
11/08/2021,8.33,7.44,6.79,6.14,5.62,3.92,3.81,3.89,4.62,4.06,3.71,3.29,3.11,3.15,3.0,3.2,3.07,2.85,2.75,2.76,2.2,2.65,2.07,1.65,1.04,0.95,0.92,1.03,1.04,0.9,0.0,0.0,0.0,0.04,0.0,0.0,100.0
11/09/2021,8.26,7.38,6.68,6.09,5.57,3.87,3.93,4.07,4.62,4.1,3.73,3.3,3.18,3.2,2.96,3.22,3.05,2.89,2.74,2.72,2.24,2.65,2.08,1.48,1.06,0.95,0.92,1.03,1.03,0.91,0.0,0.0,0.0,0.09,0.01,0.0,100.01
11/10/2021,8.26,7.38,6.68,6.09,5.57,3.87,3.93,4.07,4.62,4.1,3.73,3.3,3.18,3.2,2.96,3.22,3.05,2.89,2.74,2.72,2.24,2.65,2.08,1.48,1.06,0.95,0.92,1.03,1.03,0.91,0.0,0.0,0.0,0.09,0.01,0.0,100.01
