,4SPX  211130C02173100,4XSP  211130C00217320,4SPX  211130P04346200,4SPX  211130P03440730,4XSP  211130P00434640,4XSP  211130P00344070,4XSP  211130P00217320,4XSP  211130P00235420,Cash&Other,4SPX  211130P02354180,4XSP  211130C00434640,4SPX  211130P02173100,4XSP  211130C00386630,4SPX  211130C04346200,4SPX  211130C03866290,SUM
09/14/2021,115.83,3.0,2.73,0.47,0.07,0.01,0.0,0.0,-0.02,-0.07,-0.14,-0.09,-0.41,-5.47,-15.91,100.0
09/15/2021,115.83,3.0,2.73,0.47,0.07,0.01,0.0,0.0,-0.02,-0.07,-0.14,-0.09,-0.41,-5.47,-15.91,100.0
09/16/2021,116.33,3.02,2.47,0.4,0.06,0.01,0.0,0.0,-0.03,-0.05,-0.14,-0.07,-0.42,-5.51,-16.07,100.0
09/17/2021,115.0,2.98,2.63,0.4,0.07,0.01,0.0,0.0,-0.03,-0.05,-0.13,-0.08,-0.4,-5.0,-15.41,99.99
09/20/2021,116.18,3.01,2.33,0.34,0.06,0.01,0.0,0.0,-0.04,-0.04,-0.14,-0.06,-0.41,-5.33,-15.92,99.99
09/21/2021,113.94,2.95,2.84,0.42,0.07,0.01,0.0,0.0,-0.04,-0.05,-0.12,-0.07,-0.39,-4.64,-14.92,100.0
09/22/2021,113.94,2.95,2.84,0.42,0.07,0.01,0.0,0.0,-0.04,-0.05,-0.12,-0.07,-0.39,-4.64,-14.92,100.0
09/23/2021,110.54,2.87,3.9,0.59,0.1,0.02,0.0,0.0,-0.04,-0.08,-0.1,-0.11,-0.35,-3.83,-13.5,100.01000000000002
09/24/2021,110.17,2.86,3.83,0.52,0.1,0.01,0.0,0.0,-0.04,-0.07,-0.09,-0.09,-0.34,-3.6,-13.26,100.0
09/27/2021,115.0,2.98,2.3,0.27,0.06,0.01,0.0,0.0,-0.05,-0.03,-0.12,-0.04,-0.4,-4.73,-15.26,99.98999999999997
09/28/2021,115.26,2.99,2.12,0.24,0.06,0.01,0.0,0.0,-0.05,-0.02,-0.12,-0.03,-0.4,-4.73,-15.32,100.01
09/29/2021,115.26,2.99,2.12,0.24,0.06,0.01,0.0,0.0,-0.05,-0.02,-0.12,-0.03,-0.4,-4.73,-15.32,100.01
09/30/2021,114.56,2.97,2.26,0.25,0.06,0.01,0.0,0.0,-0.06,-0.03,-0.12,-0.03,-0.39,-4.46,-15.01,100.01
10/01/2021,110.53,2.87,3.39,0.38,0.09,0.01,0.0,0.0,-0.06,-0.04,-0.09,-0.06,-0.34,-3.44,-13.23,100.00999999999998
10/04/2021,108.38,2.81,3.77,0.36,0.1,0.01,0.0,0.0,-0.07,-0.04,-0.07,-0.05,-0.32,-2.71,-12.18,99.99
10/05/2021,110.47,2.86,3.12,0.3,0.08,0.01,0.0,0.0,-0.07,-0.03,-0.08,-0.04,-0.34,-3.2,-13.08,100.0
10/06/2021,110.47,2.86,3.12,0.3,0.08,0.01,0.0,0.0,-0.07,-0.03,-0.08,-0.04,-0.34,-3.2,-13.08,100.0
10/07/2021,107.93,2.8,3.76,0.33,0.1,0.01,0.0,0.0,-0.07,-0.03,-0.06,-0.04,-0.31,-2.5,-11.91,100.01
10/08/2021,109.86,2.85,3.14,0.26,0.08,0.01,0.0,0.0,-0.07,-0.02,-0.08,-0.03,-0.33,-2.92,-12.75,100.0
10/11/2021,110.77,2.87,2.9,0.24,0.08,0.01,0.0,0.0,-0.08,-0.02,-0.08,-0.03,-0.34,-3.17,-13.14,100.01
10/12/2021,111.88,2.9,2.43,0.17,0.06,0.0,0.0,0.0,-0.08,-0.01,-0.09,-0.02,-0.35,-3.32,-13.57,100.0
10/13/2021,111.88,2.9,2.43,0.17,0.06,0.0,0.0,0.0,-0.08,-0.01,-0.09,-0.02,-0.35,-3.32,-13.57,100.0
10/14/2021,110.37,2.86,2.71,0.18,0.07,0.0,0.0,0.0,-0.09,-0.01,-0.07,-0.02,-0.33,-2.83,-12.84,100.0
10/15/2021,109.51,2.84,2.79,0.18,0.07,0.0,0.0,0.0,-0.09,-0.01,-0.06,-0.02,-0.32,-2.49,-12.4,100.0
10/18/2021,114.29,2.96,1.59,0.11,0.04,0.0,0.0,0.0,-0.1,-0.01,-0.1,-0.01,-0.38,-3.79,-14.62,99.98
10/19/2021,115.91,3.0,1.33,0.1,0.03,0.0,0.0,0.0,-0.1,-0.01,-0.11,-0.01,-0.4,-4.35,-15.41,99.98
10/20/2021,115.91,3.0,1.33,0.1,0.03,0.0,0.0,0.0,-0.1,-0.01,-0.11,-0.01,-0.4,-4.35,-15.41,99.98
10/21/2021,116.54,3.02,1.19,0.09,0.03,0.0,0.0,0.0,-0.1,-0.01,-0.12,-0.01,-0.41,-4.55,-15.69,99.98
10/22/2021,118.44,3.07,0.98,0.08,0.03,0.0,0.0,0.0,-0.1,-0.01,-0.14,-0.01,-0.43,-5.29,-16.63,99.98999999999998
10/25/2021,119.68,3.11,0.8,0.06,0.02,0.0,0.0,0.0,-0.11,0.0,-0.15,0.0,-0.45,-5.75,-17.22,99.99
10/26/2021,119.42,3.1,0.84,0.06,0.02,0.0,0.0,0.0,-0.11,0.0,-0.15,0.0,-0.44,-5.64,-17.09,100.01
10/27/2021,119.42,3.1,0.84,0.06,0.02,0.0,0.0,0.0,-0.11,0.0,-0.15,0.0,-0.44,-5.64,-17.09,100.01
10/28/2021,120.69,3.13,0.68,0.05,0.02,0.0,0.0,0.0,-0.12,0.0,-0.16,0.0,-0.46,-6.13,-17.7,100.0
10/29/2021,120.99,3.14,0.69,0.05,0.02,0.0,0.0,0.0,-0.12,0.0,-0.16,0.0,-0.46,-6.3,-17.85,100.0
11/01/2021,121.85,3.16,0.64,0.05,0.02,0.0,0.0,0.0,-0.13,0.0,-0.17,0.0,-0.47,-6.67,-18.28,100.0
11/02/2021,122.72,3.18,0.57,0.05,0.01,0.0,0.0,0.0,-0.13,0.0,-0.18,0.0,-0.48,-7.04,-18.71,99.99
11/03/2021,122.72,3.18,0.57,0.05,0.01,0.0,0.0,0.0,-0.13,0.0,-0.18,0.0,-0.48,-7.04,-18.71,99.99
11/04/2021,122.89,3.19,0.5,0.04,0.01,0.0,0.0,0.0,-0.13,0.0,-0.18,0.0,-0.49,-7.07,-18.77,99.99000000000002
11/05/2021,123.77,3.21,0.43,0.04,0.01,0.0,0.0,0.0,-0.13,0.0,-0.19,0.0,-0.5,-7.44,-19.2,100.0
11/08/2021,126.3,3.28,0.29,0.03,0.01,0.0,0.0,0.0,-0.14,0.0,-0.22,0.0,-0.53,-8.54,-20.47,100.01
11/09/2021,126.91,3.3,0.3,0.02,0.01,0.0,0.0,0.0,-0.14,0.0,-0.23,0.0,-0.54,-8.85,-20.78,100.00000000000004
11/10/2021,126.91,3.3,0.3,0.02,0.01,0.0,0.0,0.0,-0.14,0.0,-0.23,0.0,-0.54,-8.85,-20.78,100.00000000000004
11/11/2021,127.32,3.31,0.28,0.02,0.01,0.0,0.0,0.0,-0.15,0.0,-0.23,0.0,-0.54,-9.03,-20.98,100.01
11/12/2021,126.47,3.28,0.29,0.02,0.01,0.0,0.0,0.0,-0.15,0.0,-0.22,0.0,-0.53,-8.62,-20.55,100.0
11/15/2021,124.9,3.24,0.27,0.01,0.01,0.0,0.0,0.0,-0.16,0.0,-0.2,0.0,-0.51,-7.81,-19.76,99.99
11/16/2021,126.73,3.29,0.19,0.01,0.01,0.0,0.0,0.0,-0.16,0.0,-0.22,0.0,-0.54,-8.64,-20.66,100.01
11/17/2021,126.73,3.29,0.19,0.01,0.01,0.0,0.0,0.0,-0.16,0.0,-0.22,0.0,-0.54,-8.64,-20.66,100.01
11/18/2021,126.71,3.29,0.17,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,-0.22,0.0,-0.54,-8.61,-20.65,99.99
11/19/2021,127.51,3.31,0.15,0.0,0.0,0.0,0.0,0.0,-0.16,0.0,-0.23,0.0,-0.55,-8.98,-21.05,100.0
11/22/2021,127.01,3.29,0.16,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,-0.23,0.0,-0.54,-8.79,-20.75,99.98000000000005
11/23/2021,127.01,3.29,0.16,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,-0.23,0.0,-0.54,-8.79,-20.75,99.98000000000005
11/24/2021,127.53,3.31,0.05,0.0,0.0,0.0,0.0,0.0,-0.17,0.0,-0.23,0.0,-0.54,-8.92,-21.01,100.02000000000004
11/25/2021,126.92,3.29,0.04,0.0,0.0,0.0,0.0,0.0,-0.18,0.0,-0.22,0.0,-0.54,-8.62,-20.7,99.99
