,MSFT,AMZN,ADBE,NVDA,GOOG,GOOGL,NKE,AAPL,INTU,CRM,V,PYPL,ASML,ZTS,NOW,LIN,A,AMD,LOW,ADI,WDAY,ALGN,TEL,UNH,n/a,LULU,ISRG,BLL,ECL,TEAM,CMG,APTV,EL,MA,MCO,HLT,DHR,FLNC,IQV,TECH,MSCI,VEEV,SQ,PH,BFAM,ADSK,MS,COMP,MCD,MRNA,RIVN,SUM
12/16/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/17/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/20/2021,10.38,6.99,4.36,4.16,4.02,3.38,3.15,2.94,2.69,2.46,2.44,2.17,2.11,2.05,2.04,1.97,1.93,1.92,1.88,1.79,1.74,1.72,1.71,1.7,1.68,1.67,1.58,1.55,1.54,1.53,1.42,1.41,1.37,1.26,1.25,1.12,1.12,1.08,1.08,1.07,1.05,1.03,1.02,1.02,0.98,0.95,0.48,0.03,0.0,0.0,0.0,99.99
12/21/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/22/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/23/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/24/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/27/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/28/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/29/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/30/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
12/31/2021,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/03/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/03/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/03/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/04/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/05/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/06/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/07/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/10/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/11/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/12/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/13/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/14/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/17/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/18/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/19/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/20/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/21/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/24/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/25/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/26/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/27/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/28/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
01/31/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/01/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/02/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/03/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/04/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/07/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/08/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/09/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/10/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/11/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/14/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/15/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/16/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/17/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/18/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
02/21/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.98
03/09/2022,10.35,7.44,4.49,4.78,3.86,3.24,2.58,4.14,2.59,2.34,1.41,1.73,2.05,2.1,1.79,1.96,1.85,2.29,1.97,1.86,1.65,1.69,1.81,1.64,1.55,1.54,1.42,1.58,1.54,1.26,1.31,1.41,1.4,1.18,1.21,1.05,1.16,0.96,1.07,0.96,1.0,0.92,0.7,1.24,0.72,0.0,0.45,0.02,1.1,0.92,0.7,99.97999999999999
