,SHOP,SE,AMZN,FVRR,MELI,PYPL,SQ,DOCU,CVNA,ADYEY,AVLR,UBER,RBLX,700.HK,FB,—,CRWD,3690.HK,Z,BKNG,TWLO,ATVI,JD,WIX,LSPD.TO,PDD,ZI,DASH,APT.AX,V,MTCH,CHWY,CHGG,ZEN,ZNGA,CSGP,BABA,ABNB,BILI,RDFN,OLO,DHER.DE,BEKE,RVLV,6618.HK,PLD,OCDO.L,MANH,OZON,KAKZF,PTON,ZAL.DE,OSTK,W,ZO1.DE,3092.T,ETSY,SPOT,COUP,STNE,LYFT,TDOC,7974.T,FTCH,MGLU3.SA,PAGS,REAL,DLO,Us Dollar,Jd Health International Inc Common Stock Usd.0000005,DLocal Ltd Class A,BIGC,6618,LSPD.NE,BILL,NVEI.TO,ADE.OL,TRST.L,n/a,SUM
07/23/2021,6.28,6.16,5.59,4.38,4.24,4.09,3.52,3.72,3.46,2.72,2.36,2.12,1.97,1.93,1.88,1.44,1.82,1.82,1.65,1.7,1.71,1.71,1.8,1.59,1.14,1.1,1.1,1.1,1.01,1.09,1.02,1.0,0.95,0.88,0.89,0.99,0.93,0.82,0.9,0.77,0.78,0.74,0.63,0.63,0.65,0.66,0.59,0.58,0.56,0.56,0.54,0.53,0.51,0.51,0.54,0.51,0.51,0.48,0.42,0.42,0.43,0.46,0.44,0.41,0.45,0.36,0.33,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,6.48,6.32,5.45,4.46,4.3,4.01,3.74,3.77,3.55,2.75,2.44,2.1,1.94,1.82,1.87,1.37,1.82,1.76,1.66,1.72,1.74,1.63,1.75,1.58,1.18,1.05,1.12,1.09,0.97,1.05,1.02,0.98,0.94,0.89,0.85,0.98,0.91,0.83,0.86,0.79,0.85,0.75,0.61,0.64,0.62,0.63,0.59,0.57,0.54,0.55,0.52,0.52,0.5,0.49,0.52,0.48,0.52,0.46,0.41,0.42,0.44,0.44,0.41,0.41,0.43,0.38,0.33,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
07/27/2021,6.62,6.34,5.43,4.57,4.32,4.04,3.75,3.74,3.56,2.75,2.47,2.08,1.92,1.76,1.95,0.0,1.84,1.7,1.66,1.71,1.74,1.63,1.66,1.56,1.2,0.97,1.11,1.11,0.97,1.06,1.04,0.99,0.95,0.9,0.85,0.98,0.87,0.82,0.75,0.77,0.85,0.75,0.54,0.64,0.0,0.63,0.59,0.58,0.53,0.55,0.52,0.52,0.49,0.48,0.53,0.48,0.53,0.45,0.41,0.42,0.43,0.43,0.4,0.4,0.42,0.38,0.33,0.0,1.5,0.6,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,6.62,6.34,5.43,4.57,4.32,4.04,3.75,3.74,3.56,2.75,2.47,2.08,1.92,1.76,1.95,0.0,1.84,1.7,1.66,1.71,1.74,1.63,1.66,1.56,1.2,0.97,1.11,1.11,0.97,1.06,1.04,0.99,0.95,0.9,0.85,0.98,0.87,0.82,0.75,0.77,0.85,0.75,0.54,0.64,0.0,0.63,0.59,0.58,0.53,0.55,0.52,0.52,0.49,0.48,0.53,0.48,0.53,0.45,0.41,0.42,0.43,0.43,0.4,0.4,0.42,0.38,0.33,0.0,1.5,0.6,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,6.5,6.29,5.6,4.67,4.32,4.09,3.8,3.78,3.6,2.8,2.56,2.09,1.86,1.66,2.0,0.71,1.85,1.49,0.99,1.03,1.73,1.64,0.93,1.6,1.25,0.9,1.15,1.11,0.97,1.09,1.51,1.01,0.96,0.94,0.86,0.99,0.82,2.09,0.7,0.79,0.81,0.75,0.4,0.65,0.51,0.64,0.6,0.58,0.53,0.62,0.54,0.53,0.5,0.48,0.55,0.49,1.01,0.46,0.41,0.41,0.44,0.44,0.41,0.41,0.42,0.38,0.33,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/30/2021,6.54,6.03,5.62,4.86,4.41,4.1,3.74,3.83,3.7,2.84,2.61,2.1,1.87,1.54,2.02,1.05,1.84,0.74,1.0,1.06,1.72,1.56,0.94,1.6,1.28,0.82,1.16,1.11,0.98,1.12,1.53,1.02,0.96,0.96,0.86,1.01,0.81,2.13,0.68,0.8,0.79,1.0,0.41,0.67,0.0,0.66,0.61,0.59,0.54,0.66,0.55,0.53,0.48,0.48,0.55,0.5,1.0,0.46,0.41,0.41,0.44,0.45,0.43,0.41,0.42,0.37,0.34,0.48,0.0,0.0,0.0,0.51,0.34,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/02/2021,6.32,6.24,5.5,5.01,4.51,3.81,3.73,3.76,3.66,2.91,2.63,2.01,1.85,1.68,1.94,1.59,1.83,0.86,0.99,1.03,1.71,1.53,1.02,1.61,1.27,0.94,1.15,1.08,0.96,1.09,1.52,1.02,0.99,0.95,0.85,0.98,0.85,2.13,0.72,0.81,0.75,1.0,0.38,0.66,0.43,0.65,0.61,0.64,0.55,0.66,0.52,0.52,0.44,0.45,0.55,0.5,0.98,0.43,0.4,0.43,0.46,0.0,0.41,0.44,0.43,0.38,0.34,0.44,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,6.32,6.24,5.5,5.01,4.51,3.81,3.73,3.76,3.66,2.91,2.63,2.01,1.85,1.68,1.94,1.59,1.83,0.86,0.99,1.03,1.71,1.53,1.02,1.61,1.27,0.94,1.15,1.08,0.96,1.09,1.52,1.02,0.99,0.95,0.85,0.98,0.85,2.13,0.72,0.81,0.75,1.0,0.38,0.66,0.43,0.65,0.61,0.64,0.55,0.66,0.52,0.52,0.44,0.45,0.55,0.5,0.98,0.43,0.4,0.43,0.46,0.0,0.41,0.44,0.43,0.38,0.34,0.44,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,6.37,6.21,5.21,4.99,4.43,3.8,3.71,3.81,3.74,2.89,2.62,2.01,1.9,1.68,1.98,1.62,1.83,0.83,1.0,1.04,1.67,1.57,1.03,1.62,1.26,0.96,1.17,1.08,0.93,1.11,1.52,1.01,1.0,0.85,0.87,1.02,0.86,2.19,0.71,0.82,0.79,1.03,0.37,0.68,0.44,0.66,0.62,0.65,0.55,0.67,0.54,0.51,0.44,0.42,0.56,0.55,0.93,0.45,0.41,0.44,0.46,0.0,0.4,0.45,0.41,0.39,0.33,0.44,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,6.49,6.27,5.18,4.64,4.42,3.71,4.05,3.75,3.67,2.9,2.59,2.0,1.92,1.65,1.94,1.61,1.82,0.83,1.01,1.03,1.69,1.54,1.04,1.61,1.25,0.95,1.19,1.1,1.09,1.07,1.53,1.02,1.01,0.83,0.86,1.01,0.88,2.2,0.74,0.81,0.81,1.04,0.37,0.68,0.41,0.66,0.62,0.65,0.55,0.67,0.54,0.52,0.42,0.42,0.55,0.56,0.95,0.44,0.41,0.43,0.46,0.0,0.41,0.44,0.41,0.4,0.32,0.44,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,6.46,6.35,5.26,4.6,4.44,3.77,4.03,3.74,3.68,2.95,2.59,1.98,1.91,1.56,1.95,1.62,1.83,0.82,0.99,1.02,1.66,1.5,1.02,1.6,1.28,0.93,1.23,1.1,1.23,1.06,1.51,1.04,1.0,0.82,0.84,1.0,0.87,2.21,0.69,0.8,0.8,1.04,0.36,0.71,0.38,0.67,0.62,0.67,0.55,0.67,0.54,0.52,0.43,0.44,0.56,0.57,0.96,0.43,0.41,0.42,0.46,0.0,0.41,0.42,0.39,0.39,0.32,0.43,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/11/2021,6.46,6.78,5.22,3.36,4.94,3.84,4.11,3.86,3.82,2.94,2.65,2.04,1.92,1.58,2.01,1.61,1.88,0.82,0.95,1.04,1.66,1.54,1.01,1.45,1.42,0.91,1.4,1.12,1.26,1.08,1.39,1.07,0.95,0.83,0.68,0.98,0.87,2.27,0.65,0.78,0.8,1.06,0.31,0.63,0.4,0.67,0.6,0.68,0.55,0.67,0.51,0.5,0.42,0.46,0.55,0.57,0.9,0.43,0.41,0.42,0.43,0.0,0.37,0.41,0.4,0.39,0.33,0.44,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.94
08/13/2021,6.43,6.62,5.16,3.42,5.26,3.76,4.06,3.83,4.07,2.94,2.51,2.0,2.09,1.69,1.99,1.6,1.81,0.92,0.94,1.04,1.63,1.55,1.04,1.4,0.0,0.95,1.29,1.17,1.27,1.06,1.32,1.09,0.96,0.81,0.69,0.97,0.86,2.23,0.66,0.77,0.84,1.02,0.35,0.64,0.41,0.66,0.59,0.64,0.54,0.67,0.51,0.49,0.43,0.5,0.56,0.57,0.94,0.42,0.39,0.41,0.44,0.0,0.36,0.41,0.39,0.4,0.27,0.47,0.0,0.0,0.0,0.47,0.0,1.36,0.0,0.0,0.0,0.0,0.0,100.01
08/16/2021,6.38,6.87,5.17,3.44,5.19,3.78,4.02,3.78,3.96,2.93,2.6,1.97,2.04,1.68,2.01,1.61,1.77,0.91,0.94,1.04,1.65,1.6,1.03,1.14,0.0,0.91,1.36,1.17,1.26,1.04,1.33,1.14,0.93,0.8,0.7,0.96,0.85,2.29,0.66,0.78,0.83,0.94,0.33,0.64,0.4,0.67,0.6,0.63,0.55,0.65,0.51,0.5,0.46,0.56,0.54,0.59,0.97,0.42,0.41,0.41,0.45,0.0,0.37,0.41,0.41,0.4,0.28,0.5,0.0,0.0,0.0,0.47,0.0,1.4,0.0,0.0,0.0,0.0,0.0,99.99000000000002
08/18/2021,6.36,6.89,5.16,3.43,5.22,3.79,4.01,3.78,4.0,2.97,2.59,1.95,2.07,1.64,2.02,1.61,1.76,0.9,0.91,1.05,1.63,1.57,1.02,1.12,0.0,0.88,1.36,1.21,1.27,1.05,1.3,1.15,0.94,0.8,0.71,0.97,0.83,2.32,0.61,0.75,0.83,0.94,0.3,0.58,0.4,0.68,0.6,0.64,0.55,0.65,0.5,0.51,0.45,0.55,0.77,0.61,0.97,0.41,0.41,0.39,0.44,0.0,0.37,0.39,0.39,0.41,0.27,0.49,0.0,0.0,0.0,0.48,0.0,1.4,0.0,0.0,0.0,0.0,0.0,99.98
08/19/2021,6.45,6.66,5.27,3.41,5.16,3.92,4.03,3.74,4.08,3.03,2.65,1.96,2.01,1.62,2.08,1.64,1.73,0.87,0.91,1.04,1.58,1.61,0.99,1.12,0.0,0.88,1.31,1.19,1.28,1.08,1.31,1.13,0.92,0.8,0.71,0.97,0.82,2.3,0.59,0.7,0.81,0.95,0.3,0.59,0.4,0.71,0.62,0.66,0.56,0.66,0.51,0.51,0.44,0.54,0.78,0.63,0.98,0.42,0.41,0.39,0.43,0.0,0.38,0.39,0.38,0.4,0.27,0.48,0.0,0.0,0.0,0.46,0.0,1.42,0.0,0.0,0.0,0.0,0.0,100.03
08/20/2021,6.47,7.12,5.22,3.38,5.13,3.85,4.02,3.76,4.01,3.04,2.65,1.95,2.0,1.56,2.05,1.65,1.73,0.85,0.9,1.04,1.59,1.61,0.96,1.12,0.0,0.85,1.34,1.19,1.28,1.08,1.28,1.15,0.93,0.81,0.72,0.98,0.79,2.25,0.58,0.68,0.78,0.95,0.32,0.57,0.38,0.71,0.63,0.66,0.56,0.66,0.53,0.51,0.45,0.54,0.78,0.63,1.01,0.42,0.41,0.38,0.42,0.0,0.38,0.39,0.38,0.4,0.26,0.49,0.0,0.0,0.0,0.44,0.0,1.38,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,6.42,7.44,5.15,3.33,5.12,3.85,3.98,3.78,4.0,3.25,2.68,1.9,2.07,1.52,2.03,1.65,1.75,0.81,0.89,1.02,1.58,1.61,0.94,1.21,0.0,0.81,1.36,1.17,1.25,1.07,1.31,1.12,0.9,0.8,0.74,0.97,0.73,2.24,0.55,0.66,0.79,0.97,0.3,0.57,0.36,0.71,0.65,0.65,0.54,0.66,0.5,0.51,0.43,0.51,0.78,0.63,1.0,0.41,0.41,0.38,0.4,0.0,0.38,0.35,0.37,0.4,0.26,0.63,0.0,0.0,0.0,0.42,0.0,1.37,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,6.33,7.14,5.15,3.38,5.18,3.87,4.05,3.76,3.98,3.38,2.68,1.9,2.1,1.53,2.05,1.65,1.77,0.77,0.93,1.02,1.57,1.59,0.95,1.18,1.41,0.83,1.37,1.18,1.23,1.07,1.3,1.07,0.92,0.8,0.75,0.97,0.72,2.24,0.57,0.68,0.79,0.96,0.28,0.57,0.31,0.71,0.65,0.66,0.53,0.65,0.5,0.51,0.45,0.52,0.78,0.62,1.03,0.44,0.42,0.38,0.39,0.0,0.38,0.35,0.36,0.41,0.26,0.67,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/26/2021,6.33,7.13,5.15,3.32,5.14,3.85,4.08,3.75,3.99,3.44,2.71,1.91,2.12,1.52,2.03,1.61,1.79,0.76,0.93,1.03,1.58,1.56,0.97,1.16,1.43,0.85,1.38,1.15,1.26,1.06,1.31,1.07,0.92,0.79,0.76,0.96,0.72,2.25,0.58,0.69,0.83,0.96,0.28,0.58,0.34,0.7,0.65,0.66,0.53,0.67,0.49,0.52,0.45,0.51,0.76,0.61,1.0,0.44,0.43,0.39,0.4,0.0,0.38,0.37,0.34,0.4,0.26,0.64,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/27/2021,6.41,6.88,5.08,3.39,5.13,3.78,3.97,3.69,3.84,3.42,2.7,0.96,2.16,1.62,1.99,2.43,1.88,0.84,0.9,1.04,1.56,1.51,1.08,1.2,1.42,1.02,1.31,1.14,1.25,1.03,1.31,1.09,0.9,0.79,0.74,0.95,0.74,2.41,0.64,0.7,0.85,0.99,0.32,0.6,0.38,0.66,0.65,0.65,0.55,0.65,0.51,0.5,0.45,0.49,0.75,0.59,1.0,0.43,0.43,0.4,0.39,0.0,0.37,0.37,0.36,0.4,0.26,0.66,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/30/2021,6.34,7.12,5.11,3.51,5.1,3.72,3.87,3.72,3.84,3.28,2.69,0.97,2.09,1.62,1.99,2.65,1.98,0.86,0.91,1.07,1.56,1.5,1.11,1.0,1.43,0.99,1.33,1.17,1.23,1.02,1.28,1.06,0.9,0.79,0.74,0.93,0.72,2.29,0.63,0.69,1.03,0.95,0.33,0.54,0.37,0.67,0.67,0.65,0.54,0.66,0.51,0.5,0.44,0.5,0.75,0.62,1.06,0.43,0.42,0.37,0.4,0.0,0.37,0.36,0.36,0.4,0.25,0.61,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,6.36,7.05,5.13,3.49,5.14,3.75,3.93,3.76,3.65,3.37,2.76,0.96,2.06,1.59,2.02,2.99,1.99,0.85,0.92,1.07,1.58,1.51,1.09,1.0,1.5,0.97,1.35,1.14,1.21,1.02,1.31,1.04,0.9,0.79,0.75,0.93,0.69,2.29,0.61,0.69,0.99,0.95,0.33,0.54,0.36,0.66,0.66,0.66,0.54,0.65,0.46,0.5,0.45,0.5,0.75,0.6,1.04,0.43,0.44,0.37,0.39,0.0,0.0,0.36,0.36,0.41,0.26,0.64,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95
09/02/2021,6.38,7.23,5.2,3.55,5.14,3.86,3.95,3.77,3.63,3.35,3.07,0.48,2.35,1.58,2.05,0.63,2.01,0.85,0.88,1.97,1.59,1.97,0.34,0.5,2.15,0.49,1.36,1.16,1.22,1.01,1.29,1.05,0.91,0.77,0.74,0.93,0.0,2.3,0.0,0.67,0.89,0.93,0.0,0.99,0.36,1.01,0.66,0.65,0.54,0.65,0.45,0.5,0.44,0.5,0.75,0.6,1.07,1.02,0.45,0.0,0.38,0.0,0.0,0.0,0.5,0.41,0.0,0.59,0.0,0.0,0.0,0.45,0.0,0.0,1.28,1.06,0.49,0.0,0.0,100.0
09/03/2021,6.3,7.4,5.29,3.5,5.12,3.87,3.91,3.69,3.54,3.36,3.05,0.48,2.37,1.01,2.05,0.55,1.98,0.54,0.88,1.99,1.56,2.01,0.35,0.49,2.21,0.52,1.38,1.16,1.25,1.0,1.28,1.03,0.92,0.78,0.74,0.94,0.0,2.29,0.0,0.66,0.84,0.97,0.0,1.0,0.37,1.02,0.65,0.65,0.54,0.66,0.44,0.5,0.44,0.48,0.76,0.6,1.06,1.03,0.45,0.0,0.38,0.0,0.0,0.0,0.49,0.4,0.0,0.61,0.0,0.0,0.0,0.44,0.0,0.0,1.24,1.04,0.46,1.04,0.0,100.01
09/06/2021,6.31,7.34,5.22,3.53,5.25,3.79,3.84,3.63,3.41,3.27,3.17,0.5,2.41,1.03,2.01,0.49,1.9,0.55,0.9,1.97,1.55,1.96,0.36,0.5,2.33,0.52,1.38,1.15,1.25,0.97,1.35,0.92,0.92,0.77,0.73,0.96,0.0,2.3,0.0,0.7,0.8,1.04,0.0,1.06,0.39,1.04,0.67,0.65,0.53,0.64,0.44,0.5,0.43,0.46,0.8,0.61,1.04,1.11,0.47,0.0,0.39,0.0,0.0,0.0,0.47,0.4,0.0,0.65,0.0,0.0,0.0,0.44,0.0,0.0,1.29,0.97,0.47,1.08,0.0,99.98
09/07/2021,6.31,7.34,5.22,3.53,5.25,3.79,3.84,3.63,3.41,3.27,3.17,0.5,2.41,1.03,2.01,0.0,1.9,0.55,0.9,1.97,1.55,1.96,0.36,0.5,2.33,0.52,1.38,1.15,1.25,0.97,1.35,0.92,0.92,0.77,0.73,0.96,0.0,2.3,0.0,0.7,0.8,1.04,0.0,1.06,0.39,1.04,0.67,0.65,0.53,0.64,0.44,0.5,0.43,0.46,0.8,0.61,1.04,1.11,0.47,0.0,0.39,0.0,0.0,0.0,0.47,0.4,0.0,0.65,0.0,0.0,0.0,0.44,0.0,0.0,1.29,0.97,0.47,1.08,0.49,99.98
09/08/2021,6.31,7.34,5.22,3.53,5.25,3.79,3.84,3.63,3.41,3.27,3.17,0.5,2.41,1.03,2.01,0.49,1.9,0.55,0.9,1.97,1.55,1.96,0.36,0.5,2.33,0.52,1.38,1.15,1.25,0.97,1.35,0.92,0.92,0.77,0.73,0.96,0.0,2.3,0.0,0.7,0.8,1.04,0.0,1.06,0.39,1.04,0.67,0.65,0.53,0.64,0.44,0.5,0.43,0.46,0.8,0.61,1.04,1.11,0.47,0.0,0.39,0.0,0.0,0.0,0.47,0.4,0.0,0.65,0.0,0.0,0.0,0.44,0.0,0.0,1.29,0.97,0.47,1.08,0.0,99.98
09/09/2021,6.31,7.59,5.2,3.52,5.24,3.81,3.86,3.79,3.48,3.23,3.17,0.48,2.35,1.01,2.0,0.49,1.92,0.53,0.88,1.96,1.57,1.94,0.35,0.51,2.35,0.52,1.38,1.15,1.21,0.97,1.35,0.88,0.94,0.78,0.72,0.96,0.0,2.29,0.0,0.69,0.8,1.01,0.0,1.04,0.39,1.03,0.64,0.64,0.52,0.63,0.43,0.5,0.42,0.46,0.79,0.59,1.06,1.08,0.47,0.0,0.38,0.0,0.0,0.0,0.49,0.39,0.0,0.64,0.0,0.0,0.0,0.43,0.0,0.0,1.32,0.98,0.43,1.07,0.0,100.01
09/10/2021,6.24,7.54,5.25,3.49,5.27,3.87,3.81,3.56,3.5,3.19,3.14,0.49,2.41,1.06,2.03,0.48,1.86,0.55,0.89,1.99,1.54,1.88,0.37,0.5,2.33,0.55,1.39,1.17,1.22,0.97,1.45,0.87,0.89,0.77,0.71,0.96,0.0,2.4,0.0,0.69,0.79,1.03,0.0,1.1,0.4,1.02,0.63,0.63,0.52,0.63,0.42,0.51,0.42,0.45,0.82,0.56,1.04,1.1,0.48,0.0,0.4,0.0,0.0,0.0,0.51,0.39,0.0,0.59,0.0,0.0,0.0,0.46,0.0,0.0,1.31,0.99,0.44,1.06,0.0,99.98000000000002
