,EQNR.OL,DNB.OL,TEL.OL,MOWI.OL,YAR.OL,NHY.OL,ORK.OL,TOM.OL,ADE.OL,GJF.OL,BAKKA.OL,SCHB NO,STB.OL,NOD.OL,SCHA.OL,SALM.OL,NEL.OL,SCATC.OL,ENTRA.OL,LSG.OL,KOG.OL,SRBNK.OL,SUBC.OL,BRG.OL,AKER.OL,MING.OL,ATEA.OL,TGS.OL,NOFI.OL,VEI.OL,GOGLO QX,AUSS.OL,EPR.OL,SBANK.OL,NONG.OL,ELK.OL,FRO.OL,KAHOT.OL,PROT.OL,CRAYN.OL,BONHR.OL,PEXIP.OL,FKRFT.OL,SPOL.OL,DNO.OL,GSF.OL,HEX.OL,BWLPG.OL,FLNG.OL,SNI.OL,WAWI.OL,BWO.OL,XXL.OL,SBO.OL,VACC.OL,NRS.OL,ACC.OL,HAFNI.OL,AKSO.OL,ASA.OL,HPUR.OL,OCY.OL,RECSI.OL,AKH.OL,BWE.OL,VOLUE.OL,CASH,QFUEL.OL,AKBM.OL,MWTR.OL,LINK NO,LINK.OL,MWTR NO,AKBM NO,BANO,BANO.OL,n/a,ASA NO,SUM
07/23/2021,10.68,10.44,6.96,6.45,5.44,4.43,4.03,3.64,2.89,2.64,2.51,2.61,2.27,2.63,2.29,2.19,1.61,1.74,1.71,1.55,1.43,1.35,1.14,1.34,1.04,1.05,0.91,0.75,0.0,0.8,0.71,0.67,0.65,0.56,0.53,0.55,0.46,0.31,0.44,0.43,0.39,0.32,0.32,0.33,0.26,0.29,0.24,0.27,0.23,0.2,0.19,0.17,0.17,0.16,0.12,0.17,0.11,0.11,0.11,0.09,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.08,0.0,0.09,0.0,0.07,0.89,0.0,0.0,0.0,100.0
07/26/2021,10.76,10.33,6.85,6.34,5.27,4.48,3.92,3.68,2.78,2.62,2.51,2.64,2.29,2.77,2.32,2.17,1.68,1.82,1.71,1.55,1.44,1.35,1.18,1.33,1.07,1.04,0.93,0.77,0.0,0.8,0.71,0.67,0.66,0.55,0.53,0.56,0.46,0.33,0.44,0.44,0.39,0.33,0.32,0.32,0.27,0.28,0.25,0.26,0.23,0.21,0.19,0.17,0.17,0.16,0.12,0.17,0.12,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.09,0.1,0.0,0.08,0.0,0.09,0.0,0.07,0.89,0.0,0.0,0.0,99.98999999999997
07/27/2021,10.76,10.33,6.85,6.34,5.27,4.48,3.92,3.68,2.78,2.62,2.51,2.64,2.29,2.77,2.32,2.17,1.68,1.82,1.71,1.55,1.44,1.35,1.18,1.33,1.07,1.04,0.93,0.77,0.0,0.8,0.71,0.67,0.66,0.55,0.53,0.56,0.46,0.33,0.44,0.44,0.39,0.33,0.32,0.32,0.27,0.28,0.25,0.26,0.23,0.21,0.19,0.17,0.17,0.16,0.12,0.17,0.12,0.1,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.11,0.09,0.1,0.0,0.08,0.0,0.09,0.0,0.07,0.89,0.0,0.0,0.0,99.98999999999997
07/29/2021,10.99,10.35,6.84,6.37,5.31,4.53,3.96,3.62,2.7,2.63,2.52,2.58,2.33,2.87,2.26,2.16,1.56,1.45,1.72,1.56,1.47,1.36,1.19,1.39,1.09,1.05,0.92,0.77,0.0,0.81,0.73,0.67,0.67,0.55,0.53,0.57,0.47,0.33,0.44,0.46,0.39,0.33,0.32,0.31,0.28,0.28,0.24,0.27,0.23,0.2,0.19,0.18,0.17,0.16,0.12,0.17,0.12,0.11,0.12,0.1,0.1,0.12,0.1,0.1,0.11,0.1,0.08,0.09,0.0,0.08,0.0,0.09,0.0,0.07,0.88,0.0,0.0,0.0,99.99
07/30/2021,10.92,10.38,6.95,6.36,5.33,4.6,3.97,3.64,2.65,2.65,2.51,2.57,2.31,2.84,2.25,2.16,1.57,1.46,1.72,1.56,1.46,1.34,1.2,1.39,1.11,1.05,0.91,0.78,0.0,0.8,0.7,0.67,0.66,0.55,0.53,0.56,0.45,0.33,0.44,0.46,0.39,0.33,0.32,0.32,0.28,0.28,0.24,0.27,0.23,0.2,0.19,0.17,0.18,0.16,0.12,0.17,0.12,0.11,0.11,0.1,0.1,0.12,0.1,0.1,0.11,0.1,0.09,0.09,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.0,0.0,100.01
08/02/2021,10.81,10.7,6.89,6.35,5.23,4.72,3.9,3.65,2.64,2.62,2.47,2.57,2.31,2.89,2.28,2.15,1.54,1.46,1.75,1.55,1.48,1.34,1.06,1.43,1.12,1.05,0.9,0.78,0.0,0.8,0.72,0.66,0.65,0.55,0.52,0.56,0.45,0.32,0.44,0.46,0.39,0.34,0.32,0.32,0.27,0.28,0.24,0.27,0.23,0.2,0.19,0.17,0.17,0.16,0.12,0.17,0.12,0.11,0.12,0.1,0.1,0.12,0.11,0.1,0.11,0.1,0.09,0.1,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.0,0.0,100.00999999999998
08/03/2021,10.81,10.7,6.89,6.35,5.23,4.72,3.9,3.65,2.64,2.62,2.47,2.57,2.31,2.89,2.28,2.15,1.54,1.46,1.75,1.55,1.48,1.34,1.06,1.43,1.12,1.05,0.9,0.78,0.0,0.8,0.72,0.66,0.65,0.55,0.52,0.56,0.45,0.32,0.44,0.46,0.39,0.34,0.32,0.32,0.27,0.28,0.24,0.27,0.23,0.2,0.19,0.17,0.17,0.16,0.12,0.17,0.12,0.11,0.12,0.1,0.1,0.12,0.11,0.1,0.11,0.1,0.09,0.1,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.0,0.0,100.00999999999998
08/04/2021,10.68,10.68,6.88,6.36,5.24,4.65,3.92,3.69,2.65,2.63,2.45,2.6,2.31,2.9,2.3,2.16,1.54,1.46,1.79,1.55,1.47,1.34,1.03,1.43,1.15,1.04,0.91,0.78,0.0,0.8,0.73,0.66,0.65,0.55,0.52,0.56,0.46,0.31,0.43,0.48,0.39,0.34,0.32,0.32,0.27,0.28,0.24,0.26,0.23,0.2,0.19,0.17,0.17,0.16,0.12,0.17,0.13,0.12,0.12,0.1,0.1,0.12,0.11,0.11,0.11,0.11,0.09,0.1,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.0,0.0,100.00999999999998
08/05/2021,10.86,10.65,6.88,6.36,5.14,4.68,3.91,3.67,2.66,2.62,2.46,2.6,2.3,2.93,2.28,2.15,1.55,1.46,1.8,1.58,1.47,1.34,1.02,1.4,1.12,1.03,0.9,0.79,0.0,0.79,0.74,0.67,0.64,0.55,0.51,0.56,0.45,0.31,0.43,0.46,0.39,0.33,0.31,0.32,0.27,0.28,0.23,0.26,0.23,0.2,0.19,0.18,0.17,0.16,0.12,0.17,0.13,0.11,0.12,0.1,0.1,0.12,0.11,0.1,0.11,0.11,0.09,0.09,0.0,0.09,0.0,0.09,0.0,0.07,0.0,0.88,0.0,0.0,99.95
08/06/2021,10.86,10.63,6.9,6.37,5.14,4.68,3.93,3.73,2.71,2.66,2.49,2.61,2.28,2.93,2.29,2.15,1.53,1.46,1.81,1.58,1.48,1.34,0.99,1.41,1.1,1.03,0.9,0.77,0.0,0.8,0.71,0.67,0.64,0.55,0.52,0.56,0.44,0.3,0.44,0.47,0.39,0.32,0.31,0.31,0.27,0.28,0.22,0.25,0.23,0.2,0.19,0.17,0.17,0.16,0.13,0.17,0.13,0.11,0.11,0.1,0.09,0.11,0.11,0.1,0.11,0.11,0.08,0.1,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.0,0.0,100.00999999999998
08/10/2021,10.86,10.78,6.9,6.41,5.08,4.52,3.87,3.79,2.74,2.65,2.49,2.71,2.35,2.94,2.37,2.15,1.29,1.45,1.83,1.59,1.48,1.35,0.97,1.41,1.08,1.03,0.91,0.77,0.0,0.79,0.72,0.68,0.64,0.55,0.52,0.56,0.42,0.32,0.42,0.47,0.39,0.32,0.31,0.31,0.27,0.29,0.22,0.25,0.23,0.2,0.19,0.17,0.17,0.16,0.13,0.17,0.13,0.11,0.11,0.1,0.08,0.11,0.11,0.1,0.11,0.11,0.0,0.09,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.08,0.0,100.0
08/11/2021,11.06,10.96,6.86,6.35,4.97,4.58,3.87,3.66,2.72,2.65,2.47,2.69,2.36,2.86,2.34,2.13,1.35,1.45,1.81,1.59,1.46,1.38,0.97,1.37,1.08,1.06,0.89,0.78,0.0,0.78,0.71,0.68,0.64,0.55,0.52,0.56,0.43,0.33,0.43,0.45,0.39,0.32,0.31,0.31,0.29,0.29,0.23,0.25,0.24,0.2,0.2,0.17,0.17,0.16,0.14,0.17,0.13,0.11,0.11,0.11,0.08,0.11,0.11,0.1,0.11,0.11,0.0,0.09,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.08,0.0,100.00999999999998
08/12/2021,11.05,11.04,6.87,6.32,4.99,4.52,3.86,3.66,2.75,2.67,2.49,2.68,2.37,2.86,2.34,2.13,1.36,1.47,1.81,1.57,1.45,1.36,0.95,1.38,1.07,1.05,0.89,0.75,0.0,0.78,0.7,0.68,0.65,0.55,0.52,0.56,0.42,0.33,0.44,0.47,0.39,0.33,0.31,0.31,0.27,0.29,0.23,0.25,0.25,0.2,0.2,0.17,0.17,0.16,0.14,0.17,0.13,0.1,0.11,0.11,0.09,0.11,0.11,0.1,0.11,0.11,0.0,0.09,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.88,0.08,0.0,100.01999999999998
08/13/2021,11.0,10.89,6.86,6.3,5.0,4.64,3.82,3.7,2.67,2.68,2.47,2.69,2.36,2.92,2.34,2.14,1.39,1.48,1.81,1.56,1.43,1.38,0.96,1.39,1.07,1.06,0.89,0.75,0.0,0.78,0.7,0.68,0.65,0.55,0.53,0.56,0.41,0.32,0.43,0.45,0.4,0.32,0.31,0.32,0.28,0.27,0.24,0.24,0.23,0.2,0.21,0.17,0.17,0.16,0.15,0.17,0.14,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.09,0.0,0.08,0.0,0.09,0.0,0.07,0.0,0.87,0.14,0.0,99.98999999999997
08/16/2021,11.28,10.89,6.89,6.24,4.95,4.78,3.85,3.63,2.57,2.68,2.4,2.63,2.38,2.87,2.28,2.12,1.32,1.46,1.84,1.57,1.42,1.37,0.98,1.4,1.05,1.05,0.88,0.74,0.0,0.77,0.74,0.68,0.65,0.54,0.53,0.59,0.42,0.31,0.43,0.5,0.4,0.32,0.31,0.33,0.28,0.28,0.23,0.25,0.24,0.2,0.22,0.17,0.16,0.16,0.14,0.19,0.14,0.1,0.11,0.1,0.1,0.11,0.11,0.11,0.11,0.11,0.0,0.09,0.0,0.08,0.0,0.09,0.0,0.06,0.0,0.87,0.13,0.0,99.97999999999998
08/18/2021,11.31,10.9,6.91,6.26,4.97,4.84,3.81,3.65,2.62,2.69,2.38,2.6,2.39,2.75,2.26,2.13,1.31,1.45,1.86,1.57,1.43,1.38,0.98,1.38,1.04,1.07,0.87,0.74,0.0,0.77,0.74,0.69,0.64,0.54,0.54,0.58,0.41,0.3,0.43,0.5,0.4,0.32,0.31,0.33,0.27,0.28,0.24,0.25,0.25,0.2,0.22,0.17,0.17,0.17,0.14,0.19,0.15,0.1,0.1,0.1,0.1,0.12,0.11,0.11,0.1,0.11,0.0,0.09,0.0,0.08,0.0,0.09,0.0,0.06,0.0,0.87,0.13,0.0,100.01999999999998
08/19/2021,11.25,10.96,6.96,6.31,5.07,4.78,3.86,3.66,2.62,2.7,2.39,2.6,2.4,2.74,2.25,2.14,1.26,1.41,1.88,1.57,1.43,1.4,0.95,1.38,1.03,1.07,0.88,0.73,0.0,0.77,0.73,0.68,0.64,0.55,0.54,0.57,0.41,0.29,0.43,0.48,0.4,0.31,0.31,0.33,0.26,0.29,0.23,0.25,0.26,0.19,0.22,0.17,0.16,0.16,0.14,0.19,0.14,0.1,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.11,0.0,0.08,0.0,0.08,0.0,0.09,0.0,0.06,0.0,0.87,0.13,0.0,100.0
08/20/2021,11.52,10.92,6.99,6.27,4.97,4.78,3.89,3.69,2.56,2.71,2.42,2.58,2.37,2.68,2.24,2.15,1.21,1.36,1.85,1.56,1.42,1.39,0.97,1.4,1.05,1.07,0.88,0.73,0.0,0.78,0.76,0.68,0.65,0.55,0.53,0.57,0.43,0.29,0.43,0.47,0.4,0.3,0.31,0.33,0.26,0.28,0.23,0.24,0.24,0.19,0.23,0.17,0.16,0.16,0.15,0.19,0.14,0.1,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.11,0.0,0.08,0.0,0.08,0.0,0.1,0.0,0.06,0.0,0.87,0.13,0.0,99.98
08/23/2021,11.18,10.99,7.07,6.23,5.03,4.55,3.91,3.68,2.63,2.71,2.36,2.61,2.38,2.67,2.25,2.1,1.28,1.44,1.85,1.57,1.42,1.38,0.96,1.38,1.04,1.08,0.89,0.74,0.0,0.79,0.75,0.68,0.66,0.56,0.54,0.58,0.43,0.37,0.43,0.48,0.41,0.31,0.31,0.33,0.24,0.26,0.25,0.25,0.26,0.19,0.26,0.17,0.17,0.16,0.15,0.19,0.15,0.11,0.1,0.09,0.1,0.12,0.1,0.11,0.1,0.11,0.0,0.09,0.0,0.08,0.0,0.1,0.0,0.07,0.0,0.88,0.13,0.0,99.99999999999996
08/24/2021,11.18,10.99,7.07,6.23,5.03,4.55,3.91,3.68,2.63,2.71,2.36,2.61,2.38,2.67,2.25,2.1,1.28,1.44,1.85,1.57,1.42,1.38,0.96,1.38,1.04,1.08,0.89,0.74,0.0,0.79,0.75,0.68,0.66,0.56,0.54,0.58,0.43,0.37,0.43,0.48,0.41,0.31,0.31,0.33,0.24,0.26,0.25,0.25,0.26,0.19,0.26,0.17,0.17,0.16,0.15,0.19,0.15,0.11,0.1,0.09,0.1,0.12,0.1,0.11,0.1,0.11,0.0,0.09,0.0,0.08,0.0,0.1,0.0,0.07,0.0,0.88,0.13,0.0,99.99999999999996
08/25/2021,11.1,10.9,7.1,6.32,5.03,4.41,3.89,3.75,2.65,2.71,2.4,2.66,2.35,2.75,2.3,2.16,1.23,1.43,1.83,1.53,1.43,1.38,0.94,1.4,1.03,1.08,0.9,0.73,0.0,0.79,0.75,0.69,0.66,0.55,0.54,0.58,0.42,0.39,0.44,0.49,0.41,0.32,0.31,0.33,0.24,0.27,0.23,0.25,0.25,0.19,0.25,0.17,0.17,0.16,0.15,0.22,0.14,0.11,0.1,0.09,0.09,0.12,0.1,0.1,0.1,0.11,0.0,0.08,0.0,0.07,0.0,0.11,0.0,0.07,0.0,0.88,0.13,0.0,100.00999999999998
08/26/2021,11.32,10.86,6.98,6.26,5.06,4.56,3.8,3.7,2.74,2.68,2.34,2.68,2.34,2.81,2.32,2.1,1.24,1.44,1.79,1.48,1.43,1.36,0.96,1.38,1.04,1.06,0.9,0.75,0.0,0.78,0.76,0.66,0.66,0.55,0.53,0.59,0.42,0.42,0.43,0.5,0.41,0.33,0.31,0.32,0.24,0.27,0.23,0.25,0.26,0.19,0.26,0.17,0.17,0.15,0.15,0.22,0.14,0.11,0.11,0.09,0.09,0.12,0.1,0.1,0.1,0.1,0.0,0.08,0.0,0.08,0.0,0.1,0.0,0.07,0.0,0.87,0.12,0.0,99.98999999999998
08/27/2021,11.33,10.89,6.93,6.24,5.03,4.6,3.78,3.75,2.78,2.68,2.38,2.67,2.33,2.82,2.32,2.1,1.31,1.43,1.75,1.47,1.41,1.36,0.97,1.37,1.05,1.05,0.9,0.74,0.0,0.76,0.77,0.66,0.65,0.55,0.53,0.59,0.42,0.41,0.43,0.49,0.41,0.31,0.31,0.33,0.25,0.27,0.23,0.25,0.26,0.19,0.26,0.17,0.16,0.15,0.15,0.22,0.14,0.1,0.11,0.1,0.09,0.12,0.1,0.11,0.1,0.11,0.0,0.09,0.0,0.08,0.0,0.1,0.0,0.07,0.0,0.87,0.12,0.0,100.02999999999996
08/30/2021,11.32,10.91,6.81,6.45,4.92,4.55,3.75,3.65,2.85,2.66,2.45,2.69,2.36,2.78,2.32,2.07,1.32,1.4,1.74,1.49,1.43,1.36,0.97,1.36,1.06,1.04,0.9,0.74,0.0,0.75,0.8,0.67,0.65,0.53,0.53,0.59,0.43,0.46,0.43,0.49,0.42,0.3,0.35,0.33,0.25,0.28,0.23,0.25,0.26,0.19,0.25,0.16,0.16,0.15,0.14,0.18,0.14,0.11,0.11,0.1,0.09,0.12,0.1,0.11,0.11,0.11,0.0,0.09,0.0,0.08,0.0,0.1,0.0,0.06,0.0,0.86,0.12,0.0,99.99
08/31/2021,11.32,10.91,6.81,6.45,4.92,4.55,3.75,3.65,2.85,2.66,2.45,2.69,2.36,2.78,2.32,2.07,1.32,1.4,1.74,1.49,1.43,1.36,0.97,1.36,1.06,1.04,0.9,0.74,0.0,0.75,0.8,0.67,0.65,0.53,0.53,0.59,0.43,0.46,0.43,0.49,0.42,0.3,0.35,0.33,0.25,0.28,0.23,0.25,0.26,0.19,0.25,0.16,0.16,0.15,0.14,0.18,0.14,0.11,0.11,0.1,0.09,0.12,0.1,0.11,0.11,0.11,0.0,0.09,0.0,0.08,0.0,0.1,0.0,0.06,0.0,0.86,0.12,0.0,99.99
09/01/2021,11.42,10.91,6.79,6.49,4.91,4.67,3.74,3.69,2.85,2.65,2.46,2.67,2.33,2.81,2.31,2.11,1.28,1.37,1.81,1.47,1.41,1.34,0.96,1.35,1.05,1.03,0.9,0.73,0.0,0.75,0.85,0.66,0.64,0.52,0.53,0.61,0.4,0.42,0.44,0.48,0.41,0.3,0.33,0.32,0.25,0.27,0.22,0.24,0.25,0.18,0.25,0.16,0.16,0.15,0.15,0.16,0.14,0.11,0.11,0.0,0.09,0.12,0.1,0.11,0.11,0.1,0.0,0.09,0.06,0.08,0.0,0.11,0.0,0.0,0.0,0.86,0.11,0.06,99.97
09/02/2021,11.42,10.88,6.83,6.53,4.93,4.69,3.73,3.69,2.82,2.62,2.47,2.68,2.33,2.84,2.32,2.09,1.26,1.36,1.65,1.46,1.4,1.33,0.98,1.38,1.07,1.04,0.91,0.74,0.0,0.73,0.85,0.66,0.64,0.52,0.53,0.62,0.4,0.45,0.44,0.51,0.43,0.3,0.34,0.32,0.25,0.27,0.22,0.23,0.26,0.18,0.24,0.15,0.16,0.16,0.15,0.15,0.14,0.11,0.11,0.0,0.09,0.12,0.1,0.12,0.11,0.1,0.0,0.09,0.06,0.09,0.0,0.11,0.0,0.0,0.0,0.86,0.12,0.06,100.0
09/03/2021,11.29,10.68,6.71,6.46,4.82,4.66,3.77,3.83,2.73,2.62,2.48,2.56,2.33,2.81,2.22,2.13,1.29,1.38,1.63,1.47,1.4,1.35,0.96,1.4,1.06,1.05,0.95,0.74,0.0,0.78,0.83,0.66,0.66,0.52,0.54,0.63,0.39,0.66,0.46,0.52,0.45,0.31,0.34,0.33,0.25,0.28,0.24,0.23,0.25,0.18,0.24,0.15,0.16,0.17,0.38,0.16,0.14,0.11,0.11,0.0,0.1,0.12,0.1,0.12,0.12,0.11,0.0,0.08,0.07,0.08,0.0,0.16,0.0,0.0,0.0,0.87,0.11,0.06,100.00999999999998
09/06/2021,11.49,10.73,6.61,6.46,4.73,4.69,3.69,3.73,2.72,2.59,2.47,2.57,2.34,2.96,2.21,2.12,1.34,1.38,1.66,1.47,1.38,1.33,0.97,1.37,1.07,1.04,0.91,0.72,0.0,0.76,0.83,0.65,0.66,0.51,0.54,0.63,0.43,0.72,0.44,0.52,0.44,0.32,0.34,0.32,0.25,0.28,0.25,0.24,0.26,0.18,0.24,0.16,0.17,0.16,0.37,0.15,0.14,0.11,0.11,0.0,0.1,0.12,0.11,0.12,0.11,0.1,0.0,0.08,0.06,0.09,0.0,0.15,0.0,0.0,0.0,0.85,0.14,0.06,100.01999999999998
