,CDXS,OPRX,MDB,ATEC,SQ,APPS,TWTR,VYGR.CN,TWLO,OMER,Z,SI,MNTV,PI,AERI,APLS,TLS,DKNG,PRCH,n/a,ARCT,FB,GOOG,HRTX,DMTK,GLXY.TO,AMRS,CDNA,KRYS,NET,TWST,CRSP,CEVA,SDGR,FATE,BABA,TCEHY,TRHC,FGXXX,MAPS,IDYA,VOYG.TO,DOCS,UCD.,VYGVF,BRPHF,CVT,ROVR,BEAM,SUM
09/08/2021,6.12,5.77,5.23,5.33,4.21,5.56,4.25,4.32,4.16,4.11,3.85,4.16,3.53,3.55,2.66,2.59,2.61,2.32,3.03,0.0,2.21,1.72,1.64,1.78,1.22,1.16,1.09,1.05,1.1,0.96,1.0,0.89,0.89,0.99,0.88,0.47,0.5,0.0,0.01,2.18,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,6.0,5.79,6.49,5.33,4.2,5.51,4.18,4.37,4.19,3.98,3.73,4.15,3.56,3.52,2.52,2.6,2.68,2.28,3.03,0.0,2.06,1.69,1.61,1.72,1.18,1.22,0.98,1.01,1.02,0.95,0.96,0.84,0.87,0.99,0.83,0.46,0.49,0.0,0.01,2.15,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,5.94,5.73,6.35,5.25,4.2,5.56,4.26,4.2,4.16,4.0,3.81,4.13,3.69,3.55,2.52,2.3,2.68,2.41,3.14,0.0,2.17,1.74,1.65,1.71,1.2,1.2,0.96,0.99,1.04,0.97,0.97,0.84,0.86,0.96,0.85,0.47,0.53,0.0,0.01,2.02,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/13/2021,6.07,5.67,6.29,5.32,4.14,5.5,4.2,3.98,4.19,4.07,3.77,3.99,3.61,3.52,2.64,2.36,2.72,2.47,3.04,0.0,2.2,1.77,1.68,1.78,1.15,1.26,1.0,0.99,1.05,0.98,0.97,0.86,0.87,0.99,0.83,0.48,0.53,0.0,0.01,2.07,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/14/2021,6.0,5.7,6.27,5.26,4.04,5.71,4.17,3.94,4.15,4.18,3.68,4.13,3.55,3.39,2.9,2.33,2.74,2.46,3.12,0.0,2.18,1.75,1.67,1.77,1.13,1.26,1.01,0.96,1.05,0.96,1.02,0.86,0.85,0.98,0.82,0.46,0.51,0.0,0.01,2.09,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,6.09,5.91,6.6,5.22,4.07,5.63,4.2,3.87,4.12,4.16,3.7,4.03,3.54,3.39,3.08,1.5,2.76,2.46,3.18,0.0,2.13,1.8,1.67,1.8,1.17,1.23,1.0,0.98,1.06,0.98,1.07,0.88,0.87,1.0,0.82,0.47,0.51,0.0,0.01,2.07,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,6.09,5.91,6.6,5.22,4.07,5.63,4.2,3.87,4.12,4.16,3.7,4.03,3.54,3.39,3.08,1.5,2.76,2.46,3.18,0.0,2.13,1.8,1.67,1.8,1.17,1.23,1.0,0.98,1.06,0.98,1.07,0.88,0.87,1.0,0.82,0.47,0.51,0.0,0.01,2.07,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,5.92,5.74,6.67,5.32,4.13,5.76,4.15,3.78,4.12,4.32,3.88,4.03,3.64,3.44,2.98,1.41,2.77,2.43,2.75,0.0,2.21,1.82,1.72,1.87,1.17,1.22,1.04,0.92,1.08,0.98,1.05,0.87,0.9,1.01,0.81,0.48,0.51,0.0,0.01,2.11,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000004
09/20/2021,5.73,5.87,6.94,5.35,4.17,5.79,4.35,3.55,4.2,4.23,3.75,4.02,3.6,3.55,2.97,1.49,2.76,2.41,2.68,0.0,2.13,1.8,1.73,1.84,1.17,1.21,1.02,0.96,1.05,1.01,1.02,0.87,0.9,0.99,0.82,0.45,0.49,0.0,0.04,2.15,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/21/2021,5.65,6.04,6.96,5.31,4.24,5.82,4.34,3.71,4.21,4.25,3.79,4.09,3.61,3.66,2.31,1.48,2.78,2.39,2.78,0.0,2.17,1.78,1.7,1.84,1.17,1.19,1.03,0.96,1.05,1.04,1.02,0.86,0.9,0.99,0.81,0.44,0.48,0.0,0.04,2.12,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/22/2021,5.65,6.04,6.96,5.31,4.24,5.82,4.34,3.71,4.21,4.25,3.79,4.09,3.61,3.66,2.31,1.48,2.78,2.39,2.78,0.0,2.17,1.78,1.7,1.84,1.17,1.19,1.03,0.96,1.05,1.04,1.02,0.86,0.9,0.99,0.81,0.44,0.48,0.0,0.04,2.12,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/23/2021,5.65,6.04,6.96,5.31,4.24,5.82,4.34,3.71,4.21,4.25,3.79,4.09,3.61,3.66,2.31,1.48,2.78,2.39,2.78,0.0,2.17,1.78,1.7,1.84,1.17,1.19,1.03,0.96,1.05,1.04,1.02,0.86,0.9,0.99,0.81,0.44,0.48,0.0,0.04,2.12,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/24/2021,5.65,6.04,6.96,5.31,4.24,5.82,4.34,3.71,4.21,4.25,3.79,4.09,3.61,3.66,2.31,1.48,2.78,2.39,2.78,0.0,2.17,1.78,1.7,1.84,1.17,1.19,1.03,0.96,1.05,1.04,1.02,0.86,0.9,0.99,0.81,0.44,0.48,0.0,0.04,2.12,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/27/2021,5.84,6.66,6.96,5.39,4.33,6.47,4.47,3.6,4.24,4.26,3.85,3.73,3.48,3.87,2.62,1.4,2.62,2.09,2.69,0.0,2.12,1.64,1.66,1.96,1.19,1.04,1.0,0.94,1.02,1.06,1.08,0.86,0.86,0.97,0.0,0.43,0.49,0.0,0.04,2.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/28/2021,5.82,6.76,6.91,5.23,4.36,6.68,4.57,0.0,4.18,4.23,3.78,3.79,3.46,3.93,2.62,1.38,2.51,2.03,2.67,0.0,2.17,1.63,1.64,1.96,1.19,1.05,1.01,0.94,1.05,1.04,1.07,0.88,0.87,0.96,0.0,0.42,0.49,0.0,0.04,2.17,0.9,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/29/2021,5.86,6.78,6.93,5.16,4.36,6.8,4.68,0.0,4.17,4.27,3.68,3.8,3.52,3.96,2.59,1.36,2.47,2.05,2.73,0.0,2.05,1.69,1.68,1.97,1.14,1.01,1.07,0.92,1.04,1.01,1.0,0.85,0.87,0.93,0.0,0.41,0.48,0.0,0.04,2.23,0.93,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/30/2021,5.86,6.78,6.93,5.16,4.36,6.8,4.68,0.0,4.17,4.27,3.68,3.8,3.52,3.96,2.59,1.36,2.47,2.05,2.73,0.0,2.05,1.69,1.68,1.97,1.14,1.01,1.07,0.92,1.04,1.01,1.0,0.85,0.87,0.93,0.0,0.41,0.48,0.0,0.04,2.23,0.93,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
10/01/2021,5.65,6.76,6.69,4.97,4.26,6.86,4.6,0.0,4.14,3.93,3.79,4.25,3.74,3.91,2.67,1.61,2.49,2.1,2.69,0.0,2.05,1.72,1.7,1.96,1.15,0.97,1.1,0.89,1.08,0.93,0.98,0.87,0.88,0.95,0.0,0.46,0.52,0.0,0.04,2.29,1.01,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,5.67,6.97,6.7,4.98,4.2,6.72,4.48,0.0,4.08,3.2,3.74,4.54,3.94,3.94,2.67,1.58,2.52,2.06,2.65,0.0,2.02,1.74,1.7,2.08,1.15,0.93,1.1,0.92,1.06,0.94,1.21,0.87,0.88,0.94,0.0,0.45,0.52,0.0,0.04,2.33,0.98,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/05/2021,5.6,7.8,6.76,4.82,4.19,6.65,4.42,0.0,4.08,3.23,3.78,4.45,3.87,3.88,2.63,1.5,2.48,2.02,2.69,0.0,2.03,1.7,1.65,1.97,1.13,1.0,1.1,0.95,1.01,0.92,1.21,0.86,0.87,0.93,0.0,0.44,0.52,0.0,0.16,2.27,0.99,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/06/2021,5.6,7.8,6.76,4.82,4.19,6.65,4.42,0.0,4.08,3.23,3.78,4.45,3.87,3.88,2.63,1.5,2.48,2.02,2.69,0.0,2.03,1.7,1.65,1.97,1.13,1.0,1.1,0.95,1.01,0.92,1.21,0.86,0.87,0.93,0.0,0.44,0.52,0.0,0.16,2.27,0.99,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,6.32,7.85,6.54,4.88,4.04,6.87,4.38,0.0,4.1,1.75,3.75,5.36,4.03,3.75,2.68,1.54,2.44,2.08,2.49,0.0,1.78,1.68,1.7,1.99,1.11,1.14,1.04,0.97,1.08,0.97,1.17,0.81,0.86,0.9,0.0,0.43,0.51,0.0,0.01,2.38,1.06,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000003
10/08/2021,6.32,7.85,6.54,4.88,4.04,6.87,4.38,0.0,4.1,1.75,3.75,5.36,4.03,3.75,2.68,1.54,2.44,2.08,2.49,0.0,1.78,1.68,1.7,1.99,1.11,1.14,1.04,0.97,1.08,0.97,1.17,0.81,0.86,0.9,0.0,0.43,0.51,0.0,0.01,2.38,1.06,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000003
10/11/2021,7.16,7.51,6.59,4.83,4.23,7.32,4.55,0.0,4.03,1.69,3.9,5.68,3.21,3.61,2.69,1.49,2.36,2.01,2.52,0.0,1.78,1.61,1.67,1.89,1.15,1.11,0.94,0.96,0.98,1.09,1.11,0.77,0.84,1.08,0.0,0.45,0.53,0.0,0.01,2.09,0.95,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/12/2021,7.16,7.51,6.59,4.83,4.23,7.32,4.55,0.0,4.03,1.69,3.9,5.68,3.21,3.61,2.69,1.49,2.36,2.01,2.52,0.0,1.78,1.61,1.67,1.89,1.15,1.11,0.94,0.96,0.98,1.09,1.11,0.77,0.84,1.08,0.0,0.45,0.53,0.0,0.01,2.09,0.95,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/13/2021,7.16,7.51,6.59,4.83,4.23,7.32,4.55,0.0,4.03,1.69,3.9,5.68,3.21,3.61,2.69,1.49,2.36,2.01,2.52,0.0,1.78,1.61,1.67,1.89,1.15,1.11,0.94,0.96,0.98,1.09,1.11,0.77,0.84,1.08,0.0,0.45,0.53,0.0,0.01,2.09,0.95,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/14/2021,7.56,7.08,6.26,4.66,4.05,7.34,4.54,0.0,3.99,1.53,3.79,6.09,3.53,3.48,2.83,1.47,2.25,1.95,2.46,0.0,1.75,1.61,1.69,1.82,1.1,1.12,1.07,1.13,0.98,1.11,1.09,0.74,0.84,1.05,0.0,0.47,0.53,0.0,0.4,2.09,0.96,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,7.19,7.4,6.54,4.74,4.01,7.72,4.36,0.0,4.04,1.62,3.82,5.94,3.52,3.36,2.97,1.48,2.28,1.98,2.31,0.0,1.82,1.57,1.64,1.86,1.08,1.02,1.09,1.18,0.93,1.2,1.14,0.77,0.82,1.07,0.0,0.47,0.52,0.0,0.02,2.12,0.95,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
10/18/2021,6.96,7.24,6.78,4.69,4.05,7.75,4.36,0.0,4.23,1.66,3.87,5.79,3.53,3.4,2.86,1.48,2.29,2.0,2.41,0.0,1.84,1.56,1.63,1.86,1.06,1.02,1.11,1.23,0.88,1.25,1.2,0.71,0.81,1.11,0.0,0.48,0.53,0.0,0.02,2.15,0.9,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/19/2021,6.29,7.32,6.67,4.85,4.1,7.74,4.39,0.0,4.34,1.72,3.88,5.63,3.53,3.38,2.92,1.53,2.33,1.96,2.44,0.0,1.89,1.57,1.66,1.87,1.07,0.98,1.18,1.25,0.88,1.28,1.23,0.72,0.83,1.12,0.0,0.47,0.52,0.0,0.02,2.13,0.89,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.95999999999998
10/20/2021,6.49,7.33,6.13,4.86,4.13,7.78,4.37,0.0,4.29,1.72,3.87,5.61,3.57,3.39,2.9,1.5,2.36,1.91,2.48,0.0,1.84,1.55,1.67,1.85,1.05,1.01,1.39,1.42,0.9,1.3,1.22,0.71,0.83,1.3,0.0,0.47,0.53,0.0,0.04,2.05,0.85,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/21/2021,6.49,7.33,6.13,4.86,4.13,7.78,4.37,0.0,4.29,1.72,3.87,5.61,3.57,3.39,2.9,1.5,2.36,1.91,2.48,0.0,1.84,1.55,1.67,1.85,1.05,1.01,1.39,1.42,0.9,1.3,1.22,0.71,0.83,1.3,0.0,0.47,0.53,0.0,0.04,2.05,0.85,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/22/2021,6.77,7.66,6.29,4.98,4.2,7.93,4.58,0.0,4.41,1.23,3.55,4.79,3.53,3.48,2.87,1.43,2.23,1.93,2.47,0.0,1.81,1.61,1.68,1.9,1.04,1.01,1.41,1.47,0.92,1.34,1.29,0.73,0.83,1.3,0.0,0.5,0.54,0.0,0.05,2.04,0.84,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
10/25/2021,6.64,7.99,6.22,4.92,4.19,7.92,4.53,0.0,4.41,1.26,3.57,5.14,3.5,3.49,2.52,1.37,2.23,1.94,2.5,0.0,1.75,1.61,1.66,1.87,1.0,1.07,1.4,1.43,0.89,1.35,1.26,0.71,0.83,1.3,0.0,0.5,0.53,0.0,0.05,1.98,0.82,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/26/2021,6.43,8.3,5.65,4.79,4.3,8.07,4.45,0.0,4.38,1.25,3.66,5.1,3.49,3.53,2.46,1.36,2.2,1.9,2.42,0.0,1.76,1.59,1.64,1.84,0.99,1.1,1.46,1.39,0.94,1.38,1.27,0.7,0.83,1.29,0.0,0.49,0.53,0.0,0.05,1.97,0.82,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/27/2021,6.43,8.3,5.65,4.79,4.3,8.07,4.45,0.0,4.38,1.25,3.66,5.1,3.49,3.53,2.46,1.36,2.2,1.9,2.42,0.0,1.76,1.59,1.64,1.84,0.99,1.1,1.46,1.39,0.94,1.38,1.27,0.7,0.83,1.29,0.0,0.49,0.53,0.0,0.05,1.97,0.82,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/28/2021,6.92,8.09,5.87,4.77,4.33,7.92,4.53,0.0,4.34,1.25,1.13,5.39,3.61,3.62,2.35,1.64,2.19,1.86,2.68,0.0,1.87,1.56,1.63,1.88,1.22,1.26,1.5,1.41,1.18,1.47,1.49,0.92,0.86,1.34,0.0,0.5,0.54,0.0,0.04,1.85,0.96,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
10/29/2021,6.92,8.09,5.87,4.77,4.33,7.92,4.53,0.0,4.34,1.25,1.13,5.39,3.61,3.62,2.35,1.64,2.19,1.86,2.68,0.0,1.87,1.56,1.63,1.88,1.22,1.26,1.5,1.41,1.18,1.47,1.49,0.92,0.86,1.34,0.0,0.5,0.54,0.0,0.04,1.85,0.96,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
11/01/2021,7.65,8.18,5.64,4.97,4.19,7.69,4.01,0.0,4.2,1.26,0.89,5.17,3.8,3.6,2.27,1.59,2.13,1.9,2.56,0.0,1.89,1.49,1.72,2.34,1.11,1.39,1.47,1.35,1.17,1.39,1.45,1.1,0.86,1.32,0.0,0.48,0.52,0.0,0.07,1.81,0.94,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/02/2021,7.64,7.94,5.48,4.77,4.15,7.73,3.8,0.0,3.31,1.22,0.9,5.29,3.69,4.38,2.25,1.55,2.04,1.8,2.74,0.0,1.7,1.45,1.65,2.27,1.09,1.56,1.5,1.35,1.13,1.37,1.48,1.07,0.84,1.29,0.0,0.46,0.5,0.0,0.07,1.75,0.95,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/03/2021,7.64,7.94,5.48,4.77,4.15,7.73,3.8,0.0,3.31,1.22,0.9,5.29,3.69,4.38,2.25,1.55,2.04,1.8,2.74,0.0,1.7,1.45,1.65,2.27,1.09,1.56,1.5,1.35,1.13,1.37,1.48,1.07,0.84,1.29,0.0,0.46,0.5,0.0,0.07,1.75,0.95,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/04/2021,7.62,8.02,5.66,4.74,4.04,7.57,3.75,0.0,3.39,1.19,0.94,5.27,3.4,4.3,2.35,1.51,2.05,1.78,2.91,0.0,1.62,1.48,1.67,2.28,1.05,1.51,1.5,0.98,1.23,1.45,1.45,1.04,0.85,1.28,0.0,0.45,0.48,0.0,0.24,1.74,0.9,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
11/05/2021,7.2,7.85,5.29,4.99,3.96,7.87,3.78,0.0,3.42,1.28,0.87,6.27,3.32,4.25,2.38,1.56,2.01,1.83,3.0,0.0,1.66,1.47,1.58,2.3,1.09,1.45,1.47,0.95,1.23,1.41,1.51,1.06,0.85,1.32,0.0,0.45,0.48,0.0,0.06,1.73,0.91,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
11/08/2021,7.37,7.73,5.4,5.08,3.78,6.17,4.13,0.0,3.51,1.37,0.59,7.0,3.24,4.28,2.55,1.62,1.98,1.64,3.06,0.0,1.55,1.47,1.61,2.29,1.07,1.62,1.4,0.89,1.41,1.44,1.59,1.01,0.86,1.33,0.0,0.43,0.46,0.0,0.0,1.61,0.96,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/09/2021,7.37,7.73,5.4,5.08,3.78,6.17,4.13,0.0,3.51,1.37,0.59,7.0,3.24,4.28,2.55,1.62,1.98,1.64,3.06,0.0,1.55,1.47,1.61,2.29,1.07,1.62,1.4,0.89,1.41,1.44,1.59,1.01,0.86,1.33,0.0,0.43,0.46,0.0,0.0,1.61,0.96,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/10/2021,8.44,7.59,5.59,5.16,3.61,5.95,4.24,0.0,3.46,1.37,0.58,6.95,3.17,4.23,2.59,1.61,2.02,1.59,3.04,0.0,1.29,1.49,1.61,2.5,1.07,1.71,1.36,0.87,1.4,0.98,1.59,0.98,0.86,1.29,0.0,0.41,0.44,0.0,0.01,1.62,0.95,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/11/2021,8.44,7.59,5.59,5.16,3.61,5.95,4.24,0.0,3.46,1.37,0.58,6.95,3.17,4.23,2.59,1.61,2.02,1.59,3.04,0.0,1.29,1.49,1.61,2.5,1.07,1.71,1.36,0.87,1.4,0.98,1.59,0.98,0.86,1.29,0.0,0.41,0.44,0.0,0.01,1.62,0.95,6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
11/12/2021,8.63,7.3,5.65,4.87,3.54,6.02,4.24,0.0,3.43,1.33,0.58,6.89,2.81,4.07,2.65,1.56,1.97,2.13,2.99,0.0,1.31,1.46,1.58,2.45,1.06,1.78,1.23,0.86,1.32,1.02,1.52,1.01,0.86,1.24,0.0,0.41,0.45,0.0,0.27,1.66,0.93,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
11/15/2021,8.22,6.84,5.74,4.85,3.59,6.15,4.32,0.0,3.46,1.55,2.15,6.83,2.57,4.25,2.66,1.91,1.89,2.06,2.71,0.0,1.34,1.31,1.51,2.34,0.92,1.66,0.77,0.9,1.4,1.01,1.41,0.99,0.89,1.06,0.0,0.45,0.49,0.0,0.07,1.65,0.94,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/16/2021,8.22,6.84,5.74,4.85,3.59,6.15,4.32,0.0,3.46,1.55,2.15,6.83,2.57,4.25,2.66,1.91,1.89,2.06,2.71,0.0,1.34,1.31,1.51,2.34,0.92,1.66,0.77,0.9,1.4,1.01,1.41,0.99,0.89,1.06,0.0,0.45,0.49,0.0,0.07,1.65,0.94,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/17/2021,8.22,6.84,5.74,4.85,3.59,6.15,4.32,0.0,3.46,1.55,2.15,6.83,2.57,4.25,2.66,1.91,1.89,2.06,2.71,0.0,1.34,1.31,1.51,2.34,0.92,1.66,0.77,0.9,1.4,1.01,1.41,0.99,0.89,1.06,0.0,0.45,0.49,0.0,0.07,1.65,0.94,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/18/2021,8.22,6.84,5.74,4.85,3.59,6.15,4.32,0.0,3.46,1.55,2.15,6.83,2.57,4.25,2.66,1.91,1.89,2.06,2.71,0.0,1.34,1.31,1.51,2.34,0.92,1.66,0.77,0.9,1.4,1.01,1.41,0.99,0.89,1.06,0.0,0.45,0.49,0.0,0.07,1.65,0.94,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/19/2021,8.01,6.7,5.94,4.96,3.73,5.89,4.44,0.0,3.57,1.59,2.16,6.89,2.7,4.56,2.59,2.08,1.4,2.01,2.77,0.0,1.29,1.4,1.55,2.28,0.93,1.64,0.8,0.91,1.36,1.08,1.36,0.97,0.9,1.08,0.0,0.45,0.5,0.0,0.02,1.32,0.99,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/22/2021,8.01,6.7,5.94,4.96,3.73,5.89,4.44,0.0,3.57,1.59,2.16,6.89,2.7,4.56,2.59,2.08,1.4,2.01,2.77,0.0,1.29,1.4,1.55,2.28,0.93,1.64,0.8,0.91,1.36,1.08,1.36,0.97,0.9,1.08,0.0,0.45,0.5,0.0,0.02,1.32,0.99,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/23/2021,8.01,6.7,5.94,4.96,3.73,5.89,4.44,0.0,3.57,1.59,2.16,6.89,2.7,4.56,2.59,2.08,1.4,2.01,2.77,0.0,1.29,1.4,1.55,2.28,0.93,1.64,0.8,0.91,1.36,1.08,1.36,0.97,0.9,1.08,0.0,0.45,0.5,0.0,0.02,1.32,0.99,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
