,CRWD,ZS,TWLO,NVDA,VRNS,DDOG,RBLX,ESTC,GH,OKTA,U,PLAN,SDGR,RLAY,XLNX,NOW,PATH,BLI,AMZN,CRM,S,AbCellera Biologics Inc Ordinary Shares,AMD,FXFXX,ABCL,First American Treasury Obligs X,SentinelOne Inc Class A,n/a,IOT,SUM
10/27/2021,9.29,9.84,5.73,6.0,5.47,7.46,4.06,4.72,3.49,4.06,5.06,4.4,2.54,2.73,4.06,4.14,2.33,1.57,2.87,3.24,4.48,0.0,0.88,0.11,1.49,0.0,0.0,0.0,0.0,100.02
10/28/2021,9.29,9.84,5.73,6.0,5.47,7.46,4.06,4.72,3.49,4.06,5.06,4.4,2.54,2.73,4.06,4.14,2.33,1.57,2.87,3.24,4.48,0.0,0.88,0.11,1.49,0.0,0.0,0.0,0.0,100.02
10/29/2021,9.12,9.97,5.53,6.1,5.57,7.46,4.05,4.79,3.64,4.06,5.0,4.35,2.48,2.69,4.08,4.14,2.47,1.55,2.76,3.27,4.42,0.0,0.9,0.11,1.5,0.0,0.0,0.0,0.0,100.01
11/01/2021,9.22,10.08,5.42,6.53,5.52,7.36,3.98,4.74,3.62,3.95,5.01,4.29,2.46,2.67,4.27,4.05,2.36,1.44,2.86,3.33,4.39,0.0,0.91,0.11,1.42,0.0,0.0,0.0,0.0,99.99
11/02/2021,9.21,10.2,4.43,6.61,5.51,7.48,4.05,4.79,3.78,3.83,5.1,4.31,2.5,2.89,4.24,4.16,2.34,1.48,2.89,3.34,4.37,0.0,0.9,0.11,1.46,0.0,0.0,0.0,0.0,99.98
11/03/2021,9.15,10.19,4.49,6.71,5.46,7.69,4.08,4.8,3.7,3.84,5.17,4.29,2.46,2.88,4.18,4.18,2.28,1.42,2.8,3.33,4.49,0.0,0.88,0.11,1.43,0.0,0.0,0.0,0.0,100.01
11/04/2021,9.15,10.19,4.49,6.71,5.46,7.69,4.08,4.8,3.7,3.84,5.17,4.29,2.46,2.88,4.18,4.18,2.28,1.42,2.8,3.33,4.49,0.0,0.88,0.11,1.43,0.0,0.0,0.0,0.0,100.01
11/05/2021,8.7,10.41,4.62,6.93,5.26,7.59,3.86,4.73,3.72,3.94,4.91,4.23,2.6,3.03,4.39,4.11,2.39,1.46,2.75,3.36,4.34,0.0,0.94,0.11,1.61,0.0,0.0,0.0,0.0,99.99
11/08/2021,8.77,10.24,4.67,7.55,5.17,7.42,3.86,4.57,3.51,3.83,5.0,4.14,2.56,3.05,4.44,4.06,2.52,1.41,2.79,3.3,4.52,0.0,0.97,0.1,1.53,0.0,0.0,0.0,0.0,99.98
11/09/2021,8.77,10.24,4.67,7.55,5.17,7.42,3.86,4.57,3.51,3.83,5.0,4.14,2.56,3.05,4.44,4.06,2.52,1.41,2.79,3.3,4.52,0.0,0.97,0.1,1.53,0.0,0.0,0.0,0.0,99.98
11/10/2021,8.62,10.5,4.65,7.58,5.09,8.29,3.67,4.51,3.39,3.84,5.04,4.02,2.5,2.99,4.47,4.03,2.47,1.45,2.83,3.31,4.39,0.0,0.97,0.05,1.33,0.0,0.0,0.0,0.0,99.99
11/11/2021,8.62,10.5,4.65,7.58,5.09,8.29,3.67,4.51,3.39,3.84,5.04,4.02,2.5,2.99,4.47,4.03,2.47,1.45,2.83,3.31,4.39,0.0,0.97,0.05,1.33,0.0,0.0,0.0,0.0,99.99
11/12/2021,8.71,10.61,4.58,7.67,5.1,8.35,3.54,4.5,3.32,3.8,5.28,3.96,2.39,2.92,4.58,3.94,2.43,1.42,2.74,3.26,4.48,0.0,1.04,0.05,1.32,0.0,0.0,0.0,0.0,99.99
11/15/2021,8.78,10.35,4.4,7.43,4.97,8.35,4.44,4.62,3.16,3.85,5.79,3.81,2.21,2.81,4.41,3.86,2.44,1.48,2.77,3.19,4.6,0.0,0.99,0.05,1.24,0.0,0.0,0.0,0.0,100.0
11/16/2021,8.63,10.4,4.35,7.55,4.96,8.3,4.51,4.57,3.16,3.76,5.89,3.75,1.92,2.93,4.59,3.85,2.47,1.48,2.72,3.18,4.68,0.0,1.01,0.05,1.3,0.0,0.0,0.0,0.0,100.01
11/17/2021,8.63,10.4,4.35,7.55,4.96,8.3,4.51,4.57,3.16,3.76,5.89,3.75,1.92,2.93,4.59,3.85,2.47,1.48,2.72,3.18,4.68,0.0,1.01,0.05,1.3,0.0,0.0,0.0,0.0,100.01
11/18/2021,8.56,10.35,4.35,7.4,4.84,8.24,4.84,4.68,3.05,3.77,6.23,3.74,1.97,2.83,4.61,3.85,2.26,1.46,2.71,3.16,4.79,0.0,1.01,0.04,1.27,0.0,0.0,0.0,0.0,100.01
11/19/2021,7.35,9.84,4.18,7.02,4.54,7.83,4.67,4.49,2.92,3.59,6.0,3.47,1.82,2.73,4.45,3.64,2.16,1.35,2.61,3.02,4.31,0.0,0.96,5.75,1.33,0.0,0.0,0.0,0.0,100.03
11/22/2021,7.44,9.87,4.18,6.92,4.46,7.77,4.92,4.51,2.91,3.63,5.84,3.54,1.79,2.68,4.44,3.63,2.22,1.36,2.56,2.98,4.41,0.0,0.98,5.65,1.3,0.0,0.0,0.0,0.0,99.99
11/23/2021,7.44,9.87,4.18,6.92,4.46,7.77,4.92,4.51,2.91,3.63,5.84,3.54,1.79,2.68,4.44,3.63,2.22,1.36,2.56,2.98,4.41,0.0,0.98,5.65,1.3,0.0,0.0,0.0,0.0,99.99
11/24/2021,7.34,10.34,3.85,7.6,4.16,7.78,5.73,4.25,2.71,3.28,5.68,3.23,1.61,2.62,5.19,3.55,2.09,1.27,2.67,2.93,4.17,0.0,1.0,5.67,1.26,0.0,0.0,0.0,0.0,99.98
11/25/2021,7.34,10.34,3.85,7.6,4.16,7.78,5.73,4.25,2.71,3.28,5.68,3.23,1.61,2.62,5.19,3.55,2.09,1.27,2.67,2.93,4.17,0.0,1.0,5.67,1.26,0.0,0.0,0.0,0.0,99.98
11/26/2021,7.13,10.24,4.04,7.94,4.24,7.87,5.31,4.05,2.8,3.19,5.73,3.27,1.64,2.61,5.62,3.64,2.07,1.27,2.82,3.08,3.75,0.0,1.05,5.43,1.21,0.0,0.0,0.0,0.0,100.0
11/29/2021,7.03,10.26,4.1,8.04,4.19,7.79,5.65,4.06,3.18,3.2,5.82,2.73,1.66,2.55,5.76,3.65,2.09,1.18,2.77,3.01,3.71,0.0,1.08,5.24,1.23,0.0,0.0,0.0,0.0,99.98
11/30/2021,8.85,9.29,5.46,6.03,5.69,7.22,4.06,4.57,4.39,4.09,4.78,4.45,2.73,3.03,3.89,4.14,2.65,1.33,3.02,3.34,4.02,0.0,0.84,0.18,2.02,0.0,0.0,0.0,0.0,100.07
12/01/2021,8.85,9.29,5.46,6.03,5.69,7.22,4.06,4.57,4.39,4.09,4.78,4.45,2.73,3.03,3.89,4.14,2.65,1.33,3.02,3.34,4.02,0.0,0.84,0.18,2.02,0.0,0.0,0.0,0.0,100.07
12/02/2021,8.85,9.29,5.46,6.03,5.69,7.22,4.06,4.57,4.39,4.09,4.78,4.45,2.73,3.03,3.89,4.14,2.65,1.33,3.02,3.34,4.02,0.0,0.84,0.18,2.02,0.0,0.0,0.0,0.0,100.07
12/06/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/07/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
12/08/2021,6.68,10.43,4.05,8.29,4.24,7.67,5.58,3.21,2.99,3.38,5.11,3.03,1.69,2.51,5.74,3.67,1.93,1.23,2.79,2.85,3.33,0.0,1.09,7.2,1.33,0.0,0.0,0.0,0.0,100.02
