,COF,GOOG,BRK.B,AMZN,WFC,FB,D05.SI,BABA,AXP,USB,JPM,EDU,AMAT,MKL,BK,INTC,DGX,1299.HK,BAC,VTRS,DANSKE.CO,NPN.JO,RTX,VRM,CI,2318.HK,n/a,PRX.AS,300888.SZ,JD,TECK,OC,SUM
08/26/2021,13.95,10.6,8.29,6.57,6.51,5.33,4.68,2.52,4.22,3.96,3.48,0.0,2.92,3.05,2.99,2.46,2.6,2.07,2.04,2.03,1.14,0.3,1.1,0.66,2.85,2.23,0.0,0.65,0.0,0.8,0.0,0.0,100.0
08/27/2021,13.94,10.65,8.26,6.61,6.58,5.34,4.67,1.72,4.22,3.98,3.49,0.0,2.9,3.04,3.0,2.47,2.57,2.06,2.06,2.0,1.13,0.31,1.1,0.69,2.9,2.25,0.0,0.67,0.0,1.39,0.0,0.0,100.0
08/31/2021,13.07,10.58,8.11,6.56,6.64,5.33,4.6,0.0,4.32,4.83,3.53,0.0,2.95,3.0,3.04,2.42,2.51,2.0,2.07,1.92,1.11,0.32,1.08,0.69,2.82,2.21,0.0,0.66,0.0,3.61,0.0,0.0,99.98
09/01/2021,13.07,10.58,8.11,6.56,6.64,5.33,4.6,0.0,4.32,4.83,3.53,0.0,2.95,3.0,3.04,2.42,2.51,2.0,2.07,1.92,1.11,0.32,1.08,0.69,2.82,2.21,0.0,0.66,0.0,3.61,0.0,0.0,99.98
09/02/2021,12.39,10.74,8.15,6.76,6.51,5.49,4.69,0.0,4.25,4.77,3.51,0.0,2.97,3.0,3.0,2.45,2.56,1.99,2.05,1.94,1.12,0.31,1.08,0.7,2.8,2.17,0.0,0.66,0.0,3.92,0.0,0.0,99.98
09/03/2021,12.39,10.74,8.15,6.76,6.51,5.49,4.69,0.0,4.25,4.77,3.51,0.0,2.97,3.0,3.0,2.45,2.56,1.99,2.05,1.94,1.12,0.31,1.08,0.7,2.8,2.17,0.0,0.66,0.0,3.92,0.0,0.0,99.98
09/06/2021,12.1,10.73,8.2,6.9,6.04,5.46,4.69,0.0,4.22,4.76,3.53,0.0,2.95,3.04,2.98,2.46,2.66,1.99,2.03,2.06,1.12,0.35,1.09,0.69,2.97,2.12,0.0,0.74,0.0,4.13,0.0,0.0,100.01
09/07/2021,11.95,10.83,8.15,6.96,6.01,5.5,4.72,0.0,4.17,4.76,3.53,0.0,3.0,3.03,2.97,2.46,2.68,2.0,2.04,2.04,1.12,0.36,1.08,0.69,2.97,2.12,0.0,0.74,0.0,4.13,0.0,0.0,100.01
09/08/2021,11.95,10.83,8.15,6.96,6.01,5.5,4.72,0.0,4.17,4.76,3.53,0.0,3.0,3.03,2.97,2.46,2.68,2.0,2.04,2.04,1.12,0.36,1.08,0.69,2.97,2.12,0.0,0.74,0.0,4.13,0.0,0.0,100.01
09/09/2021,11.95,10.83,8.15,6.96,6.01,5.5,4.72,0.0,4.17,4.76,3.53,0.0,3.0,3.03,2.97,2.46,2.68,2.0,2.04,2.04,1.12,0.36,1.08,0.69,2.97,2.12,0.0,0.74,0.0,4.13,0.0,0.0,100.01
09/10/2021,11.89,10.85,8.04,7.0,6.02,5.57,4.73,0.0,4.17,4.71,3.51,0.0,3.01,2.98,2.92,2.46,2.67,2.04,2.05,2.0,1.11,0.37,1.07,0.69,2.95,2.14,0.0,0.76,0.0,4.3,0.0,0.0,100.01
09/13/2021,11.89,10.88,8.08,7.0,6.06,5.55,4.75,0.0,4.19,4.75,3.54,0.0,2.99,3.02,2.93,2.47,2.72,2.02,2.04,1.96,1.12,0.34,1.09,0.7,2.94,2.1,0.0,0.71,0.0,4.17,0.0,0.0,100.01
09/14/2021,11.94,10.72,8.11,7.01,6.1,5.59,4.81,0.0,4.2,4.74,3.52,0.0,3.05,3.01,2.89,2.5,2.7,2.07,2.02,1.91,1.11,0.34,1.08,0.7,2.83,2.13,0.0,0.71,0.0,4.22,0.0,0.0,100.01
09/15/2021,11.94,10.72,8.11,7.01,6.1,5.59,4.81,0.0,4.2,4.74,3.52,0.0,3.05,3.01,2.89,2.5,2.7,2.07,2.02,1.91,1.11,0.34,1.08,0.7,2.83,2.13,0.0,0.71,0.0,4.22,0.0,0.0,100.01
09/16/2021,12.09,10.74,8.1,6.92,6.24,5.51,4.74,0.0,4.23,4.79,3.54,0.0,3.08,3.01,2.88,2.53,2.65,2.03,2.04,1.9,1.11,0.33,1.08,0.67,2.86,2.08,0.0,0.68,0.0,4.15,0.0,0.0,99.98
09/17/2021,11.87,10.85,8.11,6.99,6.34,5.57,4.8,0.0,4.22,4.79,3.52,0.0,3.13,3.0,2.85,2.54,2.7,2.04,2.01,1.89,1.1,0.33,1.08,0.65,2.82,2.04,0.0,0.68,0.0,4.08,0.0,0.0,100.0
09/20/2021,12.23,10.85,8.06,7.01,6.33,5.48,4.72,0.0,4.28,4.86,3.51,0.0,3.2,2.95,2.84,2.53,2.68,1.9,2.02,1.88,1.09,0.32,1.09,0.64,2.82,2.02,0.0,0.66,0.0,4.01,0.0,0.0,99.98
09/21/2021,12.26,10.7,8.09,7.01,6.4,5.39,4.77,0.0,4.34,4.88,3.53,0.0,3.14,2.95,2.85,2.52,2.7,1.92,2.04,1.88,1.09,0.33,1.09,0.64,2.84,1.93,0.0,0.65,0.0,4.07,0.0,0.0,100.01
09/22/2021,12.26,10.7,8.09,7.01,6.4,5.39,4.77,0.0,4.34,4.88,3.53,0.0,3.14,2.95,2.85,2.52,2.7,1.92,2.04,1.88,1.09,0.33,1.09,0.64,2.84,1.93,0.0,0.65,0.0,4.07,0.0,0.0,100.01
09/23/2021,12.26,10.7,8.09,7.01,6.4,5.39,4.77,0.0,4.34,4.88,3.53,0.0,3.14,2.95,2.85,2.52,2.7,1.92,2.04,1.88,1.09,0.33,1.09,0.64,2.84,1.93,0.0,0.65,0.0,4.07,0.0,0.0,100.01
09/24/2021,12.27,10.77,8.14,6.9,6.44,5.39,4.75,0.0,4.41,4.99,3.49,0.0,3.08,2.99,2.8,2.51,2.74,1.97,2.01,1.87,1.08,0.33,1.11,0.62,2.85,1.9,0.01,0.66,0.0,3.92,0.0,0.0,100.0
09/28/2021,12.64,10.68,8.04,6.86,6.53,5.16,4.56,0.0,4.6,5.07,3.61,0.0,3.14,2.96,2.84,2.5,2.64,1.86,2.1,1.83,1.1,0.33,1.13,0.63,2.79,1.9,0.0,0.66,0.0,3.83,0.0,0.0,99.99
09/29/2021,12.64,10.68,8.04,6.86,6.53,5.16,4.56,0.0,4.6,5.07,3.61,0.0,3.14,2.96,2.84,2.5,2.64,1.86,2.1,1.83,1.1,0.33,1.13,0.63,2.79,1.9,0.0,0.66,0.0,3.83,0.0,0.0,99.99
09/30/2021,12.64,10.68,8.04,6.86,6.53,5.16,4.56,0.0,4.6,5.07,3.61,0.0,3.14,2.96,2.84,2.5,2.64,1.86,2.1,1.83,1.1,0.33,1.13,0.63,2.79,1.9,0.0,0.66,0.0,3.83,0.0,0.0,99.99
10/01/2021,12.58,10.52,8.04,6.77,6.44,5.13,4.63,0.0,4.46,5.14,3.67,0.0,3.13,2.92,2.93,2.5,2.57,1.86,2.14,1.88,1.13,0.33,1.12,0.65,2.81,1.92,0.0,0.65,0.0,3.93,0.16,0.0,100.01
10/04/2021,12.48,10.25,8.16,6.73,6.52,5.05,4.73,0.0,4.4,5.2,3.74,0.0,2.88,2.97,2.95,2.5,2.59,1.95,2.18,1.93,1.12,0.34,1.15,0.61,2.84,1.95,0.0,0.66,0.0,3.78,0.35,0.0,100.01
10/05/2021,12.47,10.38,8.11,6.68,6.51,5.1,4.77,0.0,4.46,5.23,3.76,0.0,2.9,2.95,2.97,2.52,2.51,1.94,2.18,1.89,1.1,0.33,1.15,0.58,2.82,1.89,0.0,0.64,0.0,3.69,0.46,0.0,99.99
10/06/2021,12.47,10.38,8.11,6.68,6.51,5.1,4.77,0.0,4.46,5.23,3.76,0.0,2.9,2.95,2.97,2.52,2.51,1.94,2.18,1.89,1.1,0.33,1.15,0.58,2.82,1.89,0.0,0.64,0.0,3.69,0.46,0.0,99.99
10/07/2021,12.52,10.31,8.15,6.58,6.6,4.91,4.82,0.0,4.41,5.28,3.81,0.0,2.85,2.98,3.0,2.53,2.51,1.95,2.22,1.89,1.12,0.34,1.17,0.56,2.81,1.85,0.0,0.64,0.0,3.7,0.5,0.0,100.01
10/08/2021,12.52,10.34,8.16,6.54,6.63,4.94,4.77,0.0,4.39,5.27,3.79,0.0,2.87,3.0,3.04,2.52,2.47,1.97,2.23,1.87,1.11,0.34,1.16,0.54,2.8,1.82,0.0,0.64,0.0,3.76,0.49,0.0,99.98
10/11/2021,12.3,10.43,8.19,6.62,6.52,4.82,4.72,0.0,4.33,5.25,3.77,0.0,2.83,3.03,3.01,2.5,2.48,1.95,2.2,1.87,1.11,0.34,1.17,0.56,2.8,1.98,0.0,0.67,0.0,3.96,0.6,0.0,100.01
10/12/2021,12.31,10.45,8.19,6.56,6.52,4.81,4.71,0.0,4.33,5.27,3.76,0.0,2.78,3.04,3.07,2.47,2.44,1.93,2.2,1.86,1.09,0.34,1.17,0.55,2.8,2.02,0.0,0.66,0.0,4.06,0.61,0.0,100.0
10/13/2021,12.31,10.45,8.19,6.56,6.52,4.81,4.71,0.0,4.33,5.27,3.76,0.0,2.78,3.04,3.07,2.47,2.44,1.93,2.2,1.86,1.09,0.34,1.17,0.55,2.8,2.02,0.0,0.66,0.0,4.06,0.61,0.0,100.0
10/14/2021,12.31,10.45,8.19,6.56,6.52,4.81,4.71,0.0,4.33,5.27,3.76,0.0,2.78,3.04,3.07,2.47,2.44,1.93,2.2,1.86,1.09,0.34,1.17,0.55,2.8,2.02,0.0,0.66,0.0,4.06,0.61,0.0,100.0
10/15/2021,12.4,10.35,8.15,6.58,6.43,4.79,4.72,0.0,4.38,5.28,3.7,0.0,2.83,3.07,3.1,2.43,2.45,1.91,2.19,1.86,1.1,0.34,1.17,0.56,2.8,2.01,0.0,0.66,0.0,4.11,0.65,0.0,100.02
10/18/2021,12.18,10.61,8.17,6.63,6.19,4.82,4.76,0.0,4.26,5.11,3.63,0.0,2.93,3.14,3.13,2.49,2.46,1.91,2.25,1.85,1.12,0.34,1.16,0.57,2.79,1.99,0.0,0.67,0.0,4.21,0.65,0.0,100.02
10/19/2021,12.18,10.49,8.13,6.75,6.52,4.7,4.69,0.0,4.31,5.05,3.65,0.0,2.88,3.15,3.12,2.48,2.43,1.87,2.28,1.82,1.14,0.34,1.16,0.58,2.79,1.99,0.0,0.68,0.0,4.17,0.66,0.0,100.01
10/20/2021,12.18,10.49,8.13,6.75,6.52,4.7,4.69,0.0,4.31,5.05,3.65,0.0,2.88,3.15,3.12,2.48,2.43,1.87,2.28,1.82,1.14,0.34,1.16,0.58,2.79,1.99,0.0,0.68,0.0,4.17,0.66,0.0,100.01
10/21/2021,12.17,10.52,8.04,6.79,6.62,4.82,4.67,0.0,4.31,5.05,3.63,0.0,2.9,3.08,3.11,2.46,2.44,1.85,2.27,1.81,1.15,0.34,1.16,0.58,2.75,1.96,0.0,0.67,0.0,4.2,0.67,0.0,100.02
10/22/2021,12.09,10.47,8.01,6.71,6.67,4.84,4.75,0.0,4.28,5.06,3.63,0.0,2.89,3.08,3.09,2.47,2.44,1.88,2.25,1.81,1.14,0.35,1.15,0.58,2.75,1.98,0.0,0.69,0.0,4.28,0.65,0.0,99.99
10/25/2021,11.77,10.38,8.05,6.68,6.66,4.85,4.73,0.0,4.27,5.12,3.64,0.0,2.86,3.09,3.2,2.5,2.43,1.88,2.26,1.86,1.13,0.35,1.15,0.56,2.87,2.14,0.0,0.71,0.0,4.22,0.62,0.0,99.98
10/26/2021,11.77,10.38,8.05,6.68,6.66,4.85,4.73,0.0,4.27,5.12,3.64,0.0,2.86,3.09,3.2,2.5,2.43,1.88,2.26,1.86,1.13,0.35,1.15,0.56,2.87,2.14,0.0,0.71,0.0,4.22,0.62,0.0,99.98
10/27/2021,11.97,10.11,8.15,6.51,6.73,4.63,4.77,0.0,4.52,5.18,3.71,0.0,2.93,3.11,3.21,2.22,2.46,1.88,2.31,1.86,1.14,0.35,1.16,0.52,2.89,2.15,0.0,0.72,0.0,4.2,0.62,0.0,100.01
10/28/2021,12.03,10.12,8.18,6.48,6.72,4.68,4.79,0.0,4.41,5.16,3.69,0.0,2.92,3.13,3.19,2.22,2.44,1.91,2.31,1.84,1.16,0.34,1.15,0.51,2.88,2.11,0.03,0.69,0.0,4.25,0.64,0.0,99.98
10/29/2021,12.03,10.12,8.18,6.48,6.72,4.68,4.79,0.0,4.41,5.16,3.69,0.0,2.92,3.13,3.19,2.22,2.44,1.91,2.31,1.84,1.16,0.34,1.15,0.51,2.88,2.11,0.03,0.69,0.0,4.25,0.64,0.0,99.98
11/01/2021,11.01,10.79,8.27,6.81,6.91,4.57,4.88,0.0,4.27,5.1,3.72,0.0,2.97,3.15,3.24,2.18,2.48,1.9,2.35,1.8,1.17,0.34,1.14,0.5,2.91,2.02,0.0,0.71,0.0,4.14,0.65,0.0,99.98
11/02/2021,10.97,11.02,8.24,6.71,6.92,4.7,4.88,0.0,4.28,5.08,3.74,0.0,3.0,3.15,3.24,2.24,2.51,1.88,2.36,1.81,1.1,0.33,1.14,0.5,2.9,1.95,0.0,0.7,0.0,4.03,0.63,0.0,100.01
11/03/2021,10.97,11.02,8.24,6.71,6.92,4.7,4.88,0.0,4.28,5.08,3.74,0.0,3.0,3.15,3.24,2.24,2.51,1.88,2.36,1.81,1.1,0.33,1.14,0.5,2.9,1.95,0.0,0.7,0.0,4.03,0.63,0.0,100.01
11/04/2021,10.97,11.02,8.24,6.71,6.92,4.7,4.88,0.0,4.28,5.08,3.74,0.0,3.0,3.15,3.24,2.24,2.51,1.88,2.36,1.81,1.1,0.33,1.14,0.5,2.9,1.95,0.0,0.7,0.0,4.03,0.63,0.0,100.01
11/05/2021,11.0,10.8,8.24,6.56,6.91,4.74,4.95,0.0,4.25,5.1,3.73,0.0,3.09,3.17,3.27,2.27,2.46,1.88,2.36,1.87,1.09,0.33,1.12,0.52,2.91,1.94,0.0,0.68,0.0,4.14,0.63,0.0,100.01
11/08/2021,11.16,11.06,8.27,6.92,6.85,4.88,4.98,0.0,3.32,5.08,3.7,0.0,3.3,3.12,3.24,2.3,2.46,1.83,2.34,1.86,1.09,0.34,1.13,0.5,2.9,1.92,0.0,0.7,0.0,4.13,0.63,0.0,100.01
11/09/2021,11.12,10.96,8.17,6.91,6.74,4.89,4.93,1.16,3.36,5.05,3.65,0.0,3.32,3.11,3.18,2.3,2.38,1.82,2.29,1.84,1.09,0.33,1.16,0.49,2.87,1.86,0.0,0.66,0.0,3.75,0.61,0.0,100.0
11/10/2021,11.12,10.96,8.17,6.91,6.74,4.89,4.93,1.16,3.36,5.05,3.65,0.0,3.32,3.11,3.18,2.3,2.38,1.82,2.29,1.84,1.09,0.33,1.16,0.49,2.87,1.86,0.0,0.66,0.0,3.75,0.61,0.0,100.0
11/11/2021,11.12,10.96,8.17,6.91,6.74,4.89,4.93,1.16,3.36,5.05,3.65,0.0,3.32,3.11,3.18,2.3,2.38,1.82,2.29,1.84,1.09,0.33,1.16,0.49,2.87,1.86,0.0,0.66,0.0,3.75,0.61,0.0,100.0
11/12/2021,11.13,10.94,8.11,7.01,6.66,4.8,4.94,1.85,2.77,4.98,3.64,0.0,3.38,3.08,3.16,2.57,2.4,1.8,2.29,1.95,1.1,0.33,1.13,0.49,2.9,1.93,0.0,0.66,0.0,3.38,0.61,0.0,99.99
11/15/2021,11.26,10.8,8.12,6.86,6.75,4.72,4.91,2.04,2.73,5.05,3.65,0.0,3.27,3.09,3.21,3.08,2.46,1.75,2.31,1.96,1.11,0.32,0.56,0.53,2.93,1.96,0.0,0.66,0.0,3.31,0.61,0.0,100.01
11/16/2021,11.26,10.8,8.12,6.86,6.75,4.72,4.91,2.04,2.73,5.05,3.65,0.0,3.27,3.09,3.21,3.08,2.46,1.75,2.31,1.96,1.11,0.32,0.56,0.53,2.93,1.96,0.0,0.66,0.0,3.31,0.61,0.0,100.01
11/17/2021,11.26,10.99,8.11,6.93,6.81,4.89,4.89,2.07,2.1,5.03,3.63,0.0,3.4,3.05,3.25,4.25,2.54,1.76,2.29,1.89,1.13,0.33,0.51,0.48,2.92,2.02,0.0,0.67,0.0,2.18,0.64,0.0,100.02
11/18/2021,11.24,10.99,8.09,6.98,6.84,4.99,4.91,2.07,2.12,5.04,3.62,0.0,3.39,3.03,3.25,4.25,2.48,1.8,2.3,1.87,1.13,0.34,0.41,0.51,2.9,1.99,0.0,0.67,0.0,2.15,0.62,0.0,99.98
11/19/2021,11.13,11.04,8.11,7.01,6.79,4.96,4.91,2.11,2.11,5.07,3.62,0.0,3.45,3.05,3.23,4.31,2.52,1.83,2.32,1.88,1.13,0.35,0.09,0.51,2.95,2.03,0.0,0.7,0.0,2.19,0.62,0.0,100.02
11/22/2021,11.13,11.04,8.11,7.01,6.79,4.96,4.91,2.11,2.11,5.07,3.62,0.0,3.45,3.05,3.23,4.31,2.52,1.83,2.32,1.88,1.13,0.35,0.09,0.51,2.95,2.03,0.0,0.7,0.0,2.19,0.62,0.0,100.02
11/23/2021,11.13,11.04,8.11,7.01,6.79,4.96,4.91,2.11,2.11,5.07,3.62,0.0,3.45,3.05,3.23,4.31,2.52,1.83,2.32,1.88,1.13,0.35,0.09,0.51,2.95,2.03,0.0,0.7,0.0,2.19,0.62,0.0,100.02
11/24/2021,10.91,11.06,7.98,7.25,6.55,4.97,4.94,2.6,2.02,4.81,3.51,0.0,3.27,2.95,3.1,4.2,2.52,1.79,2.23,2.75,1.1,0.34,0.0,0.43,2.84,1.98,0.0,0.69,0.0,2.33,0.89,0.0,100.01000000000002
11/25/2021,10.91,11.06,7.98,7.25,6.55,4.97,4.94,2.6,2.02,4.81,3.51,0.0,3.27,2.95,3.1,4.2,2.52,1.79,2.23,2.75,1.1,0.34,0.0,0.43,2.84,1.98,0.0,0.69,0.0,2.33,0.89,0.0,100.01000000000002
11/26/2021,11.17,10.73,8.15,7.0,6.84,4.81,4.87,2.46,1.97,4.97,3.64,0.0,3.21,3.03,3.18,4.12,2.54,1.79,2.31,2.74,1.11,0.31,0.0,0.4,2.85,1.97,0.0,0.66,0.0,2.25,0.92,0.0,100.0
