,ADUS,JHC.AX,SUM.NZ,6062.T,INA.AX,EXE.TO,CSH.UN.TO,OCA.NZ,VMD.TO,MDTR IT,CPINV.BR,REG.AX,KORI.PA,6099.T,EHE.AX,ARV.NZ,SIA.TO,9262.T,AMBEA.ST,ATT.ST,EUR,CASHILS,2175.T,AED.BR,USD,LIC.AX,B7S.,CTRE,DHC,ENSG,FVE,HCSG,PEAK,LHCG,LTC,RYM.NZ,WELL,NHC,NHI,SNR,2374.T,OHI,PNTG,ORP.PA,SBRA,VTR,AMED US,AMED,9262 JP,CAD,CHE,9783.T,CANO,6197.T,CMAX,CASHJPY,CSU US,BKD,SUM
07/23/2021,1.05,0.18,1.71,0.14,0.96,0.43,1.75,0.39,0.16,0.19,0.68,0.14,2.14,0.25,0.25,0.54,0.69,0.0,0.45,0.35,0.0,0.01,1.6,3.72,0.02,0.69,1.18,1.83,0.77,3.64,0.08,1.84,10.53,4.43,1.23,2.78,19.97,0.73,2.37,0.57,0.08,4.68,0.77,4.17,3.07,12.21,0.0,4.52,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,1.04,0.18,1.73,0.14,0.97,0.44,1.77,0.4,0.16,0.2,0.69,0.14,2.21,0.25,0.25,0.56,0.7,0.0,0.46,0.38,0.0,0.01,1.58,3.77,0.02,0.7,1.13,1.84,0.74,3.56,0.08,1.62,10.57,4.45,1.22,2.83,19.85,0.72,2.37,0.58,0.08,4.67,0.73,4.35,3.05,12.23,0.0,4.52,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,1.06,0.18,1.7,0.13,0.97,0.43,1.76,0.4,0.17,0.2,0.69,0.14,2.19,0.25,0.25,0.55,0.69,0.0,0.44,0.39,0.0,0.01,1.56,3.74,0.03,0.7,1.13,1.85,0.75,3.61,0.08,1.59,10.58,4.55,1.21,2.81,19.86,0.73,2.37,0.57,0.08,4.69,0.72,4.34,3.07,12.12,0.0,4.6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,1.06,0.18,1.7,0.13,0.97,0.43,1.76,0.4,0.17,0.2,0.69,0.14,2.19,0.25,0.25,0.55,0.69,0.0,0.44,0.39,0.0,0.01,1.56,3.74,0.03,0.7,1.13,1.85,0.75,3.61,0.08,1.59,10.58,4.55,1.21,2.81,19.86,0.73,2.37,0.57,0.08,4.69,0.72,4.34,3.07,12.12,0.0,4.6,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,1.05,0.18,1.7,0.14,0.97,0.43,1.77,0.4,0.16,0.2,0.69,0.14,2.21,0.25,0.25,0.56,0.69,0.0,0.45,0.39,0.0,0.01,1.57,3.75,0.03,0.74,1.14,1.84,0.76,3.57,0.08,1.59,10.68,4.42,1.22,2.78,19.92,0.74,2.37,0.57,0.08,4.7,0.71,4.33,3.07,12.17,0.0,4.47,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,1.04,0.21,1.67,0.13,0.95,0.43,1.76,0.39,0.16,0.2,0.68,0.16,2.21,0.25,0.27,0.55,0.68,0.0,0.45,0.39,0.0,0.01,1.58,3.77,0.03,0.74,1.12,1.84,0.75,3.58,0.08,1.59,10.79,4.41,1.21,2.72,19.99,0.74,2.39,0.58,0.08,4.7,0.69,4.3,3.07,12.17,0.0,4.43,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,1.05,0.21,1.67,0.13,0.95,0.43,1.76,0.4,0.17,0.17,0.69,0.16,2.23,0.25,0.28,0.56,0.68,0.0,0.45,0.39,0.0,0.01,1.57,3.8,0.06,0.75,1.11,1.82,0.75,3.48,0.08,1.57,10.83,4.51,1.2,2.8,19.82,0.74,2.37,0.57,0.08,4.68,0.72,4.37,3.11,12.07,0.0,4.44,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,0.94,0.18,1.4,0.11,0.86,0.37,1.52,0.34,0.17,0.17,0.6,0.13,1.95,0.21,0.23,0.47,0.59,0.0,0.39,0.36,0.0,0.01,1.33,3.58,0.03,0.62,0.94,1.59,0.64,3.06,0.07,1.34,10.3,4.51,1.01,2.43,18.77,0.66,2.07,0.49,0.07,4.41,0.61,4.42,2.74,11.56,0.0,4.31,0.06,0.0,4.31,1.21,1.07,0.41,0.38,0.0,0.0,0.0,100.0
08/04/2021,0.94,0.18,1.4,0.11,0.86,0.37,1.52,0.34,0.17,0.17,0.6,0.13,1.95,0.21,0.23,0.47,0.59,0.0,0.39,0.36,0.0,0.01,1.33,3.58,0.03,0.62,0.94,1.59,0.64,3.06,0.07,1.34,10.3,4.51,1.01,2.43,18.77,0.66,2.07,0.49,0.07,4.41,0.61,4.42,2.74,11.56,0.0,4.31,0.06,0.0,4.31,1.21,1.07,0.41,0.38,0.0,0.0,0.0,100.0
08/05/2021,0.93,0.18,1.45,0.12,0.87,0.37,1.53,0.33,0.17,0.17,0.61,0.13,1.91,0.21,0.23,0.47,0.59,0.06,0.39,0.36,0.0,0.01,1.38,3.63,0.01,0.63,0.95,1.58,0.64,3.05,0.07,1.33,10.25,4.47,1.01,2.43,18.7,0.65,2.05,0.49,0.07,4.39,0.59,4.43,2.75,11.51,0.0,4.3,0.0,0.0,4.33,1.25,1.15,0.42,0.38,0.0,0.02,0.0,100.0
08/06/2021,1.03,0.18,1.44,0.12,0.87,0.36,1.5,0.33,0.17,0.17,0.6,0.13,1.87,0.22,0.24,0.48,0.58,0.06,0.39,0.36,0.0,0.01,1.38,3.6,0.01,0.64,0.93,1.57,0.63,3.09,0.07,1.35,10.28,4.53,0.99,2.46,18.89,0.65,2.06,0.49,0.07,4.22,0.6,4.38,2.66,11.56,0.0,4.31,0.0,0.0,4.32,1.25,1.1,0.41,0.37,0.0,0.02,0.0,100.0
08/10/2021,1.02,0.19,1.5,0.11,0.9,0.37,1.54,0.34,0.17,0.18,0.62,0.14,1.94,0.21,0.24,0.5,0.59,0.06,0.39,0.36,0.0,0.01,1.38,3.76,0.08,0.68,0.91,1.59,0.67,3.16,0.06,1.39,10.45,4.08,0.98,2.56,18.98,0.67,2.09,0.5,0.07,4.41,0.6,4.4,2.65,11.63,0.0,3.27,0.0,0.0,4.37,1.27,1.17,0.41,0.36,0.0,0.02,0.0,100.0
08/11/2021,1.02,0.19,1.5,0.11,0.9,0.37,1.54,0.34,0.17,0.18,0.62,0.14,1.94,0.21,0.24,0.5,0.59,0.06,0.39,0.36,0.0,0.01,1.38,3.76,0.08,0.68,0.91,1.59,0.67,3.16,0.06,1.39,10.45,4.08,0.98,2.56,18.98,0.67,2.09,0.5,0.07,4.41,0.6,4.4,2.65,11.63,0.0,3.27,0.0,0.0,4.37,1.27,1.17,0.41,0.36,0.0,0.02,0.0,100.0
08/13/2021,1.02,0.19,1.5,0.15,0.91,0.37,1.56,0.34,0.17,0.18,0.62,0.13,1.93,0.22,0.26,0.5,0.61,0.06,0.39,0.37,0.0,0.01,1.47,3.79,0.08,0.7,0.87,1.55,0.66,3.18,0.06,1.43,10.31,4.02,0.98,2.61,19.2,0.67,1.98,0.49,0.07,4.44,0.57,4.41,2.57,11.49,0.0,3.36,0.0,0.0,4.36,1.27,1.14,0.43,0.33,0.0,0.02,0.0,100.0
08/16/2021,1.04,0.19,1.5,0.17,0.92,0.36,1.59,0.35,0.17,0.18,0.61,0.13,1.94,0.21,0.24,0.5,0.6,0.06,0.39,0.37,0.0,0.01,1.52,3.79,0.21,0.72,0.87,1.52,0.65,3.18,0.05,1.46,10.3,4.03,0.99,2.67,19.01,0.67,1.99,0.49,0.07,4.44,0.54,4.4,2.6,11.5,0.0,3.19,0.0,0.0,4.34,1.22,1.25,0.45,0.33,0.0,0.02,0.0,100.0
08/19/2021,1.03,0.19,1.51,0.17,0.94,0.37,1.62,0.35,0.16,0.18,0.62,0.13,1.98,0.2,0.24,0.5,0.6,0.06,0.4,0.37,0.0,0.01,1.52,3.82,0.05,0.71,0.86,1.51,0.63,3.16,0.05,1.43,10.43,3.99,0.99,2.8,19.33,0.67,1.95,0.49,0.07,4.38,0.51,4.45,2.52,11.49,0.0,3.2,0.0,0.01,4.35,1.18,1.02,0.44,0.33,0.0,0.03,0.0,100.0
08/20/2021,1.04,0.19,1.46,0.16,0.92,0.37,1.56,0.34,0.16,0.18,0.62,0.13,1.97,0.19,0.24,0.47,0.6,0.06,0.39,0.36,0.0,0.01,1.52,3.8,0.06,0.7,0.86,1.54,0.63,3.12,0.05,1.4,10.5,3.96,1.0,2.74,19.53,0.67,1.97,0.49,0.06,4.43,0.53,4.44,2.51,11.49,0.0,3.26,0.0,0.0,4.37,1.16,1.02,0.44,0.3,0.0,0.03,0.0,100.0
08/23/2021,1.01,0.19,1.5,0.17,0.96,0.37,1.55,0.34,0.16,0.18,0.63,0.13,2.0,0.21,0.24,0.49,0.6,0.06,0.38,0.36,0.0,0.01,1.72,3.81,0.07,0.73,0.86,1.51,0.61,3.09,0.05,1.38,10.51,3.94,0.98,2.81,19.47,0.67,1.92,0.49,0.07,4.28,0.49,4.49,2.45,11.33,0.0,3.18,0.0,0.0,4.48,1.2,1.08,0.45,0.31,0.0,0.03,0.0,100.0
08/24/2021,1.01,0.19,1.49,0.17,0.97,0.37,1.54,0.34,0.17,0.18,0.62,0.13,2.0,0.21,0.23,0.48,0.6,0.06,0.39,0.37,0.0,0.01,1.73,3.82,0.07,0.72,0.0,1.51,0.62,3.15,0.05,1.39,10.47,3.98,0.97,2.84,19.44,0.67,1.91,0.48,0.06,4.24,0.5,4.56,2.42,11.28,0.0,3.14,0.0,0.0,4.52,1.2,1.09,0.44,0.31,0.0,0.03,0.86,100.0
08/25/2021,1.01,0.19,1.49,0.17,0.97,0.37,1.54,0.34,0.17,0.18,0.62,0.13,2.0,0.21,0.23,0.48,0.6,0.06,0.39,0.37,0.0,0.01,1.73,3.82,0.07,0.72,0.0,1.51,0.62,3.15,0.05,1.39,10.47,3.98,0.97,2.84,19.44,0.67,1.91,0.48,0.06,4.24,0.5,4.56,2.42,11.28,0.0,3.14,0.0,0.0,4.52,1.2,1.09,0.44,0.31,0.0,0.03,0.86,100.0
08/26/2021,1.01,0.19,1.5,0.17,0.98,0.37,1.55,0.34,0.17,0.18,0.62,0.13,2.06,0.21,0.23,0.49,0.61,0.06,0.39,0.36,0.0,0.01,1.75,3.8,0.08,0.74,0.0,1.51,0.61,3.15,0.05,1.4,10.36,3.96,0.96,2.88,19.34,0.67,1.91,0.48,0.06,4.23,0.54,4.62,2.44,11.17,0.0,3.14,0.0,0.0,4.5,1.2,1.17,0.45,0.3,0.0,0.03,0.87,100.0
