,SRLN,SPYD,EBND,DWX,SPLB,SPTL,JNK,PSK,CWB,GII,REM,KBWY,Ssga Fds/Usa State St Inst Us Gov M Oef ,U.S. Dollar,Invesco KBW Premium Yield Eq REIT ETF,GVMXX,State Street Instl US Govt MMkt Premier,n/a,SUM
07/28/2021,20.07,15.68,10.06,8.99,9.41,7.21,5.54,6.99,5.04,4.95,4.74,1.04,0.0,0.0,0.0,0.0,0.27,0.0,99.99
07/29/2021,20.03,15.81,10.05,8.98,9.38,7.19,5.53,6.97,5.02,4.96,4.78,1.04,0.26,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,19.99,15.82,10.05,8.97,9.44,7.25,5.52,6.96,4.97,4.97,4.76,0.0,0.0,0.0,1.04,0.26,0.0,0.0,100.0
08/02/2021,19.95,15.76,10.09,8.99,9.44,7.24,5.51,6.95,5.01,4.98,4.77,0.0,0.0,0.0,1.04,0.26,0.0,0.0,99.99000000000002
08/03/2021,19.9,15.82,10.1,9.03,9.38,7.19,5.51,6.95,5.0,4.99,4.83,1.04,0.26,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,19.95,15.72,10.09,9.03,9.41,7.24,5.52,7.0,4.99,4.95,4.78,1.04,0.27,0.0,0.0,0.0,0.0,0.0,99.99
08/05/2021,19.9,15.73,10.09,9.05,9.44,7.3,5.5,7.0,5.01,4.97,4.76,1.04,0.27,-0.05,0.0,0.0,0.0,0.0,100.01
08/06/2021,19.84,15.84,10.08,9.09,9.43,7.29,5.48,6.98,5.0,4.97,4.76,1.03,0.27,-0.05,0.0,0.0,0.0,0.0,100.01
08/10/2021,19.9,15.9,9.97,9.03,9.28,7.16,5.49,7.01,5.02,4.99,4.79,0.0,0.0,0.0,0.0,0.42,0.0,1.04,100.0
08/16/2021,19.91,16.22,9.99,8.02,9.21,6.93,5.49,6.95,4.97,5.02,5.04,0.0,0.0,0.0,0.0,0.27,0.0,1.98,100.0
08/17/2021,19.84,16.17,9.99,8.04,9.28,7.0,5.48,6.94,4.93,5.03,5.04,0.0,0.0,0.0,0.0,0.27,0.0,1.98,99.99
08/18/2021,19.84,16.17,9.99,8.04,9.28,7.0,5.48,6.94,4.93,5.03,5.04,0.0,0.0,0.0,0.0,0.27,0.0,1.98,99.99
08/24/2021,19.96,15.94,9.95,8.05,9.38,7.13,5.5,6.97,4.9,5.02,4.99,0.0,0.0,0.0,0.0,0.25,0.0,1.96,100.0
08/30/2021,20.04,16.07,10.01,7.95,9.31,7.04,5.53,6.95,5.01,5.03,5.07,1.97,0.0,0.0,0.0,0.0,0.0,0.03,100.01
08/31/2021,19.92,16.13,10.02,7.97,9.31,7.03,5.51,6.93,5.02,5.05,5.11,1.98,0.0,0.0,0.0,0.0,0.0,0.03,100.01
09/07/2021,19.89,16.11,10.04,8.0,9.24,6.97,5.5,6.92,5.09,5.11,5.09,2.01,0.0,0.0,0.0,0.03,0.0,0.0,100.0
09/08/2021,19.89,16.11,10.04,8.01,9.24,6.97,5.5,6.92,5.09,5.11,5.09,2.01,0.0,0.0,0.0,0.03,0.0,-0.01,100.0
09/09/2021,19.89,16.11,10.04,8.01,9.24,6.97,5.5,6.92,5.09,5.11,5.09,2.01,0.0,0.0,0.0,0.03,0.0,-0.01,100.0
09/10/2021,19.98,16.04,10.06,7.98,9.23,6.96,5.52,6.94,5.1,5.09,5.07,2.02,0.0,0.0,0.0,0.02,0.0,0.0,100.01
09/13/2021,19.92,15.94,9.99,7.92,9.35,7.06,5.51,6.93,5.04,5.09,5.03,2.0,0.0,0.0,0.0,0.22,0.0,0.0,100.0
09/14/2021,19.92,15.94,9.99,7.92,9.35,7.06,5.51,6.93,5.04,5.09,5.03,2.0,0.0,0.0,0.0,0.22,0.0,0.0,100.0
09/15/2021,20.09,15.94,10.06,7.98,9.25,7.97,4.52,7.03,5.0,4.96,4.97,1.97,0.0,0.0,0.0,0.26,0.0,0.01,100.01
09/16/2021,20.01,16.04,10.01,8.01,9.24,7.98,4.51,6.99,4.97,4.99,5.0,1.97,0.0,0.0,0.0,0.26,0.0,0.01,99.99
09/17/2021,20.06,15.91,10.02,7.97,9.31,8.09,4.51,6.99,4.96,4.97,4.98,1.97,0.0,0.0,0.0,0.34,0.0,-0.09,99.99
09/20/2021,20.08,16.0,9.98,7.93,9.28,8.02,4.52,7.03,5.0,4.95,5.01,1.97,0.0,0.0,0.0,0.31,0.0,-0.07,100.01
09/21/2021,20.2,15.78,9.97,7.89,9.3,8.02,4.54,7.07,5.03,4.93,5.03,1.98,0.0,0.0,0.0,0.25,0.0,0.0,99.99
09/22/2021,20.2,15.79,9.97,7.89,9.3,8.03,4.54,7.07,5.03,4.93,5.03,1.98,0.0,0.0,0.0,0.32,0.0,-0.07,100.01000000000002
09/23/2021,20.21,15.64,9.97,7.77,9.36,8.16,4.52,7.07,4.99,4.91,4.99,1.97,0.0,0.0,0.0,0.52,0.0,-0.07,100.01
09/24/2021,20.22,15.6,10.0,7.83,9.37,8.16,4.53,7.09,5.0,4.96,5.02,1.97,0.0,0.0,0.0,0.25,0.0,0.0,100.0
09/27/2021,20.04,15.83,9.89,7.83,9.22,7.94,4.49,7.02,5.04,4.97,5.06,1.98,0.0,0.0,0.0,0.68,0.0,0.0,99.99
09/28/2021,20.25,15.99,9.93,7.83,9.27,7.95,4.53,7.07,5.08,5.0,5.07,1.98,0.0,0.0,0.0,0.05,0.0,0.0,100.0
09/29/2021,20.25,15.99,9.93,7.83,9.27,7.95,4.53,7.07,5.08,5.0,5.07,1.98,0.0,0.0,0.0,0.05,0.0,0.0,100.0
09/30/2021,20.22,16.15,9.91,7.83,9.24,7.9,4.52,7.04,5.05,5.01,5.11,1.97,0.0,0.0,0.0,0.05,0.0,0.0,100.0
10/01/2021,20.39,16.2,9.92,7.78,9.17,7.86,4.54,7.05,4.99,4.99,5.08,1.98,0.0,0.0,0.0,0.05,0.0,0.0,100.0
10/04/2021,20.32,15.93,9.89,7.71,9.08,7.84,4.53,7.09,4.95,4.97,5.02,1.96,0.0,0.0,0.0,0.72,0.0,-0.01,100.0
10/05/2021,20.3,16.2,9.92,7.75,9.17,7.9,4.53,7.05,4.98,5.03,5.09,2.0,0.0,0.0,0.0,0.09,0.0,0.0,100.01
10/06/2021,20.3,16.2,9.92,7.75,9.17,7.9,4.53,7.05,4.98,5.03,5.09,2.0,0.0,0.0,0.0,0.09,0.0,0.0,100.01
10/07/2021,20.3,16.3,9.88,7.78,9.16,7.9,4.52,7.01,4.92,5.06,5.09,2.01,0.0,0.0,0.0,0.08,0.0,0.0,100.01
10/08/2021,20.32,16.34,9.87,7.78,9.11,7.84,4.52,7.0,4.96,5.07,5.13,1.99,0.0,0.0,0.0,0.08,0.0,0.0,100.00999999999996
10/11/2021,20.29,16.34,9.85,7.78,9.12,7.87,4.51,7.01,4.97,5.06,5.11,2.01,0.0,0.0,0.0,0.08,0.0,0.0,100.0
10/12/2021,20.32,16.39,9.82,7.79,8.98,7.74,4.5,6.99,4.99,5.08,5.14,2.0,0.0,0.0,0.0,0.27,0.0,0.0,100.01
10/13/2021,20.32,16.39,9.82,7.79,8.98,7.74,4.5,6.99,4.99,5.08,5.14,2.0,0.0,0.0,0.0,0.27,0.0,0.0,100.01
10/14/2021,20.35,16.37,9.8,7.78,8.99,7.74,4.5,7.02,4.97,5.05,5.15,2.02,0.0,0.0,0.0,0.27,0.0,-0.01,99.99999999999996
10/15/2021,20.25,16.29,9.79,7.75,9.05,7.83,4.49,7.03,4.99,5.05,5.18,2.04,0.0,0.0,0.0,0.28,0.0,0.0,100.01999999999998
10/18/2021,19.7,15.02,9.95,9.03,9.35,8.62,3.98,7.01,5.04,5.05,5.01,2.02,0.0,0.0,0.0,0.22,0.0,0.0,100.0
10/19/2021,19.72,15.03,9.96,9.05,9.34,8.57,3.97,6.99,5.05,5.07,5.0,2.02,0.0,0.0,0.0,0.24,0.0,0.0,100.00999999999998
10/20/2021,19.72,15.03,9.96,9.05,9.34,8.57,3.97,6.99,5.05,5.07,5.0,2.02,0.0,0.0,0.0,0.24,0.0,0.0,100.00999999999998
10/21/2021,19.72,14.99,9.92,9.05,9.34,8.62,3.98,6.99,5.07,5.05,5.02,2.02,0.0,0.0,0.0,0.24,0.0,0.0,100.01
10/22/2021,19.72,15.06,9.95,9.09,9.26,8.5,3.98,6.97,5.09,5.1,5.04,2.01,0.0,0.0,0.0,0.23,0.0,0.0,100.00000000000004
10/25/2021,19.73,15.13,9.89,9.12,9.2,8.44,3.97,6.99,5.13,5.09,5.08,2.03,0.0,0.0,0.0,0.22,0.0,0.0,100.02
10/26/2021,19.73,15.13,9.89,9.12,9.2,8.44,3.97,6.99,5.13,5.09,5.08,2.03,0.0,0.0,0.0,0.22,0.0,0.0,100.02
10/27/2021,19.7,15.16,9.88,9.12,9.24,8.51,3.95,6.96,5.08,5.11,5.06,2.01,0.0,0.0,0.0,0.22,0.0,-0.01,99.99
10/28/2021,19.69,15.18,9.89,9.09,9.24,8.49,3.96,6.98,5.08,5.08,5.09,2.01,0.0,0.0,0.0,0.22,0.0,-0.01,99.99
10/29/2021,19.68,15.16,9.88,9.07,9.3,8.55,3.96,6.97,5.07,5.09,5.04,2.01,0.0,0.0,0.0,0.21,0.0,0.01,100.0
11/01/2021,19.64,14.95,9.83,9.12,9.35,8.63,3.95,6.95,5.06,5.09,4.99,2.01,0.0,0.0,0.0,0.2,0.0,0.22,99.99
11/02/2021,19.73,14.92,9.84,9.08,9.4,8.7,3.96,6.99,5.09,5.09,5.01,1.99,0.0,0.0,0.0,0.2,0.0,0.0,100.0
11/03/2021,19.73,14.92,9.84,9.08,9.4,8.7,3.96,6.99,5.09,5.09,5.01,1.99,0.0,0.0,0.0,0.2,0.0,0.0,100.0
11/04/2021,19.57,15.05,9.76,9.09,9.31,8.59,3.93,6.96,5.12,5.11,5.07,2.01,0.0,0.0,0.0,0.43,0.0,0.01,100.01000000000002
11/05/2021,19.58,15.08,9.76,9.07,9.36,8.63,3.93,6.95,5.1,5.09,5.0,2.0,0.0,0.0,0.0,0.43,0.0,0.0,99.98000000000002
11/08/2021,19.57,15.04,9.77,9.11,9.37,8.62,3.95,6.96,5.11,5.07,5.01,1.99,0.0,0.0,0.0,0.44,0.0,0.0,100.01
11/09/2021,19.44,15.09,9.74,9.01,9.39,8.66,3.93,6.91,5.08,5.07,5.04,2.01,0.0,0.0,0.0,0.62,0.0,0.0,99.99000000000004
11/10/2021,19.44,15.09,9.74,9.01,9.39,8.66,3.93,6.91,5.08,5.07,5.04,2.01,0.0,0.0,0.0,0.62,0.0,0.0,99.99000000000004
11/11/2021,19.48,15.05,9.77,9.0,9.39,8.66,3.93,6.91,5.11,5.07,5.01,2.0,0.0,0.0,0.0,0.62,0.0,0.0,100.0
11/12/2021,19.96,12.99,10.01,8.99,9.27,8.07,6.5,6.98,4.98,4.99,5.0,2.01,0.0,0.0,0.0,0.25,0.0,0.0,100.0
11/15/2021,20.1,13.16,9.98,8.97,9.17,7.97,6.49,6.93,4.97,4.96,5.02,2.03,0.0,0.0,0.0,0.64,0.0,-0.37,100.02
11/16/2021,20.1,13.16,9.98,8.97,9.17,7.97,6.49,6.93,4.97,4.96,5.02,2.03,0.0,0.0,0.0,0.64,0.0,-0.37,100.02
11/17/2021,20.09,13.15,9.97,9.01,9.15,7.95,6.5,6.93,5.0,4.96,5.0,2.02,0.0,0.0,0.0,0.27,0.0,0.0,100.0
11/18/2021,20.15,13.25,9.97,9.01,9.05,7.87,6.5,6.92,4.99,4.98,4.98,2.05,0.0,0.0,0.0,0.27,0.0,0.0,99.99
11/19/2021,20.19,13.22,9.95,9.01,9.05,7.87,6.52,6.94,5.03,4.96,4.97,2.03,0.0,0.0,0.0,0.27,0.0,0.0,100.00999999999999
