,IWN,IWO,EEMS,IWM,SCZ,Fidelity® Inv MM Fds Government I,OEG,n/a,FIGXX,SUM
08/06/2021,40.34,19.64,15.66,11.89,11.21,0.71,0.54,0.0,0.0,99.99
08/09/2021,40.07,19.8,15.63,11.9,11.14,0.0,0.5,0.96,0.0,100.0
08/10/2021,40.07,19.8,15.63,11.9,11.14,0.0,0.5,0.96,0.0,100.0
08/11/2021,40.07,19.8,15.63,11.9,11.14,0.0,0.5,0.96,0.0,100.0
08/13/2021,40.57,19.67,15.32,11.93,11.09,0.0,0.53,0.89,0.0,100.0
08/16/2021,40.67,19.58,15.27,11.93,11.14,0.0,0.52,0.89,0.0,100.0
08/17/2021,40.67,19.58,15.27,11.93,11.14,0.0,0.52,0.89,0.0,100.0
08/18/2021,40.67,19.5,15.29,11.9,11.27,0.0,0.48,0.89,0.0,100.0
08/19/2021,40.67,19.5,15.29,11.9,11.27,0.0,0.48,0.89,0.0,100.0
08/20/2021,40.64,19.41,15.29,11.87,11.3,0.0,0.59,0.9,0.0,100.0
08/23/2021,40.62,19.39,15.32,11.85,11.44,0.0,0.58,0.8,0.0,100.0
08/24/2021,40.62,19.39,15.32,11.85,11.44,0.0,0.58,0.8,0.0,100.0
08/25/2021,40.78,19.49,15.13,11.91,11.31,0.0,0.59,0.79,0.0,100.0
08/26/2021,40.78,19.49,15.13,11.91,11.31,0.0,0.59,0.79,0.0,100.0
08/27/2021,42.44,26.0,13.9,5.98,10.52,0.0,0.63,0.53,0.0,100.0
08/30/2021,42.39,25.97,13.97,5.97,10.56,0.0,0.61,0.54,0.0,100.01
08/31/2021,42.39,25.97,13.97,5.97,10.56,0.0,0.61,0.54,0.0,100.01
09/01/2021,42.49,26.07,13.86,5.99,10.44,0.0,0.62,0.52,0.0,99.99
09/02/2021,40.79,19.97,15.35,12.06,10.63,0.0,0.0,0.0,1.29,100.09
09/03/2021,40.79,19.97,15.35,12.06,10.63,0.0,0.0,0.0,1.29,100.09
09/06/2021,42.2,26.22,13.93,5.99,10.51,0.0,0.63,0.52,0.0,100.0
09/07/2021,42.2,26.22,13.93,5.99,10.51,0.0,0.63,0.0,0.52,100.0
09/08/2021,42.2,26.22,13.93,5.99,10.51,0.0,0.63,0.0,0.52,100.0
09/09/2021,42.09,26.19,14.02,5.98,10.58,0.0,0.63,0.0,0.52,100.01
09/10/2021,42.13,26.13,14.03,5.97,10.6,0.0,0.61,0.0,0.52,99.99
09/13/2021,42.24,26.11,13.97,5.98,10.65,0.0,0.6,0.0,0.45,100.0
09/14/2021,42.11,26.12,14.07,5.97,10.67,0.0,0.61,0.0,0.45,100.0
09/15/2021,41.99,26.08,14.17,5.96,10.74,0.0,0.61,0.0,0.46,100.00999999999998
09/16/2021,41.99,26.08,14.17,5.96,10.74,0.0,0.61,0.0,0.46,100.00999999999998
09/17/2021,42.11,25.95,14.19,5.95,10.74,0.0,0.6,0.0,0.45,99.99
09/20/2021,42.07,25.98,14.25,5.94,10.72,0.0,0.59,0.0,0.45,100.0
09/21/2021,41.96,26.12,14.18,5.96,10.75,0.0,0.58,0.0,0.45,100.0
09/22/2021,41.96,26.12,14.18,5.96,10.75,0.0,0.58,0.0,0.45,100.0
09/23/2021,41.96,26.12,14.18,5.96,10.75,0.0,0.58,0.0,0.45,100.0
09/24/2021,41.99,26.2,14.11,5.98,10.68,0.0,0.59,0.0,0.46,100.01
09/27/2021,42.01,26.28,14.05,5.98,10.6,0.0,0.63,0.0,0.45,100.0
09/28/2021,42.01,26.28,14.05,5.98,10.6,0.0,0.63,0.0,0.45,100.0
09/29/2021,42.01,26.28,14.05,5.98,10.6,0.0,0.63,0.0,0.45,100.0
09/30/2021,42.06,26.27,14.06,5.98,10.58,0.0,0.59,0.0,0.45,99.99
10/01/2021,42.68,25.98,13.92,5.99,10.38,0.0,0.59,0.0,0.46,100.0
10/04/2021,42.86,25.89,13.88,5.99,10.34,0.0,0.57,0.0,0.46,99.98999999999998
10/05/2021,42.55,25.77,14.07,5.96,10.35,0.0,0.59,0.0,0.71,99.99999999999996
10/06/2021,42.55,25.77,14.07,5.96,10.35,0.0,0.59,0.0,0.71,99.99999999999996
10/07/2021,43.08,25.57,13.9,5.97,10.21,0.0,0.56,0.0,0.71,100.0
10/08/2021,43.08,25.57,13.9,5.97,10.21,0.0,0.56,0.0,0.71,100.0
10/11/2021,43.03,25.67,13.88,5.98,10.2,0.0,0.54,0.0,0.71,100.01
10/12/2021,43.05,25.77,13.9,5.99,10.13,0.0,0.53,0.0,0.63,100.0
10/13/2021,43.05,25.77,13.9,5.99,10.13,0.0,0.53,0.0,0.63,100.0
10/14/2021,43.05,25.77,13.9,5.99,10.13,0.0,0.53,0.0,0.63,100.0
10/15/2021,43.13,25.55,14.02,5.97,10.15,0.0,0.54,0.0,0.63,99.99
10/18/2021,42.94,25.7,13.98,5.97,10.21,0.0,0.56,0.0,0.63,99.99
10/19/2021,42.95,25.77,13.89,5.99,10.2,0.0,0.57,0.0,0.62,99.99
10/20/2021,42.86,25.68,14.03,5.97,10.29,0.0,0.55,0.0,0.62,100.0
10/21/2021,42.84,25.7,14.05,5.97,10.27,0.0,0.55,0.0,0.62,100.0
10/22/2021,42.75,25.77,14.06,5.97,10.29,0.0,0.55,0.0,0.62,100.01
10/25/2021,42.95,25.73,13.92,5.98,10.27,0.0,0.54,0.0,0.62,100.01000000000002
