,ROKU,HUBS,MSFT,ORCL,CERN,EA,ATVI,RBLX,CRNC,FROG,BAND,MGNI,MCFE,APPS,INOV,MANH,ONTF,MDRX,PTC,ALTR,DSP,CVLT,FUO.,NUAN,AMWL,FICO,MAX,CHNG,CGNT,ACIW,AGPXX,Cash/Receivables/Payables,n/a,DLB,INTU,IAS,KNBE,CERT,EVCM,NABL,DOCS,IS,PLTK,BMBL,CSOD,OLO,QADA,SUM
08/26/2021,5.18,6.74,6.06,5.66,4.99,4.99,4.26,4.77,3.42,2.62,2.5,2.47,3.32,2.26,3.61,3.28,1.9,2.67,2.67,3.12,1.52,2.79,0.0,2.84,2.27,2.42,1.59,2.59,3.07,2.17,0.0,0.0,-0.55,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,5.13,6.66,5.97,5.58,4.91,4.94,4.21,4.97,3.47,2.61,2.5,2.59,3.4,2.33,3.59,3.31,1.89,2.64,2.67,3.16,1.54,2.78,0.0,2.82,2.36,2.43,1.62,2.57,3.04,2.13,0.0,0.0,-0.59,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/02/2021,5.1,6.92,5.97,5.62,4.83,4.95,4.16,4.54,3.36,2.7,2.45,2.6,3.34,2.24,3.59,3.34,2.0,2.52,2.69,3.05,1.47,2.9,0.0,2.81,2.4,2.43,1.56,2.57,3.01,2.19,0.0,0.0,-0.02,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/03/2021,0.0,5.03,4.93,4.97,4.89,5.03,4.98,4.54,0.0,0.0,2.6,2.78,2.66,0.0,0.0,2.7,0.0,0.0,2.7,2.61,0.0,2.82,0.0,0.0,0.0,0.0,2.56,2.72,0.0,0.0,0.0,0.0,-0.03,2.69,5.05,3.01,2.95,2.95,2.85,2.82,2.81,2.8,2.74,2.73,2.72,2.7,2.69,100.0
09/06/2021,0.0,4.98,4.87,4.96,4.83,4.99,4.86,4.63,0.0,0.0,2.71,2.93,2.73,0.0,0.0,2.7,0.0,0.0,2.68,2.63,0.0,2.81,0.0,0.0,0.0,0.0,2.58,2.72,0.0,0.0,0.0,0.0,-0.54,2.63,4.94,3.14,2.98,3.16,2.9,2.94,2.96,2.75,2.77,2.86,2.68,2.58,2.67,100.03
09/07/2021,0.0,5.04,4.8,4.9,4.72,4.95,4.78,4.47,0.0,0.0,2.63,2.94,2.71,0.0,0.0,2.66,0.0,0.0,2.66,2.58,0.0,2.84,0.0,0.0,0.0,0.0,2.62,2.68,0.0,0.0,0.0,0.0,0.03,2.57,4.9,3.07,3.2,3.24,2.82,2.93,2.95,2.85,2.72,2.93,2.64,2.54,2.63,100.0
09/08/2021,0.0,5.04,4.8,4.9,4.72,4.95,4.78,4.47,0.0,0.0,2.63,2.94,2.71,0.0,0.0,2.66,0.0,0.0,2.66,2.58,0.0,2.84,0.0,0.0,0.0,0.0,2.62,2.68,0.0,0.0,0.0,0.0,0.03,2.57,4.9,3.07,3.2,3.24,2.82,2.93,2.95,2.85,2.72,2.93,2.64,2.54,2.63,100.0
09/10/2021,0.0,4.97,4.82,4.87,4.78,4.95,4.67,4.63,0.0,0.0,2.66,2.87,2.67,0.0,0.0,2.64,0.0,0.0,2.62,2.59,0.0,2.79,0.0,0.0,0.0,0.0,2.5,2.69,0.0,0.0,0.02,0.0,0.02,2.52,4.92,3.23,3.2,3.32,2.55,3.09,2.95,2.86,2.9,2.85,2.66,2.55,2.65,100.01
09/13/2021,0.0,5.03,4.87,5.01,4.82,4.95,4.73,4.8,0.0,0.0,2.75,2.9,2.34,0.0,0.0,2.69,0.0,0.0,2.62,2.62,0.0,2.74,0.0,0.0,0.0,0.0,2.47,2.72,0.0,0.0,0.04,0.0,0.0,2.58,5.08,3.24,3.04,2.99,2.54,2.87,3.1,2.98,2.78,2.8,2.71,2.48,2.71,100.0
09/14/2021,0.0,4.92,4.83,5.0,4.76,5.03,4.81,4.86,0.0,0.0,2.69,2.89,2.09,0.0,0.0,2.68,0.0,0.0,2.58,2.61,0.0,2.72,0.0,0.0,0.0,0.0,2.49,2.71,0.0,0.0,0.04,0.0,0.0,2.57,5.06,3.11,3.18,3.07,2.4,3.0,3.11,3.26,2.93,2.91,2.71,2.32,2.7,100.04
09/15/2021,0.0,4.92,4.83,5.0,4.76,5.03,4.81,4.86,0.0,0.0,2.69,2.88,2.09,0.0,0.0,2.68,0.0,0.0,2.58,2.61,0.0,2.71,0.0,0.0,0.0,0.0,2.49,2.71,0.0,0.0,0.04,0.0,0.0,2.57,5.06,3.11,3.18,3.07,2.4,3.0,3.11,3.26,2.93,2.91,2.71,2.32,2.7,100.02
09/16/2021,0.0,4.98,4.91,5.02,4.83,5.08,4.8,4.74,0.0,0.0,2.78,2.78,2.21,0.0,0.0,2.71,0.0,0.0,2.55,2.69,0.0,2.76,0.0,0.0,0.0,0.0,2.48,2.74,0.0,0.0,0.04,0.0,0.0,2.62,5.03,3.07,3.03,3.22,2.39,2.86,2.93,3.22,2.87,2.77,2.74,2.41,2.74,100.0
09/17/2021,0.0,5.0,4.96,4.88,4.79,5.1,4.76,4.62,0.0,0.0,2.75,2.86,2.16,0.0,0.0,2.72,0.0,0.0,2.55,2.69,0.0,2.71,0.0,0.0,0.0,0.0,2.39,2.72,0.0,0.0,0.04,0.0,0.0,2.63,5.13,3.03,3.03,3.02,2.41,3.02,3.13,3.42,2.96,2.65,2.75,2.38,2.74,99.99999999999999
