,9104.T,9107.T,HLAG.DE,MAERSK B.CO,MATX,ATCO,DFDS.CO,ZIM,EURN.BR,GOGL,SBLK,CMRE,FRO.OL,CTRM,DAC,TGP,MPCC.OL,GLNG,DNORD.CO,WAWI.OL,STNG,DHT,SFL,INSW,BWLPG.OL,FLNG.OL,GNK,9110.T,GSL,EGLE,KNOP,NMM,LPG,NVGS,SB,DSX,BELCO.OL,AGAS.OL,NAT,TNK,TK,2020.OL,NETI,n/a,HMLP,FGXXX,GLOP,316.HK,1919.HK,1308.HK,2343.HK,934.HK,CITAF,1138.HK,SUM
09/08/2021,11.14,8.45,7.15,5.84,5.86,5.44,4.52,5.53,4.34,2.99,2.78,2.51,2.01,2.04,2.18,1.87,1.5,1.61,1.34,1.59,1.44,1.3,1.34,1.18,1.01,1.09,1.08,1.0,1.0,0.98,0.76,0.87,0.79,0.66,0.57,0.57,0.54,0.52,0.53,0.49,0.44,0.45,0.24,0.0,0.19,0.02,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/09/2021,11.14,8.45,7.08,5.95,5.9,5.41,4.52,5.64,4.31,2.91,2.76,2.56,1.98,1.99,2.2,1.94,1.48,1.61,1.34,1.55,1.42,1.3,1.35,1.2,0.99,1.05,1.08,0.99,1.02,0.97,0.75,0.9,0.78,0.66,0.58,0.56,0.52,0.5,0.52,0.49,0.47,0.44,0.24,0.01,0.2,0.03,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,11.39,8.99,7.26,5.95,5.78,5.33,4.53,5.57,4.27,2.95,2.7,2.49,1.98,1.91,2.17,1.98,1.48,1.58,1.33,1.56,1.41,1.29,1.32,1.15,0.96,1.03,1.05,1.02,1.01,0.96,0.73,0.86,0.74,0.63,0.55,0.58,0.5,0.49,0.49,0.49,0.47,0.42,0.23,0.0,0.19,0.02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/13/2021,11.51,9.03,7.12,5.87,5.88,5.37,4.57,5.7,4.23,2.91,2.59,2.5,1.96,1.84,2.15,1.97,1.43,1.56,1.3,1.57,1.34,1.29,1.32,1.12,0.94,1.04,1.02,1.02,1.0,0.93,0.74,0.84,0.72,0.63,0.55,0.58,0.49,0.49,0.48,0.48,0.45,0.42,0.23,0.0,0.18,0.39,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,11.39,8.99,7.26,5.91,5.79,5.28,4.46,5.89,4.14,2.77,2.69,2.54,2.03,1.85,2.1,1.99,1.43,1.55,1.29,1.57,1.35,1.29,1.32,1.12,0.9,1.03,1.04,1.0,1.0,0.94,0.73,0.87,0.72,0.65,0.57,0.59,0.48,0.48,0.48,0.49,0.49,0.41,0.24,0.0,0.18,0.47,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,11.46,9.48,7.27,5.86,5.91,5.33,4.35,5.94,4.08,2.81,2.66,2.62,1.97,1.81,2.08,1.93,1.44,1.53,1.29,1.53,1.3,1.25,1.31,1.11,0.9,1.05,1.04,1.01,1.0,0.95,0.73,0.88,0.7,0.63,0.58,0.59,0.5,0.48,0.47,0.48,0.48,0.43,0.24,0.0,0.18,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/16/2021,11.46,9.48,7.27,5.86,5.91,5.33,4.35,5.94,4.08,2.81,2.66,2.62,1.97,1.81,2.08,1.93,1.44,1.53,1.29,1.53,1.3,1.25,1.31,1.11,0.9,1.05,1.04,1.01,1.0,0.95,0.73,0.88,0.7,0.63,0.58,0.59,0.5,0.48,0.47,0.48,0.48,0.43,0.24,0.0,0.18,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,11.24,9.75,7.19,5.73,5.75,5.33,4.26,5.9,4.1,2.83,2.7,2.57,1.95,2.03,2.03,1.93,1.4,1.55,1.28,1.55,1.32,1.23,1.3,1.12,0.9,1.06,1.09,1.03,0.99,1.0,0.74,0.89,0.7,0.64,0.67,0.63,0.51,0.48,0.47,0.48,0.49,0.45,0.24,0.0,0.18,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/20/2021,11.51,10.65,7.48,5.77,5.54,5.28,4.04,5.84,3.99,2.65,2.66,2.55,1.92,2.13,1.97,1.84,1.36,1.51,1.2,1.48,1.27,1.19,1.23,1.08,0.87,1.04,1.06,1.23,1.02,0.94,0.71,0.84,0.64,0.62,0.69,0.65,0.47,0.46,0.46,0.47,0.46,0.43,0.23,0.0,0.17,0.12,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
09/21/2021,11.23,10.76,7.6,5.72,5.52,5.29,4.1,5.89,4.01,2.75,2.64,2.51,1.92,2.07,1.95,1.83,1.39,1.51,1.21,1.47,1.26,1.17,1.23,1.06,0.87,1.07,1.06,1.3,1.0,0.94,0.71,0.82,0.62,0.61,0.67,0.63,0.51,0.45,0.45,0.46,0.45,0.45,0.23,0.0,0.17,0.18,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/22/2021,11.23,10.76,7.6,5.72,5.52,5.29,4.1,5.89,4.01,2.75,2.64,2.51,1.92,2.07,1.95,1.83,1.39,1.51,1.21,1.47,1.26,1.17,1.23,1.06,0.87,1.07,1.06,1.3,1.0,0.94,0.71,0.82,0.62,0.61,0.67,0.63,0.51,0.45,0.45,0.46,0.45,0.45,0.23,0.0,0.17,0.18,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/23/2021,11.23,10.76,7.6,5.72,5.52,5.29,4.1,5.89,4.01,2.75,2.64,2.51,1.92,2.07,1.95,1.83,1.39,1.51,1.21,1.47,1.26,1.17,1.23,1.06,0.87,1.07,1.06,1.3,1.0,0.94,0.71,0.82,0.62,0.61,0.67,0.63,0.51,0.45,0.45,0.46,0.45,0.45,0.23,0.0,0.17,0.18,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/24/2021,10.35,9.77,6.57,4.97,5.05,4.49,3.64,5.7,3.7,2.11,2.07,2.06,1.71,1.17,1.66,1.54,1.08,1.29,1.07,1.22,1.03,1.07,1.08,0.92,0.79,0.99,0.79,1.16,0.87,0.68,0.64,0.67,0.56,0.5,0.54,0.49,0.42,0.42,0.39,0.39,0.38,0.37,0.2,0.0,0.15,0.22,0.21,3.75,3.23,3.11,1.44,0.54,0.44,0.31,99.97
09/27/2021,9.95,9.64,6.94,4.98,4.93,4.49,3.62,5.79,3.76,2.16,2.13,2.1,1.72,1.21,1.68,1.54,1.06,1.32,1.09,1.23,1.04,1.07,1.06,0.94,0.8,0.99,0.81,1.09,0.87,0.72,0.63,0.72,0.56,0.52,0.56,0.49,0.42,0.41,0.37,0.4,0.4,0.37,0.2,0.0,0.16,0.28,0.2,3.62,3.19,3.09,1.4,0.53,0.44,0.31,100.0
09/28/2021,9.95,9.64,6.94,4.98,4.93,4.49,3.62,5.79,3.76,2.16,2.13,2.1,1.72,1.21,1.68,1.54,1.06,1.32,1.09,1.23,1.04,1.07,1.06,0.94,0.8,0.99,0.81,1.09,0.87,0.72,0.63,0.72,0.56,0.52,0.56,0.49,0.42,0.41,0.37,0.4,0.4,0.37,0.2,0.0,0.16,0.28,0.2,3.62,3.19,3.09,1.4,0.53,0.44,0.31,100.0
10/01/2021,9.57,8.85,5.39,4.61,4.83,4.27,3.21,6.03,4.06,2.07,2.31,1.89,1.95,1.29,1.65,1.33,0.95,1.38,0.99,1.14,1.05,1.07,1.04,0.91,0.78,0.92,0.8,1.05,0.89,0.62,0.6,0.72,0.51,0.48,0.57,0.5,0.39,0.38,0.38,0.4,0.37,0.35,0.18,0.0,0.17,0.09,0.21,4.62,3.61,3.98,2.25,0.96,0.74,0.65,100.01000000000002
10/04/2021,8.39,8.1,5.38,4.5,4.73,4.14,3.15,5.8,3.92,2.05,2.22,1.84,1.92,0.92,1.62,1.31,0.97,1.32,0.97,1.1,1.02,1.05,1.03,0.88,0.74,0.91,0.77,1.04,0.85,0.59,0.6,0.7,0.5,0.47,0.53,0.49,0.38,0.37,0.37,0.39,0.35,0.34,0.18,0.0,0.17,0.0,0.21,5.71,4.72,5.04,2.53,1.1,0.84,0.75,99.97
10/05/2021,7.7,7.34,5.21,4.32,4.81,4.21,3.19,5.85,4.09,2.1,2.37,1.89,2.04,0.68,1.67,1.35,0.94,1.41,0.99,1.12,1.06,1.11,1.06,0.91,0.77,0.96,0.84,0.95,0.85,0.63,0.61,0.73,0.51,0.5,0.58,0.52,0.39,0.38,0.39,0.41,0.37,0.34,0.19,0.0,0.16,0.07,0.23,5.89,4.93,4.95,2.69,1.11,0.89,0.75,100.01
10/06/2021,7.63,7.01,5.3,4.26,4.88,4.19,3.14,5.67,4.15,2.18,2.47,1.91,2.08,0.69,1.65,1.35,0.97,1.44,1.0,1.11,1.1,1.13,1.07,0.94,0.82,1.0,0.84,0.91,0.87,0.64,0.62,0.75,0.52,0.51,0.59,0.54,0.41,0.38,0.43,0.42,0.37,0.35,0.19,0.0,0.16,0.08,0.22,5.84,4.88,4.9,2.67,1.1,0.88,0.74,99.94999999999996
10/07/2021,7.49,6.79,5.08,4.28,5.09,4.2,3.27,5.31,4.43,2.21,2.41,1.82,2.1,0.68,1.51,1.56,0.95,1.51,1.01,1.17,1.12,1.18,1.12,1.0,0.86,1.07,0.82,0.9,0.8,0.65,0.66,0.73,0.55,0.51,0.57,0.52,0.42,0.41,0.44,0.43,0.39,0.37,0.2,0.0,0.17,0.06,0.22,5.53,4.74,5.14,2.65,1.18,0.89,0.81,99.98000000000002
10/08/2021,7.49,6.79,5.08,4.28,5.09,4.2,3.27,5.31,4.43,2.21,2.41,1.82,2.1,0.68,1.51,1.56,0.95,1.51,1.01,1.17,1.12,1.18,1.12,1.0,0.86,1.07,0.82,0.9,0.8,0.65,0.66,0.73,0.55,0.51,0.57,0.52,0.42,0.41,0.44,0.43,0.39,0.37,0.2,0.0,0.17,0.06,0.22,5.53,4.74,5.14,2.65,1.18,0.89,0.81,99.98000000000002
10/11/2021,7.44,6.73,5.22,4.46,5.06,4.16,3.21,5.28,4.52,2.23,2.4,1.89,2.04,0.67,1.55,1.53,0.99,1.6,1.03,1.14,1.08,1.13,1.08,0.9,0.82,1.05,0.82,0.93,0.81,0.62,0.65,0.74,0.54,0.51,0.58,0.52,0.42,0.4,0.4,0.41,0.39,0.36,0.19,0.0,0.17,0.06,0.23,5.68,4.84,4.76,2.78,1.18,0.88,0.9,99.98000000000002
10/12/2021,7.44,6.73,5.22,4.46,5.06,4.16,3.21,5.28,4.52,2.23,2.4,1.89,2.04,0.67,1.55,1.53,0.99,1.6,1.03,1.14,1.08,1.13,1.08,0.9,0.82,1.05,0.82,0.93,0.81,0.62,0.65,0.74,0.54,0.51,0.58,0.52,0.42,0.4,0.4,0.41,0.39,0.36,0.19,0.0,0.17,0.06,0.23,5.68,4.84,4.76,2.78,1.18,0.88,0.9,99.98000000000002
10/13/2021,7.44,6.73,5.22,4.46,5.06,4.16,3.21,5.28,4.52,2.23,2.4,1.89,2.04,0.67,1.55,1.53,0.99,1.6,1.03,1.14,1.08,1.13,1.08,0.9,0.82,1.05,0.82,0.93,0.81,0.62,0.65,0.74,0.54,0.51,0.58,0.52,0.42,0.4,0.4,0.41,0.39,0.36,0.19,0.0,0.17,0.06,0.23,5.68,4.84,4.76,2.78,1.18,0.88,0.9,99.98000000000002
