,MRVL,SNAP,UBER,TW,ZM,DOCU,CVNA,CRWD,AVTR,PINS,DOW,DELL,COIN,DT,TWLO,NET,GLW,CTVA,ABNB,YETI,FOUR,OTIS,CARR,J,ALXN,DBX,KDP,PPD,TXG,PLTR,MEDP,ALC.SW,HZNP,KEYS,LYFT,SPT,RBLX,MCFE,ELAN,BILL,DKNG,ZS,CHWY,RKT,APP,EXPE,BWA,EXK.,MRVI,RRC,KEY,BJ,BYND,FOCS,SONO,LEVI,LMND,Gates Industrial Corporation Plc,AGL,OSH,SMPL,NVST,SOFI,SFIX,TSP,EQH,SNV,WSC,PCOR,SLQT,DBRG,ASO,GOLF,ASAN,BMBL,KRTX,HQY,JLL,VRT,UPST,ACI,SAFE,REAL,ARNC,ACCD,CHX,ACA,SWAV,KTB,JCOM,BHVN,ATKR,PGNY,SWCH,OCDX,ZY,UTZ,VRNT,HCAT,US Dollar,CCCC,AZN,EXAS,GTES,n/a,HOOD,DOCN,DASH,GD,DDOG,PXD,PWSC,ZI,XM,WMG,BSY,ON,S,CFLT,ESTC,NLOK,EVRG,NTLA,ZIP,RYAN,BEAM,CERE,MGY,SKIN,GDYN,ZD,CCSI,VMW,SUM
09/09/2021,8.4,7.49,4.06,3.42,2.3,3.24,3.03,2.99,2.82,1.67,2.2,2.12,2.42,1.92,1.51,1.93,1.52,1.58,1.63,1.46,1.15,1.41,1.48,1.28,0.0,1.24,1.19,1.17,1.07,1.19,1.17,1.23,1.18,1.19,0.76,1.31,0.9,0.85,0.87,1.32,0.87,0.94,0.65,0.61,0.68,0.5,0.49,0.0,0.72,0.53,0.46,0.58,0.35,0.46,0.48,0.38,0.28,0.0,0.34,0.29,0.32,0.33,0.29,0.21,0.22,0.32,0.3,0.32,0.31,0.19,0.24,0.29,0.26,0.37,0.27,0.25,0.19,0.3,0.24,0.45,0.37,0.22,0.13,0.18,0.15,0.17,0.15,0.19,0.15,0.15,0.21,0.2,0.12,0.15,0.11,0.0,0.06,0.07,0.06,0.0,0.05,1.23,0.44,0.35,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
09/10/2021,8.4,7.66,4.14,3.33,2.32,3.06,3.06,2.91,2.92,1.66,2.21,2.1,2.33,1.92,1.48,1.95,1.53,1.57,1.71,1.42,1.17,1.38,1.46,1.25,0.0,1.21,1.18,1.18,1.1,1.2,1.17,1.24,1.17,1.2,0.8,1.35,0.93,0.84,0.87,1.31,0.91,0.93,0.64,0.61,0.65,0.52,0.49,0.0,0.74,0.52,0.47,0.58,0.34,0.45,0.47,0.38,0.28,0.0,0.33,0.3,0.32,0.33,0.3,0.21,0.21,0.32,0.3,0.32,0.31,0.2,0.24,0.3,0.26,0.37,0.26,0.26,0.19,0.3,0.24,0.48,0.37,0.21,0.13,0.19,0.16,0.16,0.14,0.2,0.15,0.14,0.21,0.2,0.12,0.15,0.12,0.0,0.07,0.07,0.06,0.0,0.05,1.22,0.43,0.35,0.13,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
09/13/2021,8.5,7.57,4.13,3.44,2.32,2.98,3.09,2.9,2.95,1.66,2.17,2.14,2.27,1.94,1.47,1.92,1.51,1.56,1.74,1.47,1.1,1.41,1.49,1.28,0.0,1.25,1.19,1.19,1.08,1.19,1.18,1.24,1.17,1.21,0.81,1.33,0.95,0.73,0.86,1.32,0.92,0.93,0.65,0.61,0.63,0.52,0.49,0.0,0.67,0.54,0.47,0.58,0.35,0.45,0.45,0.39,0.28,0.0,0.3,0.3,0.32,0.34,0.3,0.2,0.21,0.32,0.3,0.31,0.29,0.21,0.23,0.29,0.27,0.39,0.25,0.25,0.2,0.3,0.21,0.54,0.36,0.21,0.14,0.19,0.16,0.16,0.14,0.18,0.15,0.15,0.21,0.2,0.12,0.15,0.1,0.0,0.06,0.07,0.06,0.0,0.05,1.19,0.44,0.36,0.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/14/2021,8.55,7.6,4.11,3.4,2.38,2.96,3.12,2.88,3.0,1.64,2.19,2.13,2.21,1.94,1.44,1.93,1.53,1.56,1.74,1.48,1.09,1.42,1.49,1.27,0.0,1.23,1.2,1.2,1.09,1.2,1.18,1.25,1.18,1.21,0.8,1.34,0.98,0.66,0.87,1.28,0.91,0.9,0.65,0.6,0.69,0.52,0.5,0.0,0.59,0.55,0.47,0.58,0.35,0.46,0.45,0.39,0.28,0.0,0.3,0.31,0.33,0.34,0.3,0.19,0.2,0.31,0.29,0.31,0.29,0.21,0.23,0.31,0.27,0.39,0.27,0.26,0.19,0.29,0.21,0.51,0.34,0.21,0.14,0.18,0.16,0.16,0.14,0.19,0.15,0.15,0.21,0.2,0.13,0.15,0.1,0.0,0.06,0.07,0.06,0.0,0.05,1.2,0.43,0.36,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
09/15/2021,8.55,7.61,4.11,3.4,2.38,2.96,3.12,2.88,3.0,1.64,2.19,2.13,2.21,1.94,1.44,1.93,1.53,1.56,1.74,1.49,1.09,1.42,1.49,1.27,0.0,1.23,1.2,1.2,1.09,1.2,1.18,1.25,1.18,1.21,0.8,1.34,0.98,0.66,0.87,1.28,0.91,0.9,0.65,0.6,0.69,0.52,0.5,0.0,0.59,0.55,0.47,0.58,0.35,0.46,0.45,0.39,0.28,0.0,0.3,0.31,0.33,0.34,0.3,0.19,0.2,0.31,0.29,0.31,0.29,0.21,0.23,0.31,0.27,0.39,0.27,0.26,0.19,0.29,0.21,0.51,0.34,0.21,0.14,0.19,0.16,0.16,0.14,0.19,0.15,0.15,0.21,0.2,0.13,0.15,0.1,0.0,0.06,0.07,0.06,0.0,0.05,1.2,0.43,0.36,0.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/16/2021,8.78,7.33,4.16,3.41,2.31,2.92,3.1,2.82,3.02,1.68,2.22,2.22,2.18,1.93,1.42,1.9,1.55,1.56,1.7,1.49,1.1,1.42,1.49,1.29,0.0,1.23,1.22,1.21,1.0,1.19,1.15,1.26,1.16,1.21,0.84,1.3,0.95,0.69,0.87,1.29,0.88,0.9,0.64,0.62,0.67,0.54,0.52,0.0,0.58,0.59,0.49,0.59,0.35,0.46,0.45,0.39,0.27,0.0,0.31,0.31,0.33,0.34,0.29,0.19,0.21,0.32,0.3,0.32,0.28,0.21,0.24,0.31,0.28,0.41,0.25,0.26,0.2,0.3,0.21,0.52,0.35,0.21,0.15,0.19,0.16,0.17,0.15,0.18,0.15,0.15,0.21,0.21,0.13,0.16,0.11,0.0,0.06,0.07,0.06,0.0,0.05,1.2,0.42,0.37,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,8.82,7.37,4.07,3.4,2.25,2.9,3.15,2.87,3.02,1.67,2.19,2.2,2.19,1.98,1.44,1.94,1.53,1.54,1.74,1.5,1.08,1.44,1.47,1.28,0.0,1.22,1.23,1.21,0.93,1.22,1.13,1.3,1.18,1.22,0.82,1.35,0.93,0.68,0.86,1.32,0.87,0.93,0.63,0.61,0.68,0.55,0.51,0.0,0.59,0.59,0.49,0.58,0.34,0.46,0.45,0.39,0.27,0.0,0.3,0.31,0.33,0.35,0.28,0.19,0.2,0.31,0.29,0.33,0.27,0.22,0.24,0.31,0.27,0.43,0.24,0.25,0.19,0.3,0.21,0.51,0.34,0.21,0.15,0.18,0.16,0.17,0.14,0.19,0.15,0.15,0.22,0.2,0.13,0.16,0.11,0.0,0.06,0.07,0.06,0.0,0.05,1.21,0.41,0.36,0.17,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/20/2021,8.8,7.36,4.05,3.34,2.19,2.95,3.22,2.9,3.04,1.63,2.15,2.25,2.15,1.99,1.45,2.01,1.52,1.52,1.76,1.49,1.1,1.38,1.45,1.27,0.0,1.21,1.22,1.19,0.94,1.3,1.13,1.28,1.18,1.2,0.84,1.41,0.9,0.68,0.84,1.34,0.87,0.91,0.64,0.61,0.63,0.54,0.5,0.0,0.6,0.62,0.49,0.59,0.33,0.46,0.44,0.37,0.27,0.0,0.28,0.3,0.32,0.34,0.3,0.18,0.19,0.31,0.29,0.35,0.3,0.23,0.23,0.31,0.28,0.47,0.25,0.25,0.19,0.3,0.2,0.55,0.34,0.21,0.16,0.18,0.15,0.17,0.15,0.2,0.15,0.15,0.22,0.2,0.13,0.16,0.11,0.0,0.06,0.07,0.06,0.0,0.05,1.2,0.43,0.35,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/21/2021,8.58,6.99,2.25,3.27,2.26,2.56,2.36,2.65,3.31,0.78,1.25,2.65,1.55,2.15,0.0,1.99,0.0,1.49,2.03,1.19,0.48,1.38,1.47,1.8,0.0,1.51,1.75,0.0,1.12,1.98,0.94,1.97,1.75,1.73,0.31,1.69,1.23,0.12,0.81,1.51,1.7,0.93,0.0,0.0,0.72,0.3,0.0,0.0,0.21,1.04,0.61,0.85,0.0,0.47,0.5,0.18,0.0,0.0,0.0,0.22,0.35,0.36,0.0,0.0,0.0,0.32,0.0,0.41,0.22,0.0,0.0,0.44,0.0,1.15,0.35,0.43,0.12,0.86,0.1,1.31,0.56,0.0,0.0,0.11,0.12,0.38,0.0,0.28,0.12,0.17,0.23,0.18,0.19,0.68,0.07,0.0,0.0,0.05,0.12,0.0,0.21,0.0,0.0,0.0,0.19,0.0,1.09,1.0,0.82,0.78,0.68,0.54,0.49,0.42,0.38,0.37,0.37,0.32,0.32,0.27,0.26,0.26,0.2,0.16,0.14,0.12,0.1,0.07,0.06,0.03,0.0,0.0,0.0,99.92
09/22/2021,8.58,6.99,2.25,3.27,2.26,2.56,2.36,2.65,3.31,0.78,1.25,2.65,1.55,2.15,0.0,1.99,0.0,1.49,2.03,1.19,0.48,1.38,1.47,1.8,0.0,1.51,1.75,0.0,1.12,1.98,0.94,1.97,1.75,1.73,0.31,1.69,1.23,0.12,0.81,1.51,1.7,0.93,0.0,0.0,0.72,0.3,0.0,0.0,0.21,1.04,0.61,0.85,0.0,0.47,0.5,0.18,0.0,0.0,0.0,0.22,0.35,0.36,0.0,0.0,0.0,0.32,0.0,0.41,0.22,0.0,0.0,0.44,0.0,1.15,0.35,0.43,0.12,0.86,0.1,1.31,0.56,0.0,0.0,0.11,0.12,0.38,0.0,0.28,0.12,0.17,0.23,0.18,0.19,0.68,0.07,0.0,0.0,0.05,0.12,0.0,0.21,0.0,0.0,0.0,0.19,0.0,1.09,1.0,0.82,0.78,0.68,0.54,0.49,0.42,0.38,0.37,0.37,0.32,0.32,0.27,0.26,0.26,0.2,0.16,0.14,0.12,0.1,0.07,0.06,0.03,0.0,0.0,0.0,99.92
09/23/2021,8.58,6.87,2.3,3.34,2.26,2.56,2.39,2.66,3.37,0.76,1.25,2.72,1.53,2.17,0.0,1.97,0.0,1.51,2.02,1.18,0.48,1.38,1.48,1.81,0.0,1.52,1.76,0.0,1.13,1.87,0.95,2.01,1.76,1.74,0.31,1.63,1.21,0.12,0.82,1.49,1.64,0.94,0.0,0.0,0.71,0.31,0.0,0.0,0.22,1.06,0.61,0.85,0.0,0.45,0.5,0.18,0.0,0.0,0.0,0.22,0.36,0.36,0.0,0.0,0.0,0.31,0.0,0.41,0.21,0.0,0.0,0.44,0.0,1.19,0.34,0.42,0.12,0.87,0.11,1.3,0.57,0.0,0.0,0.11,0.12,0.38,0.0,0.27,0.12,0.17,0.24,0.18,0.19,0.68,0.08,0.0,0.0,0.05,0.12,0.0,0.21,0.0,0.0,0.0,0.33,0.0,1.08,1.01,0.83,0.8,0.66,0.48,0.49,0.42,0.37,0.36,0.37,0.31,0.3,0.27,0.27,0.26,0.2,0.17,0.15,0.11,0.1,0.07,0.06,0.03,0.0,0.0,0.0,100.03
09/24/2021,8.55,7.22,2.55,3.29,2.22,2.53,2.31,2.6,3.36,0.76,1.22,2.65,1.53,2.15,0.0,2.01,0.0,1.5,2.1,1.18,0.48,1.35,1.41,1.77,0.0,1.51,1.73,0.0,1.12,1.86,0.95,2.01,1.78,1.72,0.33,1.7,1.22,0.12,0.81,1.43,1.51,0.94,0.0,0.0,0.74,0.31,0.0,0.0,0.22,1.02,0.6,0.86,0.0,0.45,0.5,0.18,0.0,0.0,0.0,0.22,0.36,0.36,0.0,0.0,0.0,0.31,0.0,0.42,0.21,0.0,0.0,0.43,0.0,1.12,0.35,0.44,0.11,0.85,0.1,1.41,0.57,0.0,0.0,0.11,0.12,0.38,0.0,0.27,0.12,0.17,0.24,0.18,0.2,0.67,0.08,0.0,0.0,0.05,0.12,0.0,0.22,0.0,0.0,0.0,0.32,0.0,1.07,1.0,0.81,0.81,0.65,0.48,0.5,0.42,0.41,0.36,0.37,0.3,0.31,0.27,0.26,0.26,0.19,0.17,0.15,0.11,0.1,0.07,0.06,0.03,0.0,0.0,0.0,100.03
09/27/2021,8.63,7.31,2.53,3.2,2.14,2.48,2.25,2.6,3.34,0.76,1.23,2.66,1.48,2.19,0.0,2.03,0.0,1.49,2.11,1.17,0.5,1.37,1.41,1.83,0.0,1.52,1.69,0.0,1.07,1.95,0.97,1.98,1.72,1.73,0.32,1.76,1.23,0.12,0.8,1.4,1.43,0.93,0.0,0.0,0.76,0.33,0.0,0.0,0.22,1.07,0.61,0.83,0.0,0.46,0.47,0.18,0.0,0.0,0.0,0.2,0.36,0.36,0.0,0.0,0.0,0.31,0.0,0.41,0.22,0.0,0.0,0.41,0.0,1.19,0.35,0.44,0.12,0.87,0.1,1.43,0.58,0.0,0.0,0.11,0.11,0.39,0.0,0.28,0.12,0.18,0.23,0.19,0.2,0.66,0.08,0.0,0.0,0.05,0.12,0.0,0.21,0.0,0.0,0.0,0.3,0.0,1.15,0.96,0.81,0.8,0.67,0.47,0.49,0.42,0.4,0.35,0.37,0.28,0.33,0.27,0.26,0.25,0.2,0.17,0.15,0.11,0.08,0.07,0.07,0.03,0.0,0.0,0.0,100.0
