,ADBE,GOOGL,FB,NKE,LOW,BX,ACN,COST,TXN,TGT,ISRG,ZM,EW,LULU,VEEV,TROW,CDNS,ORLY,HSY,MTD,MNST,WST,EPAM,FAST,CPRT,ODFL,W,BBY,SGEN,ANET,EXPD,POOL,GWW,NVR,NUAN,ABMD,MASI,FDS,WIX,GGG,WSM,DECK,TTC,n/a,RHI,MANH,ROL,CROX,AZPN,TPX,YETI,TPL,AMED,GMED,CHE,LSTR,HLI,EXPO,STAA,LPX,MMS,WTS,HQY,BPMC,RVLV,SSD,SPSC,MC,BCPC,LANC,SKY,NUVA,WDFC,BMI,PJT,EXPI,SFM,MED,SSTK,AAON,NARI,NUS,MODV,KRTX,IRBT,CORT,SNBR,CNS,UI,HCSG,GOLF,CRVL,EXTR,RGR,XPEL,AGPXX,SUM
09/23/2021,4.99,5.0,4.87,4.29,4.68,5.04,4.54,4.49,4.35,4.05,3.89,2.78,3.17,2.28,1.99,2.01,1.96,1.77,1.54,1.5,1.46,1.43,1.39,1.31,1.4,1.29,1.14,1.04,0.88,0.89,0.92,0.79,0.76,0.67,0.67,0.65,0.6,0.6,0.53,0.55,0.6,0.51,0.47,0.0,0.47,0.41,0.39,0.4,0.37,0.39,0.34,0.3,0.31,0.35,0.32,0.26,0.26,0.25,0.25,0.24,0.22,0.23,0.21,0.23,0.23,0.2,0.22,0.19,0.18,0.14,0.14,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.1,0.08,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.05,0.05,0.06,0.48,99.99
09/24/2021,4.99,4.96,4.8,4.34,4.76,4.55,4.52,4.51,4.39,4.07,3.92,2.86,3.2,2.33,2.0,1.96,1.93,1.82,1.55,1.51,1.43,1.45,1.39,1.33,1.33,1.35,1.17,1.04,0.98,0.88,0.91,0.79,0.76,0.63,0.68,0.64,0.62,0.6,0.54,0.55,0.61,0.5,0.46,0.0,0.47,0.42,0.4,0.4,0.36,0.41,0.34,0.3,0.31,0.34,0.32,0.27,0.27,0.25,0.25,0.24,0.22,0.23,0.21,0.25,0.24,0.2,0.24,0.19,0.19,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.1,0.08,0.09,0.11,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.05,0.05,0.06,0.46,99.97
09/27/2021,4.76,4.96,4.54,4.37,4.69,4.77,4.57,4.42,4.42,4.0,3.95,2.78,3.2,2.33,1.96,2.0,1.91,1.84,1.52,1.53,1.42,1.44,1.4,1.33,1.34,1.33,1.13,1.01,0.96,0.88,0.91,0.78,0.75,0.72,0.67,0.64,0.63,0.59,0.53,0.54,0.61,0.51,0.45,0.0,0.47,0.42,0.39,0.42,0.36,0.41,0.34,0.33,0.3,0.34,0.32,0.26,0.27,0.25,0.26,0.24,0.22,0.23,0.22,0.25,0.23,0.2,0.25,0.19,0.19,0.14,0.15,0.14,0.13,0.13,0.12,0.14,0.11,0.11,0.12,0.11,0.1,0.08,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.96,100.02
09/28/2021,4.76,4.96,4.54,4.37,4.69,4.77,4.57,4.42,4.42,4.0,3.95,2.78,3.2,2.33,1.96,2.0,1.91,1.84,1.52,1.53,1.42,1.44,1.4,1.33,1.34,1.33,1.13,1.01,0.96,0.88,0.91,0.78,0.75,0.72,0.67,0.64,0.63,0.59,0.53,0.54,0.61,0.51,0.45,0.0,0.47,0.42,0.39,0.42,0.36,0.41,0.34,0.33,0.3,0.34,0.32,0.26,0.27,0.25,0.26,0.24,0.22,0.23,0.22,0.25,0.23,0.2,0.25,0.19,0.19,0.14,0.15,0.14,0.13,0.13,0.12,0.14,0.11,0.11,0.12,0.11,0.1,0.08,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.96,100.02
09/29/2021,4.75,5.05,4.68,4.14,4.74,4.74,4.57,4.61,4.51,4.02,3.98,2.77,3.2,2.36,1.99,2.01,1.94,1.86,1.55,1.54,1.43,1.46,1.42,1.35,1.37,1.35,1.14,1.01,0.94,0.89,0.92,0.79,0.77,0.73,0.68,0.64,0.63,0.6,0.53,0.54,0.62,0.46,0.45,-0.73,0.48,0.42,0.4,0.41,0.36,0.41,0.33,0.33,0.29,0.35,0.32,0.27,0.28,0.26,0.25,0.24,0.23,0.23,0.23,0.24,0.23,0.2,0.26,0.2,0.19,0.14,0.15,0.14,0.13,0.13,0.12,0.14,0.11,0.11,0.12,0.11,0.11,0.08,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.97,100.0
09/30/2021,4.75,5.05,4.68,4.14,4.74,4.74,4.57,4.61,4.51,4.02,3.98,2.77,3.2,2.36,1.99,2.01,1.94,1.86,1.55,1.54,1.43,1.46,1.42,1.35,1.37,1.35,1.14,1.01,0.94,0.89,0.92,0.79,0.77,0.73,0.68,0.64,0.63,0.6,0.53,0.54,0.62,0.46,0.45,-0.73,0.48,0.42,0.4,0.41,0.36,0.41,0.33,0.33,0.29,0.35,0.32,0.27,0.28,0.26,0.25,0.24,0.23,0.23,0.23,0.24,0.23,0.2,0.26,0.2,0.19,0.14,0.15,0.14,0.13,0.13,0.12,0.14,0.11,0.11,0.12,0.11,0.11,0.08,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.97,100.0
10/01/2021,4.58,5.0,4.69,4.17,4.86,4.65,4.53,4.58,4.54,4.04,3.93,2.77,3.15,2.34,1.96,1.99,1.88,1.89,1.56,1.46,1.43,1.42,1.33,1.36,1.36,1.36,1.2,1.09,0.98,0.89,0.92,0.78,0.79,0.72,0.7,0.63,0.63,0.64,0.54,0.55,0.65,0.46,0.47,0.0,0.49,0.42,0.39,0.41,0.37,0.42,0.32,0.35,0.29,0.35,0.33,0.27,0.28,0.26,0.23,0.26,0.23,0.24,0.24,0.25,0.23,0.21,0.26,0.2,0.21,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.09,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.33,99.98
10/04/2021,4.57,4.95,4.67,4.19,4.9,4.68,4.52,4.62,4.5,4.08,3.93,2.72,3.15,2.32,1.95,1.99,1.87,1.93,1.59,1.44,1.43,1.43,1.33,1.36,1.36,1.36,1.17,1.09,0.99,0.89,0.93,0.79,0.79,0.73,0.7,0.63,0.62,0.66,0.52,0.55,0.65,0.46,0.47,0.0,0.49,0.42,0.39,0.4,0.37,0.42,0.31,0.32,0.29,0.35,0.33,0.27,0.28,0.26,0.23,0.26,0.24,0.25,0.24,0.25,0.23,0.21,0.26,0.2,0.2,0.15,0.15,0.14,0.14,0.14,0.13,0.11,0.12,0.11,0.12,0.11,0.1,0.08,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.34,99.95
10/05/2021,4.61,4.98,4.72,4.22,4.86,4.64,4.52,4.65,4.53,4.0,3.99,2.79,3.17,2.31,2.01,1.96,1.89,1.91,1.58,1.43,1.44,1.42,1.35,1.35,1.35,1.34,1.11,1.07,1.04,0.89,0.92,0.78,0.78,0.71,0.71,0.63,0.63,0.67,0.53,0.54,0.6,0.45,0.47,0.0,0.49,0.42,0.39,0.39,0.37,0.41,0.31,0.32,0.29,0.34,0.33,0.27,0.28,0.26,0.24,0.26,0.23,0.24,0.24,0.25,0.22,0.21,0.26,0.2,0.2,0.15,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.08,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.34,99.96
10/06/2021,4.6,5.05,4.75,4.25,4.85,4.59,4.57,4.62,4.55,3.98,4.03,2.84,3.13,2.28,1.99,1.97,1.9,1.87,1.59,1.43,1.45,1.4,1.35,1.34,1.36,1.33,1.1,1.06,1.06,0.91,0.89,0.78,0.79,0.69,0.71,0.62,0.63,0.66,0.5,0.54,0.59,0.45,0.47,0.0,0.5,0.43,0.39,0.38,0.38,0.41,0.31,0.3,0.28,0.35,0.32,0.27,0.28,0.26,0.23,0.26,0.24,0.25,0.24,0.24,0.23,0.21,0.26,0.21,0.21,0.15,0.15,0.15,0.14,0.13,0.13,0.12,0.12,0.11,0.12,0.11,0.11,0.09,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.06,0.05,0.06,0.33,99.98
10/07/2021,4.54,5.04,4.61,4.34,4.97,4.49,4.59,4.62,4.56,4.01,3.95,2.81,3.03,2.28,1.98,1.96,1.87,1.89,1.63,1.44,1.45,1.4,1.35,1.36,1.35,1.35,1.06,1.08,1.08,0.91,0.9,0.79,0.8,0.7,0.72,0.61,0.63,0.68,0.49,0.55,0.59,0.46,0.48,0.0,0.5,0.43,0.4,0.38,0.38,0.41,0.31,0.31,0.28,0.35,0.32,0.27,0.29,0.26,0.22,0.26,0.24,0.25,0.24,0.24,0.23,0.22,0.25,0.22,0.21,0.15,0.15,0.14,0.14,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.11,0.09,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.06,0.42,100.0
10/08/2021,4.54,5.04,4.61,4.34,4.97,4.49,4.59,4.62,4.56,4.01,3.95,2.81,3.03,2.28,1.98,1.96,1.87,1.89,1.63,1.44,1.45,1.4,1.35,1.36,1.35,1.35,1.06,1.08,1.08,0.91,0.9,0.79,0.8,0.7,0.72,0.61,0.63,0.68,0.49,0.55,0.59,0.46,0.48,0.0,0.5,0.43,0.4,0.38,0.38,0.41,0.31,0.31,0.28,0.35,0.32,0.27,0.29,0.26,0.22,0.26,0.24,0.25,0.24,0.24,0.23,0.22,0.25,0.22,0.21,0.15,0.15,0.14,0.14,0.13,0.13,0.11,0.12,0.11,0.12,0.12,0.11,0.09,0.1,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.06,0.06,0.06,0.42,100.0
10/11/2021,4.57,5.1,4.65,4.33,4.89,4.54,4.6,4.65,4.59,3.97,4.03,2.71,3.07,2.27,1.97,1.94,1.87,1.91,1.67,1.42,1.46,1.39,1.37,1.36,1.35,1.37,1.05,1.07,1.02,0.92,0.9,0.79,0.81,0.63,0.71,0.65,0.63,0.66,0.48,0.55,0.57,0.45,0.47,0.0,0.5,0.43,0.4,0.38,0.38,0.4,0.31,0.29,0.28,0.35,0.3,0.27,0.3,0.26,0.22,0.25,0.24,0.25,0.23,0.23,0.24,0.21,0.26,0.22,0.21,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.1,0.12,0.12,0.11,0.08,0.09,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.58,100.05
10/12/2021,4.57,5.1,4.65,4.33,4.89,4.54,4.6,4.65,4.59,3.97,4.03,2.71,3.07,2.27,1.97,1.94,1.87,1.91,1.67,1.42,1.46,1.39,1.37,1.36,1.35,1.37,1.05,1.07,1.02,0.92,0.9,0.79,0.81,0.63,0.71,0.65,0.63,0.66,0.48,0.55,0.57,0.45,0.47,0.0,0.5,0.43,0.4,0.38,0.38,0.4,0.31,0.29,0.28,0.35,0.3,0.27,0.3,0.26,0.22,0.25,0.24,0.25,0.23,0.23,0.24,0.21,0.26,0.22,0.21,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.1,0.12,0.12,0.11,0.08,0.09,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.58,100.05
10/13/2021,4.57,5.1,4.65,4.33,4.89,4.54,4.6,4.65,4.59,3.97,4.03,2.71,3.07,2.27,1.97,1.94,1.87,1.91,1.67,1.42,1.46,1.39,1.37,1.36,1.35,1.37,1.05,1.07,1.02,0.92,0.9,0.79,0.81,0.63,0.71,0.65,0.63,0.66,0.48,0.55,0.57,0.45,0.47,0.0,0.5,0.43,0.4,0.38,0.38,0.4,0.31,0.29,0.28,0.35,0.3,0.27,0.3,0.26,0.22,0.25,0.24,0.25,0.23,0.23,0.24,0.21,0.26,0.22,0.21,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.1,0.12,0.12,0.11,0.08,0.09,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.05,0.05,0.06,0.58,100.05
