,SPMB,SPLB,SPIB,SPTI,SPTL,SPDR Bloomberg Barclays 1-3 Month T-Bill ETF,GVMXX,U.S. Dollar,BIL,State Street Instl US Govt MMkt Premier,n/a,JNK,SUM
09/23/2021,25.16,24.87,19.57,11.37,7.05,0.0,0.23,0.0,11.75,0.0,0.0,0.0,100.0
09/24/2021,25.15,24.86,19.57,11.38,7.04,0.0,0.23,0.0,11.75,0.0,0.0,0.0,99.98
09/27/2021,25.19,24.84,19.61,11.36,6.96,0.0,0.23,0.0,11.8,0.0,0.0,0.0,99.99
09/28/2021,25.23,24.78,19.64,11.37,6.91,0.0,0.23,0.0,11.83,0.0,0.0,0.0,99.99
09/29/2021,25.23,24.78,19.64,11.37,6.91,0.0,0.23,0.0,11.83,0.0,0.0,0.0,99.99
09/30/2021,25.24,24.79,19.65,11.37,6.89,0.0,0.22,0.0,11.84,0.0,0.0,0.0,100.0
10/01/2021,25.24,24.79,19.65,11.37,6.89,0.0,0.22,0.0,11.84,0.0,0.0,0.0,100.0
10/04/2021,25.48,24.42,19.75,11.46,6.86,0.0,0.21,0.0,11.94,0.0,-0.13,0.0,99.99
10/05/2021,25.37,24.52,19.7,11.44,6.87,0.0,0.21,0.0,11.89,0.0,0.0,0.0,100.0
10/06/2021,25.37,24.52,19.7,11.44,6.87,0.0,0.21,0.0,11.89,0.0,0.0,0.0,100.0
10/07/2021,25.37,24.52,19.7,11.44,6.87,0.0,0.21,0.0,11.89,0.0,0.0,0.0,100.0
10/08/2021,25.43,24.4,19.74,11.46,6.83,0.0,0.21,0.0,11.94,0.0,0.0,0.0,100.01
10/11/2021,25.44,24.33,19.76,11.46,6.81,0.0,0.23,0.0,11.97,0.0,0.0,0.0,100.0
10/12/2021,25.51,24.21,19.78,11.48,6.79,0.0,0.23,0.0,12.01,0.0,0.0,0.0,100.01000000000002
10/13/2021,25.51,24.21,19.78,11.48,6.79,0.0,0.23,0.0,12.01,0.0,0.0,0.0,100.01000000000002
10/14/2021,25.5,24.22,19.77,11.47,6.78,0.0,0.23,0.0,12.02,0.0,0.0,0.0,99.99
10/15/2021,25.16,24.93,19.56,11.39,8.07,0.0,0.22,0.0,10.69,0.0,-0.01,0.0,100.01
10/18/2021,25.05,25.18,19.5,11.33,8.12,0.0,0.2,0.0,10.62,0.0,0.0,0.0,100.0
10/19/2021,25.08,25.17,19.49,11.32,8.09,0.0,0.2,0.0,10.65,0.0,0.0,0.0,100.0
10/20/2021,25.08,25.17,19.49,11.32,8.09,0.0,0.2,0.0,10.65,0.0,0.0,0.0,100.0
10/21/2021,25.07,25.17,19.47,11.31,8.13,0.0,0.2,0.0,10.65,0.0,0.0,0.0,100.0
10/22/2021,25.15,25.04,19.53,11.34,8.05,0.0,0.19,0.0,10.69,0.0,0.0,0.0,99.99
10/25/2021,25.18,24.98,19.54,11.35,8.02,0.0,0.19,0.0,10.73,0.0,0.0,0.0,99.98999999999998
10/26/2021,25.18,24.98,19.54,11.35,8.02,0.0,0.19,0.0,10.73,0.0,0.0,0.0,99.98999999999998
10/27/2021,25.14,25.07,19.5,11.33,8.08,0.0,0.19,0.0,10.7,0.0,0.0,0.0,100.01
10/28/2021,25.15,25.05,19.51,11.34,8.06,0.0,0.19,0.0,10.69,0.0,0.0,0.0,99.99
10/29/2021,25.09,25.18,19.47,11.31,8.1,0.0,0.19,0.0,10.66,0.0,0.0,0.0,100.0
11/01/2021,25.03,25.29,19.42,11.27,8.17,0.0,0.19,0.0,10.62,0.0,0.0,0.0,99.99
11/02/2021,24.98,25.31,19.41,11.28,8.19,0.0,0.19,0.0,10.63,0.0,0.0,0.0,99.99
11/03/2021,24.98,25.31,19.41,11.28,8.19,0.0,0.19,0.0,10.63,0.0,0.0,0.0,99.99
11/04/2021,25.09,25.27,19.45,11.32,8.16,0.0,0.19,0.0,10.67,0.0,-0.15,0.0,100.0
11/05/2021,25.01,25.3,19.42,11.3,8.16,0.0,0.19,0.0,10.62,0.0,0.0,0.0,100.0
11/08/2021,24.99,25.33,19.42,11.3,8.16,0.0,0.19,0.0,10.61,0.0,0.0,0.0,100.0
11/09/2021,24.9,25.49,19.37,11.27,8.23,0.0,0.2,0.0,10.55,0.0,0.0,0.0,100.01
11/10/2021,24.9,25.49,19.37,11.27,8.23,0.0,0.2,0.0,10.55,0.0,0.0,0.0,100.01
11/11/2021,24.92,25.48,19.36,11.26,8.22,0.0,0.2,0.0,10.57,0.0,0.0,0.0,100.01
11/12/2021,25.17,26.13,15.23,11.39,8.07,0.0,0.19,0.0,9.41,0.0,0.06,4.33,99.98
11/15/2021,25.29,25.92,15.26,11.4,8.0,0.0,0.22,0.0,9.5,0.0,0.06,4.35,100.0
11/16/2021,25.29,25.92,15.26,11.4,8.0,0.0,0.22,0.0,9.5,0.0,0.06,4.35,100.0
11/17/2021,25.29,25.92,15.26,11.4,8.0,0.0,0.22,0.0,9.5,0.0,0.06,4.35,100.0
11/18/2021,25.4,25.67,15.33,11.46,7.92,0.0,0.28,0.0,9.56,0.0,0.0,4.37,99.99
11/19/2021,25.44,25.62,15.33,11.47,7.91,0.0,0.27,0.0,9.57,0.0,0.0,4.37,99.98
11/22/2021,25.4,25.72,15.32,11.46,7.95,0.0,0.24,0.0,9.54,0.0,0.0,4.35,99.98
11/23/2021,25.4,25.72,15.32,11.46,7.95,0.0,0.24,0.0,9.54,0.0,0.0,4.35,99.98
11/24/2021,25.31,25.89,15.27,11.43,8.02,0.0,0.24,0.0,9.51,0.0,0.0,4.33,100.0
11/25/2021,25.31,25.89,15.27,11.43,8.02,0.0,0.24,0.0,9.51,0.0,0.0,4.33,100.0
11/26/2021,25.47,25.58,15.34,11.48,7.91,0.0,0.24,0.0,9.61,0.0,0.0,4.36,99.99
11/29/2021,25.37,25.72,15.29,11.45,8.0,0.0,0.24,0.0,9.58,0.0,0.0,4.34,99.99
12/02/2021,25.31,25.86,15.25,11.46,8.07,0.0,0.24,0.0,9.51,0.0,0.0,4.3,100.0
12/06/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/07/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/08/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/09/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/10/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/13/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/14/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/15/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/16/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/17/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/20/2021,25.2,25.96,15.19,11.44,8.2,0.0,0.23,0.0,9.49,0.0,0.0,4.29,100.0
12/21/2021,25.19,26.09,15.09,11.42,8.61,0.0,0.25,0.0,11.87,0.0,0.0,1.49,100.01
12/22/2021,25.19,26.09,15.09,11.42,8.61,0.0,0.25,0.0,11.87,0.0,0.0,1.49,100.01
12/23/2021,25.19,26.09,15.09,11.42,8.61,0.0,0.25,0.0,11.87,0.0,0.0,1.49,100.01
12/24/2021,25.21,26.03,15.13,11.43,8.55,0.0,0.25,0.0,11.9,0.0,0.0,1.5,100.0
12/27/2021,25.23,26.04,15.13,11.42,8.52,0.0,0.24,0.0,11.9,0.0,0.0,1.51,99.99
12/28/2021,25.23,26.04,15.13,11.42,8.52,0.0,0.24,0.0,11.9,0.0,0.0,1.51,99.99
12/29/2021,25.23,26.04,15.13,11.42,8.52,0.0,0.24,0.0,11.9,0.0,0.0,1.51,99.99
12/30/2021,25.21,26.1,15.14,11.4,8.52,0.0,0.24,0.0,11.89,0.0,0.0,1.51,100.01
12/31/2021,25.26,26.05,15.14,11.41,8.5,0.0,0.24,0.0,11.9,0.0,0.0,1.51,100.01
01/03/2022,25.27,26.05,15.08,11.43,8.5,0.0,0.24,0.0,11.92,0.0,0.0,1.51,100.0
