,BAB,VRIG,PHB,PLW,BKLN,PBTP,IUS,PGX,IIGD,RPG,OMFL,IIGV,IDLV,ISDX,SPLV,IUSS,PCY,XSLV,ISEM,Cash/Receivables/Payables,AGPXX,Invesco Emerging Markets Sov Debt ETF,1257.HK,n/a,018000.KQ,688008.SS,SUM
08/03/2021,17.95,15.4,11.91,9.0,7.92,6.0,4.55,3.98,3.99,3.67,3.09,2.0,2.02,2.02,1.5,1.54,1.49,1.02,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/04/2021,17.95,15.4,11.91,9.0,7.92,6.0,4.55,3.98,3.99,3.67,3.09,2.0,2.02,2.02,1.5,1.54,1.49,1.02,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/05/2021,18.01,15.39,11.89,9.04,7.9,5.99,4.53,3.98,3.99,3.67,3.08,2.0,2.02,2.03,1.5,1.53,1.49,1.01,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/09/2021,17.95,15.37,11.89,9.01,7.9,5.97,4.54,3.98,3.98,3.73,3.1,1.99,2.04,2.03,1.5,1.54,1.49,1.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,17.87,15.41,11.9,8.94,7.91,5.98,4.56,3.99,3.98,3.74,3.13,1.99,2.03,2.04,1.51,1.55,0.0,1.03,0.97,0.0,0.0,0.0,0.0,1.48,0.0,0.0,100.01
08/11/2021,17.87,15.41,11.9,8.94,7.91,5.98,4.56,3.99,3.98,3.74,3.13,1.99,2.03,2.04,1.51,1.55,0.0,1.03,0.97,0.0,0.0,0.0,0.0,1.48,0.0,0.0,100.01
08/13/2021,17.84,15.43,11.88,8.91,7.93,5.99,4.58,3.96,3.98,3.72,3.17,1.98,2.03,2.03,1.51,1.55,1.48,1.03,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/16/2021,17.79,15.42,11.89,8.9,7.93,5.99,4.61,3.96,3.97,3.72,3.2,1.98,2.05,2.04,1.51,1.56,1.48,1.03,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/17/2021,17.79,15.42,11.89,8.9,7.93,5.99,4.61,3.96,3.97,3.72,3.2,1.98,2.05,2.04,1.51,1.56,0.0,1.03,0.99,0.0,0.0,0.0,0.0,1.48,0.0,0.0,100.02
08/19/2021,17.93,15.36,11.87,8.96,7.91,5.97,4.6,3.96,3.97,3.71,3.16,1.98,2.05,2.02,1.53,1.53,1.48,1.03,0.98,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,17.9,15.4,11.9,8.99,7.92,5.98,4.59,3.96,3.98,3.68,3.12,1.99,2.04,2.01,1.54,1.52,1.49,1.03,0.96,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,18.0,15.43,11.89,9.05,7.94,5.98,4.54,3.96,3.98,3.69,3.06,1.99,2.03,1.98,1.53,1.5,1.49,1.02,0.95,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.02
08/25/2021,17.99,15.4,11.89,9.02,7.92,5.96,4.56,3.96,3.97,3.72,3.09,1.99,2.04,1.97,1.53,1.51,0.0,1.03,0.94,0.0,0.01,0.0,0.0,1.48,0.0,0.0,99.98
08/26/2021,17.97,15.47,12.0,8.99,8.0,6.01,4.53,3.99,3.99,3.52,3.0,2.0,2.0,2.0,1.49,1.51,1.5,1.0,1.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,17.93,15.46,12.0,8.94,8.01,6.01,4.54,3.99,3.99,3.53,3.03,1.99,2.0,2.03,1.48,1.53,1.5,1.0,1.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,17.91,15.43,12.04,8.94,8.0,6.02,4.56,3.98,3.99,3.61,3.06,1.99,1.99,2.04,1.48,1.54,1.51,1.01,1.05,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,100.02
09/03/2021,17.84,15.44,12.03,8.91,8.01,6.02,4.56,3.99,3.99,3.6,3.05,1.99,1.98,2.02,1.48,1.54,1.51,1.01,1.06,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
09/06/2021,17.84,15.39,12.01,8.91,8.01,6.0,4.56,4.0,3.98,3.62,3.05,1.99,2.0,2.04,1.49,1.55,1.51,1.01,1.06,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.01
09/07/2021,17.76,15.4,12.05,8.88,8.02,6.01,4.56,4.0,3.98,3.63,3.05,1.99,2.0,2.06,1.49,1.55,1.51,1.01,1.08,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
09/08/2021,17.76,15.4,12.05,8.88,8.02,6.01,4.56,4.0,3.98,3.63,3.05,1.99,2.0,2.06,1.49,1.55,1.51,1.01,1.08,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
09/10/2021,17.77,15.45,12.06,8.86,8.04,6.03,4.54,4.0,3.99,3.62,3.02,1.98,2.0,2.05,1.48,1.54,1.51,1.0,1.09,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
09/14/2021,17.85,15.46,12.08,8.91,8.04,6.04,4.48,4.01,3.99,3.59,2.99,1.99,1.99,2.03,1.47,1.52,1.51,0.98,1.08,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.0
09/16/2021,17.85,15.45,12.06,8.93,8.03,6.03,4.5,4.0,3.99,3.55,3.01,1.99,1.99,2.06,1.47,1.52,1.51,0.98,1.09,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.0
09/17/2021,17.94,15.45,12.07,8.98,8.03,6.03,4.46,4.0,3.99,3.55,2.97,2.0,1.98,2.04,1.46,1.5,1.51,0.98,1.08,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.01
09/20/2021,17.87,15.43,12.06,8.93,8.03,6.03,4.5,4.02,3.99,3.59,3.01,1.99,1.99,2.05,1.46,1.51,1.51,0.98,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
09/21/2021,17.87,15.43,12.06,8.93,8.03,6.03,4.49,4.02,3.99,3.59,3.01,1.99,1.99,2.05,1.46,1.51,1.5,0.98,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/22/2021,17.89,15.47,12.1,8.92,8.05,6.04,4.48,4.02,3.99,3.57,2.99,1.99,1.97,2.02,1.45,1.51,1.5,0.98,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,18.12,15.58,12.01,9.11,8.02,5.95,4.43,3.99,4.02,3.46,2.95,2.01,1.98,1.95,1.49,1.48,1.5,0.99,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/24/2021,18.13,15.57,12.01,9.1,8.02,5.95,4.42,3.99,4.02,3.47,2.93,2.01,1.99,1.98,1.49,1.48,1.49,0.99,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/27/2021,17.94,15.54,11.98,8.98,8.01,5.92,4.5,3.98,4.0,3.55,3.02,2.0,2.0,2.01,1.5,1.52,1.48,1.01,1.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,100.03000000000002
09/28/2021,17.89,15.57,12.01,8.95,8.02,5.94,4.51,3.97,4.01,3.55,3.03,2.0,1.98,1.99,1.5,1.52,1.47,1.01,0.99,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.0
09/29/2021,17.89,15.57,12.01,8.95,8.02,5.93,4.51,3.97,4.01,3.55,3.03,2.0,1.98,1.99,1.5,1.52,1.47,1.01,0.99,0.0,0.09,0.0,0.0,0.0,0.0,0.0,99.99
09/30/2021,17.88,15.58,12.01,8.93,8.02,5.94,4.52,3.97,4.01,3.51,3.06,2.0,1.98,2.01,1.49,1.54,1.47,1.02,0.99,0.0,0.09,0.0,0.0,0.0,0.0,0.0,100.01999999999998
10/07/2021,18.0,15.7,12.05,8.97,8.08,6.01,4.46,3.97,4.04,3.33,3.0,2.01,1.96,1.98,1.48,1.52,1.46,1.03,0.99,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,100.02
10/08/2021,17.92,15.7,12.04,8.93,8.08,6.01,4.49,3.95,4.04,3.38,3.02,2.01,1.96,1.99,1.49,1.53,1.46,1.03,1.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,100.01
10/11/2021,17.85,15.68,12.02,8.88,8.09,6.0,4.54,3.95,4.03,3.43,3.05,2.0,1.97,1.98,1.5,1.54,1.46,1.04,1.02,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,100.01
10/14/2021,17.86,15.75,11.99,8.85,8.11,6.03,4.53,3.97,4.03,3.38,3.04,1.99,1.97,2.0,1.49,1.53,1.45,1.03,1.02,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.01
10/15/2021,17.92,15.7,12.0,8.92,8.09,6.01,4.5,3.98,4.03,3.38,3.04,1.99,1.97,1.99,1.49,1.53,1.45,1.03,1.01,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
10/18/2021,17.89,15.59,11.97,8.92,8.04,5.98,4.55,4.0,4.0,3.45,3.07,1.99,1.98,2.02,1.51,1.54,1.47,1.04,1.02,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
10/19/2021,17.84,15.61,11.96,8.88,8.04,5.98,4.58,3.98,4.0,3.46,3.09,1.99,1.99,2.02,1.51,1.54,1.47,1.04,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/20/2021,17.84,15.6,11.96,8.88,8.04,5.98,4.58,3.98,4.0,3.46,3.09,1.99,1.99,2.02,1.51,1.54,1.47,1.04,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/21/2021,18.0,15.49,11.98,8.99,7.98,5.99,4.51,4.0,3.99,3.53,3.01,2.0,2.0,2.01,1.5,1.51,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/22/2021,17.95,15.49,11.99,8.93,7.99,6.0,4.55,3.99,3.99,3.56,3.02,1.99,2.01,2.01,1.51,1.51,1.5,1.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/25/2021,17.89,15.51,11.99,8.9,8.01,6.03,4.59,4.02,3.99,3.61,3.06,1.99,2.02,2.0,1.53,1.53,1.5,1.01,1.0,0.0,0.0,0.0,0.0,-0.14,0.0,0.0,100.04
10/26/2021,17.93,15.48,11.97,8.93,8.0,6.02,4.58,4.0,3.98,3.61,3.06,1.99,2.03,2.01,1.54,1.52,1.5,1.01,0.99,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,100.0
10/28/2021,17.91,15.46,11.97,8.93,7.98,6.02,4.58,4.0,3.98,3.63,3.07,1.99,2.02,2.01,1.53,1.54,1.5,1.02,1.0,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,99.99
10/29/2021,17.96,15.45,11.97,8.96,7.96,6.02,4.58,4.0,3.98,3.63,3.04,1.99,2.02,2.02,1.53,1.52,1.5,1.01,0.99,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,99.98
11/01/2021,18.02,15.42,11.96,9.0,7.96,6.0,4.57,4.0,3.97,3.68,3.03,1.99,2.03,2.01,1.52,1.51,1.51,1.01,0.97,0.0,0.0,0.0,0.0,-0.15,0.0,0.0,100.01
11/02/2021,18.02,15.4,11.93,9.0,7.94,5.99,4.57,3.99,3.97,3.71,3.02,1.99,2.01,1.99,1.52,1.51,1.5,1.01,0.96,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
11/03/2021,18.02,15.4,11.93,9.0,7.94,5.99,4.57,3.99,3.97,3.71,3.02,1.99,2.01,1.99,1.52,1.51,1.5,1.01,0.96,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
11/04/2021,18.02,15.4,11.93,9.0,7.94,5.99,4.57,3.99,3.97,3.71,3.02,1.99,2.01,1.99,1.52,1.51,1.5,1.01,0.96,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.02
11/05/2021,17.96,15.37,11.91,8.98,7.93,5.98,4.59,3.99,3.97,3.73,3.05,1.99,2.02,2.0,1.53,1.54,1.5,1.02,0.95,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.0
11/11/2021,17.92,15.27,11.91,8.99,7.9,5.96,4.64,3.98,3.95,3.79,3.09,1.99,2.02,2.01,1.52,1.57,1.51,1.05,0.95,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.01
11/12/2021,17.97,15.26,11.9,9.04,7.9,5.96,4.63,3.97,3.95,3.77,3.09,1.99,2.02,2.0,1.52,1.57,1.51,1.05,0.95,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.04
11/15/2021,17.91,15.34,11.9,8.97,7.94,6.0,4.63,3.94,3.94,3.76,3.1,1.98,2.01,1.99,1.53,1.57,1.49,1.06,0.96,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.01
11/16/2021,17.91,15.34,11.9,8.97,7.94,6.0,4.63,3.94,3.94,3.76,3.1,1.98,2.01,1.99,1.53,1.57,1.49,1.06,0.96,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,100.01
11/17/2021,17.87,15.33,11.88,8.96,7.92,6.0,4.65,3.93,3.94,3.8,3.11,1.98,2.02,2.0,1.53,1.57,1.49,1.06,0.96,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,99.99
11/18/2021,17.85,15.35,11.88,8.91,7.94,6.02,4.66,3.93,3.94,3.8,3.12,1.97,2.02,2.0,1.54,1.57,1.49,1.06,0.95,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02
