,LIN,SHW,APD,FCX,NEM,ECL,DOW,DD,PPG,IFF,CTVA,NUE,LYB,BLL,VMC,IP,MLM,ALB,CE,AVY,EMN,AMCR,WRK,FMC,PKG,CCK,STLD,MOS,RPM,CF,RS,ATR,CLF,BERY,SMG,SEE,RGLD,AA,LPX,OLN,AXTA,X,SON,VVV,HUN,CC,EXP,ASH,ESI,HL,AVNT,GPK,BCPC,WLK,GRA,ARNC,CMC,SLGN,SXT,FUL,CBT,NGVT,KWR,ATI,NEU,UFS,MTX,OI,SCL,LTHM,TROX,CDE,IOSP,CMP,CRS,WOR,AMRS,KALU,TSE,MP,MTRN,FOE,DNMR,GEF,SCHN,SWM,OEC,KRA,GCP,HCC,USCR,NP,ASIX,CCF,PACK,KOP,CENX,FRTA,MYE,PQG,PTVE,GLT,HWKN,MERC,SXC,MUX,TMST,AVD,CLW,RYAM,VRS,TG,GATO,KRO,VNTR,CHG.BK,RYI,FF,4338.SR,PQGEUR,ECVT,4340.SR,n/a,TR5.,SUM
07/23/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/26/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/27/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/28/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/29/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/30/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/02/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/03/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/04/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/05/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/06/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/09/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/10/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/11/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/13/2021,12.19,5.61,5.13,4.36,4.09,4.26,3.79,3.36,3.24,2.99,2.66,2.33,2.22,2.13,1.86,1.84,1.77,1.58,1.39,1.41,1.28,1.33,1.13,1.13,1.03,1.11,1.01,0.93,0.93,0.89,0.77,0.74,0.82,0.7,0.65,0.74,0.6,0.55,0.52,0.53,0.52,0.51,0.54,0.47,0.45,0.46,0.46,0.41,0.42,0.32,0.36,0.39,0.34,0.28,0.31,0.3,0.3,0.29,0.3,0.27,0.26,0.27,0.26,0.21,0.23,0.24,0.21,0.21,0.21,0.23,0.2,0.17,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.18,0.12,0.13,0.14,0.12,0.1,0.1,0.09,0.08,0.08,0.07,0.1,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,99.98999999999998
