,PLUG,BLDP.TO,NEL.OL,BE,ITM.L,336260.KS,CWR.L,PCELL.ST,FCEL,CI B.ST,AFC.L,HPUR.OL,LIN,HTOO,ACH.OL,F3C.DE,ADN,XBC.TO,MCPHY.PA,288620.KQ,GNCL.TA,PHE.L,EFUEL.OL,PPS.L,FGXXX,DynaCERT Inc,4308.T,First American Government Obligs X,DYA.TO,APGN.SW,n/a,600372.SS,SKBN.TA,7342.T,SUM
08/04/2021,9.63,6.57,5.88,5.41,5.79,5.38,5.2,4.41,3.85,4.11,4.08,3.65,4.58,4.48,3.67,4.07,3.43,3.9,2.57,2.76,2.02,1.41,1.36,0.8,0.0,0.0,0.0,0.67,0.26,0.05,0.0,0.0,0.0,0.0,99.99
08/05/2021,9.63,6.57,5.88,5.41,5.79,5.38,5.2,4.41,3.85,4.11,4.08,3.65,4.58,4.48,3.67,4.07,3.43,3.9,2.57,2.76,2.02,1.41,1.36,0.8,0.0,0.0,0.0,0.67,0.26,0.05,0.0,0.0,0.0,0.0,99.99
08/06/2021,9.32,6.36,5.91,5.33,6.04,5.48,5.36,4.44,3.71,4.3,4.49,3.52,4.75,4.09,3.99,4.17,3.37,3.83,2.59,2.74,1.93,1.2,1.28,0.82,0.0,0.0,0.0,0.68,0.25,0.05,0.0,0.0,0.0,0.0,100.0
08/09/2021,9.46,6.41,5.2,5.49,5.71,5.78,5.33,4.18,3.83,4.12,4.6,3.24,4.95,4.47,3.99,4.15,3.55,3.88,2.69,2.91,1.9,1.13,1.19,0.85,0.0,0.0,0.0,0.0,0.25,0.06,0.7,0.0,0.0,0.0,100.02
08/10/2021,9.46,6.41,5.2,5.49,5.71,5.78,5.33,4.18,3.83,4.12,4.6,3.24,4.95,4.47,3.99,4.15,3.55,3.88,2.69,2.91,1.9,1.13,1.19,0.85,0.0,0.0,0.0,0.0,0.25,0.06,0.7,0.0,0.0,0.0,100.02
08/11/2021,9.46,6.41,5.2,5.49,5.71,5.78,5.33,4.18,3.83,4.12,4.6,3.24,4.95,4.47,3.99,4.15,3.55,3.88,2.69,2.91,1.9,1.13,1.19,0.85,0.0,0.0,0.0,0.0,0.25,0.0,0.7,0.06,0.0,0.0,100.02
08/12/2021,9.9,6.67,5.23,5.74,5.78,5.65,5.47,4.07,4.31,3.9,4.36,3.2,4.75,4.48,3.75,3.98,3.49,3.63,2.68,2.86,1.8,0.93,1.17,0.78,0.0,0.0,0.0,0.0,0.22,0.05,1.14,0.0,0.0,0.0,99.99
08/13/2021,9.97,6.56,5.24,5.6,5.78,5.52,5.44,4.19,4.38,3.99,4.31,3.69,4.61,4.52,3.8,4.07,3.45,3.75,2.66,2.73,1.82,1.0,1.24,0.79,0.0,0.0,0.0,0.0,0.21,0.05,0.64,0.0,0.0,0.0,100.01
08/16/2021,9.4,6.49,5.24,5.61,5.83,5.57,5.64,4.17,4.04,4.07,4.45,3.65,4.86,4.48,3.92,4.11,3.36,3.45,2.68,2.76,1.85,1.41,1.23,0.8,0.0,0.0,0.0,0.0,0.21,0.05,0.67,0.0,0.0,0.0,100.0
08/17/2021,9.4,6.49,5.24,5.61,5.83,5.57,5.64,4.17,4.04,4.07,4.45,3.65,4.86,4.48,3.92,4.11,3.36,3.45,2.68,2.76,1.85,1.41,1.23,0.8,0.0,0.0,0.0,0.0,0.21,0.05,0.67,0.0,0.0,0.0,100.0
08/23/2021,8.85,6.48,5.1,5.15,6.96,5.44,6.21,4.45,3.62,4.2,4.72,3.87,5.17,3.95,3.87,4.21,2.98,3.11,2.86,2.69,1.94,1.27,1.2,0.74,0.0,0.0,0.0,0.0,0.21,0.05,0.71,0.0,0.0,0.0,100.00999999999998
08/24/2021,8.85,6.48,5.1,5.15,6.96,5.44,6.21,4.45,3.62,4.2,4.72,3.87,5.17,3.95,3.87,4.21,2.98,3.11,2.86,2.69,1.94,1.27,1.2,0.74,0.0,0.0,0.0,0.0,0.21,0.0,0.71,0.0,0.05,0.0,100.00999999999998
08/27/2021,9.24,6.9,5.22,5.36,7.01,5.23,6.07,4.63,3.81,3.67,4.65,3.51,4.97,3.75,3.78,4.25,3.28,3.27,2.81,2.64,1.85,1.19,1.22,0.73,0.0,0.0,0.0,0.0,0.23,0.0,0.69,0.0,0.0,0.05,100.01
09/01/2021,9.4,6.7,5.15,5.35,7.08,5.74,6.14,4.61,3.77,3.77,4.46,3.43,4.96,3.68,3.94,4.04,3.31,3.3,2.76,2.94,1.84,1.25,1.08,0.82,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.05,99.98999999999998
09/02/2021,9.4,6.7,5.15,5.35,7.08,5.74,6.14,4.61,3.77,3.77,4.46,3.43,4.96,3.68,3.94,4.04,3.31,3.3,2.76,2.94,1.84,1.25,1.08,0.82,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.05,99.98999999999998
09/03/2021,9.24,6.75,5.1,5.37,7.1,5.9,6.15,4.58,3.73,3.73,4.46,3.38,4.99,3.72,3.96,4.14,3.18,3.22,2.9,3.02,1.72,1.25,1.15,0.82,0.0,0.0,0.0,0.0,0.21,0.0,0.17,0.0,0.0,0.05,99.99
09/09/2021,9.0,6.47,5.14,5.27,7.05,5.69,6.46,4.65,3.54,3.8,4.38,3.87,4.77,3.53,3.82,4.11,3.3,3.19,2.93,2.86,1.62,1.64,1.35,0.74,0.59,0.0,0.0,0.0,0.2,0.0,0.04,0.0,0.0,0.0,100.01000000000002
09/10/2021,9.05,6.62,5.21,5.13,7.13,5.77,6.25,4.7,3.44,3.81,4.28,3.98,4.76,3.5,3.74,4.5,3.42,3.13,3.03,2.83,1.61,1.67,1.35,0.7,0.16,0.0,0.0,0.0,0.2,0.0,0.04,0.0,0.0,0.0,100.01
09/13/2021,8.9,6.31,5.2,5.11,7.07,5.8,6.38,4.38,3.43,3.89,4.4,3.93,4.91,3.63,3.88,4.26,3.42,3.1,3.09,2.9,1.68,1.81,1.39,0.72,0.14,0.0,0.0,0.0,0.21,0.0,0.04,0.0,0.0,0.0,99.98
09/14/2021,8.88,6.39,5.12,5.04,7.14,5.74,6.41,4.33,3.48,3.83,4.37,3.99,4.91,3.56,3.91,4.69,3.32,3.11,3.11,2.81,1.7,1.71,1.35,0.71,0.14,0.0,0.0,0.0,0.21,0.0,0.04,0.0,0.0,0.0,100.0
09/15/2021,8.72,6.38,5.13,5.0,6.93,5.7,6.44,4.3,3.42,3.84,4.54,3.84,5.0,3.62,3.92,4.7,3.23,3.14,3.16,2.87,1.75,1.84,1.41,0.73,0.14,0.0,0.0,0.0,0.21,0.0,0.05,0.0,0.0,0.0,100.01
09/16/2021,8.72,6.38,5.13,5.0,6.93,5.7,6.44,4.3,3.42,3.84,4.54,3.84,5.0,3.62,3.92,4.7,3.23,3.14,3.16,2.87,1.75,1.84,1.41,0.73,0.14,0.0,0.0,0.0,0.21,0.0,0.05,0.0,0.0,0.0,100.01
09/17/2021,8.89,6.6,5.05,5.24,6.23,5.67,6.43,4.36,3.51,3.86,4.46,3.79,5.14,3.69,3.86,4.67,3.53,3.12,3.06,2.81,1.75,1.78,1.38,0.74,0.15,0.0,0.0,0.0,0.21,0.0,0.05,0.0,0.0,0.0,100.03
09/21/2021,9.24,6.48,4.96,4.97,5.95,5.92,6.49,4.3,3.86,3.65,4.28,3.74,5.17,3.63,4.03,4.61,3.77,2.92,3.05,2.92,1.75,1.68,1.35,0.75,0.26,0.0,0.0,0.0,0.22,0.0,0.05,0.0,0.0,0.0,100.0
09/22/2021,9.24,6.48,4.96,4.97,5.95,5.92,6.49,4.3,3.86,3.65,4.28,3.74,5.17,3.63,4.03,4.61,3.77,2.92,3.05,2.92,1.75,1.68,1.35,0.75,0.26,0.0,0.0,0.0,0.22,0.0,0.05,0.0,0.0,0.0,100.0
09/23/2021,9.77,6.77,4.77,5.11,5.9,5.83,6.42,4.27,4.11,3.73,4.15,3.52,5.1,3.58,3.77,4.44,3.95,2.91,3.05,3.01,1.75,1.69,1.31,0.72,0.15,0.0,0.0,0.0,0.19,0.0,0.05,0.0,0.0,0.0,100.02
10/01/2021,11.27,7.05,6.32,6.08,5.91,4.48,5.76,4.24,7.9,3.27,3.66,1.65,3.98,2.26,1.44,2.8,5.14,3.28,4.41,4.33,1.79,1.56,0.57,0.53,0.17,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,0.0,99.99
10/04/2021,10.62,6.78,6.44,5.96,5.87,4.66,5.86,4.33,7.2,3.81,3.76,1.64,4.09,2.11,1.49,2.85,5.06,3.77,4.38,4.46,1.85,1.67,0.53,0.49,0.18,0.0,0.0,0.0,0.11,0.0,0.05,0.0,0.0,0.0,100.02
10/07/2021,10.59,6.75,6.19,5.61,5.66,4.63,5.59,4.05,6.8,4.01,3.67,1.72,4.16,2.25,1.51,2.9,5.03,3.48,4.5,4.34,1.7,1.61,0.53,0.48,2.1,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,100.01
10/08/2021,10.59,6.75,6.19,5.61,5.66,4.63,5.59,4.05,6.8,4.01,3.67,1.72,4.16,2.25,1.51,2.9,5.03,3.48,4.5,4.34,1.7,1.61,0.53,0.48,2.1,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,100.00999999999999
