,NEA,NVG,NAD,MYI,IQI,MUI,MQY,NMCO,MHD,NZF,NUV,MNP,VGM,VKQ,NMZ,NDMO,BLE,BTT,MQT,HYD,BFK,EVN,BTA,MFL,SBI,NEV,MUE,ETX,EIM,MMD,VPV,NBH,DTF,US Dollar,NIQ,EOT,NID,MHF,IIM,688101.SS,n/a,688001.SS,NXQ,MUA,MUNI,BYM,SUM
09/06/2021,5.04,5.08,4.59,4.01,4.01,3.93,4.01,3.58,3.75,3.42,3.18,3.28,3.28,3.27,3.14,2.95,3.07,2.93,2.88,2.67,2.51,2.28,2.65,2.2,2.13,1.9,1.79,1.31,1.41,1.4,1.2,1.22,1.04,0.0,1.02,0.0,0.97,0.0,1.27,0.0,0.71,0.9,0.0,0.0,0.0,0.0,99.98
09/07/2021,5.04,5.07,4.6,4.0,4.03,3.96,4.02,3.57,3.75,3.42,3.17,3.27,3.28,3.26,3.14,2.94,3.06,2.93,2.88,2.68,2.51,2.27,2.67,2.2,2.13,1.91,1.79,1.32,1.41,1.4,1.2,1.19,1.04,0.0,1.02,0.0,0.97,0.71,1.27,0.0,0.91,0.0,0.0,0.0,0.0,0.0,99.99
09/08/2021,5.04,5.07,4.6,4.0,4.03,3.96,4.02,3.57,3.75,3.42,3.17,3.27,3.28,3.26,3.14,2.94,3.06,2.93,2.88,2.68,2.51,2.27,2.67,2.2,2.13,1.91,1.79,1.32,1.41,1.4,1.2,1.19,1.04,0.0,1.02,0.0,0.97,0.71,1.27,0.0,0.91,0.0,0.0,0.0,0.0,0.0,99.99
09/09/2021,5.04,5.07,4.6,4.0,4.03,3.96,4.02,3.57,3.75,3.42,3.17,3.27,3.28,3.26,3.14,2.94,3.06,2.93,2.88,2.68,2.51,2.27,2.67,2.2,2.13,1.91,1.79,1.32,1.41,1.4,1.2,1.19,1.04,0.0,1.02,0.0,0.97,0.71,1.27,0.0,0.9,0.0,0.0,0.0,0.0,0.0,99.98
09/10/2021,5.04,5.04,4.6,4.02,4.04,3.96,4.01,3.6,3.71,3.42,3.18,3.26,3.27,3.27,3.15,2.94,3.07,2.93,2.86,2.68,2.52,2.26,2.63,2.21,2.13,1.91,1.8,1.29,1.42,1.41,1.21,1.2,1.05,0.0,1.02,0.0,0.97,0.71,1.27,0.0,0.9,0.0,0.0,0.0,0.0,0.0,99.96
09/13/2021,5.08,5.04,4.63,4.0,4.05,3.99,4.03,3.62,3.73,3.44,3.17,3.26,3.29,3.26,3.14,2.98,3.07,2.94,2.88,2.69,2.54,2.28,2.63,2.25,2.16,1.92,1.86,1.29,1.43,1.0,1.21,1.2,1.05,0.0,1.02,0.0,0.98,0.72,1.28,0.0,0.91,0.0,0.0,0.0,0.0,0.0,100.02
09/14/2021,5.06,5.03,4.62,4.0,4.02,3.96,4.01,3.6,3.71,3.43,3.16,3.23,3.28,3.26,3.14,2.94,3.05,2.93,2.9,2.68,2.53,2.25,2.66,2.24,2.15,1.88,1.83,1.28,1.42,0.99,1.2,1.2,1.04,0.0,1.02,0.0,0.97,0.71,1.28,0.0,1.32,0.0,0.0,0.0,0.0,0.0,99.98
09/15/2021,5.06,5.03,4.62,4.0,4.02,3.96,4.01,3.6,3.71,3.43,3.16,3.23,3.28,3.26,3.14,2.94,3.05,2.93,2.9,2.68,2.53,2.25,2.66,2.24,2.15,1.88,1.83,1.28,1.42,0.99,1.2,1.2,1.04,0.0,1.02,0.0,0.97,0.71,1.28,0.0,1.32,0.0,0.0,0.0,0.0,0.0,99.98
09/16/2021,5.09,5.02,4.63,4.02,3.97,3.98,4.02,3.63,3.73,3.43,3.19,3.24,3.25,3.22,3.15,2.94,3.03,2.93,2.9,2.68,2.53,2.24,2.67,2.23,2.15,1.88,1.82,1.28,1.42,0.99,1.2,1.19,1.04,0.0,1.03,0.0,0.98,0.73,1.27,0.0,1.31,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,5.07,5.03,4.63,4.01,3.98,3.98,4.0,3.56,3.73,3.43,3.21,3.23,3.28,3.25,3.14,2.92,3.01,2.93,2.9,2.68,2.53,2.26,2.73,2.22,2.15,1.87,1.81,1.28,1.42,0.99,1.2,1.2,1.03,0.0,1.02,0.0,0.98,0.72,1.28,0.0,1.31,0.0,0.0,0.0,0.0,0.0,99.97
09/20/2021,5.06,5.07,4.61,4.02,3.98,4.0,4.02,3.57,3.74,3.44,3.21,3.22,3.28,3.26,3.12,2.91,3.0,2.92,2.88,2.68,2.52,2.27,2.73,2.22,2.14,1.88,1.81,1.28,1.42,1.0,1.19,1.21,1.03,0.0,1.02,0.0,0.98,0.73,1.28,0.0,1.31,0.0,0.0,0.0,0.0,0.0,100.01
09/21/2021,5.06,5.07,4.61,4.02,3.98,4.0,4.02,3.57,3.74,3.44,3.21,3.22,3.28,3.26,3.12,2.91,3.0,2.92,2.88,2.68,2.52,2.27,2.73,2.22,2.14,1.88,1.81,1.28,1.42,1.0,1.19,1.21,1.03,0.0,1.02,0.0,0.98,0.73,1.28,0.0,1.31,0.0,0.0,0.0,0.0,0.0,100.01
09/22/2021,5.04,5.09,4.59,4.01,3.99,4.0,4.02,3.57,3.73,3.44,3.23,3.22,3.28,3.25,3.12,2.89,3.02,2.92,2.89,2.67,2.53,2.27,2.69,2.22,2.17,1.88,1.81,1.28,1.42,1.0,1.19,1.22,1.03,0.0,1.01,0.0,0.98,0.74,1.28,0.0,1.31,0.0,0.0,0.0,0.0,0.0,100.0
09/23/2021,5.01,5.06,4.58,4.01,4.0,4.01,4.04,3.56,3.72,3.42,3.19,3.23,3.28,3.26,3.13,2.91,3.01,2.92,2.92,2.69,2.53,2.28,2.66,2.19,2.2,1.88,1.81,1.28,1.42,1.0,1.2,1.22,1.04,0.0,1.02,0.0,0.98,0.73,1.27,0.0,1.34,0.0,0.0,0.0,0.0,0.0,100.0
09/24/2021,5.02,5.05,4.58,4.03,4.0,4.0,4.07,3.56,3.71,3.43,3.22,3.24,3.29,3.26,3.13,2.89,3.02,2.92,2.91,2.68,2.52,2.29,2.63,2.2,2.2,1.87,1.81,1.28,1.42,1.0,1.2,1.21,1.03,0.0,1.02,0.0,0.98,0.74,1.27,0.0,1.34,0.0,0.0,0.0,0.0,0.0,100.02
09/27/2021,5.04,5.04,4.58,4.03,4.01,3.99,4.1,3.56,3.74,3.42,3.21,3.23,3.28,3.24,3.01,2.91,3.02,2.9,2.91,2.68,2.51,2.29,2.63,2.2,2.2,1.87,1.81,1.28,1.41,0.99,1.2,1.25,0.93,0.0,1.02,0.0,0.98,0.7,1.27,0.0,1.33,0.0,0.25,0.0,0.0,0.0,100.02
09/28/2021,5.0,4.99,4.55,4.03,3.99,3.98,4.11,3.57,3.76,3.41,3.24,3.23,3.26,3.23,3.0,2.92,3.02,2.91,2.92,2.69,2.52,2.28,2.63,2.19,2.21,1.87,1.78,1.29,1.41,0.99,1.21,1.26,0.5,0.0,1.02,0.0,0.98,0.7,1.27,0.0,1.57,0.0,0.5,0.0,0.0,0.0,99.99
09/29/2021,5.0,4.99,4.55,4.03,3.99,3.98,4.11,3.57,3.76,3.41,3.24,3.23,3.26,3.23,3.0,2.92,3.02,2.91,2.92,2.69,2.52,2.28,2.63,2.19,2.21,1.87,1.78,1.29,1.41,0.99,1.21,1.26,0.5,0.0,1.02,0.0,0.98,0.7,1.27,0.0,1.57,0.0,0.5,0.0,0.0,0.0,99.99
09/30/2021,5.0,4.99,4.55,4.03,3.99,3.98,4.11,3.57,3.76,3.41,3.24,3.23,3.26,3.23,3.0,2.92,3.02,2.91,2.92,2.69,2.52,2.28,2.63,2.19,2.21,1.87,1.78,1.29,1.41,0.99,1.21,1.26,0.5,0.0,1.02,0.0,0.98,0.7,1.27,0.0,1.57,0.0,0.5,0.0,0.0,0.0,99.99
10/01/2021,5.01,5.02,4.54,4.06,4.0,4.0,4.12,3.59,3.75,3.43,3.24,3.21,3.28,3.24,3.02,2.92,3.01,2.91,2.95,2.71,2.51,2.29,2.61,2.19,2.22,1.86,1.79,1.3,1.42,0.99,1.22,1.26,0.5,0.0,1.03,0.0,0.99,0.71,1.27,0.0,1.33,0.0,0.51,0.0,0.0,0.0,100.01
10/04/2021,4.99,4.98,4.55,4.07,3.98,3.93,4.04,3.58,3.73,3.42,3.24,3.26,3.26,3.23,2.76,2.96,2.99,2.95,2.91,2.74,2.48,2.29,2.58,2.21,2.22,1.85,1.77,1.32,1.41,1.0,1.23,1.22,0.51,0.0,1.04,0.0,1.0,0.71,1.26,0.0,1.82,0.0,0.51,0.0,0.0,0.0,100.0
10/05/2021,4.99,4.91,4.56,4.08,3.99,3.94,4.06,3.62,3.76,3.42,3.14,3.26,3.27,3.24,2.77,2.97,3.03,2.96,2.95,2.74,2.5,2.31,2.61,2.23,2.24,1.85,1.81,1.33,1.42,0.99,1.23,1.23,0.51,0.0,1.04,0.0,1.01,0.72,1.26,0.0,1.58,0.0,0.51,0.0,0.0,0.0,100.04000000000002
10/06/2021,4.99,4.91,4.56,4.08,3.99,3.94,4.06,3.62,3.76,3.42,3.14,3.26,3.27,3.24,2.77,2.97,3.03,2.96,2.95,2.74,2.5,2.31,2.61,2.23,2.24,1.85,1.81,1.33,1.42,0.99,1.23,1.23,0.51,0.0,1.04,0.0,1.01,0.72,1.26,0.0,1.58,0.0,0.51,0.0,0.0,0.0,100.04000000000002
10/07/2021,4.99,4.91,4.56,4.08,3.99,3.94,4.06,3.62,3.76,3.42,3.14,3.26,3.27,3.24,2.77,2.97,3.03,2.96,2.95,2.74,2.5,2.31,2.61,2.23,2.24,1.85,1.81,1.33,1.42,0.99,1.23,1.23,0.51,0.0,1.04,0.0,1.01,0.72,1.26,0.0,1.58,0.0,0.51,0.0,0.0,0.0,100.04000000000002
10/08/2021,5.02,4.93,4.55,4.08,3.98,3.98,4.05,3.59,3.79,3.41,2.54,3.29,3.29,3.23,2.78,2.99,3.07,2.99,2.96,2.76,2.5,2.3,2.62,2.26,2.27,1.84,1.8,1.32,1.42,1.0,1.24,1.22,0.25,0.0,1.06,0.0,1.01,0.73,1.24,0.0,1.98,0.0,0.65,0.0,0.0,0.0,99.99
10/11/2021,4.98,4.94,4.53,4.06,3.95,4.01,4.06,3.61,3.76,3.38,2.54,3.24,3.26,3.17,2.78,2.96,3.06,2.98,2.96,2.74,2.49,2.31,2.59,2.24,2.24,1.83,1.8,1.31,1.4,0.98,1.24,1.2,0.25,0.0,1.05,0.0,1.0,0.74,1.23,0.0,2.41,0.0,0.72,0.0,0.0,0.0,100.0
10/12/2021,4.97,5.01,4.53,4.07,3.95,3.93,4.03,3.59,3.75,3.38,2.54,3.23,3.25,3.18,2.76,2.98,3.06,2.97,2.95,2.73,2.49,2.28,2.59,2.22,2.26,1.82,1.79,1.3,1.4,0.98,1.23,1.21,0.25,0.0,1.05,0.0,1.0,0.74,1.22,0.0,2.6,0.0,0.72,0.0,0.0,0.0,100.01
10/13/2021,4.97,5.01,4.53,4.07,3.95,3.93,4.03,3.59,3.75,3.38,2.54,3.23,3.25,3.18,2.76,2.98,3.06,2.97,2.95,2.73,2.49,2.28,2.59,2.22,2.26,1.82,1.79,1.3,1.4,0.98,1.23,1.21,0.25,0.0,1.05,0.0,1.0,0.74,1.22,0.0,2.6,0.0,0.72,0.0,0.0,0.0,100.01
10/14/2021,4.98,5.0,4.51,4.07,3.96,3.93,4.03,3.59,3.75,3.38,2.55,3.23,3.24,3.16,2.77,2.97,3.05,2.96,2.95,2.73,2.5,2.29,2.61,2.22,2.23,1.82,1.8,1.29,1.41,0.98,1.24,1.2,0.25,0.0,1.05,0.0,1.01,0.75,1.24,0.0,2.6,0.0,0.74,0.0,0.0,0.0,100.04
10/15/2021,4.98,5.0,4.51,4.07,3.96,3.93,4.03,3.59,3.75,3.38,2.55,3.23,3.24,3.16,2.77,2.97,3.05,2.96,2.95,2.73,2.5,2.29,2.61,2.22,2.23,1.82,1.8,1.29,1.41,0.98,1.24,1.2,0.25,0.0,1.05,0.0,1.01,0.75,1.24,0.0,2.6,0.0,0.74,0.0,0.0,0.0,100.04
10/18/2021,4.97,5.04,4.53,4.05,3.98,3.99,4.15,3.62,3.79,3.41,2.55,3.27,3.32,3.2,2.76,2.93,3.06,2.99,2.98,2.72,2.55,2.29,2.04,2.22,2.25,1.85,1.83,1.32,1.43,0.98,1.24,1.2,0.0,0.0,1.04,0.0,1.0,0.76,1.24,0.0,2.69,0.0,0.76,0.0,0.0,0.0,100.00000000000004
10/19/2021,4.95,5.08,4.54,4.04,3.98,3.97,4.16,3.62,3.79,3.42,2.55,3.25,3.31,3.19,2.75,2.92,3.07,2.98,2.97,2.72,2.56,2.3,2.09,2.2,2.24,1.85,1.84,1.32,1.42,0.98,1.24,1.18,0.0,0.0,1.05,0.0,1.01,0.77,1.24,0.0,2.69,0.0,0.77,0.0,0.0,0.0,100.01
10/20/2021,4.95,5.08,4.54,4.04,3.98,3.97,4.16,3.62,3.79,3.42,2.55,3.25,3.31,3.19,2.75,2.92,3.07,2.98,2.97,2.72,2.56,2.3,2.09,2.2,2.24,1.85,1.84,1.32,1.42,0.98,1.24,1.18,0.0,0.0,1.05,0.0,1.01,0.77,1.24,0.0,2.69,0.0,0.77,0.0,0.0,0.0,100.01
10/21/2021,4.95,5.08,4.54,4.04,3.98,3.97,4.16,3.62,3.79,3.42,2.55,3.25,3.31,3.19,2.75,2.92,3.07,2.98,2.97,2.72,2.56,2.3,2.09,2.2,2.24,1.85,1.84,1.32,1.42,0.98,1.24,1.18,0.0,0.0,1.05,0.0,1.01,0.77,1.24,0.0,2.69,0.0,0.77,0.0,0.0,0.0,100.01
10/22/2021,4.93,4.95,4.52,4.03,3.98,4.0,4.13,3.58,3.71,3.37,2.25,3.24,3.28,3.2,2.75,2.9,3.03,2.98,2.92,2.72,2.52,2.3,2.01,2.2,2.23,1.82,1.8,1.33,1.42,0.98,1.23,1.19,0.0,0.0,1.03,0.0,1.0,0.77,1.24,0.0,3.44,0.0,1.01,0.0,0.0,0.0,99.99
10/25/2021,4.93,4.98,4.5,4.02,3.97,4.0,4.11,3.57,3.7,3.38,2.24,3.24,3.28,3.21,2.74,2.9,3.03,2.97,2.92,2.72,2.5,2.3,2.0,2.19,2.21,1.82,1.81,1.33,1.42,0.98,1.23,1.19,0.0,0.0,1.04,0.0,1.0,0.76,1.24,0.0,3.58,0.0,1.01,0.0,0.0,0.0,100.02000000000002
10/26/2021,4.93,5.02,4.51,3.99,3.94,4.0,4.13,3.57,3.73,3.41,2.24,3.21,3.26,3.23,2.75,2.89,3.02,2.98,2.91,2.72,2.51,2.28,2.0,2.19,2.2,1.82,1.8,1.34,1.41,0.98,1.23,1.17,0.0,0.0,1.04,0.0,1.01,0.77,1.25,0.0,3.52,0.0,1.02,0.0,0.0,0.0,99.98000000000002
10/27/2021,4.93,5.02,4.51,3.99,3.94,4.0,4.13,3.57,3.73,3.41,2.24,3.21,3.26,3.23,2.75,2.89,3.02,2.98,2.91,2.73,2.51,2.28,2.0,2.19,2.2,1.82,1.81,1.34,1.41,0.98,1.23,1.17,0.0,0.0,1.04,0.0,1.01,0.77,1.25,0.0,3.49,0.0,1.02,0.0,0.0,0.0,99.97
10/28/2021,4.93,5.03,4.51,3.99,3.93,4.04,4.13,3.58,3.7,3.4,2.23,3.22,3.24,3.21,2.74,2.89,3.01,3.0,2.9,2.73,2.51,2.27,2.0,2.22,2.21,1.82,1.82,1.33,1.41,0.98,1.23,1.17,0.0,0.0,1.04,0.0,1.01,0.79,1.25,0.0,3.53,0.0,1.01,0.0,0.0,0.0,100.01000000000002
10/29/2021,4.93,5.03,4.51,3.99,3.93,4.04,4.13,3.58,3.7,3.4,2.23,3.22,3.24,3.21,2.74,2.89,3.01,3.0,2.9,2.73,2.51,2.27,2.0,2.22,2.21,1.82,1.82,1.33,1.41,0.98,1.23,1.17,0.0,0.0,1.04,0.0,1.01,0.79,1.25,0.0,3.53,0.0,1.01,0.0,0.0,0.0,100.01000000000002
11/01/2021,5.01,5.03,4.56,4.02,3.96,4.0,4.06,3.59,3.73,3.42,2.2,3.23,3.23,3.18,2.77,2.89,2.99,3.01,2.86,2.75,2.48,2.26,1.97,2.19,2.21,1.81,1.79,1.36,1.41,0.98,1.24,1.17,0.0,0.0,1.04,0.0,1.01,0.77,1.25,0.0,3.55,0.0,1.01,0.0,0.0,0.0,99.99000000000002
11/02/2021,4.96,5.02,4.54,4.03,3.97,0.0,0.0,3.55,3.71,4.4,0.0,3.23,3.3,3.22,2.74,3.91,0.0,0.0,2.95,3.95,2.52,2.29,0.0,3.48,2.23,3.85,4.27,0.0,1.43,0.97,1.22,1.19,0.0,0.0,1.05,0.0,1.0,0.0,3.0,0.0,3.8,0.0,2.72,3.03,2.98,1.5,100.01
11/03/2021,4.96,5.02,4.54,4.03,3.97,0.0,0.0,3.55,3.71,4.4,0.0,3.23,3.3,3.22,2.74,3.91,0.0,0.0,2.95,3.95,2.52,2.29,0.0,3.48,2.23,3.85,4.27,0.0,1.43,0.97,1.22,1.19,0.0,0.0,1.05,0.0,1.0,0.0,3.0,0.0,3.8,0.0,2.72,3.03,2.98,1.5,100.01
11/04/2021,4.96,5.02,4.54,4.03,3.97,0.0,0.0,3.55,3.71,4.4,0.0,3.23,3.3,3.22,2.74,3.91,0.0,0.0,2.95,3.95,2.52,2.29,0.0,3.48,2.23,3.85,4.27,0.0,1.43,0.97,1.22,1.19,0.0,0.0,1.05,0.0,1.0,0.0,3.0,0.0,3.8,0.0,2.72,3.03,2.98,1.5,100.01
11/05/2021,4.96,5.03,4.57,4.03,4.0,0.0,0.0,3.58,3.75,4.43,0.0,3.26,3.31,3.25,2.73,3.91,0.0,0.0,2.98,3.89,2.51,2.29,0.0,3.48,2.22,3.84,4.23,0.0,1.42,0.96,1.21,1.18,0.0,0.0,1.04,0.0,1.0,0.0,2.98,0.0,3.46,0.0,3.04,3.03,2.94,1.49,100.0
11/08/2021,4.95,5.02,4.57,4.02,3.99,0.0,0.0,3.54,3.76,4.43,0.0,3.25,3.33,3.23,2.71,3.91,0.0,0.0,2.98,3.9,2.5,2.29,0.0,3.49,2.23,3.8,4.24,0.0,1.42,0.96,1.21,1.18,0.0,0.0,1.03,0.0,0.99,0.0,2.99,0.0,3.56,0.0,3.01,3.06,2.95,1.49,99.99
