,IBE.MC,SAN.MC,ITX.MC,CLNX.MC,BBVA.MC,FER.MC,AMS.MC,TEF.MC,REP.MC,CABK.MC,AENA.MC,SGRE.MC,NTGY.MC,GRF.MC,ELE.MC,ACS.MC,REE.MC,ENG.MC,EUR,XTSLA,ACSDE,WFFUT,IBN1,EUR.1,MARGIN_USD,EUR.2,IBE/D.MC,-,IBQ1,IBU1,IBV1,IBX1,USD,FER.D.MC,SUM
09/27/2021,17.13,15.7,5.05,4.62,10.94,4.88,5.02,4.4,5.28,4.43,4.07,2.65,3.08,2.99,3.02,2.78,2.31,1.48,0.14,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.43
09/28/2021,16.96,15.76,4.99,4.49,11.11,4.94,5.12,4.43,5.29,4.44,4.14,2.63,3.06,2.95,3.02,2.77,2.28,1.45,0.14,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.43
09/30/2021,16.65,16.03,5.0,4.24,11.16,5.01,5.21,4.44,5.33,4.53,4.17,2.6,3.03,2.95,2.99,2.79,2.25,1.44,0.14,0.44,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.41
10/01/2021,16.64,15.77,4.95,4.18,11.23,4.92,5.16,4.52,5.48,4.47,4.27,2.57,3.11,2.98,3.02,2.8,2.28,1.46,0.14,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.41
10/25/2021,17.68,16.67,4.89,4.33,11.0,5.02,5.03,4.07,5.59,4.26,4.11,2.49,2.11,2.73,3.14,2.67,2.49,1.59,0.07,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,99.99
10/26/2021,17.67,16.57,4.83,4.33,11.09,5.1,4.96,4.07,5.62,4.25,4.16,2.48,2.09,2.71,3.15,2.68,2.5,1.61,0.07,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,99.99
10/27/2021,17.67,16.57,4.83,4.33,11.09,5.1,4.96,4.07,5.62,4.25,4.16,2.48,2.09,2.71,3.15,2.68,2.5,1.61,0.07,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,99.99
10/28/2021,17.52,16.73,4.81,4.27,11.1,5.09,4.93,4.11,5.71,4.35,4.08,2.46,2.08,2.74,3.14,2.65,2.51,1.6,0.07,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0,99.99
10/29/2021,17.78,16.75,4.79,4.24,10.96,5.07,5.04,4.06,5.59,4.31,4.11,2.5,2.1,2.7,3.17,2.64,2.48,1.59,0.07,0.45,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,100.0
11/02/2021,18.2,16.21,4.8,4.13,11.58,5.02,5.08,3.98,5.31,4.08,4.06,2.6,2.11,2.6,3.21,2.58,2.51,1.57,0.31,0.45,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,100.02
11/03/2021,18.2,16.21,4.8,4.13,11.58,5.02,5.08,3.98,5.31,4.08,4.06,2.6,2.11,2.6,3.21,2.58,2.51,1.57,0.31,0.45,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,100.02
11/04/2021,18.1,16.31,4.86,4.07,11.84,5.04,5.02,3.98,5.22,4.02,4.12,2.52,2.13,2.57,3.19,2.59,2.5,1.56,0.32,0.44,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,100.03
11/05/2021,18.23,16.19,4.85,4.06,11.7,5.06,5.08,3.95,5.2,4.08,4.13,2.45,2.14,2.59,3.23,2.57,2.52,1.58,0.32,0.45,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42,0.0,100.0
11/08/2021,18.31,16.12,4.98,4.17,11.62,5.01,5.23,3.9,5.18,4.07,4.22,2.17,2.19,2.5,3.2,2.55,2.58,1.64,0.32,0.46,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.49,0.06,100.03000000000002
11/11/2021,18.11,16.06,4.85,4.14,11.54,5.04,5.49,3.98,5.21,4.07,4.31,2.28,2.15,2.42,3.16,2.64,2.54,1.63,0.27,0.45,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,0.06,99.99999999999999
