,PDCE,RRC,MTDR,SWN,HP,CPE,SM,REGI,PTEN,CLB,OII,GPRE,PBF,DRQ,AROC,BOOM,BCEI,SLCA,LPI,HLX,PUMP,NBR,PARR,VTOL,CEIX,TALO,OIS,REX,LPG,PVAC,RES,AGPXX,NBRWF,Cash/Receivables/Payables,AP4.SI,INT,003000.KS,n/a,4300.SR,SUM
09/03/2021,9.81,8.98,7.47,6.99,6.87,3.7,4.65,3.84,3.63,3.05,3.06,4.11,2.49,2.15,2.48,1.88,1.84,1.63,1.3,1.33,1.58,1.37,1.83,1.82,1.72,0.99,0.9,1.12,0.9,0.79,0.56,0.06,0.0,0.0,0.0,5.11,0.0,0.0,0.0,100.01
09/06/2021,9.88,9.87,7.25,7.26,6.77,3.55,4.74,3.63,3.62,3.01,3.08,4.14,2.27,2.1,2.42,1.84,1.87,1.61,1.37,1.31,1.55,1.34,1.71,1.9,1.79,1.0,0.88,1.05,0.89,0.75,0.57,0.0,0.0,0.0,0.0,4.99,0.0,-0.01,0.0,100.0
09/07/2021,9.83,10.28,7.13,7.56,6.65,3.54,4.65,3.6,3.53,3.0,3.14,4.01,2.24,2.09,2.42,1.81,1.9,1.61,1.39,1.3,1.54,1.32,1.64,1.95,1.79,0.98,0.87,1.03,0.89,0.74,0.57,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0
09/08/2021,9.83,10.28,7.13,7.56,6.65,3.54,4.65,3.6,3.53,3.0,3.14,4.01,2.24,2.09,2.42,1.81,1.9,1.61,1.39,1.3,1.54,1.32,1.64,1.95,1.79,0.98,0.87,1.03,0.89,0.74,0.57,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,100.0
09/10/2021,9.62,9.95,7.13,7.53,6.78,3.52,4.61,3.6,3.53,2.94,3.17,4.19,2.36,2.06,2.39,1.84,1.91,1.58,1.37,1.31,1.54,1.36,1.68,2.0,1.89,0.98,0.88,1.03,0.87,0.74,0.57,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,100.01
09/13/2021,9.65,10.37,7.27,7.78,6.73,3.55,4.7,3.55,3.56,2.95,3.0,4.06,2.22,1.98,2.3,1.84,2.03,1.52,1.43,1.23,1.49,1.34,1.61,1.93,1.87,0.98,0.83,1.03,0.85,0.74,0.55,0.08,0.0,0.0,0.0,4.97,0.0,0.0,0.0,99.99
09/14/2021,9.61,10.39,7.26,7.53,6.69,3.49,4.71,3.5,3.56,3.01,3.01,4.06,2.24,2.03,2.32,1.83,2.03,1.5,1.47,1.23,1.48,1.35,1.62,1.93,2.05,0.97,0.84,1.03,0.83,0.76,0.55,0.08,0.0,0.0,0.0,5.04,0.0,0.0,0.0,100.0
09/15/2021,9.61,10.39,7.26,7.53,6.69,3.49,4.71,3.5,3.56,3.01,3.01,4.06,2.24,2.03,2.32,1.83,2.03,1.5,1.47,1.23,1.48,1.35,1.62,1.93,2.05,0.97,0.84,1.03,0.83,0.76,0.55,0.08,0.0,0.0,0.0,5.04,0.0,0.0,0.0,100.0
09/16/2021,9.43,10.62,7.19,7.51,6.58,3.58,4.73,3.63,3.73,2.98,3.07,3.95,2.31,2.07,2.32,1.81,1.96,1.57,1.48,1.31,1.53,1.32,1.61,1.83,1.93,1.01,0.87,1.0,0.8,0.74,0.6,0.08,0.0,0.0,0.0,4.86,0.0,0.0,0.0,100.01
09/17/2021,9.32,10.9,7.23,7.65,6.54,3.53,4.76,3.66,3.66,2.98,3.12,3.8,2.27,2.12,2.36,1.8,1.97,1.51,1.44,1.29,1.54,1.28,1.62,1.84,1.91,0.99,0.85,0.95,0.77,0.75,0.59,0.08,0.0,0.0,0.0,4.9,0.0,0.0,0.0,99.98
09/20/2021,9.83,11.19,7.53,7.29,6.34,3.86,5.12,3.58,3.5,2.86,3.01,3.88,2.24,2.0,2.31,1.74,1.93,1.43,1.58,1.24,1.48,1.27,1.55,1.75,1.79,0.98,0.83,0.92,0.74,0.76,0.57,0.06,0.0,0.0,0.0,4.83,0.0,0.0,0.0,99.99
09/21/2021,9.83,11.19,7.53,7.29,6.34,3.86,5.12,3.58,3.5,2.86,3.01,3.88,2.24,2.0,2.31,1.74,1.93,1.43,1.58,1.24,1.48,1.27,1.55,1.75,1.79,0.98,0.83,0.92,0.74,0.76,0.57,0.06,0.0,0.0,0.0,4.83,0.0,0.0,0.0,99.99
09/22/2021,9.78,11.0,7.57,7.21,6.3,3.87,5.15,3.61,3.48,2.88,2.97,3.85,2.37,2.03,2.41,1.74,1.95,1.4,1.64,1.25,1.51,1.27,1.56,1.72,1.73,0.98,0.84,0.92,0.73,0.77,0.55,0.06,0.0,0.0,0.0,4.9,0.0,0.0,0.0,100.0
09/23/2021,9.33,10.89,7.25,7.33,6.2,3.22,4.88,4.73,3.31,2.94,2.77,4.14,2.16,1.92,2.35,1.63,3.09,1.31,2.21,1.15,1.44,1.43,1.54,1.64,1.74,1.16,0.79,0.95,0.73,0.71,0.64,0.07,0.0,0.0,0.0,4.34,0.0,0.0,0.0,99.99
09/24/2021,9.2,10.65,7.4,7.11,6.18,3.3,4.87,4.87,3.38,2.91,2.78,4.23,2.26,1.88,2.37,1.56,3.14,1.28,2.24,1.15,1.42,1.41,1.53,1.64,1.74,1.17,0.78,0.97,0.75,0.71,0.64,0.11,0.0,0.0,0.0,4.37,0.0,0.0,0.0,100.0
09/27/2021,9.64,10.71,7.82,6.86,6.01,3.44,5.04,4.54,3.49,2.69,2.8,3.7,2.55,1.87,2.31,1.48,3.02,1.23,2.39,1.17,1.44,1.45,1.54,1.58,1.72,1.22,0.81,0.92,0.73,0.76,0.63,0.13,0.0,0.0,0.0,4.29,0.0,0.0,0.0,99.98
09/28/2021,9.65,11.02,7.67,6.79,6.04,3.62,5.09,4.37,3.51,2.72,2.79,3.63,2.51,1.85,2.26,1.49,3.05,1.22,2.39,1.16,1.46,1.5,1.52,1.55,1.68,1.21,0.8,0.93,0.74,0.77,0.66,0.13,0.0,0.0,0.0,4.22,0.0,0.0,0.0,100.0
09/29/2021,9.65,11.02,7.67,6.79,6.04,3.62,5.09,4.37,3.51,2.72,2.79,3.63,2.51,1.85,2.26,1.49,3.05,1.22,2.39,1.16,1.46,1.5,1.52,1.55,1.68,1.21,0.8,0.93,0.74,0.77,0.66,0.13,0.0,0.0,0.0,4.22,0.0,0.0,0.0,100.0
09/30/2021,9.6,11.13,7.69,7.68,5.79,3.74,5.16,4.27,3.47,2.69,2.74,3.58,2.63,1.78,2.2,1.44,2.92,1.22,2.43,1.14,1.45,1.47,1.52,1.48,1.63,1.14,0.81,0.87,0.7,0.73,0.68,0.12,0.0,0.0,0.0,4.12,0.0,0.0,0.0,100.02
10/01/2021,9.48,10.95,7.99,7.68,5.84,3.77,5.07,4.33,3.48,2.7,2.78,3.52,2.54,1.78,2.23,1.42,2.93,1.23,2.4,1.16,1.49,1.49,1.5,1.47,1.67,1.12,0.81,0.85,0.7,0.74,0.69,0.12,0.0,0.0,0.0,4.07,0.0,0.0,0.0,100.0
10/07/2021,8.45,11.68,8.24,6.92,6.03,4.07,5.43,4.25,3.57,2.61,2.84,3.51,2.62,1.77,2.21,1.4,2.95,1.32,2.27,1.18,1.6,1.61,1.43,1.48,1.95,1.09,0.81,0.82,0.68,0.95,0.73,0.0,0.0,0.0,0.0,3.53,0.0,-0.01,0.0,99.99
10/08/2021,8.47,11.66,8.3,6.95,6.2,4.22,5.49,4.34,3.51,2.56,2.84,3.52,2.41,1.75,2.21,1.39,2.9,1.32,2.23,1.18,1.6,1.59,1.37,1.48,2.0,1.1,0.81,0.81,0.69,0.88,0.71,0.0,0.0,0.0,0.0,3.56,0.0,-0.01,0.0,100.04
10/11/2021,8.71,11.16,8.37,6.57,6.11,4.3,5.7,4.42,3.33,2.55,2.69,3.51,2.64,1.74,2.17,1.39,2.98,1.4,2.39,1.14,1.6,1.58,1.33,1.48,2.07,1.06,0.78,0.84,0.68,0.93,0.71,0.0,0.0,0.0,0.0,3.69,0.0,-0.01,0.0,100.01
10/12/2021,8.76,11.11,8.48,6.34,6.08,4.32,5.62,4.37,3.26,2.66,2.76,3.56,2.56,1.8,2.18,1.41,2.96,1.42,2.31,1.17,1.6,1.63,1.33,1.5,2.04,1.04,0.81,0.83,0.67,0.97,0.74,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,100.0
10/13/2021,8.76,11.11,8.48,6.34,6.08,4.32,5.62,4.37,3.26,2.66,2.76,3.56,2.56,1.8,2.18,1.41,2.96,1.42,2.31,1.17,1.6,1.63,1.33,1.5,2.04,1.04,0.81,0.83,0.67,0.97,0.74,0.0,0.0,0.0,0.0,3.71,0.0,0.0,0.0,100.0
10/14/2021,8.95,10.99,8.6,6.26,6.08,4.28,5.68,4.43,3.22,2.62,2.74,3.55,2.6,1.78,2.19,1.44,2.93,1.38,2.25,1.15,1.6,1.65,1.33,1.5,2.04,1.06,0.79,0.83,0.67,0.98,0.74,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,99.98
10/15/2021,9.04,11.0,8.58,6.2,6.16,4.21,5.5,4.36,3.18,2.73,2.76,3.56,2.66,1.76,2.21,1.49,3.0,1.35,2.14,1.15,1.6,1.68,1.35,1.52,1.98,1.03,0.79,0.86,0.68,0.97,0.76,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0,99.99
10/18/2021,9.05,11.31,8.36,6.35,6.29,3.94,5.41,4.38,3.19,2.76,2.82,3.6,2.81,1.72,2.2,1.43,3.01,1.42,1.94,1.14,1.61,1.74,1.42,1.53,1.92,0.97,0.79,0.87,0.65,0.91,0.75,0.0,0.0,0.0,0.0,3.72,0.0,0.0,0.0,100.01
10/21/2021,9.04,11.12,8.71,5.95,6.69,3.9,5.5,4.29,3.34,2.62,2.93,3.53,2.74,1.68,2.14,1.34,3.1,1.39,1.87,1.15,1.62,1.83,1.4,1.52,2.12,0.95,0.8,0.85,0.66,0.88,0.74,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,100.03
10/22/2021,8.97,11.3,8.55,6.08,6.77,3.9,5.52,4.41,3.28,2.58,2.83,3.62,2.79,1.63,2.15,1.37,3.11,1.45,1.83,1.13,1.62,1.82,1.42,1.52,1.85,0.95,0.78,0.86,0.67,0.88,0.72,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,99.98
10/25/2021,9.14,11.13,8.67,6.09,6.73,3.73,5.49,4.42,3.28,2.48,2.8,3.67,2.76,1.67,2.2,1.39,3.18,1.52,1.88,1.1,1.62,1.8,1.43,1.54,1.79,0.96,0.78,0.85,0.65,0.94,0.74,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,100.02
10/26/2021,9.28,11.45,8.6,6.06,6.58,3.72,5.58,4.58,3.2,2.42,2.85,3.61,2.73,1.64,2.14,1.45,3.19,1.51,2.0,1.08,1.6,1.73,1.39,1.54,1.76,0.96,0.75,0.82,0.63,0.93,0.74,0.0,0.0,0.0,0.0,3.49,0.0,-0.02,0.0,99.99
10/28/2021,9.18,11.8,8.54,6.31,6.34,3.86,5.73,4.56,3.21,2.33,2.79,3.54,2.73,1.6,2.08,1.41,3.16,1.47,2.08,1.05,1.56,1.71,1.4,1.53,1.73,0.98,0.74,0.82,0.62,0.91,0.72,0.0,0.0,0.0,0.0,3.53,0.0,-0.02,0.0,100.00000000000001
