,EC,CIB,ISA.BC,BCOLOMBIA.BC,NUTRESA.BC,GEB.BC,PFDAVVNDA.BC,CEMARGOS.BC,CORFICOLCF.BC,GRUPOSURA.BC,AVAL,TGLS,CELSIA.BC,GRUPOARGOS.BC,BOGOTA.BC,CNE.TO,PXT.TO,COPEC.SN,TIGO SS,ENELAM.SN,PFGRUPOA CB,PFAVAL CB,MINEROS.BC,PFCORCOL CB,PFGRUPSU CB,CASH,n/a,TIGO.ST,PFGRUPOA.BC,PFAVAL.BC,PFCORCOL.BC,PFGRUPSU.BC,FRGXX,SUM
09/15/2021,12.6,14.44,9.9,7.59,4.27,4.58,4.49,4.02,3.71,3.77,3.4,3.45,3.1,4.39,2.64,2.49,2.13,2.1,1.91,1.86,0.0,1.07,1.2,0.0,0.83,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,12.81,14.28,9.86,7.5,4.21,4.67,4.46,4.05,3.7,3.68,3.39,3.58,3.11,4.35,2.65,2.53,2.19,2.07,1.92,1.86,0.0,1.08,1.18,0.0,0.83,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,12.7,14.33,9.84,7.59,4.29,4.66,4.47,4.07,3.72,3.73,3.4,3.4,3.09,4.26,2.69,2.54,2.17,2.09,1.93,1.88,0.0,1.08,1.2,0.0,0.83,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/20/2021,12.9,14.26,9.88,7.54,4.22,4.59,4.5,4.02,3.69,3.77,3.39,3.48,3.07,4.23,2.73,2.51,2.25,2.14,1.86,1.84,0.0,1.07,1.15,0.0,0.84,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/21/2021,12.9,14.26,9.88,7.54,4.22,4.59,4.5,4.02,3.69,3.77,3.39,3.48,3.07,4.23,2.73,2.51,2.25,2.14,1.86,1.84,0.0,1.07,1.15,0.0,0.84,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/22/2021,12.65,14.27,10.03,7.59,4.23,4.53,4.39,4.06,3.75,3.79,3.43,3.49,3.14,4.27,2.7,2.53,2.16,2.15,1.86,1.85,0.0,1.09,1.17,0.0,0.84,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/23/2021,12.65,14.44,10.03,7.6,4.22,4.59,4.44,4.08,3.78,3.77,3.41,3.36,3.11,4.29,2.73,2.52,2.11,2.05,1.87,1.82,0.0,1.08,1.18,0.0,0.84,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/24/2021,12.75,14.28,9.97,7.56,4.3,4.66,4.35,4.03,3.8,3.84,3.39,3.29,3.13,4.31,2.74,2.63,2.14,2.01,1.87,1.83,0.0,1.07,1.17,0.0,0.84,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/27/2021,12.87,14.29,9.73,7.46,4.23,4.61,4.42,3.98,3.72,3.75,3.36,3.49,3.18,4.25,2.72,2.68,2.32,2.02,1.89,1.91,0.0,1.07,1.17,0.0,0.83,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/28/2021,12.87,14.29,9.73,7.46,4.23,4.61,4.42,3.98,3.72,3.75,3.36,3.49,3.18,4.25,2.72,2.68,2.32,2.02,1.89,1.91,0.0,1.07,1.17,0.0,0.83,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,12.68,14.36,9.77,7.53,4.25,4.63,4.42,3.99,3.71,3.73,3.39,3.51,3.11,4.21,2.71,2.68,2.42,2.01,1.88,1.85,0.0,1.07,1.19,0.0,0.82,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/30/2021,13.01,14.73,9.69,7.71,4.16,4.58,4.46,3.94,3.62,3.74,3.32,3.4,3.09,4.22,2.66,2.58,2.38,1.91,1.84,1.77,0.0,1.06,1.17,0.0,0.83,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,100.03
10/01/2021,14.48,13.69,10.87,7.33,4.22,4.44,4.1,4.07,3.64,3.34,3.15,3.26,3.17,2.79,2.68,2.61,2.02,1.85,0.0,1.66,0.0,0.0,0.86,0.0,0.0,0.0,0.0,1.85,1.37,1.05,0.74,0.73,0.27,100.24
10/04/2021,13.18,14.75,9.65,7.79,4.15,4.57,4.52,3.93,3.62,3.87,3.29,3.33,3.04,4.3,2.6,2.49,2.38,1.85,1.8,1.65,0.0,1.05,1.18,0.0,0.83,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/05/2021,13.18,14.75,9.65,7.79,4.15,4.57,4.52,3.93,3.62,3.87,3.29,3.33,3.04,4.3,2.6,2.49,2.38,1.85,1.8,1.65,0.0,1.05,1.18,0.0,0.83,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/06/2021,13.25,14.7,9.63,7.74,4.11,4.56,4.49,3.93,3.62,3.9,3.3,3.39,3.02,4.34,2.61,2.52,2.37,1.86,1.78,1.65,0.0,1.05,1.19,0.0,0.83,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/07/2021,13.41,14.59,9.65,7.76,4.1,4.57,4.43,3.94,3.6,3.89,3.27,3.31,3.02,4.36,2.58,2.65,2.44,1.78,1.79,1.6,0.0,1.04,1.2,0.0,0.83,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/08/2021,13.38,14.68,9.49,7.68,4.08,4.56,4.41,3.96,3.62,3.96,3.31,3.35,3.03,4.31,2.55,2.75,2.49,1.76,1.78,1.59,0.0,1.04,1.2,0.0,0.84,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/11/2021,13.41,14.48,9.36,7.7,4.08,4.51,4.42,4.06,3.59,3.88,3.28,3.86,3.03,4.31,2.6,2.92,2.5,1.64,1.68,1.6,0.0,1.04,1.17,0.0,0.83,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.01
10/12/2021,13.41,14.48,9.36,7.7,4.08,4.51,4.42,4.06,3.59,3.88,3.28,3.86,3.03,4.31,2.6,2.92,2.5,1.64,1.68,1.6,0.0,1.04,1.17,0.0,0.83,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999999
