,EAGG,ESGU,ESGD,ESGE,ESML,XTSLA,127.HK,n/a,USD,SUM
10/06/2021,59.67,22.89,9.79,4.5,2.81,0.17,0.0,0.15,0.0,99.98
10/07/2021,59.95,22.71,9.74,4.46,2.81,0.17,0.0,0.15,0.0,99.99
10/08/2021,59.95,22.71,9.74,4.46,2.81,0.17,0.0,0.15,0.0,99.99
10/11/2021,59.69,23.0,9.72,4.47,2.8,0.17,0.0,0.15,0.0,100.0
10/12/2021,59.48,23.17,9.8,4.57,2.83,0.0,0.0,0.15,0.0,100.0
10/13/2021,59.48,23.17,9.8,4.57,2.83,0.0,0.0,0.15,0.0,100.0
10/14/2021,59.48,23.17,9.8,4.57,2.83,0.0,0.0,0.15,0.0,100.0
10/15/2021,59.57,23.1,9.8,4.57,2.82,0.0,0.0,0.15,0.0,100.01
10/18/2021,59.57,23.1,9.8,4.57,2.82,0.0,0.0,0.15,0.0,100.01
10/19/2021,59.04,23.4,9.94,4.63,2.84,0.0,0.0,0.15,0.0,100.0
10/20/2021,59.04,23.4,9.94,4.63,2.84,0.0,0.0,0.0,0.15,100.0
10/21/2021,59.01,23.49,9.88,4.63,2.84,0.0,0.0,0.0,0.14,99.99
10/22/2021,58.77,23.62,9.94,4.68,2.85,0.0,0.0,0.15,0.0,100.01
10/25/2021,58.64,23.77,9.93,4.64,2.88,0.0,0.0,0.0,0.14,100.0
10/26/2021,58.67,23.7,9.98,4.63,2.88,0.0,0.0,0.0,0.14,100.0
10/27/2021,58.67,23.7,9.98,4.63,2.88,0.0,0.0,0.0,0.14,100.0
10/28/2021,58.62,23.77,9.94,4.64,2.89,0.0,0.0,0.0,0.14,100.0
10/29/2021,58.63,23.79,9.96,4.61,2.87,0.0,0.0,0.0,0.14,100.0
11/01/2021,58.62,23.83,9.99,4.56,2.85,0.0,0.0,0.0,0.14,99.98999999999998
11/02/2021,59.99,23.18,9.57,4.39,2.85,0.0,0.0,0.0,0.03,100.01
11/03/2021,59.99,23.18,9.57,4.39,2.85,0.0,0.0,0.0,0.03,100.01
11/04/2021,59.55,23.06,9.59,4.39,2.9,0.17,0.0,0.0,0.35,100.01
11/05/2021,59.53,23.13,9.58,4.35,2.9,0.17,0.0,0.0,0.34,100.0
11/08/2021,59.34,23.28,9.61,4.34,2.93,0.34,0.0,0.0,0.17,100.01000000000002
11/09/2021,59.4,23.24,9.58,4.32,2.95,0.34,0.0,0.0,0.17,100.0
11/10/2021,59.4,23.24,9.58,4.32,2.95,0.34,0.0,0.0,0.17,100.0
11/11/2021,59.31,23.28,9.58,4.36,2.95,0.34,0.0,0.0,0.17,99.99
11/12/2021,59.43,23.21,9.56,4.35,2.95,0.51,0.0,0.0,0.0,100.01
11/15/2021,59.4,23.17,9.54,4.43,2.94,0.51,0.0,0.0,0.0,99.99
11/16/2021,59.4,23.17,9.54,4.43,2.94,0.51,0.0,0.0,0.0,99.99
11/17/2021,59.24,23.31,9.57,4.43,2.94,0.51,0.0,0.0,0.0,100.0
11/18/2021,59.18,23.37,9.57,4.42,2.94,0.51,0.0,0.0,0.0,99.99
11/19/2021,59.1,23.47,9.55,4.43,2.95,0.51,0.0,0.0,0.0,100.01
11/22/2021,59.1,23.47,9.55,4.43,2.95,0.51,0.0,0.0,0.0,100.01
11/23/2021,59.1,23.47,9.55,4.43,2.95,0.51,0.0,0.0,0.0,100.01
11/24/2021,59.4,23.41,9.45,4.34,2.88,0.51,0.0,0.0,0.0,99.99
11/25/2021,59.39,23.42,9.44,4.34,2.89,0.51,0.0,0.0,0.0,99.99
11/26/2021,59.32,23.48,9.45,4.34,2.89,0.52,0.0,0.0,0.0,100.0
11/29/2021,59.37,23.52,9.37,4.33,2.89,0.52,0.0,0.0,0.0,100.0
11/30/2021,60.14,23.12,9.19,4.22,2.81,0.52,0.0,0.0,0.0,100.0
12/01/2021,60.14,23.12,9.19,4.22,2.81,0.52,0.0,0.0,0.0,100.0
12/02/2021,59.94,23.34,9.19,4.21,2.8,0.52,0.0,0.0,0.0,100.0
12/06/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/07/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/08/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/09/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/10/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/13/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/14/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/15/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/16/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/17/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/20/2021,60.19,23.03,9.21,4.28,2.76,0.52,0.0,0.0,0.0,99.99
12/21/2021,60.08,23.04,9.15,4.11,2.73,0.52,0.0,0.38,0.0,100.01
12/22/2021,60.08,23.04,9.15,4.11,2.73,0.52,0.0,0.38,0.0,100.01
12/23/2021,60.28,22.89,9.17,4.06,2.69,0.69,0.0,0.21,0.0,99.99
12/24/2021,59.85,23.17,9.23,4.11,2.76,0.69,0.0,0.21,0.0,100.02
12/27/2021,59.79,23.51,9.36,4.14,2.8,0.86,0.0,-0.46,0.0,100.0
12/28/2021,59.79,23.51,9.36,4.14,2.8,0.86,0.0,-0.46,0.0,100.0
12/29/2021,59.79,23.51,9.36,4.14,2.8,0.86,0.0,-0.46,0.0,100.0
12/30/2021,59.53,23.73,9.39,4.14,2.81,0.86,0.0,-0.46,0.0,100.0
12/31/2021,59.54,23.72,9.4,4.13,2.81,0.86,0.0,-0.46,0.0,100.0
01/03/2022,59.56,23.71,9.36,4.16,2.82,0.86,0.0,-0.47,0.0,100.0
01/03/2022,59.73,23.59,9.34,4.14,2.81,0.34,0.0,0.04,0.0,99.99
01/03/2022,59.73,23.59,9.34,4.14,2.81,0.34,0.0,0.04,0.0,99.99
01/04/2022,59.73,23.59,9.34,4.14,2.81,0.34,0.0,0.04,0.0,99.99
01/05/2022,59.73,23.59,9.34,4.14,2.81,0.34,0.0,0.04,0.0,99.99
01/06/2022,59.29,23.84,9.44,4.19,2.85,0.34,0.0,0.04,0.0,99.99
01/07/2022,59.29,23.79,9.5,4.17,2.86,0.34,0.0,0.04,0.0,99.99
01/10/2022,59.65,23.51,9.46,4.16,2.82,0.35,0.0,0.04,0.0,99.99
01/11/2022,59.68,23.43,9.5,4.21,2.8,0.35,0.0,0.04,0.0,100.01
01/12/2022,59.68,23.43,9.5,4.21,2.8,0.35,0.0,0.04,0.0,100.01
01/13/2022,59.67,23.49,9.43,4.22,2.8,0.35,0.0,0.04,0.0,100.0
01/14/2022,59.43,23.57,9.49,4.3,2.81,0.35,0.0,0.04,0.0,99.99
01/17/2022,59.65,23.32,9.53,4.32,2.79,0.35,0.0,0.04,0.0,100.0
