,QQQ,XLK,FDN,IWO,iShares Core S&P Small-Cap ETF,ACO.X.TO,Cash,Fidelity Instl Mmkt Govt 57,VTI,VNQ,IJR,BLV,n/a,IYW,GLD,SUM
11/04/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
11/05/2021,39.13,30.57,17.2,0.0,0.0,0.0,0.0,0.0,7.37,0.0,3.55,0.0,2.19,0.0,0.0,100.01
11/08/2021,39.83,30.66,16.68,0.0,0.0,0.0,0.0,0.0,7.25,0.0,3.52,0.0,2.06,0.0,0.0,100.0
11/09/2021,39.73,30.72,16.66,0.0,0.0,0.0,0.0,0.0,7.26,0.0,3.59,0.0,2.05,0.0,0.0,100.01
11/10/2021,39.73,30.72,16.66,0.0,0.0,0.0,0.0,0.0,7.26,0.0,3.59,0.0,2.05,0.0,0.0,100.01
11/11/2021,39.6,30.83,16.7,0.0,0.0,0.0,0.0,0.0,7.26,0.0,3.58,0.0,2.03,0.0,0.0,100.0
11/12/2021,39.5,30.83,16.76,0.0,0.0,0.0,0.0,0.0,7.27,0.0,3.59,0.0,2.06,0.0,0.0,100.01
11/15/2021,38.98,30.83,16.63,3.04,0.0,0.0,0.0,0.0,5.17,3.27,0.0,0.0,2.09,0.0,0.0,100.01
11/16/2021,38.98,30.83,16.63,3.04,0.0,0.0,0.0,0.0,5.17,3.27,0.0,0.0,2.09,0.0,0.0,100.01
11/17/2021,38.98,30.83,16.63,3.04,0.0,0.0,0.0,0.0,5.17,3.27,0.0,0.0,2.09,0.0,0.0,100.01
11/18/2021,38.98,30.83,16.63,3.04,0.0,0.0,0.0,0.0,5.17,3.27,0.0,0.0,2.09,0.0,0.0,100.01
11/19/2021,38.89,30.95,16.78,3.0,0.0,0.0,0.0,0.0,5.12,3.2,0.0,0.0,2.05,0.0,0.0,99.99
11/22/2021,38.89,30.95,16.78,3.0,0.0,0.0,0.0,0.0,5.12,3.2,0.0,0.0,2.05,0.0,0.0,99.99
11/23/2021,38.89,30.95,16.78,3.0,0.0,0.0,0.0,0.0,5.12,3.2,0.0,0.0,2.05,0.0,0.0,99.99
11/24/2021,39.31,31.21,16.29,2.9,0.0,0.0,0.0,0.0,5.06,3.18,0.0,0.0,2.04,0.0,0.0,99.99000000000002
11/25/2021,39.38,31.28,16.05,2.9,0.0,0.0,0.0,0.0,5.1,3.2,0.0,0.0,2.07,0.0,0.0,99.98
11/26/2021,39.38,31.35,15.93,2.89,0.0,0.0,0.0,0.0,5.13,3.24,0.0,0.0,2.07,0.0,0.0,99.98999999999998
11/29/2021,39.26,31.39,16.0,2.89,0.0,0.0,0.0,0.0,5.12,3.26,0.0,0.0,2.07,0.0,0.0,99.99
11/30/2021,39.31,31.24,16.17,2.84,0.0,0.0,0.0,0.0,5.11,3.24,0.0,0.0,2.09,0.0,0.0,100.0
12/01/2021,39.31,31.24,16.17,2.84,0.0,0.0,0.0,0.0,5.11,3.24,0.0,0.0,2.09,0.0,0.0,100.0
12/02/2021,39.43,31.43,16.0,2.79,0.0,0.0,0.0,0.0,5.06,3.2,0.0,0.0,2.08,0.0,0.0,99.99
12/06/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/07/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/08/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/09/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/10/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/13/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/14/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/15/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/16/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/17/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/20/2021,39.39,31.77,15.56,2.8,0.0,0.0,0.0,0.0,5.09,3.26,0.0,0.0,2.13,0.0,0.0,100.0
12/21/2021,39.35,29.98,17.43,3.79,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,2.19,0.0,0.0,100.0
12/22/2021,39.35,29.98,17.43,3.79,0.0,0.0,0.0,0.0,7.26,0.0,0.0,0.0,2.19,0.0,0.0,100.0
12/23/2021,39.39,29.93,17.43,3.79,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,2.21,0.0,0.0,100.0
12/24/2021,39.31,29.96,17.55,3.81,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,2.16,0.0,0.0,100.0
12/27/2021,39.4,29.99,17.41,3.81,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,2.18,0.0,0.0,100.0
12/28/2021,39.4,29.99,17.41,3.81,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,2.18,0.0,0.0,100.0
12/29/2021,39.4,29.99,17.41,3.81,0.0,0.0,0.0,0.0,7.21,0.0,0.0,0.0,2.18,0.0,0.0,100.0
12/30/2021,39.45,30.18,17.27,3.79,0.0,0.0,0.0,0.0,7.17,0.0,0.0,0.0,2.15,0.0,0.0,100.01
12/31/2021,39.49,30.19,17.2,3.77,0.0,0.0,0.0,0.0,7.19,0.0,0.0,0.0,2.16,0.0,0.0,100.0
01/03/2022,39.46,30.09,17.28,3.79,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,2.19,0.0,0.0,100.01
01/03/2022,39.46,30.09,17.28,3.79,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,2.19,0.0,0.0,100.01
01/03/2022,39.46,30.09,17.28,3.79,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,2.19,0.0,0.0,100.01
01/04/2022,39.46,30.09,17.28,3.79,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,2.19,0.0,0.0,100.01
01/05/2022,39.46,30.09,17.28,3.79,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,2.19,0.0,0.0,100.01
01/06/2022,39.46,30.09,17.28,3.79,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,2.19,0.0,0.0,100.01
01/07/2022,39.51,30.24,16.9,3.82,0.0,0.0,0.0,0.0,7.29,0.0,0.0,0.0,2.25,0.0,0.0,100.01
01/10/2022,39.58,30.16,16.78,3.79,0.0,0.0,0.0,0.0,7.38,0.0,0.0,0.0,2.31,0.0,0.0,100.0
01/11/2022,39.55,30.18,16.84,3.75,0.0,0.0,0.0,0.0,7.42,0.0,0.0,0.0,2.27,0.0,0.0,100.01
01/12/2022,39.55,30.18,16.84,3.75,0.0,0.0,0.0,0.0,7.42,0.0,0.0,0.0,2.27,0.0,0.0,100.01
01/13/2022,39.55,30.18,16.84,3.75,0.0,0.0,0.0,0.0,7.42,0.0,0.0,0.0,2.27,0.0,0.0,100.01
01/14/2022,39.58,30.1,0.0,4.85,0.0,0.0,0.0,0.0,3.16,0.0,3.38,0.0,2.14,16.79,0.0,100.0
01/17/2022,39.62,30.12,0.0,4.83,0.0,0.0,0.0,0.0,3.19,0.0,3.44,0.0,2.05,16.75,0.0,100.0
01/24/2022,39.68,30.18,0.0,4.69,0.0,0.0,0.0,0.0,3.2,0.0,3.38,0.0,2.1,16.76,0.0,99.99
01/25/2022,39.49,30.27,0.0,4.69,0.0,0.0,0.0,0.0,3.21,0.0,3.41,0.0,2.15,16.77,0.0,99.99
01/26/2022,39.49,30.27,0.0,4.69,0.0,0.0,0.0,0.0,3.21,0.0,3.41,0.0,2.15,16.77,0.0,99.99
01/27/2022,39.36,30.19,0.0,4.8,0.0,0.0,0.0,0.0,3.21,0.0,3.47,0.0,2.16,16.8,0.0,99.98999999999998
01/28/2022,39.36,30.2,0.0,4.79,0.0,0.0,0.0,0.0,3.24,0.0,3.51,0.0,2.18,16.72,0.0,100.0
01/31/2022,39.25,30.43,0.0,4.64,0.0,0.0,0.0,0.0,3.24,0.0,3.42,0.0,2.22,16.8,0.0,100.0
02/01/2022,39.15,30.72,0.0,4.6,0.0,0.0,0.0,0.0,3.21,0.0,3.36,0.0,2.12,16.85,0.0,100.01
02/02/2022,39.15,30.72,0.0,4.6,0.0,0.0,0.0,0.0,3.21,0.0,3.36,0.0,2.12,16.85,0.0,100.01
02/03/2022,39.15,30.72,0.0,4.6,0.0,0.0,0.0,0.0,3.21,0.0,3.36,0.0,2.12,16.85,0.0,100.01
02/04/2022,39.26,30.6,0.0,4.66,0.0,0.0,0.0,0.0,3.18,0.0,3.33,0.0,2.08,16.89,0.0,100.0
02/07/2022,39.09,30.71,0.0,4.64,0.0,0.0,0.0,0.0,3.22,0.0,3.37,0.0,2.1,16.87,0.0,100.0
02/08/2022,39.29,30.6,0.0,4.65,0.0,0.0,0.0,0.0,3.22,0.0,3.34,0.0,2.0,16.9,0.0,100.0
02/09/2022,39.29,30.6,0.0,4.65,0.0,0.0,0.0,0.0,3.22,0.0,3.34,0.0,2.0,16.9,0.0,100.0
02/10/2022,39.23,30.6,0.0,4.71,0.0,0.0,0.0,0.0,3.23,0.0,3.37,0.0,2.0,16.86,0.0,100.0
02/11/2022,39.16,30.58,0.0,0.0,0.0,0.0,0.0,0.0,3.45,4.41,0.0,0.0,2.0,17.0,3.4,100.0
02/14/2022,39.29,30.59,0.0,0.0,0.0,0.0,0.0,0.0,3.47,4.43,0.0,0.0,1.71,17.1,3.42,100.01
02/15/2022,39.14,30.51,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.52,0.0,0.0,1.76,17.0,3.58,100.01
02/16/2022,39.14,30.51,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.52,0.0,0.0,1.76,17.0,3.58,100.01
02/17/2022,39.14,30.51,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.52,0.0,0.0,1.76,17.0,3.58,100.01
02/18/2022,39.25,30.59,0.0,0.0,0.0,0.0,0.0,0.0,3.46,4.41,0.0,0.0,1.72,17.07,3.49,99.98999999999998
02/21/2022,39.16,30.5,0.0,0.0,0.0,0.0,0.0,0.0,3.49,4.51,0.0,0.0,1.77,16.89,3.67,99.99
05/25/2022,43.75,34.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,19.46,0.0,100.0
07/05/2022,38.57,29.88,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,4.3,0.0,3.36,16.94,3.56,100.0
