,GAZP.ME,SBER.ME,LKOH.ME,GMKN.ME,NVTK.L,TCS.L,YNDX,TATN.ME,ROSN.ME,PLZL.ME,POLY.L,5M71.,MBT,SNGSP,ALRS.ME,FIVE.L,NLMK.ME,CHMF.ME,MOEX.ME,SNGS.ME,PHOR.L,IRAO.ME,MAIL.L,OZON,VTBR.ME,RUB,XTSLA,USD,HBCFT,MESU1,MESZ1,SUM
07/29/2021,14.47,13.19,11.25,5.74,4.89,4.8,4.82,3.8,3.27,3.01,2.83,2.46,2.19,1.93,2.6,2.12,2.57,2.6,2.03,1.69,1.77,1.41,1.33,0.93,0.89,1.04,0.64,0.0,0.11,0.0,0.0,100.38
07/30/2021,14.45,13.14,11.26,5.87,4.91,4.62,4.69,3.84,3.28,3.0,2.84,2.47,2.17,1.95,2.6,2.14,2.67,2.67,2.05,1.7,1.75,1.41,1.31,0.93,0.89,1.04,0.36,0.0,0.09,0.0,0.0,100.10000000000002
08/02/2021,14.62,13.08,11.18,5.73,5.1,4.56,4.62,3.84,3.25,3.05,2.89,2.51,2.15,1.9,2.63,2.15,2.64,2.64,2.04,1.73,1.73,1.41,1.29,0.94,0.92,1.02,0.12,0.16,0.09,0.0,0.0,99.99
08/03/2021,14.65,13.31,11.07,5.77,5.12,4.39,4.61,3.81,3.21,3.06,2.9,2.53,2.15,1.92,2.57,2.16,2.67,2.65,2.05,1.69,1.75,1.4,1.31,0.92,0.93,1.03,0.15,0.11,0.09,0.0,0.0,99.98
08/04/2021,14.65,13.31,11.07,5.77,5.12,4.39,4.61,3.81,3.21,3.06,2.9,2.53,2.15,1.92,2.57,2.16,2.67,2.65,2.05,1.69,1.75,1.4,1.31,0.92,0.93,1.03,0.15,0.11,0.09,0.0,0.0,99.98
08/05/2021,14.65,13.31,11.07,5.77,5.12,4.39,4.61,3.81,3.21,3.06,2.9,2.53,2.15,1.92,2.57,2.16,2.67,2.65,2.05,1.69,1.75,1.4,1.31,0.92,0.93,1.03,0.15,0.11,0.09,0.0,0.0,99.98
08/06/2021,14.7,13.39,11.0,5.82,5.16,4.57,4.55,3.82,3.22,3.05,2.87,2.54,2.16,1.89,2.66,2.17,2.66,2.64,2.05,1.69,1.71,1.41,1.26,0.92,0.92,0.94,0.39,0.0,0.09,0.0,0.0,100.25
08/10/2021,14.41,13.81,10.9,5.71,5.21,4.82,4.53,3.83,3.21,2.96,2.81,2.57,2.14,1.87,2.73,2.16,2.63,2.6,2.05,1.73,1.67,1.38,1.29,0.92,0.95,0.94,0.18,0.0,0.08,0.0,0.0,100.09
08/11/2021,14.41,13.81,10.9,5.71,5.21,4.82,4.53,3.83,3.21,2.96,2.81,2.57,2.14,1.87,2.73,2.16,2.63,2.6,2.05,1.73,1.67,1.38,1.29,0.92,0.95,0.94,0.18,0.0,0.08,0.0,0.0,100.09
08/13/2021,14.6,14.11,11.15,5.52,5.28,4.97,4.52,3.84,3.27,2.9,2.7,2.53,2.12,1.86,2.68,2.18,2.61,2.58,2.05,1.71,1.73,1.36,1.28,0.92,0.98,0.9,0.2,0.0,0.07,0.0,0.0,100.62
08/16/2021,14.79,14.06,11.26,5.52,5.35,4.97,4.54,3.83,3.28,2.88,2.7,2.56,2.13,1.88,2.68,2.21,2.55,2.55,2.05,1.73,1.72,1.36,1.3,0.94,0.98,0.33,0.18,0.0,0.01,0.0,0.0,100.34
08/17/2021,14.86,14.07,11.15,5.51,5.37,4.99,4.54,3.82,3.26,2.91,2.76,2.58,2.14,1.88,2.64,2.22,2.55,2.56,2.04,1.72,1.74,1.37,1.28,0.91,0.98,0.01,0.53,0.0,0.01,0.0,0.0,100.40000000000002
08/19/2021,14.88,14.03,11.22,5.46,5.47,5.08,4.63,3.81,3.26,2.87,2.73,2.55,2.13,1.86,2.59,2.18,2.54,2.56,2.04,1.72,1.73,1.36,1.26,0.91,0.99,0.01,0.17,0.0,0.01,0.0,0.0,100.05
08/20/2021,14.86,14.12,11.27,5.46,5.5,5.17,4.61,3.8,3.19,2.88,2.7,2.57,2.12,1.84,2.56,2.2,2.51,2.51,2.07,1.71,1.71,1.34,1.25,0.9,0.98,0.01,0.16,0.0,0.01,0.0,0.0,100.01000000000002
08/23/2021,14.9,14.23,11.02,5.35,5.47,4.94,4.69,3.8,3.13,2.95,2.77,2.63,2.19,1.9,2.63,2.27,2.47,2.47,2.12,1.74,1.73,1.34,1.26,0.9,0.96,0.01,0.17,0.0,0.01,0.0,0.0,100.05000000000004
08/24/2021,15.0,14.14,11.1,5.36,5.44,4.91,4.67,3.79,3.15,2.95,2.79,2.62,2.23,1.94,2.61,2.27,2.45,2.46,2.14,1.72,1.71,1.34,1.24,0.87,0.97,0.01,0.17,0.0,0.01,0.0,0.0,100.06000000000002
08/25/2021,15.0,14.14,11.1,5.36,5.44,4.91,4.67,3.79,3.15,2.95,2.79,2.62,2.23,1.94,2.61,2.27,2.45,2.46,2.14,1.72,1.71,1.34,1.24,0.87,0.97,0.01,0.17,0.0,0.01,0.0,0.0,100.06000000000002
08/26/2021,15.09,14.08,11.23,5.36,5.41,4.9,4.66,3.84,3.17,2.94,2.77,2.59,2.22,1.93,2.6,2.24,2.42,2.45,2.11,1.73,1.69,1.36,1.21,0.88,0.97,0.01,0.16,0.0,0.01,0.0,0.0,100.03
08/27/2021,15.09,13.84,11.22,5.4,5.36,4.99,4.7,3.95,3.17,2.93,2.77,2.61,2.24,1.92,2.59,2.26,2.42,2.45,2.09,1.72,1.67,1.37,1.21,0.92,0.96,0.01,0.16,0.0,0.01,0.0,0.0,100.03000000000002
08/30/2021,15.1,13.95,11.13,5.4,5.28,4.8,4.78,3.84,3.13,2.93,2.73,2.64,2.26,1.92,2.65,2.22,2.49,2.5,2.11,1.72,1.7,1.42,1.23,0.96,0.96,0.01,0.17,0.0,0.01,0.0,0.0,100.04
08/31/2021,15.16,14.02,11.19,5.4,5.28,4.71,4.86,3.75,3.14,2.91,2.69,2.62,2.24,1.91,2.62,2.23,2.5,2.53,2.13,1.72,1.69,1.44,1.22,0.93,0.96,0.01,0.17,0.0,0.01,0.0,0.0,100.04000000000002
09/01/2021,15.16,14.02,11.19,5.4,5.28,4.71,4.86,3.75,3.14,2.91,2.69,2.62,2.24,1.91,2.62,2.23,2.5,2.53,2.13,1.72,1.69,1.44,1.22,0.93,0.96,0.01,0.17,0.0,0.01,0.0,0.0,100.04000000000002
09/02/2021,15.29,14.0,11.11,5.44,5.23,4.65,4.87,3.76,3.13,2.89,2.68,2.59,2.24,1.9,2.71,2.21,2.54,2.53,2.12,1.71,1.68,1.48,1.21,0.93,0.98,0.01,0.16,0.0,0.01,0.0,0.0,100.06000000000002
09/03/2021,17.14,14.12,12.26,4.64,4.51,4.27,4.99,3.81,3.12,2.74,2.68,2.36,2.12,1.89,2.45,2.01,2.39,2.34,1.91,1.76,1.57,1.46,1.28,0.93,1.0,0.01,0.16,0.08,0.01,0.0,0.0,100.01000000000002
09/06/2021,17.29,13.9,12.32,4.54,4.73,4.54,5.04,3.78,3.18,2.71,2.6,2.33,2.06,1.84,2.39,1.95,2.33,2.25,1.96,1.73,1.5,1.49,1.31,0.91,0.98,0.11,0.16,0.07,0.01,0.0,0.0,100.01
09/07/2021,17.46,13.91,12.19,4.62,4.69,4.52,5.0,3.78,3.19,2.76,2.65,2.3,2.05,1.85,2.4,1.94,2.34,2.2,1.9,1.72,1.5,1.49,1.31,0.91,0.96,0.11,0.27,0.0,0.02,0.0,0.0,100.04
09/08/2021,17.46,13.91,12.19,4.62,4.69,4.52,5.0,3.78,3.19,2.76,2.65,2.3,2.05,1.85,2.4,1.94,2.34,2.2,1.9,1.72,1.5,1.49,1.31,0.91,0.96,0.11,0.27,0.0,0.02,0.0,0.0,100.04
09/09/2021,17.73,13.8,12.08,4.65,4.71,4.49,5.1,3.71,3.15,2.73,2.66,2.26,2.05,1.83,2.4,1.94,2.23,2.21,1.89,1.71,1.51,1.49,1.3,0.9,0.99,0.22,0.27,0.0,0.02,0.0,0.0,100.03
09/10/2021,17.96,13.68,12.04,4.6,4.93,4.45,5.0,3.69,3.13,2.7,2.61,2.23,2.03,1.84,2.42,1.93,2.24,2.22,1.9,1.71,1.56,1.47,1.31,0.89,0.99,0.22,0.28,0.0,0.02,0.0,0.0,100.04999999999998
09/13/2021,18.0,13.82,12.17,4.57,4.86,4.4,5.03,3.74,3.15,2.7,2.54,2.21,2.06,1.84,2.41,1.92,2.16,2.17,1.87,1.69,1.54,1.48,1.3,0.87,0.98,0.22,0.28,0.0,0.02,0.0,0.0,100.0
09/14/2021,17.96,13.78,12.11,4.65,4.87,4.39,5.14,3.71,3.11,2.67,2.51,2.21,2.08,1.83,2.47,1.88,2.2,2.18,1.89,1.69,1.54,1.48,1.3,0.88,0.96,0.22,0.27,0.0,0.02,0.0,0.0,100.0
09/15/2021,17.96,13.78,12.11,4.65,4.87,4.39,5.14,3.71,3.11,2.67,2.51,2.21,2.08,1.83,2.47,1.88,2.2,2.18,1.89,1.69,1.54,1.48,1.3,0.88,0.96,0.22,0.27,0.0,0.02,0.0,0.0,100.0
09/16/2021,18.01,13.63,12.2,4.59,5.01,4.33,5.12,3.74,3.17,2.61,2.47,2.24,2.08,1.82,2.46,1.88,2.21,2.18,1.86,1.69,1.56,1.46,1.34,0.88,0.95,0.22,0.26,0.0,0.02,0.0,0.0,99.98999999999998
09/17/2021,18.34,13.57,12.48,4.47,4.92,4.22,5.13,3.82,3.16,2.59,2.45,2.22,2.1,1.8,2.44,1.83,2.14,2.13,1.82,1.66,1.64,1.44,1.32,0.87,0.93,0.22,0.17,0.08,0.02,0.0,0.0,99.98
09/20/2021,18.43,13.58,12.67,4.38,4.79,4.19,5.13,3.88,3.26,2.49,2.36,2.34,2.09,1.8,2.38,1.87,2.12,2.12,1.81,1.68,1.57,1.43,1.31,0.9,0.94,0.22,0.21,0.03,0.02,0.0,0.0,100.0
09/21/2021,18.27,13.84,12.58,4.39,4.67,4.35,5.12,3.84,3.24,2.53,2.37,2.35,2.11,1.79,2.34,1.88,2.09,2.08,1.85,1.67,1.55,1.44,1.33,0.9,0.93,0.22,0.21,0.03,0.02,0.0,0.0,99.98999999999998
09/22/2021,18.27,13.84,12.58,4.39,4.67,4.35,5.12,3.84,3.24,2.53,2.37,2.35,2.11,1.79,2.34,1.88,2.09,2.08,1.85,1.67,1.55,1.44,1.33,0.9,0.93,0.22,0.21,0.03,0.02,0.0,0.0,99.98999999999998
09/23/2021,18.08,13.91,12.71,4.33,4.73,4.39,5.15,3.81,3.21,2.6,2.45,2.36,2.17,1.82,2.33,1.88,2.04,2.04,1.87,1.66,1.57,1.43,1.31,0.89,0.94,0.22,0.22,0.0,0.02,0.0,0.0,100.14
09/24/2021,18.48,13.68,12.74,4.3,4.72,4.35,5.09,3.82,3.24,2.61,2.4,2.36,2.16,1.82,2.3,1.88,2.04,2.04,1.88,1.66,1.57,1.41,1.31,0.88,0.93,0.12,0.21,0.0,0.02,0.0,0.0,100.01999999999998
09/27/2021,18.61,13.58,12.86,4.31,4.76,4.25,5.05,3.85,3.37,2.51,2.31,2.44,2.11,1.82,2.27,1.87,2.09,2.06,1.81,1.65,1.53,1.41,1.27,0.89,0.93,0.0,0.27,0.08,0.02,0.0,0.0,99.97999999999999
