,SKOR,MBSD,MBB,IGSB,IGIB,TLT,IGLB,LKOR,IEF,IEI,FlexShares Ready Access Variable Inc ETF,Cash,RAVI,United States Treasury Bills 0%,n/a,B 0 01/20/22,B 0 01.20.22,XIB 0 01.20.22,SUM
09/13/2021,29.95,11.72,11.74,9.99,8.98,7.99,6.5,5.0,4.49,2.84,0.0,0.0,0.32,0.0,0.26,0.22,0.0,0.0,100.0
09/14/2021,29.95,11.72,11.74,9.99,8.98,7.99,6.5,5.0,4.49,2.84,0.0,0.0,0.32,0.0,0.26,0.22,0.0,0.0,100.0
09/15/2021,29.99,11.73,11.76,10.0,8.98,7.93,6.48,4.99,4.48,2.85,0.0,0.0,0.32,0.0,0.25,0.23,0.0,0.0,99.99
09/16/2021,29.99,11.73,11.76,10.0,8.98,7.93,6.48,4.99,4.48,2.85,0.0,0.0,0.32,0.0,0.25,0.23,0.0,0.0,99.99
09/17/2021,29.96,11.73,11.74,9.98,8.99,8.06,6.52,5.02,4.5,2.84,0.0,0.0,0.32,0.0,0.11,0.22,0.0,0.0,99.99
09/20/2021,29.97,11.74,11.75,9.99,8.99,8.04,6.52,5.02,4.49,2.84,0.0,0.0,0.32,0.0,0.1,0.22,0.0,0.0,99.99
09/21/2021,29.99,11.74,11.75,10.0,8.99,8.01,6.52,5.02,4.48,2.84,0.0,0.0,0.32,0.0,0.1,0.23,0.0,0.0,99.99
09/22/2021,29.99,11.74,11.75,10.0,8.99,8.01,6.52,5.02,4.48,2.84,0.0,0.0,0.32,0.0,0.1,0.23,0.0,0.0,99.99
09/23/2021,29.99,11.74,11.75,10.0,8.99,8.01,6.52,5.02,4.48,2.84,0.0,0.0,0.32,0.0,0.1,0.23,0.0,0.0,99.99
09/24/2021,30.0,11.76,11.76,10.02,8.98,7.98,6.51,5.01,4.48,2.84,0.0,0.0,0.32,0.0,0.1,0.23,0.0,0.0,99.99
09/27/2021,30.02,11.76,11.75,10.02,8.99,7.96,6.51,5.02,4.47,2.84,0.0,0.0,0.32,0.0,0.1,0.23,0.0,0.0,99.99
09/28/2021,30.02,11.76,11.75,10.02,8.99,7.96,6.51,5.02,4.47,2.84,0.0,0.0,0.32,0.0,0.1,0.23,0.0,0.0,99.99
09/29/2021,30.02,11.76,11.75,10.02,8.99,7.96,6.51,5.02,4.47,2.84,0.0,0.0,0.32,0.0,0.1,0.23,0.0,0.0,99.99
09/30/2021,29.94,11.73,11.71,9.96,9.0,8.1,6.54,5.04,4.52,2.85,0.0,0.0,0.32,0.0,0.0,0.23,0.0,0.0,99.94
10/01/2021,30.13,11.84,11.82,10.09,8.99,7.79,6.42,4.95,4.46,2.85,0.0,0.0,0.33,0.0,0.1,0.23,0.0,0.0,100.0
10/04/2021,30.12,11.84,11.83,10.09,8.99,7.8,6.42,4.94,4.46,2.85,0.0,0.0,0.33,0.0,0.1,0.23,0.0,0.0,100.0
10/05/2021,30.14,11.84,11.85,10.1,8.99,7.8,6.38,4.92,4.47,2.86,0.0,0.0,0.33,0.0,0.1,0.23,0.0,0.0,100.01
10/06/2021,30.14,11.84,11.85,10.1,8.99,7.8,6.38,4.92,4.47,2.86,0.0,0.0,0.33,0.0,0.1,0.23,0.0,0.0,100.01
10/07/2021,30.11,11.8,11.83,10.07,8.99,7.84,6.43,4.95,4.48,2.86,0.0,0.0,0.33,0.0,0.1,0.23,0.0,0.0,100.02
10/08/2021,30.11,11.83,11.85,10.08,8.99,7.82,6.41,4.93,4.47,2.86,0.0,0.0,0.33,0.0,0.1,0.0,0.23,0.0,100.01
10/20/2021,29.91,11.73,11.73,9.96,8.99,9.01,4.71,4.71,4.49,2.83,0.0,0.0,1.6,0.0,0.09,0.0,0.23,0.0,99.99
10/21/2021,29.91,11.73,11.73,9.96,8.99,9.01,4.71,4.71,4.49,2.83,0.0,0.0,1.6,0.0,0.09,0.0,0.0,0.23,99.99
10/22/2021,29.95,11.74,11.76,9.99,8.98,8.97,4.68,4.69,4.49,2.84,0.0,0.0,1.6,0.0,0.09,0.0,0.0,0.23,100.01
10/25/2021,29.96,11.79,11.77,10.0,8.98,8.91,4.67,4.67,4.49,2.84,0.0,0.0,1.6,0.0,0.09,0.0,0.23,0.0,100.0
10/26/2021,29.95,11.79,11.77,10.0,8.98,8.92,4.67,4.67,4.48,2.84,0.0,0.0,1.61,0.0,0.09,0.0,0.23,0.0,100.0
10/27/2021,29.95,11.79,11.77,10.0,8.98,8.92,4.67,4.67,4.48,2.84,0.0,0.0,1.61,0.0,0.09,0.0,0.23,0.0,100.0
10/28/2021,29.91,11.75,11.76,9.98,8.97,9.0,4.69,4.69,4.49,2.84,0.0,0.0,1.6,0.0,0.09,0.0,0.23,0.0,100.0
10/29/2021,29.93,11.75,11.75,9.99,8.98,8.98,4.68,4.69,4.49,2.84,0.0,0.0,1.6,0.0,0.09,0.0,0.22,0.0,99.99
11/01/2021,29.83,11.73,11.71,9.93,8.97,9.14,4.74,4.74,4.48,2.83,0.0,0.0,1.59,0.0,0.09,0.0,0.22,0.0,100.0
11/02/2021,29.83,11.73,11.71,9.93,8.97,9.14,4.74,4.74,4.48,2.83,0.0,0.0,1.59,0.0,0.09,0.0,0.22,0.0,100.0
11/03/2021,29.82,11.72,11.71,9.93,8.96,9.17,4.74,4.74,4.49,2.82,0.0,0.0,1.59,0.0,0.09,0.0,0.22,0.0,100.0
11/04/2021,29.82,11.72,11.71,9.93,8.96,9.17,4.74,4.74,4.49,2.82,0.0,0.0,1.59,0.0,0.09,0.0,0.22,0.0,100.0
11/05/2021,29.82,11.73,11.72,9.93,8.96,9.13,4.74,4.74,4.49,2.83,0.0,0.0,1.59,0.0,0.1,0.0,0.22,0.0,100.0
11/08/2021,29.83,11.72,11.7,9.93,8.97,9.12,4.74,4.74,4.5,2.83,0.0,0.0,1.59,0.0,0.1,0.0,0.22,0.0,99.99
