,SPY,FGXXX,FXFXX,B 0 09/09/21,B 0 01/27/22,ESM1 INDEX,n/a,ESU1 INDEX,B 0 08/11/22,ESZ1 INDEX,SUM
09/28/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/29/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
09/30/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/01/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/04/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/05/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/06/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/07/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/08/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/11/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/12/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/13/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/14/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/15/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/18/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/19/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/20/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/21/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/22/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/25/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/26/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/27/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/28/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
10/29/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/01/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/02/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/03/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/04/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/05/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/08/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/09/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/10/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/11/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/12/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/15/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/16/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/17/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/18/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/19/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/22/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/23/2021,55.09,17.71,17.71,5.1,2.75,0.0,0.0,0.0,0.0,0.0,98.36
11/24/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
11/25/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
11/26/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
11/29/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
11/30/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/01/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/02/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/06/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/07/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/08/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/09/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/10/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/13/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/14/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/15/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
12/16/2021,56.47,18.32,18.32,0.0,1.55,0.0,0.0,0.0,4.16,0.0,98.81999999999998
