,SLB,HAL,BKR,RIG,TS,CHX,HP,WHD,NOV,FTI,PTEN,LBRT,OII,CLB,NBR,DRQ,SLCA,HLX,PUMP,RES,BOOM,WTTR,FI,NEX,OIS,Nabors Inds ([Wts/Rts]) 0%,Us Dollar,NBRWF,PTBL.TA,1379.T,SAR.AX,GVMXX,n/a,XPRO,SUM
07/23/2021,19.29,13.33,7.02,4.71,5.44,5.17,4.95,4.77,4.5,4.01,3.62,2.81,2.64,2.86,2.11,1.72,1.51,1.45,1.47,1.36,1.4,1.14,0.99,0.85,0.86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/26/2021,19.3,13.48,6.77,5.02,5.32,5.07,4.98,4.9,4.45,3.83,3.58,2.78,2.74,2.87,2.11,1.68,1.53,1.51,1.56,1.38,1.3,1.15,0.95,0.87,0.86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,19.84,13.36,6.96,4.85,5.45,5.15,4.95,4.93,4.45,3.72,3.5,2.67,2.72,2.79,2.09,1.71,1.52,1.48,1.53,1.36,1.17,1.15,0.94,0.86,0.85,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/28/2021,19.84,13.36,6.96,4.85,5.45,5.15,4.95,4.93,4.45,3.72,3.5,2.67,2.72,2.79,2.09,1.71,1.52,1.48,1.53,1.36,1.17,1.15,0.94,0.86,0.85,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,19.83,13.25,6.94,4.93,5.41,5.1,4.94,4.78,4.51,3.82,3.58,2.69,2.69,2.77,2.1,1.7,1.52,1.49,1.56,1.38,1.17,1.16,0.94,0.87,0.87,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/30/2021,19.96,13.43,6.97,4.78,5.43,5.08,4.94,4.85,4.52,3.87,3.55,2.68,2.66,2.8,2.05,1.7,1.46,1.37,1.54,1.4,1.18,1.11,0.95,0.86,0.86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.01000000000002
08/02/2021,19.89,13.61,7.03,4.77,5.43,5.09,5.0,4.76,4.39,3.86,3.57,2.52,2.73,2.87,2.09,1.71,1.48,1.34,1.5,1.37,1.19,1.13,0.96,0.87,0.86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,19.89,13.61,7.03,4.77,5.43,5.09,5.0,4.76,4.39,3.86,3.57,2.52,2.73,2.87,2.09,1.71,1.48,1.34,1.5,1.37,1.19,1.13,0.96,0.87,0.86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,19.89,13.61,7.03,4.77,5.43,5.09,5.0,4.76,4.39,3.86,3.57,2.52,2.73,2.87,2.09,1.71,1.48,1.34,1.5,1.37,1.19,1.13,0.96,0.87,0.86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,19.89,13.61,7.03,4.77,5.43,5.09,5.0,4.76,4.39,3.86,3.57,2.52,2.73,2.87,2.09,1.71,1.48,1.34,1.5,1.37,1.19,1.13,0.96,0.87,0.86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,19.86,13.31,7.22,4.67,5.53,5.46,4.79,4.75,4.43,3.84,3.55,2.4,2.74,2.73,2.06,1.77,1.56,1.4,1.49,1.35,1.2,1.2,1.0,0.87,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/09/2021,20.18,13.39,7.44,4.74,5.63,5.41,4.7,4.75,4.47,3.82,3.4,2.37,2.6,2.65,1.96,1.72,1.52,1.41,1.48,1.31,1.2,1.15,1.02,0.87,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,20.08,13.44,7.39,4.75,5.6,5.54,4.8,4.7,4.46,3.8,3.45,2.35,2.64,2.58,1.96,1.7,1.53,1.39,1.46,1.3,1.22,1.11,1.05,0.88,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,20.08,13.44,7.39,4.75,5.6,5.54,4.8,4.7,4.46,3.8,3.45,2.35,2.64,2.58,1.96,1.7,1.53,1.39,1.46,1.3,1.22,1.11,1.05,0.88,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,19.88,13.44,7.37,4.79,5.56,5.52,4.88,4.83,4.43,3.8,3.52,2.34,2.67,2.49,1.95,1.66,1.55,1.38,1.5,1.32,1.21,1.11,1.09,0.87,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/16/2021,19.99,13.61,7.37,4.74,5.63,5.49,4.87,4.8,4.47,3.8,3.5,2.46,2.63,2.45,1.9,1.64,1.51,1.34,1.48,1.29,1.17,1.14,1.04,0.85,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,20.24,13.67,7.63,4.57,5.65,5.49,4.83,4.8,4.43,3.78,3.45,2.41,2.62,2.45,1.88,1.62,1.47,1.33,1.45,1.25,1.15,1.12,1.03,0.84,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/18/2021,20.24,13.67,7.63,4.57,5.65,5.49,4.83,4.8,4.43,3.78,3.45,2.41,2.62,2.45,1.88,1.62,1.47,1.33,1.45,1.25,1.15,1.12,1.03,0.84,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/19/2021,20.24,13.67,7.63,4.57,5.65,5.49,4.83,4.8,4.43,3.78,3.45,2.41,2.62,2.45,1.88,1.62,1.47,1.33,1.45,1.25,1.15,1.12,1.03,0.84,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/20/2021,20.37,13.7,7.7,4.53,5.72,5.5,4.73,4.82,4.43,3.72,3.41,2.45,2.61,2.43,1.84,1.59,1.45,1.31,1.44,1.27,1.16,1.13,1.06,0.84,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,20.73,13.53,7.81,4.38,5.86,5.52,4.67,4.88,4.45,3.67,3.31,2.55,2.57,2.34,1.81,1.57,1.39,1.29,1.45,1.24,1.14,1.22,1.07,0.8,0.78,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,20.63,13.51,7.86,4.48,5.74,5.59,4.62,4.87,4.47,3.71,3.29,2.54,2.58,2.3,1.8,1.56,1.4,1.27,1.44,1.27,1.15,1.22,1.11,0.8,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,20.63,13.51,7.86,4.48,5.74,5.59,4.62,4.87,4.47,3.71,3.29,2.54,2.58,2.3,1.8,1.56,1.4,1.27,1.44,1.27,1.15,1.22,1.11,0.8,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,20.44,13.59,7.9,4.62,5.6,5.59,4.62,4.87,4.4,3.61,3.36,2.53,2.65,2.34,1.83,1.52,1.4,1.31,1.5,1.27,1.14,1.17,1.1,0.81,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/27/2021,20.32,13.73,7.88,4.67,5.5,5.52,4.59,4.9,4.44,3.65,3.35,2.52,2.64,2.39,1.86,1.51,1.37,1.3,1.51,1.3,1.12,1.17,1.11,0.82,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,20.38,13.63,7.97,4.68,5.54,5.5,4.5,5.12,4.44,3.66,3.34,2.5,2.6,2.36,1.86,1.47,1.36,1.28,1.51,1.25,1.11,1.2,1.07,0.84,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/31/2021,19.29,13.25,6.77,5.27,5.12,5.15,4.81,4.24,4.32,4.19,3.81,2.91,2.79,2.82,2.35,1.77,1.52,1.65,1.55,1.39,1.15,1.06,0.96,0.94,0.96,0.0,0.0,0.01,0.0,0.0,0.0,1.11,0.0,0.0,101.16
09/01/2021,19.29,13.25,6.77,5.27,5.12,5.15,4.81,4.24,4.32,4.19,3.81,2.91,2.79,2.82,2.35,1.77,1.52,1.65,1.55,1.39,1.15,1.06,0.96,0.94,0.96,0.0,0.0,0.01,0.0,0.0,0.0,1.11,0.0,0.0,101.16
09/02/2021,19.29,13.25,6.77,5.27,5.12,5.15,4.81,4.24,4.32,4.19,3.81,2.91,2.79,2.82,2.35,1.77,1.52,1.65,1.55,1.39,1.15,1.06,0.96,0.94,0.96,0.0,0.0,0.01,0.0,0.0,0.0,1.11,0.0,0.0,101.16
09/03/2021,19.96,13.54,7.94,4.87,5.49,5.57,4.66,5.16,4.4,3.58,3.47,2.44,2.59,2.4,2.01,1.5,1.37,1.29,1.53,1.26,1.13,1.11,1.05,0.83,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/06/2021,19.83,13.49,7.98,5.07,5.46,5.42,4.67,5.05,4.34,3.61,3.54,2.49,2.65,2.35,2.02,1.49,1.36,1.27,1.53,1.31,1.13,1.12,1.09,0.87,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/07/2021,19.79,13.52,8.05,5.07,5.5,5.44,4.65,4.95,4.29,3.59,3.5,2.49,2.74,2.37,2.01,1.49,1.38,1.28,1.54,1.32,1.12,1.12,1.08,0.87,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,19.79,13.52,8.05,5.07,5.5,5.44,4.65,4.95,4.29,3.59,3.5,2.49,2.74,2.37,2.01,1.49,1.38,1.28,1.54,1.32,1.12,1.12,1.08,0.87,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,19.79,13.52,8.05,5.07,5.5,5.44,4.65,4.95,4.29,3.59,3.5,2.49,2.74,2.37,2.01,1.49,1.38,1.28,1.54,1.32,1.12,1.12,1.08,0.87,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/10/2021,19.66,13.38,8.02,5.17,5.5,5.32,4.76,4.91,4.34,3.59,3.51,2.52,2.78,2.33,2.08,1.48,1.37,1.3,1.54,1.33,1.14,1.11,1.09,0.9,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/13/2021,19.51,13.47,8.2,5.01,5.54,5.38,4.81,4.96,4.35,3.53,3.55,2.5,2.69,2.38,2.07,1.48,1.37,1.25,1.52,1.32,1.17,1.12,1.09,0.92,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/14/2021,19.36,13.43,8.51,4.9,5.45,5.37,4.77,4.95,4.45,3.65,3.59,2.42,2.68,2.43,2.11,1.48,1.32,1.24,1.51,1.31,1.15,1.09,1.12,0.88,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/15/2021,19.36,13.43,8.51,4.9,5.45,5.37,4.77,4.95,4.45,3.65,3.59,2.42,2.68,2.43,2.11,1.48,1.32,1.24,1.51,1.31,1.15,1.09,1.12,0.88,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/16/2021,19.36,13.43,8.51,4.9,5.45,5.37,4.77,4.95,4.45,3.65,3.59,2.42,2.68,2.43,2.11,1.48,1.32,1.24,1.51,1.31,1.15,1.09,1.12,0.88,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,19.5,13.45,8.46,4.83,5.48,5.31,4.6,4.76,4.48,3.71,3.65,2.57,2.74,2.37,1.97,1.52,1.31,1.28,1.54,1.37,1.12,1.09,1.1,0.93,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/20/2021,19.79,13.39,8.39,4.78,5.49,5.31,4.53,4.81,4.43,3.77,3.6,2.59,2.74,2.31,2.03,1.47,1.31,1.28,1.53,1.37,1.09,1.06,1.1,0.99,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/21/2021,20.08,13.67,8.37,4.61,5.37,5.09,4.56,4.73,4.46,3.84,3.57,2.57,2.68,2.35,2.01,1.5,1.25,1.27,1.55,1.32,1.11,1.07,1.05,1.07,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/22/2021,20.08,13.67,8.37,4.61,5.37,5.09,4.56,4.73,4.46,3.84,3.57,2.57,2.68,2.35,2.01,1.5,1.25,1.27,1.55,1.32,1.11,1.07,1.05,1.07,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/23/2021,20.08,13.67,8.37,4.61,5.37,5.09,4.56,4.73,4.46,3.84,3.57,2.57,2.68,2.35,2.01,1.5,1.25,1.27,1.55,1.32,1.11,1.07,1.05,1.07,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/24/2021,20.39,12.21,8.25,4.1,4.89,4.77,4.34,4.31,4.45,4.82,3.85,3.41,2.97,2.33,1.86,1.54,1.37,1.36,1.65,1.47,1.14,1.3,1.19,1.16,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/27/2021,20.52,12.24,8.01,4.2,4.88,4.74,4.26,4.25,4.34,4.82,4.01,3.45,3.03,2.17,1.94,1.54,1.34,1.39,1.69,1.48,1.1,1.32,1.15,1.22,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/28/2021,20.53,12.3,8.03,4.11,4.85,4.69,4.27,4.21,4.34,4.87,4.03,3.48,3.0,2.18,2.0,1.52,1.31,1.37,1.7,1.54,1.1,1.31,1.14,1.21,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/29/2021,20.53,12.3,8.03,4.11,4.85,4.69,4.27,4.21,4.34,4.87,4.03,3.48,3.0,2.18,2.0,1.52,1.31,1.37,1.7,1.54,1.1,1.31,1.14,1.21,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/30/2021,20.25,12.29,7.84,4.43,4.76,4.72,4.19,4.28,4.27,4.85,4.07,3.64,3.02,2.21,2.0,1.5,1.35,1.38,1.73,1.61,1.08,1.29,1.14,1.2,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/01/2021,20.25,12.29,7.84,4.43,4.76,4.72,4.19,4.28,4.27,4.85,4.07,3.64,3.02,2.21,2.0,1.5,1.35,1.38,1.73,1.61,1.08,1.29,1.14,1.2,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/04/2021,20.51,12.4,7.94,4.36,4.76,4.68,4.2,4.24,4.28,4.79,4.06,3.71,2.99,2.1,2.01,1.47,1.34,1.35,1.8,1.67,1.05,1.21,1.1,1.11,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
10/05/2021,20.02,12.16,7.78,4.28,4.8,4.72,4.22,4.41,4.21,4.92,4.11,3.58,3.04,2.17,2.14,1.53,1.43,1.41,1.85,1.75,1.09,1.23,1.16,1.08,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/06/2021,20.02,12.16,7.78,4.28,4.8,4.72,4.22,4.41,4.21,4.92,4.11,3.58,3.04,2.17,2.14,1.53,1.43,1.41,1.85,1.75,1.09,1.23,1.16,1.08,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,19.8,12.22,7.65,4.33,4.72,4.73,4.34,4.47,4.16,4.84,4.17,3.58,3.12,2.14,2.18,1.48,1.45,1.42,1.91,1.74,1.05,1.27,1.25,1.08,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/11/2021,20.07,12.52,7.52,4.22,4.67,4.77,4.43,4.48,4.31,4.81,3.91,3.7,2.97,2.1,2.16,1.46,1.54,1.39,1.91,1.69,1.05,1.25,1.13,1.06,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,100.01999999999998
10/12/2021,19.92,12.47,7.44,4.19,4.75,4.8,4.34,4.51,4.36,4.88,3.78,3.7,3.01,2.16,2.19,1.49,1.55,1.4,1.89,1.73,1.05,1.29,1.1,1.06,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.99
10/13/2021,19.92,12.47,7.44,4.19,4.75,4.8,4.34,4.51,4.36,4.88,3.78,3.7,3.01,2.16,2.19,1.49,1.55,1.4,1.89,1.73,1.05,1.29,1.1,1.06,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.99
10/14/2021,19.92,12.47,7.44,4.19,4.75,4.8,4.34,4.51,4.36,4.88,3.78,3.7,3.01,2.16,2.19,1.49,1.55,1.4,1.89,1.73,1.05,1.29,1.1,1.06,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,99.99
10/15/2021,20.29,12.77,7.46,4.22,4.75,4.75,4.32,4.45,4.3,4.7,3.71,3.69,2.97,2.12,2.2,1.47,1.5,1.37,1.88,1.75,1.06,1.29,0.0,1.03,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.07,100.03
10/18/2021,20.31,12.57,7.63,4.13,4.67,4.74,4.37,4.46,4.23,4.56,3.67,3.88,3.07,2.18,2.29,1.41,1.45,1.36,1.91,1.73,1.02,1.36,0.0,1.04,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.07,100.01
10/19/2021,20.44,12.94,7.58,4.1,4.7,4.81,4.42,4.31,4.27,4.53,3.6,3.91,3.01,2.15,2.27,1.35,1.45,1.33,1.86,1.72,1.05,1.35,0.0,1.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.98,100.0
10/20/2021,20.44,12.94,7.58,4.1,4.7,4.81,4.42,4.31,4.27,4.53,3.6,3.91,3.01,2.15,2.27,1.35,1.45,1.33,1.86,1.72,1.05,1.35,0.0,1.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.98,100.0
10/21/2021,20.44,12.88,7.56,3.98,4.64,4.81,4.6,4.49,4.23,4.41,3.72,3.94,3.07,2.05,2.36,1.34,1.46,1.32,1.84,1.67,0.96,1.35,0.0,1.06,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.96,100.01
10/22/2021,20.57,12.86,7.5,4.1,4.7,4.76,4.63,4.51,4.33,4.42,3.64,3.89,2.96,2.01,2.35,1.3,1.52,1.29,1.83,1.62,0.98,1.38,0.0,1.04,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.98,100.02
10/25/2021,20.56,12.96,7.03,4.12,4.75,4.71,4.63,4.54,4.34,4.57,3.68,3.91,3.01,1.98,2.34,1.33,1.56,1.29,1.83,1.65,0.97,1.35,0.0,1.03,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,100.0
10/26/2021,20.87,12.76,6.92,4.04,4.78,4.7,4.67,4.65,4.25,4.31,3.7,4.06,2.97,1.95,2.34,1.34,1.61,1.27,1.86,1.69,1.0,1.34,0.0,1.03,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.02,100.0
10/27/2021,20.87,12.76,6.92,4.04,4.78,4.7,4.67,4.65,4.25,4.31,3.7,4.06,2.97,1.95,2.34,1.34,1.61,1.27,1.86,1.69,1.0,1.34,0.0,1.03,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.02,100.0
10/28/2021,20.58,13.0,7.01,4.02,4.76,4.63,4.64,4.63,4.28,4.46,3.66,3.89,3.06,1.94,2.29,1.35,1.63,1.28,1.86,1.71,1.06,1.33,0.0,1.02,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.04,99.99
10/29/2021,20.59,13.01,7.07,4.05,4.74,4.6,4.55,4.7,4.16,4.43,3.74,3.97,3.05,1.91,2.31,1.33,1.61,1.27,1.85,1.72,1.05,1.37,0.0,1.03,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.03,100.0
11/01/2021,20.42,13.0,7.29,3.86,4.71,4.84,4.42,4.63,4.28,4.43,4.69,3.61,2.83,1.74,2.23,1.28,1.64,1.23,1.86,1.76,1.09,1.34,0.0,0.98,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.0,99.99
11/02/2021,20.43,13.1,7.45,3.8,4.8,5.04,4.41,4.69,4.2,4.45,4.56,3.5,2.82,1.87,2.04,1.32,1.5,1.22,1.83,1.73,1.11,1.31,0.0,0.98,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.01,99.99
11/03/2021,20.43,13.1,7.45,3.8,4.8,5.04,4.41,4.69,4.2,4.45,4.56,3.5,2.82,1.87,2.04,1.32,1.5,1.22,1.83,1.73,1.11,1.31,0.0,0.98,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.01,99.99
11/04/2021,20.43,13.1,7.45,3.8,4.8,5.04,4.41,4.69,4.2,4.45,4.56,3.5,2.82,1.87,2.04,1.32,1.5,1.22,1.83,1.73,1.11,1.31,0.0,0.98,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1.01,99.99
11/05/2021,20.53,12.99,7.51,3.88,4.85,5.06,4.52,4.65,4.23,4.46,4.69,3.35,2.78,1.82,1.97,1.31,1.66,1.24,1.78,1.67,1.06,1.27,0.0,0.97,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,100.02000000000002
11/08/2021,20.66,12.65,7.29,3.87,5.09,5.02,4.69,4.48,4.34,4.39,4.77,3.33,2.78,1.92,1.96,1.28,1.62,1.23,1.77,1.6,1.06,1.39,0.0,0.95,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,100.01
11/09/2021,20.65,12.6,7.16,3.75,5.18,5.02,4.74,4.36,4.28,4.36,4.86,3.13,2.84,1.94,1.98,1.29,1.65,1.27,1.78,1.67,1.12,1.53,0.0,0.96,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,100.0
11/10/2021,20.65,12.6,7.16,3.75,5.18,5.02,4.74,4.36,4.28,4.36,4.86,3.13,2.84,1.94,1.98,1.29,1.65,1.27,1.78,1.67,1.12,1.53,0.0,0.96,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,100.0
11/11/2021,20.65,12.6,7.16,3.75,5.18,5.02,4.74,4.36,4.28,4.36,4.86,3.13,2.84,1.94,1.98,1.29,1.65,1.27,1.78,1.67,1.12,1.53,0.0,0.96,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,100.0
11/12/2021,20.76,12.59,7.06,3.83,5.23,4.98,4.68,4.39,4.27,4.34,4.78,3.1,2.82,1.95,2.01,1.28,1.69,1.25,1.81,1.65,1.2,1.49,0.0,0.96,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,100.0
11/15/2021,20.76,12.59,7.06,3.83,5.23,4.98,4.68,4.39,4.27,4.34,4.78,3.1,2.82,1.95,2.01,1.28,1.69,1.25,1.81,1.65,1.2,1.49,0.0,0.96,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,100.0
11/16/2021,20.76,12.59,7.06,3.83,5.23,4.98,4.68,4.39,4.27,4.34,4.78,3.1,2.82,1.95,2.01,1.28,1.69,1.25,1.81,1.65,1.2,1.49,0.0,0.96,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,100.0
11/17/2021,20.76,12.59,7.06,3.83,5.23,4.98,4.68,4.39,4.27,4.34,4.78,3.1,2.82,1.95,2.01,1.28,1.69,1.25,1.81,1.65,1.2,1.49,0.0,0.96,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,100.0
