,IUSB,IVV,IAGG,IDEV,IEMG,IJH,IJR,XTSLA,USD,n/a,SUM
10/04/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/05/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/06/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/07/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/08/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/11/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/12/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/13/2021,59.22,15.79,10.46,9.69,3.24,0.99,0.45,0.18,0.0,0.0,100.02
10/19/2021,58.88,16.05,10.39,9.79,3.25,1.02,0.47,0.16,-0.01,0.0,100.0
10/20/2021,58.71,16.16,10.35,9.86,3.28,1.02,0.46,0.16,-0.01,0.0,99.99
10/21/2021,58.69,16.21,10.35,9.83,3.28,1.02,0.46,0.16,-0.01,0.0,99.99
10/22/2021,58.51,16.33,10.32,9.89,3.32,1.02,0.46,0.17,-0.01,0.0,100.01
10/25/2021,58.4,16.45,10.32,9.88,3.29,1.03,0.47,0.16,-0.01,0.0,99.99
10/26/2021,58.41,16.41,10.33,9.92,3.28,1.03,0.47,0.16,-0.01,0.0,100.0
10/27/2021,58.41,16.41,10.33,9.92,3.28,1.03,0.47,0.16,-0.01,0.0,100.0
10/28/2021,58.38,16.46,10.31,9.89,3.29,1.04,0.47,0.16,-0.01,0.0,99.99
10/29/2021,58.42,16.47,10.31,9.89,3.27,1.03,0.47,0.16,-0.01,0.0,100.01
11/01/2021,58.39,16.51,10.3,9.92,3.24,1.03,0.47,0.16,-0.01,0.0,100.01
11/02/2021,59.46,15.78,10.46,9.54,3.24,0.98,0.44,0.16,-0.06,0.0,100.0
11/03/2021,59.46,15.78,10.46,9.54,3.24,0.98,0.44,0.16,-0.06,0.0,100.0
11/04/2021,59.25,15.79,10.44,9.61,3.26,1.0,0.45,0.16,0.03,0.0,99.99
11/05/2021,59.32,15.85,10.46,9.57,3.23,1.0,0.45,0.16,-0.05,0.0,99.99
11/08/2021,59.19,15.95,10.45,9.61,3.23,1.01,0.45,0.11,0.0,0.0,100.0
11/09/2021,59.19,15.94,10.47,9.59,3.22,1.01,0.46,0.18,-0.07,0.0,99.99
11/10/2021,59.19,15.94,10.47,9.59,3.22,1.01,0.46,0.18,-0.07,0.0,99.99
11/11/2021,59.13,15.97,10.45,9.61,3.25,1.01,0.46,0.18,-0.07,0.0,99.99000000000002
11/12/2021,59.23,15.91,10.46,9.58,3.23,1.01,0.46,0.11,0.0,0.0,99.99
11/15/2021,59.17,15.9,10.49,9.55,3.3,1.02,0.46,0.11,0.0,0.0,100.0
11/16/2021,59.17,15.9,10.49,9.55,3.3,1.02,0.46,0.11,0.0,0.0,100.0
11/17/2021,59.05,15.98,10.48,9.6,3.3,1.02,0.46,0.11,0.0,0.0,100.0
11/18/2021,59.01,16.03,10.47,9.6,3.3,1.02,0.46,0.11,0.0,0.0,100.0
11/19/2021,58.95,16.09,10.49,9.58,3.3,1.02,0.46,0.11,0.0,0.0,100.0
11/22/2021,59.05,16.05,10.49,9.55,3.28,1.01,0.46,0.11,0.0,0.0,100.0
11/23/2021,59.05,16.05,10.49,9.55,3.28,1.01,0.46,0.11,0.0,0.0,100.0
11/24/2021,59.15,16.06,10.51,9.47,3.24,1.01,0.45,0.11,0.0,0.0,100.0
11/25/2021,59.14,16.08,10.52,9.45,3.22,1.01,0.46,0.11,0.0,0.0,99.99
11/26/2021,59.06,16.14,10.52,9.47,3.23,1.02,0.46,0.11,-0.01,0.0,100.0
11/29/2021,59.11,16.16,10.52,9.4,3.22,1.01,0.46,0.11,-0.01,0.0,99.98
11/30/2021,59.67,15.86,10.61,9.2,3.13,0.99,0.44,0.11,-0.01,0.0,100.0
12/01/2021,59.67,15.86,10.61,9.2,3.13,0.99,0.44,0.11,-0.01,0.0,100.0
12/02/2021,59.52,16.02,10.58,9.21,3.13,0.98,0.44,0.11,-0.01,0.0,99.98
12/06/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/07/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/08/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/09/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/10/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/13/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/14/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/15/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/16/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/17/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/20/2021,59.69,15.8,10.63,9.18,3.18,0.97,0.43,0.11,0.0,0.0,99.99
12/21/2021,59.55,15.86,10.52,9.05,3.06,0.96,0.43,0.39,0.0,0.18,100.0
12/22/2021,59.55,15.86,10.52,9.05,3.06,0.96,0.43,0.39,0.0,0.18,100.0
12/23/2021,59.67,15.74,10.56,9.05,3.03,0.95,0.42,0.39,0.0,0.19,100.0
12/24/2021,59.4,15.96,10.47,9.13,3.07,0.97,0.43,0.39,0.0,0.18,100.0
12/27/2021,59.39,16.22,10.45,9.28,3.1,0.99,0.44,0.46,0.0,-0.32,100.01
12/28/2021,59.39,16.22,10.45,9.28,3.1,0.99,0.44,0.46,0.0,-0.32,100.01
12/29/2021,59.39,16.22,10.45,9.28,3.1,0.99,0.44,0.46,0.0,-0.32,100.01
12/30/2021,59.21,16.38,10.4,9.32,3.1,1.0,0.44,0.57,0.0,-0.43,99.99
12/31/2021,59.22,16.37,10.4,9.33,3.09,1.0,0.44,0.57,0.0,-0.43,99.99
01/03/2022,59.22,16.36,10.4,9.31,3.12,1.0,0.44,0.15,0.0,0.0,99.99999999999999
