,DOCU,APT.AX,SQ,PYPL,ADYEN.AS,MA,AXP,WLN.PA,V,GPN,FIS,FISV,DFS,FLT,STNE,JKHY,PAGS,NEXI.MI,WU,WEX,EEFT,NCR,QTWO,3769.T,NVEI.TO,ACIW,AFRM,EVTC,8083.HK,NETW.L,BIGC,GDOT,ZUO,8253.T,EPAY,LC,IRE.AX,CSGS,SZL.AX,EVOP,8570.T,PPH.NZ,OSPN,PFG.L,MITK,327.HK,8585.T,FGXXX,CTLP,BOKU.L,QIWI,CASS,Yiren Digital Ltd ADR,GSKY,SPT.AX,QIWI PLC ADR,YRD,688101.SS,n/a,688617.SS,688001.SS,SUM
07/23/2021,5.49,4.54,5.01,5.04,4.87,4.53,4.47,4.53,4.66,4.37,4.42,4.33,4.28,4.08,3.17,3.41,2.79,2.87,2.5,2.18,1.73,1.49,1.44,1.47,1.14,1.09,0.82,0.81,0.52,0.67,0.65,0.63,0.47,0.49,0.45,0.39,0.42,0.39,0.32,0.35,0.35,0.32,0.22,0.23,0.21,0.23,0.2,0.14,0.15,0.16,0.0,0.14,0.0,0.1,0.02,0.14,0.11,0.0,0.0,0.0,0.0,100.0
07/26/2021,5.51,4.43,5.3,4.96,4.74,4.53,4.55,4.5,4.54,4.33,4.34,4.29,4.42,4.07,3.23,3.33,3.0,2.83,2.44,2.24,1.76,1.52,1.46,1.42,1.15,1.07,0.85,0.78,0.51,0.63,0.68,0.62,0.49,0.46,0.46,0.41,0.4,0.38,0.31,0.35,0.34,0.31,0.22,0.24,0.21,0.22,0.19,0.13,0.15,0.16,0.0,0.14,0.0,0.11,0.02,0.14,0.11,0.0,0.0,0.0,0.0,99.98
07/27/2021,5.51,4.43,5.3,4.96,4.74,4.53,4.55,4.5,4.54,4.33,4.34,4.29,4.42,4.07,3.23,3.33,3.0,2.83,2.44,2.24,1.76,1.52,1.46,1.42,1.15,1.07,0.85,0.78,0.51,0.63,0.68,0.62,0.49,0.46,0.46,0.41,0.4,0.38,0.31,0.35,0.34,0.31,0.22,0.24,0.21,0.22,0.19,0.13,0.15,0.16,0.0,0.14,0.0,0.11,0.02,0.14,0.11,0.0,0.0,0.0,0.0,99.98
07/28/2021,5.54,4.39,5.36,5.0,4.94,4.62,4.51,4.53,4.58,4.29,4.38,4.3,4.27,4.05,3.2,3.34,3.01,2.89,2.42,2.26,1.72,1.47,1.44,1.4,1.17,1.04,0.82,0.8,0.52,0.63,0.69,0.6,0.49,0.45,0.45,0.39,0.4,0.37,0.3,0.35,0.33,0.31,0.22,0.23,0.21,0.22,0.18,0.12,0.15,0.17,0.14,0.14,0.0,0.11,0.0,0.0,0.09,0.02,0.0,0.0,0.0,100.02000000000002
07/29/2021,5.51,4.32,5.34,4.99,4.95,4.63,4.51,4.58,4.62,4.27,4.38,4.29,4.34,4.05,3.07,3.34,2.92,2.85,2.45,2.27,1.74,1.5,1.44,1.46,1.19,1.04,0.83,0.79,0.48,0.64,0.68,0.61,0.49,0.46,0.45,0.4,0.4,0.37,0.29,0.35,0.34,0.31,0.22,0.24,0.22,0.21,0.18,0.12,0.15,0.17,0.14,0.14,0.0,0.1,0.0,0.0,0.09,0.02,0.0,0.0,0.0,99.94
07/30/2021,5.51,4.32,5.34,4.99,4.95,4.63,4.51,4.58,4.62,4.27,4.38,4.29,4.34,4.05,3.07,3.34,2.92,2.85,2.45,2.27,1.74,1.5,1.44,1.46,1.19,1.04,0.83,0.79,0.48,0.64,0.68,0.61,0.49,0.46,0.45,0.4,0.4,0.37,0.29,0.35,0.34,0.31,0.22,0.24,0.22,0.21,0.18,0.12,0.15,0.17,0.14,0.14,0.0,0.1,0.0,0.0,0.09,0.02,0.0,0.0,0.0,99.94
08/02/2021,5.54,4.13,5.32,4.96,5.08,4.56,4.48,4.32,4.6,4.32,4.43,4.43,4.33,4.09,3.11,3.3,2.88,2.89,2.45,2.31,1.8,1.49,1.45,1.47,1.21,1.03,0.86,0.8,0.45,0.65,0.71,0.62,0.49,0.48,0.46,0.4,0.39,0.38,0.3,0.35,0.35,0.31,0.23,0.25,0.21,0.2,0.19,0.12,0.15,0.18,0.14,0.14,0.0,0.11,0.0,0.0,0.09,0.02,0.0,0.0,0.0,100.01000000000002
08/03/2021,5.54,4.13,5.32,4.96,5.08,4.56,4.48,4.32,4.6,4.32,4.43,4.43,4.33,4.09,3.11,3.3,2.88,2.89,2.45,2.31,1.8,1.49,1.45,1.47,1.21,1.03,0.86,0.8,0.45,0.65,0.71,0.62,0.49,0.48,0.46,0.4,0.39,0.38,0.3,0.35,0.35,0.31,0.23,0.25,0.21,0.2,0.19,0.12,0.15,0.18,0.14,0.14,0.0,0.11,0.0,0.0,0.09,0.02,0.0,0.0,0.0,100.01000000000002
08/04/2021,5.54,4.13,5.32,4.96,5.08,4.56,4.48,4.32,4.6,4.32,4.43,4.43,4.33,4.09,3.11,3.3,2.88,2.89,2.45,2.31,1.8,1.49,1.45,1.47,1.21,1.03,0.86,0.8,0.45,0.65,0.71,0.62,0.49,0.48,0.46,0.4,0.39,0.38,0.3,0.35,0.35,0.31,0.23,0.25,0.21,0.2,0.19,0.12,0.15,0.18,0.14,0.14,0.0,0.11,0.0,0.0,0.09,0.02,0.0,0.0,0.0,100.01000000000002
08/05/2021,5.54,4.13,5.32,4.96,5.08,4.56,4.48,4.32,4.6,4.32,4.43,4.43,4.33,4.09,3.11,3.3,2.88,2.89,2.45,2.31,1.8,1.49,1.45,1.47,1.21,1.03,0.86,0.8,0.45,0.65,0.71,0.62,0.49,0.48,0.46,0.4,0.39,0.38,0.3,0.35,0.35,0.31,0.23,0.25,0.21,0.2,0.19,0.12,0.15,0.18,0.14,0.14,0.0,0.11,0.0,0.0,0.09,0.02,0.0,0.0,0.0,100.01000000000002
08/06/2021,5.38,5.41,5.6,4.54,5.12,4.42,4.5,4.35,4.46,3.86,3.93,4.26,4.48,4.05,3.14,3.41,2.96,2.77,2.43,2.1,1.76,1.49,1.38,1.45,1.17,1.01,0.95,0.8,0.59,0.61,0.69,0.6,0.49,0.47,0.47,0.65,0.44,0.38,0.3,0.33,0.35,0.3,0.23,0.27,0.24,0.21,0.19,0.12,0.15,0.19,0.14,0.15,0.0,0.14,0.0,0.0,0.09,0.02,0.0,0.0,0.0,99.99
08/09/2021,5.58,5.27,5.83,4.63,5.19,4.45,4.49,4.3,4.49,3.85,3.88,4.29,4.49,4.18,3.14,3.34,2.95,2.7,2.37,2.06,1.72,1.34,1.29,1.41,1.2,0.97,0.95,0.85,0.56,0.64,0.72,0.63,0.47,0.46,0.47,0.68,0.45,0.38,0.3,0.32,0.34,0.3,0.17,0.28,0.24,0.21,0.19,0.13,0.16,0.19,0.0,0.15,0.0,0.14,0.03,0.0,0.09,0.0,0.13,0.0,0.0,100.04
08/10/2021,5.58,5.27,5.83,4.63,5.19,4.45,4.49,4.3,4.49,3.85,3.88,4.29,4.49,4.18,3.14,3.34,2.95,2.7,2.37,2.06,1.72,1.34,1.29,1.41,1.2,0.97,0.95,0.85,0.56,0.64,0.72,0.63,0.47,0.46,0.47,0.68,0.45,0.38,0.3,0.32,0.34,0.3,0.17,0.28,0.24,0.21,0.19,0.13,0.16,0.19,0.0,0.15,0.0,0.14,0.03,0.0,0.09,0.0,0.13,0.0,0.0,100.04
08/11/2021,5.58,5.27,5.83,4.63,5.19,4.45,4.49,4.3,4.49,3.85,3.88,4.29,4.49,4.18,3.14,3.34,2.95,2.7,2.37,2.06,1.72,1.34,1.29,1.41,1.2,0.97,0.95,0.85,0.56,0.64,0.72,0.63,0.47,0.46,0.47,0.68,0.45,0.38,0.3,0.32,0.34,0.3,0.17,0.28,0.24,0.21,0.19,0.13,0.16,0.19,0.0,0.15,0.0,0.14,0.03,0.0,0.09,0.0,0.13,0.0,0.0,100.04
08/12/2021,5.58,5.4,5.77,4.57,5.11,4.42,4.51,4.3,4.47,3.92,4.0,4.3,4.56,4.19,3.17,3.32,3.02,2.7,2.41,2.02,1.73,1.35,1.21,1.39,1.19,0.97,0.93,0.86,0.53,0.63,0.63,0.62,0.46,0.46,0.48,0.65,0.45,0.38,0.3,0.32,0.34,0.29,0.17,0.28,0.24,0.21,0.19,0.13,0.16,0.19,0.0,0.15,0.0,0.15,0.03,0.0,0.09,0.0,0.13,0.0,0.0,100.03
08/13/2021,5.5,5.6,5.64,4.52,5.13,4.39,4.48,4.23,4.45,3.84,3.96,4.33,4.66,4.22,3.06,3.32,3.04,2.68,2.4,2.01,1.72,1.41,1.17,1.41,1.37,0.96,0.93,0.86,0.55,0.67,0.63,0.62,0.45,0.45,0.47,0.67,0.45,0.38,0.31,0.32,0.34,0.29,0.18,0.28,0.23,0.22,0.19,0.13,0.15,0.19,0.0,0.15,0.0,0.15,0.03,0.0,0.09,0.0,0.13,0.0,0.0,100.01000000000002
08/16/2021,5.42,5.51,5.57,4.55,5.11,4.35,4.48,4.18,4.35,3.81,4.02,4.36,4.76,4.17,3.03,3.37,3.02,2.71,2.39,2.01,1.78,1.49,1.14,1.35,1.48,0.97,0.96,0.87,0.48,0.66,0.64,0.62,0.45,0.47,0.45,0.72,0.48,0.39,0.32,0.31,0.35,0.29,0.19,0.31,0.24,0.22,0.19,0.14,0.15,0.19,0.13,0.15,0.0,0.15,0.0,0.0,0.09,0.03,0.0,0.0,0.0,100.02000000000002
08/17/2021,5.42,5.51,5.57,4.55,5.11,4.35,4.48,4.18,4.35,3.81,4.02,4.36,4.76,4.17,3.03,3.37,3.02,2.71,2.39,2.01,1.78,1.49,1.14,1.35,1.48,0.97,0.96,0.87,0.48,0.66,0.64,0.62,0.45,0.47,0.45,0.72,0.48,0.39,0.32,0.31,0.35,0.29,0.19,0.31,0.24,0.22,0.19,0.14,0.15,0.19,0.13,0.15,0.0,0.15,0.0,0.0,0.09,0.03,0.0,0.0,0.0,100.02000000000002
08/18/2021,5.41,5.54,5.54,4.54,5.15,4.34,4.4,4.17,4.35,3.88,4.01,4.37,4.78,4.21,2.91,3.42,3.1,2.7,2.39,2.01,1.76,1.46,1.12,1.35,1.5,0.96,0.93,0.87,0.48,0.66,0.64,0.62,0.45,0.46,0.46,0.72,0.48,0.4,0.32,0.32,0.35,0.3,0.19,0.32,0.24,0.22,0.19,0.14,0.15,0.19,0.14,0.15,0.0,0.14,0.0,0.0,0.09,0.03,0.0,0.0,0.0,100.02000000000002
08/19/2021,5.41,5.54,5.54,4.54,5.15,4.34,4.4,4.17,4.35,3.88,4.01,4.37,4.78,4.21,2.91,3.42,3.1,2.7,2.39,2.01,1.76,1.46,1.12,1.35,1.5,0.96,0.93,0.87,0.48,0.66,0.64,0.62,0.45,0.46,0.46,0.72,0.48,0.4,0.32,0.32,0.35,0.3,0.19,0.32,0.24,0.22,0.19,0.14,0.15,0.19,0.14,0.15,0.0,0.14,0.0,0.0,0.09,0.0,0.0,0.03,0.0,100.02000000000002
08/20/2021,5.29,5.55,5.5,4.63,5.2,4.39,4.43,4.16,4.44,3.84,4.02,4.43,4.81,4.22,2.82,3.46,3.01,2.7,2.4,2.03,1.79,1.45,1.11,1.38,1.52,0.96,0.91,0.88,0.43,0.65,0.6,0.62,0.45,0.46,0.47,0.7,0.49,0.4,0.32,0.32,0.34,0.3,0.18,0.3,0.23,0.21,0.19,0.14,0.15,0.19,0.0,0.16,0.0,0.14,0.03,0.0,0.09,0.0,0.13,0.0,0.0,100.02
08/23/2021,5.38,5.45,5.46,4.58,5.6,4.39,4.33,4.17,4.45,3.79,3.96,4.67,4.56,4.2,2.81,3.49,3.04,2.77,2.36,2.0,1.77,1.39,1.15,1.42,1.49,0.94,0.92,0.88,0.39,0.69,0.56,0.64,0.44,0.45,0.49,0.67,0.48,0.4,0.25,0.31,0.33,0.3,0.17,0.31,0.23,0.23,0.2,0.15,0.15,0.19,0.13,0.16,0.0,0.15,0.0,0.0,0.08,0.02,0.0,0.0,0.0,99.99
08/24/2021,5.38,5.45,5.46,4.58,5.6,4.39,4.33,4.17,4.45,3.79,3.96,4.67,4.56,4.2,2.81,3.49,3.04,2.77,2.36,2.0,1.77,1.39,1.15,1.42,1.49,0.94,0.92,0.88,0.39,0.69,0.56,0.64,0.44,0.45,0.49,0.67,0.48,0.4,0.25,0.31,0.33,0.3,0.17,0.31,0.23,0.23,0.2,0.15,0.15,0.19,0.13,0.16,0.0,0.15,0.0,0.0,0.08,0.02,0.0,0.0,0.0,99.99
08/25/2021,5.33,5.36,5.55,4.59,5.8,4.33,4.31,4.1,4.41,3.76,3.97,4.63,4.58,4.21,2.79,3.48,3.06,2.71,2.34,2.04,1.78,1.4,1.15,1.44,1.54,0.96,0.93,0.88,0.35,0.68,0.57,0.65,0.45,0.43,0.49,0.73,0.47,0.4,0.25,0.31,0.32,0.29,0.17,0.31,0.24,0.22,0.19,0.15,0.15,0.19,0.0,0.16,0.0,0.15,0.02,0.0,0.08,0.0,0.13,0.0,0.0,99.98
08/26/2021,5.32,5.46,5.6,4.57,5.89,4.32,4.25,4.1,4.38,3.76,3.89,4.61,4.54,4.19,2.9,3.41,3.03,2.75,2.3,2.04,1.79,1.39,1.15,1.46,1.64,0.95,0.96,0.87,0.34,0.67,0.57,0.65,0.46,0.43,0.48,0.71,0.47,0.4,0.25,0.31,0.32,0.3,0.17,0.3,0.24,0.22,0.19,0.0,0.15,0.18,0.13,0.15,0.0,0.14,0.02,0.0,0.08,0.0,0.14,0.0,0.0,99.99
08/27/2021,5.33,5.53,5.54,4.57,5.97,4.29,4.23,4.07,4.35,3.76,3.86,4.6,4.53,4.19,2.99,3.31,3.04,2.71,2.29,2.04,1.8,1.41,1.16,1.48,1.7,0.93,0.96,0.86,0.35,0.67,0.58,0.65,0.46,0.44,0.48,0.71,0.46,0.39,0.25,0.31,0.32,0.31,0.17,0.3,0.24,0.22,0.19,0.14,0.15,0.18,0.13,0.15,0.0,0.14,0.0,0.0,0.08,0.02,0.0,0.0,0.0,99.99
08/30/2021,5.43,5.47,5.45,4.54,5.82,4.25,4.41,4.08,4.34,3.68,3.86,4.62,4.63,4.14,2.77,3.37,3.06,2.72,2.29,2.08,1.78,1.45,1.17,1.46,1.76,0.95,1.0,0.86,0.34,0.68,0.59,0.66,0.47,0.44,0.49,0.69,0.46,0.39,0.25,0.3,0.32,0.31,0.17,0.31,0.24,0.23,0.2,0.14,0.15,0.18,0.0,0.15,0.0,0.14,0.02,0.0,0.07,0.0,0.12,0.0,0.0,99.95
08/31/2021,5.43,5.47,5.45,4.54,5.82,4.25,4.41,4.08,4.34,3.68,3.86,4.62,4.63,4.14,2.77,3.37,3.06,2.72,2.29,2.08,1.78,1.45,1.17,1.46,1.76,0.95,1.0,0.86,0.34,0.68,0.59,0.66,0.47,0.44,0.49,0.69,0.46,0.39,0.25,0.3,0.32,0.31,0.17,0.31,0.24,0.23,0.2,0.0,0.15,0.18,0.12,0.15,0.0,0.14,0.02,0.0,0.07,0.0,0.14,0.0,0.0,99.95
09/01/2021,5.44,5.36,5.48,4.54,5.89,4.21,4.42,4.04,4.31,3.68,3.81,4.56,4.67,4.15,2.79,3.36,3.18,2.69,2.28,2.09,1.78,1.47,1.21,1.43,1.83,0.95,0.95,0.86,0.34,0.67,0.6,0.67,0.48,0.44,0.5,0.7,0.46,0.4,0.24,0.31,0.32,0.31,0.17,0.32,0.24,0.22,0.19,0.14,0.15,0.18,0.13,0.15,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.0,0.02,99.99
09/02/2021,5.44,5.36,5.48,4.54,5.89,4.21,4.42,4.04,4.31,3.68,3.81,4.56,4.67,4.15,2.79,3.36,3.18,2.69,2.28,2.09,1.78,1.47,1.21,1.43,1.83,0.95,0.95,0.86,0.34,0.67,0.6,0.67,0.48,0.44,0.5,0.7,0.46,0.4,0.24,0.31,0.32,0.31,0.17,0.32,0.24,0.22,0.19,0.14,0.15,0.18,0.13,0.15,0.0,0.14,0.0,0.0,0.07,0.0,0.0,0.0,0.02,99.99
09/03/2021,5.48,5.42,5.56,4.7,5.94,4.17,4.3,4.06,4.27,3.61,3.76,4.52,4.44,4.12,2.68,3.36,3.14,2.69,2.23,2.07,1.74,1.43,1.2,1.45,1.82,0.95,1.39,0.85,0.39,0.67,0.61,0.69,0.48,0.44,0.49,0.7,0.45,0.4,0.24,0.31,0.32,0.31,0.17,0.32,0.25,0.22,0.2,0.0,0.15,0.18,0.13,0.15,0.0,0.14,0.02,0.0,0.07,0.0,0.14,0.0,0.0,99.99
09/06/2021,5.36,5.63,5.47,4.69,5.89,4.06,4.27,4.11,4.17,3.57,3.78,4.51,4.36,4.19,2.43,3.38,3.1,2.76,2.29,2.03,1.78,1.43,1.25,1.49,1.74,0.98,1.39,0.86,0.53,0.71,0.6,0.72,0.51,0.44,0.5,0.77,0.46,0.4,0.25,0.3,0.32,0.32,0.17,0.32,0.25,0.23,0.19,0.15,0.15,0.18,0.13,0.15,0.0,0.14,0.0,0.0,0.08,0.0,0.0,0.0,0.02,99.96
09/07/2021,5.36,5.63,5.47,4.69,5.89,4.06,4.27,4.11,4.17,3.57,3.78,4.51,4.36,4.19,2.43,3.38,3.1,2.76,2.29,2.03,1.78,1.43,1.25,1.49,1.74,0.98,1.39,0.86,0.53,0.71,0.6,0.72,0.51,0.44,0.5,0.77,0.46,0.4,0.25,0.3,0.32,0.32,0.17,0.32,0.25,0.23,0.19,0.15,0.15,0.18,0.13,0.15,0.0,0.14,0.02,0.0,0.08,0.0,0.0,0.0,0.0,99.96
09/08/2021,5.36,5.63,5.47,4.69,5.89,4.06,4.27,4.11,4.17,3.57,3.78,4.51,4.36,4.19,2.43,3.38,3.1,2.76,2.29,2.03,1.78,1.43,1.25,1.49,1.74,0.98,1.39,0.86,0.53,0.71,0.6,0.72,0.51,0.44,0.5,0.77,0.46,0.4,0.25,0.3,0.32,0.32,0.17,0.32,0.25,0.23,0.19,0.15,0.15,0.18,0.13,0.15,0.0,0.14,0.02,0.0,0.08,0.0,0.0,0.0,0.0,99.96
09/09/2021,5.65,5.52,5.56,4.76,5.86,4.06,4.21,3.98,4.2,3.57,3.74,4.51,4.33,4.19,2.44,3.38,3.07,2.75,2.3,2.01,1.77,1.4,1.26,1.51,1.77,1.0,1.31,0.86,0.51,0.68,0.6,0.73,0.52,0.45,0.5,0.77,0.47,0.4,0.25,0.3,0.33,0.32,0.18,0.32,0.25,0.25,0.2,0.13,0.16,0.19,0.12,0.15,0.0,0.14,0.02,0.0,0.08,0.0,0.0,0.0,0.0,99.99
09/10/2021,5.34,5.58,5.51,4.84,5.86,4.13,4.24,3.95,4.24,3.6,3.77,4.51,4.29,4.18,2.46,3.34,3.06,2.83,2.29,1.98,1.75,1.4,1.25,1.55,1.8,0.99,1.3,0.86,0.54,0.67,0.64,0.72,0.51,0.46,0.5,0.8,0.46,0.4,0.26,0.3,0.33,0.33,0.17,0.32,0.25,0.25,0.2,0.13,0.16,0.19,0.12,0.15,0.0,0.15,0.02,0.0,0.08,0.0,0.0,0.0,0.0,100.01
09/13/2021,5.2,5.52,5.32,4.75,5.77,4.24,4.25,3.95,4.33,3.89,3.93,4.62,4.23,4.26,2.37,3.37,2.97,2.79,2.3,2.04,1.76,1.38,1.25,1.61,1.8,0.99,1.25,0.87,0.54,0.66,0.59,0.7,0.49,0.47,0.51,0.76,0.46,0.41,0.25,0.31,0.34,0.34,0.17,0.31,0.24,0.24,0.21,0.14,0.16,0.19,0.12,0.15,0.0,0.15,0.02,0.0,0.08,0.0,0.0,0.0,0.0,100.02
09/14/2021,5.19,5.36,5.26,4.78,5.92,4.25,4.27,3.95,4.3,3.94,3.84,4.54,4.29,4.28,2.43,3.34,3.0,2.81,2.29,2.01,1.75,1.39,1.23,1.61,1.86,0.99,1.32,0.86,0.54,0.66,0.55,0.69,0.49,0.47,0.5,0.76,0.45,0.4,0.25,0.31,0.34,0.34,0.18,0.31,0.24,0.25,0.21,0.14,0.16,0.19,0.12,0.15,0.0,0.15,0.02,0.0,0.08,0.0,0.0,0.0,0.0,100.01
09/15/2021,5.14,5.37,5.21,4.76,5.98,4.22,4.27,3.96,4.27,3.83,3.76,4.4,4.32,4.24,2.41,3.31,3.0,2.81,2.28,1.99,1.72,1.35,1.22,1.7,1.88,0.98,1.78,0.86,0.55,0.66,0.57,0.69,0.48,0.48,0.49,0.76,0.44,0.4,0.26,0.31,0.35,0.34,0.18,0.31,0.23,0.25,0.22,0.14,0.16,0.19,0.12,0.15,0.0,0.15,0.02,0.0,0.08,0.0,0.0,0.0,0.0,100.0
09/16/2021,5.06,5.3,5.21,4.72,5.91,4.25,4.36,3.95,4.29,3.81,3.81,4.39,4.42,4.25,2.42,3.32,3.01,2.85,2.35,2.05,1.74,1.37,1.21,1.69,1.82,0.99,1.58,0.87,0.54,0.66,0.58,0.69,0.48,0.49,0.5,0.74,0.45,0.4,0.26,0.31,0.35,0.35,0.19,0.32,0.23,0.24,0.21,0.14,0.15,0.19,0.12,0.15,0.0,0.17,0.02,0.0,0.08,0.0,0.0,0.0,0.0,100.01
09/17/2021,5.06,5.3,5.21,4.72,5.91,4.25,4.36,3.95,4.29,3.81,3.81,4.39,4.42,4.25,2.42,3.32,3.01,2.85,2.35,2.05,1.74,1.37,1.21,1.69,1.82,0.99,1.58,0.87,0.54,0.66,0.58,0.69,0.48,0.49,0.5,0.74,0.45,0.4,0.26,0.31,0.35,0.35,0.19,0.32,0.23,0.24,0.21,0.14,0.15,0.19,0.12,0.15,0.0,0.17,0.02,0.0,0.08,0.0,0.0,0.0,0.0,100.01
