,NTLA,CRSP,NVTA,MRNA,MRK.DE,FATE,GMAB.CO,REGN,SRPT,SGEN,EVT.DE,TWST,SAN.PA,4502.T,BNTX,6160,GILD,BPMC,EXEL,BCRX,SWTX,EDIT,VIR,NSTG,INO,MGNX,LGND,FGEN,BLUE,CNST,ALLO,AGEN,IBRX,PSNL,SGMO,VLA.PA,VXRT,RAPT,CTMX,MTEM,DTIL,SYRS,ALGS,ARCT,TCRR,XTSLA,ADAP,ISEE,ZIOP,JPY,HBCFT,HKD,DKK,ALT,GBP,CHF,IXCU1,EUR,EUR.1,USD,6160.HK,IXCZ1,BISXX,n/a,SUM
08/02/2021,5.69,3.93,3.68,6.62,4.46,4.42,4.25,4.22,3.38,3.65,3.52,3.49,3.68,3.79,5.31,3.34,3.86,3.26,2.83,2.2,2.25,1.65,1.61,1.89,1.43,1.03,1.29,0.56,0.87,0.0,1.07,0.75,0.67,0.5,0.79,0.64,0.63,0.35,0.1,0.38,0.33,0.13,0.05,0.18,0.04,0.06,0.34,0.46,0.3,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/03/2021,5.88,3.99,3.66,6.76,4.46,4.25,4.28,4.16,3.32,3.81,3.54,3.6,3.68,3.7,5.56,3.28,3.77,3.37,2.83,2.11,2.18,1.64,1.57,1.88,1.41,0.98,1.22,0.57,0.86,0.0,1.04,0.75,0.65,0.49,0.77,0.62,0.58,0.34,0.1,0.36,0.33,0.13,0.05,0.18,0.04,0.06,0.33,0.45,0.3,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.94
08/04/2021,5.88,3.99,3.66,6.76,4.46,4.25,4.28,4.16,3.32,3.81,3.54,3.6,3.68,3.7,5.56,3.28,3.77,3.37,2.83,2.11,2.18,1.64,1.57,1.88,1.41,0.98,1.22,0.57,0.86,0.0,1.04,0.75,0.65,0.49,0.77,0.62,0.58,0.34,0.1,0.36,0.33,0.13,0.05,0.18,0.04,0.06,0.33,0.45,0.3,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.94
08/05/2021,5.88,3.99,3.66,6.76,4.46,4.25,4.28,4.16,3.32,3.81,3.54,3.6,3.68,3.7,5.56,3.28,3.77,3.37,2.83,2.11,2.18,1.64,1.57,1.88,1.41,0.98,1.22,0.57,0.86,0.0,1.04,0.75,0.65,0.49,0.77,0.62,0.58,0.34,0.1,0.36,0.33,0.13,0.05,0.18,0.04,0.06,0.33,0.45,0.3,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.94
08/06/2021,5.65,3.93,3.66,7.25,4.42,4.19,4.29,4.16,3.31,3.85,3.54,3.41,3.59,3.63,5.85,3.43,3.78,3.24,2.79,2.15,2.14,1.62,1.51,1.86,1.42,0.96,1.17,0.57,0.84,0.0,1.02,0.77,0.66,0.46,0.76,0.61,0.68,0.34,0.1,0.36,0.32,0.13,0.05,0.34,0.04,0.06,0.32,0.45,0.3,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/10/2021,6.47,4.2,3.62,7.37,4.3,4.56,3.97,4.11,3.64,3.72,3.44,3.02,3.38,3.38,6.14,3.28,3.54,3.42,2.7,2.15,1.94,2.03,1.58,1.72,1.43,0.9,1.11,0.56,0.79,0.0,1.04,0.76,0.6,0.46,0.73,0.59,0.66,0.34,0.09,0.35,0.32,0.12,0.05,0.27,0.04,0.06,0.3,0.46,0.28,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/11/2021,6.47,4.2,3.62,7.37,4.3,4.56,3.97,4.11,3.64,3.72,3.44,3.02,3.38,3.38,6.14,3.28,3.54,3.42,2.7,2.15,1.94,2.03,1.58,1.72,1.43,0.9,1.11,0.56,0.79,0.0,1.04,0.76,0.6,0.46,0.73,0.59,0.66,0.34,0.09,0.35,0.32,0.12,0.05,0.27,0.04,0.06,0.3,0.46,0.28,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/16/2021,6.27,4.21,3.43,6.88,4.51,4.36,4.14,4.15,3.72,3.66,3.82,2.95,3.46,3.44,5.8,2.78,3.69,3.43,2.84,1.86,1.78,2.75,1.75,1.64,1.26,0.91,1.11,0.63,0.76,0.0,0.95,0.81,0.48,0.44,0.78,0.53,0.7,0.34,0.08,0.21,0.37,0.12,0.05,0.63,0.23,0.0,0.34,0.47,0.23,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,100.0
08/17/2021,6.13,3.98,3.25,6.91,4.64,4.23,4.21,4.3,3.72,3.69,3.99,2.8,3.51,3.51,5.9,2.87,3.74,3.45,2.92,1.82,1.83,2.66,1.78,1.61,1.21,0.87,1.1,0.62,0.75,0.0,0.97,0.84,0.48,0.41,0.77,0.56,0.67,0.34,0.08,0.2,0.32,0.12,0.05,0.61,0.22,0.01,0.35,0.47,0.22,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,99.97
08/18/2021,6.13,3.98,3.25,6.91,4.64,4.23,4.21,4.3,3.72,3.69,3.99,2.8,3.51,3.51,5.9,2.87,3.74,3.45,2.92,1.82,1.83,2.66,1.78,1.61,1.21,0.87,1.1,0.62,0.75,0.0,0.97,0.84,0.48,0.41,0.77,0.56,0.67,0.34,0.08,0.2,0.32,0.12,0.05,0.61,0.22,0.01,0.35,0.47,0.22,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,99.97
08/19/2021,6.15,3.93,3.25,6.77,4.79,4.37,4.27,4.42,3.64,3.76,4.06,2.72,3.61,3.57,5.48,2.84,3.85,3.47,3.01,1.76,1.86,2.6,1.84,1.57,1.12,0.88,1.12,0.62,0.76,0.0,0.98,0.83,0.46,0.41,0.75,0.57,0.66,0.33,0.08,0.19,0.31,0.12,0.05,0.61,0.23,0.01,0.36,0.46,0.22,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,99.99
08/20/2021,6.1,3.81,3.24,7.17,4.73,4.15,4.23,4.49,3.65,3.8,4.09,2.73,3.58,3.52,5.77,2.78,3.86,3.47,3.05,1.63,1.83,2.61,1.77,1.53,1.12,0.9,1.11,0.61,0.76,0.0,1.01,0.81,0.43,0.4,0.75,0.56,0.65,0.34,0.08,0.18,0.3,0.12,0.05,0.64,0.25,0.09,0.34,0.47,0.21,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/23/2021,5.88,3.79,3.13,6.89,4.96,4.32,4.35,4.67,3.56,3.86,4.13,2.8,3.71,3.63,5.37,3.0,3.89,3.47,2.94,1.66,1.84,2.55,1.96,1.53,1.06,0.84,1.09,0.6,0.73,0.0,0.98,0.82,0.4,0.39,0.72,0.63,0.62,0.33,0.07,0.18,0.3,0.11,0.05,0.61,0.25,0.09,0.34,0.48,0.19,0.01,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/24/2021,5.94,3.76,3.26,6.94,4.98,3.34,4.41,4.67,3.74,3.85,4.17,2.79,3.69,3.58,5.58,2.77,3.89,3.51,3.01,1.64,1.79,2.65,1.88,1.56,1.09,0.84,1.09,0.62,0.73,0.0,1.09,0.85,0.43,0.4,0.74,0.62,0.66,0.32,0.14,0.18,0.31,0.12,0.05,0.63,0.29,0.09,0.34,0.48,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,100.01
08/25/2021,5.94,3.76,3.26,6.94,4.98,3.34,4.41,4.67,3.74,3.85,4.17,2.79,3.69,3.58,5.58,2.77,3.89,3.51,3.01,1.64,1.79,2.65,1.88,1.56,1.09,0.84,1.09,0.62,0.73,0.0,1.09,0.85,0.43,0.4,0.74,0.62,0.66,0.32,0.14,0.18,0.31,0.12,0.05,0.63,0.29,0.09,0.34,0.48,0.2,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,100.01
08/26/2021,6.05,3.87,3.37,7.19,4.74,3.47,4.27,4.52,3.51,3.85,4.11,2.89,3.53,3.51,5.89,2.58,3.75,3.46,2.95,1.68,1.81,2.76,1.87,1.55,1.08,0.86,1.17,0.61,0.72,0.0,1.07,0.84,0.45,0.41,0.75,0.63,0.67,0.33,0.16,0.17,0.32,0.12,0.11,0.64,0.29,0.08,0.37,0.5,0.21,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,99.98
08/27/2021,6.2,3.9,3.38,6.88,4.7,3.43,4.19,4.53,3.69,3.9,4.08,3.05,3.48,3.5,5.66,2.79,3.73,3.4,2.97,1.71,1.73,2.73,1.94,1.63,1.08,0.86,1.17,0.6,0.71,0.0,1.08,0.83,0.47,0.42,0.74,0.66,0.68,0.33,0.16,0.17,0.32,0.12,0.16,0.64,0.28,0.08,0.38,0.48,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/30/2021,5.93,3.78,3.41,7.01,4.7,3.44,4.22,4.53,3.76,3.94,4.0,2.89,3.5,3.45,5.72,2.93,3.71,3.35,3.0,1.71,1.74,2.71,1.97,1.59,1.13,0.84,1.13,0.57,0.72,0.0,1.06,0.86,0.46,0.42,0.73,0.73,0.69,0.34,0.16,0.17,0.34,0.13,0.16,0.69,0.28,0.06,0.44,0.47,0.21,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,6.1,3.81,3.53,6.64,4.67,3.48,4.19,4.48,3.75,3.86,4.01,2.97,3.47,3.41,5.5,2.9,3.67,3.36,3.04,1.73,1.78,2.76,1.94,1.63,1.13,0.87,1.15,0.57,0.72,0.0,1.08,0.84,0.47,0.45,0.75,0.8,0.68,0.33,0.16,0.17,0.36,0.14,0.16,0.71,0.3,0.06,0.45,0.52,0.22,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,6.1,3.81,3.53,6.64,4.67,3.48,4.19,4.48,3.75,3.86,4.01,2.97,3.47,3.41,5.5,2.9,3.67,3.36,3.04,1.73,1.78,2.76,1.94,1.63,1.13,0.87,1.15,0.57,0.72,0.0,1.08,0.84,0.47,0.45,0.75,0.8,0.68,0.33,0.16,0.17,0.36,0.14,0.16,0.71,0.3,0.06,0.45,0.52,0.22,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,5.91,3.74,3.58,6.49,4.76,3.45,4.26,4.6,3.64,3.93,4.05,2.93,3.49,3.45,5.33,3.0,3.73,3.39,3.03,1.75,1.74,2.62,1.95,1.65,1.12,0.86,1.23,0.57,0.71,0.0,1.08,0.9,0.47,0.46,0.75,0.93,0.67,0.34,0.16,0.17,0.37,0.14,0.16,0.68,0.3,0.06,0.46,0.52,0.2,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,6.1,3.84,3.61,6.53,4.7,3.5,4.17,4.53,3.71,3.87,3.95,3.0,3.44,3.44,5.04,3.06,3.74,3.33,2.99,1.76,1.69,2.67,1.99,1.64,1.11,0.87,1.33,0.57,0.73,0.0,1.06,0.83,0.46,0.46,0.74,1.02,0.68,0.34,0.16,0.17,0.39,0.14,0.17,0.68,0.31,0.06,0.45,0.52,0.2,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/06/2021,6.43,3.79,3.68,6.7,4.7,3.5,4.18,4.42,3.67,3.55,3.88,3.03,3.39,3.35,4.89,3.2,3.61,3.43,3.08,1.71,1.63,2.98,1.87,1.67,1.1,0.83,1.37,0.6,0.71,0.0,1.12,0.8,0.45,0.47,0.76,0.95,0.65,0.36,0.16,0.16,0.43,0.14,0.16,0.69,0.31,0.07,0.41,0.49,0.21,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
09/07/2021,6.57,3.66,3.72,7.06,4.73,3.4,4.21,4.47,3.74,3.44,3.86,2.97,3.39,3.4,5.0,3.27,3.61,3.42,3.02,1.69,1.58,2.8,1.85,1.68,1.07,0.81,1.36,0.6,0.7,0.0,1.1,0.8,0.43,0.48,0.74,0.97,0.64,0.37,0.16,0.16,0.41,0.14,0.16,0.66,0.31,0.08,0.42,0.46,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/08/2021,6.57,3.66,3.72,7.06,4.73,3.4,4.21,4.47,3.74,3.44,3.86,2.97,3.39,3.4,5.0,0.0,3.61,3.42,3.02,1.69,1.58,2.8,1.85,1.68,1.07,0.81,1.36,0.6,0.7,0.0,1.1,0.8,0.43,0.48,0.74,0.97,0.64,0.37,0.16,0.16,0.41,0.14,0.16,0.66,0.31,0.08,0.42,0.46,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,100.02
09/09/2021,6.54,3.65,3.7,7.03,4.71,3.39,4.24,4.45,3.73,3.42,3.87,2.96,3.37,3.39,4.98,0.0,3.6,3.4,3.01,1.68,1.58,2.79,1.84,1.67,1.07,0.8,1.35,0.59,0.69,0.0,1.1,0.8,0.43,0.48,0.74,1.07,0.64,0.36,0.16,0.16,0.41,0.14,0.16,0.66,0.31,0.08,0.42,0.46,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,99.98
09/10/2021,6.09,3.63,3.79,7.42,4.65,3.42,4.08,4.41,3.66,3.39,3.88,2.97,3.36,3.45,5.2,0.0,3.59,3.36,2.99,1.63,1.58,2.75,1.88,1.64,1.08,0.78,1.3,0.6,0.68,0.0,1.1,0.84,0.45,0.48,0.74,1.08,0.65,0.37,0.16,0.17,0.41,0.14,0.16,0.69,0.33,0.08,0.54,0.44,0.27,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,100.02
09/13/2021,6.03,3.68,3.81,7.79,4.69,3.26,3.94,4.29,3.77,3.41,3.98,3.08,3.23,3.46,5.3,0.0,3.58,3.33,3.01,1.66,1.5,2.67,1.89,1.64,1.07,0.83,1.35,0.57,0.71,0.0,1.1,0.87,0.4,0.48,0.74,1.01,0.67,0.37,0.16,0.16,0.4,0.14,0.15,0.69,0.33,0.08,0.53,0.42,0.23,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,100.06
09/17/2021,5.85,3.59,3.72,7.26,4.65,3.11,3.81,4.39,3.86,3.54,4.25,3.04,3.24,3.49,5.03,0.0,3.64,3.63,3.16,1.72,1.6,2.6,1.95,1.6,0.99,1.03,1.33,0.42,0.54,0.0,1.13,0.67,0.4,0.49,0.7,0.65,0.62,0.4,0.22,0.17,0.37,0.16,0.21,0.72,0.35,0.01,0.46,0.76,0.22,0.0,0.01,0.0,0.02,0.36,0.0,0.0,0.0,0.03,0.0,0.17,3.67,0.0,0.0,0.0,100.01
09/20/2021,5.76,3.58,3.67,7.38,4.48,3.15,3.58,4.38,4.06,3.56,4.18,2.99,3.17,3.5,5.52,0.0,3.63,3.68,3.18,1.67,1.62,2.57,2.02,1.53,1.01,0.78,1.34,0.42,0.53,0.0,1.09,0.66,0.41,0.48,0.7,0.6,0.62,0.41,0.22,0.18,0.38,0.16,0.22,0.73,0.33,0.14,0.45,0.79,0.22,0.0,0.01,0.0,0.02,0.35,0.0,0.0,0.0,0.03,0.0,0.04,3.81,0.0,0.0,0.0,99.99
09/21/2021,5.76,3.71,3.81,7.05,4.38,3.32,3.55,4.28,4.01,3.55,4.0,3.13,3.09,3.45,5.21,0.0,3.57,3.71,3.14,1.68,1.63,2.61,2.05,1.59,1.03,0.75,1.41,0.41,0.54,0.0,1.11,0.68,0.42,0.5,0.71,0.57,0.62,0.41,0.22,0.17,0.38,0.15,0.21,0.73,0.21,0.13,0.45,0.79,0.23,0.0,0.01,0.0,0.02,0.32,0.0,0.0,0.0,0.03,0.0,0.03,4.49,0.0,0.0,0.0,100.01
09/22/2021,5.76,3.71,3.81,7.05,4.38,3.32,3.55,4.28,4.01,3.55,4.0,3.13,3.09,3.45,5.21,0.0,3.57,3.71,3.14,1.68,1.63,2.61,2.05,1.59,1.03,0.75,1.41,0.41,0.54,0.0,1.11,0.68,0.42,0.5,0.71,0.57,0.62,0.41,0.22,0.17,0.38,0.15,0.21,0.73,0.21,0.13,0.45,0.79,0.23,0.0,0.01,0.0,0.02,0.32,0.0,0.0,0.0,0.03,0.0,0.03,4.49,0.0,0.0,0.0,100.01
09/23/2021,5.62,3.59,3.85,7.17,4.51,3.22,3.72,4.35,4.11,3.74,4.09,3.03,3.21,3.58,5.08,0.0,3.66,3.81,3.11,1.66,1.61,2.48,1.93,1.56,1.02,0.8,1.38,0.41,0.55,0.0,1.12,0.7,0.41,0.49,0.71,0.56,0.6,0.38,0.23,0.17,0.38,0.15,0.21,0.7,0.2,0.14,0.44,0.8,0.24,0.0,0.01,0.0,0.02,0.31,0.0,0.0,0.0,0.03,0.0,0.03,4.11,0.0,0.0,0.0,99.99
09/24/2021,5.51,3.56,3.91,7.24,4.56,3.21,3.76,4.32,4.14,3.81,4.13,3.17,3.17,3.49,5.03,0.0,3.64,3.84,3.14,1.67,1.61,2.46,1.95,1.51,1.02,0.8,1.39,0.4,0.54,0.0,1.13,0.69,0.42,0.48,0.72,0.61,0.6,0.37,0.24,0.19,0.38,0.14,0.21,0.7,0.2,0.14,0.47,0.79,0.25,0.0,0.01,0.0,0.02,0.32,0.0,0.0,0.0,0.03,0.0,0.0,3.94,0.0,0.0,0.0,100.03
09/27/2021,5.72,3.63,3.91,7.49,4.45,3.21,3.74,4.27,4.22,3.8,4.06,3.16,3.16,3.4,5.14,0.0,3.59,3.85,3.12,1.66,1.54,2.58,1.69,1.42,1.03,0.75,1.4,0.38,0.55,0.0,1.21,0.71,0.44,0.47,0.74,0.7,0.62,0.35,0.23,0.19,0.4,0.14,0.21,0.73,0.19,0.13,0.49,0.78,0.28,0.0,0.01,0.0,0.02,0.32,0.0,0.0,0.0,0.03,0.0,0.0,3.7,0.0,0.0,0.0,100.01
09/28/2021,5.67,3.6,3.76,7.31,4.5,3.12,3.78,4.35,4.36,3.8,4.04,3.02,3.22,3.52,5.01,0.0,3.68,3.87,3.2,1.66,1.55,2.51,1.71,1.42,1.02,0.75,1.41,0.39,0.56,0.0,1.16,0.71,0.44,0.45,0.74,0.67,0.62,0.37,0.23,0.22,0.39,0.14,0.21,0.7,0.19,0.11,0.5,0.81,0.27,0.0,0.01,0.0,0.02,0.32,0.0,0.0,0.0,0.03,0.0,0.03,3.85,0.0,0.0,0.0,99.98
09/29/2021,5.67,3.6,3.76,7.31,4.5,3.12,3.78,4.35,4.36,3.8,4.04,3.02,3.22,3.52,5.01,0.0,3.68,3.87,3.2,1.66,1.55,2.51,1.71,1.42,1.02,0.75,1.41,0.39,0.56,0.0,1.16,0.71,0.44,0.45,0.74,0.67,0.62,0.37,0.23,0.22,0.39,0.14,0.21,0.7,0.19,0.11,0.5,0.81,0.27,0.0,0.01,0.0,0.02,0.32,0.0,0.0,0.0,0.03,0.0,0.03,3.85,0.0,0.0,0.0,99.98
