,2QQQ  210930C00000700,2QQQ  210930C00354450,Cash&Other,2QQQ  210930C00367920,2QQQ  211231C00000710,2QQQ  211231C00357960,2QQQ  211231C00373240,SUM
09/10/2021,101.03,7.6,0.01,-8.65,0.0,0.0,0.0,99.99
09/13/2021,100.48,6.99,0.0,-7.48,0.0,0.0,0.0,99.99
09/14/2021,100.16,6.35,0.0,-6.51,0.0,0.0,0.0,100.0
09/15/2021,100.16,6.35,0.0,-6.51,0.0,0.0,0.0,100.0
09/16/2021,99.82,6.24,0.0,-6.06,0.0,0.0,0.0,100.0
09/17/2021,99.59,5.98,0.0,-5.57,0.0,0.0,0.0,100.0
09/20/2021,99.83,6.49,-0.01,-6.32,0.0,0.0,0.0,99.98999999999998
09/21/2021,99.2,5.25,-0.01,-4.45,0.0,0.0,0.0,99.99
09/22/2021,99.2,5.25,-0.01,-4.45,0.0,0.0,0.0,99.99
09/23/2021,98.82,3.86,-0.08,-2.61,0.0,0.0,0.0,99.99
09/24/2021,98.84,3.58,-0.08,-2.35,0.0,0.0,0.0,99.99
09/27/2021,98.61,5.04,-0.07,-3.58,0.0,0.0,0.0,100.0
09/28/2021,98.48,5.06,-0.08,-3.47,0.0,0.0,0.0,99.99
09/29/2021,98.48,5.06,-0.08,-3.47,0.0,0.0,0.0,99.99
09/30/2021,97.62,4.23,0.16,-2.01,0.0,0.0,0.0,100.0
10/01/2021,98.13,1.9,0.17,-0.2,0.0,0.0,0.0,100.0
10/04/2021,0.0,0.0,-0.61,0.0,100.34,4.49,-4.29,99.93
10/05/2021,0.0,0.0,0.11,0.0,100.11,4.69,-4.91,100.0
10/06/2021,0.0,0.0,0.11,0.0,100.11,4.69,-4.91,100.0
10/07/2021,0.0,0.0,0.11,0.0,99.66,3.84,-3.61,100.0
10/08/2021,0.0,0.0,0.1,0.0,99.71,4.28,-4.1,99.99
10/11/2021,0.0,0.0,0.1,0.0,99.85,4.59,-4.54,100.0
10/12/2021,0.0,0.0,0.09,0.0,99.74,4.56,-4.39,100.0
10/13/2021,0.0,0.0,0.09,0.0,99.74,4.56,-4.39,100.0
10/14/2021,0.0,0.0,0.09,0.0,99.53,4.1,-3.72,100.0
10/15/2021,0.0,0.0,0.09,0.0,99.46,3.73,-3.28,100.0
10/18/2021,0.0,0.0,0.08,0.0,99.7,5.01,-4.79,100.0
10/19/2021,0.0,0.0,0.08,0.0,99.87,5.33,-5.27,100.01
10/20/2021,0.0,0.0,0.08,0.0,99.87,5.33,-5.27,100.01
10/21/2021,0.0,0.0,0.07,0.0,100.25,6.05,-6.37,100.0
10/22/2021,0.0,0.0,0.07,0.0,100.5,6.54,-7.11,100.0
10/25/2021,0.0,0.0,0.06,0.0,100.54,6.6,-7.21,99.99
10/26/2021,0.0,0.0,0.06,0.0,100.29,6.17,-6.52,100.0
10/27/2021,0.0,0.0,0.06,0.0,100.29,6.17,-6.52,100.0
10/28/2021,0.0,0.0,0.06,0.0,100.7,6.91,-7.67,100.0
10/29/2021,0.0,0.0,0.05,0.0,100.85,7.07,-7.97,100.0
11/01/2021,0.0,0.0,0.05,0.0,101.52,7.98,-9.56,99.99
11/02/2021,0.0,0.0,0.04,0.0,102.04,8.67,-10.76,99.99
11/03/2021,0.0,0.0,0.04,0.0,102.04,8.67,-10.76,99.99
11/04/2021,0.0,0.0,0.04,0.0,102.1,8.73,-10.88,99.99
11/05/2021,0.0,0.0,0.04,0.0,102.35,9.15,-11.54,100.0
11/08/2021,0.0,0.0,0.03,0.0,104.07,11.15,-15.26,99.99
11/09/2021,0.0,0.0,0.03,0.0,104.26,11.31,-15.6,100.0
11/10/2021,0.0,0.0,0.03,0.0,104.26,11.31,-15.6,100.0
11/11/2021,0.0,0.0,0.03,0.0,104.18,11.22,-15.43,100.0
11/12/2021,0.0,0.0,0.02,0.0,103.61,10.51,-14.15,99.99
11/15/2021,0.0,0.0,0.01,0.0,102.76,9.55,-12.33,99.99
11/16/2021,0.0,0.0,0.01,0.0,103.33,10.31,-13.65,100.0
11/17/2021,0.0,0.0,0.01,0.0,103.33,10.31,-13.65,100.0
11/18/2021,0.0,0.0,0.01,0.0,103.35,10.33,-13.69,100.0
11/19/2021,0.0,0.0,0.01,0.0,103.73,10.81,-14.55,100.0
11/22/2021,0.0,0.0,0.01,0.0,103.78,10.84,-14.63,100.00000000000001
