,IVV,IJH,IJR,IEFA,IYR,IEMG,Us Dollars,iShares US Real Estate ETF,n/a,SUM
08/06/2021,29.18,19.16,17.06,14.61,0.0,9.35,0.92,9.73,0.0,100.01
09/07/2021,29.26,19.16,16.98,14.59,9.9,9.27,0.0,0.0,0.83,99.99
09/08/2021,29.26,19.16,16.98,14.59,9.9,9.27,0.0,0.0,0.83,99.99
09/09/2021,29.26,19.16,16.98,14.59,9.9,9.27,0.0,0.0,0.83,99.99
09/10/2021,29.32,19.05,16.91,14.67,9.85,9.38,0.0,0.0,0.83,100.01
09/13/2021,29.41,19.11,16.87,14.67,9.79,9.3,0.0,0.0,0.84,99.99
09/14/2021,29.42,19.08,16.83,14.75,9.74,9.37,0.0,0.0,0.81,100.0
09/15/2021,29.42,19.08,16.83,14.75,9.74,9.37,0.0,0.0,0.81,100.0
09/16/2021,29.34,19.1,16.88,14.79,9.73,9.36,0.0,0.0,0.8,100.0
09/17/2021,29.4,19.03,16.79,14.83,9.78,9.36,0.0,0.0,0.81,100.0
09/20/2021,29.42,19.14,16.84,14.76,9.74,9.29,0.0,0.0,0.82,100.01
09/21/2021,29.38,19.16,16.94,14.71,9.77,9.24,0.0,0.0,0.81,100.01
09/22/2021,29.38,19.16,16.94,14.71,9.77,9.24,0.0,0.0,0.81,100.01
09/23/2021,29.38,19.16,16.94,14.71,9.77,9.24,0.0,0.0,0.81,100.01
09/24/2021,29.38,19.16,16.94,14.71,9.77,9.24,0.0,0.0,0.81,100.01
09/27/2021,29.31,19.22,17.06,14.71,9.71,9.19,0.0,0.0,0.8,100.0
09/28/2021,29.45,19.24,17.07,14.66,9.64,9.14,0.0,0.0,0.81,100.01
09/29/2021,29.45,19.24,17.07,14.66,9.64,9.14,0.0,0.0,0.81,100.01
09/30/2021,29.45,19.24,17.07,14.66,9.64,9.14,0.0,0.0,0.81,100.01
10/01/2021,29.16,19.38,17.37,14.51,9.57,9.2,0.0,0.0,0.81,100.0
10/04/2021,29.19,19.38,17.42,14.47,9.63,9.11,0.0,0.0,0.8,100.0
10/05/2021,29.07,19.32,17.4,14.39,9.58,9.15,0.0,0.0,1.09,100.0
10/06/2021,29.07,19.32,17.4,14.39,9.58,9.15,0.0,0.0,1.09,100.0
10/07/2021,28.93,19.38,17.48,14.37,9.64,9.09,0.0,0.0,1.1,99.99
10/08/2021,29.1,19.3,17.45,14.39,9.55,9.12,0.0,0.0,1.09,100.0
10/11/2021,29.25,19.29,17.34,14.3,9.65,9.07,0.0,0.0,1.1,100.0
10/12/2021,29.22,19.36,17.36,14.28,9.5,9.19,0.0,0.0,1.09,100.0
10/13/2021,29.22,19.36,17.36,14.28,9.5,9.19,0.0,0.0,1.09,100.0
10/14/2021,29.14,19.34,17.34,14.3,9.57,9.22,0.0,0.0,1.08,99.99
10/15/2021,29.02,19.42,17.36,14.29,9.69,9.15,0.0,0.0,1.08,100.01
10/18/2021,29.07,19.46,17.26,14.32,9.7,9.13,0.0,0.0,1.06,100.0
10/19/2021,29.18,19.4,17.11,14.37,9.67,9.21,0.0,0.0,1.05,99.99
10/20/2021,29.18,19.4,17.11,14.37,9.67,9.21,0.0,0.0,1.05,99.99
10/21/2021,29.18,19.4,17.11,14.37,9.67,9.21,0.0,0.0,1.05,99.99
10/22/2021,29.31,19.37,17.06,14.32,9.65,9.25,0.0,0.0,1.04,100.0
10/25/2021,29.32,19.46,17.11,14.21,9.75,9.11,0.0,0.0,1.04,100.0
10/26/2021,29.25,19.47,17.1,14.27,9.79,9.08,0.0,0.0,1.04,100.0
10/27/2021,29.25,19.47,17.1,14.27,9.79,9.08,0.0,0.0,1.04,100.0
10/28/2021,29.27,19.49,17.16,14.18,9.78,9.09,0.0,0.0,1.03,100.0
10/29/2021,29.27,19.49,17.16,14.18,9.78,9.09,0.0,0.0,1.03,100.0
11/01/2021,29.48,19.37,17.0,14.3,9.83,8.98,0.0,0.0,1.03,99.99
11/02/2021,29.44,19.3,17.09,14.45,9.77,9.24,0.0,0.0,0.0,99.29
11/03/2021,29.44,19.3,17.09,14.45,9.77,9.24,0.0,0.0,0.0,99.29
11/04/2021,29.44,19.3,17.09,14.45,9.77,9.24,0.0,0.0,0.0,99.29
11/05/2021,29.45,19.66,17.2,14.18,9.71,8.78,0.0,0.0,1.02,100.0
11/08/2021,29.51,19.64,17.38,14.17,9.56,8.74,0.0,0.0,1.01,100.01
11/09/2021,29.4,19.67,17.63,14.09,9.53,8.67,0.0,0.0,1.01,100.0
11/10/2021,29.4,19.67,17.63,14.09,9.53,8.67,0.0,0.0,1.01,100.0
11/11/2021,29.4,19.66,17.61,14.08,9.5,8.74,0.0,0.0,1.01,100.0
11/12/2021,29.4,19.66,17.61,14.08,9.5,8.74,0.0,0.0,1.01,100.0
11/15/2021,29.46,17.5,17.62,14.64,9.77,9.97,0.0,0.0,1.03,99.99
11/16/2021,29.58,17.5,17.53,14.69,9.75,9.97,0.0,0.0,0.98,100.0
11/17/2021,29.58,17.5,17.53,14.69,9.75,9.97,0.0,0.0,0.98,100.0
11/18/2021,29.58,17.5,17.53,14.69,9.75,9.97,0.0,0.0,0.98,100.0
11/19/2021,29.67,17.54,17.56,14.6,9.73,9.93,0.0,0.0,0.97,100.0
11/22/2021,29.67,17.54,17.56,14.6,9.73,9.93,0.0,0.0,0.97,100.0
11/23/2021,29.67,17.54,17.56,14.6,9.73,9.93,0.0,0.0,0.97,100.0
11/24/2021,29.95,17.47,17.31,14.62,9.82,9.86,0.0,0.0,0.98,100.01
11/25/2021,29.9,17.54,17.46,14.55,9.77,9.79,0.0,0.0,1.0,100.01
11/26/2021,29.92,17.5,17.46,14.51,9.84,9.78,0.0,0.0,0.98,99.99
11/29/2021,30.0,17.49,17.41,14.41,9.96,9.76,0.0,0.0,0.98,100.01
11/30/2021,30.18,17.43,17.25,14.44,9.97,9.73,0.0,0.0,1.0,100.0
12/01/2021,30.18,17.43,17.25,14.44,9.97,9.73,0.0,0.0,1.0,100.0
12/02/2021,30.18,17.43,17.25,14.44,9.97,9.73,0.0,0.0,1.0,100.0
12/06/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/07/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/08/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/09/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/10/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/13/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/14/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/15/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/16/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/17/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/20/2021,30.18,17.23,17.09,14.53,10.04,9.93,0.0,0.0,1.0,100.0
12/21/2021,29.72,17.05,16.75,14.32,10.09,9.54,0.0,0.0,2.53,100.0
12/22/2021,29.72,17.05,16.75,14.32,10.09,9.54,0.0,0.0,2.53,100.0
12/23/2021,29.71,16.96,16.7,14.44,10.12,9.51,0.0,0.0,2.56,100.0
12/24/2021,30.02,17.27,17.05,14.49,10.15,9.6,0.0,0.0,1.42,100.0
12/27/2021,30.07,17.31,17.1,14.51,10.1,9.56,0.0,0.0,1.35,99.99999999999999
