,AMZN,TSLA,HD,NKE,MCD,LOW,SBUX,TGT,BKNG,TJX,GM,F,DG,ROST,EBAY,CMG,APTV,ORLY,MAR,HLT,YUM,AZO,DHI,LEN,VFC,ETSY,BBY,EXPE,DLTR,GRMN,KMX,TSCO,CZR,CCL,DRI,ULTA,POOL,DPZ,GPC,RCL,NVR,LB,LVS,MGM,PHM,LKQ,AAP,WHR,WYNN,HAS,TPR,BWA,MHK,PENN,NCLH,NWL,PVH,LEG,GPS,HBI,RL,UAA,Under Armour Inc. Class C,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,UA,4282.T,SINA,BBWI WI,Victoria's Secret & Company,VSCO WI,LBEUR,GVMXX,SSIXX,n/a,SUM
07/23/2021,23.71,13.08,8.88,4.58,4.54,3.57,3.6,3.28,2.28,2.09,1.87,1.42,1.39,1.1,1.17,1.15,1.08,1.1,0.94,0.88,0.9,0.9,0.76,0.71,0.65,0.64,0.64,0.57,0.6,0.58,0.57,0.55,0.5,0.44,0.48,0.48,0.47,0.48,0.48,0.43,0.44,0.51,0.41,0.41,0.36,0.36,0.36,0.35,0.29,0.31,0.29,0.29,0.28,0.27,0.23,0.27,0.19,0.17,0.15,0.16,0.14,0.1,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,23.82,12.68,8.8,4.64,4.57,3.57,3.71,3.27,2.31,2.08,1.82,1.4,1.37,1.11,1.2,1.3,1.07,1.09,0.95,0.88,0.92,0.88,0.76,0.71,0.66,0.66,0.63,0.58,0.59,0.58,0.56,0.54,0.5,0.47,0.48,0.48,0.46,0.54,0.47,0.44,0.44,0.52,0.4,0.41,0.36,0.36,0.35,0.35,0.29,0.31,0.29,0.29,0.28,0.27,0.24,0.26,0.19,0.16,0.15,0.16,0.14,0.1,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/27/2021,23.73,12.46,8.89,4.67,4.61,3.61,3.78,3.29,2.3,2.09,1.79,1.38,1.38,1.1,1.21,1.31,1.08,1.1,0.95,0.89,0.93,0.89,0.78,0.72,0.68,0.68,0.64,0.58,0.59,0.59,0.56,0.55,0.48,0.45,0.48,0.48,0.47,0.52,0.47,0.43,0.45,0.52,0.38,0.4,0.36,0.36,0.36,0.35,0.28,0.3,0.28,0.29,0.29,0.27,0.23,0.26,0.18,0.16,0.15,0.16,0.14,0.1,0.0,0.0,0.0,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/28/2021,23.73,12.46,8.89,4.67,4.61,3.61,3.78,3.29,2.3,2.09,1.79,1.38,1.38,1.1,1.21,1.31,1.08,1.1,0.95,0.89,0.93,0.89,0.78,0.72,0.68,0.68,0.64,0.58,0.59,0.59,0.56,0.55,0.48,0.45,0.48,0.48,0.47,0.52,0.47,0.43,0.45,0.52,0.38,0.4,0.36,0.36,0.36,0.35,0.28,0.3,0.28,0.29,0.29,0.27,0.23,0.26,0.18,0.16,0.15,0.16,0.14,0.1,0.0,0.0,0.0,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/29/2021,23.84,12.64,8.78,4.6,4.6,3.53,3.76,3.26,2.31,2.1,1.8,1.39,1.37,1.1,1.2,1.29,1.09,1.09,0.96,0.89,0.93,0.88,0.77,0.71,0.68,0.66,0.65,0.58,0.59,0.58,0.56,0.55,0.49,0.47,0.49,0.48,0.47,0.52,0.47,0.45,0.44,0.52,0.38,0.4,0.36,0.36,0.35,0.35,0.28,0.34,0.29,0.29,0.28,0.27,0.24,0.26,0.19,0.16,0.16,0.16,0.14,0.1,0.09,0.44,-0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/30/2021,23.61,12.52,8.77,4.63,4.69,3.49,3.79,3.26,2.36,2.11,1.79,1.38,1.39,1.11,1.2,1.32,1.1,1.1,0.98,0.91,0.95,0.89,0.78,0.72,0.68,0.65,0.65,0.59,0.59,0.58,0.56,0.54,0.49,0.46,0.5,0.47,0.48,0.53,0.48,0.45,0.45,0.52,0.37,0.4,0.36,0.36,0.36,0.35,0.27,0.33,0.29,0.29,0.28,0.27,0.24,0.26,0.19,0.16,0.16,0.16,0.14,0.1,0.0,0.0,0.0,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
08/02/2021,23.7,12.6,8.75,4.67,4.62,3.48,3.69,3.26,2.34,2.1,1.81,1.39,1.39,1.11,1.21,1.31,1.12,1.09,0.99,0.92,0.94,0.89,0.77,0.71,0.68,0.66,0.65,0.59,0.59,0.6,0.56,0.54,0.49,0.47,0.5,0.47,0.48,0.52,0.47,0.45,0.44,0.52,0.37,0.4,0.36,0.36,0.36,0.35,0.28,0.33,0.29,0.29,0.28,0.27,0.24,0.26,0.19,0.16,0.15,0.16,0.14,0.1,0.0,0.0,0.0,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
08/03/2021,23.24,13.05,8.7,4.66,4.61,3.47,3.65,3.28,2.3,2.1,1.85,1.43,1.39,1.11,1.2,1.32,1.15,1.05,1.0,0.95,0.98,0.89,0.79,0.74,0.69,0.64,0.65,0.59,0.58,0.6,0.56,0.53,0.48,0.46,0.5,0.46,0.49,0.52,0.47,0.44,0.45,0.53,0.36,0.39,0.37,0.36,0.35,0.36,0.27,0.33,0.29,0.3,0.29,0.26,0.24,0.26,0.19,0.16,0.15,0.16,0.13,0.1,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,21.94,13.52,8.9,4.78,4.68,3.52,3.7,3.34,2.31,2.15,1.88,1.41,1.42,1.13,1.14,1.36,1.17,1.09,1.01,0.95,1.01,0.9,0.81,0.75,0.67,0.6,0.65,0.59,0.6,0.61,0.57,0.54,0.47,0.45,0.49,0.48,0.5,0.53,0.47,0.44,0.46,0.55,0.36,0.4,0.38,0.36,0.36,0.36,0.27,0.33,0.31,0.3,0.3,0.26,0.23,0.24,0.19,0.17,0.16,0.16,0.14,0.1,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/05/2021,21.9,13.92,8.85,4.8,4.61,3.48,3.66,3.28,2.3,2.11,1.88,1.41,1.42,1.11,1.15,1.35,1.17,1.08,1.0,0.92,1.02,0.91,0.82,0.75,0.68,0.62,0.65,0.58,0.59,0.61,0.57,0.54,0.47,0.44,0.5,0.48,0.49,0.53,0.47,0.43,0.46,0.0,0.35,0.39,0.37,0.37,0.36,0.36,0.27,0.33,0.3,0.3,0.29,0.26,0.22,0.24,0.19,0.17,0.16,0.17,0.15,0.1,0.09,0.03,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,21.96,13.82,8.91,4.83,4.52,3.51,3.59,3.32,2.25,2.13,1.89,1.41,1.42,1.11,1.13,1.36,1.17,1.09,0.98,0.9,1.02,0.91,0.82,0.76,0.67,0.62,0.65,0.56,0.59,0.62,0.58,0.55,0.46,0.44,0.49,0.49,0.49,0.54,0.47,0.42,0.46,0.0,0.34,0.39,0.37,0.37,0.36,0.36,0.26,0.33,0.31,0.3,0.3,0.25,0.22,0.24,0.2,0.17,0.16,0.17,0.15,0.11,0.0,0.03,0.12,0.1,0.0,0.0,0.45,0.01,0.0,0.0,0.0,0.0,0.0,99.98
08/10/2021,21.97,13.7,8.92,4.91,4.54,3.46,3.62,3.32,2.31,2.15,1.81,1.39,1.44,1.13,1.09,1.37,1.14,1.09,0.97,0.91,1.03,0.9,0.8,0.74,0.67,0.58,0.66,0.54,0.59,0.64,0.56,0.56,0.49,0.47,0.49,0.5,0.5,0.53,0.46,0.45,0.46,0.42,0.35,0.42,0.36,0.36,0.35,0.36,0.27,0.32,0.32,0.28,0.3,0.28,0.24,0.25,0.2,0.17,0.16,0.18,0.15,0.12,0.0,0.0,0.0,0.11,0.0,0.16,0.0,0.0,0.01,0.0,0.0,0.0,0.0,100.0
08/16/2021,21.61,14.1,9.0,4.83,4.53,3.48,3.5,3.33,2.31,2.22,1.79,1.4,1.43,1.15,1.14,1.35,1.15,1.07,0.92,0.88,1.02,0.91,0.82,0.76,0.66,0.63,0.67,0.54,0.6,0.64,0.54,0.57,0.5,0.48,0.48,0.52,0.5,0.51,0.46,0.45,0.46,0.0,0.34,0.42,0.37,0.36,0.35,0.37,0.26,0.32,0.32,0.28,0.31,0.28,0.24,0.25,0.21,0.17,0.16,0.19,0.15,0.12,0.0,0.0,0.0,0.11,0.0,0.03,0.42,0.0,0.0,0.0,0.0,0.0,0.0,99.94
08/17/2021,21.61,14.05,8.95,4.88,4.59,3.47,3.54,3.33,2.33,2.19,1.76,1.37,1.44,1.14,1.23,1.37,1.15,1.07,0.92,0.87,1.03,0.9,0.82,0.77,0.67,0.63,0.65,0.54,0.61,0.65,0.54,0.57,0.49,0.47,0.48,0.52,0.5,0.52,0.46,0.44,0.46,0.0,0.34,0.42,0.37,0.36,0.35,0.37,0.26,0.33,0.32,0.28,0.31,0.27,0.24,0.25,0.21,0.17,0.15,0.18,0.15,0.12,0.0,0.0,0.0,0.11,0.0,0.03,0.41,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/18/2021,21.61,14.05,8.95,4.88,4.59,3.47,3.54,3.33,2.33,2.19,1.76,1.37,1.44,1.14,1.23,1.37,1.15,1.07,0.92,0.87,1.03,0.9,0.82,0.77,0.67,0.63,0.65,0.54,0.61,0.65,0.54,0.57,0.49,0.47,0.48,0.52,0.5,0.52,0.46,0.44,0.46,0.0,0.34,0.42,0.37,0.36,0.35,0.37,0.26,0.33,0.32,0.28,0.31,0.27,0.24,0.25,0.21,0.17,0.15,0.18,0.15,0.12,0.0,0.0,0.0,0.11,0.0,0.03,0.41,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/24/2021,21.46,13.61,9.09,4.87,4.68,3.87,3.55,3.3,2.24,2.35,1.64,1.29,1.46,1.15,1.25,1.4,1.1,1.11,0.92,0.89,1.05,0.94,0.82,0.76,0.65,0.67,0.66,0.51,0.63,0.67,0.53,0.6,0.47,0.46,0.48,0.53,0.51,0.52,0.47,0.45,0.46,0.0,0.32,0.41,0.37,0.37,0.36,0.36,0.24,0.32,0.3,0.27,0.31,0.26,0.23,0.24,0.2,0.17,0.15,0.17,0.15,0.12,0.0,0.0,0.0,0.1,0.0,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/30/2021,21.92,13.83,8.75,4.78,4.59,3.77,3.49,3.2,2.43,2.31,1.61,1.31,1.38,1.1,1.27,1.39,1.08,1.08,0.92,0.91,1.01,0.89,0.81,0.76,0.64,0.7,0.68,0.53,0.56,0.67,0.53,0.57,0.54,0.49,0.5,0.55,0.5,0.51,0.46,0.46,0.45,0.0,0.37,0.44,0.37,0.37,0.35,0.36,0.27,0.32,0.3,0.26,0.3,0.31,0.24,0.25,0.2,0.17,0.14,0.17,0.15,0.12,0.0,0.0,0.0,0.1,0.0,0.03,0.46,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/31/2021,22.9,13.51,8.75,5.08,4.45,3.54,3.4,3.09,2.32,2.1,1.95,1.5,1.32,1.14,1.17,1.13,1.1,1.02,0.94,0.87,0.88,0.83,0.76,0.71,0.68,0.67,0.66,0.6,0.6,0.56,0.54,0.55,0.56,0.54,0.49,0.5,0.47,0.47,0.47,0.48,0.44,0.0,0.45,0.45,0.37,0.35,0.34,0.35,0.33,0.31,0.31,0.3,0.29,0.29,0.28,0.26,0.2,0.18,0.18,0.17,0.15,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.44,0.2,0.1,0.0,100.23
09/01/2021,22.9,13.51,8.75,5.08,4.45,3.54,3.4,3.09,2.32,2.1,1.95,1.5,1.32,1.14,1.17,1.13,1.1,1.02,0.94,0.87,0.88,0.83,0.76,0.71,0.68,0.67,0.66,0.6,0.6,0.56,0.54,0.55,0.56,0.54,0.49,0.5,0.47,0.47,0.47,0.48,0.44,0.0,0.45,0.45,0.37,0.35,0.34,0.35,0.33,0.31,0.31,0.3,0.29,0.29,0.28,0.26,0.2,0.18,0.18,0.17,0.15,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.44,0.2,0.1,0.0,100.23
09/07/2021,22.6,14.22,8.84,4.59,4.54,3.71,3.52,3.08,2.41,2.19,1.59,1.29,1.34,1.05,1.26,1.38,1.03,1.04,0.9,0.87,0.99,0.85,0.79,0.74,0.62,0.71,0.65,0.51,0.55,0.67,0.53,0.58,0.55,0.47,0.49,0.53,0.51,0.51,0.45,0.44,0.44,0.0,0.36,0.44,0.36,0.36,0.33,0.36,0.27,0.32,0.29,0.26,0.29,0.31,0.23,0.25,0.21,0.16,0.13,0.17,0.14,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.05,99.97
09/13/2021,22.58,14.6,8.85,4.58,4.53,3.65,3.56,3.09,2.42,2.13,1.57,1.27,1.32,1.03,1.2,1.36,1.02,1.05,0.92,0.89,0.98,0.85,0.75,0.7,0.59,0.7,0.64,0.53,0.54,0.66,0.55,0.59,0.56,0.47,0.49,0.53,0.5,0.51,0.44,0.45,0.44,0.0,0.36,0.44,0.33,0.36,0.33,0.35,0.28,0.32,0.29,0.26,0.28,0.32,0.23,0.25,0.2,0.16,0.13,0.17,0.14,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.06,99.99
09/14/2021,22.62,14.33,8.91,4.62,4.57,3.7,3.6,3.1,2.42,2.13,1.61,1.27,1.32,1.03,1.2,1.37,1.01,1.06,0.93,0.91,0.99,0.86,0.75,0.7,0.58,0.7,0.63,0.53,0.53,0.66,0.56,0.6,0.56,0.46,0.5,0.52,0.51,0.51,0.44,0.46,0.45,0.0,0.35,0.44,0.32,0.36,0.33,0.35,0.27,0.32,0.29,0.26,0.28,0.3,0.23,0.24,0.2,0.16,0.13,0.17,0.14,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.06,100.05
09/21/2021,22.4,14.67,8.94,4.38,4.59,3.75,3.39,3.1,2.43,2.16,1.66,1.35,1.33,1.04,1.22,1.36,1.0,1.06,0.97,0.93,0.96,0.88,0.75,0.71,0.57,0.73,0.62,0.55,0.53,0.64,0.58,0.61,0.56,0.48,0.5,0.53,0.47,0.5,0.45,0.46,0.44,0.0,0.32,0.43,0.33,0.36,0.34,0.33,0.22,0.32,0.29,0.26,0.27,0.28,0.24,0.24,0.2,0.16,0.13,0.17,0.14,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.14,100.05
09/24/2021,22.57,14.91,8.86,4.3,4.56,3.7,3.36,3.06,2.45,2.13,1.83,1.28,1.34,1.03,1.21,1.35,0.99,1.05,1.0,0.92,0.95,0.87,0.73,0.69,0.56,0.7,0.61,0.57,0.52,0.65,0.57,0.6,0.57,0.47,0.49,0.52,0.47,0.47,0.44,0.47,0.43,0.0,0.33,0.42,0.31,0.34,0.34,0.33,0.22,0.32,0.27,0.25,0.26,0.29,0.24,0.23,0.19,0.16,0.13,0.17,0.14,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.15,99.98
09/28/2021,22.43,15.39,8.79,4.06,4.57,3.65,3.34,2.97,2.54,2.13,1.88,1.34,1.28,1.03,1.18,1.35,1.01,1.07,1.04,0.94,0.92,0.91,0.7,0.68,0.55,0.7,0.59,0.62,0.49,0.65,0.58,0.6,0.6,0.5,0.51,0.52,0.46,0.45,0.44,0.5,0.41,0.0,0.32,0.44,0.31,0.35,0.35,0.33,0.22,0.3,0.27,0.26,0.26,0.29,0.26,0.22,0.2,0.15,0.13,0.16,0.14,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.02,99.99
09/29/2021,22.43,15.39,8.79,4.06,4.57,3.65,3.34,2.97,2.54,2.13,1.88,1.34,1.28,1.03,1.18,1.35,1.01,1.07,1.04,0.94,0.92,0.91,0.7,0.68,0.55,0.7,0.59,0.62,0.49,0.65,0.58,0.6,0.6,0.5,0.51,0.52,0.46,0.45,0.44,0.5,0.41,0.0,0.32,0.44,0.31,0.35,0.35,0.33,0.22,0.3,0.27,0.26,0.26,0.29,0.26,0.22,0.2,0.15,0.13,0.16,0.14,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.02,99.99
09/30/2021,22.43,15.39,8.79,4.06,4.57,3.65,3.34,2.97,2.54,2.13,1.88,1.34,1.28,1.03,1.18,1.35,1.01,1.07,1.04,0.94,0.92,0.91,0.7,0.68,0.55,0.7,0.59,0.62,0.49,0.65,0.58,0.6,0.6,0.5,0.51,0.52,0.46,0.45,0.44,0.5,0.41,0.0,0.32,0.44,0.31,0.35,0.35,0.33,0.22,0.3,0.27,0.26,0.26,0.29,0.26,0.22,0.2,0.15,0.13,0.16,0.14,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.02,99.99
10/05/2021,21.97,15.75,8.78,4.08,4.61,3.66,3.38,2.87,2.56,2.04,1.96,1.41,1.25,1.01,1.15,1.3,1.05,1.06,1.08,0.98,0.93,0.92,0.69,0.65,0.56,0.66,0.6,0.63,0.58,0.6,0.53,0.58,0.65,0.53,0.52,0.51,0.45,0.44,0.44,0.53,0.41,0.0,0.33,0.46,0.3,0.35,0.35,0.33,0.23,0.29,0.27,0.27,0.25,0.31,0.27,0.22,0.19,0.15,0.13,0.15,0.14,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.03,100.01
10/06/2021,21.97,15.75,8.78,4.08,4.61,3.66,3.38,2.87,2.56,2.04,1.96,1.41,1.25,1.01,1.15,1.3,1.05,1.06,1.08,0.98,0.93,0.92,0.69,0.65,0.56,0.66,0.6,0.63,0.58,0.6,0.53,0.58,0.65,0.53,0.52,0.51,0.45,0.44,0.44,0.53,0.41,0.0,0.33,0.46,0.3,0.35,0.35,0.33,0.23,0.29,0.27,0.27,0.25,0.31,0.27,0.22,0.19,0.15,0.13,0.15,0.14,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.03,100.01
10/07/2021,21.52,16.0,8.76,4.12,4.65,3.7,3.36,2.86,2.59,2.03,2.01,1.44,1.25,1.01,1.14,1.3,1.09,1.06,1.09,0.99,0.93,0.91,0.69,0.65,0.57,0.64,0.61,0.64,0.58,0.6,0.51,0.57,0.65,0.52,0.52,0.52,0.45,0.44,0.45,0.52,0.41,0.0,0.32,0.46,0.31,0.35,0.35,0.33,0.23,0.29,0.27,0.27,0.25,0.3,0.26,0.21,0.2,0.16,0.13,0.16,0.15,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.04,100.01999999999998
10/11/2021,21.78,15.89,8.85,4.16,4.64,3.68,3.31,2.84,2.54,1.96,2.05,1.46,1.25,0.96,1.21,1.3,1.12,1.06,1.08,0.98,0.93,0.91,0.69,0.65,0.56,0.69,0.61,0.63,0.57,0.6,0.54,0.57,0.62,0.49,0.51,0.51,0.45,0.45,0.45,0.5,0.41,0.0,0.32,0.45,0.31,0.35,0.35,0.32,0.23,0.29,0.27,0.27,0.25,0.29,0.25,0.21,0.19,0.15,0.13,0.15,0.14,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.05,100.04999999999998
10/12/2021,21.79,15.8,8.81,4.19,4.65,3.66,3.3,2.85,2.55,1.96,2.14,1.49,1.25,0.97,1.23,1.28,1.12,1.06,1.08,0.99,0.92,0.91,0.68,0.65,0.56,0.67,0.61,0.62,0.58,0.59,0.53,0.56,0.61,0.48,0.51,0.52,0.45,0.44,0.45,0.49,0.41,0.0,0.33,0.45,0.31,0.36,0.35,0.31,0.23,0.29,0.26,0.28,0.25,0.29,0.25,0.21,0.19,0.15,0.13,0.14,0.14,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.05,99.99
