,COP,EOG,MPC,PSX,LNG,PXD,HES,VLO,DVN,FANG,TPL,MRO,TRGP,OVV,APA,XEC,COG,EQT,HFC,PDCE,RRC,AR,MTDR,DEN,SWN,MUR,CNX,SM,CPE,CLR,MGY,WLL,OAS,INT,NFE,DK,PBF,KOS,CDEV,CLNE,NOG,TELL,BCEI,LPI,MNRL,XTSLA,PARR,CVI,SGAFT,IXPU1,USD,SUM
08/26/2021,17.58,9.39,8.61,7.16,5.19,4.63,4.01,4.11,4.49,3.61,2.92,2.46,2.72,1.77,1.81,1.68,1.62,1.28,1.26,1.06,0.91,0.94,0.82,0.94,0.73,0.82,0.65,0.5,0.38,0.63,0.56,0.45,0.44,0.54,0.39,0.3,0.24,0.24,0.23,0.23,0.2,0.17,0.19,0.11,0.19,0.1,0.18,0.1,0.05,0.0,0.4,99.99
08/27/2021,17.41,9.3,8.6,7.23,5.14,4.6,4.01,4.16,4.6,3.63,2.92,2.48,2.72,1.8,1.83,1.65,1.59,1.25,1.26,1.06,0.92,0.93,0.82,0.94,0.72,0.84,0.65,0.52,0.39,0.63,0.57,0.46,0.45,0.54,0.4,0.31,0.25,0.24,0.24,0.24,0.2,0.17,0.19,0.12,0.19,0.1,0.19,0.11,0.05,0.0,0.4,100.02
08/30/2021,17.35,9.18,8.63,7.22,5.21,4.58,3.97,4.18,4.7,3.59,2.91,2.46,2.7,1.81,1.81,1.67,1.59,1.31,1.25,1.06,0.97,0.97,0.81,0.94,0.74,0.82,0.64,0.52,0.4,0.62,0.57,0.48,0.56,0.53,0.39,0.31,0.26,0.24,0.24,0.24,0.19,0.16,0.19,0.12,0.19,0.17,0.19,0.11,0.06,0.0,0.18,99.99
08/31/2021,17.18,9.12,8.58,7.13,5.12,4.55,3.95,4.12,4.72,3.62,2.86,2.47,2.69,1.85,1.85,1.71,1.63,1.36,1.27,1.08,1.02,1.0,0.82,0.93,0.77,0.83,0.63,0.54,0.41,0.63,0.57,0.48,0.5,0.54,0.4,0.32,0.27,0.25,0.25,0.25,0.2,0.16,0.2,0.13,0.19,0.17,0.19,0.11,0.05,0.0,0.34,100.01
09/01/2021,17.18,9.12,8.58,7.13,5.12,4.55,3.95,4.12,4.72,3.62,2.86,2.47,2.69,1.85,1.85,1.71,1.63,1.36,1.27,1.08,1.02,1.0,0.82,0.93,0.77,0.83,0.63,0.54,0.41,0.63,0.57,0.48,0.5,0.54,0.4,0.32,0.27,0.25,0.25,0.25,0.2,0.16,0.2,0.13,0.19,0.17,0.19,0.11,0.05,0.0,0.34,100.01
09/02/2021,17.3,8.97,8.57,7.15,5.16,4.58,3.98,4.12,4.71,3.66,2.91,2.46,2.68,1.85,1.87,1.75,1.67,1.34,1.27,1.06,1.01,1.01,0.83,0.92,0.78,0.83,0.64,0.55,0.41,0.63,0.6,0.47,0.46,0.53,0.39,0.32,0.26,0.25,0.25,0.24,0.2,0.16,0.19,0.13,0.19,0.18,0.19,0.11,0.06,0.0,0.13,99.98
09/03/2021,17.11,9.0,8.62,7.11,5.08,4.57,3.96,4.15,4.67,3.71,2.8,2.46,2.67,1.89,1.95,1.75,1.69,1.36,1.28,1.1,1.01,1.01,0.84,0.93,0.78,0.82,0.66,0.56,0.42,0.65,0.61,0.49,0.46,0.54,0.39,0.33,0.27,0.26,0.25,0.24,0.2,0.18,0.2,0.14,0.19,0.04,0.19,0.11,0.03,0.0,0.28,100.01
09/06/2021,17.22,8.99,8.32,6.9,5.14,4.52,4.05,4.02,4.58,3.63,2.7,2.42,2.7,1.95,1.97,1.87,1.82,1.45,1.23,1.13,1.13,1.12,0.83,0.97,0.83,0.83,0.69,0.58,0.41,0.63,0.62,0.51,0.48,0.54,0.4,0.32,0.25,0.26,0.25,0.24,0.21,0.18,0.2,0.15,0.19,0.23,0.19,0.11,0.02,0.0,0.0,99.98
09/07/2021,17.16,8.97,8.39,6.89,5.17,4.53,3.99,4.01,4.57,3.6,2.64,2.41,2.71,1.95,1.95,1.93,1.87,1.51,1.21,1.12,1.18,1.19,0.82,0.95,0.87,0.8,0.69,0.57,0.41,0.63,0.61,0.51,0.48,0.54,0.39,0.32,0.24,0.26,0.25,0.24,0.21,0.17,0.21,0.15,0.18,0.07,0.18,0.11,0.02,0.0,0.16,99.99
09/08/2021,17.16,8.97,8.39,6.89,5.17,4.53,3.99,4.01,4.57,3.6,2.64,2.41,2.71,1.95,1.95,1.93,1.87,1.51,1.21,1.12,1.18,1.19,0.82,0.95,0.87,0.8,0.69,0.57,0.41,0.63,0.61,0.51,0.48,0.54,0.39,0.32,0.24,0.26,0.25,0.24,0.21,0.17,0.21,0.15,0.18,0.07,0.18,0.11,0.02,0.0,0.16,99.99
09/09/2021,17.19,8.99,8.4,6.91,5.18,4.54,4.0,4.01,4.58,3.6,2.65,2.41,2.71,1.96,1.96,1.94,1.87,1.51,1.21,1.13,1.18,1.19,0.82,0.96,0.87,0.8,0.69,0.57,0.41,0.63,0.61,0.51,0.48,0.54,0.4,0.32,0.24,0.26,0.25,0.24,0.21,0.17,0.21,0.15,0.18,0.07,0.18,0.11,0.02,0.0,0.16,100.18
09/10/2021,17.18,8.98,8.48,6.84,5.19,4.49,4.02,4.08,4.58,3.58,2.5,2.41,2.68,1.96,1.95,1.93,1.88,1.5,1.22,1.11,1.15,1.17,0.82,0.95,0.87,0.8,0.68,0.57,0.41,0.62,0.61,0.53,0.5,0.56,0.39,0.32,0.26,0.25,0.25,0.24,0.22,0.18,0.21,0.15,0.18,0.09,0.18,0.11,0.02,0.0,0.15,100.0
