,XOM,CVX,ENB.TO,COP,FCX,NEM,EOG,TRP.TO,SLB,CNQ.TO,ABX.TO,MPC,PXD,PSX,KMI,SU.TO,WMB,VLO,FNV.TO,BLL,OXY,OKE,IP,HES,VMC,MLM,LNG,WPM.TO,HAL,AMCR,PPL.TO,AVY,DVN,FANG,BKR,AEM.TO,CCK,WRK,PKG,TPL,CVE.TO,KL.TO,MRO,TECK,TRGP,ATR,SEE,BERY,K.TO,OVV,APA,RGLD,CCO.TO,XEC,AA,COG,SON,PAAS.TO,EXP,EQT,LPX,NOV,WFG.TO,GPK,HFC,PDCE,CHX,BTO.TO,YRI.TO,RRC,HL,AR,MTDR,FTI,DEN,SSRM,ETRN,SWN,HP,SLGN,MUR,ARNC,AGI.TO,FR.TO,AM,REGI,CNX,UFS,OI,MP,CLR,CDE,XTSLA,CMP,NG,INT,NFE,EQX,TRQ.TO,GEF,LBRT,CAD,PTVE,CVI,SGAFT,RTYU1,IXPU1,USD,RTYZ1,IXPZ1,CTRA,SLVM,IXDZ1,SUM
07/27/2021,10.14,10.15,4.54,4.43,2.95,2.79,2.49,2.75,2.27,2.25,2.14,1.97,1.93,1.83,1.97,1.83,1.78,1.5,1.66,1.55,1.31,1.37,1.31,1.19,1.35,1.27,1.13,1.15,1.06,1.02,1.0,0.97,0.9,0.82,0.84,0.85,0.78,0.74,0.72,0.68,0.58,0.62,0.53,0.57,0.57,0.51,0.48,0.5,0.45,0.42,0.4,0.44,0.4,0.38,0.4,0.36,0.36,0.33,0.33,0.33,0.32,0.31,0.33,0.28,0.24,0.22,0.24,0.24,0.23,0.23,0.21,0.22,0.2,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.19,0.18,0.15,0.17,0.18,0.16,0.16,0.13,0.13,0.12,0.11,0.12,0.13,0.11,0.11,0.09,0.1,0.08,0.09,0.06,0.04,0.03,0.02,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,10.21,10.2,4.49,4.37,3.06,2.75,2.46,2.72,2.35,2.23,2.11,1.98,1.91,1.85,1.98,1.83,1.77,1.53,1.64,1.52,1.3,1.37,1.3,1.19,1.33,1.25,1.12,1.13,1.05,1.01,1.02,0.97,0.9,0.83,0.87,0.85,0.77,0.75,0.73,0.66,0.59,0.6,0.53,0.58,0.57,0.51,0.48,0.5,0.44,0.42,0.41,0.44,0.39,0.39,0.41,0.37,0.36,0.32,0.32,0.33,0.31,0.32,0.32,0.28,0.25,0.23,0.24,0.24,0.23,0.24,0.2,0.23,0.2,0.18,0.18,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.15,0.17,0.17,0.16,0.16,0.13,0.14,0.13,0.11,0.11,0.13,0.11,0.11,0.09,0.1,0.08,0.09,0.06,0.04,0.03,0.02,0.02,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,100.06
07/30/2021,10.17,10.24,4.53,4.36,3.06,2.82,2.44,2.75,2.34,2.21,2.14,1.99,1.9,1.87,1.98,1.76,1.76,1.54,1.65,1.53,1.27,1.35,1.32,1.17,1.34,1.26,1.12,1.15,1.05,1.02,1.02,0.98,0.89,0.82,0.86,0.86,0.77,0.76,0.75,0.64,0.58,0.6,0.51,0.58,0.55,0.52,0.49,0.5,0.45,0.41,0.4,0.44,0.39,0.38,0.41,0.36,0.36,0.32,0.32,0.33,0.32,0.31,0.32,0.31,0.25,0.22,0.24,0.24,0.23,0.22,0.2,0.22,0.19,0.18,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.19,0.18,0.15,0.16,0.16,0.16,0.16,0.13,0.14,0.12,0.11,0.11,0.13,0.11,0.11,0.09,0.1,0.08,0.09,0.06,0.04,0.03,0.02,0.02,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,100.01999999999998
08/02/2021,10.15,10.23,4.51,4.33,3.17,2.82,2.42,2.71,2.33,2.22,2.18,2.0,1.92,1.84,1.96,1.69,1.74,1.55,1.72,1.49,1.26,1.35,1.28,1.2,1.36,1.29,1.13,1.17,1.06,1.01,1.03,0.98,0.89,0.81,0.87,0.89,0.76,0.74,0.75,0.64,0.59,0.64,0.52,0.61,0.55,0.51,0.48,0.49,0.46,0.38,0.41,0.45,0.4,0.37,0.41,0.36,0.36,0.33,0.34,0.29,0.32,0.32,0.32,0.31,0.25,0.22,0.25,0.25,0.23,0.22,0.21,0.21,0.19,0.18,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.2,0.18,0.15,0.16,0.16,0.15,0.16,0.13,0.14,0.12,0.11,0.12,0.13,0.11,0.12,0.08,0.1,0.09,0.09,0.05,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/03/2021,10.03,10.27,4.53,4.3,3.17,2.86,2.42,2.71,2.29,2.23,2.2,2.0,1.91,1.83,1.92,1.68,1.73,1.56,1.74,1.51,1.25,1.32,1.29,1.19,1.36,1.29,1.11,1.18,1.05,1.01,1.03,0.99,0.87,0.79,0.88,0.9,0.77,0.74,0.76,0.66,0.59,0.65,0.52,0.61,0.55,0.48,0.49,0.49,0.47,0.38,0.4,0.45,0.4,0.38,0.43,0.36,0.37,0.34,0.34,0.29,0.32,0.31,0.32,0.31,0.25,0.22,0.25,0.25,0.25,0.22,0.2,0.21,0.19,0.17,0.19,0.2,0.19,0.17,0.18,0.18,0.18,0.2,0.18,0.15,0.15,0.17,0.15,0.16,0.13,0.14,0.12,0.11,0.14,0.13,0.11,0.12,0.09,0.1,0.09,0.09,0.05,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,10.03,10.27,4.53,4.3,3.17,2.86,2.42,2.71,2.29,2.23,2.2,2.0,1.91,1.83,1.92,1.68,1.73,1.56,1.74,1.51,1.25,1.32,1.29,1.19,1.36,1.29,1.11,1.18,1.05,1.01,1.03,0.99,0.87,0.79,0.88,0.9,0.77,0.74,0.76,0.66,0.59,0.65,0.52,0.61,0.55,0.48,0.49,0.49,0.47,0.38,0.4,0.45,0.4,0.38,0.43,0.36,0.37,0.34,0.34,0.29,0.32,0.31,0.32,0.31,0.25,0.22,0.25,0.25,0.25,0.22,0.2,0.21,0.19,0.17,0.19,0.2,0.19,0.17,0.18,0.18,0.18,0.2,0.18,0.15,0.15,0.17,0.15,0.16,0.13,0.14,0.12,0.11,0.14,0.13,0.11,0.12,0.09,0.1,0.09,0.09,0.05,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/05/2021,10.03,10.27,4.53,4.3,3.17,2.86,2.42,2.71,2.29,2.23,2.2,2.0,1.91,1.83,1.92,1.68,1.73,1.56,1.74,1.51,1.25,1.32,1.29,1.19,1.36,1.29,1.11,1.18,1.05,1.01,1.03,0.99,0.87,0.79,0.88,0.9,0.77,0.74,0.76,0.66,0.59,0.65,0.52,0.61,0.55,0.48,0.49,0.49,0.47,0.38,0.4,0.45,0.4,0.38,0.43,0.36,0.37,0.34,0.34,0.29,0.32,0.31,0.32,0.31,0.25,0.22,0.25,0.25,0.25,0.22,0.2,0.21,0.19,0.17,0.19,0.2,0.19,0.17,0.18,0.18,0.18,0.2,0.18,0.15,0.15,0.17,0.15,0.16,0.13,0.14,0.12,0.11,0.14,0.13,0.11,0.12,0.09,0.1,0.09,0.09,0.05,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/06/2021,10.09,10.29,4.52,4.32,3.04,2.84,2.43,2.7,2.28,2.23,2.18,2.01,2.01,1.88,1.92,1.68,1.73,1.59,1.74,1.49,1.26,1.3,1.3,1.16,1.36,1.28,1.12,1.18,1.02,1.02,1.02,1.0,0.88,0.82,0.88,0.88,0.76,0.75,0.75,0.65,0.6,0.66,0.51,0.59,0.54,0.48,0.5,0.5,0.47,0.38,0.4,0.45,0.39,0.38,0.43,0.37,0.37,0.33,0.34,0.28,0.32,0.3,0.32,0.31,0.25,0.23,0.25,0.25,0.25,0.22,0.2,0.21,0.18,0.17,0.19,0.2,0.19,0.17,0.17,0.18,0.17,0.19,0.18,0.15,0.15,0.16,0.15,0.16,0.14,0.14,0.12,0.11,0.1,0.13,0.11,0.12,0.09,0.1,0.09,0.09,0.05,0.0,0.03,0.02,0.01,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,99.93
08/10/2021,10.12,10.32,4.57,4.35,3.08,2.73,2.36,2.72,2.27,2.25,2.11,2.09,2.0,1.85,1.9,1.69,1.74,1.55,1.71,1.6,1.26,1.34,1.29,1.15,1.37,1.3,1.11,1.14,1.02,1.03,1.01,1.01,0.92,0.83,0.88,0.84,0.78,0.74,0.76,0.66,0.58,0.62,0.54,0.58,0.56,0.48,0.51,0.49,0.45,0.38,0.4,0.43,0.39,0.39,0.43,0.37,0.36,0.32,0.35,0.3,0.33,0.3,0.31,0.31,0.25,0.22,0.25,0.23,0.25,0.22,0.19,0.22,0.18,0.17,0.2,0.21,0.2,0.18,0.17,0.18,0.18,0.19,0.17,0.15,0.15,0.16,0.15,0.16,0.13,0.14,0.13,0.1,0.03,0.13,0.1,0.12,0.09,0.09,0.09,0.09,0.05,0.0,0.03,0.02,0.02,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,10.12,10.32,4.57,4.35,3.08,2.73,2.36,2.72,2.27,2.25,2.11,2.09,2.0,1.85,1.9,1.69,1.74,1.55,1.71,1.6,1.26,1.34,1.29,1.15,1.37,1.3,1.11,1.14,1.02,1.03,1.01,1.01,0.92,0.83,0.88,0.84,0.78,0.74,0.76,0.66,0.58,0.62,0.54,0.58,0.56,0.48,0.51,0.49,0.45,0.38,0.4,0.43,0.39,0.39,0.43,0.37,0.36,0.32,0.35,0.3,0.33,0.3,0.31,0.31,0.25,0.22,0.25,0.23,0.25,0.22,0.19,0.22,0.18,0.17,0.2,0.21,0.2,0.18,0.17,0.18,0.18,0.19,0.17,0.15,0.15,0.16,0.15,0.16,0.13,0.14,0.13,0.1,0.03,0.13,0.1,0.12,0.09,0.09,0.09,0.09,0.05,0.0,0.03,0.02,0.02,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,10.13,10.29,4.58,4.33,3.18,2.64,2.28,2.69,2.26,2.27,2.0,2.12,1.99,1.85,1.9,1.69,1.72,1.55,1.66,1.66,1.25,1.33,1.33,1.13,1.41,1.34,1.15,1.09,1.02,1.05,1.01,1.02,0.94,0.8,0.88,0.8,0.81,0.77,0.78,0.66,0.58,0.59,0.55,0.61,0.58,0.48,0.52,0.5,0.42,0.38,0.41,0.42,0.4,0.38,0.47,0.37,0.36,0.3,0.36,0.31,0.34,0.3,0.32,0.31,0.25,0.23,0.25,0.22,0.23,0.22,0.18,0.22,0.18,0.17,0.19,0.19,0.2,0.18,0.17,0.18,0.18,0.2,0.17,0.14,0.15,0.16,0.15,0.16,0.14,0.14,0.13,0.1,0.07,0.13,0.1,0.12,0.08,0.09,0.08,0.09,0.05,0.0,0.03,0.02,0.02,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,99.95
08/16/2021,9.93,10.29,4.48,4.35,3.18,2.64,2.3,2.66,2.25,2.23,2.01,2.14,2.02,1.84,1.9,1.66,1.72,1.55,1.67,1.66,1.27,1.34,1.33,1.12,1.44,1.37,1.15,1.09,1.03,1.05,1.01,1.01,0.96,0.81,0.88,0.8,0.82,0.78,0.78,0.66,0.6,0.59,0.55,0.6,0.57,0.49,0.52,0.5,0.42,0.36,0.4,0.42,0.39,0.38,0.48,0.36,0.37,0.31,0.37,0.3,0.35,0.3,0.33,0.31,0.25,0.23,0.25,0.23,0.23,0.21,0.18,0.21,0.18,0.17,0.2,0.2,0.2,0.17,0.17,0.18,0.18,0.19,0.17,0.14,0.15,0.15,0.15,0.16,0.13,0.14,0.13,0.1,0.07,0.13,0.1,0.12,0.08,0.09,0.09,0.09,0.05,0.0,0.03,0.02,0.02,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,99.98
08/17/2021,9.91,10.3,4.52,4.3,3.18,2.68,2.26,2.68,2.26,2.23,2.05,2.15,2.0,1.84,1.91,1.64,1.72,1.54,1.68,1.66,1.23,1.33,1.32,1.09,1.43,1.37,1.14,1.14,1.02,1.07,1.01,1.02,0.95,0.78,0.9,0.82,0.83,0.78,0.79,0.66,0.59,0.62,0.54,0.61,0.57,0.5,0.52,0.5,0.44,0.36,0.38,0.43,0.38,0.37,0.48,0.36,0.37,0.32,0.37,0.29,0.34,0.29,0.33,0.31,0.26,0.23,0.25,0.24,0.24,0.2,0.19,0.2,0.17,0.17,0.19,0.2,0.2,0.16,0.17,0.19,0.18,0.2,0.17,0.14,0.15,0.15,0.14,0.16,0.13,0.14,0.13,0.1,0.06,0.13,0.1,0.12,0.08,0.1,0.09,0.09,0.05,0.0,0.03,0.02,0.04,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,9.9,10.34,4.59,4.27,3.12,2.72,2.22,2.72,2.24,2.21,2.07,2.15,1.98,1.82,1.91,1.64,1.73,1.52,1.69,1.69,1.2,1.33,1.35,1.07,1.44,1.37,1.13,1.15,1.01,1.09,1.02,1.05,0.93,0.76,0.89,0.83,0.84,0.79,0.8,0.65,0.57,0.62,0.53,0.6,0.57,0.5,0.53,0.51,0.44,0.35,0.37,0.43,0.38,0.37,0.47,0.36,0.38,0.31,0.37,0.28,0.34,0.29,0.33,0.32,0.26,0.22,0.24,0.24,0.24,0.21,0.19,0.2,0.17,0.16,0.19,0.21,0.2,0.16,0.16,0.19,0.17,0.19,0.17,0.14,0.15,0.15,0.14,0.16,0.14,0.13,0.13,0.1,0.06,0.13,0.1,0.12,0.08,0.1,0.09,0.1,0.05,0.0,0.03,0.02,0.04,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,99.96000000000002
08/20/2021,9.94,10.43,4.58,4.3,2.97,2.75,2.25,2.72,2.22,2.2,2.07,2.12,1.96,1.79,1.9,1.62,1.74,1.52,1.7,1.71,1.18,1.33,1.35,1.06,1.43,1.37,1.16,1.16,1.0,1.09,1.02,1.05,0.94,0.76,0.91,0.83,0.84,0.78,0.81,0.65,0.57,0.62,0.53,0.59,0.58,0.51,0.53,0.51,0.44,0.36,0.37,0.43,0.37,0.37,0.45,0.36,0.38,0.31,0.37,0.28,0.33,0.29,0.32,0.32,0.26,0.23,0.24,0.24,0.25,0.2,0.18,0.21,0.18,0.16,0.19,0.21,0.2,0.16,0.16,0.19,0.18,0.2,0.17,0.14,0.15,0.14,0.14,0.16,0.14,0.13,0.13,0.1,0.11,0.13,0.1,0.12,0.08,0.09,0.08,0.1,0.05,0.0,0.03,0.02,0.04,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,99.97
08/23/2021,9.84,10.18,4.6,4.31,2.89,2.76,2.28,2.72,2.25,2.19,2.07,2.1,1.98,1.77,1.88,1.61,1.77,1.5,1.66,1.85,1.13,1.34,1.39,1.06,1.48,1.42,1.17,1.16,0.98,1.16,1.01,1.09,0.92,0.75,0.89,0.83,0.88,0.79,0.84,0.63,0.56,0.62,0.51,0.56,0.57,0.53,0.55,0.52,0.44,0.36,0.37,0.44,0.38,0.37,0.42,0.36,0.39,0.31,0.39,0.28,0.36,0.29,0.33,0.33,0.26,0.22,0.24,0.24,0.25,0.2,0.18,0.19,0.17,0.16,0.19,0.2,0.2,0.16,0.16,0.2,0.17,0.2,0.17,0.14,0.15,0.14,0.14,0.17,0.14,0.13,0.13,0.1,0.09,0.13,0.1,0.11,0.08,0.09,0.08,0.1,0.05,0.0,0.03,0.02,0.05,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,100.02
08/24/2021,9.79,10.13,4.64,4.31,2.91,2.73,2.28,2.71,2.24,2.21,2.07,2.11,1.98,1.75,1.88,1.6,1.77,1.49,1.63,1.88,1.12,1.36,1.39,1.07,1.47,1.42,1.17,1.16,0.98,1.19,1.0,1.1,0.93,0.75,0.9,0.83,0.89,0.8,0.85,0.63,0.56,0.61,0.51,0.56,0.58,0.53,0.55,0.52,0.44,0.37,0.37,0.43,0.39,0.36,0.43,0.35,0.39,0.31,0.39,0.27,0.36,0.29,0.29,0.33,0.26,0.22,0.24,0.23,0.25,0.2,0.18,0.2,0.17,0.16,0.19,0.2,0.2,0.16,0.16,0.2,0.17,0.21,0.17,0.14,0.15,0.14,0.14,0.17,0.14,0.12,0.13,0.1,0.08,0.13,0.1,0.11,0.08,0.1,0.08,0.1,0.05,0.07,0.03,0.02,0.06,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,100.01
