,NEM,ABX.TO,WPM.TO,KL.TO,NCM.AX,AEM.TO,GFI.JO,K.TO,ANG.JO,POLY.L,EDV.TO,BTO.TO,YRI.TO,SSRM,AGI.TO,HAR.JO,CDE,ANTM.JK,ELD.TO,CG.TO,BVN.,EQX,CEY.L,PVG.TO,IMG.TO,NGD.TO,WDO.TO,TXG.TO,SBM.AX,KOZAL.IS,DEG.AX,WGX.AX,AR.TO,HOC.L,WAF.AX,MUX,LUG.TO,DRD.JO,RSG.AX,CXB,XTSLA,CAD,ZAR,WFFUT,AUD,GBP,TRY,CNH,IDR,PTU1,KOZAL.E.IS,USD,CXB.TO,PTZ1,SUM
08/03/2021,20.98,16.0,8.24,5.01,4.58,4.57,3.88,3.67,3.68,3.42,2.19,2.03,2.02,1.75,1.6,1.19,0.95,0.98,0.89,0.97,0.89,0.91,0.92,0.84,0.76,0.71,0.77,0.64,0.57,0.55,0.51,0.41,0.47,0.4,0.4,0.35,0.38,0.3,0.29,0.2,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,20.98,16.0,8.24,5.01,4.58,4.57,3.88,3.67,3.68,3.42,2.19,2.03,2.02,1.75,1.6,1.19,0.95,0.98,0.89,0.97,0.89,0.91,0.92,0.84,0.76,0.71,0.77,0.64,0.57,0.55,0.51,0.41,0.47,0.4,0.4,0.35,0.38,0.3,0.29,0.2,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,20.98,16.0,8.24,5.01,4.58,4.57,3.88,3.67,3.68,3.42,2.19,2.03,2.02,1.75,1.6,1.19,0.95,0.98,0.89,0.97,0.89,0.91,0.92,0.84,0.76,0.71,0.77,0.64,0.57,0.55,0.51,0.41,0.47,0.4,0.4,0.35,0.38,0.3,0.29,0.2,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,20.89,15.91,8.23,5.09,4.58,4.51,3.97,3.63,3.72,3.39,2.19,2.01,2.04,1.75,1.59,1.21,0.93,0.96,0.88,0.96,0.9,0.92,0.93,0.87,0.77,0.72,0.76,0.63,0.59,0.55,0.53,0.44,0.48,0.41,0.42,0.35,0.37,0.3,0.31,0.2,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/10/2021,21.02,16.09,8.31,5.06,4.75,4.5,3.74,3.64,3.25,3.48,2.27,1.97,2.1,1.87,1.59,1.14,0.92,0.96,0.89,0.95,0.87,0.88,0.92,0.86,0.74,0.71,0.78,0.64,0.59,0.59,0.54,0.44,0.44,0.41,0.43,0.35,0.37,0.31,0.31,0.22,0.06,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/11/2021,21.02,16.09,8.31,5.06,4.75,4.5,3.74,3.64,3.25,3.48,2.27,1.97,2.1,1.87,1.59,1.14,0.92,0.96,0.89,0.95,0.87,0.88,0.92,0.86,0.74,0.71,0.78,0.64,0.59,0.59,0.54,0.44,0.44,0.41,0.43,0.35,0.37,0.31,0.31,0.22,0.06,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/13/2021,21.29,16.03,8.35,5.01,4.8,4.5,3.68,3.62,3.09,3.5,2.33,1.99,2.06,1.83,1.6,1.1,0.93,1.0,0.89,0.96,0.85,0.89,0.91,0.85,0.73,0.69,0.8,0.64,0.58,0.6,0.53,0.43,0.41,0.42,0.43,0.34,0.39,0.29,0.31,0.22,0.06,0.08,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/16/2021,21.28,16.09,8.38,4.99,4.75,4.48,3.73,3.62,3.1,3.52,2.31,2.03,2.06,1.84,1.62,1.1,0.94,1.02,0.88,0.97,0.84,0.88,0.89,0.84,0.72,0.6,0.81,0.66,0.57,0.59,0.52,0.43,0.42,0.42,0.42,0.35,0.41,0.29,0.29,0.22,0.02,0.08,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,21.01,15.96,8.49,5.08,4.67,4.48,3.79,3.64,3.13,3.51,2.31,2.03,2.11,1.87,1.63,1.11,0.94,0.99,0.88,0.96,0.85,0.9,0.89,0.96,0.74,0.57,0.84,0.66,0.56,0.58,0.51,0.44,0.43,0.42,0.41,0.35,0.41,0.29,0.29,0.22,0.02,0.08,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/19/2021,21.09,15.92,8.48,5.04,4.72,4.48,3.83,3.6,3.17,3.5,2.31,2.02,2.11,1.87,1.61,1.13,0.91,1.0,0.87,0.96,0.86,0.89,0.9,0.96,0.73,0.55,0.82,0.65,0.56,0.59,0.5,0.44,0.44,0.42,0.41,0.34,0.41,0.29,0.28,0.21,0.02,0.08,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,21.21,15.83,8.49,5.02,4.7,4.45,3.88,3.6,3.26,3.53,2.31,2.01,2.11,1.86,1.6,1.16,0.9,1.01,0.87,0.94,0.84,0.87,0.9,0.96,0.71,0.51,0.82,0.64,0.56,0.6,0.49,0.44,0.44,0.42,0.41,0.33,0.41,0.29,0.27,0.2,0.03,0.08,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,21.17,15.78,8.51,4.99,4.82,4.44,3.93,3.56,3.27,3.64,2.27,2.01,2.12,1.84,1.6,1.15,0.88,0.99,0.86,0.92,0.78,0.88,0.92,0.97,0.7,0.5,0.81,0.64,0.57,0.62,0.51,0.44,0.46,0.43,0.42,0.33,0.39,0.29,0.27,0.2,0.03,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
08/24/2021,21.18,15.85,8.54,4.97,4.66,4.46,4.01,3.58,3.28,3.64,2.25,1.99,2.12,1.85,1.6,1.17,0.88,1.0,0.86,0.94,0.75,0.89,0.93,0.97,0.69,0.52,0.79,0.64,0.55,0.63,0.49,0.43,0.46,0.42,0.41,0.33,0.39,0.28,0.26,0.2,0.03,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/25/2021,21.18,15.85,8.54,4.97,4.66,4.46,4.01,3.58,3.28,3.64,2.25,1.99,2.12,1.85,1.6,1.17,0.88,1.0,0.86,0.94,0.75,0.89,0.93,0.97,0.69,0.52,0.79,0.64,0.55,0.0,0.49,0.43,0.46,0.42,0.41,0.33,0.39,0.28,0.26,0.2,0.03,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,100.02
08/26/2021,20.9,16.02,8.53,5.02,4.6,4.45,3.92,3.6,3.21,3.53,2.33,2.03,2.14,1.87,1.62,1.17,0.9,0.97,0.88,0.98,0.78,0.92,0.92,0.98,0.71,0.55,0.8,0.66,0.53,0.0,0.5,0.43,0.46,0.43,0.41,0.36,0.4,0.28,0.26,0.21,0.03,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,100.02
08/27/2021,20.68,15.97,8.5,4.94,4.67,4.44,4.03,3.6,3.26,3.54,2.34,2.03,2.16,1.87,1.62,1.16,0.91,0.95,0.88,0.97,0.83,0.93,0.92,0.98,0.71,0.55,0.81,0.66,0.56,0.0,0.52,0.43,0.46,0.43,0.41,0.36,0.4,0.29,0.26,0.21,0.03,0.1,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,100.01
08/30/2021,20.76,15.98,8.51,4.9,4.56,4.4,3.99,3.6,3.27,3.48,2.39,2.01,2.13,1.87,1.66,1.14,0.9,0.97,0.91,0.99,0.87,0.94,0.91,0.98,0.71,0.56,0.8,0.67,0.54,0.0,0.51,0.43,0.44,0.42,0.42,0.35,0.39,0.29,0.26,0.22,0.03,0.11,0.02,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,100.01
09/16/2021,20.48,15.34,8.55,4.9,4.3,4.32,3.75,3.58,3.23,3.31,2.38,2.03,2.06,1.85,1.65,1.03,1.06,1.09,0.91,0.96,0.94,1.08,0.87,1.09,0.71,0.59,0.79,0.69,0.52,0.0,0.54,0.44,0.56,0.53,0.47,0.43,0.48,0.38,0.33,0.0,0.06,0.14,0.07,0.04,0.12,0.01,0.0,0.0,0.0,0.0,0.58,0.45,0.33,0.0,100.02
09/20/2021,20.73,15.17,8.33,4.96,4.43,4.35,3.65,3.57,3.14,3.31,2.45,2.04,2.09,1.83,1.66,1.01,0.97,1.08,0.9,0.98,0.93,1.09,0.88,1.1,0.73,0.57,0.78,0.67,0.56,0.0,0.56,0.47,0.56,0.51,0.49,0.44,0.47,0.37,0.36,0.0,0.1,0.17,0.04,0.04,0.13,0.01,0.0,0.0,0.0,0.0,0.56,0.43,0.32,0.0,99.99
10/20/2021,20.13,14.84,7.77,5.2,4.29,4.4,3.99,3.71,3.8,3.13,2.51,2.08,2.1,1.83,1.7,1.19,0.93,1.06,1.02,1.0,1.06,1.15,0.91,1.15,0.82,0.65,0.75,0.7,0.55,0.0,0.63,0.5,0.54,0.48,0.67,0.42,0.49,0.37,0.35,0.0,0.02,0.13,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.51,0.06,0.36,0.0,99.98
10/21/2021,20.07,14.92,7.8,5.18,4.31,4.37,4.0,3.71,3.78,3.17,2.54,2.1,2.1,1.83,1.69,1.18,0.9,1.08,1.01,0.98,1.03,1.14,0.92,1.15,0.84,0.62,0.76,0.7,0.55,0.0,0.65,0.5,0.55,0.48,0.63,0.41,0.49,0.36,0.35,0.0,0.02,0.13,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.52,0.06,0.36,0.0,99.97
10/22/2021,20.1,14.95,7.8,5.14,4.31,4.34,4.0,3.7,3.74,3.24,2.53,2.18,2.07,1.82,1.68,1.18,0.91,1.09,1.0,0.99,1.04,1.14,0.89,1.15,0.86,0.64,0.74,0.69,0.56,0.0,0.63,0.49,0.57,0.48,0.64,0.41,0.49,0.36,0.35,0.0,0.02,0.13,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.51,0.06,0.35,0.0,100.0
10/25/2021,20.01,14.93,7.79,5.14,4.34,4.34,3.99,3.79,3.79,3.22,2.48,2.23,2.04,1.81,1.68,1.18,0.95,1.04,1.0,1.02,1.1,1.12,0.88,1.15,0.84,0.65,0.74,0.7,0.55,0.0,0.62,0.49,0.57,0.48,0.65,0.4,0.49,0.36,0.34,0.0,0.02,0.14,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.5,0.06,0.35,0.0,100.0
11/01/2021,19.49,14.76,7.82,4.99,4.49,4.26,4.15,3.82,3.92,3.31,2.56,2.3,2.06,1.89,1.65,1.18,0.91,0.99,1.02,1.01,1.05,1.14,0.89,1.28,0.88,0.67,0.76,0.72,0.54,0.0,0.59,0.5,0.58,0.5,0.6,0.41,0.51,0.37,0.33,0.0,0.03,0.12,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.54,0.05,0.33,0.0,100.0
11/02/2021,19.74,14.7,7.9,4.92,4.54,4.2,4.15,3.77,3.91,3.29,2.58,2.25,1.96,1.87,1.61,1.16,0.96,1.03,0.97,1.0,1.03,1.12,0.88,1.31,0.85,0.69,0.77,0.73,0.55,0.0,0.6,0.52,0.58,0.49,0.64,0.41,0.51,0.37,0.34,0.0,0.03,0.13,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.33,0.0,100.02
11/03/2021,19.74,14.7,7.9,4.92,4.54,4.2,4.15,3.77,3.91,3.29,2.58,2.25,1.96,1.87,1.61,1.16,0.96,1.03,0.97,1.0,1.03,1.12,0.88,1.31,0.85,0.69,0.77,0.73,0.55,0.0,0.6,0.52,0.58,0.49,0.64,0.41,0.51,0.37,0.34,0.0,0.03,0.13,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.33,0.0,100.02
11/04/2021,19.79,14.81,7.8,4.91,4.46,4.2,4.08,3.74,3.85,3.29,2.59,2.29,1.97,1.87,1.64,1.14,1.02,1.02,1.01,1.03,1.02,1.12,0.88,1.28,0.87,0.71,0.76,0.73,0.53,0.0,0.61,0.5,0.57,0.52,0.63,0.42,0.51,0.37,0.34,0.0,0.03,0.13,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.33,0.0,100.0
11/05/2021,20.08,14.87,7.79,4.89,4.36,4.15,4.12,3.75,3.89,3.26,2.59,2.28,1.98,1.86,1.65,1.13,1.02,1.02,1.01,1.03,0.98,1.12,0.86,1.28,0.87,0.72,0.74,0.72,0.52,0.0,0.6,0.5,0.57,0.5,0.62,0.42,0.49,0.36,0.33,0.0,0.11,0.13,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.54,-0.03,0.32,0.0,100.02999999999999
