,NEE,DUK,SO,D,EXC,AEP,SRE,XEL,PEG,AWK,WEC,ES,ED,EIX,DTE,PPL,AEE,ETR,FE,AES,CMS,CNP,EVRG,LNT,ATO,NRG,NI,PNW,STATE STREET INSTITUTIONAL LIQ STATE STR,DT Midstream Inc.,U.S. Dollar,Pinnacle West Capital Corporation,SSIXX,State Street Instl Liquid Reserves Prem,GVMXX,n/a,SUM
07/28/2021,16.41,8.71,7.33,6.58,4.93,4.66,4.46,3.98,3.35,3.29,3.21,3.21,2.76,2.31,2.44,2.36,2.31,2.23,2.27,1.73,1.95,1.58,1.62,1.59,1.41,1.09,1.07,0.0,0.12,0.0,0.0,1.03,0.0,0.0,0.0,0.0,99.99
07/29/2021,16.35,8.72,7.31,6.56,4.92,4.75,4.46,3.99,3.37,3.27,3.22,3.2,2.75,2.28,2.43,2.37,2.31,2.26,2.29,1.73,1.94,1.6,1.62,1.59,1.41,1.08,1.07,0.0,0.56,0.0,-0.44,1.04,0.0,0.0,0.0,0.0,100.01
07/30/2021,16.27,8.72,7.28,6.6,4.92,4.76,4.45,3.98,3.38,3.29,3.24,3.21,2.76,2.31,2.45,2.36,2.31,2.25,2.25,1.73,1.95,1.59,1.62,1.59,1.41,1.07,1.07,1.04,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,99.98
08/02/2021,16.38,8.72,7.27,6.55,4.93,4.77,4.49,3.97,3.39,3.32,3.2,3.18,2.74,2.31,2.45,2.36,2.31,2.25,2.23,1.73,1.93,1.6,1.6,1.59,1.41,1.1,1.07,1.03,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.0
08/03/2021,16.42,8.71,7.31,6.52,4.95,4.77,4.47,3.96,3.41,3.32,3.19,3.18,2.74,2.33,2.45,2.36,2.31,2.24,2.22,1.73,1.93,1.6,1.6,1.58,1.4,1.09,1.06,0.0,0.12,0.0,0.0,1.03,0.0,0.0,0.0,0.0,100.00000000000004
08/04/2021,16.51,8.73,7.3,6.52,4.94,4.76,4.45,3.97,3.4,3.33,3.21,3.2,2.73,2.23,2.46,2.36,2.32,2.23,2.25,1.71,1.93,1.6,1.62,1.58,1.39,1.09,1.05,0.0,0.12,0.0,0.0,1.02,0.0,0.0,0.0,0.0,100.01
08/05/2021,16.57,8.76,7.27,6.51,4.93,4.73,4.43,3.96,3.4,3.35,3.2,3.21,2.74,2.24,2.44,2.35,2.32,2.23,2.24,1.68,1.94,1.59,1.62,1.59,1.39,1.08,1.06,0.0,0.15,0.0,0.0,1.01,0.0,0.0,0.0,0.0,99.99
08/06/2021,16.6,8.74,7.23,6.49,4.93,4.74,4.43,3.94,3.42,3.39,3.21,3.21,2.73,2.24,2.44,2.34,2.33,2.22,2.23,1.7,1.95,1.6,1.62,1.6,1.39,1.09,1.06,0.0,0.14,0.0,0.0,0.97,0.0,0.0,0.0,0.0,99.98000000000002
08/10/2021,16.7,8.69,7.23,6.47,4.91,4.72,4.4,3.93,3.41,3.4,3.21,3.23,2.73,2.21,2.45,2.38,2.34,2.25,2.17,1.73,1.93,1.62,1.62,1.61,1.39,1.13,1.05,0.96,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,100.01
08/17/2021,17.04,8.49,7.22,6.52,4.92,4.67,4.39,3.87,3.4,3.38,3.16,3.23,2.77,2.25,2.43,2.36,2.36,2.29,2.19,1.72,1.91,1.63,1.63,1.59,1.38,1.11,1.04,0.94,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.01999999999998
08/18/2021,17.04,8.49,7.22,6.52,4.92,4.67,4.39,3.87,3.4,3.38,3.16,3.23,2.77,2.25,2.43,2.36,2.36,2.29,2.19,1.72,1.91,1.63,1.63,1.59,1.38,1.11,1.04,0.94,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.01999999999998
08/19/2021,17.02,8.57,7.27,6.54,4.91,4.67,4.35,3.88,3.38,3.41,3.17,3.22,2.77,2.25,2.4,2.33,2.37,2.29,2.18,1.68,1.91,1.61,1.63,1.59,1.37,1.09,1.04,0.93,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,99.99000000000002
08/24/2021,17.3,8.43,7.28,6.6,4.93,4.65,4.29,3.88,3.35,3.41,3.15,3.23,2.7,2.31,2.41,2.34,2.34,2.35,2.17,1.66,1.92,1.56,1.62,1.59,1.32,1.09,1.03,0.92,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,99.99
08/30/2021,17.16,8.42,7.31,6.6,4.98,4.66,4.33,3.84,3.36,3.43,3.11,3.24,2.69,2.28,2.44,2.33,2.34,2.38,2.19,1.66,1.93,1.54,1.65,1.58,1.32,1.15,1.01,0.9,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,99.99
08/31/2021,16.09,8.5,7.17,6.64,4.85,4.74,4.67,3.97,3.38,3.13,3.14,3.08,2.75,2.46,2.81,2.41,2.29,2.24,2.27,1.94,1.91,1.59,1.55,1.56,1.41,1.1,1.08,1.04,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.0,100.07
09/01/2021,16.09,8.5,7.17,6.64,4.85,4.74,4.67,3.97,3.38,3.13,3.14,3.08,2.75,2.46,2.81,2.41,2.29,2.24,2.27,1.94,1.91,1.59,1.55,1.56,1.41,1.1,1.08,1.04,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.0,100.07
09/07/2021,17.33,8.38,7.23,6.52,5.02,4.66,4.33,3.87,3.34,3.46,3.13,3.26,2.7,2.29,2.41,2.39,2.32,2.33,2.22,1.69,1.94,1.55,1.62,1.59,1.31,1.15,1.01,0.9,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,99.99000000000004
09/13/2021,17.38,8.31,7.34,6.53,5.07,4.66,4.35,3.85,3.3,3.51,3.13,3.18,2.7,2.3,2.41,2.37,2.32,2.34,2.15,1.65,1.93,1.59,1.61,1.57,1.3,1.13,1.01,0.88,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.0
09/14/2021,17.42,8.3,7.33,6.52,5.1,4.64,4.37,3.81,3.28,3.51,3.13,3.17,2.68,2.31,2.41,2.38,2.33,2.35,2.14,1.66,1.93,1.59,1.6,1.56,1.27,1.11,1.01,0.88,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,100.0
09/21/2021,17.24,8.26,7.31,6.44,5.25,4.53,4.53,3.71,3.37,3.48,3.08,3.08,2.7,2.36,2.38,2.38,2.3,2.4,2.15,1.76,1.92,1.53,1.58,1.56,1.25,1.11,1.01,0.9,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,100.01
09/27/2021,17.28,8.15,7.24,6.51,5.19,4.45,4.49,3.66,3.32,3.47,3.1,3.07,2.78,2.38,2.37,2.36,2.31,2.29,2.16,1.7,1.92,1.57,1.55,1.55,1.25,1.11,1.02,0.88,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,100.0
09/28/2021,17.27,8.26,7.3,6.58,5.25,4.48,4.52,3.72,3.35,3.5,3.1,3.1,2.81,2.38,2.4,2.39,2.34,2.21,2.19,1.7,1.92,1.64,1.58,1.56,1.26,1.15,1.03,0.89,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,99.98
09/29/2021,17.27,8.26,7.3,6.58,5.25,4.48,4.52,3.72,3.35,3.5,3.1,3.1,2.81,2.38,2.4,2.39,2.34,2.21,2.19,1.7,1.92,1.64,1.58,1.56,1.26,1.15,1.03,0.89,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,99.98
09/30/2021,17.27,8.26,7.3,6.58,5.25,4.48,4.52,3.72,3.35,3.5,3.1,3.1,2.81,2.38,2.4,2.39,2.34,2.21,2.19,1.7,1.92,1.64,1.58,1.56,1.26,1.15,1.03,0.89,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,99.98
10/01/2021,16.95,8.35,7.33,6.61,5.27,4.55,4.41,3.7,3.41,3.41,3.1,3.11,2.85,2.42,2.41,2.43,2.34,2.23,2.22,1.72,1.91,1.65,1.6,1.56,1.27,1.13,1.05,0.9,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,100.0
10/05/2021,17.28,8.42,7.27,6.5,5.2,4.53,4.46,3.74,3.4,3.4,3.07,3.13,2.81,2.32,2.41,2.39,2.3,2.22,2.17,1.7,1.92,1.64,1.58,1.55,1.29,1.11,1.06,0.9,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,99.99
10/06/2021,17.28,8.42,7.27,6.5,5.2,4.53,4.46,3.74,3.4,3.4,3.07,3.13,2.81,2.32,2.41,2.39,2.3,2.22,2.17,1.7,1.92,1.64,1.58,1.55,1.29,1.11,1.06,0.9,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,99.99
10/11/2021,17.3,8.47,7.23,6.51,5.19,4.59,4.37,3.75,3.33,3.41,3.08,3.22,2.87,2.36,2.43,2.38,2.32,2.27,2.16,1.75,1.91,1.65,1.57,1.55,1.28,1.1,1.05,0.84,0.0,0.0,0.0,0.0,0.12,0.0,0.0,-0.07,99.99
10/12/2021,17.28,8.49,7.27,6.45,5.19,4.59,4.37,3.74,3.32,3.4,3.08,3.22,2.85,2.38,2.43,2.4,2.32,2.28,2.16,1.76,1.91,1.66,1.56,1.54,1.29,1.11,1.05,0.82,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,99.97
10/13/2021,17.28,8.49,7.27,6.45,5.19,4.59,4.37,3.74,3.32,3.4,3.08,3.22,2.85,2.38,2.43,2.4,2.32,2.28,2.16,1.76,1.91,1.66,1.56,1.54,1.29,1.11,1.05,0.82,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,99.97
10/14/2021,17.28,8.49,7.27,6.45,5.19,4.59,4.37,3.74,3.32,3.4,3.08,3.22,2.85,2.38,2.43,2.4,2.32,2.28,2.16,1.76,1.91,1.66,1.56,1.54,1.29,1.11,1.05,0.82,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,99.97
10/18/2021,17.2,8.47,7.24,6.49,5.25,4.56,4.43,3.79,3.33,3.36,3.07,3.24,2.94,2.34,2.41,2.4,2.32,2.25,2.12,1.74,1.92,1.68,1.57,1.52,1.32,1.12,1.06,0.82,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,100.0
10/19/2021,17.34,8.35,7.23,6.4,5.27,4.52,4.44,3.84,3.4,3.37,3.07,3.21,2.85,2.36,2.41,2.4,2.31,2.22,2.16,1.76,1.89,1.72,1.57,1.51,1.32,1.09,1.06,0.83,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0
10/20/2021,17.34,8.35,7.23,6.4,5.27,4.52,4.44,3.84,3.4,3.37,3.07,3.21,2.85,2.36,2.41,2.4,2.31,2.22,2.16,1.76,1.89,1.72,1.57,1.51,1.32,1.09,1.06,0.83,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0
10/22/2021,17.37,8.4,7.19,6.56,5.31,4.52,4.46,3.77,3.41,3.38,3.06,3.2,2.81,2.36,2.39,2.4,2.32,2.21,2.17,1.74,1.88,1.67,1.57,1.5,1.31,1.07,1.04,0.82,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,99.99
10/26/2021,17.46,8.42,7.22,6.64,5.3,4.53,4.42,3.75,3.39,3.35,3.06,3.14,2.83,2.39,2.37,2.37,2.31,2.22,2.15,1.75,1.87,1.67,1.56,1.51,1.3,1.07,1.04,0.81,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,100.02
11/02/2021,17.79,8.34,7.01,6.52,5.53,4.5,4.33,3.7,3.43,3.36,3.02,3.1,2.83,2.54,2.33,2.36,2.3,2.2,2.23,1.78,1.86,1.64,1.55,1.5,1.28,1.04,1.03,0.77,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.01,100.0
11/03/2021,17.79,8.34,7.01,6.52,5.53,4.5,4.33,3.7,3.43,3.36,3.02,3.1,2.83,2.54,2.33,2.36,2.3,2.2,2.23,1.78,1.86,1.64,1.55,1.5,1.28,1.04,1.03,0.77,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.01,100.0
11/05/2021,17.72,8.34,7.0,6.46,5.56,4.51,4.32,3.69,3.42,3.39,3.03,3.07,2.86,2.55,2.32,2.38,2.29,2.21,2.26,1.79,1.85,1.64,1.55,1.51,1.3,1.02,1.03,0.77,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,99.99
11/09/2021,17.75,8.28,7.07,6.55,5.6,4.5,4.3,3.63,3.43,3.26,3.03,3.07,2.92,2.57,2.34,2.34,2.33,2.22,2.25,1.76,1.85,1.67,1.57,1.49,1.3,0.94,1.05,0.77,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,99.99
11/10/2021,17.75,8.28,7.07,6.55,5.6,4.5,4.3,3.63,3.43,3.26,3.03,3.07,2.92,2.57,2.34,2.34,2.33,2.22,2.25,1.76,1.85,1.67,1.57,1.49,1.3,0.94,1.05,0.77,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,99.99
11/24/2021,18.38,8.03,7.04,6.36,5.56,4.43,4.16,3.72,3.38,3.34,3.03,3.06,2.93,2.61,2.29,2.32,2.33,2.26,2.22,1.74,1.87,1.67,1.59,1.51,1.32,0.94,1.05,0.8,0.0,0.0,0.0,0.0,0.09,0.0,0.0,-0.03,99.99999999999997
