,SM,LNG,KMI,WMB,CVX,CDEV,MRO,COP,PDCE,OKE,PXD,XOM,EOG,COG,ETRN,AM,AR,EQT,MTDR,HES,VLO,CRK,TRGP,RIG,PSX,CPE,OXY,MGY,FANG,NBR,OVV,RRC,HP,XEC,DVN,MUR,SWN,TELL,KOS,SLB,APA,HFC,HAL,CNX,BKR,MPC,US Dollar,CHX,DK,NOV,PBF,Us Dollars,n/a,CTRA,CHV.,SUM
08/02/2021,7.19,7.91,7.54,7.47,7.64,3.73,3.77,3.96,3.63,3.94,3.74,3.9,3.55,3.75,3.9,3.37,3.17,2.89,2.32,2.22,1.36,1.18,0.99,0.36,0.38,0.27,0.26,0.28,0.25,0.25,0.25,0.29,0.26,0.24,0.26,0.26,0.24,0.23,0.19,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.0,0.23,0.2,0.23,0.15,0.19,0.0,0.0,0.0,100.01
08/03/2021,7.34,7.82,7.4,7.43,7.66,3.65,3.74,3.93,3.66,3.85,3.73,3.85,3.54,3.81,3.9,3.34,3.2,2.87,2.35,2.21,1.36,1.17,0.98,0.36,0.37,0.26,0.26,0.28,0.25,0.24,0.25,0.29,0.26,0.25,0.25,0.26,0.24,0.22,0.19,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.55,0.23,0.2,0.22,0.15,0.0,0.0,0.0,0.0,99.99
08/04/2021,7.34,7.82,7.4,7.43,7.66,3.65,3.74,3.93,3.66,3.85,3.73,3.85,3.54,3.81,3.9,3.34,3.2,2.87,2.35,2.21,1.36,1.17,0.98,0.36,0.37,0.26,0.26,0.28,0.25,0.24,0.25,0.29,0.26,0.25,0.25,0.26,0.24,0.22,0.19,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.55,0.23,0.2,0.22,0.15,0.0,0.0,0.0,0.0,99.99
08/05/2021,7.45,7.92,7.48,7.5,7.75,3.59,3.69,3.93,3.63,3.86,3.7,3.91,3.53,3.89,3.91,3.3,3.11,2.77,2.29,2.16,1.37,1.14,0.98,0.37,0.38,0.26,0.26,0.28,0.25,0.24,0.25,0.28,0.26,0.25,0.25,0.25,0.23,0.21,0.18,0.24,0.23,0.23,0.23,0.23,0.22,0.23,0.51,0.23,0.2,0.22,0.15,0.0,0.0,0.0,0.0,99.98
08/06/2021,7.45,7.93,7.44,7.45,7.72,3.5,3.72,3.97,3.71,3.81,3.94,3.89,3.58,3.9,3.91,3.29,3.17,2.79,2.25,2.16,1.4,1.14,0.98,0.35,0.39,0.25,0.26,0.28,0.26,0.24,0.25,0.28,0.26,0.25,0.25,0.25,0.24,0.21,0.18,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.2,0.22,0.15,0.26,0.0,0.0,0.0,99.98000000000002
08/09/2021,7.24,8.05,7.39,7.58,7.76,3.28,3.87,3.99,3.57,3.94,3.97,3.9,3.5,3.89,4.04,3.29,3.17,2.88,2.26,2.15,1.36,1.12,1.01,0.35,0.38,0.23,0.27,0.29,0.26,0.22,0.25,0.29,0.25,0.25,0.26,0.26,0.24,0.18,0.19,0.23,0.23,0.24,0.23,0.23,0.22,0.24,0.0,0.22,0.2,0.21,0.15,0.0,0.21,0.0,0.0,99.99
08/10/2021,7.39,7.86,7.36,7.5,7.74,3.4,3.89,3.99,3.6,3.93,3.92,3.91,3.48,3.91,4.04,3.26,3.23,2.92,2.25,2.13,1.36,1.12,1.01,0.35,0.38,0.22,0.26,0.29,0.26,0.22,0.25,0.28,0.26,0.25,0.26,0.26,0.24,0.18,0.19,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.0,0.23,0.2,0.22,0.15,0.0,0.21,0.0,0.0,99.99
08/11/2021,7.39,7.86,7.36,7.5,7.74,3.4,3.89,3.99,3.6,3.93,3.92,3.91,3.48,3.91,4.04,3.26,3.23,2.92,2.25,2.13,1.36,1.12,1.01,0.35,0.38,0.22,0.26,0.29,0.26,0.22,0.25,0.28,0.26,0.25,0.26,0.26,0.24,0.18,0.19,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.0,0.23,0.2,0.22,0.15,0.0,0.21,0.0,0.0,99.99
08/12/2021,7.16,7.92,7.44,7.53,7.74,3.36,3.91,3.98,3.56,3.93,3.9,3.93,3.46,3.91,4.06,3.31,3.22,3.06,2.19,2.12,1.37,1.16,1.02,0.35,0.38,0.22,0.26,0.28,0.26,0.22,0.24,0.28,0.26,0.25,0.27,0.26,0.24,0.18,0.18,0.24,0.23,0.23,0.23,0.23,0.23,0.25,0.0,0.23,0.2,0.22,0.15,0.0,0.21,0.0,0.0,100.02
08/13/2021,7.36,8.06,7.32,7.41,7.68,3.57,3.98,3.96,3.7,3.9,3.89,3.89,3.34,3.9,4.02,3.26,3.24,3.02,2.23,2.09,1.36,1.19,1.04,0.35,0.38,0.22,0.26,0.29,0.25,0.22,0.25,0.28,0.26,0.25,0.27,0.27,0.24,0.18,0.18,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.0,0.23,0.19,0.22,0.15,0.0,0.03,0.0,0.0,100.01000000000002
08/16/2021,7.42,8.08,7.34,7.39,7.7,3.55,3.98,3.98,3.8,3.94,3.95,3.82,3.38,3.82,4.09,3.27,3.16,2.91,2.16,2.07,1.36,1.13,1.03,0.35,0.38,0.21,0.27,0.3,0.25,0.22,0.24,0.28,0.26,0.25,0.28,0.27,0.23,0.18,0.18,0.23,0.23,0.24,0.23,0.23,0.22,0.25,0.0,0.23,0.2,0.22,0.15,0.0,0.11,0.0,0.0,100.02000000000002
08/17/2021,7.18,8.18,7.48,7.52,7.83,3.35,3.98,4.0,3.76,3.96,3.97,3.88,3.37,3.85,4.15,3.29,3.03,2.86,2.14,2.06,1.37,1.11,1.05,0.34,0.38,0.21,0.26,0.29,0.25,0.22,0.24,0.27,0.26,0.25,0.28,0.26,0.22,0.17,0.18,0.24,0.23,0.25,0.24,0.22,0.23,0.25,0.0,0.23,0.19,0.22,0.14,0.0,0.11,0.0,0.0,100.0
08/18/2021,7.18,8.18,7.48,7.52,7.83,3.35,3.98,4.0,3.76,3.96,3.97,3.88,3.37,3.85,4.15,3.29,3.03,2.86,2.14,2.06,1.37,1.11,1.05,0.34,0.38,0.21,0.26,0.29,0.25,0.22,0.24,0.27,0.26,0.25,0.28,0.26,0.22,0.17,0.18,0.24,0.23,0.25,0.24,0.22,0.23,0.25,0.0,0.23,0.19,0.22,0.14,0.0,0.11,0.0,0.0,100.0
08/19/2021,6.94,8.17,7.57,7.63,7.94,3.27,3.93,4.01,3.77,4.0,3.96,3.91,3.35,3.85,4.13,3.32,3.09,2.83,2.12,2.03,1.37,1.11,1.05,0.33,0.38,0.2,0.26,0.29,0.24,0.21,0.24,0.27,0.25,0.25,0.28,0.26,0.22,0.17,0.18,0.24,0.22,0.25,0.24,0.22,0.24,0.25,0.0,0.23,0.19,0.22,0.14,0.0,0.19,0.0,0.0,100.01000000000002
08/20/2021,6.82,8.3,7.48,7.61,7.95,3.26,3.89,4.01,3.79,3.98,3.9,3.9,3.36,3.87,4.14,3.35,3.13,2.79,2.18,2.01,1.35,1.09,1.06,0.33,0.37,0.2,0.25,0.29,0.24,0.2,0.24,0.27,0.24,0.25,0.27,0.26,0.22,0.17,0.17,0.23,0.22,0.25,0.23,0.22,0.24,0.25,0.0,0.22,0.19,0.21,0.14,0.0,0.39,0.0,0.0,99.98
08/23/2021,6.66,8.47,7.51,7.86,7.87,3.18,3.82,4.07,3.75,4.05,4.0,3.91,3.46,3.85,4.3,3.39,2.97,2.81,2.16,2.03,1.36,1.09,1.07,0.32,0.37,0.19,0.24,0.29,0.24,0.21,0.24,0.27,0.25,0.25,0.27,0.26,0.22,0.17,0.17,0.24,0.22,0.25,0.23,0.22,0.24,0.25,0.0,0.23,0.18,0.21,0.13,0.0,-0.01,0.0,0.0,99.99
08/24/2021,6.61,8.48,7.49,7.87,7.83,3.21,3.82,4.08,3.68,4.12,4.0,3.9,3.46,3.79,4.29,3.45,3.02,2.79,2.14,2.05,1.35,1.11,1.08,0.33,0.37,0.2,0.24,0.29,0.24,0.2,0.25,0.27,0.24,0.24,0.28,0.25,0.22,0.17,0.18,0.24,0.22,0.25,0.23,0.22,0.24,0.25,0.0,0.23,0.18,0.22,0.15,0.0,-0.03,0.0,0.0,99.99
08/25/2021,6.61,8.48,7.49,7.87,7.83,3.21,3.82,4.08,3.68,4.12,4.0,3.9,3.46,3.79,4.29,3.45,3.02,2.79,2.14,2.05,1.35,1.11,1.08,0.33,0.37,0.2,0.24,0.29,0.24,0.2,0.25,0.27,0.24,0.24,0.28,0.25,0.22,0.17,0.18,0.24,0.22,0.25,0.23,0.22,0.24,0.25,0.0,0.23,0.18,0.22,0.15,0.0,-0.03,0.0,0.0,99.99
08/26/2021,8.67,7.16,6.96,7.06,7.07,4.26,3.94,3.83,3.8,3.7,3.74,3.79,3.64,3.73,3.62,3.27,3.17,3.12,2.45,2.26,1.42,1.15,0.93,0.41,0.39,0.35,0.28,0.28,0.27,0.28,0.27,0.29,0.27,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.22,0.23,0.0,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,99.84
08/27/2021,7.12,8.34,7.32,7.62,7.68,3.49,3.9,4.05,3.81,4.09,3.95,3.86,3.47,3.65,4.27,3.33,3.04,2.7,2.19,2.05,1.38,1.07,1.07,0.35,0.37,0.22,0.25,0.3,0.25,0.22,0.26,0.26,0.25,0.24,0.29,0.27,0.21,0.18,0.19,0.24,0.23,0.26,0.24,0.21,0.24,0.25,0.0,0.23,0.19,0.22,0.16,0.0,-0.02,0.0,0.0,100.01
08/30/2021,7.17,8.44,7.17,7.47,7.64,3.57,3.88,4.03,3.79,4.06,3.93,3.82,3.42,3.66,4.31,3.39,3.16,2.83,2.14,2.03,1.39,1.08,1.06,0.35,0.37,0.22,0.25,0.3,0.24,0.21,0.26,0.27,0.24,0.24,0.3,0.26,0.22,0.18,0.18,0.24,0.23,0.26,0.24,0.21,0.25,0.25,0.0,0.23,0.19,0.22,0.16,0.0,-0.03,0.0,0.0,99.98
08/31/2021,7.48,8.26,7.07,7.31,7.43,3.64,3.88,3.98,3.85,3.99,3.9,3.74,3.39,3.73,4.3,3.42,3.26,2.91,2.18,2.02,1.36,1.15,1.06,0.37,0.37,0.23,0.26,0.3,0.25,0.23,0.26,0.29,0.25,0.24,0.3,0.26,0.23,0.17,0.19,0.24,0.23,0.26,0.24,0.21,0.24,0.25,0.0,0.24,0.2,0.22,0.17,0.0,0.0,0.0,0.0,100.01
09/01/2021,7.48,8.26,7.07,7.31,7.43,3.64,3.88,3.98,3.85,3.99,3.9,3.74,3.39,3.73,4.3,3.42,3.26,2.91,2.18,2.02,1.36,1.15,1.06,0.37,0.37,0.23,0.26,0.3,0.25,0.23,0.26,0.29,0.25,0.24,0.3,0.26,0.23,0.17,0.19,0.24,0.23,0.26,0.24,0.21,0.24,0.25,0.0,0.24,0.2,0.22,0.17,0.0,0.0,0.0,0.0,100.01
09/02/2021,7.5,8.29,7.05,7.38,7.5,3.58,3.84,3.99,3.79,3.98,3.91,3.74,3.32,3.8,4.33,3.41,3.26,2.86,2.2,2.02,1.36,1.15,1.05,0.36,0.37,0.23,0.25,0.31,0.25,0.23,0.26,0.28,0.25,0.25,0.29,0.26,0.23,0.17,0.19,0.24,0.23,0.26,0.23,0.21,0.24,0.25,0.0,0.23,0.2,0.22,0.17,0.0,0.0,0.0,0.0,99.97
09/03/2021,7.58,8.14,7.01,7.4,7.36,3.62,3.83,3.94,3.91,3.93,3.88,3.69,3.32,3.83,4.18,3.41,3.27,2.89,2.21,2.01,1.36,1.15,1.04,0.36,0.36,0.23,0.26,0.32,0.25,0.23,0.27,0.28,0.25,0.25,0.29,0.26,0.23,0.19,0.19,0.23,0.24,0.26,0.23,0.22,0.24,0.25,0.0,0.23,0.2,0.21,0.17,0.0,0.34,0.0,0.0,100.0
09/06/2021,7.77,8.12,6.88,7.32,7.23,3.65,3.72,3.9,3.96,3.88,3.78,3.62,3.27,4.06,4.34,3.46,3.57,3.04,2.15,2.02,1.3,1.26,1.03,0.37,0.35,0.22,0.26,0.32,0.24,0.23,0.27,0.31,0.25,0.26,0.28,0.25,0.24,0.18,0.19,0.23,0.24,0.25,0.23,0.22,0.24,0.24,0.0,0.22,0.19,0.21,0.15,0.0,0.0,0.0,0.0,99.97
09/07/2021,7.6,8.14,6.85,7.28,7.22,3.56,3.69,3.88,3.92,3.87,3.78,3.61,3.25,4.17,4.34,3.49,3.77,3.15,2.11,1.98,1.29,1.33,1.04,0.37,0.35,0.22,0.25,0.31,0.24,0.22,0.27,0.32,0.24,0.27,0.28,0.25,0.25,0.18,0.19,0.23,0.24,0.24,0.23,0.22,0.24,0.24,0.0,0.22,0.19,0.2,0.15,0.0,0.04,0.0,0.0,99.97
09/08/2021,7.6,8.14,6.85,7.28,7.22,3.56,3.69,3.88,3.92,3.87,3.78,3.61,3.25,4.17,4.34,3.49,3.77,3.15,2.11,1.98,1.29,1.33,1.04,0.37,0.35,0.22,0.25,0.31,0.24,0.22,0.27,0.32,0.24,0.27,0.28,0.25,0.25,0.18,0.19,0.23,0.24,0.24,0.23,0.22,0.24,0.24,0.0,0.22,0.19,0.2,0.15,0.0,0.04,0.0,0.0,99.97
09/09/2021,7.6,8.14,6.85,7.28,7.22,3.56,3.69,3.88,3.92,3.87,3.78,3.61,3.25,4.17,4.34,3.49,3.77,3.15,2.11,1.98,1.29,1.33,1.04,0.37,0.35,0.22,0.25,0.31,0.24,0.22,0.27,0.32,0.24,0.27,0.28,0.25,0.25,0.18,0.19,0.23,0.24,0.24,0.23,0.22,0.24,0.24,0.0,0.22,0.19,0.2,0.15,0.0,0.04,0.0,0.0,99.97
09/10/2021,7.59,8.17,6.81,7.22,7.22,3.63,3.69,3.88,3.87,3.84,3.74,3.61,3.25,4.18,4.33,3.51,3.71,3.14,2.13,2.0,1.31,1.39,1.03,0.37,0.34,0.22,0.25,0.31,0.24,0.23,0.27,0.31,0.25,0.27,0.28,0.24,0.25,0.19,0.19,0.23,0.24,0.24,0.23,0.22,0.24,0.24,0.0,0.22,0.19,0.21,0.16,0.0,0.09,0.0,0.0,99.97
09/13/2021,7.73,8.01,6.77,7.12,7.19,3.66,3.64,3.87,3.87,3.86,3.84,3.6,3.26,4.39,4.29,3.5,3.76,3.08,2.16,1.97,1.28,1.5,1.02,0.36,0.34,0.22,0.25,0.32,0.24,0.23,0.27,0.33,0.25,0.28,0.28,0.24,0.26,0.18,0.19,0.22,0.23,0.24,0.22,0.22,0.25,0.24,0.0,0.21,0.19,0.2,0.15,0.0,0.02,0.0,0.0,100.0
09/14/2021,7.75,8.07,6.78,7.17,7.2,3.66,3.62,3.89,3.86,3.87,3.86,3.6,3.25,4.35,4.26,3.52,3.74,3.02,2.16,1.95,1.28,1.53,1.01,0.35,0.33,0.22,0.25,0.32,0.24,0.23,0.27,0.33,0.24,0.28,0.27,0.24,0.25,0.17,0.19,0.22,0.23,0.23,0.22,0.22,0.25,0.24,0.0,0.22,0.19,0.21,0.15,0.0,0.02,0.0,0.0,99.98000000000002
09/15/2021,7.75,8.07,6.78,7.17,7.2,3.66,3.62,3.89,3.86,3.87,3.86,3.6,3.25,4.35,4.26,3.52,3.74,3.02,2.16,1.95,1.28,1.53,1.01,0.35,0.33,0.22,0.25,0.32,0.24,0.23,0.27,0.33,0.24,0.28,0.27,0.24,0.25,0.17,0.19,0.22,0.23,0.23,0.22,0.22,0.25,0.24,0.0,0.22,0.19,0.21,0.15,0.0,0.02,0.0,0.0,99.98000000000002
09/16/2021,7.82,8.03,6.6,7.07,7.08,3.71,3.74,3.88,3.81,3.8,3.82,3.56,3.27,4.34,4.3,3.46,3.74,2.99,2.15,1.98,1.29,1.62,1.0,0.35,0.33,0.23,0.25,0.31,0.24,0.23,0.28,0.34,0.24,0.28,0.27,0.24,0.25,0.18,0.2,0.22,0.24,0.23,0.23,0.23,0.25,0.24,0.0,0.22,0.19,0.21,0.16,0.0,0.3,0.0,0.0,100.0
09/17/2021,7.79,7.98,6.68,7.19,7.09,3.65,3.7,3.91,3.73,3.85,3.84,3.58,3.31,4.35,4.32,3.48,3.71,2.98,2.14,1.95,1.29,1.62,1.01,0.35,0.32,0.22,0.26,0.31,0.24,0.22,0.27,0.34,0.24,0.28,0.27,0.24,0.25,0.18,0.19,0.22,0.24,0.23,0.23,0.23,0.25,0.24,0.0,0.21,0.19,0.21,0.15,0.0,0.3,0.0,0.0,100.03000000000002
09/20/2021,8.34,7.84,6.47,7.08,6.89,3.7,3.74,3.9,3.91,3.87,3.79,3.51,3.38,4.34,4.33,3.44,3.77,2.84,2.22,1.96,1.25,1.6,1.01,0.33,0.31,0.24,0.26,0.32,0.24,0.22,0.27,0.35,0.23,0.28,0.28,0.24,0.24,0.19,0.19,0.22,0.24,0.23,0.22,0.21,0.24,0.23,0.0,0.21,0.18,0.21,0.15,0.0,0.29,0.0,0.0,100.0
09/21/2021,8.37,7.62,6.48,7.14,6.94,3.72,3.69,3.93,3.88,3.89,3.84,3.52,3.44,4.4,4.34,3.39,3.75,2.8,2.23,1.96,1.27,1.58,1.0,0.32,0.32,0.24,0.26,0.32,0.25,0.22,0.27,0.34,0.23,0.28,0.28,0.24,0.24,0.19,0.19,0.22,0.24,0.23,0.22,0.21,0.24,0.23,0.0,0.2,0.18,0.2,0.16,0.0,0.29,0.0,0.0,99.99
09/22/2021,8.37,7.62,6.48,7.14,6.94,3.72,3.69,3.93,3.88,3.89,3.84,3.52,3.44,4.4,4.34,3.39,3.75,2.8,2.23,1.96,1.27,1.58,1.0,0.32,0.32,0.24,0.26,0.32,0.25,0.22,0.27,0.34,0.23,0.28,0.28,0.24,0.24,0.19,0.19,0.22,0.24,0.23,0.22,0.21,0.24,0.23,0.0,0.2,0.18,0.2,0.16,0.0,0.29,0.0,0.0,99.99
09/23/2021,8.72,7.53,7.44,7.81,3.78,8.01,1.78,3.5,2.25,3.89,0.31,2.11,0.69,4.7,3.78,3.86,2.56,0.41,0.32,0.51,0.3,1.98,3.88,0.9,0.28,0.32,0.31,3.48,0.32,0.29,0.32,0.4,0.3,0.37,1.48,0.29,0.33,0.31,0.3,0.3,0.74,0.29,0.31,1.87,1.74,3.0,0.0,0.28,0.29,0.3,0.29,0.0,0.48,0.0,0.0,100.01
09/24/2021,8.64,7.72,7.46,7.7,3.77,8.15,1.76,3.63,2.2,3.91,0.31,2.1,0.69,4.6,3.74,3.81,2.56,0.4,0.32,0.51,0.3,1.95,3.92,0.9,0.28,0.33,0.31,3.45,0.32,0.29,0.32,0.39,0.29,0.37,1.49,0.29,0.32,0.31,0.3,0.3,0.73,0.29,0.3,1.85,1.76,3.03,0.0,0.28,0.29,0.29,0.31,0.0,0.48,0.0,0.0,100.02
09/27/2021,8.9,7.67,7.4,7.57,3.77,8.28,1.8,3.69,2.28,3.9,0.3,2.09,0.69,4.55,3.76,3.74,2.52,0.4,0.34,0.52,0.3,1.94,3.91,0.89,0.28,0.33,0.31,3.4,0.33,0.28,0.33,0.39,0.29,0.36,1.54,0.3,0.31,0.32,0.31,0.29,0.76,0.3,0.3,1.79,1.72,3.04,0.0,0.27,0.29,0.28,0.33,0.0,0.32,0.0,0.0,99.98
09/28/2021,9.05,7.76,7.28,7.37,3.73,8.18,1.85,3.7,2.31,3.92,0.31,2.1,0.7,4.59,3.81,3.69,2.56,0.4,0.34,0.53,0.29,1.93,3.87,0.9,0.28,0.36,0.32,3.33,0.33,0.31,0.33,0.4,0.29,0.37,1.61,0.3,0.31,0.33,0.33,0.3,0.8,0.29,0.3,1.71,1.71,3.02,0.0,0.27,0.29,0.28,0.34,0.0,0.32,0.0,0.0,100.0
