,CRTO,FUTR.L,HUBS,GOOGL,SFOR.L,ROKU,FB,TTGT,PERI,ADBE,TEAM,ZI,APPS,CRM,PEGA,YNDX,PUBM,ICLK,4751.T,MDLA,2013.HK,TTD,MGNI,BIDU,700.HK,QNST,4689.T,2491.T,RAMP,AcuityAds Holdings Inc,Us Dollars,iClick Interactive Asia Group Ltd ADR,AT.TO,TRMR,n/a,SUM
07/23/2021,6.03,5.65,4.61,4.69,4.07,3.99,3.93,3.85,3.5,3.85,3.66,3.51,3.24,3.4,3.28,3.29,3.1,0.0,3.06,2.97,2.32,2.67,2.39,2.52,2.66,2.6,2.78,2.28,1.78,0.0,0.59,2.34,1.4,0.0,0.0,100.01
07/26/2021,5.93,6.24,4.68,4.65,4.34,3.96,3.94,3.81,3.53,3.84,3.61,3.58,3.21,3.42,3.25,3.24,2.98,0.0,2.84,3.14,2.15,2.68,2.49,2.46,2.53,2.57,2.62,2.27,1.75,0.0,0.57,2.32,1.42,0.0,0.0,100.01999999999998
07/27/2021,6.1,6.08,4.57,4.76,4.22,4.41,4.11,3.84,3.57,3.81,3.59,3.57,3.2,3.38,3.23,3.22,2.96,0.0,2.8,3.03,2.0,2.91,2.57,2.35,2.45,2.58,2.58,2.24,1.75,0.0,0.56,2.13,1.43,0.0,0.0,100.0
07/28/2021,6.1,6.08,4.57,4.76,4.22,4.41,4.11,3.84,3.57,3.81,3.59,3.57,3.2,3.38,3.23,3.22,2.96,0.0,2.8,3.03,2.0,2.91,2.57,2.35,2.45,2.58,2.58,2.24,1.75,0.0,0.56,2.13,1.43,0.0,0.0,100.0
07/29/2021,5.81,6.09,4.76,4.85,4.26,4.51,4.18,3.91,3.62,3.82,3.58,3.64,3.17,3.41,3.27,3.24,3.0,0.0,2.92,3.09,1.8,2.95,2.53,2.23,2.28,2.57,2.67,2.26,1.74,0.0,0.57,1.85,1.42,0.0,0.0,100.0
07/30/2021,6.02,6.21,4.75,4.86,4.38,4.4,4.2,3.82,3.61,3.88,3.61,3.66,3.14,3.41,3.26,3.22,2.98,0.0,3.01,3.15,1.61,3.05,2.5,2.21,2.11,2.56,2.79,2.33,1.74,0.0,0.56,1.57,1.39,0.0,0.0,99.98999999999998
08/02/2021,5.79,6.2,4.67,4.95,4.38,4.26,4.05,3.9,3.72,3.85,3.6,3.66,3.28,3.38,3.06,3.22,2.92,0.0,2.71,3.11,1.98,3.07,2.53,2.31,2.31,2.59,2.61,2.48,1.73,0.0,0.55,1.66,1.44,0.0,0.0,99.97
08/03/2021,5.79,6.2,4.67,4.95,4.38,4.26,4.05,3.9,3.72,3.85,3.6,3.66,3.28,3.38,3.06,3.22,2.92,0.0,2.71,3.11,1.98,3.07,2.53,2.31,2.31,2.59,2.61,2.48,1.73,0.0,0.55,1.66,1.44,0.0,0.0,99.97
08/04/2021,5.79,6.2,4.67,4.95,4.38,4.26,4.05,3.9,3.72,3.85,3.6,3.66,3.28,3.38,3.06,3.22,2.92,0.0,2.71,3.11,1.98,3.07,2.53,2.31,2.31,2.59,2.61,2.48,1.73,0.0,0.55,1.66,1.44,0.0,0.0,99.97
08/05/2021,5.79,6.2,4.67,4.95,4.38,4.26,4.05,3.9,3.72,3.85,3.6,3.66,3.28,3.38,3.06,3.22,2.92,0.0,2.71,3.11,1.98,3.07,2.53,2.31,2.31,2.59,2.61,2.48,1.73,0.0,0.55,1.66,1.44,0.0,0.0,99.97
08/06/2021,5.94,6.16,4.7,4.97,4.38,3.98,3.99,3.83,3.8,3.87,4.46,3.83,3.25,3.36,3.07,3.17,2.72,0.0,2.71,3.13,1.92,3.05,2.41,2.28,2.1,2.51,2.66,2.56,1.71,0.0,0.54,1.52,1.44,0.0,0.0,100.02
09/17/2021,4.91,6.17,5.13,4.94,4.65,2.86,4.05,4.25,3.49,3.8,5.0,4.3,2.98,3.35,2.98,3.63,2.48,1.39,2.9,0.0,2.12,2.46,2.29,2.12,2.11,2.5,3.28,3.05,2.09,0.0,0.0,0.0,1.18,2.66,0.89,100.01000000000002
09/20/2021,4.84,6.13,5.33,4.95,4.67,2.89,3.99,4.37,3.49,3.9,5.15,4.35,3.05,3.41,3.0,3.57,2.52,1.39,2.76,0.0,2.0,2.52,2.26,2.09,2.0,2.39,3.24,3.05,1.99,0.0,0.0,0.0,1.2,2.63,0.89,100.02
09/21/2021,4.83,6.08,5.28,4.85,4.72,2.9,3.89,4.43,3.45,3.83,5.15,4.32,3.22,3.41,3.0,3.54,2.44,1.39,2.81,0.0,2.15,2.5,2.24,2.12,2.04,2.41,3.24,3.1,1.95,0.0,0.0,0.0,1.22,2.61,0.88,100.00000000000001
