,EAGG,ESGU,ESGD,ESGE,ESML,XTSLA,127.HK,USD,n/a,SUM
10/19/2021,39.06,34.84,14.8,6.9,4.23,0.13,0.0,0.0,0.04,100.0
10/20/2021,39.06,34.84,14.8,6.9,4.23,0.13,0.0,0.04,0.0,100.0
10/21/2021,39.03,34.96,14.71,6.89,4.24,0.13,0.0,0.04,0.0,100.0
10/22/2021,38.79,35.09,14.77,6.95,4.24,0.13,0.0,0.0,0.04,100.01
10/25/2021,38.66,35.28,14.74,6.89,4.28,0.11,0.0,0.06,0.0,100.02
10/26/2021,38.7,35.19,14.81,6.87,4.27,0.11,0.0,0.06,0.0,100.01
10/27/2021,38.7,35.19,14.81,6.87,4.27,0.11,0.0,0.06,0.0,100.01
10/28/2021,38.64,35.27,14.75,6.89,4.29,0.11,0.0,0.06,0.0,100.01
10/29/2021,38.66,35.3,14.78,6.84,4.25,0.11,0.0,0.06,0.0,100.0
11/01/2021,38.65,35.36,14.83,6.77,4.24,0.11,0.0,0.06,0.0,100.01999999999998
11/02/2021,39.92,34.7,14.32,6.57,4.27,0.11,0.0,0.1,0.0,99.98999999999998
11/03/2021,39.92,34.7,14.32,6.57,4.27,0.11,0.0,0.1,0.0,99.98999999999998
11/04/2021,39.76,34.64,14.41,6.59,4.36,0.1,0.0,0.14,0.0,100.0
11/05/2021,39.74,34.74,14.39,6.53,4.36,0.1,0.0,0.14,0.0,100.0
11/08/2021,39.55,34.9,14.41,6.51,4.39,0.1,0.0,0.14,0.0,100.0
11/09/2021,39.61,34.87,14.37,6.49,4.42,0.21,0.0,0.03,0.0,100.0
11/10/2021,39.61,34.87,14.37,6.49,4.42,0.21,0.0,0.03,0.0,100.0
11/11/2021,39.52,34.91,14.37,6.54,4.43,0.21,0.0,0.03,0.0,100.01
11/12/2021,39.64,34.83,14.34,6.52,4.42,0.21,0.0,0.03,0.0,99.99
11/15/2021,39.61,34.76,14.32,6.65,4.41,0.21,0.0,0.03,0.0,99.99
11/16/2021,39.61,34.76,14.32,6.65,4.41,0.21,0.0,0.03,0.0,99.99
11/17/2021,39.45,34.93,14.34,6.63,4.4,0.21,0.0,0.03,0.0,99.99
11/18/2021,39.4,35.0,14.33,6.63,4.41,0.21,0.0,0.03,0.0,100.01
11/19/2021,39.31,35.13,14.29,6.62,4.41,0.21,0.0,0.03,0.0,100.0
11/22/2021,39.46,35.05,14.28,6.61,4.37,0.21,0.0,0.03,0.0,100.01
11/23/2021,39.46,35.05,14.28,6.61,4.37,0.21,0.0,0.03,0.0,100.01
11/24/2021,39.61,35.13,14.18,6.52,4.32,0.21,0.0,0.03,0.0,100.0
11/25/2021,39.61,35.14,14.16,6.51,4.34,0.21,0.0,0.03,0.0,100.0
11/26/2021,39.53,35.21,14.16,6.51,4.34,0.21,0.0,0.03,0.0,99.99
11/29/2021,39.58,35.28,14.06,6.49,4.34,0.21,0.0,0.03,0.0,99.99
11/30/2021,40.36,34.91,13.87,6.37,4.24,0.21,0.0,0.03,0.0,99.99
12/01/2021,40.36,34.91,13.87,6.37,4.24,0.21,0.0,0.0,0.03,99.99
12/02/2021,40.15,35.19,13.85,6.34,4.23,0.21,0.0,0.0,0.03,100.0
12/06/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/07/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/08/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/09/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/10/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/13/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/14/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/15/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/16/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/17/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/20/2021,40.41,34.79,13.92,6.46,4.17,0.21,0.0,0.0,0.03,99.98999999999998
12/21/2021,40.34,34.81,13.82,6.2,4.12,0.21,0.0,0.0,0.49,99.99
12/22/2021,40.34,34.81,13.82,6.2,4.12,0.21,0.0,0.0,0.49,99.99
12/23/2021,40.56,34.66,13.89,6.15,4.08,0.64,0.0,0.0,0.02,100.0
12/24/2021,40.13,34.95,13.92,6.19,4.16,0.64,0.0,0.0,0.02,100.01
