,EPD,ET,MMP,MPLX,PAA,GEL,DCP,PSXP,CQP,HEP,WES,BPMP,NS,CEQP,SHLX,OMP,ENLC,PBFX,DKL,HESM,CASH,Cash,n/a,RTLR,SUM
09/08/2021,9.93,9.01,7.98,7.09,5.77,4.51,4.8,4.62,4.54,4.89,5.07,4.69,4.83,4.76,4.59,2.74,2.14,2.66,3.14,2.1,0.0,0.0,0.14,0.0,100.0
09/09/2021,9.93,9.01,7.98,7.09,5.77,4.51,4.8,4.62,4.54,4.89,5.07,4.69,4.83,4.76,4.59,2.74,2.14,2.66,3.14,2.1,0.0,0.0,0.14,0.0,100.0
09/10/2021,9.94,8.95,7.92,7.07,5.79,4.48,4.81,4.62,4.59,4.91,5.02,4.72,4.83,4.7,4.63,2.76,2.15,2.65,3.19,2.12,0.0,0.0,0.14,0.0,99.99
09/13/2021,9.83,8.85,7.84,7.02,5.86,4.51,4.86,4.67,4.71,4.87,5.11,4.76,4.78,4.74,4.53,2.73,2.2,2.66,3.19,2.14,0.0,0.0,0.14,0.0,100.0
09/14/2021,9.83,8.85,7.84,7.02,5.86,4.51,4.86,4.67,4.71,4.87,5.11,4.76,4.78,4.74,4.53,2.73,2.2,2.66,3.19,2.14,0.0,0.0,0.14,0.0,100.0
09/15/2021,9.88,8.92,7.83,6.99,5.95,4.54,4.84,4.6,4.58,4.87,5.09,4.8,4.71,4.81,4.46,2.68,2.3,2.67,3.22,2.13,0.0,0.0,0.14,0.0,100.01
09/16/2021,9.82,8.83,7.73,7.0,6.02,4.7,4.83,4.64,4.61,4.73,5.04,4.74,4.63,4.93,4.52,2.67,2.4,2.65,3.26,2.13,0.0,0.0,0.13,0.0,100.01
09/17/2021,9.92,8.89,7.81,6.95,6.07,4.69,4.75,4.6,4.53,4.69,5.05,4.77,4.62,4.93,4.43,2.72,2.41,2.68,3.25,2.11,0.0,0.0,0.13,0.0,100.0
09/20/2021,9.75,8.61,7.62,6.91,5.92,4.96,4.84,4.56,4.47,4.82,5.19,4.73,4.65,4.95,4.53,2.69,2.5,2.7,3.31,2.16,0.0,0.0,0.13,0.0,100.0
09/21/2021,9.75,8.61,7.62,6.91,5.92,4.96,4.84,4.56,4.47,4.82,5.19,4.73,4.65,4.95,4.53,2.69,2.5,2.7,3.31,2.16,0.0,0.0,0.13,0.0,100.0
09/22/2021,9.84,8.73,7.81,7.12,5.82,4.91,4.78,4.58,4.35,4.72,5.12,4.78,4.51,4.91,4.5,2.67,2.55,2.71,3.35,2.1,0.0,0.0,0.13,0.0,99.98999999999998
09/23/2021,9.88,8.63,7.79,7.13,5.86,4.8,4.71,4.58,4.39,4.78,5.07,4.89,4.56,4.86,4.57,2.75,2.47,2.68,3.33,2.12,0.0,0.0,0.13,0.0,99.98
09/24/2021,9.89,8.72,7.83,7.14,5.84,4.97,4.66,4.56,4.37,4.73,5.04,4.88,4.48,4.8,4.47,2.83,2.48,2.65,3.34,2.18,0.0,0.0,0.13,0.0,99.99
09/27/2021,9.59,8.92,7.54,7.0,6.03,5.0,4.78,4.57,4.38,4.88,5.1,4.7,4.65,4.73,4.58,2.79,2.5,2.68,3.3,2.16,0.0,0.0,0.12,0.0,100.0
09/28/2021,9.59,8.92,7.54,7.0,6.03,5.0,4.78,4.57,4.38,4.88,5.1,4.7,4.65,4.73,4.58,2.79,2.5,2.68,3.3,2.16,0.0,0.0,0.12,0.0,100.0
09/29/2021,9.49,8.81,7.51,7.07,6.1,4.93,4.69,4.62,4.49,4.84,5.13,4.74,4.64,4.72,4.59,2.77,2.53,2.69,3.3,2.22,0.0,0.0,0.12,0.0,100.0
09/30/2021,9.37,8.87,7.51,6.95,6.12,5.16,4.79,4.53,4.42,4.71,5.26,4.66,4.59,4.79,4.56,2.8,2.59,2.66,3.3,2.26,0.0,0.0,0.11,0.0,100.01
10/01/2021,9.45,8.85,7.52,6.97,6.07,5.22,4.8,4.51,4.48,4.63,5.19,4.71,4.54,4.82,4.52,2.78,2.58,2.76,3.27,2.22,0.0,0.0,0.11,0.0,100.0
10/04/2021,9.41,8.94,7.29,6.88,6.08,5.53,4.84,4.55,4.4,4.67,5.21,4.7,4.54,4.85,4.46,2.83,2.52,2.72,3.24,2.23,0.0,0.0,0.11,0.0,100.0
10/05/2021,9.41,8.94,7.29,6.88,6.08,5.53,4.84,4.55,4.4,4.67,5.21,4.7,4.54,4.85,4.46,2.83,2.52,2.72,3.24,2.23,0.0,0.0,0.11,0.0,100.0
10/06/2021,9.34,8.96,7.2,6.89,6.02,5.54,4.92,4.59,4.36,4.71,5.25,4.69,4.6,4.79,4.36,2.85,2.54,2.76,3.32,2.18,0.0,0.0,0.1,0.0,99.97
10/07/2021,9.48,9.06,7.12,6.85,5.87,5.73,5.0,4.6,4.3,4.68,5.34,4.65,4.57,4.74,4.27,2.87,2.55,2.8,3.25,2.17,0.0,0.0,0.1,0.0,100.0
10/08/2021,9.66,8.85,7.09,6.78,5.86,5.86,5.07,4.65,4.26,4.7,5.3,4.64,4.55,4.77,4.15,2.84,2.58,2.79,3.31,2.21,0.0,0.0,0.1,0.0,100.02
10/11/2021,9.72,8.69,7.15,6.86,5.9,5.87,5.24,4.68,4.31,4.79,5.14,4.61,4.5,4.67,4.23,2.87,2.58,2.81,3.3,1.98,0.0,0.0,0.09,0.0,99.99
10/12/2021,9.72,8.69,7.15,6.86,5.9,5.87,5.24,4.68,4.31,4.79,5.14,4.61,4.5,4.67,4.23,2.87,2.58,2.81,3.3,1.98,0.0,0.0,0.09,0.0,99.99
10/13/2021,9.74,8.84,7.21,6.84,5.94,6.03,5.13,4.65,4.26,4.7,5.16,4.57,4.54,4.63,4.11,2.83,2.63,2.85,3.28,1.96,0.0,0.0,0.09,0.0,99.98999999999998
10/14/2021,9.66,8.76,7.21,6.92,5.93,6.14,5.0,4.58,4.33,4.73,5.21,4.58,4.5,4.59,4.13,2.85,2.68,2.87,3.29,1.95,0.0,0.0,0.09,0.0,100.0
10/15/2021,9.78,8.66,7.12,6.82,5.92,6.05,5.06,4.6,4.26,4.74,5.35,4.55,4.53,4.67,4.08,2.83,2.68,2.88,3.34,1.98,0.0,0.0,0.08,0.0,99.98
10/18/2021,9.66,8.55,7.06,6.88,6.01,5.93,5.14,4.63,4.34,4.78,5.33,4.53,4.45,4.75,4.17,2.85,2.78,2.87,3.23,1.96,0.0,0.0,0.08,0.0,99.98
10/19/2021,9.66,8.55,7.06,6.88,6.01,5.93,5.14,4.63,4.34,4.78,5.33,4.53,4.45,4.75,4.17,2.85,2.78,2.87,3.23,1.96,0.0,0.0,0.08,0.0,99.98
10/20/2021,9.66,8.54,7.06,6.88,6.0,5.93,5.14,4.63,4.34,4.78,5.33,4.53,4.45,4.75,4.17,2.85,2.78,2.87,3.23,1.96,0.0,0.0,0.11,0.0,99.98999999999998
10/21/2021,9.83,8.63,7.35,6.86,6.14,5.7,5.14,4.6,4.35,4.7,5.3,4.46,4.39,4.68,4.12,2.88,2.81,2.8,3.28,1.92,0.0,0.0,0.08,0.0,100.02
10/22/2021,9.76,8.61,7.38,6.86,6.13,5.52,5.18,4.63,4.37,4.65,5.29,4.48,4.42,4.71,4.23,2.88,2.83,2.78,3.28,1.93,0.0,0.0,0.07,0.0,99.99
10/25/2021,9.74,8.46,7.53,6.86,6.02,5.65,5.18,4.62,4.37,4.62,5.22,4.45,4.55,4.67,4.31,2.82,2.81,2.81,3.31,1.93,0.0,0.0,0.07,0.0,100.0
10/26/2021,9.74,8.46,7.53,6.86,6.02,5.65,5.18,4.62,4.37,4.62,5.22,4.45,4.55,4.67,4.31,2.82,2.81,2.81,3.31,1.93,0.0,0.0,0.07,0.0,100.0
10/27/2021,9.76,8.47,7.55,6.82,6.01,5.64,5.16,4.65,4.37,4.58,5.2,4.49,4.55,4.7,4.3,2.84,2.84,2.78,3.3,1.93,0.0,0.0,0.07,0.0,100.01
10/28/2021,9.8,8.54,7.4,6.86,5.95,5.78,5.2,4.57,4.41,4.53,5.15,4.51,4.46,4.75,4.37,2.82,2.86,2.78,3.29,1.91,0.0,0.0,0.07,0.0,100.00999999999998
10/29/2021,9.81,8.55,7.34,6.94,5.85,5.95,5.18,4.63,4.37,4.45,5.2,4.47,4.39,4.59,4.43,2.9,2.83,2.79,3.28,1.88,0.0,0.0,0.18,0.0,100.01000000000002
11/01/2021,9.42,8.45,7.37,6.89,5.73,5.84,5.2,4.49,4.46,4.45,5.02,4.43,4.43,4.75,4.36,2.99,2.8,2.77,3.37,1.87,0.0,0.0,0.9,0.0,99.99
11/02/2021,9.42,8.45,7.37,6.89,5.73,5.84,5.2,4.49,4.46,4.45,5.02,4.43,4.43,4.75,4.36,2.99,2.8,2.77,3.37,1.87,0.0,0.0,0.9,0.0,99.99
11/03/2021,9.37,8.43,7.44,6.91,5.75,5.75,5.07,4.46,4.53,4.46,5.02,4.48,4.36,4.73,4.37,3.0,2.75,2.8,3.42,1.89,0.0,0.0,1.02,0.0,100.01
11/04/2021,9.25,8.64,7.42,6.89,5.9,5.76,5.01,4.55,4.45,4.44,4.96,4.41,4.33,4.83,4.34,3.06,2.75,2.78,3.33,1.91,0.0,0.0,1.0,0.0,100.01
11/05/2021,9.05,8.6,7.63,7.08,5.95,5.62,4.99,4.55,4.44,4.28,5.06,4.4,4.29,4.87,4.39,3.09,2.74,2.77,3.29,1.88,0.0,0.0,1.04,0.0,100.01
11/08/2021,9.44,8.34,7.54,7.26,6.14,6.11,4.94,4.68,4.57,4.26,5.17,4.48,4.3,4.78,4.56,3.11,2.63,2.79,3.26,1.9,0.0,0.0,-0.27,0.0,99.99
11/09/2021,9.44,8.34,7.54,7.26,6.14,6.11,4.94,4.68,4.57,4.26,5.17,4.48,4.3,4.78,4.56,3.11,2.63,2.79,3.26,1.9,0.0,0.0,-0.27,0.0,99.99
11/10/2021,9.5,8.39,7.41,7.28,6.16,6.17,4.9,4.72,4.48,4.35,5.2,4.49,4.31,4.76,4.48,3.09,2.61,2.83,3.25,1.9,0.0,0.0,-0.27,0.0,100.01
11/11/2021,9.42,8.3,7.28,7.35,6.14,6.53,4.97,4.66,4.48,4.33,5.21,4.44,4.21,4.77,4.48,3.16,2.59,2.8,3.25,1.91,0.0,0.0,-0.27,0.0,100.01
11/12/2021,9.38,8.27,7.27,7.02,6.16,6.93,4.99,4.7,4.41,4.24,5.11,4.41,4.19,4.77,4.44,3.14,2.6,2.74,3.23,1.91,0.0,0.0,0.08,0.0,99.99
11/15/2021,9.46,8.13,7.41,7.15,6.06,6.84,5.02,4.67,4.41,4.23,5.29,4.41,4.34,4.64,4.43,2.94,2.59,2.74,3.2,1.9,0.0,0.0,0.15,0.0,100.01
11/16/2021,9.46,8.13,7.41,7.15,6.06,6.84,5.02,4.67,4.41,4.23,5.29,4.41,4.34,4.64,4.43,2.94,2.59,2.74,3.2,1.9,0.0,0.0,0.15,0.0,100.01
11/17/2021,9.61,8.07,7.46,7.07,6.02,6.86,4.97,4.62,4.39,4.19,5.25,4.41,4.42,4.66,4.55,2.96,2.55,2.73,3.18,1.88,0.0,0.0,0.15,0.0,100.0
11/18/2021,9.48,8.24,7.5,7.1,6.02,6.64,4.95,4.7,4.35,4.25,5.22,4.4,4.43,4.74,4.56,3.0,2.55,2.7,3.13,1.89,0.0,0.0,0.15,0.0,100.0
11/19/2021,9.58,8.22,7.48,7.08,6.05,6.74,5.03,4.65,4.33,4.19,5.19,4.4,4.48,4.71,4.5,3.0,2.54,2.68,3.15,1.87,0.0,0.0,0.14,0.0,100.01000000000002
11/22/2021,9.47,8.15,7.49,7.06,6.05,6.68,4.98,4.6,4.35,4.25,5.22,4.49,4.56,4.69,4.57,2.99,2.53,2.69,3.17,1.88,0.0,0.0,0.15,0.0,100.02
11/23/2021,9.47,8.15,7.49,7.06,6.05,6.68,4.98,4.6,4.35,4.25,5.22,4.49,4.56,4.69,4.57,2.99,2.53,2.69,3.17,1.88,0.0,0.0,0.15,0.0,100.02
11/24/2021,9.44,8.12,7.39,7.17,6.01,6.68,4.86,4.42,4.39,4.37,5.26,4.6,4.6,4.74,4.47,2.99,2.52,2.69,3.23,1.89,0.0,0.0,0.15,0.0,99.99
11/25/2021,9.58,8.24,7.57,7.26,5.91,6.6,4.84,4.58,4.4,4.35,5.09,4.57,4.43,4.67,4.42,2.96,2.57,2.67,3.19,1.93,0.0,0.0,0.15,0.0,99.98
11/26/2021,9.43,8.23,7.43,7.29,5.93,6.58,4.87,4.61,4.4,4.4,5.21,4.52,4.34,4.66,4.41,2.93,2.65,2.63,3.35,1.96,0.0,0.0,0.14,0.0,99.97
11/29/2021,9.46,8.25,7.49,7.33,5.94,6.23,4.93,4.58,4.59,4.47,5.19,4.51,4.38,4.65,4.47,2.93,2.64,2.6,3.26,1.95,0.0,0.0,0.14,0.0,99.99
11/30/2021,9.46,8.25,7.49,7.33,5.94,6.23,4.93,4.58,4.59,4.47,5.19,4.51,4.38,4.65,4.47,2.93,2.64,2.6,3.26,1.95,0.0,0.0,0.14,0.0,99.99
12/01/2021,9.58,8.26,7.61,7.36,5.93,6.22,4.91,4.43,4.71,4.51,5.17,4.56,4.29,4.64,4.42,2.93,2.61,2.54,3.22,1.95,0.0,0.0,0.14,0.0,99.99
12/02/2021,9.68,8.24,7.68,7.43,5.95,6.0,4.84,4.55,4.78,4.42,5.1,4.67,4.25,4.59,4.43,2.86,2.59,2.55,3.22,1.98,0.0,0.0,0.16,0.0,99.97
12/06/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/07/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/08/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/09/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/10/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/13/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/14/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/15/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/16/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/17/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/20/2021,10.14,8.79,8.18,7.23,5.8,4.41,4.45,4.72,5.15,5.0,4.84,5.11,4.59,4.58,4.68,2.66,2.02,2.42,2.98,2.15,0.0,0.0,0.09,0.0,99.99
12/21/2021,10.13,9.07,8.07,7.18,5.75,4.3,4.36,4.79,5.0,4.88,5.1,5.2,4.67,4.52,4.57,2.68,1.9,2.38,3.13,2.25,0.0,0.0,0.07,0.0,100.0
12/22/2021,10.21,8.99,8.08,7.21,5.68,4.23,4.42,4.86,5.05,4.86,5.1,5.22,4.68,4.52,4.59,2.67,1.87,2.32,3.07,2.29,0.0,0.0,0.07,0.0,99.99
12/23/2021,10.18,8.99,8.03,7.15,5.58,4.15,4.28,4.77,4.95,4.84,5.04,5.99,4.58,4.47,4.62,2.65,1.9,2.32,3.11,2.31,0.0,0.0,0.07,0.0,99.98
12/24/2021,10.09,8.73,7.86,7.15,5.63,4.17,4.43,4.84,5.01,4.86,5.13,6.07,4.58,4.51,4.54,2.67,1.94,2.33,3.08,2.32,0.0,0.0,0.07,0.0,100.01
12/27/2021,10.22,8.69,7.85,7.13,5.62,4.33,4.36,4.78,5.09,4.82,5.14,6.14,4.57,4.48,4.44,2.67,1.95,2.32,3.01,2.32,0.0,0.0,0.06,0.0,99.99
12/28/2021,10.22,8.69,7.85,7.13,5.62,4.33,4.36,4.78,5.09,4.82,5.14,6.14,4.57,4.48,4.44,2.67,1.95,2.32,3.01,2.32,0.0,0.0,0.06,0.0,99.99
12/29/2021,10.22,8.69,7.85,7.13,5.62,4.33,4.36,4.78,5.09,4.82,5.14,6.14,4.57,4.48,4.44,2.67,1.95,2.32,3.01,2.32,0.0,0.0,0.06,0.0,99.99
12/30/2021,10.09,8.62,7.85,7.11,5.64,4.36,4.52,4.75,5.01,4.71,5.14,6.07,4.6,4.6,4.55,2.73,1.98,2.29,2.93,2.37,0.0,0.0,0.06,0.0,99.98000000000002
12/31/2021,10.1,8.57,7.78,7.04,5.59,4.3,4.56,4.84,5.08,4.71,5.14,6.05,4.68,4.7,4.57,2.79,1.97,2.29,2.85,2.33,0.0,0.0,0.05,0.0,99.99
01/03/2022,10.14,8.47,7.83,7.06,5.62,4.28,4.45,4.73,5.06,4.71,5.17,5.97,4.76,4.76,4.56,2.84,2.0,2.3,2.9,2.34,0.0,0.0,0.05,0.0,100.0
01/03/2022,10.14,8.47,7.83,7.06,5.62,4.28,4.45,4.73,5.06,4.71,5.17,5.97,4.76,4.76,4.56,2.84,2.0,2.3,2.9,2.34,0.0,0.0,0.05,0.0,100.0
01/03/2022,10.14,8.47,7.83,7.06,5.62,4.28,4.45,4.73,5.06,4.71,5.17,5.97,4.76,4.76,4.56,2.84,2.0,2.3,2.9,2.34,0.0,0.0,0.05,0.0,100.0
01/04/2022,10.14,8.47,7.83,7.06,5.62,4.28,4.45,4.73,5.06,4.71,5.17,5.97,4.76,4.76,4.56,2.84,2.0,2.3,2.9,2.34,0.0,0.0,0.05,0.0,100.0
01/05/2022,10.11,8.41,7.94,7.07,5.58,4.26,4.53,4.64,5.0,4.71,5.31,5.88,4.92,4.75,4.56,2.83,1.99,2.27,2.87,2.31,0.0,0.0,0.05,0.0,99.98999999999998
