,2269.HK,BGNE,ZLAB,1801.HK,1093.HK,1177.HK,241.HK,2359 HK,853.HK,1066.HK,1833.HK,1548.HK,3692.HK,300760 C2,1099.HK,2196 HK,600276 C1,867.HK,300015 C2,603259 C1,HCM,6185 HK,600436 C1,3759 HK,1951.HK,300122 C2,570.HK,3347 HK,2005.HK,2607 HK,1530.HK,000538 C2,600196 C1,000661 C2,3320.HK,IMAB,600763 C1,000963 C2,300347 C2,9926.HK,300601 C2,2500.HK,300142 C2,600332 C1,002001 C2,002821 C2,300595 C2,002007 C2,300529 C2,002044 C2,300003 C2,603882 C1,600998 C1,BNR,002422 C2,002294 C2,600161 C1,603858 C1,600867 C1,300676 C2,000423 C2,601607 C1,300558 C2,002603 C2,600079 C1,002223 C2,300253 C2,300759 C2,002252 C2,300677 C2,300357 C2,603707 C1,600521 C1,603658 C1,000739 C2,000999 C2,000513 C2,002030 C2,300482 C2,002019 C2,600380 C1,600511 C1,CASH,300463 C2,688185 C1,002399 C2,000623 C2,600529 C1,603456 C1,603127 C1,n/a,603392 C1,300896 C2,603658,SUM
07/23/2021,11.35,6.13,5.39,5.17,5.43,4.17,3.29,3.57,2.57,2.37,2.28,3.01,2.33,2.15,1.89,2.2,1.83,1.7,1.74,1.84,1.8,1.32,1.53,1.21,1.17,1.38,1.1,1.15,0.84,0.96,0.84,0.8,0.79,0.76,0.64,0.66,0.63,0.58,0.59,0.5,0.5,0.42,0.6,0.41,0.38,0.42,0.39,0.38,0.31,0.3,0.29,0.28,0.25,0.25,0.23,0.24,0.27,0.23,0.22,0.18,0.2,0.18,0.17,0.17,0.18,0.17,0.16,0.16,0.16,0.17,0.17,0.14,0.16,0.11,0.13,0.11,0.11,0.11,0.1,0.09,0.1,0.09,0.11,0.08,0.08,0.08,0.08,0.09,0.06,0.06,0.0,0.0,0.0,0.0,99.99
07/26/2021,11.14,6.29,5.43,5.12,5.44,4.22,3.39,3.55,2.62,2.37,2.19,2.9,2.2,2.19,1.92,2.27,1.81,1.75,1.75,1.83,1.9,1.26,1.46,1.28,1.17,1.31,1.11,1.18,0.8,0.99,0.83,0.8,0.83,0.72,0.66,0.68,0.62,0.57,0.58,0.5,0.48,0.42,0.61,0.41,0.38,0.44,0.38,0.38,0.31,0.29,0.28,0.28,0.25,0.25,0.24,0.24,0.27,0.22,0.22,0.19,0.2,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.14,0.16,0.11,0.14,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.11,0.08,0.07,0.08,0.08,0.08,0.07,0.07,0.0,0.0,0.0,0.0,99.97
07/27/2021,11.14,6.29,5.43,5.12,5.44,4.22,3.39,3.55,2.62,2.37,2.19,2.9,2.2,2.19,1.92,2.27,1.81,1.75,1.75,1.83,1.9,1.26,1.46,1.28,1.17,1.31,1.11,1.18,0.8,0.99,0.83,0.8,0.83,0.72,0.66,0.68,0.62,0.57,0.58,0.5,0.48,0.42,0.61,0.41,0.38,0.44,0.38,0.38,0.31,0.29,0.28,0.28,0.25,0.25,0.24,0.24,0.27,0.22,0.22,0.19,0.2,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.14,0.16,0.11,0.14,0.11,0.11,0.11,0.1,0.09,0.09,0.09,0.11,0.08,0.07,0.08,0.08,0.08,0.07,0.07,0.0,0.0,0.0,0.0,99.97
07/29/2021,10.84,5.98,4.95,5.1,5.97,4.45,3.23,3.56,2.46,2.42,2.24,2.75,2.28,2.21,2.07,2.27,1.94,1.77,1.68,1.86,1.99,1.28,1.45,1.22,1.09,1.26,1.17,1.16,0.75,1.1,0.81,0.89,0.85,0.7,0.69,0.61,0.6,0.57,0.59,0.5,0.47,0.39,0.67,0.42,0.4,0.44,0.37,0.4,0.32,0.3,0.29,0.28,0.27,0.22,0.26,0.25,0.27,0.24,0.24,0.2,0.21,0.2,0.18,0.17,0.18,0.18,0.17,0.17,0.18,0.16,0.17,0.14,0.16,0.12,0.14,0.12,0.11,0.12,0.11,0.1,0.1,0.1,0.11,0.09,0.07,0.08,0.09,0.09,0.07,0.07,0.0,0.0,0.0,0.0,99.96999999999998
07/30/2021,10.71,6.29,4.68,4.87,5.94,4.52,2.81,3.59,2.48,2.4,2.28,2.65,2.2,2.25,2.07,2.24,1.9,1.78,1.75,1.93,1.98,1.32,1.42,1.27,1.07,1.27,1.2,1.2,0.72,1.16,0.78,0.91,0.87,0.68,0.7,0.63,0.59,0.58,0.63,0.51,0.5,0.39,0.72,0.44,0.42,0.48,0.39,0.42,0.32,0.31,0.3,0.3,0.29,0.22,0.27,0.26,0.28,0.26,0.25,0.21,0.22,0.21,0.19,0.18,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.15,0.16,0.12,0.15,0.13,0.12,0.12,0.11,0.1,0.1,0.1,0.12,0.09,0.08,0.09,0.09,0.09,0.07,0.09,0.0,0.0,0.0,0.0,100.03
08/02/2021,11.06,6.51,4.89,5.2,5.86,4.24,3.21,3.7,2.57,2.27,2.28,2.8,2.24,2.21,1.9,2.33,1.74,1.73,1.74,1.88,1.99,1.41,1.36,1.3,1.19,1.2,1.15,1.13,0.72,1.08,0.74,0.82,0.86,0.63,0.65,0.71,0.6,0.53,0.6,0.51,0.48,0.38,0.71,0.4,0.39,0.49,0.37,0.39,0.29,0.27,0.27,0.29,0.27,0.24,0.24,0.24,0.25,0.23,0.22,0.2,0.19,0.19,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.16,0.14,0.14,0.11,0.14,0.12,0.11,0.13,0.1,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.09,0.07,0.08,0.0,0.0,0.0,0.0,99.99
08/03/2021,11.06,6.51,4.89,5.2,5.86,4.24,3.21,3.7,2.57,2.27,2.28,2.8,2.24,2.21,1.9,2.33,1.74,1.73,1.74,1.88,1.99,1.41,1.36,1.3,1.19,1.2,1.15,1.13,0.72,1.08,0.74,0.82,0.86,0.63,0.65,0.71,0.6,0.53,0.6,0.51,0.48,0.38,0.71,0.4,0.39,0.49,0.37,0.39,0.29,0.27,0.27,0.29,0.27,0.24,0.24,0.24,0.25,0.23,0.22,0.2,0.19,0.19,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.16,0.14,0.14,0.11,0.14,0.12,0.11,0.13,0.1,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.09,0.07,0.08,0.0,0.0,0.0,0.0,99.99
08/04/2021,10.66,6.69,5.28,5.15,5.83,4.27,3.05,3.62,2.54,2.3,2.25,2.83,2.23,2.05,1.89,2.52,1.73,1.6,1.69,1.83,2.06,1.51,1.32,1.3,1.16,1.24,1.18,1.11,0.72,1.09,0.73,0.81,0.95,0.63,0.65,0.74,0.56,0.54,0.59,0.52,0.47,0.38,0.75,0.4,0.38,0.49,0.37,0.39,0.28,0.28,0.27,0.29,0.27,0.23,0.25,0.25,0.25,0.23,0.23,0.22,0.19,0.19,0.16,0.18,0.18,0.17,0.16,0.18,0.17,0.18,0.16,0.15,0.15,0.11,0.14,0.12,0.11,0.13,0.1,0.09,0.1,0.1,0.11,0.09,0.08,0.08,0.08,0.09,0.07,0.08,0.0,0.0,0.0,0.0,100.0
08/05/2021,10.78,6.85,5.23,5.08,5.77,4.29,2.98,3.59,2.45,2.34,2.24,2.86,2.18,2.07,1.91,2.47,1.75,1.68,1.65,1.85,2.08,1.53,1.33,1.31,1.12,1.2,1.16,1.08,0.73,1.07,0.74,0.81,0.95,0.62,0.66,0.75,0.57,0.55,0.59,0.5,0.48,0.37,0.75,0.41,0.4,0.49,0.38,0.39,0.29,0.28,0.27,0.31,0.27,0.23,0.25,0.25,0.26,0.23,0.22,0.22,0.19,0.19,0.17,0.18,0.17,0.17,0.16,0.18,0.17,0.18,0.16,0.15,0.15,0.12,0.14,0.12,0.11,0.13,0.1,0.09,0.1,0.1,0.1,0.08,0.08,0.08,0.08,0.09,0.07,0.08,0.0,0.0,0.0,0.0,100.01
08/06/2021,10.92,6.95,5.18,5.01,5.64,4.26,2.91,3.63,2.44,2.25,2.19,3.09,2.19,2.07,1.89,2.53,1.76,1.65,1.64,1.86,2.02,1.65,1.31,1.31,1.08,1.32,1.12,1.07,0.71,1.04,0.7,0.79,0.97,0.63,0.63,0.71,0.57,0.55,0.61,0.5,0.49,0.36,0.75,0.4,0.39,0.49,0.39,0.4,0.25,0.27,0.27,0.32,0.26,0.22,0.25,0.24,0.25,0.22,0.22,0.23,0.19,0.19,0.17,0.19,0.18,0.17,0.16,0.19,0.17,0.18,0.16,0.16,0.14,0.12,0.14,0.11,0.11,0.14,0.12,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.09,0.07,0.08,0.0,0.0,0.0,0.0,99.99
08/10/2021,11.27,6.86,5.28,4.89,5.71,4.29,2.89,3.6,2.31,2.24,2.21,3.07,2.2,1.96,1.86,2.55,1.72,1.66,1.58,1.9,2.02,1.69,1.32,1.32,1.08,1.34,1.1,1.1,0.7,1.03,0.72,0.79,0.98,0.55,0.62,0.71,0.56,0.53,0.63,0.46,0.56,0.33,0.79,0.4,0.38,0.52,0.38,0.4,0.23,0.28,0.27,0.29,0.26,0.23,0.24,0.24,0.24,0.22,0.22,0.21,0.19,0.19,0.17,0.2,0.17,0.18,0.15,0.2,0.17,0.17,0.16,0.16,0.14,0.12,0.14,0.11,0.12,0.13,0.12,0.09,0.1,0.1,0.0,0.09,0.09,0.09,0.08,0.09,0.07,0.09,0.1,0.0,0.0,0.0,99.96999999999998
08/11/2021,11.05,6.77,5.41,4.8,5.86,4.47,2.9,3.44,2.31,2.28,2.23,3.12,2.21,2.0,1.93,2.36,1.74,1.72,1.61,1.78,2.05,1.71,1.34,1.32,1.13,1.32,1.14,1.1,0.73,1.05,0.74,0.79,0.92,0.57,0.64,0.68,0.57,0.54,0.64,0.47,0.53,0.33,0.75,0.4,0.38,0.52,0.38,0.39,0.23,0.27,0.27,0.29,0.27,0.23,0.25,0.24,0.24,0.22,0.22,0.21,0.19,0.19,0.17,0.19,0.17,0.18,0.15,0.19,0.17,0.17,0.16,0.16,0.15,0.12,0.14,0.12,0.11,0.13,0.11,0.09,0.1,0.1,0.0,0.08,0.08,0.09,0.08,0.09,0.07,0.09,0.1,0.0,0.0,0.0,100.0
08/13/2021,11.18,6.51,5.33,4.84,5.93,4.36,3.1,3.42,2.41,2.27,2.24,3.2,2.21,2.06,1.92,2.28,1.79,1.7,1.62,1.73,2.03,1.69,1.37,1.32,1.13,1.27,1.1,1.08,0.77,1.01,0.78,0.77,0.87,0.6,0.63,0.72,0.59,0.56,0.6,0.49,0.5,0.34,0.75,0.4,0.38,0.5,0.37,0.39,0.24,0.29,0.27,0.3,0.27,0.22,0.25,0.24,0.24,0.22,0.21,0.21,0.19,0.19,0.18,0.18,0.18,0.19,0.15,0.18,0.17,0.16,0.16,0.16,0.14,0.12,0.13,0.12,0.11,0.13,0.11,0.1,0.1,0.1,0.0,0.08,0.08,0.09,0.08,0.09,0.07,0.08,0.09,0.0,0.0,0.0,99.97999999999998
08/16/2021,11.06,6.25,5.6,4.74,6.25,4.42,3.15,3.42,2.36,2.27,2.32,2.86,2.1,2.01,2.02,2.23,1.82,1.77,1.62,1.74,2.09,1.43,1.43,1.31,1.11,1.3,1.04,1.03,0.81,1.05,0.81,0.8,0.89,0.61,0.66,0.69,0.56,0.56,0.59,0.46,0.51,0.33,0.72,0.42,0.39,0.51,0.37,0.4,0.25,0.3,0.28,0.3,0.28,0.22,0.26,0.24,0.25,0.23,0.22,0.22,0.2,0.2,0.18,0.19,0.18,0.19,0.16,0.19,0.17,0.17,0.16,0.16,0.15,0.13,0.14,0.12,0.11,0.13,0.11,0.1,0.1,0.1,0.0,0.09,0.07,0.09,0.09,0.09,0.07,0.09,0.09,0.0,0.0,0.0,99.95999999999998
08/18/2021,11.28,5.99,5.62,4.88,6.21,4.39,3.17,3.46,2.37,2.31,2.26,3.0,2.1,1.96,2.01,2.14,1.84,1.77,1.56,1.73,2.07,1.4,1.42,1.36,1.11,1.26,1.05,1.07,0.79,1.04,0.86,0.79,0.85,0.65,0.65,0.68,0.55,0.55,0.61,0.46,0.5,0.33,0.68,0.42,0.41,0.52,0.36,0.4,0.24,0.3,0.28,0.3,0.29,0.22,0.26,0.24,0.25,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.19,0.16,0.19,0.17,0.17,0.16,0.16,0.15,0.13,0.16,0.12,0.11,0.13,0.11,0.11,0.1,0.1,0.0,0.08,0.07,0.09,0.09,0.09,0.07,0.09,0.09,0.0,0.0,0.0,99.98
08/19/2021,11.22,6.12,5.48,4.84,6.4,4.4,3.09,3.37,2.33,2.28,2.2,3.02,2.12,1.99,2.12,2.12,1.86,1.76,1.6,1.72,2.02,1.39,1.44,1.31,1.06,1.27,1.04,1.05,0.82,1.06,0.89,0.8,0.84,0.65,0.66,0.68,0.56,0.59,0.6,0.46,0.5,0.32,0.69,0.43,0.44,0.48,0.36,0.4,0.25,0.3,0.29,0.31,0.29,0.21,0.26,0.25,0.25,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.2,0.16,0.19,0.18,0.17,0.17,0.16,0.15,0.13,0.16,0.12,0.11,0.13,0.11,0.11,0.1,0.1,0.0,0.09,0.06,0.09,0.09,0.09,0.07,0.09,0.08,0.0,0.0,0.0,99.99
08/20/2021,10.83,6.32,5.43,4.91,6.62,4.46,3.14,3.25,2.3,2.38,2.28,3.05,2.09,1.91,2.14,2.07,1.85,1.82,1.59,1.68,2.11,1.38,1.41,1.25,1.09,1.24,1.02,1.04,0.87,1.07,0.87,0.8,0.81,0.64,0.67,0.66,0.55,0.61,0.57,0.45,0.53,0.34,0.68,0.43,0.43,0.45,0.35,0.4,0.24,0.3,0.29,0.29,0.3,0.21,0.26,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.18,0.19,0.19,0.19,0.16,0.17,0.18,0.18,0.16,0.16,0.15,0.13,0.16,0.13,0.11,0.13,0.11,0.11,0.1,0.11,0.0,0.09,0.06,0.09,0.09,0.09,0.08,0.08,0.09,0.0,0.0,0.0,99.99
08/23/2021,11.02,6.28,5.12,4.7,6.53,4.61,3.12,3.29,2.19,2.36,2.27,3.1,2.22,1.89,2.11,2.04,1.84,1.88,1.55,1.71,2.03,1.4,1.46,1.29,1.04,1.27,1.01,1.05,0.82,1.08,0.89,0.81,0.84,0.63,0.67,0.58,0.57,0.64,0.59,0.43,0.54,0.34,0.76,0.44,0.46,0.47,0.36,0.41,0.25,0.3,0.29,0.3,0.3,0.2,0.26,0.26,0.26,0.24,0.24,0.22,0.21,0.21,0.18,0.19,0.2,0.2,0.16,0.19,0.18,0.17,0.17,0.16,0.15,0.12,0.18,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.0,0.09,0.06,0.1,0.1,0.09,0.08,0.08,0.09,0.0,0.0,0.0,100.01
08/24/2021,11.02,6.28,5.12,4.7,6.53,4.61,3.12,3.29,2.19,2.36,2.27,3.1,2.22,1.89,2.11,2.04,1.84,1.88,1.55,1.71,2.03,1.4,1.46,1.29,1.04,1.27,1.01,1.05,0.82,1.08,0.89,0.81,0.84,0.63,0.67,0.58,0.57,0.64,0.59,0.43,0.54,0.34,0.76,0.44,0.46,0.47,0.36,0.41,0.25,0.3,0.29,0.3,0.3,0.2,0.26,0.26,0.26,0.24,0.24,0.22,0.21,0.21,0.18,0.19,0.2,0.2,0.16,0.19,0.18,0.17,0.17,0.16,0.15,0.12,0.18,0.13,0.12,0.13,0.11,0.11,0.11,0.11,0.0,0.09,0.06,0.1,0.1,0.09,0.08,0.08,0.09,0.0,0.0,0.0,100.01
08/25/2021,10.84,6.05,5.62,4.67,6.45,4.68,2.88,3.3,2.19,2.41,2.07,2.97,2.22,1.66,2.18,2.05,1.76,1.9,1.54,1.71,2.12,1.42,1.42,1.33,1.06,1.29,1.04,1.1,0.84,1.13,0.9,0.83,0.84,0.63,0.68,0.65,0.55,0.66,0.58,0.42,0.55,0.35,0.8,0.46,0.48,0.48,0.35,0.43,0.25,0.31,0.3,0.29,0.31,0.22,0.27,0.26,0.27,0.25,0.25,0.22,0.22,0.22,0.18,0.2,0.2,0.2,0.17,0.18,0.19,0.18,0.17,0.17,0.15,0.12,0.18,0.13,0.12,0.14,0.1,0.12,0.11,0.11,0.0,0.09,0.06,0.1,0.1,0.1,0.08,0.08,0.09,0.0,0.0,0.0,100.0
08/26/2021,11.16,6.36,5.8,4.52,6.44,4.56,2.93,3.27,2.11,2.39,2.06,3.24,1.98,1.73,2.04,2.11,1.65,1.9,1.47,1.66,2.07,1.53,1.45,1.33,1.05,1.43,1.02,1.14,0.85,1.1,0.89,0.79,0.87,0.61,0.67,0.69,0.51,0.62,0.57,0.42,0.55,0.33,0.82,0.44,0.46,0.46,0.33,0.42,0.24,0.3,0.29,0.26,0.3,0.22,0.26,0.25,0.25,0.24,0.24,0.22,0.23,0.21,0.18,0.19,0.19,0.19,0.17,0.18,0.19,0.18,0.16,0.16,0.15,0.11,0.18,0.13,0.12,0.13,0.1,0.12,0.1,0.11,0.0,0.08,0.06,0.1,0.1,0.09,0.07,0.08,0.08,0.0,0.0,0.0,100.01
08/27/2021,11.67,6.45,5.64,4.56,6.22,4.46,3.03,3.4,2.19,2.36,2.04,3.38,1.93,1.71,1.95,2.05,1.61,1.86,1.53,1.71,2.04,1.52,1.42,1.34,1.05,1.42,0.99,1.15,0.82,1.07,0.89,0.76,0.84,0.6,0.66,0.69,0.51,0.59,0.6,0.43,0.53,0.34,0.78,0.43,0.47,0.48,0.33,0.41,0.23,0.3,0.28,0.27,0.29,0.23,0.26,0.24,0.25,0.23,0.23,0.21,0.22,0.21,0.17,0.19,0.18,0.19,0.16,0.19,0.18,0.17,0.16,0.16,0.14,0.11,0.17,0.14,0.12,0.13,0.09,0.11,0.1,0.1,0.0,0.08,0.06,0.09,0.1,0.09,0.07,0.09,0.08,0.0,0.0,0.0,99.98
08/30/2021,11.63,6.62,5.53,4.45,6.17,4.48,3.2,3.33,2.21,2.44,1.86,3.4,1.96,1.86,1.96,2.01,1.6,1.75,1.55,1.7,2.01,1.47,1.44,1.36,1.06,1.36,0.96,1.15,0.81,1.1,0.92,0.78,0.85,0.6,0.68,0.66,0.5,0.52,0.59,0.42,0.51,0.33,0.81,0.45,0.48,0.48,0.34,0.42,0.24,0.3,0.29,0.27,0.32,0.22,0.28,0.25,0.25,0.24,0.24,0.22,0.23,0.22,0.17,0.19,0.18,0.18,0.17,0.18,0.19,0.17,0.16,0.16,0.14,0.11,0.17,0.15,0.13,0.13,0.1,0.12,0.11,0.1,0.0,0.08,0.06,0.1,0.1,0.09,0.07,0.09,0.07,0.0,0.0,0.0,100.01
