,DJAN,FDEC,DFEB,DMAR,FJAN,n/a,MISXX,DJUN,DMAY,DAPR,FMAR,DOCT,DAUG,DSEP,DNOV,DDEC,SUM
02/17/2022,0.0,0.0,0.0,24.72,0.0,0.0,0.01,20.51,19.58,0.0,17.91,17.27,0.0,0.0,0.0,0.0,100.0
02/18/2022,0.0,0.0,0.0,24.7,0.0,0.0,0.01,20.48,19.57,0.0,17.98,17.27,0.0,0.0,0.0,0.0,100.01
02/21/2022,0.0,0.0,0.0,24.74,0.0,0.0,0.0,20.48,19.56,0.0,17.95,17.26,0.0,0.0,0.0,0.0,99.99
03/07/2022,19.08,0.0,19.28,0.0,0.0,0.0,0.16,22.54,20.44,0.0,0.0,18.5,0.0,0.0,0.0,0.0,100.0
03/10/2022,19.05,0.0,19.28,0.0,0.0,0.0,0.15,22.57,20.43,0.0,0.0,18.51,0.0,0.0,0.0,0.0,99.99
03/28/2022,18.79,0.0,19.3,0.0,0.0,0.0,0.14,20.83,22.17,0.0,0.0,18.79,0.0,0.0,0.0,0.0,100.02
05/13/2022,20.42,0.0,21.15,19.19,0.0,0.0,0.02,19.87,0.0,0.0,0.0,19.34,0.0,0.0,0.0,0.0,99.99
05/20/2022,20.45,0.0,21.18,19.16,0.0,0.0,0.02,19.84,0.0,0.0,0.0,19.34,0.0,0.0,0.0,0.0,99.99
07/06/2022,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,19.28,17.84,0.0,0.0,18.37,23.97,20.62,0.0,0.0,100.0
07/07/2022,0.0,0.0,0.0,0.0,0.0,0.06,0.0,19.27,17.84,0.0,0.0,18.34,23.92,20.57,0.0,0.0,100.0
08/09/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.01,17.97,0.0,0.0,0.0,20.82,0.0,26.31,18.14,16.74,99.99
