,NOVO B.CO,DSV.CO,VWS.CO,ORSTED.CO,GMAB.CO,CARL B.CO,COLO B.CO,NZYM B.CO,MAERSK B.CO,PNDORA.CO,DANSKE.CO,GN.CO,CHR.CO,TRYG.CO,DEMANT.CO,MAERSKA.CO,RBREW.CO,AMBU B.CO,NETC.CO,SIM.CO,ROCK B.CO,ISS.CO,ALK B.CO,RILBA.CO,JYSK.CO,BAVA.CO,TOP.CO,CHEMM.CO,DKK,NKT.CO,DFDS.CO,SYDB.CO,LUN.CO,FLS.CO,STG.CO,SCHO.CO,DNORD.CO,NLFSK.CO,SPNO.CO,DRLCO.CO,MATAS.CO,PAAL B.CO,ZEAL.CO,ALMB.CO,NNIT.CO,TRMD A.CO,HART.CO,HBCFT,CBRAIN.CO,NTG.CO,XTSLA,OMWN1,DKK.1,USD,OMWQ1,OMWU1,OMWV1,OMWX1,ALMBT.CO,SUM
08/03/2021,23.74,9.4,6.87,5.08,4.86,3.89,4.31,3.39,3.09,2.79,2.52,2.39,1.98,1.99,1.61,1.44,1.52,1.36,1.26,1.3,1.16,0.99,0.9,0.89,0.76,0.7,0.66,0.78,0.64,0.66,0.62,0.62,0.58,0.52,0.5,0.48,0.43,0.46,0.46,0.38,0.41,0.34,0.33,0.22,0.21,0.15,0.13,0.07,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/04/2021,23.74,9.4,6.87,5.08,4.86,3.89,4.31,3.39,3.09,2.79,2.52,2.39,1.98,1.99,1.61,1.44,1.52,1.36,1.26,1.3,1.16,0.99,0.9,0.89,0.76,0.7,0.66,0.78,0.64,0.66,0.62,0.62,0.58,0.52,0.5,0.48,0.43,0.46,0.46,0.38,0.41,0.34,0.33,0.22,0.21,0.15,0.13,0.07,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/05/2021,23.74,9.4,6.87,5.08,4.86,3.89,4.31,3.39,3.09,2.79,2.52,2.39,1.98,1.99,1.61,1.44,1.52,1.36,1.26,1.3,1.16,0.99,0.9,0.89,0.76,0.7,0.66,0.78,0.64,0.66,0.62,0.62,0.58,0.52,0.5,0.48,0.43,0.46,0.46,0.38,0.41,0.34,0.33,0.22,0.21,0.15,0.13,0.07,0.06,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/06/2021,23.75,9.17,7.07,5.07,4.95,3.76,4.38,3.4,3.07,2.82,2.5,2.45,1.97,2.0,1.61,1.44,1.5,1.39,1.26,1.25,1.15,1.02,0.9,0.89,0.76,0.71,0.66,0.77,0.64,0.68,0.61,0.62,0.59,0.51,0.5,0.47,0.42,0.46,0.46,0.38,0.4,0.35,0.33,0.22,0.21,0.15,0.13,0.07,0.07,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
08/10/2021,25.1,8.94,7.23,5.07,4.78,3.66,4.21,3.32,3.02,2.63,2.5,2.38,1.95,1.98,1.55,1.41,1.41,1.37,1.24,1.21,1.14,0.99,0.87,0.9,0.78,0.72,0.65,0.71,0.63,0.67,0.62,0.64,0.6,0.5,0.49,0.46,0.42,0.46,0.46,0.38,0.39,0.34,0.32,0.22,0.21,0.15,0.13,0.07,0.06,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/11/2021,25.1,8.94,7.23,5.07,4.78,3.66,4.21,3.32,3.02,2.63,2.5,2.38,1.95,1.98,1.55,1.41,1.41,1.37,1.24,1.21,1.14,0.99,0.87,0.9,0.78,0.72,0.65,0.71,0.63,0.67,0.62,0.64,0.6,0.5,0.49,0.46,0.42,0.46,0.46,0.38,0.39,0.34,0.32,0.22,0.21,0.15,0.13,0.07,0.06,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/13/2021,25.09,8.86,7.11,5.19,4.76,3.59,4.17,3.33,3.08,2.71,2.49,2.32,1.97,2.0,1.51,1.44,1.38,1.35,1.24,1.2,1.15,1.02,0.92,0.91,0.78,0.75,0.66,0.73,0.63,0.69,0.63,0.65,0.59,0.48,0.49,0.46,0.41,0.47,0.46,0.37,0.39,0.34,0.32,0.22,0.2,0.14,0.13,0.07,0.06,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/16/2021,25.62,9.09,6.73,4.96,4.89,3.55,4.15,3.29,3.29,2.65,2.53,2.23,1.96,2.0,1.43,1.51,1.38,1.27,1.22,1.23,1.16,0.95,0.83,0.9,0.8,0.7,0.67,0.69,0.63,0.68,0.66,0.65,0.59,0.48,0.49,0.48,0.44,0.45,0.47,0.38,0.39,0.34,0.29,0.22,0.21,0.14,0.11,0.07,0.06,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/20/2021,25.94,9.41,6.76,5.07,4.86,3.56,4.09,3.23,3.19,2.76,2.43,2.22,1.92,1.97,1.42,1.46,1.37,1.19,1.21,1.22,1.11,0.92,0.83,0.87,0.72,0.68,0.66,0.67,0.71,0.68,0.68,0.62,0.59,0.47,0.49,0.46,0.43,0.44,0.45,0.36,0.39,0.33,0.28,0.21,0.21,0.14,0.11,0.08,0.06,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/23/2021,26.33,9.32,7.09,5.31,4.88,3.52,4.05,3.25,3.13,2.59,2.38,1.97,1.95,1.98,1.41,1.45,1.38,1.09,1.23,1.24,1.09,0.91,0.82,0.87,0.67,0.7,0.67,0.69,0.72,0.64,0.64,0.61,0.53,0.46,0.49,0.45,0.36,0.43,0.44,0.35,0.42,0.33,0.28,0.2,0.2,0.13,0.11,0.08,0.06,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/24/2021,26.53,9.24,7.13,5.43,4.97,3.46,3.99,3.25,3.02,2.61,2.36,1.94,1.96,1.96,1.43,1.4,1.37,1.07,1.3,1.2,1.1,0.89,0.84,0.87,0.67,0.73,0.67,0.7,0.72,0.62,0.63,0.6,0.53,0.45,0.52,0.46,0.35,0.42,0.44,0.3,0.4,0.33,0.29,0.21,0.2,0.13,0.11,0.08,0.06,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/25/2021,26.53,9.24,7.13,5.43,4.97,3.46,3.99,3.25,3.02,2.61,2.36,1.94,1.96,1.96,1.43,1.4,1.37,1.07,1.3,1.2,1.1,0.89,0.84,0.87,0.67,0.73,0.67,0.7,0.72,0.62,0.63,0.6,0.53,0.45,0.52,0.46,0.35,0.42,0.44,0.3,0.4,0.33,0.29,0.21,0.2,0.13,0.11,0.08,0.06,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/26/2021,26.15,9.27,7.2,5.4,4.95,3.49,3.99,3.28,3.03,2.6,2.38,1.97,1.95,1.96,1.43,1.41,1.37,1.07,1.32,1.2,1.09,0.89,0.86,0.88,0.67,0.82,0.67,0.73,0.72,0.6,0.63,0.61,0.53,0.46,0.5,0.45,0.36,0.43,0.43,0.33,0.44,0.33,0.29,0.21,0.21,0.13,0.11,0.08,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/27/2021,25.8,9.3,7.39,5.46,4.91,3.53,3.95,3.33,3.0,2.53,2.4,1.93,1.98,1.98,1.43,1.4,1.4,1.05,1.27,1.21,1.1,0.91,0.86,0.89,0.67,0.87,0.68,0.7,0.72,0.61,0.63,0.6,0.54,0.47,0.5,0.46,0.38,0.44,0.43,0.34,0.44,0.33,0.3,0.22,0.21,0.13,0.11,0.08,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03999999999998
08/30/2021,25.88,9.26,7.38,5.27,4.94,3.51,3.97,3.35,3.07,2.51,2.42,1.95,1.97,1.94,1.44,1.43,1.38,1.04,1.28,1.21,1.11,0.92,0.87,0.91,0.68,0.82,0.67,0.71,0.73,0.61,0.64,0.58,0.54,0.47,0.49,0.46,0.38,0.45,0.43,0.35,0.45,0.35,0.3,0.23,0.21,0.13,0.11,0.07,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/07/2021,20.81,9.66,7.8,5.43,4.57,3.51,4.14,3.3,3.03,2.58,2.47,2.1,2.04,1.94,1.49,1.44,1.51,1.38,1.31,1.34,1.14,0.98,0.95,0.95,0.76,1.1,0.76,0.81,0.67,0.67,0.7,0.62,0.72,0.65,0.57,0.58,0.47,0.58,0.5,0.48,0.49,0.5,0.59,0.5,0.2,0.13,0.1,0.06,0.5,0.44,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999998
09/08/2021,20.81,9.66,7.8,5.43,4.57,3.51,4.14,3.3,3.03,2.58,2.47,2.1,2.04,1.94,1.49,1.44,1.51,1.38,1.31,1.34,1.14,0.98,0.95,0.95,0.76,1.1,0.76,0.81,0.67,0.67,0.7,0.62,0.72,0.65,0.57,0.58,0.47,0.58,0.5,0.48,0.49,0.5,0.59,0.5,0.2,0.13,0.1,0.06,0.5,0.44,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999998
09/09/2021,21.07,9.75,7.76,5.4,4.63,3.54,4.2,3.31,3.13,2.61,2.49,2.13,2.04,1.94,1.49,1.48,1.53,1.34,1.32,1.35,1.13,0.97,0.95,0.94,0.76,1.09,0.76,0.82,0.68,0.68,0.71,0.62,0.72,0.64,0.58,0.58,0.48,0.55,0.5,0.48,0.49,0.49,0.59,0.49,0.2,0.14,0.1,0.06,0.49,0.44,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.7
09/10/2021,20.98,9.74,7.74,5.35,4.41,3.49,4.16,3.26,3.16,2.67,2.46,2.13,1.97,1.92,1.47,1.5,1.52,1.36,1.31,1.33,1.1,0.98,0.95,0.93,0.76,1.13,0.75,0.8,0.68,0.69,0.72,0.61,0.71,0.64,0.57,0.57,0.48,0.54,0.49,0.48,0.48,0.49,0.58,0.49,0.2,0.14,0.1,0.06,0.51,0.46,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
09/13/2021,21.06,9.7,7.5,5.24,4.32,3.52,4.24,3.22,3.21,2.66,2.5,2.14,2.05,1.95,1.48,1.53,1.52,1.41,1.29,1.31,1.12,0.98,0.95,0.95,0.77,1.1,0.76,0.84,0.67,0.67,0.73,0.62,0.7,0.65,0.57,0.58,0.48,0.51,0.5,0.48,0.49,0.48,0.59,0.48,0.2,0.14,0.1,0.06,0.51,0.46,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/14/2021,21.15,9.76,7.49,5.21,4.24,3.48,4.22,3.22,3.21,2.71,2.48,2.11,2.06,1.96,1.49,1.52,1.46,1.42,1.3,1.33,1.13,1.0,0.93,0.95,0.76,1.07,0.77,0.87,0.63,0.66,0.72,0.62,0.7,0.67,0.57,0.58,0.48,0.53,0.51,0.48,0.49,0.49,0.6,0.48,0.2,0.14,0.1,0.06,0.5,0.45,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/15/2021,21.15,9.76,7.49,5.21,4.24,3.48,4.22,3.22,3.21,2.71,2.48,2.11,2.06,1.96,1.49,1.52,1.46,1.42,1.3,1.33,1.13,1.0,0.93,0.95,0.76,1.07,0.77,0.87,0.63,0.66,0.72,0.62,0.7,0.67,0.57,0.58,0.48,0.53,0.51,0.48,0.49,0.49,0.6,0.48,0.2,0.14,0.1,0.06,0.5,0.45,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/16/2021,21.2,9.72,7.8,5.3,4.25,3.47,4.18,3.21,3.16,2.71,2.52,2.06,2.05,1.96,1.47,1.51,1.44,1.4,1.29,1.33,1.18,0.99,0.91,0.94,0.77,1.04,0.77,0.8,0.63,0.68,0.71,0.62,0.68,0.66,0.56,0.58,0.48,0.5,0.51,0.49,0.49,0.48,0.6,0.47,0.2,0.14,0.1,0.06,0.45,0.42,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,21.25,9.8,7.77,5.28,4.22,3.35,4.21,3.19,3.22,2.9,2.47,2.1,2.05,1.95,1.49,1.53,1.44,1.45,1.28,1.31,1.18,1.0,0.89,0.94,0.75,1.01,0.77,0.8,0.63,0.67,0.7,0.62,0.68,0.66,0.56,0.57,0.48,0.49,0.52,0.49,0.49,0.48,0.59,0.46,0.19,0.14,0.1,0.06,0.4,0.4,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,100.03
09/20/2021,21.73,10.03,7.62,5.01,4.04,3.31,4.17,3.28,3.29,2.87,2.46,2.11,2.04,1.95,1.48,1.55,1.43,1.43,1.26,1.27,1.1,0.97,0.88,0.94,0.74,1.0,0.76,0.8,0.6,0.64,0.7,0.63,0.66,0.8,0.57,0.56,0.47,0.47,0.53,0.48,0.5,0.48,0.59,0.46,0.19,0.13,0.09,0.06,0.38,0.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/21/2021,21.76,10.01,7.44,4.93,4.12,3.33,4.13,3.29,3.26,2.86,2.48,2.14,2.01,1.96,1.49,1.55,1.45,1.45,1.3,1.28,1.12,0.97,0.88,0.95,0.74,1.01,0.76,0.81,0.58,0.64,0.7,0.63,0.66,0.79,0.58,0.57,0.47,0.48,0.53,0.47,0.49,0.48,0.6,0.46,0.19,0.13,0.09,0.06,0.41,0.45,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/22/2021,21.76,10.01,7.44,4.93,4.12,3.33,4.13,3.29,3.26,2.86,2.48,2.14,2.01,1.96,1.49,1.55,1.45,1.45,1.3,1.28,1.12,0.97,0.88,0.95,0.74,1.01,0.76,0.81,0.58,0.64,0.7,0.63,0.66,0.79,0.58,0.57,0.47,0.48,0.53,0.47,0.49,0.48,0.6,0.46,0.19,0.13,0.09,0.06,0.41,0.45,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,21.81,9.87,7.56,5.05,4.25,3.36,4.16,3.38,3.15,2.8,2.43,2.13,2.08,1.95,1.44,1.5,1.46,1.46,1.28,1.27,1.14,0.95,0.86,0.94,0.74,1.07,0.75,0.79,0.58,0.64,0.69,0.62,0.68,0.77,0.59,0.58,0.45,0.47,0.52,0.46,0.5,0.48,0.61,0.45,0.19,0.13,0.09,0.06,0.36,0.41,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/24/2021,21.89,9.98,7.54,5.03,4.29,3.39,4.14,3.31,3.15,2.78,2.4,2.13,2.05,1.92,1.47,1.5,1.46,1.43,1.29,1.26,1.12,0.94,0.88,0.94,0.73,1.07,0.74,0.83,0.58,0.69,0.67,0.61,0.67,0.75,0.58,0.57,0.44,0.47,0.5,0.45,0.5,0.47,0.59,0.44,0.19,0.13,0.09,0.06,0.41,0.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/27/2021,21.43,9.88,7.85,5.05,4.23,3.38,4.1,3.18,3.22,2.84,2.46,2.09,2.04,1.91,1.48,1.54,1.48,1.45,1.3,1.28,1.06,0.96,0.9,0.94,0.75,1.08,0.75,0.91,0.58,0.68,0.68,0.63,0.68,0.78,0.58,0.57,0.46,0.48,0.51,0.47,0.49,0.47,0.61,0.44,0.19,0.13,0.09,0.06,0.42,0.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/28/2021,21.59,9.74,7.78,5.06,4.22,3.42,4.1,3.14,3.2,2.81,2.51,2.08,2.02,1.92,1.44,1.53,1.49,1.47,1.28,1.3,1.03,0.98,0.89,0.95,0.77,1.05,0.76,0.9,0.58,0.67,0.68,0.65,0.68,0.79,0.58,0.57,0.46,0.48,0.53,0.49,0.49,0.48,0.62,0.45,0.19,0.13,0.09,0.06,0.41,0.42,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/30/2021,21.58,9.53,7.94,5.05,4.21,3.48,4.07,3.12,3.16,2.78,2.63,2.07,2.03,1.94,1.4,1.52,1.5,1.45,1.25,1.28,1.01,1.0,0.88,0.96,0.81,1.04,0.77,0.89,0.58,0.67,0.69,0.68,0.69,0.79,0.58,0.57,0.47,0.47,0.55,0.52,0.48,0.48,0.62,0.47,0.2,0.14,0.09,0.06,0.4,0.4,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
10/01/2021,21.27,9.41,8.04,5.11,4.25,3.58,4.06,3.18,3.19,2.79,2.65,2.04,2.06,1.96,1.44,1.53,1.51,1.39,1.23,1.27,1.02,1.01,0.85,0.97,0.81,1.06,0.78,0.81,0.58,0.67,0.69,0.69,0.7,0.79,0.59,0.57,0.48,0.47,0.55,0.53,0.49,0.48,0.62,0.47,0.19,0.14,0.09,0.06,0.39,0.41,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/20/2021,22.62,9.19,7.7,5.08,4.43,3.59,3.98,3.11,2.79,2.99,2.73,1.86,1.89,1.99,1.23,1.33,1.55,1.18,1.19,1.24,1.02,0.93,0.91,1.07,0.9,1.03,0.82,0.74,0.62,0.68,0.66,0.77,0.69,0.82,0.62,0.57,0.46,0.51,0.57,0.54,0.48,0.48,0.59,0.51,0.18,0.14,0.1,0.06,0.39,0.43,0.05,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,99.99
10/21/2021,22.91,9.15,7.6,5.01,4.42,3.55,3.99,3.08,2.83,2.99,2.75,1.83,1.89,1.97,1.23,1.35,1.53,1.2,1.19,1.24,1.0,0.93,0.91,1.07,0.9,1.02,0.81,0.72,0.62,0.68,0.66,0.77,0.69,0.82,0.62,0.56,0.46,0.52,0.57,0.53,0.48,0.48,0.59,0.51,0.19,0.16,0.1,0.06,0.38,0.44,0.05,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,99.99
10/22/2021,22.75,9.19,7.61,5.03,4.46,3.5,4.05,3.05,2.92,2.96,2.73,1.84,1.85,1.96,1.22,1.39,1.49,1.24,1.2,1.24,1.02,0.93,0.89,1.08,0.9,0.99,0.82,0.72,0.62,0.71,0.66,0.76,0.69,0.81,0.63,0.56,0.48,0.52,0.58,0.53,0.47,0.49,0.6,0.51,0.19,0.16,0.1,0.06,0.4,0.45,0.05,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,100.04
10/25/2021,22.44,9.04,8.12,5.11,4.47,3.42,4.05,3.02,2.92,2.97,2.69,1.83,1.86,1.95,1.26,1.39,1.48,1.24,1.22,1.23,1.01,0.94,0.89,1.1,0.89,1.0,0.79,0.75,0.62,0.71,0.65,0.77,0.68,0.82,0.63,0.56,0.46,0.52,0.57,0.51,0.47,0.48,0.61,0.51,0.19,0.15,0.1,0.06,0.39,0.44,0.05,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,100.0
10/26/2021,22.55,9.16,8.11,5.03,4.5,3.45,4.0,3.04,2.95,2.97,2.67,1.83,1.82,1.94,1.26,1.4,1.47,1.23,1.21,1.24,1.0,0.91,0.89,1.08,0.89,0.96,0.79,0.77,0.62,0.7,0.66,0.77,0.68,0.81,0.63,0.55,0.45,0.53,0.57,0.5,0.47,0.48,0.6,0.52,0.18,0.15,0.09,0.06,0.39,0.44,0.05,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,99.99
10/27/2021,22.55,9.16,8.11,5.03,4.5,3.45,4.0,3.04,2.95,2.97,2.67,1.83,1.82,1.94,1.26,1.4,1.47,1.23,1.21,1.24,1.0,0.91,0.89,1.08,0.89,0.96,0.79,0.77,0.62,0.7,0.66,0.77,0.68,0.81,0.63,0.55,0.45,0.53,0.57,0.5,0.47,0.48,0.6,0.52,0.18,0.15,0.09,0.06,0.39,0.44,0.05,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,99.99
10/28/2021,22.68,9.0,7.98,4.99,4.49,3.42,4.11,3.07,3.03,2.97,2.71,1.85,1.86,1.94,1.27,1.44,1.47,1.23,1.18,1.23,1.01,0.91,0.88,1.06,0.9,0.96,0.79,0.74,0.62,0.71,0.64,0.78,0.67,0.81,0.62,0.54,0.45,0.53,0.59,0.51,0.47,0.48,0.6,0.51,0.18,0.15,0.09,0.06,0.38,0.43,0.05,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,100.01
10/29/2021,22.8,8.95,8.07,4.98,4.42,3.47,4.02,3.14,3.06,2.99,2.75,1.84,1.85,1.94,1.26,1.47,1.48,1.2,1.17,1.22,1.0,0.9,0.84,1.05,0.88,0.95,0.79,0.74,0.62,0.7,0.64,0.77,0.68,0.81,0.62,0.54,0.45,0.51,0.58,0.51,0.46,0.48,0.6,0.51,0.18,0.14,0.09,0.06,0.38,0.43,0.05,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,100.01
11/01/2021,22.87,8.79,8.24,5.1,4.25,3.49,4.04,3.26,3.0,2.97,2.68,1.84,1.9,1.93,1.3,1.44,1.48,1.21,1.17,1.21,1.02,0.89,0.85,1.04,0.88,0.94,0.78,0.77,0.64,0.69,0.63,0.74,0.68,0.8,0.63,0.54,0.44,0.48,0.57,0.48,0.47,0.48,0.6,0.49,0.18,0.14,0.09,0.06,0.38,0.43,0.05,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,99.99
