,IXJ,NOVO B.CO,TMO,DHR,EW,ISRG,ABT,PFE,JNJ,BNTX,REGN,7741.T,VRTX,A,SGEN,WST,n/a,LH,4519.T,WAT,BIO,PKI,COO,HOLX,DGX,ERF.PA,DIM.PA,QGEN,FPH.NZ,1093.HK,BRKR,GMED,CRSP,TECN.SW,1177.HK,4528.T,EHC,BPMC,CPRX,HALO,INDV.L,IPN.PA,INVA,IRWD,QDEL,PINC,BIM.PA,7071.T,512.HK,SAGE,4553.T,867.HK,7716.T,3613.HK,VIVO,LMAT,ATRS,FLGT,PCRX,INMD,ROVI.MC,4934.T,QURE,4516.T,4974.T,4694.T,ABCL,6849.T,VITR.ST,4544.T,4549.T,ORGO,SUM
10/29/2021,8.76,5.48,4.63,4.54,4.69,4.67,4.67,4.67,4.63,4.62,3.8,3.23,3.05,3.0,2.02,1.89,4.98,1.74,1.4,1.36,1.27,1.24,1.2,1.14,1.08,0.94,0.92,0.8,0.78,0.58,0.52,0.48,0.44,0.5,0.45,0.42,0.42,0.34,0.3,0.33,0.32,0.3,0.27,0.27,0.28,0.27,0.31,0.27,0.26,0.24,0.26,0.25,0.26,0.25,0.25,0.25,0.26,0.24,0.24,0.27,0.26,0.23,0.22,0.23,0.22,0.22,0.24,0.23,0.26,0.21,0.22,0.19,100.03
11/01/2021,8.76,5.55,4.71,4.5,4.64,4.82,4.69,4.66,4.58,4.43,4.1,3.17,2.99,2.94,2.04,1.9,4.97,1.76,1.4,1.33,1.29,1.24,1.2,1.13,1.08,0.94,0.92,0.8,0.79,0.54,0.52,0.47,0.42,0.5,0.44,0.42,0.39,0.37,0.3,0.33,0.33,0.3,0.29,0.27,0.27,0.27,0.32,0.28,0.25,0.24,0.23,0.23,0.27,0.24,0.24,0.25,0.25,0.24,0.24,0.27,0.25,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.26,0.21,0.21,0.18,100.0
11/02/2021,8.75,5.58,4.77,4.57,4.74,4.86,4.7,4.69,4.55,4.32,4.17,3.11,3.01,2.95,2.01,1.93,4.93,1.75,1.38,1.35,1.3,1.23,1.19,1.13,1.08,0.91,0.9,0.82,0.78,0.54,0.52,0.47,0.41,0.5,0.43,0.41,0.39,0.37,0.3,0.33,0.32,0.3,0.29,0.27,0.27,0.27,0.31,0.26,0.25,0.23,0.22,0.23,0.26,0.24,0.25,0.23,0.26,0.24,0.23,0.29,0.26,0.21,0.22,0.23,0.22,0.21,0.22,0.22,0.27,0.21,0.2,0.18,100.0
11/03/2021,8.75,5.58,4.77,4.57,4.74,4.86,4.7,4.69,4.55,4.32,4.17,3.11,3.01,2.95,2.01,1.93,4.93,1.75,1.38,1.35,1.3,1.23,1.19,1.13,1.08,0.91,0.9,0.82,0.78,0.54,0.52,0.47,0.41,0.5,0.43,0.41,0.39,0.37,0.3,0.33,0.32,0.3,0.29,0.27,0.27,0.27,0.31,0.26,0.25,0.23,0.22,0.23,0.26,0.24,0.25,0.23,0.26,0.24,0.23,0.29,0.26,0.21,0.22,0.23,0.22,0.21,0.22,0.22,0.27,0.21,0.2,0.18,100.0
11/04/2021,8.75,5.58,4.77,4.57,4.74,4.86,4.7,4.69,4.55,4.32,4.17,3.11,3.01,2.95,2.01,1.93,4.93,1.75,1.38,1.35,1.3,1.23,1.19,1.13,1.08,0.91,0.9,0.82,0.78,0.54,0.52,0.47,0.41,0.5,0.43,0.41,0.39,0.37,0.3,0.33,0.32,0.3,0.29,0.27,0.27,0.27,0.31,0.26,0.25,0.23,0.22,0.23,0.26,0.24,0.25,0.23,0.26,0.24,0.23,0.29,0.26,0.21,0.22,0.23,0.22,0.21,0.22,0.22,0.27,0.21,0.2,0.18,100.0
11/05/2021,8.76,5.62,4.76,4.56,4.59,4.81,4.62,4.83,4.59,4.45,4.13,3.25,2.93,2.94,2.04,1.95,4.9,1.74,1.39,1.27,1.26,1.21,1.19,1.09,1.05,0.93,0.92,0.8,0.78,0.52,0.53,0.47,0.43,0.51,0.42,0.42,0.37,0.36,0.32,0.34,0.32,0.3,0.29,0.26,0.27,0.27,0.31,0.27,0.24,0.25,0.22,0.21,0.26,0.24,0.24,0.23,0.26,0.24,0.24,0.3,0.26,0.22,0.25,0.23,0.22,0.21,0.25,0.22,0.25,0.21,0.21,0.18,99.98
11/08/2021,8.76,5.72,4.77,4.49,4.57,4.79,4.62,4.73,4.54,4.51,4.19,3.21,3.04,2.92,2.1,1.94,4.86,1.73,1.38,1.26,1.25,1.19,1.19,1.1,1.05,0.91,0.92,0.8,0.79,0.52,0.52,0.47,0.43,0.51,0.41,0.41,0.38,0.36,0.32,0.34,0.33,0.3,0.29,0.26,0.28,0.28,0.31,0.27,0.24,0.26,0.21,0.22,0.26,0.25,0.24,0.23,0.27,0.25,0.25,0.29,0.26,0.22,0.26,0.23,0.22,0.21,0.25,0.22,0.26,0.21,0.21,0.19,100.03
11/09/2021,8.88,5.82,4.72,4.35,4.76,4.98,4.6,5.28,4.63,3.4,4.04,3.4,3.19,2.97,2.21,1.84,4.52,1.7,1.41,1.28,1.2,1.19,1.23,1.08,1.05,0.91,0.87,0.81,0.82,0.53,0.54,0.49,0.41,0.48,0.42,0.44,0.4,0.38,0.33,0.35,0.33,0.29,0.31,0.27,0.25,0.29,0.3,0.29,0.25,0.26,0.22,0.22,0.27,0.26,0.24,0.25,0.27,0.22,0.26,0.29,0.24,0.24,0.26,0.24,0.24,0.22,0.22,0.23,0.27,0.21,0.21,0.19,100.02
11/10/2021,8.88,5.82,4.72,4.35,4.76,4.98,4.6,5.28,4.63,3.4,4.04,3.4,3.19,2.97,2.21,1.84,4.52,1.7,1.41,1.28,1.2,1.19,1.23,1.08,1.05,0.91,0.87,0.81,0.82,0.53,0.54,0.49,0.41,0.48,0.42,0.44,0.4,0.38,0.33,0.35,0.33,0.29,0.31,0.27,0.25,0.29,0.3,0.29,0.25,0.26,0.22,0.22,0.27,0.26,0.24,0.25,0.27,0.22,0.26,0.29,0.24,0.24,0.26,0.24,0.24,0.22,0.22,0.23,0.27,0.21,0.21,0.19,100.02
11/11/2021,8.88,5.91,4.75,4.46,4.77,4.96,4.67,5.23,4.59,3.79,4.1,3.41,3.16,3.05,2.19,1.87,3.71,1.73,1.36,1.3,1.2,1.21,1.24,1.11,1.05,0.93,0.9,0.8,0.8,0.52,0.55,0.48,0.43,0.49,0.41,0.43,0.4,0.37,0.32,0.34,0.34,0.29,0.31,0.28,0.26,0.29,0.3,0.28,0.24,0.26,0.23,0.22,0.27,0.25,0.24,0.25,0.27,0.23,0.27,0.29,0.25,0.22,0.26,0.23,0.23,0.22,0.22,0.22,0.27,0.2,0.2,0.2,99.96
11/12/2021,8.93,5.93,4.75,4.47,4.83,4.99,4.69,5.16,4.62,3.57,4.09,3.4,3.17,3.05,2.16,1.89,3.74,1.72,1.34,1.31,1.21,1.23,1.26,1.12,1.06,0.94,0.9,0.79,0.82,0.54,0.55,0.47,0.42,0.49,0.42,0.43,0.4,0.38,0.32,0.34,0.34,0.29,0.32,0.27,0.25,0.29,0.31,0.29,0.25,0.25,0.23,0.23,0.27,0.27,0.24,0.25,0.27,0.23,0.27,0.3,0.25,0.22,0.26,0.23,0.23,0.21,0.21,0.21,0.27,0.2,0.21,0.19,100.01
11/15/2021,8.92,5.9,4.85,4.55,4.6,4.81,4.73,5.48,4.64,3.72,4.16,3.31,3.09,3.03,2.06,1.9,3.57,1.79,1.36,1.31,1.25,1.26,1.19,1.15,1.11,0.95,0.88,0.8,0.8,0.56,0.55,0.46,0.4,0.49,0.43,0.42,0.4,0.39,0.38,0.34,0.3,0.3,0.3,0.26,0.28,0.29,0.31,0.29,0.25,0.25,0.23,0.23,0.27,0.27,0.26,0.25,0.27,0.25,0.26,0.29,0.25,0.21,0.25,0.22,0.21,0.2,0.22,0.21,0.25,0.2,0.21,0.19,100.02
11/16/2021,8.92,5.9,4.85,4.55,4.6,4.81,4.73,5.48,4.64,3.72,4.16,3.31,3.09,3.03,2.06,1.9,3.57,1.79,1.36,1.31,1.25,1.26,1.19,1.15,1.11,0.95,0.88,0.8,0.8,0.56,0.55,0.46,0.4,0.49,0.43,0.42,0.4,0.39,0.38,0.34,0.3,0.3,0.3,0.26,0.28,0.29,0.31,0.29,0.25,0.25,0.23,0.23,0.27,0.27,0.26,0.25,0.27,0.25,0.26,0.29,0.25,0.21,0.25,0.22,0.21,0.2,0.22,0.21,0.25,0.2,0.21,0.19,100.02
11/17/2021,8.87,5.82,4.85,4.52,4.64,4.83,4.74,5.4,4.66,3.73,4.17,3.34,3.09,3.05,2.07,1.9,3.55,1.84,1.36,1.32,1.25,1.29,1.21,1.15,1.11,0.95,0.89,0.8,0.76,0.55,0.54,0.46,0.4,0.49,0.42,0.43,0.4,0.38,0.38,0.34,0.3,0.3,0.3,0.26,0.3,0.29,0.31,0.32,0.26,0.25,0.23,0.23,0.26,0.26,0.27,0.25,0.25,0.26,0.26,0.29,0.25,0.21,0.24,0.22,0.21,0.2,0.22,0.21,0.25,0.21,0.21,0.19,100.02
11/18/2021,8.81,5.87,4.82,4.44,4.66,4.81,4.77,5.38,4.61,3.92,4.27,3.37,3.08,2.99,2.11,1.91,3.56,1.76,1.38,1.28,1.24,1.28,1.2,1.15,1.09,0.95,0.9,0.79,0.8,0.55,0.54,0.44,0.39,0.49,0.42,0.43,0.39,0.38,0.38,0.33,0.3,0.3,0.29,0.26,0.3,0.28,0.31,0.35,0.26,0.24,0.22,0.22,0.25,0.25,0.27,0.25,0.25,0.27,0.25,0.29,0.25,0.21,0.23,0.22,0.21,0.21,0.24,0.21,0.24,0.21,0.21,0.18,99.97
11/19/2021,8.75,5.85,4.85,4.49,4.72,4.87,4.78,5.33,4.55,4.0,4.2,3.31,3.08,3.03,2.09,1.99,3.62,1.77,1.35,1.28,1.26,1.3,1.19,1.14,1.09,0.93,0.88,0.82,0.78,0.56,0.55,0.44,0.39,0.49,0.44,0.43,0.39,0.38,0.37,0.33,0.3,0.29,0.29,0.26,0.3,0.28,0.32,0.37,0.26,0.24,0.21,0.23,0.23,0.25,0.27,0.24,0.25,0.27,0.26,0.29,0.25,0.21,0.23,0.22,0.21,0.2,0.23,0.21,0.24,0.2,0.21,0.18,100.07
11/22/2021,8.75,5.85,4.85,4.49,4.72,4.87,4.78,5.33,4.55,4.0,4.2,3.31,3.08,3.03,2.09,1.99,3.62,1.77,1.35,1.28,1.26,1.3,1.19,1.14,1.09,0.93,0.88,0.82,0.78,0.56,0.55,0.44,0.39,0.49,0.44,0.43,0.39,0.38,0.37,0.33,0.3,0.29,0.29,0.26,0.3,0.28,0.32,0.37,0.26,0.24,0.21,0.23,0.23,0.25,0.27,0.24,0.25,0.27,0.26,0.29,0.25,0.21,0.23,0.22,0.21,0.2,0.23,0.21,0.24,0.2,0.21,0.18,100.07
11/23/2021,8.75,5.85,4.85,4.49,4.72,4.87,4.78,5.33,4.55,4.0,4.2,3.31,3.08,3.03,2.09,1.99,3.62,1.77,1.35,1.28,1.26,1.3,1.19,1.14,1.09,0.93,0.88,0.82,0.78,0.56,0.55,0.44,0.39,0.49,0.44,0.43,0.39,0.38,0.37,0.33,0.3,0.29,0.29,0.26,0.3,0.28,0.32,0.37,0.26,0.24,0.21,0.23,0.23,0.25,0.27,0.24,0.25,0.27,0.26,0.29,0.25,0.21,0.23,0.22,0.21,0.2,0.23,0.21,0.24,0.2,0.21,0.18,100.07
11/24/2021,8.68,5.81,4.78,4.6,4.61,4.68,4.61,5.43,4.53,4.47,4.24,3.52,2.97,3.07,2.09,2.0,3.6,1.73,1.34,1.28,1.26,1.3,1.15,1.16,1.09,0.96,0.92,0.81,0.77,0.54,0.54,0.41,0.37,0.51,0.43,0.42,0.37,0.35,0.37,0.3,0.32,0.29,0.28,0.24,0.31,0.27,0.34,0.34,0.26,0.23,0.21,0.22,0.23,0.24,0.28,0.23,0.24,0.27,0.25,0.27,0.25,0.19,0.22,0.22,0.2,0.2,0.22,0.21,0.25,0.2,0.2,0.17,99.92
11/25/2021,8.67,5.73,4.79,4.62,4.55,4.59,4.58,5.5,4.47,5.0,4.21,3.51,2.97,3.06,2.02,1.97,3.62,1.74,1.35,1.27,1.24,1.26,1.15,1.14,1.11,0.94,0.91,0.81,0.76,0.54,0.53,0.42,0.36,0.5,0.43,0.42,0.39,0.35,0.37,0.3,0.31,0.29,0.29,0.24,0.3,0.28,0.33,0.34,0.27,0.23,0.21,0.22,0.23,0.24,0.28,0.23,0.24,0.26,0.25,0.27,0.25,0.2,0.21,0.22,0.21,0.2,0.21,0.21,0.25,0.21,0.2,0.17,100.0
11/26/2021,8.75,5.66,4.83,4.66,4.51,4.57,4.6,5.54,4.54,4.84,4.29,3.54,3.08,2.94,2.01,1.95,3.66,1.77,1.36,1.27,1.22,1.26,1.15,1.17,1.12,0.92,0.87,0.81,0.78,0.53,0.51,0.41,0.36,0.47,0.43,0.42,0.39,0.34,0.38,0.3,0.3,0.29,0.29,0.24,0.28,0.28,0.33,0.34,0.27,0.23,0.21,0.22,0.23,0.25,0.26,0.23,0.24,0.25,0.25,0.26,0.25,0.2,0.21,0.22,0.21,0.2,0.2,0.21,0.23,0.21,0.2,0.18,99.98
11/29/2021,8.77,5.62,4.86,4.71,4.61,4.65,4.64,5.55,4.55,4.8,4.3,3.44,3.09,2.92,2.01,1.98,3.41,1.77,1.33,1.28,1.22,1.25,1.13,1.18,1.12,0.91,0.88,0.81,0.79,0.54,0.51,0.42,0.37,0.47,0.43,0.42,0.39,0.35,0.38,0.31,0.3,0.29,0.29,0.24,0.27,0.28,0.34,0.35,0.27,0.23,0.21,0.22,0.24,0.26,0.26,0.23,0.24,0.26,0.25,0.26,0.26,0.19,0.22,0.22,0.21,0.2,0.21,0.21,0.23,0.21,0.2,0.18,100.0
