,ARCC,FSK,ORCC,MAIN,HTGC,PSEC,TSLX,GSBD,GBDC,NMFC,OCSL,AINV,TCPC,NEWT,BCSF,CGBD,SLRC,BBDC,CSWC,GAIN,PFLT,PNNT,TPVG,FDUS,SAP.JO,Gladstone Capital Corp,TriplePoint Venture Growth BDC Corp,SAR.AX,GLAD,n/a,601319.SS,GVMXX,SUM
08/03/2021,16.19,10.49,8.41,5.13,5.14,4.6,4.82,4.4,4.64,4.1,3.68,2.89,2.83,2.58,2.54,2.52,2.3,1.87,1.83,1.64,1.64,1.49,0.0,1.33,0.0,0.0,1.61,0.0,1.32,0.0,0.0,0.0,99.99
08/04/2021,16.19,10.49,8.41,5.13,5.14,4.6,4.82,4.4,4.64,4.1,3.68,2.89,2.83,2.58,2.54,2.52,2.3,1.87,1.83,1.64,1.64,1.49,0.0,1.33,0.0,0.0,1.61,0.0,1.32,0.0,0.0,0.0,99.99
08/05/2021,16.0,10.57,8.39,5.1,5.15,4.57,4.8,4.41,4.62,4.1,3.71,2.91,2.87,2.6,2.55,2.52,2.31,1.93,1.82,1.66,1.65,1.49,0.0,1.34,0.0,0.0,1.6,0.0,1.34,0.0,0.0,0.0,100.01
08/06/2021,16.08,10.58,8.45,5.18,5.23,4.6,4.84,4.47,4.66,4.11,3.74,2.91,2.84,1.88,2.56,2.52,2.31,1.92,1.95,1.69,1.66,1.52,0.0,1.34,0.0,0.0,1.6,0.0,1.35,0.0,0.0,0.0,99.99
08/09/2021,16.04,10.67,8.4,5.16,5.18,4.6,4.72,4.46,4.63,4.1,3.86,2.91,2.83,2.01,2.55,2.61,2.29,1.91,1.92,1.67,1.66,1.58,0.0,1.34,0.0,0.0,0.0,0.0,1.35,1.56,0.0,0.0,100.01
08/10/2021,15.98,10.72,8.38,5.14,5.19,4.57,4.71,4.47,4.63,4.09,3.88,2.89,2.83,1.93,2.56,2.63,2.3,1.95,1.91,1.68,1.65,1.59,0.0,1.37,0.0,0.0,0.0,0.0,1.37,1.57,0.0,0.0,99.99
08/11/2021,15.98,10.72,8.38,5.14,5.19,4.57,4.71,4.47,4.63,4.09,3.88,2.89,2.83,1.93,2.56,2.63,2.3,1.95,1.91,1.68,1.65,1.59,0.0,1.37,0.0,0.0,0.0,0.0,1.37,1.57,0.0,0.0,99.99
08/13/2021,15.83,11.26,8.36,5.18,5.04,4.56,4.77,4.41,4.58,4.05,3.89,2.87,2.81,1.89,2.55,2.62,2.3,1.94,1.91,1.69,1.63,1.57,0.0,1.41,0.0,0.0,0.0,0.0,1.35,1.54,0.0,0.0,100.01
08/16/2021,15.85,11.25,8.34,5.2,5.0,4.56,4.77,4.39,4.55,4.06,3.85,2.84,2.81,1.98,2.56,2.66,2.31,1.94,1.91,1.69,1.64,1.54,0.0,1.39,0.0,0.0,0.0,0.0,1.34,1.57,0.0,0.0,100.0
08/17/2021,15.83,11.31,8.35,5.17,4.99,4.52,4.75,4.34,4.55,4.04,3.85,2.84,2.81,2.06,2.52,2.64,2.32,1.93,1.89,1.7,1.64,1.53,0.0,1.39,0.0,0.0,0.0,0.11,1.34,1.58,0.0,0.0,100.0
08/18/2021,15.83,11.31,8.35,5.17,4.99,4.52,4.75,4.34,4.55,4.04,3.85,2.84,2.81,2.06,2.52,2.64,2.32,1.93,1.89,1.7,1.64,1.53,0.0,1.39,0.0,0.0,0.0,0.11,1.34,1.58,0.0,0.0,100.0
08/19/2021,15.83,11.31,8.35,5.17,4.99,4.52,4.75,4.34,4.55,4.04,3.85,2.84,2.81,2.06,2.52,2.64,2.32,1.93,1.89,1.7,1.64,1.53,0.0,1.39,0.0,0.0,0.0,0.0,1.34,1.58,0.11,0.0,100.0
08/20/2021,15.86,11.3,8.39,5.18,5.0,4.52,4.74,4.34,4.54,4.04,3.85,2.83,2.82,2.0,2.51,2.62,2.31,1.93,1.89,1.7,1.64,1.53,0.0,1.38,0.0,0.0,0.0,0.13,1.36,1.59,0.0,0.0,100.0
08/23/2021,15.91,11.35,8.41,5.16,5.01,4.56,4.7,4.37,4.6,4.0,3.9,2.84,2.81,2.03,2.51,2.62,2.29,1.96,1.88,1.67,1.61,1.51,0.0,1.39,0.0,0.0,0.0,0.0,1.34,1.56,0.0,0.0,99.99
08/24/2021,15.81,11.35,8.41,5.21,4.98,4.53,4.68,4.35,4.56,4.04,3.9,2.88,2.84,2.04,2.55,2.64,2.3,1.95,1.9,1.66,1.62,1.51,0.0,1.4,0.0,0.0,0.0,0.0,1.35,1.56,0.0,0.0,100.02
08/25/2021,15.81,11.35,8.41,5.21,4.98,4.53,4.68,4.35,4.56,4.04,3.9,2.88,2.84,2.04,2.55,2.64,2.3,1.95,1.9,1.66,1.62,1.51,0.0,1.4,0.0,0.0,0.0,0.0,1.35,1.56,0.0,0.0,100.02
08/26/2021,15.83,11.37,8.41,5.2,4.98,4.55,4.7,4.36,4.53,4.04,3.92,2.87,2.82,2.05,2.52,2.65,2.31,1.94,1.89,1.67,1.61,1.49,0.0,1.4,0.0,0.0,0.0,0.0,1.34,1.56,0.0,0.0,100.01000000000002
08/27/2021,15.81,11.39,8.46,5.18,4.96,4.56,4.69,4.38,4.52,4.07,3.94,2.85,2.8,2.04,2.5,2.63,2.28,1.94,1.92,1.66,1.6,1.48,0.0,1.4,0.0,0.0,0.0,0.0,1.34,1.56,0.0,0.0,99.96
08/30/2021,15.82,11.4,8.39,5.13,4.97,4.5,4.7,4.37,4.56,4.07,3.92,2.88,2.83,2.08,2.51,2.65,2.28,1.93,1.91,1.68,1.61,1.51,0.0,1.41,0.0,0.0,0.0,0.0,1.34,1.58,0.0,0.0,100.03
08/31/2021,15.82,11.42,8.43,5.12,5.0,4.48,4.69,4.35,4.54,4.06,3.92,2.89,2.84,2.1,2.53,2.63,2.27,1.91,1.9,1.69,1.61,1.5,0.0,1.4,0.0,0.0,0.0,0.0,1.35,1.57,0.0,0.0,100.02
09/01/2021,15.82,11.42,8.43,5.12,5.0,4.48,4.69,4.35,4.54,4.06,3.92,2.89,2.84,2.1,2.53,2.63,2.27,1.91,1.9,1.69,1.61,1.5,0.0,1.4,0.0,0.0,0.0,0.0,1.35,1.57,0.0,0.0,100.02
09/02/2021,15.82,11.42,8.43,5.12,5.0,4.48,4.69,4.35,4.54,4.06,3.92,2.89,2.84,2.1,2.53,2.63,2.27,1.91,1.9,1.69,1.61,1.5,0.0,1.4,0.0,0.0,0.0,0.0,1.35,1.57,0.0,0.0,100.02
09/03/2021,15.84,11.41,8.45,5.12,4.98,4.45,4.68,4.38,4.55,4.05,3.97,2.85,2.85,2.1,2.52,2.61,2.27,1.91,1.91,1.7,1.61,1.5,0.0,1.4,0.0,0.0,0.0,0.0,1.35,1.55,0.0,0.0,100.01
09/06/2021,15.9,11.45,8.45,5.11,4.96,4.43,4.65,4.36,4.55,4.07,3.91,2.86,2.84,2.19,2.49,2.6,2.25,1.94,1.95,1.69,1.6,1.49,0.0,1.4,0.0,0.0,0.0,0.0,1.34,1.52,0.0,0.0,100.0
09/07/2021,15.98,11.43,8.44,5.06,4.94,4.4,4.65,4.35,4.53,4.06,3.93,2.87,2.82,2.19,2.5,2.6,2.26,1.94,1.98,1.68,1.61,1.5,1.52,1.42,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,99.99
09/08/2021,15.98,11.43,8.44,5.06,4.94,4.4,4.65,4.35,4.53,4.06,3.93,2.87,2.82,2.19,2.5,2.6,2.26,1.94,1.98,1.68,1.61,1.5,1.52,1.42,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,99.99
09/09/2021,15.98,11.43,8.44,5.06,4.94,4.4,4.65,4.35,4.53,4.06,3.93,2.87,2.82,2.19,2.5,2.6,2.26,1.94,1.98,1.68,1.61,1.5,1.52,1.42,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,99.99
09/10/2021,16.01,11.59,8.44,5.05,4.93,4.4,4.61,4.37,4.45,4.04,3.94,2.86,2.81,2.17,2.53,2.58,2.27,1.9,1.99,1.67,1.61,1.49,1.52,1.45,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,100.0
09/13/2021,16.07,11.53,8.41,5.09,4.96,4.36,4.6,4.36,4.44,4.04,3.93,2.86,2.83,2.16,2.54,2.58,2.26,1.89,2.0,1.67,1.63,1.5,1.52,1.46,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,100.02
09/14/2021,16.11,11.58,8.4,5.04,4.91,4.34,4.58,4.37,4.42,4.08,3.96,2.86,2.81,2.16,2.52,2.59,2.33,1.92,1.99,1.65,1.62,1.5,1.51,1.45,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,100.01
09/15/2021,16.11,11.58,8.4,5.04,4.91,4.34,4.58,4.37,4.42,4.08,3.96,2.86,2.81,2.16,2.52,2.59,2.33,1.92,1.99,1.65,1.62,1.5,1.51,1.45,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,100.01
09/16/2021,16.11,11.58,8.4,5.04,4.91,4.34,4.58,4.37,4.42,4.08,3.96,2.86,2.81,2.16,2.52,2.59,2.33,1.92,1.99,1.65,1.62,1.5,1.51,1.45,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,100.01
09/17/2021,16.08,11.23,8.47,5.12,4.95,4.34,4.55,4.4,4.49,4.15,3.84,2.87,2.84,2.2,2.53,2.61,2.39,1.92,1.92,1.65,1.63,1.53,1.55,1.39,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,99.98
09/20/2021,16.09,11.36,8.4,5.14,4.99,4.43,4.53,4.36,4.49,4.08,3.85,2.88,2.78,2.24,2.43,2.59,2.39,1.89,1.91,1.67,1.63,1.54,1.57,1.43,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,100.01999999999998
09/21/2021,16.18,11.48,8.54,5.2,5.08,4.51,4.51,4.39,4.56,3.94,3.89,2.8,2.76,2.04,2.36,2.54,2.36,1.85,1.93,1.62,1.6,1.47,1.52,1.39,0.0,0.0,0.0,0.0,1.34,0.14,0.0,0.0,100.0
09/22/2021,16.18,11.48,8.54,5.2,5.08,4.51,4.51,4.39,4.56,3.94,3.89,2.8,2.76,2.04,2.36,2.54,2.36,1.85,1.93,1.62,1.6,1.47,1.52,1.39,0.0,0.0,0.0,0.0,1.34,0.14,0.0,0.0,100.0
09/23/2021,16.18,11.48,8.54,5.2,5.08,4.51,4.51,4.39,4.56,3.94,3.89,2.8,2.76,2.04,2.36,2.54,2.36,1.85,1.93,1.62,1.6,1.47,1.52,1.39,0.0,0.0,0.0,0.0,1.34,0.14,0.0,0.0,100.0
09/24/2021,17.87,12.26,9.21,5.48,4.52,5.11,4.36,4.52,4.6,3.66,3.52,2.44,2.43,1.81,2.1,2.31,2.15,1.74,1.78,1.46,1.45,1.32,1.42,1.27,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.0
09/27/2021,17.94,12.27,9.12,5.52,4.55,5.12,4.39,4.49,4.61,3.66,3.5,2.43,2.42,1.84,2.08,2.31,2.09,1.75,1.78,1.46,1.44,1.33,1.43,1.25,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,99.99
09/28/2021,15.98,10.55,8.38,5.1,5.14,4.57,4.79,4.4,4.61,4.09,3.7,2.9,2.87,2.59,2.54,2.52,2.3,1.92,1.82,1.66,1.64,1.49,1.6,1.34,0.0,0.0,0.0,0.0,1.33,0.0,0.0,4.68,104.51
09/29/2021,15.98,10.55,8.38,5.1,5.14,4.57,4.79,4.4,4.61,4.09,3.7,2.9,2.87,2.59,2.54,2.52,2.3,1.92,1.82,1.66,1.64,1.49,1.6,1.34,0.0,0.0,0.0,0.0,1.33,0.0,0.0,4.68,104.51
09/30/2021,17.96,12.27,9.08,5.55,4.54,5.06,4.43,4.54,4.61,3.64,3.47,2.44,2.43,1.82,2.1,2.32,2.08,1.76,1.76,1.44,1.44,1.36,1.44,1.27,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.02
10/01/2021,18.07,12.29,9.06,5.51,4.53,5.01,4.43,4.54,4.68,3.65,3.45,2.44,2.42,1.81,2.09,2.3,2.07,1.76,1.75,1.43,1.45,1.36,1.44,1.25,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.99
10/04/2021,18.15,12.39,8.92,5.52,4.53,5.04,4.43,4.41,4.7,3.66,3.43,2.45,2.45,1.83,2.06,2.26,2.08,1.77,1.75,1.43,1.45,1.37,1.44,1.26,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.98
10/05/2021,18.28,12.23,8.89,5.5,4.5,5.05,4.45,4.4,4.69,3.68,3.47,2.45,2.49,1.86,2.04,2.26,2.09,1.77,1.77,1.44,1.45,1.36,1.45,1.25,0.0,0.0,0.0,0.0,1.21,-0.04,0.0,0.0,99.98999999999998
10/06/2021,18.28,12.23,8.89,5.5,4.5,5.05,4.45,4.4,4.69,3.68,3.47,2.45,2.49,1.86,2.04,2.26,2.09,1.77,1.77,1.44,1.45,1.36,1.45,1.25,0.0,0.0,0.0,0.0,1.21,-0.04,0.0,0.0,99.98999999999998
10/07/2021,18.28,12.23,8.89,5.5,4.5,5.05,4.45,4.4,4.69,3.68,3.47,2.45,2.49,1.86,2.04,2.26,2.09,1.77,1.77,1.44,1.45,1.36,1.45,1.25,0.0,0.0,0.0,0.0,1.21,-0.04,0.0,0.0,99.98999999999998
10/08/2021,18.03,12.09,8.74,5.43,4.43,5.02,4.41,4.35,4.63,3.57,3.39,2.42,2.46,1.83,2.01,2.2,2.07,1.72,1.77,1.41,1.44,1.33,1.43,1.23,0.0,0.0,0.0,0.0,1.19,1.4,0.0,0.0,100.0
10/11/2021,18.31,12.49,8.87,5.45,4.52,5.12,4.43,4.38,4.66,3.59,3.44,2.45,2.5,1.86,2.02,2.22,2.08,1.74,1.77,1.44,1.46,1.34,1.42,1.23,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.99
10/12/2021,18.33,12.39,8.9,5.45,4.59,5.13,4.41,4.39,4.66,3.59,3.45,2.46,2.5,1.84,2.02,2.22,2.08,1.74,1.78,1.43,1.47,1.35,1.43,1.22,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,100.02
10/13/2021,18.33,12.39,8.9,5.45,4.59,5.13,4.41,4.39,4.66,3.59,3.45,2.46,2.5,1.84,2.02,2.22,2.08,1.74,1.78,1.43,1.47,1.35,1.43,1.22,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,100.02
10/14/2021,18.33,12.39,8.9,5.45,4.59,5.13,4.41,4.39,4.66,3.59,3.45,2.46,2.5,1.84,2.02,2.22,2.08,1.74,1.78,1.43,1.47,1.35,1.43,1.22,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,100.02
10/15/2021,18.16,12.45,8.86,5.45,4.59,5.17,4.43,4.42,4.64,3.61,3.45,2.46,2.49,1.83,2.04,2.24,2.07,1.74,1.82,1.43,1.48,1.35,1.41,1.22,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,100.0
10/18/2021,18.16,12.46,8.87,5.5,4.56,5.14,4.49,4.41,4.62,3.64,3.44,2.45,2.48,1.84,2.02,2.24,2.07,1.72,1.83,1.46,1.46,1.34,1.43,1.22,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,100.02
10/19/2021,18.2,12.29,8.86,5.52,4.59,5.16,4.49,4.41,4.61,3.63,3.49,2.44,2.47,1.81,2.0,2.26,2.08,1.73,1.84,1.47,1.45,1.36,1.47,1.21,0.0,0.0,0.0,0.0,1.18,-0.02,0.0,0.0,100.0
10/20/2021,18.2,12.29,8.86,5.52,4.59,5.16,4.49,4.41,4.61,3.63,3.49,2.44,2.47,1.81,2.0,2.26,2.08,1.73,1.84,1.47,1.45,1.36,1.47,1.21,0.0,0.0,0.0,0.0,1.18,-0.02,0.0,0.0,100.0
10/21/2021,18.14,12.3,8.82,5.56,4.57,5.19,4.51,4.4,4.61,3.62,3.47,2.43,2.46,1.85,1.99,2.25,2.09,1.71,1.83,1.49,1.45,1.37,1.49,1.22,0.0,0.0,0.0,0.0,1.2,-0.01,0.0,0.0,100.01
10/22/2021,18.14,12.3,8.82,5.56,4.57,5.19,4.51,4.4,4.61,3.62,3.47,2.43,2.46,1.85,1.99,2.25,2.09,1.71,1.83,1.49,1.45,1.37,1.49,1.22,0.0,0.0,0.0,0.0,1.2,-0.01,0.0,0.0,100.01
10/25/2021,18.09,12.2,8.81,5.57,4.56,5.21,4.54,4.4,4.55,3.66,3.48,2.43,2.47,1.88,2.03,2.29,2.09,1.7,1.86,1.5,1.45,1.36,1.49,1.22,0.0,0.0,0.0,0.0,1.2,-0.01,0.0,0.0,100.03
10/26/2021,18.13,12.11,8.8,5.6,4.55,5.22,4.53,4.4,4.55,3.67,3.49,2.43,2.48,1.93,2.04,2.28,2.08,1.69,1.85,1.5,1.44,1.35,1.49,1.21,0.0,0.0,0.0,0.0,1.19,-0.02,0.0,0.0,99.99
10/27/2021,18.13,12.11,8.8,5.6,4.55,5.22,4.53,4.4,4.55,3.67,3.49,2.43,2.48,1.93,2.04,2.28,2.08,1.69,1.85,1.5,1.44,1.35,1.49,1.21,0.0,0.0,0.0,0.0,1.19,-0.02,0.0,0.0,99.99
10/28/2021,18.13,12.11,8.8,5.6,4.55,5.22,4.53,4.4,4.55,3.67,3.49,2.43,2.48,1.93,2.04,2.28,2.08,1.69,1.85,1.5,1.44,1.35,1.49,1.21,0.0,0.0,0.0,0.0,1.19,-0.02,0.0,0.0,99.99
10/29/2021,18.22,11.97,8.81,5.62,4.57,5.25,4.52,4.38,4.55,3.66,3.47,2.42,2.46,1.9,2.05,2.28,2.07,1.68,1.87,1.52,1.45,1.38,1.51,1.21,0.0,0.0,0.0,0.0,1.18,-0.02,0.0,0.0,99.98
11/01/2021,18.33,11.88,8.81,5.65,4.59,5.21,4.52,4.38,4.52,3.66,3.46,2.42,2.46,1.9,2.05,2.27,2.06,1.68,1.85,1.53,1.45,1.38,1.54,1.21,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,99.99
11/02/2021,18.37,11.7,8.75,5.62,4.62,5.11,4.56,4.37,4.54,3.7,3.45,2.43,2.48,1.92,2.07,2.28,2.07,1.73,1.87,1.57,1.47,1.36,1.55,1.21,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.01
11/03/2021,18.37,11.7,8.75,5.62,4.62,5.11,4.56,4.37,4.54,3.7,3.45,2.43,2.48,1.92,2.07,2.28,2.07,1.73,1.87,1.57,1.47,1.36,1.55,1.21,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.01
11/04/2021,18.37,11.7,8.75,5.62,4.62,5.11,4.56,4.37,4.54,3.7,3.45,2.43,2.48,1.92,2.07,2.28,2.07,1.73,1.87,1.57,1.47,1.36,1.55,1.21,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.01
11/05/2021,18.48,11.53,8.87,5.59,4.73,5.13,4.56,4.38,4.52,3.7,3.49,2.41,2.47,1.93,2.08,2.28,2.04,1.73,1.71,1.58,1.46,1.36,1.54,1.21,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,99.97
11/08/2021,18.05,11.54,8.89,5.67,4.71,5.19,4.56,4.33,4.5,3.66,3.51,2.42,2.48,1.99,2.12,2.3,2.03,1.76,1.79,1.6,1.49,1.41,1.57,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.99
11/09/2021,17.94,11.53,8.88,5.82,4.66,5.2,4.6,4.31,4.46,3.67,3.49,2.42,2.47,2.02,2.12,2.29,2.02,1.75,1.82,1.62,1.48,1.41,1.6,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,100.0
11/10/2021,17.94,11.53,8.88,5.82,4.66,5.2,4.6,4.31,4.46,3.67,3.49,2.42,2.47,2.02,2.12,2.29,2.02,1.75,1.82,1.62,1.48,1.41,1.6,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,100.0
11/11/2021,17.94,11.53,8.88,5.82,4.66,5.2,4.6,4.31,4.46,3.67,3.49,2.42,2.47,2.02,2.12,2.29,2.02,1.75,1.82,1.62,1.48,1.41,1.6,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,100.0
11/12/2021,17.91,11.44,8.87,5.83,4.62,5.42,4.68,4.35,4.41,3.65,3.49,2.37,2.45,2.04,2.1,2.26,2.05,1.74,1.78,1.62,1.48,1.39,1.62,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.99
11/15/2021,17.91,11.44,8.87,5.83,4.62,5.42,4.68,4.35,4.41,3.65,3.49,2.37,2.45,2.04,2.1,2.26,2.05,1.74,1.78,1.62,1.48,1.39,1.62,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.99
11/16/2021,17.91,11.44,8.87,5.83,4.62,5.42,4.68,4.35,4.41,3.65,3.49,2.37,2.45,2.04,2.1,2.26,2.05,1.74,1.78,1.62,1.48,1.39,1.62,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.99
11/17/2021,17.91,11.44,8.87,5.83,4.62,5.42,4.68,4.35,4.41,3.65,3.49,2.37,2.45,2.04,2.1,2.26,2.05,1.74,1.78,1.62,1.48,1.39,1.62,1.22,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.99
11/18/2021,17.9,11.64,8.79,5.87,4.48,5.53,4.67,4.37,4.42,3.64,3.47,2.38,2.42,1.91,2.09,2.25,2.01,1.75,1.81,1.64,1.49,1.39,1.63,1.23,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,99.98
11/19/2021,17.9,11.54,8.81,5.88,4.48,5.55,4.7,4.37,4.42,3.64,3.49,2.37,2.38,1.93,2.07,2.25,2.02,1.75,1.84,1.65,1.51,1.39,1.64,1.23,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.02
11/22/2021,17.9,11.54,8.81,5.88,4.48,5.55,4.7,4.37,4.42,3.64,3.49,2.37,2.38,1.93,2.07,2.25,2.02,1.75,1.84,1.65,1.51,1.39,1.64,1.23,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.02
11/23/2021,17.9,11.54,8.81,5.88,4.48,5.55,4.7,4.37,4.42,3.64,3.49,2.37,2.38,1.93,2.07,2.25,2.02,1.75,1.84,1.65,1.51,1.39,1.64,1.23,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,100.02
