,4SPX  210831C02099960,4SPX  210831P04199930,4SPX  210831P03499940,4XSP  210831C00209990,4XSP  210831C00419990,4XSP  210831P00209990,4XSP  210831P00297490,4XSP  210831P00349990,4XSP  210831P00419990,Cash&Other,4XSP  210831C00391120,4SPX  210831P02099960,4SPX  210831P02974950,4SPX  210831C04199930,4SPX  210831C03911180,2SPY  220831C00003610,2SPY  220831P00451560,2SPY  220831C00489940,2SPY  220831P00383830,SUM
08/17/2021,120.63,0.22,0.03,0.25,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.03,0.0,0.0,-6.91,-14.16,0.0,0.0,0.0,0.0,100.01
08/18/2021,120.63,0.22,0.03,0.25,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.03,0.0,0.0,-6.91,-14.16,0.0,0.0,0.0,0.0,100.01
08/19/2021,121.33,0.2,0.01,0.25,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.03,0.0,0.0,-7.25,-14.48,0.0,0.0,0.0,0.0,100.00999999999998
08/20/2021,119.49,0.26,0.02,0.25,-0.01,0.0,0.0,0.0,0.0,-0.01,-0.03,0.0,0.0,-6.38,-13.58,0.0,0.0,0.0,0.0,100.01
08/23/2021,117.83,0.37,0.03,0.24,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.03,0.0,-0.01,-5.65,-12.76,0.0,0.0,0.0,0.0,99.98999999999998
08/24/2021,119.31,0.13,0.01,0.25,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.03,0.0,0.0,-6.18,-13.45,0.0,0.0,0.0,0.0,100.01
08/25/2021,119.31,0.13,0.01,0.25,-0.01,0.0,0.0,0.0,0.0,-0.02,-0.03,0.0,0.0,-6.18,-13.45,0.0,0.0,0.0,0.0,100.01
08/26/2021,121.38,0.04,0.0,0.28,-0.02,0.0,0.0,0.0,0.0,0.0,-0.03,-0.01,0.0,-7.16,-14.49,0.0,0.0,0.0,0.0,99.99
08/27/2021,121.67,0.04,0.0,0.28,-0.02,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,-7.3,-14.64,0.0,0.0,0.0,0.0,100.0
08/30/2021,120.91,0.04,0.0,0.28,-0.02,0.0,0.0,0.0,0.0,-0.04,-0.03,-0.01,0.0,-6.91,-14.25,0.0,0.0,0.0,0.0,99.97
08/31/2021,122.71,0.02,0.01,0.42,-0.03,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,-7.87,-15.22,0.0,0.0,0.0,0.0,99.99
09/01/2021,122.71,0.02,0.01,0.42,-0.03,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,-7.87,-15.22,0.0,0.0,0.0,0.0,99.99
09/02/2021,123.46,0.01,0.01,0.67,-0.05,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,0.0,-8.34,-15.68,0.0,0.0,0.0,0.0,99.98999999999998
09/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,97.76,7.66,-2.62,-3.66,99.98
09/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,97.94,7.54,-2.68,-3.6,99.99
09/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,97.94,7.5,-2.66,-3.58,100.0
