,NVDA,MSFT,RBLX,700.HK,U,ADSK,TSM,QCOM,AMZN,SE,FSLY,GOOG,AAPL,UMC,AKAM,FB,IMMR,SNAP,6758.T,BABA,NET,INTC,COIN,TTWO,ADBE,SWKS,STM.PA,AMD,AVGO,TXN,LUMN,SNOW,EQIX,EA,MU,005930.KS,ATVI,PTC,AMT,7974.T,ANET,VUZI,DIS,ERIC B.ST,BSY,BILI,DSPG,n/a,SQ,PYPL,HUYA,2268.HK,FGXXX,MTTR,HEXA B.ST,LLNW,SUM
09/15/2021,8.9,4.74,4.86,4.9,4.39,3.32,3.89,3.29,3.51,3.03,2.85,2.76,2.7,2.98,2.38,2.46,2.06,1.98,2.21,2.02,1.98,1.89,1.72,1.56,1.58,1.52,1.49,1.34,1.33,1.27,1.24,1.33,1.04,0.94,0.92,0.93,0.81,0.81,0.8,0.82,0.71,0.71,0.72,0.67,0.7,0.7,0.69,-0.02,0.18,0.12,0.03,0.0,0.26,0.0,0.0,0.0,100.02000000000002
09/16/2021,8.9,4.74,4.86,4.9,4.39,3.32,3.89,3.29,3.51,3.03,2.85,2.76,2.7,2.98,2.38,2.46,2.06,1.98,2.21,2.02,1.98,1.89,1.72,1.56,1.58,1.52,1.49,1.34,1.33,1.27,1.24,1.33,1.04,0.94,0.92,0.93,0.81,0.81,0.8,0.82,0.71,0.71,0.72,0.67,0.7,0.7,0.69,-0.02,0.18,0.12,0.03,0.0,0.26,0.0,0.0,0.0,100.02000000000002
09/17/2021,8.82,4.78,4.7,4.79,4.28,3.3,3.93,3.33,3.52,3.02,2.86,2.8,2.73,2.98,2.38,2.46,2.07,1.9,2.18,2.0,1.94,1.94,1.69,1.56,1.55,1.56,1.49,1.34,1.34,1.29,1.31,1.33,1.04,0.94,0.94,0.94,0.81,0.79,0.81,0.8,0.73,0.71,0.72,0.68,0.7,0.68,0.7,-0.02,0.18,0.12,0.03,0.0,0.55,0.0,0.0,0.0,100.02000000000002
09/20/2021,8.9,4.91,4.57,4.55,4.32,3.37,3.87,3.21,3.54,3.16,2.84,2.84,2.72,2.93,2.39,2.44,2.04,1.97,2.18,1.91,2.01,1.94,1.72,1.56,1.59,1.52,1.55,1.35,1.37,1.32,1.33,1.36,1.05,0.89,0.93,0.96,0.8,0.81,0.81,0.79,0.73,0.7,0.72,0.66,0.72,0.64,0.7,0.0,0.18,0.12,0.03,0.0,0.46,0.0,0.0,0.0,99.98000000000002
09/21/2021,8.86,4.92,4.53,4.52,4.39,3.41,3.84,3.21,3.55,3.21,2.88,2.82,2.72,2.95,2.4,2.43,2.02,1.93,2.19,1.89,2.08,1.93,1.69,1.55,1.6,1.54,1.56,1.36,1.36,1.31,1.33,1.35,1.06,0.88,0.94,0.94,0.81,0.81,0.81,0.77,0.74,0.71,0.72,0.66,0.7,0.61,0.7,0.0,0.19,0.12,0.03,0.0,0.46,0.0,0.0,0.0,99.99
09/22/2021,8.86,4.92,4.53,4.52,4.39,3.41,3.84,3.21,3.55,3.21,2.88,2.82,2.72,2.95,2.4,2.43,2.02,1.93,2.19,1.89,2.08,1.93,1.69,1.55,1.6,1.54,1.56,1.36,1.36,1.31,1.33,1.35,1.06,0.88,0.94,0.94,0.81,0.81,0.81,0.77,0.74,0.71,0.72,0.66,0.7,0.61,0.7,0.0,0.19,0.12,0.03,0.0,0.46,0.0,0.0,0.0,99.99
09/23/2021,8.86,4.92,4.53,4.52,4.39,3.41,3.84,3.21,3.55,3.21,2.88,2.82,2.72,2.95,2.4,2.43,2.02,1.93,2.19,1.89,2.08,1.93,1.69,1.55,1.6,1.54,1.56,1.36,1.36,1.31,1.33,1.35,1.06,0.88,0.94,0.94,0.81,0.81,0.81,0.77,0.74,0.71,0.72,0.66,0.7,0.61,0.7,0.0,0.19,0.12,0.03,0.0,0.46,0.0,0.0,0.0,99.99
09/29/2021,7.95,6.83,7.21,3.81,4.99,4.27,3.63,2.85,4.08,3.99,2.24,1.85,3.46,0.0,0.92,6.71,3.42,5.06,2.31,1.21,0.98,2.91,1.31,1.83,1.37,0.89,0.0,1.49,0.0,0.0,0.96,0.0,0.46,1.32,0.0,1.42,0.49,0.71,0.0,0.44,0.0,0.0,1.17,0.0,0.66,0.45,0.0,-0.1,0.18,0.17,0.0,0.0,0.83,2.13,0.67,0.46,99.99000000000002
09/30/2021,7.95,6.83,7.21,3.81,4.99,4.27,3.63,2.85,4.08,3.99,2.24,1.85,3.46,0.0,0.92,6.71,3.42,5.06,2.31,1.21,0.98,2.91,1.31,1.83,1.37,0.89,0.0,1.49,0.0,0.0,0.96,0.0,0.46,1.32,0.0,1.42,0.49,0.71,0.0,0.44,0.0,0.0,1.17,0.0,0.66,0.45,0.0,-0.1,0.18,0.17,0.0,0.0,0.83,2.13,0.67,0.46,99.99000000000002
10/01/2021,7.83,6.79,7.0,4.08,4.67,4.38,3.69,2.9,4.15,3.9,2.24,1.86,3.51,0.0,0.93,6.8,3.59,4.76,2.57,1.33,0.89,3.04,1.37,1.94,1.34,0.91,0.0,1.5,0.0,0.0,1.02,0.0,0.47,1.42,0.0,1.46,0.53,0.73,0.0,0.5,0.0,0.0,1.21,0.0,0.66,0.45,0.0,0.0,0.18,0.17,0.0,0.0,0.12,1.98,0.66,0.47,100.0
10/04/2021,7.83,6.87,7.0,4.08,4.67,4.42,3.72,2.92,4.17,3.88,2.23,1.85,3.56,0.0,0.94,6.85,3.5,4.63,2.49,1.3,0.9,3.04,1.35,2.0,1.35,0.91,0.0,1.49,0.0,0.0,1.04,0.0,0.47,1.48,0.0,1.44,0.54,0.74,0.0,0.5,0.0,0.0,1.21,0.0,0.66,0.44,0.0,0.0,0.17,0.17,0.0,0.0,0.12,1.94,0.66,0.48,100.01
10/05/2021,7.9,6.81,6.93,4.04,4.68,4.37,3.72,2.91,4.14,3.96,2.29,1.83,3.53,0.0,0.93,6.84,3.51,4.76,2.48,1.3,0.9,3.02,1.36,2.03,1.34,0.9,0.0,1.53,0.0,0.0,0.98,0.0,0.47,1.52,0.0,1.42,0.54,0.73,0.0,0.51,0.0,0.0,1.19,0.0,0.66,0.45,0.0,0.0,0.18,0.17,0.0,0.0,0.12,1.92,0.67,0.47,100.01
10/07/2021,7.67,6.97,7.27,4.1,4.52,4.26,3.7,2.91,4.09,4.02,2.13,1.87,3.53,0.0,0.93,6.69,3.58,4.68,2.46,1.25,0.94,3.09,1.4,2.11,1.33,0.89,0.0,1.52,0.0,0.0,1.04,0.0,0.47,1.56,0.0,1.45,0.55,0.73,0.0,0.47,0.0,0.0,1.24,0.0,0.66,0.43,0.0,-0.04,0.17,0.17,0.0,0.0,0.21,1.86,0.66,0.47,100.01
10/08/2021,7.67,6.97,7.27,4.1,4.52,4.26,3.7,2.91,4.09,4.02,2.13,1.87,3.53,0.0,0.93,6.69,3.58,4.68,2.46,1.25,0.94,3.09,1.4,2.11,1.33,0.89,0.0,1.52,0.0,0.0,1.04,0.0,0.47,1.56,0.0,1.45,0.55,0.73,0.0,0.47,0.0,0.0,1.24,0.0,0.66,0.43,0.0,-0.04,0.17,0.17,0.0,0.0,0.21,1.86,0.66,0.47,100.00999999999999
