,ROG.SW,NOVN.SW,ULVR.L,SIE.DE,SAN.PA,BHP.AX,ALV.DE,GSK.L,RIO.L,BATS.L,ENEL.MI,IBE.MC,7974.T,ZURN.SW,9433.T,WES.AX,BN.PA,NG.L,9434.T,RIO.AX,8001.T,9432.T,AD.AS,HOLN.SW,O39.SI,FMG.AX,8766.T,5108.T,TSCO.L,BA.L,U11.SI,2914.T,G.MI,UPM.HE,IMB.L,16.HK,Cash & Cash Equivalents,1925.T,2.HK,2503.T,III.L,SLHN.SW,11.HK,SCMN.SW,1113.HK,3407.T,8725.T,PSN.L,NN.AS,1928.T,2388.HK,8630.T,FORTUM.HE,SRG.MI,STJ.L,ASX.AX,ADEN.SW,TRN.MI,1997.HK,YAR.OL,TRYG.CO,MRW.L,ELISA.HE,SVT.L,6.HK,EN.PA,ADM.L,MNG.L,REE.MC,ELE.MC,HL.L,ORK.OL,BALN.SW,TEL2 B.ST,8795.T,LUNE.ST,EVK.DE,12.HK,S68.SI,CPU.AX,MPL.AX,ELUX B.ST,SPK.NZ,1801.T,G1A.DE,SDR.L,EVN.AX,1812.T,MFG.AX,ENG.MC,DLG.L,AZJ.AX,1802.T,83.HK,SECU B.ST,6823.HK,101.HK,ICA.ST,4042.T,ORNBV.HE,S63.SI,GJF.OL,7186.T,V03.SI,1038.HK,4732.T,4182.T,HOT.DE,MFSU1,IBE/D.MC,IBEDE.,1902025,n/a,VGU1,CFU1,Z U1,CFV1,Z Z1,VGZ1,MFSZ1,ELUXB.ST,ELUXILB.ST,SPK.AX,CFX1,ELUXB,SUM
07/30/2021,5.6,5.15,4.65,4.38,4.25,4.23,3.73,3.56,3.43,3.05,2.79,2.55,2.23,2.2,1.86,1.9,1.6,1.64,1.4,1.32,1.3,1.21,1.15,1.11,1.08,1.17,1.12,0.92,0.91,0.89,0.82,0.87,0.8,0.8,0.74,0.69,0.71,0.65,0.62,0.58,0.63,0.6,0.54,0.57,0.51,0.5,0.52,0.46,0.5,0.46,0.44,0.49,0.45,0.44,0.41,0.4,0.38,0.41,0.34,0.35,0.33,0.32,0.34,0.33,0.32,0.32,0.33,0.3,0.31,0.29,0.29,0.26,0.27,0.27,0.25,0.24,0.26,0.24,0.26,0.24,0.25,0.22,0.23,0.24,0.24,0.23,0.2,0.22,0.19,0.21,0.21,0.2,0.19,0.18,0.19,0.18,0.18,0.18,0.17,0.16,0.17,0.17,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,5.66,5.17,4.71,4.37,4.2,4.2,3.74,3.57,3.56,3.0,2.8,2.57,2.13,2.21,1.83,1.86,1.7,1.63,1.36,1.33,1.29,1.2,1.16,1.12,1.11,1.19,1.1,0.9,0.9,0.92,0.83,0.86,0.8,0.8,0.74,0.69,0.72,0.64,0.61,0.56,0.63,0.61,0.53,0.57,0.5,0.5,0.51,0.47,0.5,0.44,0.43,0.49,0.46,0.44,0.44,0.4,0.35,0.41,0.34,0.34,0.32,0.32,0.33,0.34,0.32,0.32,0.33,0.3,0.32,0.29,0.3,0.25,0.27,0.27,0.25,0.23,0.27,0.24,0.26,0.23,0.25,0.22,0.23,0.24,0.25,0.23,0.2,0.22,0.19,0.21,0.2,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.16,0.17,0.17,0.14,0.15,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/03/2021,5.75,5.23,4.77,4.34,4.25,4.22,3.74,3.61,3.47,2.96,2.73,2.6,2.06,2.22,1.79,1.86,1.74,1.63,1.36,1.32,1.28,1.2,1.18,1.12,1.11,1.13,1.09,0.92,0.9,0.93,0.84,0.86,0.81,0.8,0.74,0.68,0.72,0.63,0.62,0.55,0.63,0.61,0.53,0.57,0.5,0.49,0.51,0.46,0.5,0.44,0.43,0.49,0.45,0.45,0.43,0.39,0.34,0.41,0.34,0.34,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.3,0.32,0.28,0.3,0.25,0.27,0.27,0.25,0.23,0.27,0.24,0.26,0.23,0.25,0.22,0.23,0.23,0.25,0.23,0.2,0.22,0.18,0.21,0.21,0.19,0.19,0.18,0.21,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/04/2021,5.75,5.23,4.77,4.34,4.25,4.22,3.74,3.61,3.47,2.96,2.73,2.6,2.06,2.22,1.79,1.86,1.74,1.63,1.36,1.32,1.28,1.2,1.18,1.12,1.11,1.13,1.09,0.92,0.9,0.93,0.84,0.86,0.81,0.8,0.74,0.68,0.72,0.63,0.62,0.55,0.63,0.61,0.53,0.57,0.5,0.49,0.51,0.46,0.5,0.44,0.43,0.49,0.45,0.45,0.43,0.39,0.34,0.41,0.34,0.34,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.3,0.32,0.28,0.3,0.25,0.27,0.27,0.25,0.23,0.27,0.24,0.26,0.23,0.25,0.22,0.23,0.23,0.25,0.23,0.2,0.22,0.18,0.21,0.21,0.19,0.19,0.18,0.21,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/05/2021,5.75,5.23,4.77,4.34,4.25,4.22,3.74,3.61,3.47,2.96,2.73,2.6,2.06,2.22,1.79,1.86,1.74,1.63,1.36,1.32,1.28,1.2,1.18,1.12,1.11,1.13,1.09,0.92,0.9,0.93,0.84,0.86,0.81,0.8,0.74,0.68,0.72,0.63,0.62,0.55,0.63,0.61,0.53,0.57,0.5,0.49,0.51,0.46,0.5,0.44,0.43,0.49,0.45,0.45,0.43,0.39,0.34,0.41,0.34,0.34,0.33,0.33,0.33,0.34,0.32,0.32,0.33,0.3,0.32,0.28,0.3,0.25,0.27,0.27,0.25,0.23,0.27,0.24,0.26,0.23,0.25,0.22,0.23,0.23,0.25,0.23,0.2,0.22,0.18,0.21,0.21,0.19,0.19,0.18,0.21,0.19,0.19,0.19,0.17,0.17,0.17,0.17,0.14,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
08/06/2021,5.78,5.19,4.75,4.43,4.21,4.18,3.41,3.63,3.55,2.97,2.69,2.61,2.04,2.23,1.81,1.89,1.78,1.63,1.38,1.31,1.33,1.21,1.19,1.12,1.1,1.08,1.12,0.92,0.91,0.92,0.82,0.89,0.8,0.79,0.75,0.68,0.72,0.65,0.6,0.56,0.62,0.61,0.53,0.58,0.5,0.51,0.52,0.46,0.5,0.45,0.44,0.5,0.46,0.45,0.43,0.4,0.34,0.4,0.32,0.34,0.33,0.33,0.34,0.34,0.32,0.33,0.33,0.31,0.32,0.29,0.29,0.25,0.27,0.27,0.25,0.23,0.27,0.24,0.26,0.23,0.25,0.22,0.23,0.24,0.25,0.23,0.19,0.23,0.19,0.21,0.22,0.19,0.2,0.19,0.2,0.19,0.2,0.19,0.18,0.17,0.17,0.17,0.15,0.15,0.14,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/12/2021,5.87,5.21,4.73,4.54,4.22,4.08,3.53,3.68,3.45,2.93,2.72,2.58,1.93,2.31,1.8,1.92,1.75,1.67,1.41,1.27,1.33,1.2,1.19,1.1,1.12,1.03,1.12,0.92,0.9,0.92,0.85,0.86,0.81,0.79,0.75,0.68,0.0,0.64,0.6,0.55,0.64,0.62,0.53,0.57,0.49,0.5,0.52,0.46,0.52,0.44,0.44,0.51,0.47,0.44,0.44,0.42,0.33,0.42,0.3,0.33,0.33,0.34,0.34,0.34,0.32,0.33,0.33,0.31,0.32,0.29,0.26,0.25,0.28,0.27,0.26,0.22,0.26,0.24,0.24,0.24,0.25,0.21,0.23,0.22,0.26,0.24,0.19,0.23,0.19,0.21,0.22,0.21,0.19,0.19,0.2,0.19,0.2,0.18,0.18,0.16,0.17,0.17,0.15,0.15,0.15,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,5.9,5.21,4.71,4.55,4.19,4.09,3.55,3.67,3.5,2.92,2.71,2.57,1.87,2.31,1.81,1.94,1.76,1.68,1.4,1.26,1.32,1.22,1.19,1.1,1.13,1.02,1.13,0.93,0.91,0.92,0.86,0.85,0.81,0.79,0.75,0.67,0.0,0.62,0.59,0.55,0.65,0.63,0.53,0.57,0.48,0.49,0.52,0.46,0.52,0.44,0.44,0.5,0.47,0.45,0.44,0.41,0.33,0.42,0.31,0.33,0.33,0.34,0.34,0.34,0.32,0.33,0.34,0.3,0.32,0.28,0.27,0.25,0.28,0.28,0.26,0.23,0.26,0.24,0.24,0.24,0.26,0.21,0.23,0.22,0.26,0.24,0.19,0.22,0.19,0.21,0.22,0.2,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.16,0.17,0.17,0.15,0.16,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/16/2021,5.86,5.2,4.68,4.61,4.19,4.14,3.52,3.7,3.16,2.91,2.7,2.54,1.9,2.39,1.79,1.94,1.76,1.66,1.39,1.18,1.33,1.21,1.25,1.11,1.1,1.01,1.14,0.98,0.92,0.92,0.85,0.85,0.82,0.8,0.75,0.67,0.0,0.64,0.59,0.54,0.64,0.62,0.53,0.56,0.48,0.5,0.53,0.46,0.53,0.45,0.43,0.51,0.46,0.45,0.44,0.41,0.33,0.42,0.31,0.33,0.33,0.34,0.34,0.34,0.32,0.33,0.35,0.29,0.32,0.28,0.27,0.25,0.28,0.28,0.26,0.23,0.26,0.24,0.24,0.24,0.26,0.22,0.23,0.23,0.25,0.24,0.18,0.23,0.19,0.21,0.21,0.2,0.2,0.18,0.2,0.19,0.19,0.19,0.18,0.16,0.17,0.17,0.15,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.08
08/19/2021,5.95,5.26,4.69,4.61,4.24,4.06,3.52,3.77,3.11,2.92,2.71,2.56,1.91,2.41,1.79,1.96,1.8,1.67,1.4,1.17,1.32,1.23,1.24,1.1,1.06,0.98,1.12,0.97,0.92,0.93,0.83,0.86,0.82,0.8,0.75,0.67,0.0,0.63,0.59,0.53,0.64,0.63,0.52,0.56,0.48,0.49,0.52,0.46,0.52,0.44,0.43,0.5,0.46,0.45,0.44,0.41,0.32,0.42,0.3,0.33,0.33,0.34,0.34,0.35,0.32,0.34,0.35,0.29,0.32,0.28,0.27,0.25,0.28,0.28,0.25,0.22,0.26,0.24,0.24,0.24,0.26,0.21,0.23,0.23,0.25,0.23,0.18,0.22,0.19,0.21,0.21,0.2,0.19,0.18,0.19,0.19,0.2,0.18,0.18,0.16,0.17,0.17,0.15,0.15,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,5.99,5.33,4.71,4.64,4.3,3.99,3.48,3.81,3.07,2.94,2.68,2.58,1.92,2.41,1.8,1.95,1.8,1.67,1.39,1.14,1.33,1.22,1.26,1.09,1.05,0.96,1.11,0.97,0.93,0.93,0.82,0.86,0.81,0.79,0.75,0.67,0.0,0.63,0.59,0.53,0.64,0.62,0.52,0.57,0.48,0.48,0.53,0.45,0.52,0.44,0.43,0.51,0.47,0.45,0.44,0.41,0.32,0.42,0.3,0.33,0.33,0.34,0.34,0.35,0.32,0.34,0.35,0.29,0.32,0.28,0.26,0.25,0.28,0.28,0.25,0.22,0.26,0.24,0.23,0.23,0.26,0.21,0.23,0.23,0.25,0.23,0.18,0.22,0.17,0.21,0.21,0.2,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.16,0.17,0.17,0.15,0.15,0.14,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/23/2021,6.1,5.31,4.7,4.57,4.4,3.48,3.51,3.84,2.94,2.93,2.77,2.71,1.92,2.44,1.82,1.97,1.79,1.72,1.41,1.05,1.32,1.23,1.3,1.08,1.06,0.9,1.14,0.97,0.94,0.92,0.82,0.87,0.82,0.79,0.72,0.69,0.0,0.64,0.6,0.56,0.64,0.62,0.52,0.57,0.49,0.49,0.53,0.45,0.52,0.44,0.43,0.52,0.48,0.46,0.43,0.42,0.32,0.44,0.3,0.32,0.33,0.34,0.34,0.34,0.32,0.35,0.36,0.28,0.33,0.29,0.27,0.25,0.28,0.28,0.25,0.21,0.26,0.24,0.24,0.23,0.26,0.21,0.23,0.23,0.26,0.23,0.18,0.23,0.16,0.21,0.21,0.2,0.2,0.18,0.19,0.18,0.19,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,6.03,5.34,4.69,4.59,4.36,3.46,3.52,3.8,2.96,2.97,2.73,2.71,1.94,2.46,1.85,1.96,1.78,1.75,1.41,1.05,1.3,1.25,1.31,1.09,1.05,0.87,1.13,0.97,0.97,0.92,0.83,0.87,0.82,0.79,0.74,0.69,0.0,0.64,0.61,0.55,0.64,0.63,0.52,0.58,0.48,0.48,0.54,0.44,0.52,0.44,0.43,0.53,0.49,0.46,0.43,0.44,0.32,0.44,0.3,0.33,0.34,0.35,0.34,0.34,0.33,0.35,0.36,0.28,0.33,0.29,0.27,0.25,0.28,0.28,0.24,0.22,0.26,0.24,0.23,0.23,0.26,0.21,0.23,0.22,0.26,0.23,0.18,0.22,0.16,0.21,0.21,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.18,0.16,0.16,0.17,0.16,0.15,0.15,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/27/2021,6.0,5.25,4.66,4.61,4.32,3.52,3.56,3.75,3.05,2.95,2.72,2.69,1.96,2.46,1.85,1.95,1.77,1.74,1.41,1.07,1.3,1.25,1.3,1.09,1.06,0.89,1.14,0.96,0.96,0.92,0.84,0.86,0.82,0.8,0.72,0.69,0.0,0.63,0.6,0.56,0.64,0.63,0.51,0.57,0.48,0.48,0.55,0.45,0.53,0.44,0.43,0.53,0.49,0.45,0.43,0.45,0.32,0.43,0.3,0.33,0.34,0.35,0.34,0.34,0.32,0.35,0.36,0.27,0.33,0.29,0.27,0.25,0.28,0.28,0.25,0.22,0.26,0.24,0.23,0.24,0.26,0.21,0.23,0.22,0.26,0.23,0.19,0.22,0.17,0.21,0.21,0.19,0.2,0.19,0.19,0.18,0.18,0.19,0.18,0.16,0.16,0.18,0.15,0.15,0.14,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
