,FB,GOOGL,GOOG,CMCSA,CHTR,NFLX,T,TMUS,VZ,DIS,ATVI,TWTR,EA,VIAC,TTWO,OMC,LUMN,IPG,LYV,FOXA,DISH,NWSA,DISCK,FOX,DISCA,News Corporation Class B,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,NWS,4282.T,SINA,GVMXX,SSIXX,n/a,MTCH,SUM
07/23/2021,22.54,12.13,11.93,4.58,4.55,4.52,4.42,4.52,4.52,4.61,4.35,3.88,2.89,1.75,1.41,1.12,0.91,0.88,0.79,0.82,0.73,0.68,0.57,0.36,0.34,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/26/2021,22.89,12.19,11.98,4.59,4.5,4.31,4.39,4.48,4.5,4.52,4.25,3.92,2.88,1.75,1.4,1.09,0.89,0.95,0.8,0.83,0.74,0.67,0.57,0.36,0.34,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/27/2021,23.52,12.32,12.09,4.52,4.44,4.23,4.3,4.35,4.38,4.44,4.19,3.94,2.86,1.71,1.38,1.07,0.87,0.96,0.77,0.82,0.71,0.67,0.56,0.36,0.33,0.0,0.0,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,23.52,12.32,12.09,4.52,4.44,4.23,4.3,4.35,4.38,4.44,4.19,3.94,2.86,1.71,1.38,1.07,0.87,0.96,0.77,0.82,0.71,0.67,0.56,0.36,0.33,0.0,0.0,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,23.56,12.35,12.18,4.52,4.43,4.22,4.28,4.36,4.35,4.48,4.11,3.76,2.85,1.75,1.37,1.08,0.88,0.96,0.81,0.82,0.73,0.67,0.57,0.36,0.34,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,23.55,12.3,12.08,4.57,4.47,4.29,4.34,4.4,4.44,4.55,3.88,3.78,2.82,1.74,1.34,1.1,0.88,0.96,0.8,0.82,0.74,0.67,0.57,0.36,0.34,0.0,0.0,0.0,0.2,0.01,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,23.72,12.6,11.95,4.49,4.4,4.26,4.28,4.38,4.37,4.51,3.88,3.84,2.83,1.74,1.36,1.08,0.87,0.95,0.8,0.82,0.73,0.67,0.57,0.36,0.34,0.0,0.0,0.0,0.2,0.0,0.03,0.0,0.0,0.0,0.0,100.03
08/03/2021,23.01,12.7,12.09,4.54,4.4,4.26,4.36,4.41,4.43,4.53,3.86,3.91,2.86,1.76,1.37,1.1,0.87,0.96,0.81,0.83,0.73,0.67,0.59,0.36,0.35,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/04/2021,22.95,12.64,12.01,4.62,4.6,4.3,4.34,4.41,4.43,4.49,3.88,3.89,2.88,1.73,1.4,1.09,0.87,0.97,0.8,0.81,0.73,0.67,0.57,0.35,0.34,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,22.7,12.67,12.1,4.59,4.64,4.29,4.36,4.44,4.43,4.48,3.84,3.86,2.88,1.73,1.4,1.1,0.87,0.98,0.8,0.81,0.72,0.68,0.57,0.35,0.34,0.2,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/06/2021,22.79,12.82,12.2,4.6,4.8,4.28,4.4,4.45,4.46,4.45,3.72,3.85,2.81,1.64,1.3,1.1,0.89,1.0,0.79,0.8,0.73,0.66,0.56,0.35,0.33,0.2,0.03,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,23.31,12.68,12.12,4.58,4.74,4.31,4.31,4.33,4.37,4.5,3.8,3.74,2.71,1.74,1.27,1.11,0.81,1.01,0.86,0.83,0.72,0.67,0.57,0.36,0.34,0.0,0.0,0.0,0.2,0.0,0.02,0.0,0.0,0.0,0.0,100.01
08/16/2021,23.16,12.76,12.19,4.59,4.75,4.21,4.3,4.39,4.38,4.53,3.91,3.59,2.75,1.67,1.28,1.13,0.83,1.02,0.84,0.84,0.74,0.65,0.57,0.36,0.34,0.0,0.0,0.0,0.2,0.0,0.02,0.0,0.0,0.0,0.0,100.0
08/17/2021,23.18,12.81,12.19,4.61,4.73,4.25,4.32,4.4,4.4,4.58,3.85,3.58,2.74,1.64,1.28,1.12,0.83,1.02,0.81,0.84,0.73,0.64,0.56,0.36,0.33,0.0,0.0,0.0,0.19,0.0,0.02,0.0,0.0,0.0,0.0,100.01
08/18/2021,23.18,12.81,12.19,4.61,4.73,4.25,4.32,4.4,4.4,4.58,3.85,3.58,2.74,1.64,1.28,1.12,0.83,1.02,0.81,0.84,0.73,0.64,0.56,0.36,0.33,0.0,0.0,0.0,0.19,0.0,0.02,0.0,0.0,0.0,0.0,100.01
08/24/2021,23.07,12.85,12.25,4.65,4.89,4.53,4.25,4.32,4.4,4.45,3.81,3.47,2.79,1.67,1.29,1.07,0.82,1.0,0.8,0.83,0.74,0.6,0.56,0.36,0.33,0.0,0.0,0.0,0.18,0.0,0.01,0.0,0.0,0.0,0.0,99.99
08/30/2021,23.2,13.11,12.48,4.58,4.87,4.52,4.13,4.16,4.29,4.45,3.72,3.45,2.79,1.67,1.27,1.06,0.83,0.99,0.84,0.83,0.73,0.6,0.55,0.36,0.32,0.0,0.0,0.0,0.18,0.0,0.01,0.0,0.0,0.0,0.0,99.99
08/31/2021,23.75,11.49,11.16,4.44,4.65,4.78,4.35,4.41,4.33,4.39,4.3,3.86,2.89,1.92,1.44,1.21,0.95,0.9,0.89,0.85,0.73,0.71,0.61,0.38,0.36,0.0,0.0,0.0,0.21,0.0,0.0,0.07,0.03,0.0,0.0,100.06
09/01/2021,23.75,11.49,11.16,4.44,4.65,4.78,4.35,4.41,4.33,4.39,4.3,3.86,2.89,1.92,1.44,1.21,0.95,0.9,0.89,0.85,0.73,0.71,0.61,0.38,0.36,0.0,0.0,0.0,0.21,0.0,0.0,0.07,0.03,0.0,0.0,100.06
09/07/2021,23.38,13.01,12.41,4.67,4.84,4.74,4.12,4.01,4.25,4.45,3.63,3.48,2.82,1.68,1.25,1.07,0.81,0.99,0.84,0.81,0.76,0.59,0.55,0.35,0.32,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.01,0.0,100.02
09/13/2021,23.68,13.09,12.52,4.54,4.72,4.83,4.13,3.91,4.21,4.61,3.52,3.39,2.76,1.66,1.23,1.05,0.83,0.98,0.85,0.81,0.74,0.58,0.52,0.35,0.31,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.01,0.0,100.01
09/14/2021,23.87,12.93,12.34,4.55,4.76,4.87,4.12,3.92,4.22,4.6,3.61,3.36,2.83,1.64,1.21,1.05,0.81,0.97,0.85,0.8,0.72,0.58,0.52,0.35,0.3,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.03,0.0,99.99
09/21/2021,23.3,13.1,12.46,4.44,4.68,4.86,4.23,3.88,4.28,4.64,3.65,3.45,2.65,1.67,1.21,1.09,0.89,1.01,0.87,0.85,0.73,0.6,0.54,0.37,0.31,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.04,0.0,99.98000000000005
09/24/2021,22.52,12.12,11.39,4.41,4.43,4.47,4.63,4.46,4.65,4.34,3.86,3.41,2.45,1.59,1.16,0.99,0.85,0.96,0.76,0.82,0.7,0.59,0.5,0.35,0.29,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.24,2.86,99.98000000000002
09/28/2021,21.89,12.21,11.46,4.36,4.32,4.55,4.59,4.55,4.61,4.39,3.92,3.59,2.48,1.62,1.15,1.03,0.86,1.02,0.82,0.85,0.72,0.64,0.49,0.36,0.29,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.06,2.98,100.01000000000002
09/29/2021,21.89,12.21,11.46,4.36,4.32,4.55,4.59,4.55,4.61,4.39,3.92,3.59,2.48,1.62,1.15,1.03,0.86,1.02,0.82,0.85,0.72,0.64,0.49,0.36,0.29,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.06,2.98,100.01000000000002
10/11/2021,21.05,12.01,11.22,4.49,4.42,4.99,4.7,4.45,4.7,4.46,4.09,3.33,2.6,1.62,1.31,1.1,0.87,1.0,0.91,0.92,0.76,0.63,0.51,0.39,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.97,100.02
10/12/2021,20.87,12.23,11.47,4.32,4.2,4.95,4.61,4.34,4.6,4.5,4.12,3.47,2.72,1.65,1.38,1.1,0.85,1.0,0.88,0.93,0.76,0.64,0.52,0.4,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.03,2.98,100.02
10/13/2021,20.87,12.23,11.47,4.32,4.2,4.95,4.61,4.34,4.6,4.5,4.12,3.47,2.72,1.65,1.38,1.1,0.85,1.0,0.88,0.93,0.76,0.64,0.52,0.4,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.03,2.98,100.02
10/19/2021,20.71,12.47,11.7,4.3,4.2,4.96,4.47,4.25,4.55,4.53,4.09,3.45,2.64,1.62,1.37,1.13,0.83,1.04,0.92,0.93,0.74,0.64,0.5,0.4,0.29,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.04,3.05,100.02
10/20/2021,20.71,12.47,11.7,4.3,4.2,4.96,4.47,4.25,4.55,4.53,4.09,3.45,2.64,1.62,1.37,1.13,0.83,1.04,0.92,0.93,0.74,0.64,0.5,0.4,0.29,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.04,3.05,100.02
10/21/2021,21.21,12.5,11.71,4.21,4.21,4.99,4.37,4.21,4.49,4.36,4.06,3.53,2.62,1.59,1.37,1.12,0.82,1.03,0.92,0.93,0.74,0.63,0.5,0.4,0.28,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.04,2.99,100.03000000000002
10/26/2021,21.31,12.24,11.53,4.21,4.32,5.04,4.38,4.13,4.55,4.3,4.12,3.51,2.69,1.54,1.43,1.04,0.84,0.98,0.89,0.93,0.74,0.63,0.49,0.4,0.28,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.03,3.27,100.02
11/02/2021,20.63,13.06,12.24,4.1,4.05,5.45,4.39,4.15,4.61,4.34,4.19,2.94,2.75,1.51,1.45,1.0,0.81,0.99,0.92,0.88,0.7,0.62,0.47,0.38,0.27,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.05,2.87,100.01
11/03/2021,20.63,13.06,12.24,4.1,4.05,5.45,4.39,4.15,4.61,4.34,4.19,2.94,2.75,1.51,1.45,1.0,0.81,0.99,0.92,0.88,0.7,0.62,0.47,0.38,0.27,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.05,2.87,100.01
11/05/2021,20.97,12.62,11.83,4.15,4.02,5.36,4.39,4.17,4.6,4.35,4.23,3.02,2.77,1.55,1.47,1.01,0.82,0.99,0.94,0.91,0.72,0.63,0.49,0.39,0.28,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,2.93,100.01
11/08/2021,21.22,12.96,12.16,4.16,4.08,5.23,4.27,4.39,4.48,4.33,3.62,2.92,2.76,1.48,1.53,0.99,0.93,0.96,0.96,0.91,0.63,0.63,0.51,0.39,0.29,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.96,99.98000000000002
11/09/2021,21.38,12.91,12.11,4.22,4.07,5.01,4.29,4.36,4.48,4.43,3.57,2.86,2.68,1.49,1.47,1.0,0.95,0.97,1.1,0.91,0.64,0.64,0.53,0.39,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.04,3.01,100.01
11/10/2021,21.38,12.91,12.11,4.22,4.07,5.01,4.29,4.36,4.48,4.43,3.57,2.86,2.68,1.49,1.47,1.0,0.95,0.97,1.1,0.91,0.64,0.64,0.53,0.39,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.04,3.01,100.01
11/24/2021,22.19,13.25,12.48,4.17,4.13,5.4,4.23,4.21,4.47,3.98,3.37,2.68,2.61,1.41,1.38,1.0,0.92,0.94,1.03,0.87,0.58,0.6,0.52,0.37,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.7,100.02
11/25/2021,22.18,13.17,12.39,4.19,4.09,5.31,4.38,4.2,4.58,4.04,3.4,2.65,2.52,1.42,1.35,1.02,0.95,0.95,1.04,0.88,0.59,0.62,0.54,0.38,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.66,100.03
11/26/2021,22.0,13.16,12.4,4.24,4.15,5.28,4.41,4.27,4.61,3.97,3.39,2.64,2.57,1.4,1.35,1.04,0.97,0.96,1.04,0.89,0.58,0.61,0.53,0.38,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.63,100.0
11/29/2021,22.21,13.17,12.37,4.22,4.13,5.31,4.35,4.23,4.6,3.97,3.33,2.66,2.53,1.41,1.34,1.04,0.97,0.95,1.04,0.87,0.59,0.6,0.53,0.37,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.67,99.99
11/30/2021,22.07,13.04,12.25,4.23,4.2,5.46,4.38,4.26,4.69,3.95,3.37,2.68,2.56,1.41,1.41,1.04,0.94,0.95,0.97,0.87,0.59,0.6,0.53,0.37,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.64,99.99
12/01/2021,22.07,13.04,12.25,4.23,4.2,5.46,4.38,4.26,4.69,3.95,3.37,2.68,2.56,1.41,1.41,1.04,0.94,0.95,0.97,0.87,0.59,0.6,0.53,0.37,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.64,99.99
12/02/2021,22.07,13.04,12.25,4.23,4.2,5.46,4.38,4.26,4.69,3.95,3.37,2.68,2.56,1.41,1.41,1.04,0.94,0.95,0.97,0.87,0.59,0.6,0.53,0.37,0.3,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.04,2.64,99.99
12/06/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/07/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/08/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/09/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/10/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/13/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/14/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/15/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/16/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/17/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/20/2021,21.6,13.58,12.75,4.27,4.15,5.32,4.22,4.21,4.73,3.98,3.35,2.56,2.56,1.35,1.4,1.07,0.88,0.98,1.02,0.83,0.57,0.62,0.5,0.36,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.03,2.65,100.01
12/21/2021,22.34,13.13,12.38,4.08,4.1,4.86,4.34,4.54,4.86,4.01,3.45,2.48,2.62,1.29,1.48,1.13,0.9,1.04,1.0,0.86,0.6,0.6,0.49,0.37,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.05,2.53,100.0
12/22/2021,22.34,13.13,12.38,4.08,4.1,4.86,4.34,4.54,4.86,4.01,3.45,2.48,2.62,1.29,1.48,1.13,0.9,1.04,1.0,0.86,0.6,0.6,0.49,0.37,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.05,2.53,100.0
12/23/2021,22.34,13.13,12.38,4.08,4.1,4.86,4.34,4.54,4.86,4.01,3.45,2.48,2.62,1.29,1.48,1.13,0.9,1.04,1.0,0.86,0.6,0.6,0.49,0.37,0.28,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.05,2.53,100.0
12/24/2021,23.03,11.39,10.64,4.48,4.69,4.4,4.76,4.69,4.68,4.4,3.73,2.67,2.81,1.34,1.56,1.16,0.88,1.1,1.16,0.89,0.6,0.64,0.52,0.38,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,2.8,100.0
12/27/2021,22.85,11.53,10.74,4.54,4.66,4.42,4.78,4.59,4.61,4.43,3.78,2.63,2.79,1.38,1.53,1.14,0.88,1.08,1.19,0.89,0.61,0.65,0.53,0.38,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.02,2.82,99.96
12/28/2021,22.85,11.53,10.74,4.54,4.66,4.42,4.78,4.59,4.61,4.43,3.78,2.63,2.79,1.38,1.53,1.14,0.88,1.08,1.19,0.89,0.61,0.65,0.53,0.38,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.02,2.82,99.96
12/29/2021,22.85,11.53,10.74,4.54,4.66,4.42,4.78,4.59,4.61,4.43,3.78,2.63,2.79,1.38,1.53,1.14,0.88,1.08,1.19,0.89,0.61,0.65,0.53,0.38,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.02,2.82,99.96
12/30/2021,23.37,11.5,10.7,4.53,4.65,4.37,4.72,4.5,4.57,4.36,3.76,2.62,2.78,1.35,1.53,1.14,0.87,1.1,1.2,0.88,0.61,0.66,0.53,0.38,0.3,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.02,2.8,100.01
12/31/2021,23.4,11.42,10.6,4.54,4.68,4.36,4.73,4.49,4.58,4.44,3.84,2.57,2.79,1.35,1.53,1.16,0.87,1.1,1.2,0.89,0.61,0.66,0.53,0.38,0.3,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.02,2.78,100.03
01/03/2022,23.29,11.39,10.57,4.55,4.69,4.37,4.73,4.43,4.54,4.46,3.89,2.63,2.81,1.4,1.54,1.16,0.87,1.1,1.2,0.89,0.61,0.65,0.53,0.38,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.02,2.79,100.0
01/03/2022,23.29,11.39,10.57,4.55,4.69,4.37,4.73,4.43,4.54,4.46,3.89,2.63,2.81,1.4,1.54,1.16,0.87,1.1,1.2,0.89,0.61,0.65,0.53,0.38,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.02,2.79,100.0
01/03/2022,23.29,11.39,10.57,4.55,4.69,4.37,4.73,4.43,4.54,4.46,3.89,2.63,2.81,1.4,1.54,1.16,0.87,1.1,1.2,0.89,0.61,0.65,0.53,0.38,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.02,2.79,100.0
01/04/2022,23.29,11.39,10.57,4.55,4.69,4.37,4.73,4.43,4.54,4.46,3.89,2.63,2.81,1.4,1.54,1.16,0.87,1.1,1.2,0.89,0.61,0.65,0.53,0.38,0.31,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.02,2.79,100.0
01/10/2022,23.17,11.06,10.26,4.68,4.65,4.07,5.14,4.52,4.81,4.63,3.79,2.41,2.8,1.51,1.45,1.26,0.92,1.13,1.23,0.94,0.63,0.68,0.58,0.4,0.33,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.03,2.72,100.01
01/11/2022,23.16,11.02,10.24,4.65,4.5,3.99,5.18,4.3,4.86,4.66,3.81,2.42,2.85,1.64,1.45,1.27,0.97,1.13,1.2,0.95,0.66,0.68,0.68,0.4,0.39,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.03,2.71,100.01
01/12/2022,23.16,11.02,10.24,4.65,4.5,3.99,5.18,4.3,4.86,4.66,3.81,2.42,2.85,1.64,1.45,1.27,0.97,1.13,1.2,0.95,0.66,0.68,0.68,0.4,0.39,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.03,2.71,100.01
01/13/2022,23.16,11.02,10.24,4.65,4.5,3.99,5.18,4.3,4.86,4.66,3.81,2.42,2.85,1.64,1.45,1.27,0.97,1.13,1.2,0.95,0.66,0.68,0.68,0.4,0.39,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.03,2.71,100.01
01/14/2022,23.19,11.17,10.4,4.72,4.48,3.96,5.16,4.32,4.77,4.63,3.89,2.47,2.81,1.61,1.3,1.25,0.93,1.12,1.19,0.95,0.67,0.67,0.64,0.4,0.37,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.03,2.71,100.02
01/25/2022,22.39,11.09,10.29,4.89,4.44,3.1,5.55,4.22,5.04,4.29,5.12,2.25,3.18,1.53,1.53,1.3,0.9,1.12,1.2,0.98,0.64,0.68,0.63,0.41,0.36,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.02,2.65,100.00999999999998
