,AAPL,FB,MTB,IBM,NVDA,DHR,SBUX,COST,MCO,DIS,APH,LRCX,AVY,ADBE,NFLX,AMT,SYK,ED,CRM,CL,PGR,PLD,XYL,INFO,IFF,CARR,KMB,ROST,ALXN,KLAC,KMX,RE,FLT,EXPD,IQV,IT,WLTW,WU,CDW,NLSN,A,EA,ALLE,PAYX,CTLT,PVH,VTR,AMD,HAS,LYV,MKC,NTAP,OMC,INCY,NLOK,WDC,HSIC,DISCA,UAA,HRL,Cash & Cash Equivalents,Cash,Discovery Inc Class A,Under Armour Inc A,n/a,KD WI,SUM
08/04/2021,5.23,4.94,4.07,3.7,3.51,3.85,3.74,3.68,3.37,3.15,3.09,2.81,2.7,2.82,2.32,2.48,2.33,2.3,2.18,2.17,2.04,2.22,2.13,2.0,1.94,2.04,1.76,1.6,0.0,1.4,1.19,1.06,1.11,1.09,1.08,1.13,0.86,0.91,0.78,0.62,0.65,0.63,0.56,0.52,0.51,0.45,0.5,0.46,0.45,0.35,0.36,0.36,0.34,0.34,0.34,0.29,0.34,0.23,0.0,0.23,0.14,0.3,0.0,0.23,0.0,0.0,99.98000000000005
08/05/2021,5.23,4.94,4.07,3.7,3.51,3.85,3.74,3.68,3.37,3.15,3.09,2.81,2.7,2.82,2.32,2.48,2.33,2.3,2.18,2.17,2.04,2.22,2.13,2.0,1.94,2.04,1.76,1.6,0.0,1.4,1.19,1.06,1.11,1.09,1.08,1.13,0.86,0.91,0.78,0.62,0.65,0.63,0.56,0.52,0.51,0.45,0.5,0.46,0.45,0.35,0.36,0.36,0.34,0.34,0.34,0.29,0.34,0.23,0.0,0.23,0.14,0.3,0.0,0.23,0.0,0.0,99.98000000000005
08/06/2021,5.23,4.64,4.02,3.67,3.55,3.89,3.67,3.73,3.37,3.08,3.16,2.83,2.69,2.8,2.29,2.46,2.33,2.28,2.14,2.07,2.04,2.23,2.17,2.1,1.95,2.15,1.75,1.59,0.0,1.53,1.22,1.1,1.09,1.09,1.08,1.14,0.87,0.89,0.8,0.61,0.66,0.63,0.56,0.52,0.53,0.46,0.49,0.51,0.45,0.35,0.36,0.37,0.34,0.34,0.33,0.3,0.35,0.0,0.24,0.23,0.14,0.31,0.23,0.0,0.0,0.0,100.0
09/27/2021,4.87,4.67,5.09,5.03,2.89,3.35,3.14,3.49,2.99,3.04,4.13,1.97,2.89,4.38,1.61,2.1,2.19,2.16,2.52,1.9,1.91,2.06,2.08,2.04,2.23,1.75,1.21,1.69,0.0,1.74,1.04,1.26,1.16,0.99,1.5,1.13,1.11,0.84,0.93,0.45,0.6,0.4,0.47,0.55,0.18,0.65,0.48,0.61,0.24,0.38,0.0,0.59,0.81,0.59,0.3,0.5,0.18,0.44,0.28,0.04,0.0,0.0,0.0,0.0,0.21,0.0,100.03000000000002
09/28/2021,4.83,4.64,5.22,5.03,2.92,3.31,3.13,3.45,3.0,3.05,4.16,1.98,2.92,4.35,1.6,2.03,2.2,2.13,2.66,1.88,1.87,2.02,2.08,2.04,2.2,1.76,1.2,1.68,0.0,1.74,1.04,1.25,1.18,0.99,1.5,1.14,1.1,0.84,0.93,0.45,0.59,0.4,0.47,0.54,0.18,0.66,0.48,0.61,0.24,0.39,0.0,0.6,0.81,0.58,0.31,0.5,0.18,0.43,0.28,0.04,0.0,0.0,0.0,0.0,0.22,0.0,100.01000000000002
09/29/2021,4.83,4.64,5.22,5.03,2.92,3.31,3.13,3.45,3.0,3.05,4.16,1.98,2.92,4.35,1.6,2.03,2.2,2.13,2.66,1.88,1.87,2.02,2.08,2.04,2.2,1.76,1.2,1.68,0.0,1.74,1.04,1.25,1.18,0.99,1.5,1.14,1.1,0.84,0.93,0.45,0.59,0.4,0.47,0.54,0.18,0.66,0.48,0.61,0.24,0.39,0.0,0.6,0.81,0.58,0.31,0.5,0.18,0.43,0.28,0.04,0.0,0.0,0.0,0.0,0.22,0.0,100.01000000000002
09/30/2021,4.83,4.73,5.26,5.05,2.86,3.3,3.12,3.56,2.99,3.04,4.17,1.98,2.89,4.29,1.59,1.98,2.2,2.12,2.73,1.88,1.87,2.0,2.08,2.04,2.19,1.74,1.19,1.69,0.0,1.73,1.05,1.25,1.19,0.98,1.49,1.14,1.1,0.84,0.93,0.44,0.59,0.41,0.46,0.54,0.18,0.66,0.47,0.6,0.23,0.39,0.0,0.61,0.82,0.58,0.31,0.5,0.18,0.43,0.28,0.04,0.0,0.0,0.0,0.0,0.22,0.0,100.01000000000002
10/01/2021,4.8,4.76,5.57,5.11,2.82,3.23,3.12,3.52,2.94,3.09,4.18,2.0,2.9,4.18,1.6,1.93,2.18,2.11,2.68,1.87,1.86,1.98,2.07,2.02,2.18,1.73,1.19,1.7,0.0,1.72,1.06,1.27,1.21,0.98,1.42,1.11,1.1,0.86,0.93,0.45,0.57,0.41,0.47,0.54,0.18,0.68,0.47,0.62,0.24,0.4,0.0,0.61,0.83,0.58,0.31,0.51,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.22,0.0,100.03000000000002
10/04/2021,4.81,4.66,5.75,5.24,2.72,3.19,3.14,3.52,2.92,3.05,4.11,1.87,2.9,4.08,1.65,1.94,2.18,2.18,2.65,1.93,1.91,2.02,2.01,1.96,2.27,1.78,1.25,1.71,0.0,1.61,1.09,1.27,1.21,0.98,1.42,1.1,1.11,0.88,0.91,0.45,0.56,0.44,0.47,0.54,0.18,0.66,0.49,0.59,0.24,0.4,0.0,0.6,0.82,0.59,0.31,0.5,0.19,0.44,0.28,0.04,0.0,0.0,0.0,0.0,0.22,0.0,99.99
10/05/2021,4.82,4.71,5.68,5.29,2.78,3.21,3.13,3.54,2.92,3.02,4.09,1.9,2.86,4.11,1.7,1.93,2.17,2.18,2.68,1.92,1.91,2.03,1.97,1.98,2.29,1.76,1.23,1.64,0.0,1.62,0.97,1.27,1.2,0.97,1.41,1.1,1.14,0.87,0.91,0.45,0.56,0.46,0.46,0.57,0.18,0.63,0.48,0.61,0.23,0.4,0.0,0.6,0.82,0.6,0.31,0.5,0.19,0.45,0.27,0.04,0.0,0.0,0.0,0.0,0.28,0.0,100.0
10/06/2021,4.82,4.71,5.68,5.29,2.78,3.21,3.13,3.54,2.92,3.02,4.09,1.9,2.86,4.11,1.7,1.93,2.17,2.18,2.68,1.92,1.91,2.03,1.97,1.98,2.29,1.76,1.23,1.64,0.0,1.62,0.97,1.27,1.2,0.97,1.41,1.1,1.14,0.87,0.91,0.45,0.56,0.46,0.46,0.57,0.18,0.63,0.48,0.61,0.23,0.4,0.0,0.6,0.82,0.6,0.31,0.5,0.19,0.45,0.27,0.04,0.0,0.0,0.0,0.0,0.28,0.0,100.0
10/07/2021,4.8,4.7,5.74,5.39,2.75,3.15,3.16,3.49,2.92,3.11,4.11,1.88,2.86,4.07,1.69,1.92,2.18,2.13,2.69,1.89,1.9,2.02,1.91,1.98,2.39,1.76,1.21,1.65,0.0,1.6,0.95,1.26,1.21,0.94,1.41,1.1,1.16,0.87,0.92,0.45,0.55,0.46,0.46,0.58,0.17,0.64,0.49,0.6,0.23,0.43,0.0,0.6,0.83,0.58,0.31,0.5,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.27,0.0,99.98
10/08/2021,4.75,4.54,5.86,5.5,2.66,3.15,3.17,3.48,2.89,3.11,4.11,1.84,2.88,4.0,1.68,1.94,2.16,2.21,2.69,1.91,1.92,2.06,1.9,1.95,2.37,1.79,1.23,1.66,0.0,1.6,0.93,1.27,1.21,0.94,1.41,1.11,1.16,0.88,0.91,0.45,0.54,0.46,0.46,0.59,0.17,0.66,0.49,0.6,0.22,0.43,0.0,0.6,0.84,0.58,0.31,0.51,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.29,0.0,99.99
10/11/2021,4.8,4.6,5.75,5.38,2.76,3.15,3.14,3.51,2.92,3.12,4.13,1.83,2.88,4.04,1.77,1.94,2.15,2.23,2.71,1.89,1.94,2.05,1.93,1.99,2.34,1.78,1.23,1.58,0.0,1.58,0.97,1.31,1.19,0.94,1.4,1.1,1.17,0.87,0.87,0.44,0.54,0.43,0.45,0.6,0.17,0.64,0.47,0.61,0.23,0.44,0.0,0.6,0.85,0.57,0.31,0.5,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.27,0.0,100.02
10/12/2021,4.8,4.6,5.75,5.38,2.76,3.15,3.14,3.51,2.92,3.12,4.13,1.83,2.88,4.04,1.77,1.94,2.15,2.23,2.71,1.89,1.94,2.05,1.93,1.99,2.34,1.78,1.23,1.58,0.0,1.58,0.97,1.31,1.19,0.94,1.4,1.1,1.17,0.87,0.87,0.44,0.54,0.43,0.45,0.6,0.17,0.64,0.47,0.61,0.23,0.44,0.0,0.6,0.85,0.57,0.31,0.5,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.27,0.0,100.02
10/13/2021,4.8,4.6,5.75,5.38,2.76,3.15,3.14,3.51,2.92,3.12,4.13,1.83,2.88,4.04,1.77,1.94,2.15,2.23,2.71,1.89,1.94,2.05,1.93,1.99,2.34,1.78,1.23,1.58,0.0,1.58,0.97,1.31,1.19,0.94,1.4,1.1,1.17,0.87,0.87,0.44,0.54,0.43,0.45,0.6,0.17,0.64,0.47,0.61,0.23,0.44,0.0,0.6,0.85,0.57,0.31,0.5,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.27,0.0,100.02
10/14/2021,4.82,4.54,5.79,5.4,2.77,3.13,3.12,3.53,2.95,3.13,4.19,1.82,2.83,4.08,1.75,1.89,2.15,2.19,2.67,1.9,1.91,2.06,1.91,2.0,2.34,1.74,1.22,1.61,0.0,1.57,0.98,1.35,1.2,0.92,1.42,1.09,1.18,0.88,0.87,0.45,0.54,0.45,0.46,0.6,0.17,0.64,0.47,0.62,0.23,0.43,0.0,0.61,0.85,0.57,0.31,0.5,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.27,0.0,100.03
10/15/2021,4.85,4.51,5.75,5.41,2.77,3.14,3.14,3.53,2.96,3.09,4.18,1.84,2.83,4.08,1.74,1.9,2.12,2.22,2.7,1.92,1.92,2.08,1.88,2.0,2.39,1.74,1.23,1.59,0.0,1.57,0.97,1.34,1.17,0.94,1.41,1.09,1.18,0.88,0.87,0.46,0.53,0.45,0.45,0.6,0.17,0.64,0.48,0.62,0.23,0.43,0.0,0.61,0.85,0.56,0.31,0.5,0.19,0.44,0.27,0.04,0.0,0.0,0.0,0.0,0.23,0.0,99.99
10/18/2021,4.77,4.48,5.64,5.33,2.8,3.1,3.12,3.48,2.96,3.07,4.13,1.81,2.82,4.19,1.74,1.91,2.1,2.27,2.8,1.92,1.91,2.16,1.9,2.01,2.46,1.72,1.22,1.6,0.0,1.54,1.0,1.34,1.17,0.94,1.41,1.11,1.18,0.87,0.86,0.45,0.53,0.44,0.45,0.59,0.17,0.66,0.48,0.64,0.22,0.43,0.0,0.6,0.84,0.55,0.31,0.48,0.19,0.45,0.28,0.04,0.0,0.0,0.0,0.0,0.36,0.0,100.0
10/19/2021,4.78,4.45,5.61,5.33,2.85,3.09,3.1,3.46,2.98,3.04,4.16,1.85,2.8,4.23,1.72,1.9,2.12,2.22,2.8,1.9,1.86,2.15,1.92,2.03,2.48,1.76,1.21,1.59,0.0,1.56,1.0,1.38,1.17,0.94,1.42,1.1,1.18,0.87,0.86,0.45,0.53,0.43,0.45,0.59,0.17,0.66,0.48,0.65,0.23,0.43,0.0,0.61,0.85,0.56,0.3,0.49,0.19,0.43,0.27,0.04,0.0,0.0,0.0,0.0,0.36,0.0,100.04
10/20/2021,4.78,4.45,5.61,5.33,2.85,3.09,3.1,3.46,2.98,3.04,4.16,1.85,2.8,4.23,1.72,1.9,2.12,2.22,2.8,1.9,1.86,2.15,1.92,2.03,2.48,1.76,1.21,1.59,0.0,1.56,1.0,1.38,1.17,0.94,1.42,1.1,1.18,0.87,0.86,0.45,0.53,0.43,0.45,0.59,0.17,0.66,0.48,0.65,0.23,0.43,0.0,0.61,0.85,0.56,0.3,0.49,0.19,0.43,0.27,0.04,0.0,0.0,0.0,0.0,0.36,0.0,100.04
10/21/2021,4.8,4.39,5.59,5.36,2.86,3.09,3.07,3.46,2.97,3.07,4.18,1.83,2.81,4.23,1.7,1.91,2.13,2.18,2.81,1.88,1.88,2.16,1.93,2.03,2.46,1.77,1.2,1.59,0.0,1.55,1.0,1.37,1.21,0.92,1.42,1.1,1.17,0.89,0.86,0.45,0.53,0.42,0.46,0.59,0.17,0.66,0.48,0.65,0.23,0.43,0.0,0.62,0.84,0.55,0.3,0.48,0.18,0.43,0.27,0.04,0.0,0.0,0.0,0.0,0.37,0.0,99.98000000000002
10/22/2021,4.84,4.51,5.56,5.25,2.89,3.11,3.12,3.53,2.99,2.97,4.19,1.84,2.8,4.31,1.72,1.89,2.09,2.13,2.8,1.85,1.85,2.19,1.93,2.04,2.41,1.78,1.18,1.6,0.0,1.53,1.01,1.36,1.2,0.94,1.42,1.11,1.16,0.88,0.9,0.45,0.53,0.42,0.46,0.59,0.17,0.65,0.47,0.67,0.23,0.43,0.0,0.59,0.84,0.54,0.31,0.48,0.18,0.42,0.27,0.04,0.0,0.0,0.0,0.0,0.37,0.0,99.99
10/25/2021,4.87,4.53,5.84,5.17,2.84,3.18,3.09,3.54,2.93,2.92,4.19,1.81,2.83,4.32,1.66,1.92,2.16,2.17,2.75,1.82,1.91,2.22,1.93,2.0,2.39,1.76,1.17,1.57,0.0,1.53,1.0,1.36,1.2,0.93,1.41,1.09,1.14,0.82,0.9,0.45,0.53,0.43,0.46,0.59,0.17,0.65,0.48,0.66,0.22,0.42,0.0,0.58,0.81,0.54,0.31,0.48,0.18,0.43,0.26,0.04,0.0,0.0,0.0,0.0,0.42,0.0,99.98000000000002
10/26/2021,4.87,4.54,5.81,4.67,2.92,3.14,3.1,3.59,2.96,2.93,4.24,1.77,2.85,4.35,1.74,1.94,2.18,2.17,2.74,1.82,1.92,2.25,1.95,2.02,2.39,1.77,1.17,1.59,0.0,1.55,1.02,1.36,1.21,0.94,1.43,1.11,1.15,0.81,0.91,0.44,0.53,0.43,0.44,0.6,0.17,0.66,0.47,0.68,0.23,0.42,0.0,0.6,0.78,0.55,0.31,0.48,0.18,0.42,0.27,0.04,0.0,0.0,0.0,0.0,0.42,0.0,100.0
10/27/2021,4.87,4.54,5.81,4.67,2.92,3.14,3.1,3.59,2.96,2.93,4.24,1.77,2.85,4.35,1.74,1.94,2.18,2.17,2.74,1.82,1.92,2.25,1.95,2.02,2.39,1.77,1.17,1.59,0.0,1.55,1.02,1.36,1.21,0.94,1.43,1.11,1.15,0.81,0.91,0.44,0.53,0.43,0.44,0.6,0.17,0.66,0.47,0.68,0.23,0.42,0.0,0.6,0.78,0.55,0.31,0.48,0.18,0.42,0.27,0.04,0.0,0.0,0.0,0.0,0.42,0.0,100.0
10/28/2021,4.87,4.54,5.81,4.67,2.92,3.14,3.1,3.59,2.96,2.93,4.24,1.77,2.85,4.35,1.74,1.94,2.18,2.17,2.74,1.82,1.92,2.25,1.95,2.02,2.39,1.77,1.17,1.59,0.0,1.55,1.02,1.36,1.21,0.94,1.43,1.11,1.15,0.81,0.91,0.44,0.53,0.43,0.44,0.6,0.17,0.66,0.47,0.68,0.23,0.42,0.0,0.6,0.78,0.55,0.31,0.48,0.18,0.42,0.27,0.04,0.0,0.0,0.0,0.0,0.42,0.0,100.0
10/29/2021,4.83,4.36,5.78,4.64,2.97,3.08,3.1,3.68,3.03,2.93,4.22,1.76,2.87,4.4,1.78,1.97,2.15,2.18,2.77,1.82,1.95,2.24,1.96,2.01,2.39,1.77,1.15,1.63,0.0,1.58,1.01,1.37,1.22,0.96,1.44,1.12,1.13,0.8,0.91,0.44,0.53,0.44,0.44,0.6,0.17,0.66,0.46,0.69,0.21,0.42,0.0,0.6,0.76,0.55,0.31,0.48,0.17,0.43,0.28,0.04,0.0,0.0,0.0,0.0,0.38,0.0,100.02
11/01/2021,4.9,4.19,5.49,4.61,3.18,3.11,3.11,3.72,3.13,2.93,4.09,1.79,2.78,4.41,1.78,2.01,2.14,2.21,2.82,1.86,1.93,2.25,1.97,2.1,2.45,1.75,1.16,1.61,0.0,1.59,1.0,1.37,1.16,0.94,1.44,1.13,1.13,0.77,0.89,0.44,0.53,0.44,0.43,0.6,0.17,0.65,0.46,0.7,0.23,0.42,0.0,0.57,0.76,0.54,0.31,0.48,0.17,0.4,0.29,0.04,0.0,0.0,0.0,0.0,0.47,0.0,100.0
11/02/2021,4.97,4.21,5.39,4.59,3.21,3.08,3.07,3.69,3.21,2.9,4.1,1.81,2.84,4.36,1.79,1.99,2.12,2.2,2.82,1.87,1.94,2.27,2.0,2.1,2.43,1.77,1.16,1.63,0.0,1.64,0.98,1.3,1.1,0.95,1.44,1.14,1.16,0.76,0.89,0.46,0.53,0.43,0.43,0.6,0.17,0.64,0.46,0.69,0.24,0.42,0.0,0.58,0.75,0.55,0.3,0.49,0.17,0.41,0.29,0.04,0.0,0.0,0.0,0.0,0.47,0.0,100.0
