,FXD,FXR,FTXR,QTEC,FXL,US Dollar,First Trust Technology AlphaDEX® ETF,Us Dollars,First Trust Nasdaq Transportation ETF,n/a,FTXN,SUM
08/06/2021,20.56,20.59,0.0,20.14,19.39,0.0,0.0,0.07,19.25,0.0,0.0,100.0
08/26/2021,20.34,20.38,20.33,19.7,19.17,0.0,0.0,0.0,0.0,0.0,0.0,99.92
09/03/2021,20.43,20.79,18.83,20.41,19.49,0.0,0.0,0.0,0.0,0.04,0.0,99.99
09/07/2021,20.25,20.78,18.76,20.49,19.67,0.0,0.0,0.0,0.0,0.04,0.0,99.99
09/08/2021,20.25,20.78,18.76,20.49,19.67,0.0,0.0,0.0,0.0,0.04,0.0,99.99
09/09/2021,20.25,20.78,18.76,20.49,19.67,0.0,0.0,0.0,0.0,0.04,0.0,99.99
09/10/2021,20.22,20.64,18.83,20.59,19.68,0.0,0.0,0.0,0.0,0.04,0.0,100.0
09/13/2021,20.34,20.65,18.72,20.59,19.67,0.0,0.0,0.0,0.0,0.02,0.0,99.99
09/14/2021,20.33,20.65,18.69,20.68,19.64,0.0,0.0,0.0,0.0,0.02,0.0,100.01
09/15/2021,20.33,20.65,18.69,20.68,19.64,0.0,0.0,0.0,0.0,0.02,0.0,100.01
09/16/2021,20.36,20.65,18.76,20.64,19.59,0.0,0.0,0.0,0.0,0.02,0.0,100.02
09/17/2021,20.34,20.55,18.68,20.74,19.66,0.0,0.0,0.0,0.0,0.02,0.0,99.99
09/20/2021,20.46,20.41,18.65,20.76,19.7,0.0,0.0,0.0,0.0,0.02,0.0,100.0
09/21/2021,20.59,20.36,18.68,20.66,19.68,0.0,0.0,0.0,0.0,0.02,0.0,99.99
09/22/2021,20.59,20.36,18.68,20.66,19.68,0.0,0.0,0.0,0.0,0.02,0.0,99.99
09/23/2021,20.56,20.46,18.7,20.56,19.7,0.0,0.0,0.0,0.0,0.02,0.0,100.0
09/24/2021,20.54,20.37,18.73,20.63,19.71,0.0,0.0,0.0,0.0,0.02,0.0,100.0
09/27/2021,20.61,20.33,18.66,20.64,19.74,0.0,0.0,0.0,0.0,0.02,0.0,100.0
09/28/2021,20.49,20.31,18.82,20.58,19.78,0.0,0.0,0.0,0.0,0.02,0.0,100.0
09/29/2021,20.49,20.31,18.82,20.58,19.78,0.0,0.0,0.0,0.0,0.02,0.0,100.0
09/30/2021,20.49,20.31,18.82,20.58,19.78,0.0,0.0,0.0,0.0,0.02,0.0,100.0
10/01/2021,20.59,20.43,18.96,20.39,19.62,0.0,0.0,0.0,0.0,0.02,0.0,100.01
10/04/2021,20.49,20.5,19.05,20.22,19.62,0.0,0.0,0.0,0.0,0.12,0.0,100.0
10/05/2021,20.46,20.53,19.11,20.12,19.66,0.0,0.0,0.0,0.0,0.12,0.0,100.0
10/06/2021,20.46,20.53,19.11,20.12,19.66,0.0,0.0,0.0,0.0,0.12,0.0,100.0
10/07/2021,20.59,20.67,19.26,19.84,19.53,0.0,0.0,0.0,0.0,0.12,0.0,100.01000000000002
10/08/2021,20.43,20.67,19.28,19.92,19.58,0.0,0.0,0.0,0.0,0.12,0.0,100.0
10/11/2021,20.44,20.59,19.23,20.02,19.63,0.0,0.0,0.0,0.0,0.09,0.0,100.0
10/12/2021,20.45,20.59,19.29,19.97,19.6,0.0,0.0,0.0,0.0,0.09,0.0,99.99
10/13/2021,20.45,20.59,19.29,19.97,19.6,0.0,0.0,0.0,0.0,0.09,0.0,99.99
10/14/2021,20.41,20.55,19.33,19.98,19.64,0.0,0.0,0.0,0.0,0.09,0.0,100.0
10/15/2021,20.41,20.55,19.33,19.98,19.64,0.0,0.0,0.0,0.0,0.09,0.0,100.0
10/18/2021,20.31,20.46,19.22,20.1,19.82,0.0,0.0,0.0,0.0,0.09,0.0,100.0
10/19/2021,20.25,20.49,19.31,20.08,19.78,0.0,0.0,0.0,0.0,0.09,0.0,100.0
10/20/2021,20.25,20.49,19.31,20.08,19.78,0.0,0.0,0.0,0.0,0.09,0.0,100.0
10/21/2021,20.29,20.44,19.18,20.18,19.81,0.0,0.0,0.0,0.0,0.09,0.0,99.99
10/22/2021,20.16,20.43,19.13,20.33,19.85,0.0,0.0,0.0,0.0,0.09,0.0,99.99
10/25/2021,20.18,20.36,19.28,20.29,19.8,0.0,0.0,0.0,0.0,0.09,0.0,100.0
10/26/2021,20.2,20.43,19.3,20.21,19.78,0.0,0.0,0.0,0.0,0.09,0.0,100.01
10/27/2021,20.2,20.43,19.3,20.21,19.78,0.0,0.0,0.0,0.0,0.09,0.0,100.01
10/28/2021,20.21,20.42,19.33,20.2,19.76,0.0,0.0,0.0,0.0,0.09,0.0,100.01
10/29/2021,20.21,20.42,19.33,20.2,19.76,0.0,0.0,0.0,0.0,0.09,0.0,100.01
11/01/2021,20.07,20.32,19.6,20.25,19.67,0.0,0.0,0.0,0.0,0.09,0.0,100.0
11/02/2021,20.01,20.17,19.63,20.33,19.78,0.0,0.0,0.0,0.0,0.09,0.0,100.01
11/03/2021,20.01,20.17,19.63,20.33,19.78,0.0,0.0,0.0,0.0,0.09,0.0,100.01
11/04/2021,20.01,20.17,19.63,20.33,19.78,0.0,0.0,0.0,0.0,0.09,0.0,100.01
11/05/2021,20.0,20.17,19.69,20.29,19.76,0.0,0.0,0.0,0.0,0.09,0.0,100.0
11/08/2021,20.01,19.95,19.76,20.53,19.67,0.0,0.0,0.0,0.0,0.08,0.0,100.0
11/09/2021,20.14,20.07,19.61,20.49,19.6,0.0,0.0,0.0,0.0,0.08,0.0,99.99
11/10/2021,20.14,20.07,19.61,20.49,19.6,0.0,0.0,0.0,0.0,0.08,0.0,99.99
11/11/2021,19.96,19.99,19.8,20.52,19.68,0.0,0.0,0.0,0.0,0.06,0.0,100.01
11/12/2021,20.0,20.01,19.6,20.57,19.76,0.0,0.0,0.0,0.0,0.06,0.0,100.0
11/15/2021,20.08,20.08,19.73,20.43,19.61,0.0,0.0,0.0,0.0,0.06,0.0,99.99
11/16/2021,20.08,20.08,19.73,20.43,19.61,0.0,0.0,0.0,0.0,0.06,0.0,99.99
11/17/2021,20.05,20.11,19.68,20.52,19.58,0.0,0.0,0.0,0.0,0.06,0.0,100.0
11/18/2021,20.15,20.06,19.85,20.39,19.49,0.0,0.0,0.0,0.0,0.06,0.0,100.0
11/19/2021,20.19,20.01,19.65,20.53,19.56,0.0,0.0,0.0,0.0,0.06,0.0,100.0
11/22/2021,20.09,19.99,19.77,20.56,19.54,0.0,0.0,0.0,0.0,0.06,0.0,100.01
11/23/2021,20.09,19.99,19.77,20.56,19.54,0.0,0.0,0.0,0.0,0.06,0.0,100.01
11/24/2021,20.01,20.0,19.56,20.78,19.59,0.0,0.0,0.0,0.0,0.06,0.0,100.0
11/25/2021,20.18,20.2,19.84,20.46,19.27,0.0,0.0,0.0,0.0,0.06,0.0,100.01
11/26/2021,20.2,20.33,19.85,20.36,19.2,0.0,0.0,0.0,0.0,0.06,0.0,100.0
11/29/2021,20.03,20.26,19.77,20.43,19.45,0.0,0.0,0.0,0.0,0.06,0.0,100.0
11/30/2021,20.03,20.26,19.77,20.43,19.45,0.0,0.0,0.0,0.0,0.06,0.0,100.0
12/01/2021,20.07,20.2,19.6,20.56,19.5,0.0,0.0,0.0,0.0,0.06,0.0,99.99
12/02/2021,19.83,20.07,19.5,20.84,19.69,0.0,0.0,0.0,0.0,0.06,0.0,99.99
12/06/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/07/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/08/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/09/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/10/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/13/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/14/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/15/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/16/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/17/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/20/2021,19.85,20.1,19.56,20.93,19.52,0.0,0.0,0.0,0.0,0.04,0.0,100.0
12/21/2021,20.14,20.47,20.24,20.15,0.0,0.0,0.0,0.0,0.0,-0.53,19.53,100.0
12/22/2021,20.14,20.47,20.24,20.15,0.0,0.0,0.0,0.0,0.0,-0.53,19.53,100.0
12/23/2021,20.14,20.47,20.24,20.15,0.0,0.0,0.0,0.0,0.0,-0.53,19.53,100.0
12/24/2021,19.94,20.34,20.05,20.42,0.0,0.0,0.0,0.0,0.0,-0.53,19.77,99.99
12/27/2021,19.89,20.2,20.14,20.31,0.0,0.0,0.0,0.0,0.0,0.02,19.44,100.0
12/28/2021,19.89,20.2,20.14,20.31,0.0,0.0,0.0,0.0,0.0,0.02,19.44,100.0
12/29/2021,19.89,20.2,20.14,20.31,0.0,0.0,0.0,0.0,0.0,0.02,19.44,100.0
12/30/2021,19.78,20.17,19.99,20.35,0.0,0.0,0.0,0.0,0.0,0.02,19.69,100.0
12/31/2021,19.83,20.25,20.07,20.17,0.0,0.0,0.0,0.0,0.0,0.02,19.66,100.0
01/03/2022,20.02,20.31,20.05,20.19,0.0,0.0,0.0,0.0,0.0,0.02,19.4,99.99
01/03/2022,20.03,20.37,20.08,20.01,0.0,0.0,0.0,0.0,0.0,0.1,19.42,100.01
01/03/2022,20.03,20.37,20.08,20.01,0.0,0.0,0.0,0.0,0.0,0.1,19.42,100.01
01/04/2022,20.03,20.37,20.08,20.01,0.0,0.0,0.0,0.0,0.0,0.1,19.42,100.01
01/05/2022,20.03,20.37,20.08,20.01,0.0,0.0,0.0,0.0,0.0,0.1,19.42,100.01
01/06/2022,19.94,20.1,20.12,19.88,0.0,0.0,0.0,0.0,0.0,0.07,19.88,99.98999999999998
01/07/2022,19.78,20.1,20.44,19.24,0.0,0.0,0.0,0.0,0.0,0.09,20.35,100.0
01/10/2022,19.59,20.02,20.42,18.92,0.0,0.0,0.0,0.0,0.0,0.09,20.95,99.99
01/11/2022,19.56,19.94,20.53,18.68,0.0,0.0,0.0,0.0,0.0,0.1,21.19,100.0
01/12/2022,19.56,19.94,20.53,18.68,0.0,0.0,0.0,0.0,0.0,0.1,21.19,100.0
01/13/2022,19.46,19.99,20.3,18.94,0.0,0.0,0.0,0.0,0.0,0.1,21.22,100.01
01/14/2022,19.32,19.83,20.09,18.97,0.0,0.0,0.0,0.0,0.0,0.09,21.71,100.01
01/17/2022,19.4,19.96,20.32,18.46,0.0,0.0,0.0,0.0,0.0,0.07,21.8,100.01
01/18/2022,19.1,19.76,20.08,18.62,0.0,0.0,0.0,0.0,0.0,0.07,22.37,100.0
