,BAC,JPM,WFC,USB,C,FRC,COF,PNC,BK,SIVB,STT,FITB,NTRS,TFC,HBAN,KEY,CFG,RF,MTB,SBNY,CMA,FHN,ZION,PBCT,Cash/Receivables/Payables,AGPXX,95IE.L,Invesco Private Prime Fund,Invesco Private Government Fund,n/a,NYCB,TRVC.,SUM
08/03/2021,8.3,7.59,8.78,4.13,8.12,3.95,4.55,3.93,4.2,3.91,4.06,4.13,3.77,7.37,2.41,3.33,3.17,3.36,3.09,1.99,1.63,1.58,1.42,1.21,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,100.08
08/04/2021,8.3,7.59,8.78,4.13,8.12,3.95,4.55,3.93,4.2,3.91,4.06,4.13,3.77,7.37,2.41,3.33,3.17,3.36,3.09,1.99,1.63,1.58,1.42,1.21,0.0,0.0,0.0,0.06,0.04,0.0,0.0,0.0,100.08
08/05/2021,7.88,8.1,8.62,7.98,7.57,4.46,4.38,4.1,4.33,4.11,4.4,3.77,3.79,3.86,3.37,3.09,2.9,2.99,2.79,2.14,1.54,1.38,1.38,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/09/2021,7.92,8.02,8.65,7.9,7.62,4.48,4.36,4.12,4.27,4.21,4.32,3.78,3.72,3.87,3.39,3.07,2.92,2.99,2.75,2.2,1.56,1.38,1.39,1.08,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/10/2021,7.92,8.02,8.65,7.9,7.62,4.48,4.36,4.12,4.27,4.21,4.32,3.78,3.72,3.87,3.39,3.07,2.92,2.99,2.75,2.2,1.56,1.38,1.39,1.08,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,7.95,8.04,8.76,7.87,7.58,4.46,4.32,4.09,4.28,4.25,4.33,3.76,3.73,3.84,3.37,3.06,2.91,2.98,2.76,2.22,1.57,1.37,1.4,1.08,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/12/2021,8.04,8.03,8.73,7.87,7.62,4.44,4.33,4.08,4.29,4.22,4.36,3.74,3.71,3.85,3.35,3.04,2.9,2.97,2.76,2.26,1.56,1.36,1.39,1.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/13/2021,8.09,8.03,8.8,7.86,7.68,4.27,4.39,4.07,4.27,4.13,4.34,3.75,3.69,3.89,3.36,3.06,2.91,2.97,2.76,2.25,1.57,1.36,1.39,1.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/16/2021,8.08,8.01,8.9,7.87,7.66,4.25,4.47,4.03,4.28,4.12,4.27,3.75,3.68,3.85,3.4,3.04,2.9,3.01,2.74,2.25,1.59,1.36,1.38,1.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/19/2021,8.06,8.0,8.75,7.84,7.58,4.34,4.56,4.03,4.31,4.13,4.28,3.75,3.71,3.82,3.39,3.05,2.89,3.0,2.74,2.27,1.59,1.37,1.38,1.06,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,8.14,8.02,8.75,7.84,7.64,4.33,4.52,4.05,4.34,4.05,4.25,3.75,3.72,3.82,3.4,3.05,2.87,2.98,2.76,2.21,1.57,1.37,1.39,1.07,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/23/2021,8.15,8.08,8.7,7.83,7.63,4.37,4.5,4.07,4.36,4.0,4.23,3.81,3.77,3.83,3.44,3.05,2.84,3.01,2.76,2.2,1.58,1.37,1.39,1.07,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,100.02
08/25/2021,8.13,8.04,8.66,7.82,7.62,4.34,4.46,4.07,4.37,4.03,4.22,3.81,3.77,3.84,3.44,3.05,2.85,3.04,2.76,2.25,1.57,1.38,1.4,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/26/2021,8.14,8.05,8.6,7.8,7.6,4.3,4.44,4.06,4.38,4.04,4.27,3.81,3.78,3.83,3.47,3.06,2.85,3.06,2.75,2.27,1.58,1.38,1.4,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/27/2021,8.16,8.0,8.63,7.79,7.63,4.3,4.41,4.04,4.36,4.07,4.29,3.8,3.76,3.83,3.49,3.06,2.86,3.06,2.76,2.3,1.59,1.39,1.41,1.07,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,100.03
08/31/2021,8.13,8.05,8.65,7.78,7.52,4.3,4.43,4.05,4.39,4.0,4.4,3.8,3.78,3.81,3.47,3.05,2.86,3.02,2.75,2.28,1.59,1.39,1.44,1.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/01/2021,8.13,8.05,8.64,7.78,7.52,4.3,4.43,4.05,4.39,4.0,4.4,3.8,3.78,3.8,3.47,3.05,2.86,3.02,2.75,2.28,1.59,1.38,1.44,1.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,8.16,8.12,8.61,7.8,7.56,4.3,4.27,4.07,4.4,3.99,4.42,3.81,3.78,3.82,3.49,3.01,2.85,3.01,2.75,2.28,1.58,1.39,1.44,1.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,8.19,8.1,8.14,7.85,7.6,4.32,4.29,4.08,4.41,3.99,4.44,3.84,3.8,3.84,3.53,3.04,2.87,3.03,2.78,2.31,1.59,1.4,1.46,1.08,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,8.11,8.19,8.0,7.79,7.62,4.42,4.17,4.13,4.37,4.1,4.47,3.85,3.81,3.84,3.52,3.03,2.88,2.99,2.78,2.36,1.58,1.37,1.45,1.09,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,8.16,8.18,7.96,7.78,7.62,4.45,4.12,4.14,4.36,4.13,4.5,3.85,3.81,3.85,3.51,3.04,2.86,2.96,2.79,2.36,1.58,1.37,1.46,1.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/08/2021,8.16,8.18,7.96,7.78,7.62,4.45,4.12,4.14,4.36,4.13,4.5,3.85,3.81,3.85,3.51,3.04,2.86,2.96,2.79,2.36,1.58,1.37,1.46,1.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/10/2021,8.23,8.19,8.01,7.76,7.6,4.38,4.12,4.17,4.31,4.25,4.34,3.87,3.76,3.83,3.54,3.04,2.86,2.96,2.79,2.39,1.59,1.36,1.47,1.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/14/2021,8.11,8.18,8.1,7.79,7.54,4.4,4.13,4.2,4.25,4.33,4.3,3.92,3.7,3.81,3.58,3.05,2.89,2.96,2.76,2.4,1.61,1.33,1.49,1.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/16/2021,8.09,8.16,8.21,7.8,7.51,4.41,4.14,4.19,4.2,4.33,4.26,3.94,3.68,3.81,3.54,3.12,2.91,2.97,2.75,2.41,1.61,1.34,1.48,1.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/17/2021,8.04,8.18,8.43,7.87,7.47,4.46,4.11,4.14,4.2,4.29,4.26,3.96,3.63,3.78,3.52,3.17,2.89,2.96,2.73,2.41,1.58,1.33,1.48,1.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/20/2021,8.04,8.11,8.35,7.92,7.5,4.42,4.2,4.11,4.16,4.4,4.22,4.04,3.56,3.77,3.47,3.17,2.91,2.98,2.76,2.38,1.61,1.32,1.48,1.07,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/23/2021,7.84,8.0,8.39,8.12,7.83,4.06,3.94,4.04,3.76,4.39,3.71,4.15,3.73,3.94,3.6,3.25,3.05,3.1,2.92,2.57,1.63,1.39,1.53,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.99,0.0,100.01
09/24/2021,7.82,7.98,8.37,8.3,7.77,4.03,3.93,4.02,3.72,4.42,3.67,4.1,3.68,3.92,3.55,3.22,3.01,3.08,2.9,2.56,1.61,1.38,1.51,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.98,0.0,100.02
09/27/2021,7.91,7.98,8.28,8.18,7.81,3.9,3.96,4.01,3.69,4.54,3.66,4.15,3.65,3.96,3.57,3.21,3.07,3.12,2.93,2.54,1.66,1.4,1.54,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.94,0.0,100.01
09/28/2021,7.93,8.01,8.24,8.19,7.78,3.9,3.93,4.0,3.67,4.56,3.63,4.2,3.62,3.99,3.56,3.21,3.07,3.13,2.93,2.51,1.67,1.4,1.55,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.94,0.0,99.99
09/30/2021,7.92,7.98,7.95,8.14,7.68,3.84,3.91,4.0,3.69,4.6,3.64,4.29,3.62,4.03,3.61,3.23,3.1,3.21,3.01,2.59,1.7,1.42,1.58,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.94,0.0,100.03
10/01/2021,8.0,8.04,7.78,8.15,7.68,3.74,3.9,4.0,3.71,4.52,3.62,4.34,3.62,4.01,3.62,3.26,3.16,3.22,3.04,2.59,1.71,1.42,1.59,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.95,0.0,100.02
10/07/2021,8.0,8.04,7.93,8.12,7.64,3.83,3.86,3.99,3.69,4.47,3.57,4.31,3.51,4.05,3.65,3.34,3.2,3.24,3.08,2.74,1.73,1.42,1.61,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.98,0.0,100.02
10/08/2021,8.04,8.01,7.97,8.11,7.66,3.85,3.86,3.98,3.74,4.51,3.62,4.29,3.55,4.01,3.64,3.33,3.2,3.2,3.04,2.69,1.73,1.4,1.58,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.96,0.0,100.01
10/11/2021,8.01,8.06,7.92,8.17,7.61,3.87,3.83,4.0,3.74,4.51,3.63,4.28,3.61,4.02,3.61,3.33,3.18,3.2,3.03,2.72,1.73,1.39,1.57,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.97,0.0,100.01
10/14/2021,7.97,7.92,7.87,8.2,7.58,3.86,3.81,4.0,3.82,4.53,3.72,4.25,3.71,4.01,3.59,3.36,3.17,3.21,3.0,2.76,1.72,1.4,1.56,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.98,0.0,100.01
10/15/2021,7.96,7.89,7.79,8.2,7.49,3.85,3.85,4.06,3.83,4.49,3.72,4.25,3.72,4.03,3.6,3.37,3.17,3.25,2.99,2.77,1.73,1.41,1.57,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.99,0.0,100.02
10/18/2021,8.19,7.76,7.52,7.94,7.47,4.01,3.8,4.02,3.89,4.64,3.75,4.24,3.84,4.03,3.64,3.41,3.13,3.24,2.98,2.8,1.7,1.42,1.56,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.99,0.0,100.01
10/21/2021,8.25,7.75,8.05,7.86,7.42,3.91,3.8,3.91,3.87,4.63,3.8,4.22,3.8,4.03,3.6,3.32,3.1,3.24,2.92,2.82,1.69,1.38,1.52,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.98,0.0,99.99
10/22/2021,8.23,7.79,8.14,7.9,7.38,3.92,3.78,4.0,3.86,4.62,3.86,4.18,3.78,4.05,3.61,3.32,3.13,3.26,2.92,2.69,1.68,1.4,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,100.01
10/25/2021,8.19,7.74,8.04,7.91,7.16,3.94,3.64,4.06,3.95,4.6,3.86,4.24,3.85,4.07,3.6,3.36,3.11,3.28,3.04,2.77,1.71,1.37,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,100.01
10/26/2021,8.2,7.73,7.98,7.87,7.14,3.95,3.64,4.07,3.89,4.84,3.85,4.21,3.8,4.06,3.59,3.35,3.12,3.35,3.0,2.78,1.72,1.36,1.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.95,0.0,100.0
10/28/2021,8.22,7.72,8.0,7.87,7.11,3.91,3.67,4.09,3.88,4.82,3.83,4.24,3.76,4.09,3.59,3.36,3.13,3.38,2.99,2.77,1.74,1.36,1.57,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.95,0.0,100.03000000000002
10/29/2021,8.33,7.77,8.04,7.89,7.13,3.93,3.6,4.1,3.88,4.83,3.84,4.18,3.77,4.1,3.57,3.35,3.1,3.37,2.93,2.74,1.72,1.35,1.55,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.95,0.0,100.0
11/01/2021,8.42,7.84,8.27,7.81,7.25,4.0,3.38,4.1,3.96,4.67,3.91,4.17,3.81,4.12,3.5,3.35,3.04,3.37,2.84,2.72,1.71,1.41,1.52,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.88,0.0,100.03
11/02/2021,8.47,7.87,8.29,7.79,7.12,4.03,3.37,4.09,3.97,4.75,3.93,4.15,3.84,4.12,3.48,3.33,3.02,3.39,2.84,2.7,1.71,1.4,1.53,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.87,0.0,100.04
11/03/2021,8.47,7.87,8.29,7.79,7.12,4.03,3.37,4.09,3.97,4.75,3.93,4.15,3.84,4.12,3.48,3.33,3.02,3.39,2.84,2.7,1.71,1.4,1.53,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.87,0.0,100.04
11/04/2021,8.47,7.87,8.29,7.79,7.12,4.03,3.37,4.09,3.97,4.75,3.93,4.15,3.84,4.12,3.48,3.33,3.02,3.39,2.84,2.7,1.71,1.4,1.53,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.87,0.0,100.04
11/05/2021,8.41,7.82,8.23,7.78,7.0,4.01,3.36,4.03,3.98,4.85,3.93,4.15,3.83,4.13,3.46,3.34,2.98,3.39,2.94,2.83,1.73,1.39,1.54,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.86,0.0,99.99
11/11/2021,8.31,7.75,8.16,7.75,6.98,4.03,3.44,3.99,3.92,4.86,3.81,4.18,3.81,4.16,3.49,3.36,3.03,3.47,2.99,2.89,1.75,1.41,1.57,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.87,0.0,100.02
11/12/2021,8.28,7.74,8.05,7.72,6.97,4.07,3.45,4.0,3.91,4.95,3.81,4.18,3.79,4.18,3.5,3.38,3.04,3.47,2.97,2.92,1.75,1.42,1.58,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.87,0.0,100.01
11/15/2021,8.32,7.66,8.1,7.75,7.0,4.04,3.46,3.93,3.97,4.85,3.88,4.17,3.84,4.07,3.56,3.42,3.1,3.41,3.03,2.83,1.76,1.41,1.58,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.87,0.0,100.02
11/16/2021,8.23,7.64,8.17,7.72,7.04,4.03,3.46,3.9,3.98,4.87,3.9,4.17,3.87,4.02,3.55,3.41,3.11,3.39,3.05,2.83,1.76,1.4,1.57,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.86,0.0,100.02
11/17/2021,8.23,7.64,8.17,7.72,7.04,4.03,3.46,3.9,3.98,4.87,3.9,4.17,3.87,4.02,3.55,3.41,3.11,3.39,3.05,2.83,1.76,1.4,1.57,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.86,0.0,100.02
11/18/2021,8.23,7.6,8.16,7.69,6.98,4.03,3.44,3.91,3.96,4.88,3.92,4.19,3.85,4.05,3.59,3.38,3.14,3.42,3.04,2.88,1.77,1.4,1.59,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.86,0.0,100.03
11/19/2021,8.25,7.57,8.07,7.72,6.89,4.08,3.39,3.94,3.92,4.94,3.88,4.22,3.84,4.08,3.6,3.39,3.17,3.43,3.06,2.89,1.78,1.41,1.59,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.86,0.0,100.03
11/24/2021,8.2,7.59,8.06,7.57,6.96,4.15,3.44,3.93,3.9,4.9,3.85,4.23,3.83,4.01,3.61,3.41,3.22,3.45,3.09,3.07,1.8,1.41,1.62,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.88,0.0,100.05
11/25/2021,8.21,7.61,8.16,7.61,6.91,4.05,3.42,3.96,3.91,4.91,3.88,4.21,3.85,4.03,3.58,3.39,3.21,3.44,3.11,3.02,1.79,1.4,1.61,0.0,0.0,0.0,0.0,0.0,0.0,-0.13,0.88,0.0,100.02
12/02/2021,8.3,7.66,8.18,7.6,6.88,4.1,3.37,4.0,3.92,4.92,3.81,4.21,3.84,4.07,3.49,3.36,3.2,3.45,3.01,3.05,1.76,1.4,1.62,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.87,0.0,100.01
12/06/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/07/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/08/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/09/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/10/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/13/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/14/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/15/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/16/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/17/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/20/2021,8.33,7.83,8.2,7.58,6.9,4.19,3.31,4.06,3.89,4.79,3.78,4.26,3.82,4.06,3.47,3.39,3.18,3.39,2.97,2.97,1.73,1.39,1.62,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.88,0.0,100.01
12/21/2021,7.98,7.98,8.12,4.07,7.56,3.85,4.15,8.1,4.24,3.82,4.17,4.06,3.82,3.89,3.38,3.29,3.04,3.18,2.97,2.89,1.72,1.34,1.5,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.85,0.0,99.99
12/22/2021,8.33,7.77,8.31,7.69,6.56,3.97,3.44,4.09,4.13,4.63,3.92,4.31,3.91,3.97,3.52,3.45,3.1,3.25,3.03,2.95,1.8,1.39,1.59,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.87,0.0,100.0
12/23/2021,8.03,8.01,8.11,4.1,7.57,3.87,4.07,8.08,4.26,3.81,4.19,4.04,3.81,3.88,3.37,3.3,3.04,3.16,2.99,2.92,1.72,1.32,1.49,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.86,0.0,100.01
12/24/2021,7.97,7.88,8.02,4.05,7.47,3.84,4.09,8.01,4.24,3.85,4.16,4.04,3.81,3.86,3.39,3.29,3.04,3.16,2.98,2.98,1.73,1.32,1.5,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.86,0.0,100.01
12/27/2021,7.93,7.86,8.04,4.04,0.0,3.86,4.1,7.98,4.21,3.87,4.15,4.06,3.78,3.87,3.4,3.26,3.06,3.16,2.99,2.99,1.72,1.33,1.5,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.86,7.51,99.99
